actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M29.00S,2022-11-17T00:42:22.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628997,8.492115637319317,44.11764705882353,1610612748,4,7,2022-11-17T00:42:31Z,160000,False,29.0,27.0,1,left,C. Martin putback Layup (2 PTS),[1628997],1610612748.0,MIA,putback,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,4.01,Made,,,,,2.0,,,,,,,,,,,,,
17,PT10M10.00S,2022-11-17T00:42:43.1Z,1,REGULAR,turnover,traveling,[],1630567,,,1610612761,4,7,2022-11-17T00:42:49Z,170000,False,,,0,,S. Barnes traveling TURNOVER (1 TO),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,101284.0,1.0,,,,,,,,
18,PT09M58.00S,2022-11-17T00:43:10.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,34.11629434954008,55.392156862745104,1610612748,4,10,2022-11-17T00:43:15Z,180000,False,-27.0,268.0,1,left,N. Jovic 26' 3PT  (5 PTS) (C. Martin 1 AST),"[1631107, 1628997]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Center,26.96,Made,,,,,5.0,C. Martin,1628997.0,1.0,,,,,,,,,,
20,PT09M43.00S,2022-11-17T00:43:25.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,91.14651773981603,57.84313725490197,1610612761,4,10,2022-11-17T00:43:29Z,200000,False,39.0,31.0,1,right,MISS T. Young Hook,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,,,,,,,,,,,,,,
21,PT09M41.00S,2022-11-17T00:43:27.8Z,1,REGULAR,rebound,defensive,[],1631107,,,1610612748,4,10,2022-11-17T00:43:29Z,210000,False,,,0,,N. Jovic REBOUND (Off:0 Def:1),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M28.00S,2022-11-17T00:43:40.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,8.754927726675426,54.90196078431373,1610612748,4,12,2022-11-17T00:43:44Z,220000,False,-25.0,30.0,1,left,N. Jovic cutting finger roll Layup (7 PTS) (J. Butler 2 AST),"[1631107, 202710]",1610612748.0,MIA,cutting finger roll,,,Jovic,N. Jovic,,,,,Restricted Area,0-8 Center,3.86,Made,,,,,7.0,J. Butler,202710.0,2.0,,,,,,,,,,
24,PT09M14.00S,2022-11-17T00:43:53.8Z,1,REGULAR,3pt,Jump Shot,[],1627832,76.42904073587385,11.27450980392157,1610612761,4,12,2022-11-17T00:44:15Z,240000,False,-194.0,169.0,1,right,MISS F. VanVleet 25' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,25.71,Missed,,,,,,,,,,,,,,,,,,
25,PT09M12.00S,2022-11-17T00:43:55.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,4,12,2022-11-17T00:44:04Z,250000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,24.0,,,,,,,,,,,,,,,,,
27,PT09M00.00S,2022-11-17T00:44:16.0Z,1,REGULAR,3pt,Jump Shot,[],1629622,33.85348226018397,42.8921568627451,1610612748,4,12,2022-11-17T00:44:20Z,270000,False,36.0,266.0,1,left,MISS M. Strus 26' 3PT,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,26.81,Missed,,,,,,,,,,,,,,,,,,
28,PT08M57.00S,2022-11-17T00:44:19.0Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,4,12,2022-11-17T00:44:20Z,280000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,,
29,PT08M48.00S,2022-11-17T00:44:30.1Z,1,REGULAR,turnover,traveling,[],1628384,,,1610612761,4,12,2022-11-17T00:44:36Z,290000,False,,,0,,O. Anunoby traveling TURNOVER (1 TO),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,101284.0,1.0,,,,,,,,
30,PT08M32.00S,2022-11-17T00:44:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],200768,31.35676741130092,28.431372549019606,1610612748,4,12,2022-11-17T00:45:02Z,300000,False,108.0,242.0,1,left,MISS K. Lowry 26' step back 3PT,[200768],1610612748.0,MIA,step back,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
31,PT08M29.00S,2022-11-17T00:44:59.9Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,4,12,2022-11-17T00:45:02Z,310000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,,
32,PT08M21.00S,2022-11-17T00:45:08.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,92.19776609724047,40.44117647058824,1610612761,6,12,2022-11-17T00:45:16Z,320000,False,-48.0,21.0,1,right,O. Anunoby driving floating Jump Shot (2 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,driving floating,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,5.21,Made,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
34,PT08M01.00S,2022-11-17T00:45:28.5Z,1,REGULAR,3pt,Jump Shot,[],1631107,19.398817345597898,95.83333333333334,1610612748,6,12,2022-11-17T00:45:32Z,340000,False,-229.0,130.0,1,left,MISS N. Jovic 26' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,26.34,Missed,,,,,,,,,,,,,,,,,,
35,PT07M59.00S,2022-11-17T00:45:30.5Z,1,REGULAR,rebound,defensive,[],201152,,,1610612761,6,12,2022-11-17T00:45:32Z,350000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
36,PT07M51.00S,2022-11-17T00:45:38.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201152,90.48948751642575,46.81372549019608,1610612761,8,12,2022-11-17T00:45:43Z,360000,False,-16.0,37.0,1,right,T. Young Hook (2 PTS) (O. Anunoby 1 AST),"[201152, 1628384]",1610612761.0,TOR,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,4.02,Made,,,,,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,
38,PT07M39.00S,2022-11-17T00:45:56.9Z,1,REGULAR,foul,technical,['1freethrow'],1627832,,,1610612748,8,12,2022-11-17T00:46:06Z,380000,False,,,0,,F. VanVleet defensive-3-second technical FOUL (1 Tech),[1627832],1610612761.0,TOR,defensive-3-second,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,1193.0,,0.0,1.0,,,,,,
39,PT07M39.00S,2022-11-17T00:46:14.5Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612748,8,13,2022-11-17T00:46:14Z,390000,False,,,0,,J. Butler technical Free Throw 1 of 1 (1 PTS),[202710],1610612748.0,MIA,technical,,,Butler,J. Butler,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
40,PT07M33.00S,2022-11-17T00:46:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631107,8.886333771353483,56.86274509803921,1610612748,8,15,2022-11-17T00:46:41Z,400000,False,-34.0,31.0,1,left,N. Jovic Layup (9 PTS) (K. Lowry 1 AST),"[1631107, 200768]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,,,,,9.0,K. Lowry,200768.0,1.0,,,,,,,,,,
42,PT07M12.00S,2022-11-17T00:46:57.3Z,1,REGULAR,3pt,Jump Shot,[],1630625,72.48685939553219,79.16666666666666,1610612761,11,15,2022-11-17T00:47:01Z,420000,False,146.0,206.0,1,right,D. Banton 25' 3PT  (3 PTS) (T. Young 1 AST),"[1630625, 201152]",1610612761.0,TOR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Right Center,25.25,Made,,,,,3.0,T. Young,201152.0,1.0,,,,,,,,,,
44,PT06M54.00S,2022-11-17T00:47:15.9Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,11,15,2022-11-17T00:47:20Z,440000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1630567]",1610612748.0,MIA,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,Barnes,1630567.0,,,,
45,PT06M54.00S,2022-11-17T00:47:15.9Z,1,REGULAR,steal,,[],1630567,,,1610612761,11,15,2022-11-17T00:47:17Z,450000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
46,PT06M50.00S,2022-11-17T00:47:20.8Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630567,92.32917214191852,45.09803921568628,1610612761,11,15,2022-11-17T00:57:41Z,460000,False,-25.0,20.0,1,right,MISS S. Barnes driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
48,PT06M50.00S,2022-11-17T00:47:20.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,11,15,2022-11-17T00:48:09Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,46.0,,,,,,,,,,,,,,,,,
50,PT06M50.00S,2022-11-17T00:47:30.9Z,1,REGULAR,turnover,traveling,[],1630567,,,1610612761,11,15,2022-11-17T00:48:29Z,485000,False,,,0,,S. Barnes traveling TURNOVER (2 TO),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,101284.0,2.0,,,,,,,,
49,PT06M50.00S,2022-11-17T00:47:41.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612748,11,15,2022-11-17T00:48:29Z,490000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M25.00S,2022-11-17T00:50:38.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,6.783837056504599,4.166666666666666,1610612748,11,15,2022-11-17T00:50:44Z,500000,False,229.0,11.0,1,left,MISS C. Martin 3PT - blocked,"[1628997, 1630567]",1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,22.95,Missed,,,,,,,,,,,,,,,Barnes,1630567.0,,
54,PT06M25.00S,2022-11-17T00:50:38.8Z,1,REGULAR,block,,[],1630567,,,1610612748,11,15,2022-11-17T00:50:56Z,505000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
52,PT06M21.00S,2022-11-17T00:50:42.8Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612748,11,15,2022-11-17T00:50:44Z,510000,False,,,0,,C. Martin REBOUND (Off:2 Def:1),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,51.0,3.0,1.0,2.0,,,,,,,,,,,,,,
53,PT06M20.00S,2022-11-17T00:50:43.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628997,12.697109067017081,3.1862745098039214,1610612748,11,18,2022-11-17T00:50:51Z,520000,False,234.0,67.0,1,left,C. Martin 24' 3PT step back (5 PTS),[1628997],1610612748.0,MIA,step back,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,24.35,Made,,,,,5.0,,,,,,,,,,,,,
55,PT06M08.00S,2022-11-17T00:50:56.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630625,84.83902759526939,44.36274509803921,1610612761,11,18,2022-11-17T00:51:02Z,530000,False,-28.0,90.0,1,right,MISS D. Banton 9' driving floating Shot,[1630625],1610612761.0,TOR,driving floating,,,Banton,D. Banton,,,,,In The Paint (Non-RA),8-16 Center,9.43,Missed,,,,,,,,,,,,,,,,,,
56,PT06M06.00S,2022-11-17T00:50:58.6Z,1,REGULAR,rebound,offensive,[],1630625,,,1610612761,11,18,2022-11-17T00:50:58Z,540000,False,,,0,,D. Banton REBOUND (Off:1 Def:0),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,In The Paint (Non-RA),8-16 Center,,,55.0,1.0,0.0,1.0,,,,,,,,,,,,,,
57,PT05M56.00S,2022-11-17T00:51:08.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627832,94.43166885676742,55.392156862745104,1610612761,11,18,2022-11-17T00:51:15Z,550000,False,27.0,0.0,1,right,MISS F. VanVleet driving reverse Layup,[1627832],1610612761.0,TOR,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.7,Missed,,,,,,,,,,,,,,,,,,
58,PT05M56.00S,2022-11-17T00:51:08.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,11,18,2022-11-17T00:51:15Z,560000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Restricted Area,0-8 Center,,,57.0,,,,,,,,,,,,,,,,,
60,PT05M43.00S,2022-11-17T00:51:31.5Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612748,11,18,2022-11-17T00:51:39Z,580000,False,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612748.0,MIA,bad pass,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202901.0,1.0,,,,,,,,
61,PT05M43.00S,2022-11-17T00:51:36.4Z,1,REGULAR,substitution,out,[],1628997,,,1610612761,11,18,2022-11-17T00:51:45Z,590000,False,,,0,,SUB out: C. Martin,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT05M43.00S,2022-11-17T00:51:36.4Z,1,REGULAR,substitution,out,[],1629622,,,1610612761,11,18,2022-11-17T00:51:45Z,600000,False,,,0,,SUB out: M. Strus,[1629622],1610612748.0,MIA,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M43.00S,2022-11-17T00:51:36.4Z,1,REGULAR,substitution,in,[],1631288,,,1610612761,11,18,2022-11-17T00:51:45Z,610000,False,,,0,,SUB in: J. Cain,[1631288],1610612748.0,MIA,,,,Cain,J. Cain,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M43.00S,2022-11-17T00:51:36.4Z,1,REGULAR,substitution,in,[],1629216,,,1610612761,11,18,2022-11-17T00:51:45Z,620000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M34.00S,2022-11-17T00:52:07.0Z,1,REGULAR,foul,personal,[],1631288,,,1610612761,11,18,2022-11-17T00:52:15Z,630000,False,,,0,,J. Cain personal FOUL (1 PF),"[1631288, 1628384]",1610612748.0,MIA,,,,Cain,J. Cain,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202901.0,,1.0,0.0,,,,,Anunoby,1628384.0
67,PT05M34.00S,2022-11-17T00:52:14.3Z,1,REGULAR,substitution,out,[],201152,,,1610612761,11,18,2022-11-17T00:52:22Z,650000,False,,,0,,SUB out: T. Young,[201152],1610612761.0,TOR,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M34.00S,2022-11-17T00:52:14.3Z,1,REGULAR,substitution,out,[],1630625,,,1610612761,11,18,2022-11-17T00:52:22Z,660000,False,,,0,,SUB out: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M34.00S,2022-11-17T00:52:14.3Z,1,REGULAR,substitution,in,[],1631132,,,1610612761,11,18,2022-11-17T00:52:22Z,680000,False,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M34.00S,2022-11-17T00:52:14.3Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,11,18,2022-11-17T00:53:59Z,685000,False,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M29.00S,2022-11-17T00:52:39.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631132,92.59198423127464,48.77450980392157,1610612761,13,18,2022-11-17T00:52:56Z,690000,False,-6.0,17.0,1,right,C. Koloko alley-oop DUNK (2 PTS) (F. VanVleet 1 AST),"[1631132, 1627832]",1610612761.0,TOR,alley-oop,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,
73,PT05M17.00S,2022-11-17T00:52:53.6Z,1,REGULAR,foul,personal,['2freethrow'],1631132,,,1610612748,13,18,2022-11-17T00:53:15Z,710000,False,,,0,,C. Koloko shooting personal FOUL (1 PF) (Jovic 2 FT),"[1631132, 1631107]",1610612761.0,TOR,shooting,,,Koloko,C. Koloko,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,202901.0,,1.0,0.0,,,,,Jovic,1631107.0
75,PT05M17.00S,2022-11-17T00:53:16.3Z,1,REGULAR,freethrow,1 of 2,[],1631107,,,1610612748,13,19,2022-11-17T00:53:16Z,730000,False,,,0,,N. Jovic Free Throw 1 of 2 (10 PTS),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,Made,,,,,10.0,,,,,,,,,,,,,
76,PT05M17.00S,2022-11-17T00:53:30.6Z,1,REGULAR,freethrow,2 of 2,[],1631107,,,1610612748,13,20,2022-11-17T00:53:30Z,740000,False,,,0,,N. Jovic Free Throw 2 of 2 (11 PTS),[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,Made,,,,,11.0,,,,,,,,,,,,,
77,PT05M05.00S,2022-11-17T00:53:44.6Z,1,REGULAR,2pt,Jump Shot,[],1627832,76.82325886990802,49.50980392156863,1610612761,13,20,2022-11-17T00:53:52Z,750000,False,-2.0,165.0,1,right,MISS F. VanVleet 16' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,16.54,Missed,,,,,,,,,,,,,,,,,,
78,PT05M01.00S,2022-11-17T00:53:48.6Z,1,REGULAR,rebound,defensive,[],1629216,,,1610612748,13,20,2022-11-17T00:53:52Z,760000,False,,,0,,G. Vincent REBOUND (Off:0 Def:1),[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,Mid-Range,16-24 Center,,,77.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT04M43.00S,2022-11-17T00:54:06.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,6.258212877792378,63.970588235294116,1610612748,13,22,2022-11-17T00:54:13Z,770000,False,-70.0,6.0,1,left,J. Butler 7' turnaround fadeaway Jump Shot (3 PTS) (G. Vincent 1 AST),"[202710, 1629216]",1610612748.0,MIA,turnaround fadeaway,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,7.02,Made,,,,,3.0,G. Vincent,1629216.0,1.0,,,,,,,,,,
82,PT04M28.00S,2022-11-17T00:54:22.2Z,1,REGULAR,2pt,Jump Shot,[],1630567,78.13731931668858,26.715686274509803,1610612761,15,22,2022-11-17T00:54:28Z,790000,False,-116.0,153.0,1,right,S. Barnes 19' pullup Jump Shot (6 PTS),[1630567],1610612761.0,TOR,pullup,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left Center,19.22,Made,,,,,6.0,,,,,,,,,,,,,
83,PT04M22.00S,2022-11-17T00:54:31.4Z,1,REGULAR,turnover,traveling,[],200768,,,1610612748,15,22,2022-11-17T00:54:38Z,800000,False,,,0,,K. Lowry traveling TURNOVER (2 TO),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,101284.0,2.0,,,,,,,,
84,PT04M09.00S,2022-11-17T00:54:54.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627832,87.99277266754271,30.637254901960787,1610612761,15,22,2022-11-17T00:55:01Z,810000,False,-97.0,60.0,1,right,MISS F. VanVleet 11' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,8-16 Left,11.41,Missed,,,,,,,,,,,,,,,,,,
85,PT04M09.00S,2022-11-17T00:54:58.1Z,1,REGULAR,rebound,offensive,[],1628449,,,1610612761,15,22,2022-11-17T00:54:58Z,820000,False,,,0,,C. Boucher REBOUND (Off:1 Def:0),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Mid-Range,8-16 Left,,,84.0,1.0,0.0,1.0,,,,,,,,,,,,,,
87,PT04M09.00S,2022-11-17T00:55:01.8Z,1,REGULAR,substitution,out,[],1631107,,,1610612761,15,22,2022-11-17T00:55:07Z,840000,False,,,0,,SUB out: N. Jovic,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,,,,,,,,,,,,,,,,,,,,,,
