actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT11M06.00S,2022-11-06T23:11:40.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,0,2022-11-06T23:11:43Z,170000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
18,PT11M03.00S,2022-11-06T23:11:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630172,92.06636005256242,51.71568627450981,1610612741,2,0,2022-11-06T23:11:51Z,180000,9.0,22.0,1,right,MISS P. Williams running Layup,[1630172],1610612741.0,CHI,running,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.37,Missed,,,,,,,,,,,,,,,,,,
19,PT11M00.00S,2022-11-06T23:11:46.9Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,2,0,2022-11-06T23:11:51Z,190000,,,0,,N. Vucevic REBOUND (Off:1 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,18.0,2.0,1.0,1.0,,,,,
20,PT11M00.00S,2022-11-06T23:11:46.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",202696,94.40999984741211,50.0,1610612741,2,2,2022-11-06T23:11:54Z,200000,0.0,0.0,1,right,N. Vucevic tip Layup (2 PTS),[202696],1610612741.0,CHI,tip,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2022-11-06T23:12:10.0Z,1,REGULAR,2pt,Jump Shot,[],1630567,7.966491458607096,78.18627450980392,1610612761,2,2,2022-11-06T23:12:17Z,210000,-141.0,22.0,1,left,MISS S. Barnes 14' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,14.27,Missed,,,,,,,,,,,,,,,,,,
22,PT10M35.00S,2022-11-06T23:12:12.0Z,1,REGULAR,rebound,offensive,[],1631132,,,1610612761,2,2,2022-11-06T23:12:17Z,220000,,,0,,C. Koloko REBOUND (Off:1 Def:0),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,21.0,1.0,0.0,1.0,,,,,
23,PT10M32.00S,2022-11-06T23:12:14.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,31.488173455978973,72.30392156862744,1610612761,2,2,2022-11-06T23:12:22Z,230000,-112.0,243.0,1,left,MISS G. Trent Jr. 26' bank 3PT,[1629018],1610612761.0,TOR,bank,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,26.78,Missed,,,,,,,,,,,,,,,,,,
24,PT10M32.00S,2022-11-06T23:12:14.5Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,2,2022-11-06T23:12:22Z,240000,,,0,,N. Vucevic REBOUND (Off:1 Def:2),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,23.0,3.0,2.0,1.0,,,,,
25,PT10M22.00S,2022-11-06T23:12:25.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,93.24901445466492,52.450980392156865,1610612741,2,4,2022-11-06T23:12:35Z,250000,12.0,11.0,1,right,D. DeRozan cutting finger roll Layup (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,cutting finger roll,,,DeRozan,D. DeRozan,,,,,Restricted Area,0-8 Center,1.65,Made,2.0,N. Vucevic,202696.0,1.0,,,,,,,,,,,,,,
29,PT10M22.00S,2022-11-06T23:12:48.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,2,4,2022-11-06T23:12:48Z,290000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT10M06.00S,2022-11-06T23:16:18.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,5.995400788436268,3.1862745098039214,1610612761,2,4,2022-11-06T23:16:24Z,310000,234.0,4.0,1,left,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,23.41,Missed,,,,,,,,,,,,,,,,,,
32,PT10M01.00S,2022-11-06T23:16:23.6Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,4,2022-11-06T23:16:24Z,320000,,,0,,A. Caruso REBOUND (Off:0 Def:1),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT09M52.00S,2022-11-06T23:16:31.9Z,1,REGULAR,3pt,Jump Shot,[],202696,66.17936925098554,51.225490196078425,1610612741,2,4,2022-11-06T23:16:37Z,330000,6.0,265.0,1,right,MISS N. Vucevic 26' 3PT,[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
34,PT09M49.00S,2022-11-06T23:16:34.9Z,1,REGULAR,rebound,defensive,[],1631132,,,1610612761,2,4,2022-11-06T23:16:37Z,340000,,,0,,C. Koloko REBOUND (Off:1 Def:1),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,33.0,2.0,1.0,1.0,,,,,
35,PT09M37.00S,2022-11-06T23:16:47.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,7.046649145860711,96.32352941176471,1610612761,2,4,2022-11-06T23:16:52Z,350000,-232.0,14.0,1,left,MISS F. VanVleet 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,23.2,Missed,,,,,,,,,,,,,,,,,,
36,PT09M34.00S,2022-11-06T23:16:50.2Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,2,4,2022-11-06T23:16:52Z,360000,,,0,,A. Caruso REBOUND (Off:0 Def:2),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,35.0,2.0,2.0,0.0,,,,,
37,PT09M24.00S,2022-11-06T23:17:00.6Z,1,REGULAR,3pt,Jump Shot,[],1630172,94.82588699080158,96.81372549019608,1610612741,2,7,2022-11-06T23:17:05Z,370000,234.0,-4.0,1,right,P. Williams 3PT  (3 PTS) (N. Vucevic 2 AST),"[1630172, 202696]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,23.41,Made,3.0,N. Vucevic,202696.0,2.0,,,,,,,,,,,,,,
39,PT09M02.00S,2022-11-06T23:17:23.7Z,1,REGULAR,foul,personal,[],1630172,,,1610612761,2,7,2022-11-06T23:17:48Z,390000,,,0,,P. Williams personal FOUL (1 PF),"[1630172, 1630567]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2530.0,1.0,0.0,Barnes,1630567.0
41,PT08M49.00S,2022-11-06T23:18:01.8Z,1,REGULAR,3pt,Jump Shot,[],1630567,33.85348226018397,42.8921568627451,1610612761,2,7,2022-11-06T23:18:08Z,410000,36.0,266.0,1,left,MISS S. Barnes 26' pullup bank 3PT,[1630567],1610612761.0,TOR,pullup bank,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,26.81,Missed,,,,,,,,,,,,,,,,,,
42,PT08M46.00S,2022-11-06T23:18:04.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,2,7,2022-11-06T23:18:08Z,420000,,,0,,N. Vucevic REBOUND (Off:1 Def:3),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,41.0,4.0,3.0,1.0,,,,,
43,PT08M37.00S,2022-11-06T23:18:13.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,92.72339027595268,45.588235294117645,1610612741,2,7,2022-11-06T23:18:31Z,430000,-22.0,16.0,1,right,MISS P. Williams driving DUNK - blocked,"[1630172, 1631132]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.72,Missed,,,,,,,,Koloko,1631132.0,,,,,,,,,
47,PT08M37.00S,2022-11-06T23:18:13.4Z,1,REGULAR,block,,[],1631132,,,1610612741,2,7,2022-11-06T23:18:31Z,435000,,,0,,C. Koloko BLOCK (1 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M35.00S,2022-11-06T23:18:15.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,2,7,2022-11-06T23:18:31Z,440000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,
45,PT08M32.00S,2022-11-06T23:18:21.5Z,1,REGULAR,foul,personal,[],1630245,,,1610612761,2,7,2022-11-06T23:18:26Z,450000,,,0,,A. Dosunmu personal FOUL (1 PF),"[1630245, 1627832]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,2530.0,1.0,0.0,VanVleet,1627832.0
48,PT08M24.00S,2022-11-06T23:18:43.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631132,7.703679369250986,49.754901960784316,1610612761,4,7,2022-11-06T23:18:48Z,470000,1.0,20.0,1,left,C. Koloko alley-oop DUNK (2 PTS) (F. VanVleet 1 AST),"[1631132, 1627832]",1610612761.0,TOR,alley-oop,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,,,,
50,PT08M08.00S,2022-11-06T23:19:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,90.3580814717477,51.225490196078425,1610612741,4,7,2022-11-06T23:19:05Z,490000,6.0,38.0,1,right,MISS N. Vucevic driving finger roll Layup,[202696],1610612741.0,CHI,driving finger roll,,,Vucevic,N. Vucevic,,,,,Restricted Area,0-8 Center,3.86,Missed,,,,,,,,,,,,,,,,,,
51,PT08M05.00S,2022-11-06T23:19:02.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,7,2022-11-06T23:19:02Z,500000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,
52,PT08M01.00S,2022-11-06T23:19:06.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,32.802233902759525,20.098039215686274,1610612761,4,7,2022-11-06T23:19:13Z,510000,150.0,256.0,1,left,MISS F. VanVleet 29' running pullup 3PT,[1627832],1610612761.0,TOR,running pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Right Center,29.63,Missed,,,,,,,,,,,,,,,,,,
53,PT07M58.00S,2022-11-06T23:19:09.0Z,1,REGULAR,rebound,defensive,[],1627936,,,1610612741,4,7,2022-11-06T23:19:13Z,520000,,,0,,A. Caruso REBOUND (Off:0 Def:3),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,52.0,3.0,3.0,0.0,,,,,
54,PT07M50.00S,2022-11-06T23:19:17.9Z,1,REGULAR,3pt,Jump Shot,[],1630172,93.64323258869908,96.81372549019608,1610612741,4,7,2022-11-06T23:19:23Z,530000,234.0,7.0,1,right,MISS P. Williams 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,,,,,,,,,,,
55,PT07M46.00S,2022-11-06T23:19:21.9Z,1,REGULAR,rebound,offensive,[],1627936,,,1610612741,4,7,2022-11-06T23:19:23Z,540000,,,0,,A. Caruso REBOUND (Off:1 Def:3),[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,54.0,4.0,3.0,1.0,,,,,
56,PT07M44.00S,2022-11-06T23:19:23.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1627936,93.51182654402102,18.627450980392158,1610612741,4,9,2022-11-06T23:19:30Z,550000,-157.0,8.0,1,right,A. Caruso 15' fadeaway Jump Shot (2 PTS),[1627936],1610612741.0,CHI,fadeaway,,,Caruso,A. Caruso,,,,,Mid-Range,8-16 Left,15.71,Made,2.0,,,,,,,,,,,,,,,,,
57,PT07M32.00S,2022-11-06T23:19:37.7Z,1,REGULAR,foul,personal,[],201942,,,1610612761,4,9,2022-11-06T23:20:01Z,560000,,,0,,D. DeRozan personal FOUL (1 PF),"[201942, 1627832]",1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,1628171.0,1.0,0.0,VanVleet,1627832.0
59,PT07M22.00S,2022-11-06T23:20:08.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,16.770696452036795,4.411764705882353,1610612761,7,9,2022-11-06T23:20:12Z,580000,228.0,105.0,1,left,S. Barnes 25' 3PT  (3 PTS) (F. VanVleet 2 AST),"[1630567, 1627832]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,25.1,Made,3.0,F. VanVleet,1627832.0,2.0,,,,,,,,,,,,,,
61,PT07M08.00S,2022-11-06T23:20:21.7Z,1,REGULAR,3pt,Jump Shot,[],1630245,87.99277266754271,95.83333333333334,1610612741,7,12,2022-11-06T23:20:27Z,600000,229.0,60.0,1,right,A. Dosunmu 3PT  (3 PTS) (N. Vucevic 3 AST),"[1630245, 202696]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Right Corner 3,24+ Right,23.7,Made,3.0,N. Vucevic,202696.0,3.0,,,,,,,,,,,,,,
63,PT06M55.00S,2022-11-06T23:20:34.6Z,1,REGULAR,3pt,Jump Shot,[],1629018,30.17411300919842,18.872549019607842,1610612761,10,12,2022-11-06T23:20:40Z,620000,156.0,231.0,1,left,G. Trent Jr. 27' 3PT  (3 PTS) (S. Barnes 2 AST),"[1629018, 1630567]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,27.86,Made,3.0,S. Barnes,1630567.0,2.0,,,,,,,,,,,,,,
65,PT06M42.00S,2022-11-06T23:20:46.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630172,92.72339027595268,44.36274509803921,1610612741,10,12,2022-11-06T23:20:52Z,640000,-28.0,16.0,1,right,MISS P. Williams driving DUNK - blocked,"[1630172, 1631132]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,Koloko,1631132.0,,,,,,,,,
66,PT06M42.00S,2022-11-06T23:20:46.7Z,1,REGULAR,block,,[],1631132,,,1610612741,10,12,2022-11-06T23:20:49Z,650000,,,0,,C. Koloko BLOCK (2 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
67,PT06M40.00S,2022-11-06T23:20:48.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,10,12,2022-11-06T23:20:52Z,660000,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,65.0,2.0,2.0,0.0,,,,,
68,PT06M35.00S,2022-11-06T23:20:54.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,10.068988173455978,50.0,1610612761,10,12,2022-11-06T23:21:01Z,670000,0.0,42.0,1,left,MISS O. Anunoby running Layup,[1628384],1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,4.21,Missed,,,,,,,,,,,,,,,,,,
69,PT06M33.00S,2022-11-06T23:20:56.1Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,10,12,2022-11-06T23:21:01Z,680000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,68.0,1.0,1.0,0.0,,,,,
70,PT06M18.00S,2022-11-06T23:21:11.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630172,92.59198423127464,45.83333333333333,1610612741,10,12,2022-11-06T23:22:47Z,690000,-21.0,17.0,1,right,MISS P. Williams driving Layup - blocked,"[1630172, 1631132]",1610612741.0,CHI,driving,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,Koloko,1631132.0,,,,,,,,,
71,PT06M18.00S,2022-11-06T23:21:11.1Z,1,REGULAR,block,,[],1631132,,,1610612741,10,12,2022-11-06T23:21:13Z,700000,,,0,,C. Koloko BLOCK (3 BLK),[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
72,PT06M15.00S,2022-11-06T23:21:14.1Z,1,REGULAR,rebound,offensive,[],1630172,,,1610612741,10,12,2022-11-06T23:21:18Z,710000,,,0,,P. Williams REBOUND (Off:1 Def:0),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,70.0,1.0,0.0,1.0,,,,,
73,PT06M12.00S,2022-11-06T23:21:17.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202696,78.9257555847569,66.91176470588235,1610612741,10,14,2022-11-06T23:23:30Z,720000,85.0,146.0,1,right,N. Vucevic 16' Jump Shot (4 PTS) (A. Caruso 1 AST),"[202696, 1627936]",1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Mid-Range,16-24 Right Center,16.84,Made,4.0,A. Caruso,1627936.0,1.0,,,,,,,,,,,,,,
75,PT06M11.00S,2022-11-06T23:21:24.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,10,14,2022-11-06T23:21:24Z,740000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,10,14,2022-11-06T23:24:02Z,750000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,10,14,2022-11-06T23:24:02Z,760000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,out,[],1627936,,,1610612761,10,14,2022-11-06T23:24:02Z,770000,,,0,,SUB out: A. Caruso,[1627936],1610612741.0,CHI,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,10,14,2022-11-06T23:24:02Z,780000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,in,[],203490,,,1610612761,10,14,2022-11-06T23:24:02Z,790000,,,0,,SUB in: O. Porter Jr.,[203490],1610612761.0,TOR,,,,Porter Jr.,O. Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M11.00S,2022-11-06T23:23:45.4Z,1,REGULAR,substitution,in,[],1629750,,,1610612761,10,14,2022-11-06T23:24:02Z,800000,,,0,,SUB in: J. Green,[1629750],1610612741.0,CHI,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M58.00S,2022-11-06T23:24:30.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,7.966491458607096,47.794117647058826,1610612761,12,14,2022-11-06T23:24:40Z,810000,11.0,22.0,1,left,O. Anunoby reverse DUNK (2 PTS) (C. Koloko 1 AST),"[1628384, 1631132]",1610612761.0,TOR,reverse,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.5,Made,2.0,C. Koloko,1631132.0,1.0,,,,,,,,,,,,,,
84,PT05M44.00S,2022-11-06T23:24:44.9Z,1,REGULAR,turnover,bad pass,[],1630245,,,1610612741,12,14,2022-11-06T23:24:51Z,830000,,,0,,A. Dosunmu bad pass TURNOVER (1 TO),"[1630245, 1628449]",1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,Mid-Range,8-16 Left,,,,,,,1.0,Boucher,1628449.0,,,,,,,,,,,
85,PT05M44.00S,2022-11-06T23:24:44.9Z,1,REGULAR,steal,,[],1628449,,,1610612761,12,14,2022-11-06T23:24:47Z,840000,,,0,,C. Boucher STEAL (1 STL),[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
86,PT05M36.00S,2022-11-06T23:24:52.5Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628449,8.229303547963205,60.049019607843135,1610612761,12,14,2022-11-06T23:24:57Z,850000,-50.0,25.0,1,left,MISS C. Boucher turnaround Hook,[1628449],1610612761.0,TOR,turnaround,,,Boucher,C. Boucher,,,,,In The Paint (Non-RA),0-8 Center,5.6,Missed,,,,,,,,,,,,,,,,,,
