actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
21,PT10M53.00S,2022-10-31T23:42:30.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,2,1,2022-10-31T23:42:45Z,210000,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M44.00S,2022-10-31T23:42:52.6Z,1,REGULAR,2pt,Jump Shot,[],1629018,75.77201051248358,27.941176470588236,1610612761,2,1,2022-10-31T23:42:56Z,220000,-110.0,175.0,1,right,MISS G. Trent Jr. 20' pullup Shot,[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,Mid-Range,16-24 Left Center,20.7,Missed,,,,,,,,,,,,,,,,,,
23,PT10M40.00S,2022-10-31T23:42:56.6Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,1,2022-10-31T23:42:56Z,230000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT10M30.00S,2022-10-31T23:43:05.5Z,1,REGULAR,2pt,Jump Shot,[],1627749,10.200394218134035,26.715686274509803,1610612737,2,1,2022-10-31T23:43:12Z,240000,116.0,43.0,1,left,MISS D. Murray 12' fadeaway Shot,[1627749],1610612737.0,ATL,fadeaway,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,12.42,Missed,,,,,,,,,,,,,,,,,,
25,PT10M26.00S,2022-10-31T23:43:09.5Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,2,1,2022-10-31T23:43:12Z,250000,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,,,24.0,3.0,2.0,1.0,,,,,,,,,,,,,,
26,PT10M18.00S,2022-10-31T23:43:18.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",203991,6.915243101182654,49.754901960784316,1610612737,2,3,2022-10-31T23:43:26Z,260000,1.0,13.0,1,left,C. Capela cutting DUNK (3 PTS) (D. Murray 1 AST),"[203991, 1627749]",1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,
28,PT10M00.00S,2022-10-31T23:43:35.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,87.59855453350855,49.01960784313725,1610612761,4,3,2022-10-31T23:43:41Z,280000,-5.0,64.0,1,right,P. Siakam 6' driving Hook (2 PTS),[1627783],1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.43,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M48.00S,2022-10-31T23:44:05.9Z,1,REGULAR,2pt,Jump Shot,[],1629631,13.091327201051248,78.92156862745098,1610612737,4,3,2022-10-31T23:46:44Z,300000,-145.0,71.0,1,left,MISS D. Hunter 16' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left,16.09,Missed,,,,,,,,,,,,,,,,,,
31,PT09M42.00S,2022-10-31T23:44:11.9Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612737,4,3,2022-10-31T23:46:44Z,310000,,,0,,J. Collins REBOUND (Off:2 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left,,,30.0,4.0,2.0,2.0,,,,,,,,,,,,,,
32,PT09M40.00S,2022-10-31T23:44:15.3Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612737,4,3,2022-10-31T23:44:23Z,320000,,,0,,P. Siakam shooting personal FOUL (1 PF) (Capela 2 FT),"[1627783, 203991]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1628485.0,1.0,0.0,Capela,203991.0,,,,,
34,PT09M40.00S,2022-10-31T23:44:39.2Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203991,,,1610612737,4,3,2022-10-31T23:44:59Z,340000,,,0,,MISS C. Capela Free Throw 1 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
35,PT09M40.00S,2022-10-31T23:44:39.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,4,3,2022-10-31T23:44:59Z,350000,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,
36,PT09M40.00S,2022-10-31T23:44:39.2Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203991,,,1610612737,4,3,2022-10-31T23:44:59Z,360000,,,0,,MISS C. Capela Free Throw 2 of 2,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
37,PT09M37.00S,2022-10-31T23:44:42.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,4,3,2022-10-31T23:44:59Z,370000,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,,,,,,,,
38,PT09M28.00S,2022-10-31T23:45:11.4Z,1,REGULAR,turnover,out-of-bounds,[],1631132,,,1610612761,4,3,2022-11-01T00:01:14Z,380000,,,0,,C. Koloko lost ball out-of-bounds TURNOVER (1 TO),[1631132],1610612761.0,TOR,lost ball,,,Koloko,C. Koloko,,,,,Mid-Range,16-24 Left,,,,,,,,,,,1628485.0,,,,,1.0,,,,
39,PT09M10.00S,2022-10-31T23:45:38.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628381,5.863994743758213,28.186274509803923,1610612737,4,3,2022-10-31T23:45:43Z,390000,109.0,3.0,1,left,MISS J. Collins 10' driving floating Shot,[1628381],1610612737.0,ATL,driving floating,,,Collins,J. Collins,,,,,Mid-Range,8-16 Right,10.91,Missed,,,,,,,,,,,,,,,,,,
40,PT09M07.00S,2022-10-31T23:45:41.0Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,3,2022-10-31T23:45:43Z,400000,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT09M02.00S,2022-10-31T23:45:46.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,67.62483574244416,25.49019607843137,1610612761,7,3,2022-10-31T23:45:51Z,410000,-123.0,252.0,1,right,O. Anunoby 28' 3PT running (3 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,running,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,28.0,Made,,,,,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,
43,PT08M50.00S,2022-10-31T23:45:58.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,11.251642575558476,48.03921568627451,1610612737,7,5,2022-10-31T23:46:03Z,430000,10.0,53.0,1,left,J. Collins driving Hook (2 PTS) (T. Young 1 AST),"[1628381, 1629027]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,
46,PT08M30.00S,2022-10-31T23:46:34.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,89.96386333771353,61.274509803921575,1610612761,7,5,2022-10-31T23:46:41Z,460000,56.0,42.0,1,right,MISS P. Siakam 7' driving Hook - blocked,"[1627783, 203991]",1610612761.0,TOR,driving,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,7.02,Missed,,,,,,,,,,,,,,,Capela,203991.0,,
47,PT08M30.00S,2022-10-31T23:46:34.8Z,1,REGULAR,block,,[],203991,,,1610612761,7,5,2022-10-31T23:46:37Z,470000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2022-10-31T23:46:37.8Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,7,5,2022-10-31T23:46:41Z,480000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,46.0,2.0,1.0,1.0,,,,,,,,,,,,,,
49,PT08M25.00S,2022-10-31T23:46:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627783,93.38042049934296,46.568627450980394,1610612761,7,5,2022-10-31T23:46:49Z,490000,-17.0,10.0,1,right,MISS P. Siakam reverse Layup,[1627783],1610612761.0,TOR,reverse,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.97,Missed,,,,,,,,,,,,,,,,,,
50,PT08M25.00S,2022-10-31T23:46:39.4Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,7,5,2022-10-31T23:46:49Z,500000,,,0,,J. Collins REBOUND (Off:2 Def:3),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,49.0,5.0,3.0,2.0,,,,,,,,,,,,,,
51,PT08M20.00S,2022-10-31T23:46:44.4Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629631,7.835085413929041,50.0,1610612737,7,7,2022-10-31T23:53:00Z,510000,0.0,21.0,1,left,D. Hunter running DUNK (2 PTS) (T. Young 2 AST),"[1629631, 1629027]",1610612737.0,ATL,running,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,2.11,Made,,,,,2.0,T. Young,1629027.0,2.0,,,,,,,,,,
53,PT08M08.00S,2022-10-31T23:46:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,70.12155059132719,24.264705882352942,1610612761,10,7,2022-10-31T23:47:03Z,530000,-129.0,228.0,1,right,S. Barnes 26' 3PT step back (3 PTS),[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,26.22,Made,,,,,3.0,,,,,,,,,,,,,
54,PT07M55.00S,2022-10-31T23:47:10.0Z,1,REGULAR,2pt,Jump Shot,[],1627749,22.552562417871222,71.07843137254902,1610612737,10,9,2022-10-31T23:47:13Z,540000,-105.0,159.0,1,left,D. Murray 19' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,19.12,Made,,,,,2.0,,,,,,,,,,,,,
55,PT07M44.00S,2022-10-31T23:47:19.6Z,1,REGULAR,3pt,Jump Shot,[],1630567,67.36202365308804,63.48039215686274,1610612761,13,9,2022-10-31T23:47:25Z,550000,67.0,254.0,1,right,S. Barnes 26' 3PT  (6 PTS) (G. Trent Jr. 1 AST),"[1630567, 1629018]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,26.31,Made,,,,,6.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,
57,PT07M29.00S,2022-10-31T23:47:36.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,6.915243101182654,49.26470588235294,1610612737,13,11,2022-10-31T23:47:41Z,570000,4.0,13.0,1,left,C. Capela alley-oop DUNK (5 PTS) (T. Young 3 AST),"[203991, 1629027]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.3,Made,,,,,5.0,T. Young,1629027.0,3.0,,,,,,,,,,
59,PT07M16.00S,2022-10-31T23:47:48.1Z,1,REGULAR,3pt,Jump Shot,[],1630567,65.65374507227332,43.872549019607845,1610612761,16,11,2022-10-31T23:47:52Z,590000,-31.0,270.0,1,right,S. Barnes 27' 3PT step back (9 PTS) (O. Anunoby 2 AST),"[1630567, 1628384]",1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,27.21,Made,,,,,9.0,O. Anunoby,1628384.0,2.0,,,,,,,,,,
61,PT07M00.00S,2022-10-31T23:48:04.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,10.068988173455978,51.9607843137255,1610612737,16,11,2022-10-31T23:48:09Z,610000,-10.0,42.0,1,left,MISS C. Capela Hook,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,4.32,Missed,,,,,,,,,,,,,,,,,,
62,PT06M57.00S,2022-10-31T23:48:07.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,16,11,2022-10-31T23:48:09Z,620000,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,61.0,3.0,2.0,1.0,,,,,,,,,,,,,,
63,PT06M51.00S,2022-10-31T23:48:13.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630567,66.70499342969777,39.705882352941174,1610612761,16,11,2022-10-31T23:48:23Z,630000,-51.0,260.0,1,right,MISS S. Barnes 26' running pullup 3PT,[1630567],1610612761.0,TOR,running pullup,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
64,PT06M49.00S,2022-10-31T23:48:15.0Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,16,11,2022-10-31T23:48:23Z,640000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,63.0,1.0,1.0,0.0,,,,,,,,,,,,,,
65,PT06M41.00S,2022-10-31T23:48:23.1Z,1,REGULAR,turnover,lost ball,[],1627749,,,1610612737,16,11,2022-10-31T23:48:31Z,650000,,,0,,D. Murray lost ball TURNOVER (1 TO),"[1627749, 1628384]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,,,Anunoby,1628384.0
66,PT06M41.00S,2022-10-31T23:48:23.1Z,1,REGULAR,steal,,[],1628384,,,1610612761,16,11,2022-10-31T23:48:24Z,660000,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
67,PT06M39.00S,2022-10-31T23:48:28.1Z,1,REGULAR,foul,personal,['2freethrow'],1627749,,,1610612761,16,11,2022-10-31T23:48:35Z,670000,,,0,,D. Murray shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1627749, 1628384]",1610612737.0,ATL,shooting,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628485.0,1.0,0.0,Anunoby,1628384.0,,,,,
69,PT06M39.00S,2022-10-31T23:48:37.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,16,11,2022-10-31T23:48:37Z,690000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M39.00S,2022-10-31T23:48:39.4Z,1,REGULAR,substitution,out,[],1631132,,,1610612761,16,11,2022-10-31T23:51:03Z,700000,,,0,,SUB out: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M39.00S,2022-10-31T23:48:39.4Z,1,REGULAR,substitution,out,[],203991,,,1610612761,16,11,2022-10-31T23:51:03Z,710000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M39.00S,2022-10-31T23:48:39.4Z,1,REGULAR,substitution,in,[],203920,,,1610612761,16,11,2022-10-31T23:51:03Z,720000,,,0,,SUB in: K. Birch,[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M39.00S,2022-10-31T23:48:39.4Z,1,REGULAR,substitution,in,[],1630168,,,1610612761,16,11,2022-10-31T23:51:03Z,730000,,,0,,SUB in: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M39.00S,2022-10-31T23:51:40.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628384,,,1610612761,17,11,2022-10-31T23:51:40Z,740000,,,0,,O. Anunoby Free Throw 1 of 2 (4 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
75,PT06M39.00S,2022-10-31T23:51:47.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628384,,,1610612761,18,11,2022-10-31T23:51:47Z,750000,,,0,,O. Anunoby Free Throw 2 of 2 (5 PTS),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
76,PT06M26.00S,2022-10-31T23:51:54.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,23.47240473061761,12.009803921568627,1610612737,18,14,2022-10-31T23:51:58Z,760000,190.0,168.0,1,left,J. Collins 25' 3PT  (5 PTS) (T. Young 4 AST),"[1628381, 1629027]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,25.37,Made,,,,,5.0,T. Young,1629027.0,4.0,,,,,,,,,,
78,PT06M09.00S,2022-10-31T23:52:11.0Z,1,REGULAR,3pt,Jump Shot,[],1628384,88.91261498028909,94.85294117647058,1610612761,18,14,2022-10-31T23:52:15Z,780000,224.0,52.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,23.02,Missed,,,,,,,,,,,,,,,,,,
79,PT06M07.00S,2022-10-31T23:52:13.0Z,1,REGULAR,rebound,offensive,[],203920,,,1610612761,18,14,2022-10-31T23:52:15Z,790000,,,0,,K. Birch REBOUND (Off:1 Def:0),[203920],1610612761.0,TOR,,,,Birch,K. Birch,,,,,Right Corner 3,24+ Right,,,78.0,1.0,0.0,1.0,,,,,,,,,,,,,,
80,PT05M57.00S,2022-10-31T23:52:23.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1627783,83.65637319316689,43.13725490196079,1610612761,18,14,2022-10-31T23:52:29Z,800000,-34.0,101.0,1,right,MISS P. Siakam 10' driving floating Shot,[1627783],1610612761.0,TOR,driving floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,10.68,Missed,,,,,,,,,,,,,,,,,,
81,PT05M53.00S,2022-10-31T23:52:27.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,18,14,2022-10-31T23:52:29Z,810000,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,80.0,2.0,2.0,0.0,,,,,,,,,,,,,,
82,PT05M48.00S,2022-10-31T23:52:33.4Z,1,REGULAR,3pt,Jump Shot,[],1628381,6.521024967148489,3.6764705882352944,1610612737,18,14,2022-10-31T23:52:39Z,820000,232.0,9.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
83,PT05M44.00S,2022-10-31T23:52:37.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,18,14,2022-10-31T23:52:39Z,830000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Right Corner 3,24+ Right,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
84,PT05M26.00S,2022-10-31T23:52:54.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,91.14651773981603,56.61764705882353,1610612761,20,14,2022-10-31T23:52:59Z,840000,33.0,31.0,1,right,P. Siakam cutting Layup (4 PTS) (S. Barnes 2 AST),"[1627783, 1630567]",1610612761.0,TOR,cutting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,4.51,Made,,,,,4.0,S. Barnes,1630567.0,2.0,,,,,,,,,,
