actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
49,PT07M15.00S,2023-03-18T23:18:19.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203497,9.017739816031538,49.50980392156863,1610612750,10,11,2023-03-18T23:18:25Z,470000,False,2.0,32.0,1,left,R. Gobert cutting DUNK (7 PTS) (T. Prince 1 AST),"[203497, 1627752]",1610612750.0,MIN,cutting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,3.24,Made,,,,,,,7.0,,,,,T. Prince,1627752.0,1.0,,,,
51,PT06M56.00S,2023-03-18T23:18:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,93.38042049934296,54.166666666666664,1610612761,12,11,2023-03-18T23:18:44Z,490000,False,21.0,10.0,1,right,J. Poeltl cutting finger roll Layup (4 PTS) (F. VanVleet 2 AST),"[1627751, 1627832]",1610612761.0,TOR,cutting finger roll,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,2.3,Made,,,,,,,4.0,,,,,F. VanVleet,1627832.0,2.0,,,,
53,PT06M41.00S,2023-03-18T23:18:54.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,8.14717477003942,44.75337009803921,1610612750,12,13,2023-03-18T23:19:00Z,510000,False,26.0,24.0,1,left,J. McDaniels driving DUNK (4 PTS) (R. Gobert 2 AST),"[1630183, 203497]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,3.56,Made,,,,,,,4.0,,,,,R. Gobert,203497.0,2.0,,,,
55,PT06M31.00S,2023-03-18T23:19:08.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,12,13,2023-03-18T23:19:08Z,530000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT06M31.00S,2023-03-18T23:20:24.0Z,1,REGULAR,substitution,out,[],203937,,,1610612761,12,13,2023-03-18T23:21:56Z,540000,False,,,0,,SUB out: K. Anderson,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT06M31.00S,2023-03-18T23:20:24.0Z,1,REGULAR,substitution,in,[],1629638,,,1610612761,12,13,2023-03-18T23:21:56Z,550000,False,,,0,,SUB in: N. Alexander-Walker,[1629638],1610612750.0,MIN,,,,Alexander-Walker,N. Alexander-Walker,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M19.00S,2023-03-18T23:22:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,93.11760840998686,47.05882352941176,1610612761,14,13,2023-03-18T23:23:47Z,560000,False,-15.0,12.0,1,right,F. VanVleet driving Layup (7 PTS),[1627832],1610612761.0,TOR,driving,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,1.91,Made,,,,,,,7.0,,,,,,,,,,,
60,PT05M59.00S,2023-03-18T23:22:37.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627752,8.754927726675426,54.65686274509803,1610612750,14,13,2023-03-18T23:22:41Z,570000,False,-23.0,30.0,1,left,MISS T. Prince driving Layup,[1627752],1610612750.0,MIN,driving,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,3.78,Missed,,,,,,,,,,,,,,,,,,
61,PT05M56.00S,2023-03-18T23:22:39.5Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,14,13,2023-03-18T23:22:39Z,580000,False,,,0,,R. Gobert REBOUND (Off:3 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,60.0,6.0,3.0,3.0,,,,,,,,,,,,,,
62,PT05M55.00S,2023-03-18T23:22:44.1Z,1,REGULAR,foul,personal,[],1627783,,,1610612750,14,13,2023-03-18T23:22:53Z,590000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 203497]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1155.0,,,1.0,0.0,Gobert,203497.0,,,,,,,
