actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT08M40.00S,2023-01-11T00:45:26.4Z,1,REGULAR,3pt,Jump Shot,[],1630163,27.94021024967148,12.745098039215685,1610612766,11,12,2023-01-11T00:45:30Z,390000,False,186.0,210.0,1,left,L. Ball 28' 3PT  (5 PTS) (T. Rozier 2 AST),"[1630163, 1626179]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,28.08,Made,,,,,,5.0,T. Rozier,1626179.0,2.0,,,,,,,,,
42,PT08M25.00S,2023-01-11T00:45:40.7Z,1,REGULAR,3pt,Jump Shot,[],1627783,69.72733245729303,20.833333333333336,1610612761,14,12,2023-01-11T00:45:45Z,410000,False,-146.0,232.0,1,right,P. Siakam 27' 3PT  (7 PTS) (S. Barnes 2 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,27.41,Made,,,,,,7.0,S. Barnes,1630567.0,2.0,,,,,,,,,
45,PT08M12.00S,2023-01-11T00:45:53.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629667,6.389618922470433,48.529411764705884,1610612766,14,14,2023-01-11T00:45:59Z,440000,False,7.0,8.0,1,left,J. McDaniels alley-oop Layup (2 PTS) (T. Rozier 3 AST),"[1629667, 1626179]",1610612766.0,CHA,alley-oop,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.06,Made,,,,,,2.0,T. Rozier,1626179.0,3.0,,,,,,,,,
47,PT08M04.00S,2023-01-11T00:46:02.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,71.69842312746385,78.67647058823529,1610612761,17,14,2023-01-11T00:46:06Z,460000,False,143.0,214.0,1,right,P. Siakam 25' 3PT  (10 PTS) (S. Barnes 3 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,25.72,Made,,,,,,10.0,S. Barnes,1630567.0,3.0,,,,,,,,,
49,PT07M42.00S,2023-01-11T00:46:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629023,26.363337713534822,18.627450980392158,1610612766,17,17,2023-01-11T00:46:28Z,480000,False,157.0,195.0,1,left,P. Washington 25' 3PT  (3 PTS) (J. McDaniels 1 AST),"[1629023, 1629667]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.05,Made,,,,,,3.0,J. McDaniels,1629667.0,1.0,,,,,,,,,
51,PT07M28.00S,2023-01-11T00:46:41.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,17,17,2023-01-11T00:46:41Z,500000,False,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT07M19.00S,2023-01-11T00:49:48.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,95.3515111695138,3.1862745098039214,1610612761,20,17,2023-01-11T00:49:52Z,510000,False,-234.0,-9.0,1,right,O. Anunoby 3PT  (6 PTS) (F. VanVleet 2 AST),"[1628384, 1627832]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.43,Made,,,,,,6.0,F. VanVleet,1627832.0,2.0,,,,,,,,,
54,PT07M01.00S,2023-01-11T00:50:06.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,11.777266754270697,3.6764705882352944,1610612766,20,20,2023-01-11T00:50:10Z,530000,False,232.0,58.0,1,left,P. Washington 3PT  (6 PTS) (T. Rozier 4 AST),"[1629023, 1626179]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,23.88,Made,,,,,,6.0,T. Rozier,1626179.0,4.0,,,,,,,,,
56,PT06M51.00S,2023-01-11T00:50:16.9Z,1,REGULAR,2pt,Jump Shot,[],1628384,76.16622864651774,70.34313725490196,1610612761,20,20,2023-01-11T00:50:21Z,550000,False,102.0,172.0,1,right,MISS O. Anunoby 19' pullup Shot,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Right Center,19.94,Missed,,,,,,,,,,,,,,,,,,
57,PT06M47.00S,2023-01-11T00:50:20.9Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,20,20,2023-01-11T00:50:21Z,560000,False,,,0,,T. Rozier REBOUND (Off:0 Def:2),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT06M40.00S,2023-01-11T00:50:27.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203486,6.389618922470433,50.245098039215684,1610612766,20,22,2023-01-11T00:50:31Z,570000,False,-1.0,8.0,1,left,M. Plumlee cutting DUNK (4 PTS) (L. Ball 2 AST),"[203486, 1630163]",1610612766.0,CHA,cutting,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,0.77,Made,,,,,,4.0,L. Ball,1630163.0,2.0,,,,,,,,,
60,PT06M25.00S,2023-01-11T00:50:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,93.51182654402102,45.83333333333333,1610612761,22,22,2023-01-11T00:50:47Z,590000,False,-21.0,8.0,1,right,F. VanVleet finger roll Layup (3 PTS),[1627832],1610612761.0,TOR,finger roll,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.25,Made,,,,,,3.0,,,,,,,,,,,,
61,PT06M15.00S,2023-01-11T00:50:52.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626179,6.652431011826544,50.73529411764706,1610612766,22,24,2023-01-11T00:50:56Z,600000,False,-4.0,10.0,1,left,T. Rozier driving finger roll Layup (7 PTS),[1626179],1610612766.0,CHA,driving finger roll,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,7.0,,,,,,,,,,,,
62,PT06M05.00S,2023-01-11T00:51:02.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630567,91.93495400788436,56.372549019607845,1610612761,24,24,2023-01-11T00:51:06Z,610000,False,32.0,23.0,1,right,S. Barnes driving bank Hook (2 PTS),[1630567],1610612761.0,TOR,driving bank,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,3.95,Made,,,,,,2.0,,,,,,,,,,,,
63,PT05M56.00S,2023-01-11T00:51:13.9Z,1,REGULAR,foul,personal,['2freethrow'],1627832,,,1610612766,24,24,2023-01-11T00:51:31Z,620000,False,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1627832, 203486]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,2003.0,,,,,1.0,0.0,Plumlee,203486.0,,,,,
65,PT05M56.00S,2023-01-11T00:51:39.2Z,1,REGULAR,freethrow,1 of 2,[],203486,,,1610612766,24,25,2023-01-11T00:52:09Z,640000,False,,,0,,M. Plumlee Free Throw 1 of 2 (5 PTS),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Made,,,,,,5.0,,,,,,,,,,,,
66,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,out,[],1630567,,,1610612766,24,25,2023-01-11T00:51:49Z,650000,False,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,out,[],1629018,,,1610612766,24,25,2023-01-11T00:51:49Z,660000,False,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,out,[],1629667,,,1610612766,24,25,2023-01-11T00:51:49Z,670000,False,,,0,,SUB out: J. McDaniels,[1629667],1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,in,[],1631132,,,1610612766,24,25,2023-01-11T00:51:49Z,680000,False,,,0,,SUB in: C. Koloko,[1631132],1610612761.0,TOR,,,,Koloko,C. Koloko,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,in,[],1627823,,,1610612766,24,25,2023-01-11T00:51:49Z,690000,False,,,0,,SUB in: J. Hernangomez,[1627823],1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M56.00S,2023-01-11T00:51:40.0Z,1,REGULAR,substitution,in,[],1628372,,,1610612766,24,25,2023-01-11T00:51:49Z,700000,False,,,0,,SUB in: D. Smith Jr.,[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2023-01-11T00:51:39.2Z,1,REGULAR,freethrow,2 of 2,[],203486,,,1610612766,24,25,2023-01-11T00:52:09Z,710000,False,,,0,,MISS M. Plumlee Free Throw 2 of 2,[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
73,PT05M54.00S,2023-01-11T00:51:41.2Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,24,25,2023-01-11T00:52:09Z,720000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,72.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M38.00S,2023-01-11T00:52:23.9Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612761,24,25,2023-01-11T00:52:29Z,730000,False,,,0,,O. Anunoby bad pass TURNOVER (2 TO),"[1628384, 1626179]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,2.0,Rozier,1626179.0,,
75,PT05M38.00S,2023-01-11T00:52:23.9Z,1,REGULAR,steal,,[],1626179,,,1610612766,24,25,2023-01-11T00:52:25Z,740000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
76,PT05M36.00S,2023-01-11T00:52:29.1Z,1,REGULAR,foul,offensive,[],1626179,,,1610612766,24,25,2023-01-11T00:52:39Z,750000,False,,,0,,T. Rozier charge offensive FOUL (1 PF),"[1626179, 1627832]",1610612766.0,CHA,charge,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,1.0,0.0,VanVleet,1627832.0,,,,,
78,PT05M36.00S,2023-01-11T00:52:29.1Z,1,REGULAR,turnover,offensive foul,[],1626179,,,1610612766,24,25,2023-01-11T00:52:29Z,770000,False,,,0,,T. Rozier offensive foul TURNOVER (1 TO),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,,,,,,,,,1.0,,,,
79,PT05M23.00S,2023-01-11T00:52:54.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,79.71419185282524,74.26470588235294,1610612761,26,25,2023-01-11T00:52:58Z,780000,False,121.0,138.0,1,right,P. Siakam 18' pullup Jump Shot (12 PTS) (O. Anunoby 2 AST),"[1627783, 1628384]",1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Right Center,18.39,Made,,,,,,12.0,O. Anunoby,1628384.0,2.0,,,,,,,,,
81,PT05M04.00S,2023-01-11T00:53:15.9Z,1,REGULAR,turnover,out-of-bounds,[],1629023,,,1610612766,26,25,2023-01-11T00:53:23Z,800000,False,,,0,,P. Washington step out-of-bounds TURNOVER (1 TO),[1629023],1610612766.0,CHA,step,,,Washington,P. Washington,,,,,Mid-Range,8-16 Left,,,,,,,201246.0,,,,,,,,,1.0,,,,
82,PT04M51.00S,2023-01-11T00:53:39.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,68.01905387647832,24.754901960784316,1610612761,26,25,2023-01-11T00:53:44Z,810000,False,-126.0,248.0,1,right,MISS F. VanVleet 27' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,27.84,Missed,,,,,,,,,,,,,,,,,,
83,PT04M48.00S,2023-01-11T00:53:42.0Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,26,25,2023-01-11T00:53:44Z,820000,False,,,0,,L. Ball REBOUND (Off:0 Def:1),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,,,82.0,1.0,1.0,0.0,,,,,,,,,,,,,,
84,PT04M38.00S,2023-01-11T00:53:55.1Z,1,REGULAR,turnover,traveling,[],1628372,,,1610612766,26,25,2023-01-11T00:54:00Z,830000,False,,,0,,D. Smith Jr. traveling TURNOVER (1 TO),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Center,,,,,,,2003.0,,,,,,,,,1.0,,,,
85,PT04M38.00S,2023-01-11T00:53:59.7Z,1,REGULAR,substitution,out,[],1630163,,,1610612761,26,25,2023-01-11T00:54:06Z,840000,False,,,0,,SUB out: L. Ball,[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M38.00S,2023-01-11T00:53:59.7Z,1,REGULAR,substitution,out,[],1629023,,,1610612761,26,25,2023-01-11T00:54:06Z,850000,False,,,0,,SUB out: P. Washington,[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M38.00S,2023-01-11T00:53:59.7Z,1,REGULAR,substitution,in,[],1628998,,,1610612761,26,25,2023-01-11T00:54:06Z,860000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M38.00S,2023-01-11T00:53:59.7Z,1,REGULAR,substitution,in,[],1630550,,,1610612761,26,25,2023-01-11T00:54:06Z,870000,False,,,0,,SUB in: J. Thor,[1630550],1610612766.0,CHA,,,,Thor,J. Thor,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M26.00S,2023-01-11T00:54:32.0Z,1,REGULAR,foul,offensive,[],1627832,,,1610612761,26,25,2023-01-11T00:54:53Z,880000,False,,,0,,F. VanVleet offensive FOUL (2 PF),"[1627832, 1626179]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201246.0,,,,,2.0,0.0,Rozier,1626179.0,,,,,
