actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
17,PT10M39.00S,2022-10-28T23:42:53.3Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,1,3,2022-10-28T23:43:16Z,170000,,,0,,P. Siakam Free Throw 1 of 2 (1 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
18,PT10M39.00S,2022-10-28T23:42:53.3Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,1,3,2022-10-28T23:43:16Z,180000,,,0,,MISS P. Siakam Free Throw 2 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
19,PT10M37.00S,2022-10-28T23:42:55.3Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,1,3,2022-10-28T23:43:16Z,190000,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,
20,PT10M25.00S,2022-10-28T23:43:27.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,7.966491458607096,97.30392156862744,1610612755,1,6,2022-10-28T23:43:31Z,200000,-237.0,22.0,1,left,T. Maxey 3PT  (6 PTS) (T. Harris 1 AST),"[1630178, 202699]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Left Corner 3,24+ Left,,,,23.76,Made,6.0,T. Harris,202699.0,1.0,,,,,,,,,,,
22,PT10M14.00S,2022-10-28T23:43:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,90.88370565045992,41.911764705882355,1610612761,3,6,2022-10-28T23:43:49Z,220000,-40.0,33.0,1,right,P. Siakam cutting finger roll Layup (3 PTS) (G. Trent Jr. 1 AST),"[1627783, 1629018]",1610612761.0,TOR,cutting finger roll,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,5.23,Made,3.0,G. Trent Jr.,1629018.0,1.0,,,,,,,,,,,
24,PT10M14.00S,2022-10-28T23:43:45.7Z,1,REGULAR,foul,personal,['1freethrow'],202699,,,1610612761,3,6,2022-10-28T23:43:51Z,240000,,,0,,T. Harris shooting personal FOUL (1 PF) (Siakam 1 FT),"[202699, 1627783]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1629183.0,1.0,0.0,Siakam,1627783.0,,
26,PT10M14.00S,2022-10-28T23:44:15.1Z,1,REGULAR,freethrow,1 of 1,[],1627783,,,1610612761,4,6,2022-10-28T23:44:15Z,260000,,,0,,P. Siakam Free Throw 1 of 1 (4 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,
27,PT09M53.00S,2022-10-28T23:44:38.1Z,1,REGULAR,2pt,Jump Shot,[],202699,22.026938239159,28.431372549019606,1610612755,4,8,2022-10-28T23:44:43Z,270000,108.0,155.0,1,left,T. Harris 18' pullup Jump Shot (2 PTS),[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,18.85,Made,2.0,,,,,,,,,,,,,,
28,PT09M53.00S,2022-10-28T23:44:42.4Z,1,REGULAR,foul,personal,['1freethrow'],1627832,,,1610612755,4,8,2022-10-28T23:44:48Z,280000,,,0,,F. VanVleet shooting personal FOUL (1 PF) (Harris 1 FT),"[1627832, 202699]",1610612761.0,TOR,shooting,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,1629183.0,1.0,0.0,Harris,202699.0,,
30,PT09M53.00S,2022-10-28T23:45:05.5Z,1,REGULAR,freethrow,1 of 1,[],202699,,,1610612755,4,9,2022-10-28T23:45:05Z,300000,,,0,,T. Harris Free Throw 1 of 1 (3 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,
31,PT09M41.00S,2022-10-28T23:45:19.8Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612761,4,9,2022-10-28T23:45:26Z,310000,,,0,,O. Anunoby bad pass out-of-bounds TURNOVER (1 TO),[1628384],1610612761.0,TOR,bad pass,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.0,,,,,,,,,,,,,2715.0,,,,,,
32,PT09M19.00S,2022-10-28T23:45:48.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629001,17.296320630749015,45.34313725490196,1610612755,4,11,2022-10-28T23:45:53Z,320000,23.0,110.0,1,left,D. Melton 11' fadeaway Jump Shot (2 PTS) (J. Harden 1 AST),"[1629001, 201935]",1610612755.0,PHI,fadeaway,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,,11.25,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,
34,PT09M05.00S,2022-10-28T23:46:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.85479632063075,54.65686274509803,1610612761,4,11,2022-10-28T23:46:09Z,340000,23.0,15.0,1,right,MISS F. VanVleet driving reverse Layup,[1627832],1610612761.0,TOR,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,2.75,Missed,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-10-28T23:46:03.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,11,2022-10-28T23:46:09Z,350000,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,
36,PT08M59.00S,2022-10-28T23:46:08.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629001,25.837713534822605,12.5,1610612755,4,11,2022-10-28T23:46:15Z,360000,188.0,190.0,1,left,MISS D. Melton 26' running pullup 3PT,[1629001],1610612755.0,PHI,running pullup,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,26.72,Missed,,,,,,,,,,,,,,,
37,PT08M56.00S,2022-10-28T23:46:11.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,4,11,2022-10-28T23:46:15Z,370000,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,,,
38,PT08M42.00S,2022-10-28T23:46:25.2Z,1,REGULAR,3pt,Jump Shot,[],1627832,85.62746386333771,3.9215686274509802,1610612761,4,11,2022-10-28T23:46:29Z,380000,-230.0,83.0,1,right,MISS F. VanVleet 24' 3PT,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,,,,24.48,Missed,,,,,,,,,,,,,,,
39,PT08M40.00S,2022-10-28T23:46:27.2Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612761,4,11,2022-10-28T23:46:29Z,390000,,,0,,O. Anunoby REBOUND (Off:1 Def:0),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,38.0,1.0,0.0,1.0,,,,,,,
40,PT08M35.00S,2022-10-28T23:46:32.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630567,70.51576872536137,75.98039215686273,1610612761,7,11,2022-10-28T23:46:37Z,400000,130.0,225.0,1,right,S. Barnes 25' 3PT  (3 PTS) (G. Trent Jr. 2 AST),"[1630567, 1629018]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,25.95,Made,3.0,G. Trent Jr.,1629018.0,2.0,,,,,,,,,,,
42,PT08M17.00S,2022-10-28T23:46:50.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.07161629434954,85.29411764705883,1610612755,7,14,2022-10-28T23:46:54Z,420000,-176.0,211.0,1,left,T. Maxey 27' 3PT  (9 PTS) (D. Melton 2 AST),"[1630178, 1629001]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,27.54,Made,9.0,D. Melton,1629001.0,2.0,,,,,,,,,,,
44,PT07M59.00S,2022-10-28T23:47:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629018,81.15965834428384,47.30392156862745,1610612761,9,14,2022-10-28T23:47:13Z,440000,-13.0,125.0,1,right,G. Trent Jr. 12' pullup Jump Shot (2 PTS),[1629018],1610612761.0,TOR,pullup,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,12.53,Made,2.0,,,,,,,,,,,,,,
45,PT07M38.00S,2022-10-28T23:47:37.7Z,1,REGULAR,violation,kicked ball,[],1627783,,,1610612755,9,14,2022-10-28T23:47:43Z,450000,,,0,,P. Siakam kicked ball VIOLATION,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,,,,,,,,,,,,2715.0,,,,,,
46,PT07M30.00S,2022-10-28T23:47:55.6Z,1,REGULAR,3pt,Jump Shot,[],202699,6.783837056504599,95.83333333333334,1610612755,9,17,2022-10-28T23:47:59Z,460000,-229.0,11.0,1,left,T. Harris 3PT  (6 PTS) (D. Melton 3 AST),"[202699, 1629001]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,22.95,Made,6.0,D. Melton,1629001.0,3.0,,,,,,,,,,,
48,PT07M17.00S,2022-10-28T23:48:08.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,69.59592641261499,22.30392156862745,1610612761,12,17,2022-10-28T23:48:12Z,480000,-138.0,233.0,1,right,O. Anunoby 27' 3PT  (3 PTS) (P. Siakam 1 AST),"[1628384, 1627783]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,27.13,Made,3.0,P. Siakam,1627783.0,1.0,,,,,,,,,,,
50,PT06M59.00S,2022-10-28T23:48:27.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629001,6.521024967148489,45.83333333333333,1610612755,12,17,2022-10-28T23:52:21Z,500000,21.0,9.0,1,left,MISS D. Melton driving Layup,[1629001],1610612755.0,PHI,driving,,,Melton,D. Melton,,,,,Restricted Area,0-8 Center,,,,2.26,Missed,,,,,,,,,,,,,,,
52,PT06M53.00S,2022-10-28T23:48:33.0Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,12,17,2022-10-28T23:48:33Z,520000,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,
53,PT06M51.00S,2022-10-28T23:48:34.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,74.06373193166885,12.990196078431374,1610612761,12,17,2022-10-28T23:48:42Z,530000,-185.0,191.0,1,right,MISS F. VanVleet 26' running 3PT,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,26.61,Missed,,,,,,,,,,,,,,,
54,PT06M49.00S,2022-10-28T23:48:37.1Z,1,REGULAR,rebound,offensive,[],1627783,,,1610612761,12,17,2022-10-28T23:48:37Z,540000,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,53.0,3.0,2.0,1.0,,,,,,,
55,PT06M47.00S,2022-10-28T23:48:39.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629018,95.0886990801577,3.6764705882352944,1610612761,12,17,2022-10-28T23:48:46Z,550000,-232.0,-6.0,1,right,MISS G. Trent Jr. 3PT,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Left Corner 3,24+ Left,,,,23.17,Missed,,,,,,,,,,,,,,,
56,PT06M47.00S,2022-10-28T23:48:39.3Z,1,REGULAR,rebound,defensive,[],200782,,,1610612755,12,17,2022-10-28T23:48:46Z,560000,,,0,,P. Tucker REBOUND (Off:0 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,
57,PT06M38.00S,2022-10-28T23:48:47.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,7.046649145860711,3.9215686274509802,1610612755,12,20,2022-10-28T23:48:52Z,570000,230.0,14.0,1,left,T. Maxey 3PT running (12 PTS) (T. Harris 2 AST),"[1630178, 202699]",1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Right Corner 3,24+ Right,,,,23.08,Made,12.0,T. Harris,202699.0,2.0,,,,,,,,,,,
59,PT06M29.00S,2022-10-28T23:48:59.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,12,20,2022-10-28T23:49:00Z,590000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M13.00S,2022-10-28T23:52:09.6Z,1,REGULAR,turnover,lost ball,[],1630567,,,1610612761,12,20,2022-10-28T23:52:13Z,600000,,,0,,S. Barnes lost ball TURNOVER (1 TO),"[1630567, 1629001]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Center,1.0,Melton,1629001.0,,,,,,,,,,,,,,,,,
61,PT06M13.00S,2022-10-28T23:52:09.6Z,1,REGULAR,steal,,[],1629001,,,1610612755,12,20,2022-10-28T23:53:10Z,610000,,,0,,D. Melton STEAL (1 STL),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
62,PT06M09.00S,2022-10-28T23:52:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202699,7.178055190538765,43.627450980392155,1610612755,12,20,2022-10-28T23:52:23Z,620000,32.0,15.0,1,left,MISS T. Harris running Layup - blocked,"[202699, 1628384]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,3.53,Missed,,,,,,,,,,,,,,Anunoby,1628384.0
63,PT06M09.00S,2022-10-28T23:52:13.1Z,1,REGULAR,block,,[],1628384,,,1610612755,12,20,2022-10-28T23:52:15Z,630000,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT06M09.00S,2022-10-28T23:52:13.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,12,20,2022-10-28T23:52:23Z,640000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,62.0,,,,,,,,,,
66,PT05M55.00S,2022-10-28T23:52:40.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",201935,10.068988173455978,52.69607843137255,1610612755,12,20,2022-10-28T23:52:45Z,660000,-13.0,42.0,1,left,MISS J. Harden driving floating Shot,[201935],1610612755.0,PHI,driving floating,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,4.42,Missed,,,,,,,,,,,,,,,
67,PT05M53.00S,2022-10-28T23:52:42.4Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612761,12,20,2022-10-28T23:52:45Z,670000,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,66.0,2.0,1.0,1.0,,,,,,,
68,PT05M41.00S,2022-10-28T23:52:54.4Z,1,REGULAR,3pt,Jump Shot,[],1630567,92.85479632063075,96.81372549019608,1610612761,12,20,2022-10-28T23:52:58Z,680000,234.0,15.0,1,right,MISS S. Barnes 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Right Corner 3,24+ Right,,,,23.46,Missed,,,,,,,,,,,,,,,
69,PT05M39.00S,2022-10-28T23:52:56.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,12,20,2022-10-28T23:52:58Z,690000,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,,,,,,,,,,68.0,2.0,2.0,0.0,,,,,,,
70,PT05M19.00S,2022-10-28T23:53:16.4Z,1,REGULAR,3pt,Jump Shot,[],201935,32.802233902759525,36.27450980392157,1610612755,12,20,2022-10-28T23:53:21Z,700000,69.0,256.0,1,left,MISS J. Harden 26' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,26.48,Missed,,,,,,,,,,,,,,,
71,PT05M16.00S,2022-10-28T23:53:19.4Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,12,20,2022-10-28T23:53:21Z,710000,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,,,,,,,70.0,1.0,1.0,0.0,,,,,,,
73,PT05M15.00S,2022-10-28T23:53:29.9Z,1,REGULAR,substitution,out,[],1630567,,,1610612761,12,20,2022-10-28T23:53:42Z,730000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M15.00S,2022-10-28T23:53:29.9Z,1,REGULAR,substitution,out,[],1629018,,,1610612761,12,20,2022-10-28T23:53:42Z,740000,,,0,,SUB out: G. Trent Jr.,[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M15.00S,2022-10-28T23:53:29.9Z,1,REGULAR,substitution,in,[],1628449,,,1610612761,12,20,2022-10-28T23:53:42Z,750000,,,0,,SUB in: C. Boucher,[1628449],1610612761.0,TOR,,,,Boucher,C. Boucher,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M15.00S,2022-10-28T23:53:29.9Z,1,REGULAR,substitution,in,[],1630173,,,1610612761,12,20,2022-10-28T23:53:42Z,760000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M03.00S,2022-10-28T23:53:56.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,81.68528252299606,36.27450980392157,1610612761,14,20,2022-10-28T23:54:01Z,770000,-69.0,120.0,1,right,P. Siakam 13' pullup Jump Shot (6 PTS) (F. VanVleet 1 AST),"[1627783, 1627832]",1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,13.8,Made,6.0,F. VanVleet,1627832.0,1.0,,,,,,,,,,,
79,PT04M47.00S,2022-10-28T23:54:12.0Z,1,REGULAR,3pt,Jump Shot,[],1629001,24.26084099868594,13.23529411764706,1610612755,14,20,2022-10-28T23:54:16Z,790000,184.0,176.0,1,left,MISS D. Melton 25' 3PT,[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Above the Break 3,24+ Right Center,,,,25.42,Missed,,,,,,,,,,,,,,,
80,PT04M45.00S,2022-10-28T23:54:14.0Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,14,20,2022-10-28T23:54:16Z,800000,,,0,,P. Tucker REBOUND (Off:1 Def:1),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,79.0,2.0,1.0,1.0,,,,,,,
81,PT04M45.00S,2022-10-28T23:54:18.1Z,1,REGULAR,foul,personal,[],1627832,,,1610612755,14,20,2022-10-28T23:55:13Z,810000,,,0,,F. VanVleet personal FOUL (2 PF),"[1627832, 200782]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,201245.0,2.0,0.0,Tucker,200782.0,,
83,PT04M45.00S,2022-10-28T23:54:24.9Z,1,REGULAR,substitution,out,[],1630178,,,1610612755,14,20,2022-10-28T23:54:28Z,830000,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M45.00S,2022-10-28T23:54:24.9Z,1,REGULAR,substitution,in,[],1629680,,,1610612755,14,20,2022-10-28T23:54:28Z,840000,,,0,,SUB in: M. Thybulle,[1629680],1610612755.0,PHI,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M45.00S,2022-10-28T23:54:24.9Z,1,REGULAR,substitution,out,[],1627832,,,1610612755,14,20,2022-10-28T23:54:39Z,850000,,,0,,SUB out: F. VanVleet,[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M45.00S,2022-10-28T23:54:24.9Z,1,REGULAR,substitution,in,[],1630625,,,1610612755,14,20,2022-10-28T23:54:39Z,860000,,,0,,SUB in: D. Banton,[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M37.00S,2022-10-28T23:55:39.4Z,1,REGULAR,turnover,lost ball,[],201935,,,1610612755,14,20,2022-10-29T00:01:51Z,880000,,,0,,J. Harden lost ball TURNOVER (1 TO),"[201935, 1630625]",1610612755.0,PHI,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,1.0,Banton,1630625.0,,,,,,,,,,,,,,,,,
89,PT04M37.00S,2022-10-28T23:55:39.4Z,1,REGULAR,steal,,[],1630625,,,1610612761,14,20,2022-10-29T00:05:21Z,890000,,,0,,D. Banton STEAL (1 STL),[1630625],1610612761.0,TOR,,,,Banton,D. Banton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
