actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
15,PT10M39.00S,2022-10-19T23:46:10.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630596,27.151773981603156,83.82352941176471,1610612739,2,3,2022-10-19T23:46:14Z,150000,-169.0,203.0,1,left,E. Mobley 26' 3PT  (3 PTS) (C. LeVert 1 AST),"[1630596, 1627747]",1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Left Center,26.4,Made,,,,,3.0,,,C. LeVert,1627747.0,1.0,,,,,,,,
17,PT10M16.00S,2022-10-19T23:46:33.1Z,1,REGULAR,2pt,Jump Shot,[],1630567,75.50919842312747,44.6078431372549,1610612761,4,3,2022-10-19T23:46:38Z,170000,-27.0,178.0,1,right,S. Barnes 17' fadeaway Jump Shot (2 PTS),[1630567],1610612761.0,TOR,fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Center,17.97,Made,,,,,2.0,,,,,,,,,,,,,
18,PT09M59.00S,2022-10-19T23:46:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627747,7.30946123521682,53.18627450980392,1610612739,4,3,2022-10-19T23:46:57Z,180000,-16.0,16.0,1,left,MISS C. LeVert driving reverse Layup,[1627747],1610612739.0,CLE,driving reverse,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,2.27,Missed,,,,,,,,,,,,,,,,,,
19,PT09M58.00S,2022-10-19T23:46:52.7Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,4,3,2022-10-19T23:46:52Z,190000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT09M56.00S,2022-10-19T23:46:55.6Z,1,REGULAR,foul,personal,['2freethrow'],1630567,,,1610612739,4,3,2022-10-19T23:47:05Z,200000,,,0,,S. Barnes shooting personal FOUL (1 PF) (Mobley 2 FT),"[1630567, 1630596]",1610612761.0,TOR,shooting,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202026.0,,,,,1.0,0.0,Mobley,1630596.0,,,,
22,PT09M56.00S,2022-10-19T23:47:14.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630596,,,1610612739,4,4,2022-10-19T23:47:29Z,220000,,,0,,E. Mobley Free Throw 1 of 2 (4 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
23,PT09M56.00S,2022-10-19T23:47:14.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630596,,,1610612739,4,4,2022-10-19T23:47:29Z,230000,,,0,,MISS E. Mobley Free Throw 2 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2022-10-19T23:47:17.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,4,2022-10-19T23:47:29Z,240000,,,0,,P. Siakam REBOUND (Off:1 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT09M42.00S,2022-10-19T23:47:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,84.57621550591328,38.72549019607843,1610612761,4,4,2022-10-19T23:47:52Z,250000,-56.0,92.0,1,right,MISS O. Anunoby 10' turnaround bank Shot,[1628384],1610612761.0,TOR,turnaround bank,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,10.83,Missed,,,,,,,,,,,,,,,,,,
26,PT09M39.00S,2022-10-19T23:47:43.1Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,4,4,2022-10-19T23:47:52Z,260000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,25.0,2.0,1.0,1.0,,,,,,,,,,,,,,
27,PT09M23.00S,2022-10-19T23:47:58.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629636,16.376478318002626,52.450980392156865,1610612739,4,4,2022-10-19T23:48:04Z,270000,-12.0,101.0,1,left,MISS D. Garland 10' driving floating Shot,[1629636],1610612739.0,CLE,driving floating,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,10.21,Missed,,,,,,,,,,,,,,,,,,
28,PT09M18.00S,2022-10-19T23:48:03.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,4,4,2022-10-19T23:48:04Z,280000,,,0,,P. Siakam REBOUND (Off:1 Def:2),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,,,
29,PT09M15.00S,2022-10-19T23:48:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1627747,,,1610612761,4,4,2022-10-19T23:48:19Z,290000,,,0,,C. LeVert shooting personal FOUL (1 PF) (Siakam 2 FT),"[1627747, 1627783]",1610612739.0,CLE,shooting,,,LeVert,C. LeVert,,,,,Restricted Area,0-8 Center,,,,,,,,201639.0,,,,,1.0,0.0,Siakam,1627783.0,,,,
31,PT09M15.00S,2022-10-19T23:48:39.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1627783,,,1610612761,4,4,2022-10-19T23:48:39Z,310000,,,0,,MISS P. Siakam Free Throw 1 of 2,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2022-10-19T23:48:39.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612761,4,4,2022-10-19T23:48:39Z,320000,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,
33,PT09M15.00S,2022-10-19T23:48:52.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1627783,,,1610612761,5,4,2022-10-19T23:48:52Z,330000,,,0,,P. Siakam Free Throw 2 of 2 (3 PTS),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
34,PT08M54.00S,2022-10-19T23:49:15.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630596,19.530223390275953,49.50980392156863,1610612739,5,4,2022-10-19T23:49:21Z,340000,2.0,131.0,1,left,MISS E. Mobley 13' turnaround fadeaway Shot,[1630596],1610612739.0,CLE,turnaround fadeaway,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),8-16 Center,13.11,Missed,,,,,,,,,,,,,,,,,,
35,PT08M51.00S,2022-10-19T23:49:18.4Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,5,4,2022-10-19T23:49:21Z,350000,,,0,,J. Allen REBOUND (Off:2 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,34.0,3.0,1.0,2.0,,,,,,,,,,,,,,
36,PT08M46.00S,2022-10-19T23:49:23.9Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,5,4,2022-10-19T23:49:28Z,360000,,,0,,D. Garland bad pass TURNOVER (1 TO),"[1629636, 1627783]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,,,,,,,,Siakam,1627783.0,,
37,PT08M46.00S,2022-10-19T23:49:23.9Z,1,REGULAR,steal,,[],1627783,,,1610612761,5,4,2022-10-19T23:49:26Z,370000,,,0,,P. Siakam STEAL (1 STL),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
38,PT08M41.00S,2022-10-19T23:49:28.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629018,69.59592641261499,19.11764705882353,1610612761,8,4,2022-10-19T23:49:35Z,380000,-154.0,233.0,1,right,G. Trent Jr. 27' 3PT running (3 PTS) (F. VanVleet 1 AST),"[1629018, 1627832]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,27.98,Made,,,,,3.0,,,F. VanVleet,1627832.0,1.0,,,,,,,,
40,PT08M33.00S,2022-10-19T23:49:36.5Z,1,REGULAR,turnover,bad pass,[],1629636,,,1610612739,8,4,2022-10-19T23:49:40Z,400000,,,0,,D. Garland bad pass TURNOVER (2 TO),"[1629636, 1627832]",1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Left Center,,,,,,,,,2.0,,,,,,,,VanVleet,1627832.0,,
41,PT08M33.00S,2022-10-19T23:49:36.5Z,1,REGULAR,steal,,[],1627832,,,1610612761,8,4,2022-10-19T23:49:38Z,410000,,,0,,F. VanVleet STEAL (1 STL),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
42,PT08M23.00S,2022-10-19T23:49:46.2Z,1,REGULAR,turnover,lost ball,[],1627783,,,1610612761,8,4,2022-10-19T23:49:49Z,420000,,,0,,P. Siakam lost ball TURNOVER (1 TO),"[1627783, 1629636]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,,,,,,,,,1.0,,,,,,,,Garland,1629636.0,,
43,PT08M23.00S,2022-10-19T23:49:46.2Z,1,REGULAR,steal,,[],1629636,,,1610612739,8,4,2022-10-19T23:49:48Z,430000,,,0,,D. Garland STEAL (1 STL),[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M20.00S,2022-10-19T23:49:50.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628378,8.492115637319317,47.05882352941176,1610612739,8,6,2022-10-19T23:49:57Z,440000,15.0,27.0,1,left,D. Mitchell running finger roll Layup (2 PTS) (D. Garland 1 AST),"[1628378, 1629636]",1610612739.0,CLE,running finger roll,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,3.1,Made,,,,,2.0,,,D. Garland,1629636.0,1.0,,,,,,,,
46,PT08M07.00S,2022-10-19T23:50:02.6Z,1,REGULAR,2pt,Jump Shot,[],1630567,84.83902759526939,13.725490196078432,1610612761,8,6,2022-10-19T23:50:09Z,460000,-181.0,90.0,1,right,MISS S. Barnes 20' turnaround fadeaway Shot,[1630567],1610612761.0,TOR,turnaround fadeaway,,,Barnes,S. Barnes,,,,,Mid-Range,16-24 Left,20.25,Missed,,,,,,,,,,,,,,,,,,
47,PT08M04.00S,2022-10-19T23:50:05.6Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,8,6,2022-10-19T23:50:09Z,470000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,,
48,PT07M55.00S,2022-10-19T23:50:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,13.091327201051248,47.549019607843135,1610612739,8,8,2022-10-19T23:50:18Z,480000,12.0,71.0,1,left,D. Mitchell 7' driving floating Jump Shot (4 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,,,,,4.0,,,,,,,,,,,,,
49,PT07M36.00S,2022-10-19T23:50:32.9Z,1,REGULAR,2pt,Jump Shot,[],1627783,86.67871222076215,73.77450980392157,1610612761,10,8,2022-10-19T23:50:36Z,490000,119.0,73.0,1,right,P. Siakam 13' pullup Jump Shot (5 PTS),[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,13.94,Made,,,,,5.0,,,,,,,,,,,,,
50,PT07M19.00S,2022-10-19T23:50:50.7Z,1,REGULAR,2pt,Jump Shot,[],1629636,26.757555847568987,63.48039215686274,1610612739,10,10,2022-10-19T23:50:54Z,500000,-67.0,199.0,1,left,D. Garland 21' pullup Jump Shot (2 PTS),[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,Mid-Range,16-24 Left Center,21.01,Made,,,,,2.0,,,,,,,,,,,,,
51,PT07M07.00S,2022-10-19T23:51:02.2Z,1,REGULAR,3pt,Jump Shot,[],1629018,73.53810775295663,83.82352941176471,1610612761,13,10,2022-10-19T23:51:07Z,510000,169.0,196.0,1,right,G. Trent Jr. 25' 3PT step back (6 PTS) (O. Anunoby 1 AST),"[1629018, 1628384]",1610612761.0,TOR,step back,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,25.9,Made,,,,,6.0,,,O. Anunoby,1628384.0,1.0,,,,,,,,
53,PT06M53.00S,2022-10-19T23:51:16.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,13.222733245729303,46.32352941176471,1610612739,13,10,2022-10-20T02:15:27Z,530000,18.0,72.0,1,left,MISS D. Garland 7' driving finger roll Layup,[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,,,,,,,,,,
54,PT06M49.00S,2022-10-19T23:51:20.1Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,13,10,2022-10-19T23:51:23Z,540000,,,0,,J. Allen REBOUND (Off:3 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,53.0,4.0,1.0,3.0,,,,,,,,,,,,,,
55,PT06M49.00S,2022-10-19T23:51:19.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,5.590000152587891,50.0,1610612739,13,10,2022-10-19T23:51:19Z,550000,0.0,0.0,1,left,MISS J. Allen tip Layup,[1628386],1610612739.0,CLE,tip,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2022-10-19T23:51:20.4Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,13,10,2022-10-19T23:51:20Z,560000,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,,
57,PT06M45.00S,2022-10-19T23:51:24.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630567,93.11760840998686,46.568627450980394,1610612761,13,10,2022-10-19T23:51:32Z,570000,-17.0,12.0,1,right,MISS S. Barnes driving DUNK,[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
58,PT06M41.00S,2022-10-19T23:51:27.9Z,1,REGULAR,rebound,offensive,[],1629018,,,1610612761,13,10,2022-10-19T23:51:27Z,580000,,,0,,G. Trent Jr. REBOUND (Off:1 Def:0),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,57.0,1.0,0.0,1.0,,,,,,,,,,,,,,
59,PT06M35.00S,2022-10-19T23:51:35.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630567,93.9060446780552,48.77450980392157,1610612761,13,10,2022-10-19T23:55:02Z,590000,-6.0,5.0,1,right,MISS S. Barnes Layup - blocked,"[1630567, 1630596]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.78,Missed,,,,,,,,,,,,,,,,,Mobley,1630596.0
60,PT06M35.00S,2022-10-19T23:51:35.7Z,1,REGULAR,block,,[],1630596,,,1610612761,13,10,2022-10-19T23:51:38Z,600000,,,0,,E. Mobley BLOCK (1 BLK),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
69,PT06M35.00S,2022-10-19T23:51:35.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,13,10,2022-10-19T23:55:22Z,605000,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,Restricted Area,0-8 Center,,,59.0,,,,,,,,,,,,,,,,,
61,PT06M35.00S,2022-10-19T23:51:50.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,13,10,2022-10-19T23:55:00Z,610000,,,0,,TOR Timeout,[],1610612761.0,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M35.00S,2022-10-19T23:51:53.0Z,1,REGULAR,substitution,out,[],1628384,,,1610612739,13,10,2022-10-19T23:55:00Z,620000,,,0,,SUB out: O. Anunoby,[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2022-10-19T23:51:53.0Z,1,REGULAR,substitution,out,[],1629636,,,1610612739,13,10,2022-10-19T23:55:00Z,630000,,,0,,SUB out: D. Garland,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M35.00S,2022-10-19T23:51:53.0Z,1,REGULAR,substitution,in,[],1630173,,,1610612739,13,10,2022-10-19T23:55:00Z,640000,,,0,,SUB in: P. Achiuwa,[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M35.00S,2022-10-19T23:51:53.0Z,1,REGULAR,substitution,in,[],1630171,,,1610612739,13,10,2022-10-19T23:55:00Z,650000,,,0,,SUB in: I. Okoro,[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M32.00S,2022-10-19T23:55:00.8Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,13,10,2022-10-19T23:55:00Z,660000,,,0,,Jump Ball E. Mobley vs. S. Barnes: Tip to D. Mitchell,"[1628378, 1630596, 1630567]",1610612739.0,CLE,heldball,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Mobley,1630596.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
70,PT06M20.00S,2022-10-19T23:55:15.2Z,1,REGULAR,foul,personal,[],1627783,,,1610612739,13,10,2022-10-19T23:55:25Z,690000,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1628386]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,,,,201639.0,,,,,1.0,0.0,Allen,1628386.0,,,,
72,PT06M20.00S,2022-10-19T23:55:21.3Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,13,10,2022-10-19T23:55:27Z,710000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M20.00S,2022-10-19T23:55:21.3Z,1,REGULAR,substitution,in,[],201567,,,1610612739,13,10,2022-10-19T23:55:27Z,720000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2022-10-19T23:55:39.7Z,1,REGULAR,3pt,Jump Shot,[],1628378,35.03613666228647,41.911764705882355,1610612739,13,10,2022-10-19T23:55:44Z,730000,40.0,277.0,1,left,MISS D. Mitchell 27' pullup 3PT,[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Center,27.97,Missed,,,,,,,,,,,,,,,,,,
75,PT06M12.00S,2022-10-19T23:55:43.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,13,10,2022-10-19T23:55:44Z,740000,,,0,,P. Siakam REBOUND (Off:1 Def:3),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,74.0,4.0,3.0,1.0,,,,,,,,,,,,,,
76,PT05M57.00S,2022-10-19T23:55:59.2Z,1,REGULAR,turnover,out-of-bounds,[],1627783,,,1610612761,13,10,2022-10-19T23:56:04Z,750000,,,0,,P. Siakam bad pass out-of-bounds TURNOVER (2 TO),[1627783],1610612761.0,TOR,bad pass,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Left,,,,,,,,202026.0,2.0,,,,,,,,,,,
77,PT05M45.00S,2022-10-19T23:56:23.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,32.276609724047304,67.40196078431373,1610612739,13,13,2022-10-19T23:56:28Z,760000,-87.0,251.0,1,left,C. LeVert 26' 3PT pullup (3 PTS),[1627747],1610612739.0,CLE,pullup,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,26.56,Made,,,,,3.0,,,,,,,,,,,,,
78,PT05M31.00S,2022-10-19T23:56:37.9Z,1,REGULAR,2pt,Jump Shot,[],1627832,84.31340341655716,78.43137254901961,1610612761,13,13,2022-10-19T23:56:41Z,770000,142.0,95.0,1,right,MISS F. VanVleet 17' pullup Shot,[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Mid-Range,16-24 Right,17.1,Missed,,,,,,,,,,,,,,,,,,
79,PT05M29.00S,2022-10-19T23:56:39.9Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,13,13,2022-10-19T23:56:41Z,780000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Right,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
81,PT05M21.00S,2022-10-19T23:56:51.6Z,1,REGULAR,substitution,out,[],1630567,,,1610612739,13,13,2022-10-19T23:57:05Z,800000,,,0,,SUB out: S. Barnes,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M21.00S,2022-10-19T23:56:51.6Z,1,REGULAR,substitution,out,[],1627747,,,1610612739,13,13,2022-10-19T23:57:05Z,810000,,,0,,SUB out: C. LeVert,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,,
