actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT11M15.00S,2022-11-02T02:09:03.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,65.52233902759527,46.81372549019608,1610612756,0,1,2022-11-02T02:09:08Z,160000,-16.0,272.0,1,right,MISS C. Johnson 27' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,27.21,Missed,,,,,,,,,,,,,,,,,,
17,PT11M12.00S,2022-11-02T02:09:06.5Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,1,2022-11-02T02:09:08Z,170000,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M59.00S,2022-11-02T02:09:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,8.360709592641262,40.931372549019606,1610612750,0,1,2022-11-02T02:09:52Z,180000,45.0,26.0,1,left,MISS J. McDaniels driving Layup - blocked,"[1630183, 202687]",1610612750.0,MIN,driving,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,5.23,Missed,,,,,,,,,,,Biyombo,202687.0,,,,,,
19,PT10M59.00S,2022-11-02T02:09:19.3Z,1,REGULAR,block,,[],202687,,,1610612750,0,1,2022-11-02T02:09:26Z,190000,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M58.00S,2022-11-02T02:09:20.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,0,1,2022-11-02T02:09:32Z,200000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,,,,,,,,,,,,,,,,,
21,PT10M40.00S,2022-11-02T02:09:52.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,94.30026281208936,97.30392156862744,1610612756,0,1,2022-11-02T02:09:55Z,210000,237.0,1.0,1,right,MISS C. Johnson 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.65,Missed,,,,,,,,,,,,,,,,,,
22,PT10M38.00S,2022-11-02T02:09:54.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,1,2022-11-02T02:09:55Z,220000,,,0,,R. Gobert REBOUND (Off:0 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Right Corner 3,24+ Right,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M31.00S,2022-11-02T02:10:00.5Z,1,REGULAR,turnover,lost ball,[],1630162,,,1610612750,0,1,2022-11-02T02:10:06Z,230000,,,0,,A. Edwards lost ball TURNOVER (1 TO),"[1630162, 101108]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,1.0,Paul,101108.0,,,
24,PT10M31.00S,2022-11-02T02:10:00.5Z,1,REGULAR,steal,,[],101108,,,1610612756,0,1,2022-11-02T02:10:36Z,240000,,,0,,C. Paul STEAL (1 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M26.00S,2022-11-02T02:10:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629661,92.85479632063075,43.13725490196079,1610612756,0,1,2022-11-02T02:10:12Z,250000,-34.0,15.0,1,right,MISS C. Johnson running Layup,[1629661],1610612756.0,PHX,running,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,3.73,Missed,,,,,,,,,,,,,,,,,,
26,PT10M24.00S,2022-11-02T02:10:07.4Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,0,1,2022-11-02T02:10:12Z,260000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT10M11.00S,2022-11-02T02:10:20.1Z,1,REGULAR,2pt,Jump Shot,[],1626156,24.917871222076215,49.26470588235294,1610612750,0,1,2022-11-02T02:10:26Z,270000,4.0,182.0,1,left,MISS D. Russell 18' Jump Shot,[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,18.17,Missed,,,,,,,,,,,,,,,,,,
28,PT10M09.00S,2022-11-02T02:10:22.1Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,1,2022-11-02T02:10:26Z,280000,,,0,,R. Gobert REBOUND (Off:1 Def:2),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,16-24 Center,,,27.0,3.0,2.0,1.0,,,,,,,,,,,,,,
29,PT10M07.00S,2022-11-02T02:10:24.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203497,6.1268068331143235,50.98039215686274,1610612750,0,1,2022-11-02T02:13:03Z,290000,-5.0,5.0,1,left,MISS R. Gobert Layup,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.71,Missed,,,,,,,,,,,,,,,,,,
30,PT10M05.00S,2022-11-02T02:10:26.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,0,1,2022-11-02T02:10:31Z,300000,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M48.00S,2022-11-02T02:10:43.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,91.93495400788436,66.66666666666666,1610612756,0,1,2022-11-02T02:13:37Z,310000,83.0,23.0,1,right,MISS D. Booker 8' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,Mid-Range,8-16 Right,8.65,Missed,,,,,,,,,,,,,,,,,,
32,PT09M45.00S,2022-11-02T02:10:46.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,1,2022-11-02T02:10:52Z,320000,,,0,,R. Gobert REBOUND (Off:1 Def:3),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Right,,,31.0,4.0,3.0,1.0,,,,,,,,,,,,,,
33,PT09M36.00S,2022-11-02T02:10:55.1Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,0,1,2022-11-02T02:11:04Z,330000,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,bad pass,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,,,,,2882.0,,,,,,,,1.0,,,,,
34,PT09M27.00S,2022-11-02T02:11:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626164,93.51182654402102,48.03921568627451,1610612756,0,1,2022-11-02T02:11:34Z,340000,-10.0,8.0,1,right,MISS D. Booker driving Layup - blocked,"[1626164, 203497]",1610612756.0,PHX,driving,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.3,Missed,,,,,,,,,,,Gobert,203497.0,,,,,,
35,PT09M27.00S,2022-11-02T02:11:29.4Z,1,REGULAR,block,,[],203497,,,1610612756,0,1,2022-11-02T02:11:31Z,350000,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M25.00S,2022-11-02T02:11:31.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,1,2022-11-02T02:11:34Z,360000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M22.00S,2022-11-02T02:11:35.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630162,5.995400788436268,48.28431372549019,1610612750,0,3,2022-11-02T02:11:47Z,370000,9.0,4.0,1,left,A. Edwards running alley-oop Layup (3 PTS) (K. Towns 1 AST),"[1630162, 1626157]",1610612750.0,MIN,running alley-oop,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,0.94,Made,,,,,,,,,,3.0,,,,,,K. Towns,1626157.0,1.0
39,PT09M13.00S,2022-11-02T02:11:45.7Z,1,REGULAR,foul,personal,[],1630183,,,1610612756,0,3,2022-11-02T02:12:00Z,390000,,,0,,J. McDaniels personal FOUL (1 PF),"[1630183, 1626164]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,2882.0,1.0,0.0,Booker,1626164.0,,,,,,,,,
41,PT09M00.00S,2022-11-02T02:12:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],101108,80.89684625492772,60.29411764705882,1610612756,2,3,2022-11-02T02:12:26Z,410000,51.0,127.0,1,right,C. Paul 13' pullup Jump Shot (2 PTS) (M. Bridges 1 AST),"[101108, 1628969]",1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,13.71,Made,,,,,,,,,,2.0,,,,,,M. Bridges,1628969.0,1.0
43,PT08M46.00S,2022-11-02T02:12:34.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,31.61957950065703,65.44117647058823,1610612750,2,6,2022-11-02T02:12:38Z,430000,-77.0,245.0,1,left,A. Edwards 25' 3PT  (6 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.66,Made,,,,,,,,,,6.0,,,,,,D. Russell,1626156.0,1.0
45,PT08M29.00S,2022-11-02T02:12:51.2Z,1,REGULAR,2pt,Jump Shot,[],101108,75.50919842312747,57.107843137254896,1610612756,2,6,2022-11-02T02:12:55Z,450000,36.0,178.0,1,right,MISS C. Paul 18' pullup Shot,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,Mid-Range,16-24 Center,18.12,Missed,,,,,,,,,,,,,,,,,,
46,PT08M26.00S,2022-11-02T02:12:54.2Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,6,2022-11-02T02:12:55Z,460000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Center,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,,
47,PT08M20.00S,2022-11-02T02:13:02.3Z,1,REGULAR,foul,personal,['2freethrow'],1626164,,,1610612750,2,6,2022-11-02T02:13:28Z,470000,,,0,,D. Booker shooting personal FOUL (1 PF) (Edwards 2 FT),"[1626164, 1630162]",1610612756.0,PHX,shooting,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,2882.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,
49,PT08M20.00S,2022-11-02T02:13:29.5Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,2,6,2022-11-02T02:13:29Z,490000,,,0,,MISS A. Edwards Free Throw 1 of 2,[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
50,PT08M20.00S,2022-11-02T02:13:29.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612750,2,6,2022-11-02T02:13:29Z,500000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,
51,PT08M20.00S,2022-11-02T02:13:45.5Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,2,7,2022-11-02T02:13:45Z,510000,,,0,,A. Edwards Free Throw 2 of 2 (7 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,7.0,,,,,,,,
52,PT08M05.00S,2022-11-02T02:14:03.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,76.95466491458606,42.8921568627451,1610612756,4,7,2022-11-02T02:14:08Z,520000,-36.0,164.0,1,right,D. Booker 16' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,16.79,Made,,,,,,,,,,2.0,,,,,,,,
53,PT07M48.00S,2022-11-02T02:14:23.1Z,1,REGULAR,foul,personal,[],1626164,,,1610612750,4,7,2022-11-02T02:14:37Z,530000,,,0,,D. Booker personal FOUL (2 PF),"[1626164, 1626157]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,1628951.0,2.0,0.0,Towns,1626157.0,,,,,,,,,
55,PT07M39.00S,2022-11-02T02:14:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630162,20.05584756898817,56.86274509803921,1610612750,4,7,2022-11-02T02:14:49Z,550000,-34.0,136.0,1,left,MISS A. Edwards 14' step back Shot,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,14.03,Missed,,,,,,,,,,,,,,,,,,
56,PT07M37.00S,2022-11-02T02:14:47.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,4,7,2022-11-02T02:14:49Z,560000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),8-16 Center,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,,
57,PT07M32.00S,2022-11-02T02:14:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],101108,66.70499342969777,40.68627450980392,1610612756,4,7,2022-11-02T02:14:58Z,570000,-47.0,260.0,1,right,MISS C. Paul 26' pullup 3PT,[101108],1610612756.0,PHX,pullup,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,26.46,Missed,,,,,,,,,,,,,,,,,,
58,PT07M28.00S,2022-11-02T02:14:56.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,7,2022-11-02T02:14:58Z,580000,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT07M21.00S,2022-11-02T02:15:02.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630183,8.09789750328515,2.696078431372549,1610612750,4,7,2022-11-02T02:15:06Z,590000,237.0,24.0,1,left,MISS J. McDaniels 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
60,PT07M19.00S,2022-11-02T02:15:04.4Z,1,REGULAR,rebound,defensive,[],202687,,,1610612756,4,7,2022-11-02T02:15:06Z,600000,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,Right Corner 3,24+ Right,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT07M15.00S,2022-11-02T02:15:08.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626164,65.78515111695138,55.63725490196079,1610612756,4,7,2022-11-02T02:15:14Z,610000,28.0,269.0,1,right,MISS D. Booker 27' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,27.06,Missed,,,,,,,,,,,,,,,,,,
62,PT07M12.00S,2022-11-02T02:15:11.9Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,4,7,2022-11-02T02:15:14Z,620000,,,0,,D. Russell REBOUND (Off:0 Def:2),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT07M04.00S,2022-11-02T02:15:19.8Z,1,REGULAR,turnover,bad pass,[],1630183,,,1610612750,4,7,2022-11-02T02:15:30Z,630000,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1630183, 101108]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,Paul,101108.0,,,
64,PT07M04.00S,2022-11-02T02:15:19.8Z,1,REGULAR,steal,,[],101108,,,1610612756,4,7,2022-11-02T02:15:21Z,640000,,,0,,C. Paul STEAL (2 STL),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
67,PT06M51.00S,2022-11-02T02:15:48.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629661,76.16622864651774,88.23529411764706,1610612756,7,7,2022-11-02T02:15:53Z,670000,191.0,172.0,1,right,C. Johnson 25' 3PT  (3 PTS) (C. Paul 1 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,25.68,Made,,,,,,,,,,3.0,,,,,,C. Paul,101108.0,1.0
69,PT06M36.00S,2022-11-02T02:16:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,6.389618922470433,40.931372549019606,1610612750,7,7,2022-11-02T02:16:11Z,690000,45.0,8.0,1,left,MISS A. Edwards driving Layup,[1630162],1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),0-8 Center,4.59,Missed,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2022-11-02T02:16:05.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,7,7,2022-11-02T02:16:11Z,700000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,69.0,,,,,,,,,,,,,,,,,
71,PT06M34.00S,2022-11-02T02:16:13.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,7,7,2022-11-02T02:16:13Z,710000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M19.00S,2022-11-02T02:20:01.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1630183,5.732588699080158,52.69607843137255,1610612750,7,9,2022-11-02T02:20:07Z,720000,-13.0,1.0,1,left,J. McDaniels cutting DUNK (2 PTS) (K. Towns 2 AST),"[1630183, 1626157]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.36,Made,,,,,,,,,,2.0,,,,,,K. Towns,1626157.0,2.0
75,PT06M05.00S,2022-11-02T02:20:15.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,67.49342969776609,32.35294117647059,1610612756,10,9,2022-11-02T02:20:20Z,750000,-88.0,253.0,1,right,C. Johnson 26' 3PT  (6 PTS) (C. Paul 2 AST),"[1629661, 101108]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,26.8,Made,,,,,,,,,,6.0,,,,,,C. Paul,101108.0,2.0
77,PT05M48.00S,2022-11-02T02:20:31.4Z,1,REGULAR,2pt,Jump Shot,[],1626157,28.597240473061763,35.294117647058826,1610612750,10,9,2022-11-02T02:20:58Z,770000,74.0,216.0,1,left,MISS K. Towns 22' step back Shot,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,Mid-Range,16-24 Right Center,22.84,Missed,,,,,,,,,,,,,,,,,,
78,PT05M48.00S,2022-11-02T02:20:31.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,10,9,2022-11-02T02:20:53Z,780000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,Mid-Range,16-24 Right Center,,,77.0,,,,,,,,,,,,,,,,,
79,PT05M48.00S,2022-11-02T02:20:37.1Z,1,REGULAR,substitution,out,[],202687,,,1610612756,10,9,2022-11-02T02:20:40Z,790000,,,0,,SUB out: B. Biyombo,[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M48.00S,2022-11-02T02:20:37.1Z,1,REGULAR,substitution,in,[],1629111,,,1610612756,10,9,2022-11-02T02:20:40Z,800000,,,0,,SUB in: J. Landale,[1629111],1610612756.0,PHX,,,,Landale,J. Landale,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT05M34.00S,2022-11-02T02:20:59.7Z,1,REGULAR,2pt,Jump Shot,[],1629661,71.96123521681997,40.931372549019606,1610612756,12,9,2022-11-02T02:21:06Z,810000,-45.0,211.0,1,right,C. Johnson 21' pullup Jump Shot (8 PTS) (C. Paul 3 AST),"[1629661, 101108]",1610612756.0,PHX,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Center,21.59,Made,,,,,,,,,,8.0,,,,,,C. Paul,101108.0,3.0
83,PT05M19.00S,2022-11-02T02:21:17.4Z,1,REGULAR,turnover,out-of-bounds,[],1630183,,,1610612750,12,9,2022-11-02T02:21:24Z,830000,,,0,,J. McDaniels bad pass out-of-bounds TURNOVER (2 TO),[1630183],1610612750.0,MIN,bad pass,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Center,,,,,,,202027.0,,,,,,,,2.0,,,,,
84,PT05M04.00S,2022-11-02T02:21:45.2Z,1,REGULAR,turnover,bad pass,[],1626164,,,1610612756,12,9,2022-11-02T02:21:48Z,840000,,,0,,D. Booker bad pass TURNOVER (1 TO),"[1626164, 1630183]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,1.0,McDaniels,1630183.0,,,
85,PT05M04.00S,2022-11-02T02:21:45.2Z,1,REGULAR,steal,,[],1630183,,,1610612750,12,9,2022-11-02T02:28:14Z,850000,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
86,PT04M52.00S,2022-11-02T02:21:58.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630183,5.732588699080158,69.6078431372549,1610612750,12,9,2022-11-02T02:22:05Z,860000,-98.0,1.0,1,left,MISS J. McDaniels 9' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Left,9.8,Missed,,,,,,,,,,,,,,,,,,
