actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
21,PT10M18.00S,2022-11-23T03:06:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,79.97700394218134,60.29411764705882,1610612747,2,2,2022-11-23T03:06:45Z,210000,False,51.0,136.0,1,right,MISS A. Reaves 14' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,14.51,Missed,,,,,,,,,,,,,,,,,,
22,PT10M16.00S,2022-11-23T03:06:43.1Z,1,REGULAR,rebound,defensive,[],1626166,,,1610612756,2,2,2022-11-23T03:06:45Z,220000,False,,,0,,C. Payne REBOUND (Off:0 Def:1),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,In The Paint (Non-RA),8-16 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M12.00S,2022-11-23T03:06:47.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,16.245072273324574,4.901960784313726,1610612756,5,2,2022-11-23T03:06:58Z,230000,False,225.0,100.0,1,left,M. Bridges 24' 3PT  (3 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,24.68,Made,,,,,,,3.0,,,,,,,,,,,
25,PT09M54.00S,2022-11-23T03:07:04.3Z,1,REGULAR,3pt,Jump Shot,[],1628972,66.17936925098554,59.068627450980394,1610612747,5,2,2022-11-23T03:07:09Z,250000,False,45.0,265.0,1,right,MISS T. Brown Jr. 26' 3PT,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Center,26.92,Missed,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2022-11-23T03:07:06.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,5,2,2022-11-23T03:07:09Z,260000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M50.00S,2022-11-23T03:07:12.0Z,1,REGULAR,turnover,bad pass,[],1626166,,,1610612756,5,2,2022-11-23T03:33:50Z,270000,False,,,0,,C. Payne bad pass TURNOVER (1 TO),[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,,,,,,,1830.0,1.0,,,,,,,,,,,,
28,PT09M37.00S,2022-11-23T03:07:37.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629022,93.11760840998686,54.65686274509803,1610612747,5,2,2022-11-23T03:07:42Z,280000,False,23.0,12.0,1,right,MISS L. Walker IV driving Layup,[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,2.63,Missed,,,,,,,,,,,,,,,,,,
29,PT09M35.00S,2022-11-23T03:07:39.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,2,2022-11-23T03:07:42Z,290000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,
30,PT09M30.00S,2022-11-23T03:07:43.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628470,4.812746386333772,4.166666666666666,1610612756,5,2,2022-11-23T03:07:59Z,300000,False,229.0,-7.0,1,left,MISS T. Craig 3PT,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
31,PT09M26.00S,2022-11-23T03:07:47.9Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,5,2,2022-11-23T03:07:59Z,310000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Right Corner 3,24+ Right,,,30.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M22.00S,2022-11-23T03:07:51.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,73.01248357424441,82.1078431372549,1610612747,5,2,2022-11-23T03:08:03Z,320000,False,161.0,201.0,1,right,MISS P. Beverley 25' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,25.74,Missed,,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2022-11-23T03:07:54.6Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,2,2022-11-23T03:08:03Z,330000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,32.0,2.0,2.0,0.0,,,,,,,,,,,,,,
34,PT09M09.00S,2022-11-23T03:08:04.8Z,1,REGULAR,3pt,Jump Shot,[],1626164,30.699737187910642,64.70588235294117,1610612756,5,2,2022-11-23T03:08:14Z,340000,False,-74.0,236.0,1,left,MISS D. Booker 24' 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,24.73,Missed,,,,,,,,,,,,,,,,,,
35,PT09M04.00S,2022-11-23T03:08:09.8Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,5,2,2022-11-23T03:08:14Z,350000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,,
36,PT08M55.00S,2022-11-23T03:08:19.3Z,1,REGULAR,turnover,lost ball,[],1628972,,,1610612747,5,2,2022-11-23T03:08:23Z,360000,False,,,0,,T. Brown Jr. lost ball TURNOVER (1 TO),"[1628972, 1628470]",1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,,,,,Craig,1628470.0,,,,,,
37,PT08M55.00S,2022-11-23T03:08:19.3Z,1,REGULAR,steal,,[],1628470,,,1610612756,5,2,2022-11-23T03:15:47Z,370000,False,,,0,,T. Craig STEAL (1 STL),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
38,PT08M40.00S,2022-11-23T03:08:34.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,5.732588699080158,95.83333333333334,1610612756,5,2,2022-11-23T03:08:39Z,380000,False,-229.0,1.0,1,left,MISS D. Booker step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Left Corner 3,24+ Left,22.92,Missed,,,,,,,,,,,,,,,,,,
39,PT08M38.00S,2022-11-23T03:08:36.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,5,2,2022-11-23T03:08:39Z,390000,False,,,0,,P. Beverley REBOUND (Off:0 Def:3),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,,,38.0,3.0,3.0,0.0,,,,,,,,,,,,,,
40,PT08M30.00S,2022-11-23T03:08:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201976,89.56964520367937,52.94117647058824,1610612747,5,2,2022-11-23T03:08:49Z,400000,False,15.0,46.0,1,right,MISS P. Beverley driving Layup - blocked,"[201976, 1628470]",1610612747.0,LAL,driving,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,,,,,,,,,,,,Craig,1628470.0,,,,
41,PT08M30.00S,2022-11-23T03:08:44.5Z,1,REGULAR,block,,[],1628470,,,1610612747,5,2,2022-11-23T03:08:46Z,410000,False,,,0,,T. Craig BLOCK (1 BLK),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
42,PT08M27.00S,2022-11-23T03:08:47.5Z,1,REGULAR,rebound,offensive,[],1628972,,,1610612747,5,2,2022-11-23T03:08:49Z,420000,False,,,0,,T. Brown Jr. REBOUND (Off:1 Def:1),[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,40.0,2.0,1.0,1.0,,,,,,,,,,,,,,
43,PT08M26.00S,2022-11-23T03:08:49.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630559,93.24901445466492,51.225490196078425,1610612747,5,4,2022-11-23T03:09:03Z,430000,False,6.0,11.0,1,right,A. Reaves driving Layup (2 PTS) (T. Brown Jr. 1 AST),"[1630559, 1628972]",1610612747.0,LAL,driving,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,1.26,Made,,,,,,,2.0,T. Brown Jr.,1628972.0,1.0,,,,,,,,
45,PT08M26.00S,2022-11-23T03:08:51.8Z,1,REGULAR,foul,personal,['1freethrow'],1626166,,,1610612747,5,4,2022-11-23T03:23:21Z,450000,False,,,0,,C. Payne shooting personal FOUL (1 PF) (Reaves 1 FT),"[1626166, 1630559]",1610612756.0,PHX,shooting,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,,,,,,,1179.0,,,,,,,,,,1.0,0.0,Reaves,1630559.0
47,PT08M26.00S,2022-11-23T03:09:13.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1630559,,,1610612747,5,5,2022-11-23T03:23:27Z,470000,False,,,0,,A. Reaves Free Throw 1 of 1 (3 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
48,PT08M15.00S,2022-11-23T03:09:28.4Z,1,REGULAR,2pt,Jump Shot,[],1626166,14.536793692509855,66.42156862745098,1610612756,5,5,2022-11-23T03:09:33Z,480000,False,-82.0,84.0,1,left,MISS C. Payne 11' driving floating Shot,[1626166],1610612756.0,PHX,driving floating,,,Payne,C. Payne,,,,,Mid-Range,8-16 Left,11.75,Missed,,,,,,,,,,,,,,,,,,
49,PT08M13.00S,2022-11-23T03:09:30.4Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,5,5,2022-11-23T03:09:33Z,490000,False,,,0,,A. Davis REBOUND (Off:0 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,,,48.0,2.0,2.0,0.0,,,,,,,,,,,,,,
50,PT08M05.00S,2022-11-23T03:09:39.3Z,1,REGULAR,2pt,Jump Shot,[],203076,88.64980289093299,30.637254901960787,1610612747,5,5,2022-11-23T03:09:44Z,500000,False,-97.0,54.0,1,right,MISS A. Davis 11' fadeaway Shot,[203076],1610612747.0,LAL,fadeaway,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,11.09,Missed,,,,,,,,,,,,,,,,,,
51,PT08M02.00S,2022-11-23T03:09:42.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,5,5,2022-11-23T03:09:44Z,510000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,50.0,2.0,2.0,0.0,,,,,,,,,,,,,,
52,PT07M54.00S,2022-11-23T03:09:50.0Z,1,REGULAR,3pt,Jump Shot,[],1626166,22.026938239159,91.91176470588235,1610612756,5,5,2022-11-23T03:09:54Z,520000,False,-210.0,155.0,1,left,MISS C. Payne 26' 3PT,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,26.04,Missed,,,,,,,,,,,,,,,,,,
53,PT07M51.00S,2022-11-23T03:09:53.0Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,5,5,2022-11-23T03:09:54Z,530000,False,,,0,,P. Beverley REBOUND (Off:0 Def:4),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,52.0,4.0,4.0,0.0,,,,,,,,,,,,,,
54,PT07M47.00S,2022-11-23T03:09:56.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629022,92.59198423127464,51.225490196078425,1610612747,5,7,2022-11-23T03:10:08Z,540000,False,6.0,17.0,1,right,L. Walker IV running Layup (4 PTS) (P. Beverley 1 AST),"[1629022, 201976]",1610612747.0,LAL,running,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,1.82,Made,,,,,,,4.0,P. Beverley,201976.0,1.0,,,,,,,,
56,PT07M47.00S,2022-11-23T03:10:03.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,5,7,2022-11-23T03:10:03Z,560000,False,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M47.00S,2022-11-23T03:13:12.2Z,1,REGULAR,substitution,out,[],1628972,,,1610612756,5,7,2022-11-23T03:13:18Z,570000,False,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M47.00S,2022-11-23T03:13:12.2Z,1,REGULAR,substitution,in,[],201566,,,1610612756,5,7,2022-11-23T03:13:18Z,580000,False,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M30.00S,2022-11-23T03:13:41.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,15.850854139290407,28.921568627450984,1610612756,7,7,2022-11-23T03:13:48Z,590000,False,105.0,96.0,1,left,M. Bridges 14' turnaround fadeaway Jump Shot (5 PTS),[1628969],1610612756.0,PHX,turnaround fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,14.29,Made,,,,,,,5.0,,,,,,,,,,,
60,PT07M08.00S,2022-11-23T03:14:06.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201566,92.46057818659659,53.92156862745098,1610612747,7,9,2022-11-23T03:39:59Z,600000,False,20.0,18.0,1,right,R. Westbrook driving Layup (2 PTS),[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,2.69,Made,,,,,,,2.0,,,,,,,,,,,
61,PT07M08.00S,2022-11-23T03:14:14.8Z,1,REGULAR,violation,defensive goaltending,[],1629028,,,1610612747,7,9,2022-11-23T03:40:08Z,610000,False,,,0,,D. Ayton defensive goaltending VIOLATION,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,,,,,,,,1179.0,,,,,,,,,,,,,
62,PT06M47.00S,2022-11-23T03:14:34.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,7.966491458607096,61.274509803921575,1610612756,9,9,2022-11-23T03:14:40Z,620000,False,-56.0,22.0,1,left,D. Booker 6' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,6.07,Made,,,,,,,2.0,,,,,,,,,,,
63,PT06M47.00S,2022-11-23T03:14:40.5Z,1,REGULAR,foul,personal,['1freethrow'],1630559,,,1610612756,9,9,2022-11-23T03:14:56Z,630000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Booker 1 FT),"[1630559, 1626164]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,,,,,,,,,,1.0,0.0,Booker,1626164.0
65,PT06M47.00S,2022-11-23T03:14:57.8Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,10,9,2022-11-23T03:14:57Z,650000,False,,,0,,D. Booker Free Throw 1 of 1 (3 PTS),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,
66,PT06M28.00S,2022-11-23T03:15:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,84.83902759526939,48.03921568627451,1610612747,10,9,2022-11-23T03:15:22Z,660000,False,-10.0,90.0,1,right,MISS A. Davis 9' turnaround Shot,[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Center,9.05,Missed,,,,,,,,,,,,,,,,,,
67,PT06M26.00S,2022-11-23T03:15:19.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,10,9,2022-11-23T03:15:22Z,670000,False,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,66.0,3.0,3.0,0.0,,,,,,,,,,,,,,
68,PT06M14.00S,2022-11-23T03:15:31.0Z,1,REGULAR,turnover,bad pass,[],1626166,,,1610612756,10,9,2022-11-23T03:15:34Z,680000,False,,,0,,C. Payne bad pass TURNOVER (2 TO),"[1626166, 203076]",1610612756.0,PHX,,,,Payne,C. Payne,,,,,Restricted Area,0-8 Center,,,,,,,,2.0,,,,,Davis,203076.0,,,,,,
69,PT06M14.00S,2022-11-23T03:15:31.0Z,1,REGULAR,steal,,[],203076,,,1610612747,10,9,2022-11-23T03:15:33Z,690000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
70,PT06M07.00S,2022-11-23T03:15:39.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629022,93.11760840998686,50.0,1610612747,10,11,2022-11-23T03:15:44Z,700000,False,0.0,12.0,1,right,L. Walker IV driving Layup (6 PTS),[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,6.0,,,,,,,,,,,
71,PT06M07.00S,2022-11-23T03:15:43.4Z,1,REGULAR,foul,personal,['1freethrow'],1628470,,,1610612747,10,11,2022-11-23T03:16:07Z,710000,False,,,0,,T. Craig shooting personal FOUL (1 PF) (Walker IV 1 FT),"[1628470, 1629022]",1610612756.0,PHX,shooting,,,Craig,T. Craig,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,,,,,,,,,,1.0,0.0,Walker IV,1629022.0
73,PT06M07.00S,2022-11-23T03:16:09.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1629022,,,1610612747,10,11,2022-11-23T03:16:17Z,730000,False,,,0,,MISS L. Walker IV Free Throw 1 of 1,[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
74,PT05M59.00S,2022-11-23T03:16:17.6Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,10,11,2022-11-23T03:16:17Z,740000,False,,,0,,A. Davis REBOUND (Off:1 Def:2),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,73.0,3.0,2.0,1.0,,,,,,,,,,,,,,
75,PT05M59.00S,2022-11-23T03:16:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203076,94.40999984741211,50.0,1610612747,10,11,2022-11-23T03:16:16Z,750000,False,0.0,0.0,1,right,MISS A. Davis tip Layup,[203076],1610612747.0,LAL,tip,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
76,PT05M58.00S,2022-11-23T03:16:16.5Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,10,11,2022-11-23T03:16:16Z,760000,False,,,0,,D. Ayton REBOUND (Off:0 Def:3),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,75.0,3.0,3.0,0.0,,,,,,,,,,,,,,
77,PT05M51.00S,2022-11-23T03:16:23.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,5.732588699080158,4.901960784313726,1610612756,13,11,2022-11-23T03:16:29Z,770000,False,225.0,1.0,1,left,M. Bridges 3PT  (8 PTS) (D. Booker 2 AST),"[1628969, 1626164]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.55,Made,,,,,,,8.0,D. Booker,1626164.0,2.0,,,,,,,,
79,PT05M37.00S,2022-11-23T03:16:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,87.07293035479631,48.529411764705884,1610612747,13,13,2022-11-23T03:16:44Z,790000,False,-7.0,69.0,1,right,R. Westbrook 6' fadeaway Jump Shot (4 PTS),[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,6.94,Made,,,,,,,4.0,,,,,,,,,,,
80,PT05M25.00S,2022-11-23T03:16:49.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629028,15.588042049934298,45.34313725490196,1610612756,13,13,2022-11-23T03:16:55Z,800000,False,23.0,94.0,1,left,MISS D. Ayton 9' turnaround fadeaway Shot,[1629028],1610612756.0,PHX,turnaround fadeaway,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,9.68,Missed,,,,,,,,,,,,,,,,,,
