actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
19,PT11M00.00S,2023-04-07T02:04:45.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],202704,,,1610612743,0,1,2023-04-07T02:04:45Z,180000,False,,,0,,R. Jackson Free Throw 1 of 2 (1 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
20,PT11M00.00S,2023-04-07T02:05:08.4Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],202704,,,1610612743,0,2,2023-04-07T02:05:08Z,190000,False,,,0,,R. Jackson Free Throw 2 of 2 (2 PTS),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
21,PT10M40.00S,2023-04-07T02:05:34.4Z,1,REGULAR,3pt,Jump Shot,[],1626164,93.38042049934296,96.32352941176471,1610612756,0,2,2023-04-07T02:05:40Z,200000,False,232.0,10.0,1,right,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
23,PT10M38.00S,2023-04-07T02:05:36.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,2,2023-04-07T02:05:41Z,210000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Right Corner 3,24+ Right,,,21.0,,,,,,,,,,,,,,,,,
25,PT10M21.00S,2023-04-07T02:05:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628971,8.886333771353483,41.17647058823529,1610612743,0,2,2023-04-07T02:06:02Z,230000,False,44.0,31.0,1,left,MISS B. Brown driving floating Shot,[1628971],1610612743.0,DEN,driving floating,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
26,PT10M19.00S,2023-04-07T02:06:01.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,0,2,2023-04-07T02:06:02Z,240000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,25.0,,,1.0,1.0,0.0,,,,,,,,,,,,
27,PT10M12.00S,2023-04-07T02:06:08.2Z,1,REGULAR,2pt,Jump Shot,[],201142,92.46057818659659,23.52941176470588,1610612756,0,2,2023-04-07T02:06:20Z,250000,False,-132.0,18.0,1,right,MISS K. Durant 13' pullup Shot,[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Mid-Range,8-16 Left,13.37,Missed,,,,,,,,,,,,,,,,,,
28,PT10M09.00S,2023-04-07T02:06:11.2Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,0,2,2023-04-07T02:06:13Z,260000,False,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,27.0,,,2.0,1.0,1.0,,,,,,,,,,,,
29,PT10M08.00S,2023-04-07T02:06:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629028,92.85479632063075,50.245098039215684,1610612756,0,2,2023-04-07T02:10:14Z,270000,False,1.0,15.0,1,right,MISS D. Ayton tip Layup,[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
30,PT10M06.00S,2023-04-07T02:06:15.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,0,2,2023-04-07T02:06:16Z,280000,False,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,,,29.0,,,2.0,2.0,0.0,,,,,,,,,,,,
31,PT09M48.00S,2023-04-07T02:06:33.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,6.652431011826544,50.73529411764706,1610612743,0,4,2023-04-07T02:06:38Z,290000,False,-4.0,10.0,1,left,C. Braun driving Layup (2 PTS),[1631128],1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,1.07,Made,,,,,,,,,,,2.0,,,,,,,
32,PT09M22.00S,2023-04-07T02:06:58.1Z,1,REGULAR,3pt,Jump Shot,[],201142,68.54467805519053,27.696078431372552,1610612756,3,4,2023-04-07T02:10:42Z,300000,False,-112.0,243.0,1,right,K. Durant 26' 3PT pullup (3 PTS),[201142],1610612756.0,PHX,pullup,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,26.75,Made,,,,,,,,,,,3.0,,,,,,,
33,PT09M11.00S,2023-04-07T02:07:12.1Z,1,REGULAR,foul,personal,[],1626164,,,1610612743,3,4,2023-04-07T02:07:26Z,310000,False,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 201599]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,1626300.0,,,,,1.0,0.0,Jordan,201599.0,,,,,,,,
35,PT09M04.00S,2023-04-07T02:07:39.1Z,1,REGULAR,turnover,bad pass,[],202704,,,1610612743,3,4,2023-04-07T02:07:42Z,330000,False,,,0,,R. Jackson bad pass TURNOVER (1 TO),"[202704, 1629006]",1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left Center,,,,,1.0,,,,,,,,,Okogie,1629006.0,,,,,
36,PT09M04.00S,2023-04-07T02:07:39.1Z,1,REGULAR,steal,,[],1629006,,,1610612756,3,4,2023-04-07T02:07:40Z,340000,False,,,0,,J. Okogie STEAL (1 STL),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
37,PT08M47.00S,2023-04-07T02:07:56.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,92.19776609724047,51.470588235294116,1610612756,5,4,2023-04-07T02:08:02Z,350000,False,7.0,21.0,1,right,D. Ayton turnaround Hook (2 PTS) (J. Okogie 1 AST),"[1629028, 1629006]",1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,2.21,Made,,,,,,,,,,,2.0,,,J. Okogie,1629006.0,1.0,,
39,PT08M29.00S,2023-04-07T02:08:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,7.178055190538765,49.50980392156863,1610612743,5,6,2023-04-07T02:08:20Z,370000,False,2.0,15.0,1,left,B. Brown driving Layup (2 PTS) (R. Jackson 1 AST),"[1628971, 202704]",1610612743.0,DEN,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1.52,Made,,,,,,,,,,,2.0,,,R. Jackson,202704.0,1.0,,
40,PT08M09.00S,2023-04-07T02:08:33.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,73.80091984231275,17.15686274509804,1610612756,5,6,2023-04-07T02:18:18Z,380000,False,-164.0,194.0,1,right,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Left Center,25.4,Missed,,,,,,,,,,,,,,,,,,
41,PT08M06.00S,2023-04-07T02:08:36.7Z,1,REGULAR,rebound,defensive,[],1631212,,,1610612743,5,6,2023-04-07T02:08:39Z,390000,False,,,0,,P. Watson REBOUND (Off:0 Def:1),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Above the Break 3,24+ Left Center,,,40.0,,,1.0,1.0,0.0,,,,,,,,,,,,
42,PT08M01.00S,2023-04-07T02:08:43.7Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612743,5,6,2023-04-07T02:08:59Z,400000,False,,,0,,D. Ayton shooting personal FOUL (1 PF) (Watson 2 FT),"[1629028, 1631212]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,,,,202041.0,,,,,1.0,0.0,Watson,1631212.0,,,,,,,,
44,PT08M01.00S,2023-04-07T02:09:10.4Z,1,REGULAR,freethrow,1 of 2,[],1631212,,,1610612743,5,6,2023-04-07T02:09:10Z,420000,False,,,0,,MISS P. Watson Free Throw 1 of 2,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
45,PT08M01.00S,2023-04-07T02:09:10.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,5,6,2023-04-07T02:09:10Z,430000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,
46,PT08M01.00S,2023-04-07T02:09:29.8Z,1,REGULAR,freethrow,2 of 2,[],1631212,,,1610612743,5,7,2023-04-07T02:09:29Z,440000,False,,,0,,P. Watson Free Throw 2 of 2 (1 PTS),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
47,PT07M50.00S,2023-04-07T02:09:41.4Z,1,REGULAR,3pt,Jump Shot,[],1629006,91.40932982917214,96.56862745098039,1610612756,5,7,2023-04-07T02:09:46Z,450000,False,233.0,28.0,1,right,MISS J. Okogie 3PT,[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Right Corner 3,24+ Right,23.45,Missed,,,,,,,,,,,,,,,,,,
48,PT07M46.00S,2023-04-07T02:09:44.5Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,5,7,2023-04-07T02:09:44Z,460000,False,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Right Corner 3,24+ Right,,,47.0,,,1.0,1.0,0.0,,,,,,,,,,,,
49,PT07M42.00S,2023-04-07T02:09:49.2Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1631128,11.251642575558476,51.71568627450981,1610612743,5,7,2023-04-07T02:15:40Z,470000,False,-9.0,53.0,1,left,MISS C. Braun running Shot - blocked,"[1631128, 101108]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,5.4,Missed,,,,,,,,,,,,,,,,,Paul,101108.0
51,PT07M42.00S,2023-04-07T02:09:49.2Z,1,REGULAR,block,,[],101108,,,1610612743,5,7,2023-04-07T02:10:06Z,475000,False,,,0,,C. Paul BLOCK (1 BLK),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
50,PT07M42.00S,2023-04-07T02:09:49.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,5,7,2023-04-07T02:10:06Z,480000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,49.0,,,,,,,,,,,,,,,,,
53,PT07M36.00S,2023-04-07T02:10:11.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631212,8.229303547963205,98.0392156862745,1610612743,5,7,2023-04-07T02:16:39Z,500000,False,-240.0,25.0,1,left,MISS P. Watson 24' step back 3PT,[1631212],1610612743.0,DEN,step back,,,Watson,P. Watson,,,,,Left Corner 3,24+ Left,24.15,Missed,,,,,,,,,,,,,,,,,,
54,PT07M32.00S,2023-04-07T02:10:15.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,5,7,2023-04-07T02:10:21Z,510000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,,,53.0,,,1.0,1.0,0.0,,,,,,,,,,,,
55,PT07M22.00S,2023-04-07T02:10:24.6Z,1,REGULAR,foul,personal,['2freethrow'],1631212,,,1610612756,5,7,2023-04-07T02:10:42Z,520000,False,,,0,,P. Watson shooting personal FOUL (1 PF) (Durant 2 FT),"[1631212, 201142]",1610612743.0,DEN,shooting,,,Watson,P. Watson,,,,,Mid-Range,8-16 Right,,,,202041.0,,,,,1.0,0.0,Durant,201142.0,,,,,,,,
57,PT07M22.00S,2023-04-07T02:10:49.6Z,1,REGULAR,freethrow,1 of 2,[],201142,,,1610612756,6,7,2023-04-07T02:11:12Z,540000,False,,,0,,K. Durant Free Throw 1 of 2 (4 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
58,PT07M22.00S,2023-04-07T02:10:51.6Z,1,REGULAR,substitution,out,[],101108,,,1610612756,6,7,2023-04-07T02:10:55Z,550000,False,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M22.00S,2023-04-07T02:10:51.6Z,1,REGULAR,substitution,in,[],1626166,,,1610612756,6,7,2023-04-07T02:10:55Z,560000,False,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M22.00S,2023-04-07T02:10:49.6Z,1,REGULAR,freethrow,2 of 2,[],201142,,,1610612756,6,7,2023-04-07T02:11:12Z,570000,False,,,0,,MISS K. Durant Free Throw 2 of 2,[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2023-04-07T02:10:51.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,6,7,2023-04-07T02:11:12Z,580000,False,,,0,,D. Jordan REBOUND (Off:0 Def:3),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,,,,,60.0,,,3.0,3.0,0.0,,,,,,,,,,,,
62,PT07M05.00S,2023-04-07T02:11:26.1Z,1,REGULAR,turnover,bad pass,[],1628971,,,1610612743,6,7,2023-04-07T02:12:05Z,590000,False,,,0,,B. Brown bad pass TURNOVER (1 TO),"[1628971, 1629006]",1610612743.0,DEN,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,,1.0,,,,,,,,,Okogie,1629006.0,,,,,
63,PT07M05.00S,2023-04-07T02:11:26.1Z,1,REGULAR,steal,,[],1629006,,,1610612756,6,7,2023-04-07T02:11:29Z,600000,False,,,0,,J. Okogie STEAL (2 STL),[1629006],1610612756.0,PHX,,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT07M02.00S,2023-04-07T02:11:30.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629006,91.80354796320631,49.754901960784316,1610612756,8,7,2023-04-07T02:11:36Z,610000,False,-1.0,25.0,1,right,J. Okogie running DUNK (2 PTS),[1629006],1610612756.0,PHX,running,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,2.45,Made,,,,,,,,,,,2.0,,,,,,,
65,PT06M44.00S,2023-04-07T02:11:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202704,19.267411300919843,53.431372549019606,1610612743,8,7,2023-04-07T02:18:46Z,620000,False,-17.0,129.0,1,left,MISS R. Jackson 12' pullup Shot,[202704],1610612743.0,DEN,pullup,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,12.97,Missed,,,,,,,,,,,,,,,,,,
66,PT06M42.00S,2023-04-07T02:11:49.4Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,8,7,2023-04-07T02:11:58Z,630000,False,,,0,,K. Durant REBOUND (Off:0 Def:2),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,,,65.0,,,2.0,2.0,0.0,,,,,,,,,,,,
67,PT06M34.00S,2023-04-07T02:11:57.8Z,1,REGULAR,2pt,Jump Shot,[],1629028,75.1149802890933,43.872549019607845,1610612756,10,7,2023-04-07T02:12:02Z,640000,False,-31.0,181.0,1,right,D. Ayton 18' Jump Shot (4 PTS) (C. Payne 1 AST),"[1629028, 1626166]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,18.4,Made,,,,,,,,,,,4.0,,,C. Payne,1626166.0,1.0,,
69,PT06M28.00S,2023-04-07T02:12:06.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,10,7,2023-04-07T02:12:06Z,660000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M16.00S,2023-04-07T02:15:50.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201599,5.075558475689881,50.49019607843137,1610612743,10,9,2023-04-07T02:19:40Z,670000,False,-2.0,-5.0,1,left,D. Jordan alley-oop DUNK (2 PTS) (R. Jackson 2 AST),"[201599, 202704]",1610612743.0,DEN,alley-oop,,,Jordan,D. Jordan,,,,,Restricted Area,0-8 Center,0.54,Made,,,,,,,,,,,2.0,,,R. Jackson,202704.0,2.0,,
73,PT05M59.00S,2023-04-07T02:16:09.3Z,1,REGULAR,foul,personal,[],1631128,,,1610612756,10,9,2023-04-07T02:16:52Z,690000,False,,,0,,C. Braun personal FOUL (1 PF),"[1631128, 1629028]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,1626300.0,,,,,1.0,0.0,Ayton,1629028.0,,,,,,,,
75,PT05M48.00S,2023-04-07T02:16:38.9Z,1,REGULAR,2pt,Jump Shot,[],201142,86.02168199737189,15.196078431372548,1610612756,12,9,2023-04-07T02:16:55Z,710000,False,-174.0,79.0,1,right,K. Durant 19' Jump Shot (6 PTS),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Mid-Range,16-24 Left,19.11,Made,,,,,,,,,,,6.0,,,,,,,
76,PT05M27.00S,2023-04-07T02:17:00.2Z,1,REGULAR,3pt,Jump Shot,[],1631128,23.99802890932983,10.784313725490197,1610612743,12,9,2023-04-07T02:17:04Z,720000,False,196.0,173.0,1,left,MISS C. Braun 26' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,26.16,Missed,,,,,,,,,,,,,,,,,,
77,PT05M24.00S,2023-04-07T02:17:03.2Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,12,9,2023-04-07T02:17:04Z,730000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,76.0,,,1.0,1.0,0.0,,,,,,,,,,,,
78,PT05M18.00S,2023-04-07T02:17:09.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1626164,94.03745072273325,49.26470588235294,1610612756,12,9,2023-04-07T02:22:14Z,740000,False,-4.0,4.0,1,right,MISS D. Booker running Layup,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,0.51,Missed,,,,,,,,,,,,,,,,,,
79,PT05M16.00S,2023-04-07T02:17:11.2Z,1,REGULAR,rebound,defensive,[],202704,,,1610612743,12,9,2023-04-07T02:17:15Z,750000,False,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,Restricted Area,0-8 Center,,,78.0,,,2.0,2.0,0.0,,,,,,,,,,,,
80,PT05M04.00S,2023-04-07T02:17:25.5Z,1,REGULAR,turnover,traveling,[],201599,,,1610612743,12,9,2023-04-07T02:17:51Z,760000,False,,,0,,D. Jordan traveling TURNOVER (1 TO),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,,,,,,,,,,,,,
81,PT05M04.00S,2023-04-07T02:17:35.9Z,1,REGULAR,substitution,out,[],202704,,,1610612756,12,9,2023-04-07T02:17:41Z,770000,False,,,0,,SUB out: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M04.00S,2023-04-07T02:17:35.9Z,1,REGULAR,substitution,in,[],1628427,,,1610612756,12,9,2023-04-07T02:17:41Z,780000,False,,,0,,SUB in: V. Cancar,[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M39.00S,2023-04-07T02:18:16.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626166,90.88370565045992,36.51960784313725,1610612756,14,9,2023-04-07T02:18:23Z,790000,False,-67.0,33.0,1,right,C. Payne 7' driving finger roll Layup (2 PTS),[1626166],1610612756.0,PHX,driving finger roll,,,Payne,C. Payne,,,,,In The Paint (Non-RA),0-8 Center,7.51,Made,,,,,,,,,,,2.0,,,,,,,
84,PT04M19.00S,2023-04-07T02:18:36.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631212,11.95795006570303,54.779411764705884,1610612743,14,9,2023-04-07T02:23:31Z,800000,False,-24.0,60.0,1,left,MISS P. Watson 6' driving floating bank Shot,[1631212],1610612743.0,DEN,driving floating bank,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,6.45,Missed,,,,,,,,,,,,,,,,,,
85,PT04M14.00S,2023-04-07T02:18:41.5Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,14,9,2023-04-07T02:29:49Z,810000,False,,,0,,K. Durant REBOUND (Off:0 Def:3),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,In The Paint (Non-RA),0-8 Center,,,84.0,,,3.0,3.0,0.0,,,,,,,,,,,,
89,PT04M06.00S,2023-04-07T02:18:49.1Z,1,REGULAR,3pt,Jump Shot,[],1626164,90.62089356110381,95.34313725490196,1610612756,14,9,2023-04-07T02:27:02Z,850000,False,227.0,36.0,1,right,MISS D. Booker pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,22.95,Missed,,,,,,,,,,,,,,,,,,
90,PT04M03.00S,2023-04-07T02:18:52.1Z,1,REGULAR,rebound,defensive,[],1628427,,,1610612743,14,9,2023-04-07T02:18:57Z,860000,False,,,0,,V. Cancar REBOUND (Off:0 Def:1),[1628427],1610612743.0,DEN,,,,Cancar,V. Cancar,,,,,Restricted Area,0-8 Center,,,89.0,,,1.0,1.0,0.0,,,,,,,,,,,,
