actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
40,PT08M02.00S,2022-11-05T02:15:56.2Z,1,REGULAR,2pt,Jump Shot,[],1629661,84.31340341655716,28.431372549019606,1610612756,11,5,2022-11-05T02:16:03Z,400000,-108.0,95.0,1,right,MISS C. Johnson 14' pullup Shot,[1629661],1610612756.0,PHX,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,14.37,Missed,,,,,,,,,,,,,,,,,,
41,PT07M58.00S,2022-11-05T02:16:00.2Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,11,5,2022-11-05T02:16:03Z,410000,,,0,,J. Winslow REBOUND (Off:0 Def:2),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Mid-Range,8-16 Left,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT07M55.00S,2022-11-05T02:16:03.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626159,6.1268068331143235,47.30392156862745,1610612757,11,7,2022-11-05T02:16:32Z,420000,13.0,5.0,1,left,J. Winslow running Layup (4 PTS),[1626159],1610612757.0,POR,running,,,Winslow,J. Winslow,,,,,Restricted Area,0-8 Center,1.44,Made,,,,,4.0,,,,,,,,,,,,,
79,PT07M54.00S,2022-11-05T02:16:06.7Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612756,11,7,2022-11-05T02:23:17Z,430000,,,0,,TEAM delay-of-game VIOLATION,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT07M54.00S,2022-11-05T02:16:10.4Z,1,REGULAR,foul,technical,"['team', '1freethrow']",0,,,1610612756,11,7,2022-11-05T02:16:33Z,440000,,,0,,TEAM foul technical,[],1610612757.0,POR,bench,,,,,,,,,,,,,,,,,,,,,1627526.0,,,,,,,,,
45,PT07M54.00S,2022-11-05T02:16:34.4Z,1,REGULAR,freethrow,1 of 1,[],1626164,,,1610612756,12,7,2022-11-05T02:16:34Z,450000,,,0,,D. Booker technical Free Throw 1 of 1 (7 PTS),[1626164],1610612756.0,PHX,technical,,,Booker,D. Booker,,,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
46,PT07M47.00S,2022-11-05T02:17:02.4Z,1,REGULAR,3pt,Jump Shot,[],1629028,66.44218134034165,41.42156862745098,1610612756,15,7,2022-11-05T02:17:11Z,460000,-43.0,263.0,1,right,D. Ayton 26' 3PT  (5 PTS) (C. Paul 4 AST),"[1629028, 101108]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,26.64,Made,,,,,5.0,C. Paul,101108.0,4.0,,,,,,,,,,
48,PT07M31.00S,2022-11-05T02:17:17.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,5.995400788436268,50.245098039215684,1610612757,15,9,2022-11-05T02:17:23Z,480000,-1.0,4.0,1,left,J. Nurkic driving Layup (2 PTS) (S. Sharpe 1 AST),"[203994, 1631101]",1610612757.0,POR,driving,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,0.41,Made,,,,,2.0,S. Sharpe,1631101.0,1.0,,,,,,,,,,
50,PT07M20.00S,2022-11-05T02:17:28.4Z,1,REGULAR,turnover,lost ball,[],1629028,,,1610612756,15,9,2022-11-05T02:17:32Z,500000,,,0,,D. Ayton lost ball TURNOVER (1 TO),"[1629028, 203994]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,Nurkic,203994.0,,
51,PT07M20.00S,2022-11-05T02:17:28.4Z,1,REGULAR,steal,,[],203994,,,1610612757,15,9,2022-11-05T02:17:29Z,510000,,,0,,J. Nurkic STEAL (1 STL),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2022-11-05T02:17:32.2Z,1,REGULAR,violation,kicked ball,[],101108,,,1610612757,15,9,2022-11-05T02:17:39Z,520000,,,0,,C. Paul kicked ball VIOLATION,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,204059.0,,,,,,,,,
53,PT07M11.00S,2022-11-05T02:17:56.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203994,11.645860709592641,47.30392156862745,1610612757,15,9,2022-11-05T02:18:02Z,530000,13.0,57.0,1,left,MISS J. Nurkic turnaround Hook,[203994],1610612757.0,POR,turnaround,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,5.86,Missed,,,,,,,,,,,,,,,,,,
54,PT07M09.00S,2022-11-05T02:17:58.9Z,1,REGULAR,rebound,defensive,[],101108,,,1610612756,15,9,2022-11-05T02:18:02Z,540000,,,0,,C. Paul REBOUND (Off:0 Def:2),[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,53.0,2.0,2.0,0.0,,,,,,,,,,,,,,
55,PT06M57.00S,2022-11-05T02:18:11.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,91.40932982917214,19.362745098039216,1610612756,17,9,2022-11-05T02:18:15Z,550000,-153.0,28.0,1,right,D. Ayton 15' Jump Shot (7 PTS),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,15.58,Made,,,,,7.0,,,,,,,,,,,,,
57,PT06M46.00S,2022-11-05T02:18:23.9Z,1,REGULAR,foul,personal,[],1629661,,,1610612757,17,9,2022-11-05T02:18:34Z,570000,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1631101]",1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202041.0,1.0,0.0,Sharpe,1631101.0,,,,,
59,PT06M46.00S,2022-11-05T02:18:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,17,9,2022-11-05T02:18:34Z,590000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M46.00S,2022-11-05T02:20:54.2Z,1,REGULAR,substitution,out,[],1629661,,,1610612757,17,9,2022-11-05T02:21:13Z,600000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M46.00S,2022-11-05T02:20:54.2Z,1,REGULAR,substitution,in,[],1628470,,,1610612757,17,9,2022-11-05T02:21:13Z,610000,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M37.00S,2022-11-05T02:21:44.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,23.47240473061761,11.27450980392157,1610612757,17,9,2022-11-05T02:21:49Z,620000,194.0,168.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,25.64,Missed,,,,,,,,,,,,,,,,,,
63,PT06M33.00S,2022-11-05T02:21:48.7Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,17,9,2022-11-05T02:21:49Z,630000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,62.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT06M23.00S,2022-11-05T02:21:57.9Z,1,REGULAR,2pt,Jump Shot,[],1629028,90.67017082785807,66.19944852941177,1610612756,17,9,2022-11-05T02:22:39Z,640000,81.0,35.0,1,right,MISS D. Ayton 8' fadeaway Shot,[1629028],1610612756.0,PHX,fadeaway,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Right,8.83,Missed,,,,,,,,,,,,,,,,,,
65,PT06M20.00S,2022-11-05T02:22:00.9Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,17,9,2022-11-05T02:22:04Z,650000,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,,
66,PT06M13.00S,2022-11-05T02:22:08.2Z,1,REGULAR,2pt,Jump Shot,[],1631101,23.603810775295663,44.6078431372549,1610612757,17,9,2022-11-05T02:22:12Z,660000,27.0,169.0,1,left,MISS S. Sharpe 17' pullup Shot,[1631101],1610612757.0,POR,pullup,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,17.15,Missed,,,,,,,,,,,,,,,,,,
67,PT06M10.00S,2022-11-05T02:22:11.2Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612756,17,9,2022-11-05T02:22:12Z,670000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,Mid-Range,16-24 Center,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M01.00S,2022-11-05T02:22:20.3Z,1,REGULAR,turnover,bad pass,[],1629028,,,1610612756,17,9,2022-11-05T02:22:24Z,680000,,,0,,D. Ayton bad pass TURNOVER (2 TO),"[1629028, 1626159]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,2.0,Winslow,1626159.0,,
69,PT06M01.00S,2022-11-05T02:22:20.3Z,1,REGULAR,steal,,[],1626159,,,1610612757,17,9,2022-11-05T02:22:22Z,690000,,,0,,J. Winslow STEAL (1 STL),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2022-11-05T02:22:26.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628404,5.469776609724048,50.73529411764706,1610612757,17,11,2022-11-05T02:22:33Z,700000,-4.0,-1.0,1,left,J. Hart running Layup (2 PTS),[1628404],1610612757.0,POR,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,2.0,,,,,,,,,,,,,
71,PT05M38.00S,2022-11-05T02:22:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.32917214191852,51.225490196078425,1610612756,17,11,2022-11-05T02:22:51Z,710000,6.0,20.0,1,right,MISS M. Bridges Layup - blocked,"[1628969, 203924]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.05,Missed,,,,,,,,,,,,,,,,,Grant,203924.0
72,PT05M38.00S,2022-11-05T02:22:43.6Z,1,REGULAR,block,,[],203924,,,1610612756,17,11,2022-11-05T02:22:46Z,720000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
73,PT05M34.00S,2022-11-05T02:22:47.6Z,1,REGULAR,rebound,defensive,[],203924,,,1610612757,17,11,2022-11-05T02:22:51Z,730000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,71.0,1.0,1.0,0.0,,,,,,,,,,,,,,
74,PT05M33.00S,2022-11-05T02:22:48.9Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612757,17,11,2022-11-05T02:22:57Z,740000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 1626164]",1610612757.0,POR,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Booker,1626164.0,,
75,PT05M33.00S,2022-11-05T02:22:48.9Z,1,REGULAR,steal,,[],1626164,,,1610612756,17,11,2022-11-05T02:22:50Z,750000,,,0,,D. Booker STEAL (1 STL),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT05M28.00S,2022-11-05T02:22:55.8Z,1,REGULAR,turnover,palming,[],1626164,,,1610612756,17,11,2022-11-05T02:23:04Z,760000,,,0,,D. Booker palming TURNOVER (1 TO),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202041.0,,,,,1.0,,,,
77,PT05M28.00S,2022-11-05T02:23:02.8Z,1,REGULAR,substitution,out,[],1626159,,,1610612757,17,11,2022-11-05T02:23:08Z,770000,,,0,,SUB out: J. Winslow,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M28.00S,2022-11-05T02:23:02.8Z,1,REGULAR,substitution,in,[],1630553,,,1610612757,17,11,2022-11-05T02:23:08Z,780000,,,0,,SUB in: K. Johnson,[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M19.00S,2022-11-05T02:23:43.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631101,6.652431011826544,52.450980392156865,1610612757,17,11,2022-11-05T02:31:45Z,782500,-12.0,10.0,1,left,MISS S. Sharpe driving Layup,[1631101],1610612757.0,POR,driving,,,Sharpe,S. Sharpe,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
81,PT05M18.00S,2022-11-05T02:23:44.9Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,17,11,2022-11-05T02:31:45Z,783750,,,0,,J. Nurkic REBOUND (Off:1 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,80.0,2.0,1.0,1.0,,,,,,,,,,,,,,
103,PT05M18.00S,2022-11-05T02:23:48.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203994,8.015768725361367,45.12101715686275,1610612757,17,11,2022-11-05T02:33:20Z,785000,24.0,23.0,1,left,MISS J. Nurkic tip Layup,[203994],1610612757.0,POR,tip,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,,
104,PT05M16.00S,2022-11-05T02:23:50.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612757,17,11,2022-11-05T02:31:10Z,787500,,,0,,J. Nurkic REBOUND (Off:2 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,103.0,3.0,1.0,2.0,,,,,,,,,,,,,,
82,PT05M10.00S,2022-11-05T02:23:53.5Z,1,REGULAR,turnover,palming,[],1630553,,,1610612757,17,11,2022-11-05T02:23:58Z,810000,,,0,,K. Johnson palming TURNOVER (1 TO),[1630553],1610612757.0,POR,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,204059.0,,,,,1.0,,,,
83,PT04M48.00S,2022-11-05T02:24:27.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626164,95.48291721419186,96.56862745098039,1610612756,17,11,2022-11-05T02:24:31Z,820000,233.0,-10.0,1,right,MISS D. Booker 3PT,[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Right Corner 3,24+ Right,23.3,Missed,,,,,,,,,,,,,,,,,,
84,PT04M46.00S,2022-11-05T02:24:29.2Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,17,11,2022-11-05T02:24:29Z,830000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Right Corner 3,24+ Right,,,83.0,2.0,1.0,1.0,,,,,,,,,,,,,,
85,PT04M43.00S,2022-11-05T02:24:31.3Z,1,REGULAR,2pt,Layup,"['fromturnover', '2ndchance']",1629028,78.9257555847569,33.57843137254902,1610612756,17,11,2022-11-05T02:28:44Z,840000,-82.0,146.0,1,right,MISS D. Ayton 16' putback Layup,[1629028],1610612756.0,PHX,putback,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left Center,16.72,Missed,,,,,,,,,,,,,,,,,,
