actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT10M51.00S,2022-10-20T02:12:02.3Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",101108,67.49342969776609,62.254901960784316,1610612756,2,0,2022-10-20T02:14:26Z,160000,61.0,253.0,1,right,MISS C. Paul 26' running pullup 3PT,[101108],1610612756.0,PHX,running pullup,,,Paul,C. Paul,,,,,,Above the Break 3,24+ Center,26.04,Missed,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2022-10-20T02:12:06.3Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,0,2022-10-20T02:12:08Z,170000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,Above the Break 3,24+ Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M35.00S,2022-10-20T02:12:18.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,10.988830486202366,25.735294117647058,1610612742,2,2,2022-10-20T02:12:24Z,180000,121.0,51.0,1,left,L. Doncic 13' fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,,Mid-Range,8-16 Right,13.15,Made,,,,,2.0,,,,,,,,,,,,
20,PT10M24.00S,2022-10-20T02:12:28.6Z,1,REGULAR,2pt,Jump Shot,[],1626164,93.11760840998686,31.862745098039213,1610612756,2,2,2022-10-20T02:49:52Z,190000,-91.0,12.0,1,right,MISS D. Booker 9' driving floating Shot,[1626164],1610612756.0,PHX,driving floating,,,Booker,D. Booker,,,,,,Mid-Range,8-16 Left,9.15,Missed,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2022-10-20T02:12:31.6Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,2,2,2022-10-20T02:12:32Z,200000,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,Mid-Range,8-16 Left,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M11.00S,2022-10-20T02:12:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,5.732588699080158,52.20588235294118,1610612742,2,2,2022-10-20T02:12:46Z,210000,-11.0,1.0,1,left,MISS S. Dinwiddie driving Layup,[203915],1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,,Restricted Area,0-8 Center,1.11,Missed,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2022-10-20T02:12:44.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,2,2,2022-10-20T02:12:46Z,220000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Restricted Area,0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M05.00S,2022-10-20T02:12:47.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626164,92.32917214191852,50.98039215686274,1610612756,2,2,2022-10-20T02:12:55Z,230000,5.0,20.0,1,right,MISS D. Booker running Layup,[1626164],1610612756.0,PHX,running,,,Booker,D. Booker,,,,,,Restricted Area,0-8 Center,2.02,Missed,,,,,,,,,,,,,,,,,
25,PT10M02.00S,2022-10-20T02:12:50.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,2,2,2022-10-20T02:14:53Z,240000,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,Restricted Area,0-8 Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT10M00.00S,2022-10-20T02:12:57.3Z,1,REGULAR,foul,personal,[],1626164,,,1610612742,2,2,2022-10-20T02:15:45Z,270000,,,0,,D. Booker personal FOUL (1 PF),"[1626164, 203915]",1610612756.0,PHX,,,,Booker,D. Booker,,,,,2715.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,Dinwiddie,203915.0,,,,,
30,PT09M50.00S,2022-10-20T02:13:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,17.296320630749015,36.76470588235294,1610612742,2,4,2022-10-20T02:15:45Z,290000,66.0,110.0,1,left,L. Doncic 12' turnaround fadeaway Jump Shot (4 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,,In The Paint (Non-RA),8-16 Right,12.85,Made,,,,,4.0,,,,,,,,,,,,
31,PT09M25.00S,2022-10-20T02:13:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,79.71419185282524,46.07843137254902,1610612756,2,4,2022-10-20T02:13:50Z,300000,-20.0,138.0,1,right,MISS D. Booker 13' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,In The Paint (Non-RA),8-16 Center,13.96,Missed,,,,,,,,,,,,,,,,,
32,PT09M22.00S,2022-10-20T02:13:49.3Z,1,REGULAR,rebound,defensive,[],201580,,,1610612742,2,4,2022-10-20T02:13:50Z,310000,,,0,,J. McGee REBOUND (Off:0 Def:1),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,In The Paint (Non-RA),8-16 Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,
33,PT09M12.00S,2022-10-20T02:14:00.7Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612742,2,4,2022-10-20T02:14:16Z,320000,,,0,,D. Ayton shooting personal FOUL (1 PF) (McGee 2 FT),"[1629028, 201580]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,204058.0,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,0.0,McGee,201580.0,,,,,
37,PT09M12.00S,2022-10-20T02:14:33.1Z,1,REGULAR,freethrow,1 of 2,[],201580,,,1610612742,2,4,2022-10-20T02:14:33Z,340000,,,0,,MISS J. McGee Free Throw 1 of 2,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
38,PT09M12.00S,2022-10-20T02:14:33.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612742,2,4,2022-10-20T02:14:33Z,350000,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,
42,PT09M12.00S,2022-10-20T02:15:39.4Z,1,REGULAR,freethrow,2 of 2,[],201580,,,1610612742,2,5,2022-10-20T02:15:39Z,370000,,,0,,J. McGee Free Throw 2 of 2 (1 PTS),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
43,PT09M04.00S,2022-10-20T02:15:49.6Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612756,2,5,2022-10-20T02:16:04Z,380000,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Bridges 2 FT),"[203915, 1628969]",1610612742.0,DAL,shooting,,,Dinwiddie,S. Dinwiddie,,,,,204058.0,Restricted Area,0-8 Center,,,,,,,,,,,1.0,0.0,Bridges,1628969.0,,,,,
45,PT09M04.00S,2022-10-20T02:16:13.8Z,1,REGULAR,freethrow,1 of 2,[],1628969,,,1610612756,2,5,2022-10-20T02:16:13Z,400000,,,0,,MISS M. Bridges Free Throw 1 of 2,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
46,PT09M04.00S,2022-10-20T02:16:13.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612756,2,5,2022-10-20T02:16:13Z,410000,,,0,,TEAM offensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,
47,PT09M04.00S,2022-10-20T02:16:28.4Z,1,REGULAR,freethrow,2 of 2,[],1628969,,,1610612756,3,5,2022-10-20T02:16:28Z,420000,,,0,,M. Bridges Free Throw 2 of 2 (3 PTS),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,
48,PT08M55.00S,2022-10-20T02:16:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,33.196452036793694,43.872549019607845,1610612742,3,5,2022-10-20T02:16:43Z,430000,31.0,260.0,1,left,MISS L. Doncic 26' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Center,26.13,Missed,,,,,,,,,,,,,,,,,
49,PT08M54.00S,2022-10-20T02:16:39.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612756,3,5,2022-10-20T02:16:43Z,440000,,,0,,TEAM defensive REBOUND,[],1610612756.0,PHX,,,,,,,,,,,Above the Break 3,24+ Center,,,48.0,,,,,,,,,,,,,,,,
51,PT08M42.00S,2022-10-20T02:16:57.4Z,1,REGULAR,turnover,lost ball,[],1628969,,,1610612756,3,5,2022-10-20T02:17:03Z,460000,,,0,,M. Bridges lost ball TURNOVER (1 TO),"[1628969, 1627827]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,,,
52,PT08M42.00S,2022-10-20T02:16:57.4Z,1,REGULAR,steal,,[],1627827,,,1610612742,3,5,2022-10-20T02:17:02Z,470000,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,
53,PT08M27.00S,2022-10-20T02:17:11.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629029,7.30946123521682,46.568627450980394,1610612742,3,7,2022-10-20T02:17:18Z,480000,17.0,16.0,1,left,L. Doncic driving finger roll Layup (6 PTS),[1629029],1610612742.0,DAL,driving finger roll,,,Doncic,L. Doncic,,,,,,Restricted Area,0-8 Center,2.36,Made,,,,,6.0,,,,,,,,,,,,
54,PT08M09.00S,2022-10-20T02:17:29.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629028,93.11760840998686,50.0,1610612756,5,7,2022-10-20T02:17:42Z,490000,0.0,12.0,1,right,D. Ayton driving DUNK (2 PTS) (M. Bridges 1 AST),"[1629028, 1628969]",1610612756.0,PHX,driving,,,Ayton,D. Ayton,,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,2.0,,,,,,,,M. Bridges,1628969.0,1.0,,
56,PT07M44.00S,2022-10-20T02:17:53.9Z,1,REGULAR,3pt,Jump Shot,[],1629029,28.465834428383708,18.38235294117647,1610612742,5,7,2022-10-20T02:17:59Z,510000,158.0,215.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,,Above the Break 3,24+ Right Center,26.7,Missed,,,,,,,,,,,,,,,,,
57,PT07M42.00S,2022-10-20T02:17:55.9Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,5,7,2022-10-20T02:17:59Z,520000,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Above the Break 3,24+ Right Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT07M36.00S,2022-10-20T02:18:02.2Z,1,REGULAR,2pt,Jump Shot,[],1629028,78.66294349540078,37.745098039215684,1610612756,5,7,2022-10-20T02:18:06Z,530000,-61.0,148.0,1,right,MISS D. Ayton 16' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Mid-Range,8-16 Center,16.03,Missed,,,,,,,,,,,,,,,,,
59,PT07M34.00S,2022-10-20T02:18:04.2Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,5,7,2022-10-20T02:18:06Z,540000,,,0,,L. Doncic REBOUND (Off:0 Def:2),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,Mid-Range,8-16 Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT07M23.00S,2022-10-20T02:18:15.4Z,1,REGULAR,3pt,Jump Shot,[],203915,30.962549277266753,68.38235294117648,1610612742,5,7,2022-10-20T02:18:19Z,550000,-92.0,239.0,1,left,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612742.0,DAL,pullup,,,Dinwiddie,S. Dinwiddie,,,,,,Above the Break 3,24+ Left Center,25.56,Missed,,,,,,,,,,,,,,,,,
61,PT07M20.00S,2022-10-20T02:18:18.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,5,7,2022-10-20T02:18:19Z,560000,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Above the Break 3,24+ Left Center,,,60.0,1.0,1.0,0.0,,,,,,,,,,,,,
62,PT07M14.00S,2022-10-20T02:18:24.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,85.49605781865965,42.15686274509804,1610612756,7,7,2022-10-20T02:18:28Z,570000,-39.0,84.0,1,right,D. Booker 9' pullup Jump Shot (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,,In The Paint (Non-RA),8-16 Center,9.25,Made,,,,,2.0,,,,,,,,C. Paul,101108.0,1.0,,
64,PT06M56.00S,2022-10-20T02:18:42.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201580,6.1268068331143235,50.0,1610612742,7,9,2022-10-20T02:18:45Z,590000,0.0,5.0,1,left,J. McGee cutting Layup (3 PTS) (L. Doncic 1 AST),"[201580, 1629029]",1610612742.0,DAL,cutting,,,McGee,J. McGee,,,,,,Restricted Area,0-8 Center,0.51,Made,,,,,3.0,,,,,,,,L. Doncic,1629029.0,1.0,,
66,PT06M43.00S,2022-10-20T02:18:57.9Z,1,REGULAR,violation,kicked ball,[],203493,,,1610612756,7,9,2022-10-20T02:19:07Z,610000,,,0,,R. Bullock kicked ball VIOLATION,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,204058.0,,,,,,,,,,,,,,,,,,,,,
67,PT06M43.00S,2022-10-20T02:19:09.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612756,7,9,2022-10-20T02:19:09Z,620000,,,0,,PHX Timeout,[],1610612756.0,PHX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2022-10-20T02:22:36.6Z,1,REGULAR,3pt,Jump Shot,[],1629661,76.82325886990802,88.72549019607843,1610612756,7,9,2022-10-20T02:39:53Z,630000,194.0,165.0,1,right,MISS C. Johnson 25' pullup 3PT,[1629661],1610612756.0,PHX,pullup,,,Johnson,C. Johnson,,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,
69,PT06M27.00S,2022-10-20T02:22:37.6Z,1,REGULAR,rebound,offensive,[],1629028,,,1610612756,7,9,2022-10-20T02:25:37Z,640000,,,0,,D. Ayton REBOUND (Off:1 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,,Above the Break 3,24+ Right Center,,,68.0,2.0,1.0,1.0,,,,,,,,,,,,,
70,PT06M27.00S,2022-10-20T02:22:42.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629028,94.40999984741211,50.0,1610612756,9,9,2022-10-20T02:25:32Z,650000,0.0,0.0,1,right,D. Ayton tip Layup (4 PTS),[1629028],1610612756.0,PHX,tip,,,Ayton,D. Ayton,,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,4.0,,,,,,,,,,,,
71,PT06M09.00S,2022-10-20T02:22:55.2Z,1,REGULAR,3pt,Jump Shot,[],1627827,4.944152431011826,4.411764705882353,1610612742,9,12,2022-10-20T02:22:59Z,660000,228.0,-6.0,1,left,D. Finney-Smith 3PT  (3 PTS) (L. Doncic 2 AST),"[1627827, 1629029]",1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,,Right Corner 3,24+ Right,22.8,Made,,,,,3.0,,,,,,,,L. Doncic,1629029.0,2.0,,
73,PT05M45.00S,2022-10-20T02:23:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626164,89.96386333771353,35.294117647058826,1610612756,11,12,2022-10-20T02:23:24Z,680000,-74.0,42.0,1,right,D. Booker 8' driving bank Jump Shot (4 PTS),[1626164],1610612756.0,PHX,driving bank,,,Booker,D. Booker,,,,,,In The Paint (Non-RA),8-16 Left,8.46,Made,,,,,4.0,,,,,,,,,,,,
74,PT05M37.00S,2022-10-20T02:23:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203915,4.681340341655716,53.431372549019606,1610612742,11,12,2022-10-20T02:23:30Z,690000,-17.0,-8.0,1,left,MISS S. Dinwiddie driving Layup,[203915],1610612742.0,DAL,driving,,,Dinwiddie,S. Dinwiddie,,,,,,Restricted Area,0-8 Center,1.92,Missed,,,,,,,,,,,,,,,,,
75,PT05M35.00S,2022-10-20T02:23:29.7Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,11,12,2022-10-20T02:23:30Z,700000,,,0,,M. Bridges REBOUND (Off:0 Def:3),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Restricted Area,0-8 Center,,,74.0,3.0,3.0,0.0,,,,,,,,,,,,,
76,PT05M25.00S,2022-10-20T02:23:38.9Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,11,12,2022-10-20T02:23:44Z,710000,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 201580]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,McGee,201580.0,,,,,,,,,
77,PT05M25.00S,2022-10-20T02:23:38.9Z,1,REGULAR,steal,,[],201580,,,1610612742,11,12,2022-10-20T02:23:42Z,720000,,,0,,J. McGee STEAL (1 STL),[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
78,PT05M20.00S,2022-10-20T02:23:44.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203915,6.783837056504599,51.225490196078425,1610612742,11,12,2022-10-20T02:23:48Z,730000,-6.0,11.0,1,left,MISS S. Dinwiddie running Shot - blocked,"[203915, 1628969]",1610612742.0,DAL,running,,,Dinwiddie,S. Dinwiddie,,,,,,Restricted Area,0-8 Center,1.28,Missed,,,,,,,,,,,,,,,,Bridges,1628969.0
79,PT05M20.00S,2022-10-20T02:23:44.1Z,1,REGULAR,block,,[],1628969,,,1610612742,11,12,2022-10-20T02:23:47Z,740000,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
80,PT05M19.00S,2022-10-20T02:23:45.1Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,11,12,2022-10-20T02:23:48Z,750000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,,Restricted Area,0-8 Center,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,
81,PT05M19.00S,2022-10-20T02:23:52.0Z,1,REGULAR,foul,personal,[],1629029,,,1610612756,11,12,2022-10-20T02:24:47Z,760000,,,0,,L. Doncic personal FOUL (1 PF),"[1629029, 1626164]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,204058.0,Mid-Range,16-24 Right Center,,,,,,,,,,,1.0,0.0,Booker,1626164.0,,,,,
83,PT05M19.00S,2022-10-20T02:24:13.3Z,1,REGULAR,substitution,out,[],203915,,,1610612756,11,12,2022-10-20T02:24:37Z,780000,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M19.00S,2022-10-20T02:24:13.3Z,1,REGULAR,substitution,out,[],201580,,,1610612756,11,12,2022-10-20T02:24:37Z,790000,,,0,,SUB out: J. McGee,[201580],1610612742.0,DAL,,,,McGee,J. McGee,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M19.00S,2022-10-20T02:24:13.3Z,1,REGULAR,substitution,in,[],203501,,,1610612756,11,12,2022-10-20T02:24:37Z,800000,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M19.00S,2022-10-20T02:24:13.3Z,1,REGULAR,substitution,in,[],1626174,,,1610612756,11,12,2022-10-20T02:24:37Z,810000,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M09.00S,2022-10-20T02:24:38.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629661,91.40932982917214,49.754901960784316,1610612756,13,12,2022-10-20T02:30:59Z,820000,-1.0,28.0,1,right,C. Johnson cutting DUNK (2 PTS) (D. Ayton 1 AST),"[1629661, 1629028]",1610612756.0,PHX,cutting,,,Johnson,C. Johnson,,,,,,Restricted Area,0-8 Center,2.83,Made,,,,,2.0,,,,,,,,D. Ayton,1629028.0,1.0,,
89,PT04M50.00S,2022-10-20T02:24:50.2Z,1,REGULAR,foul,personal,['2freethrow'],1629028,,,1610612742,13,12,2022-10-20T02:25:20Z,840000,,,0,,D. Ayton shooting personal FOUL (2 PF) (Wood 2 FT),"[1629028, 1626174]",1610612756.0,PHX,shooting,,,Ayton,D. Ayton,,,,,2715.0,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2.0,0.0,Wood,1626174.0,,,,,
91,PT04M50.00S,2022-10-20T02:25:28.3Z,1,REGULAR,foul,technical,['1freethrow'],202109,,,1610612742,13,12,2022-10-20T04:10:07Z,860000,,,0,,TEAM foul technical,[202109],1610612756.0,PHX,,,,,,,,,,204058.0,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
92,PT04M50.00S,2022-10-20T02:25:43.9Z,1,REGULAR,freethrow,1 of 1,[],203493,,,1610612742,13,13,2022-10-20T02:25:43Z,870000,,,0,,R. Bullock technical Free Throw 1 of 1 (1 PTS),[203493],1610612742.0,DAL,technical,,,Bullock,R. Bullock,,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,
