actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
31,PT09M10.00S,2022-10-29T02:22:24.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630230,86.94152431011827,47.05882352941176,1610612740,10,5,2022-10-29T02:22:29Z,310000,-15.0,70.0,1,right,N. Marshall 7' turnaround Hook (2 PTS),[1630230],1610612740.0,NOP,turnaround,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),0-8 Center,7.17,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M52.00S,2022-10-29T02:22:51.8Z,1,REGULAR,violation,kicked ball,[],1630530,,,1610612756,10,5,2022-10-29T02:31:25Z,330000,,,0,,T. Murphy III kicked ball VIOLATION,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,203591.0,,,,,,,,,,,,
35,PT08M38.00S,2022-10-29T02:23:20.6Z,1,REGULAR,3pt,Jump Shot,[],1626164,28.86005256241787,25.49019607843137,1610612756,10,5,2022-10-29T02:23:25Z,350000,123.0,219.0,1,left,MISS D. Booker 25' step back 3PT,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,25.08,Missed,,,,,,,,,,,,,,,,,,
36,PT08M36.00S,2022-10-29T02:23:22.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,10,5,2022-10-29T02:23:25Z,360000,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,
37,PT08M24.00S,2022-10-29T02:23:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,89.30683311432325,50.245098039215684,1610612740,10,7,2022-10-29T02:23:43Z,370000,1.0,48.0,1,right,J. Valanciunas finger roll Layup (2 PTS),[202685],1610612740.0,NOP,finger roll,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,4.8,Made,2.0,,,,,,,,,,,,,,,,,
38,PT08M08.00S,2022-10-29T02:23:50.2Z,1,REGULAR,2pt,Jump Shot,[],1626164,19.398817345597898,69.11764705882352,1610612756,10,7,2022-10-29T02:48:41Z,380000,-96.0,130.0,1,left,MISS D. Booker 16' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,16.12,Missed,,,,,,,,,,,,,,,,,,
39,PT08M06.00S,2022-10-29T02:23:52.2Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,10,7,2022-10-29T02:24:03Z,390000,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,
40,PT08M01.00S,2022-10-29T02:23:57.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,68.01905387647832,73.2843137254902,1610612740,10,7,2022-10-29T02:25:00Z,400000,116.0,248.0,1,right,MISS C. McCollum 27' running pullup 3PT,[203468],1610612740.0,NOP,running pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,27.4,Missed,,,,,,,,,,,,,,,,,,
41,PT07M59.00S,2022-10-29T02:23:59.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,10,7,2022-10-29T02:24:08Z,410000,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT07M54.00S,2022-10-29T02:24:03.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626164,6.1268068331143235,52.20588235294118,1610612756,12,7,2022-10-29T02:24:14Z,420000,-11.0,5.0,1,left,D. Booker running Layup (4 PTS) (M. Bridges 1 AST),"[1626164, 1628969]",1610612756.0,PHX,running,,,Booker,D. Booker,,,,,Restricted Area,0-8 Center,1.21,Made,4.0,,,,,,,,,,,,,M. Bridges,1628969.0,1.0,,
44,PT07M41.00S,2022-10-29T02:24:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,82.86793692509855,48.28431372549019,1610612740,12,7,2022-10-29T02:24:26Z,440000,-9.0,109.0,1,right,MISS J. Valanciunas 10' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,10.88,Missed,,,,,,,,,,,,,,,,,,
45,PT07M39.00S,2022-10-29T02:24:18.6Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,12,7,2022-10-29T02:24:26Z,450000,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,In The Paint (Non-RA),8-16 Center,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
46,PT07M34.00S,2022-10-29T02:24:24.7Z,1,REGULAR,3pt,Jump Shot,[],1626164,32.14520367936925,60.5392156862745,1610612756,12,7,2022-10-29T02:24:34Z,460000,-53.0,250.0,1,left,MISS D. Booker 25' pullup 3PT,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Above the Break 3,24+ Center,25.52,Missed,,,,,,,,,,,,,,,,,,
47,PT07M32.00S,2022-10-29T02:24:26.7Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,12,7,2022-10-29T02:24:34Z,470000,,,0,,C. McCollum REBOUND (Off:0 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,,
48,PT07M24.00S,2022-10-29T02:24:35.0Z,1,REGULAR,3pt,Jump Shot,[],1630230,79.05716162943496,92.15686274509804,1610612740,12,10,2022-10-29T02:24:41Z,480000,211.0,144.0,1,right,N. Marshall 25' 3PT  (5 PTS) (C. McCollum 2 AST),"[1630230, 203468]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,25.55,Made,5.0,,,,,,,,,,,,,C. McCollum,203468.0,2.0,,
50,PT07M06.00S,2022-10-29T02:24:51.6Z,1,REGULAR,3pt,Jump Shot,[],1629661,22.552562417871222,8.088235294117647,1610612756,12,10,2022-10-29T02:24:58Z,500000,210.0,159.0,1,left,MISS C. Johnson 26' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,26.34,Missed,,,,,,,,,,,,,,,,,,
51,PT07M06.00S,2022-10-29T02:24:51.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612740,12,10,2022-10-29T02:24:58Z,510000,,,0,,TEAM defensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Right Center,,,,50.0,,,,,,,,,,,,,,,,
53,PT06M41.00S,2022-10-29T02:25:30.5Z,1,REGULAR,2pt,Jump Shot,[],1630631,86.5473061760841,75.0,1610612740,12,10,2022-10-29T02:25:45Z,530000,125.0,74.0,1,right,MISS J. Alvarado 14' turnaround Shot,[1630631],1610612740.0,NOP,turnaround,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Right,14.53,Missed,,,,,,,,,,,,,,,,,,
54,PT06M41.00S,2022-10-29T02:25:33.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,12,10,2022-10-29T02:25:33Z,540000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,8-16 Right,,,,53.0,,,,,,,,,,,,,,,,
55,PT06M41.00S,2022-10-29T02:25:34.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612740,12,10,2022-10-29T02:25:54Z,550000,,,0,,NOP shot clock Team TURNOVER,[],1610612740.0,NOP,,,,,,,,,,Mid-Range,16-24 Left,,,,,,,,2534.0,,,,,,,,,,,,
57,PT06M20.00S,2022-10-29T02:26:05.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,12.171484888304862,54.65686274509803,1610612756,12,10,2022-10-29T02:26:09Z,560000,-23.0,62.0,1,left,MISS D. Ayton 6' turnaround Hook,[1629028],1610612756.0,PHX,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,6.61,Missed,,,,,,,,,,,,,,,,,,
58,PT06M18.00S,2022-10-29T02:26:07.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,12,10,2022-10-29T02:26:09Z,570000,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),0-8 Center,,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,
59,PT06M09.00S,2022-10-29T02:26:16.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,66.70499342969777,68.13725490196079,1610612740,12,10,2022-10-29T02:26:21Z,580000,91.0,260.0,1,right,MISS T. Murphy III 27' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,27.58,Missed,,,,,,,,,,,,,,,,,,
60,PT06M05.00S,2022-10-29T02:26:20.2Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,12,10,2022-10-29T02:26:21Z,590000,,,0,,D. Ayton REBOUND (Off:1 Def:2),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Right Center,,,,59.0,3.0,2.0,1.0,,,,,,,,,,,,,
61,PT05M59.00S,2022-10-29T02:26:26.3Z,1,REGULAR,turnover,lost ball,[],101108,,,1610612756,12,10,2022-10-29T02:26:31Z,600000,,,0,,C. Paul lost ball TURNOVER (1 TO),"[101108, 1630631]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Alvarado,1630631.0,,,,,
62,PT05M59.00S,2022-10-29T02:26:26.3Z,1,REGULAR,steal,,[],1630631,,,1610612740,12,10,2022-10-29T02:32:12Z,610000,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
63,PT05M51.00S,2022-10-29T02:26:34.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630631,72.7496714848883,14.705882352941178,1610612740,12,13,2022-10-29T02:26:40Z,620000,-176.0,204.0,1,right,J. Alvarado 26' 3PT  (6 PTS) (N. Marshall 1 AST),"[1630631, 1630230]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Left Center,26.95,Made,6.0,,,,,,,,,,,,,N. Marshall,1630230.0,1.0,,
65,PT05M28.00S,2022-10-29T02:26:57.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,30.042706964520367,24.019607843137255,1610612756,12,13,2022-10-29T02:27:02Z,640000,130.0,230.0,1,left,MISS C. Johnson 26' 3PT,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,26.41,Missed,,,,,,,,,,,,,,,,,,
66,PT05M25.00S,2022-10-29T02:27:00.2Z,1,REGULAR,rebound,defensive,[],1630631,,,1610612740,12,13,2022-10-29T02:27:02Z,650000,,,0,,J. Alvarado REBOUND (Off:0 Def:1),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,Above the Break 3,24+ Right Center,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT05M18.00S,2022-10-29T02:27:06.7Z,1,REGULAR,turnover,lost ball,[],1630230,,,1610612740,12,13,2022-10-29T02:27:10Z,660000,,,0,,N. Marshall lost ball TURNOVER (1 TO),"[1630230, 1629661]",1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,Johnson,1629661.0,,,,,
68,PT05M18.00S,2022-10-29T02:27:06.7Z,1,REGULAR,steal,,[],1629661,,,1610612756,12,13,2022-10-29T02:27:08Z,670000,,,0,,C. Johnson STEAL (2 STL),[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
69,PT05M12.00S,2022-10-29T02:27:13.9Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612756,12,13,2022-10-29T02:27:19Z,680000,,,0,,C. Paul bad pass TURNOVER (2 TO),"[101108, 203468]",1610612756.0,PHX,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,2.0,McCollum,203468.0,,,,,
70,PT05M12.00S,2022-10-29T02:27:13.9Z,1,REGULAR,steal,,[],203468,,,1610612740,12,13,2022-10-29T02:40:52Z,690000,,,0,,C. McCollum STEAL (1 STL),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
71,PT05M08.00S,2022-10-29T02:27:19.9Z,1,REGULAR,foul,personal,['2freethrow'],101108,,,1610612740,12,13,2022-10-29T02:27:31Z,700000,,,0,,C. Paul shooting personal FOUL (1 PF) (Murphy III 2 FT),"[101108, 1630530]",1610612756.0,PHX,shooting,,,Paul,C. Paul,,,,,Restricted Area,0-8 Center,,,,,,,,203591.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,
73,PT05M08.00S,2022-10-29T02:27:49.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630530,,,1610612740,12,14,2022-10-29T02:32:30Z,720000,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
74,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,out,[],1629661,,,1610612740,12,14,2022-10-29T02:27:58Z,730000,,,0,,SUB out: C. Johnson,[1629661],1610612756.0,PHX,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,out,[],101108,,,1610612740,12,14,2022-10-29T02:27:58Z,740000,,,0,,SUB out: C. Paul,[101108],1610612756.0,PHX,,,,Paul,C. Paul,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,out,[],1630631,,,1610612740,12,14,2022-10-29T02:27:58Z,750000,,,0,,SUB out: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,in,[],1626166,,,1610612740,12,14,2022-10-29T02:27:58Z,760000,,,0,,SUB in: C. Payne,[1626166],1610612756.0,PHX,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,in,[],1628470,,,1610612740,12,14,2022-10-29T02:27:58Z,770000,,,0,,SUB in: T. Craig,[1628470],1610612756.0,PHX,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M08.00S,2022-10-29T02:27:50.6Z,1,REGULAR,substitution,in,[],1628984,,,1610612740,12,14,2022-10-29T02:27:58Z,780000,,,0,,SUB in: D. Graham,[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M08.00S,2022-10-29T02:27:49.0Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1630530,,,1610612740,12,15,2022-10-29T02:32:30Z,790000,,,0,,T. Murphy III Free Throw 2 of 2 (2 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
81,PT04M54.00S,2022-10-29T02:28:30.8Z,1,REGULAR,2pt,Jump Shot,[],1629028,20.581471747700395,54.65686274509803,1610612756,12,15,2022-10-29T02:28:35Z,800000,-23.0,141.0,1,left,MISS D. Ayton 14' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,8-16 Center,14.29,Missed,,,,,,,,,,,,,,,,,,
82,PT04M52.00S,2022-10-29T02:28:32.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,12,15,2022-10-29T02:28:35Z,810000,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,8-16 Center,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,
83,PT04M45.00S,2022-10-29T02:28:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.32917214191852,50.49019607843137,1610612740,12,17,2022-10-29T02:28:46Z,820000,2.0,20.0,1,right,J. Valanciunas cutting Layup (4 PTS) (N. Marshall 2 AST),"[202685, 1630230]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.98,Made,4.0,,,,,,,,,,,,,N. Marshall,1630230.0,2.0,,
85,PT04M31.00S,2022-10-29T02:28:54.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,18.610381077529567,69.11764705882352,1610612756,14,17,2022-10-29T02:29:07Z,840000,-96.0,122.0,1,left,M. Bridges 15' pullup Jump Shot (6 PTS) (D. Booker 1 AST),"[1628969, 1626164]",1610612756.0,PHX,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,15.53,Made,6.0,,,,,,,,,,,,,D. Booker,1626164.0,1.0,,
