actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
24,PT10M08.00S,2024-11-18T00:13:53.5Z,1,REGULAR,3pt,Jump Shot,[],1629661,26.49474375821288,80.14705882352942,1610612751,2,0,2024-11-18T00:13:57Z,240000,False,-151.0,197.0,1,left,MISS C. Johnson 24' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,24.77,Missed,,,,,,,,,,,,,,,,,,
25,PT10M05.00S,2024-11-18T00:13:56.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,0,2024-11-18T00:13:57Z,250000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT10M00.00S,2024-11-18T00:14:04.1Z,1,REGULAR,turnover,out-of-bounds,[],1628404,,,1610612752,2,0,2024-11-18T00:14:08Z,260000,False,,,0,,J. Hart bad pass out-of-bounds TURNOVER (1 TO),[1628404],1610612752.0,NYK,bad pass,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,,,,201245.0,,,,,,,,,
27,PT09M49.00S,2024-11-18T00:14:27.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629661,4.418528252299605,51.71568627450981,1610612751,2,2,2024-11-18T00:14:31Z,270000,False,-9.0,-11.0,1,left,C. Johnson cutting DUNK (2 PTS) (B. Simmons 1 AST),"[1629661, 1627732]",1610612751.0,BKN,cutting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,,,,2.0,,B. Simmons,1627732.0,1.0,,,,,,
29,PT09M24.00S,2024-11-18T00:14:51.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,93.77463863337714,4.166666666666666,1610612752,5,2,2024-11-18T00:14:57Z,290000,False,-229.0,6.0,1,right,J. Hart 3PT  (3 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,,,,3.0,,J. Brunson,1628973.0,1.0,,,,,,
31,PT09M15.00S,2024-11-18T00:15:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627827,5.863994743758213,50.0,1610612751,5,4,2024-11-18T00:15:04Z,310000,False,0.0,3.0,1,left,D. Finney-Smith driving Layup (2 PTS) (B. Simmons 2 AST),"[1627827, 1627732]",1610612751.0,BKN,driving,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,0.26,Made,,,,,,,,2.0,,B. Simmons,1627732.0,2.0,,,,,,
33,PT09M03.00S,2024-11-18T00:15:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,93.77463863337714,48.529411764705884,1610612752,7,4,2024-11-18T00:15:14Z,330000,False,-7.0,6.0,1,right,K. Towns cutting Layup (2 PTS) (J. Hart 1 AST),"[1626157, 1628404]",1610612752.0,NYK,cutting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,0.95,Made,,,,,,,,2.0,,J. Hart,1628404.0,1.0,,,,,,
35,PT08M50.00S,2024-11-18T00:15:25.2Z,1,REGULAR,3pt,Jump Shot,[],1629661,31.35676741130092,74.26470588235294,1610612751,7,4,2024-11-18T00:15:28Z,350000,False,-121.0,242.0,1,left,MISS C. Johnson 27' pullup 3PT,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,27.1,Missed,,,,,,,,,,,,,,,,,,
36,PT08M48.00S,2024-11-18T00:15:27.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,7,4,2024-11-18T00:15:28Z,360000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M41.00S,2024-11-18T00:15:37.7Z,1,REGULAR,foul,personal,[],1627732,,,1610612752,7,4,2024-11-18T00:15:42Z,370000,False,,,0,,B. Simmons personal FOUL (1 PF),"[1627732, 1626157]",1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,1627524.0,,,,1.0,0.0,Towns,1626157.0,,
39,PT08M31.00S,2024-11-18T00:16:04.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,87.86136662286465,51.71568627450981,1610612752,7,4,2024-11-18T00:16:07Z,390000,False,9.0,62.0,1,right,MISS O. Anunoby 6' fadeaway Shot,[1628384],1610612752.0,NYK,fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,6.22,Missed,,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2024-11-18T00:16:06.4Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,7,4,2024-11-18T00:16:07Z,400000,False,,,0,,D. Finney-Smith REBOUND (Off:2 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,39.0,3.0,1.0,2.0,,,,,,,,,,,,,,
41,PT08M20.00S,2024-11-18T00:16:16.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627732,5.601182654402102,52.94117647058824,1610612751,7,4,2024-11-18T00:20:10Z,410000,False,-15.0,0.0,1,left,MISS B. Simmons cutting DUNK,[1627732],1610612751.0,BKN,cutting,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.47,Missed,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2024-11-18T00:16:19.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,4,2024-11-18T00:16:19Z,430000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,41.0,3.0,3.0,0.0,,,,,,,,,,,,,,
44,PT08M14.00S,2024-11-18T00:16:23.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,94.69448094612353,94.85294117647058,1610612752,10,4,2024-11-18T00:16:29Z,440000,False,224.0,-3.0,1,right,M. Bridges 3PT running (5 PTS) (J. Brunson 2 AST),"[1628969, 1628973]",1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.43,Made,,,,,,,,5.0,,J. Brunson,1628973.0,2.0,,,,,,
46,PT08M02.00S,2024-11-18T00:16:34.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,3.630091984231275,95.34313725490196,1610612751,10,4,2024-11-18T00:16:38Z,460000,False,-227.0,-18.0,1,left,MISS C. Johnson 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,22.74,Missed,,,,,,,,,,,,,,,,,,
47,PT07M59.00S,2024-11-18T00:16:37.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,10,4,2024-11-18T00:17:03Z,470000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,46.0,4.0,4.0,0.0,,,,,,,,,,,,,,
48,PT07M53.00S,2024-11-18T00:16:42.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,63.9454664914586,63.48039215686274,1610612752,10,4,2024-11-18T00:16:49Z,480000,False,67.0,286.0,1,right,MISS J. Brunson 29' running pullup 3PT,[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,29.42,Missed,,,,,,,,,,,,,,,,,,
49,PT07M50.00S,2024-11-18T00:16:45.7Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,10,4,2024-11-18T00:16:49Z,490000,False,,,0,,C. Thomas REBOUND (Off:0 Def:3),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,,,48.0,3.0,3.0,0.0,,,,,,,,,,,,,,
50,PT07M44.00S,2024-11-18T00:16:51.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629661,5.206964520367937,51.9607843137255,1610612751,10,6,2024-11-18T00:21:30Z,500000,False,-10.0,-4.0,1,left,C. Johnson running DUNK (4 PTS) (B. Simmons 3 AST),"[1629661, 1627732]",1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,,,,4.0,,B. Simmons,1627732.0,3.0,,,,,,
52,PT07M22.00S,2024-11-18T00:17:13.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,92.19776609724047,3.9215686274509802,1610612752,10,6,2024-11-18T00:17:20Z,520000,False,-230.0,21.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.13,Missed,,,,,,,,,,,,,,,,,,
53,PT07M21.00S,2024-11-18T00:17:14.8Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612752,10,6,2024-11-18T00:17:20Z,530000,False,,,0,,K. Towns REBOUND (Off:1 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,52.0,5.0,4.0,1.0,,,,,,,,,,,,,,
54,PT07M21.00S,2024-11-18T00:17:18.0Z,1,REGULAR,foul,personal,[],1629661,,,1610612752,10,6,2024-11-18T00:17:29Z,540000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1626157]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1146.0,,,,1.0,0.0,Towns,1626157.0,,
57,PT07M21.00S,2024-11-18T00:17:23.6Z,1,REGULAR,substitution,out,[],203471,,,1610612752,10,6,2024-11-18T00:19:34Z,555000,False,,,0,,SUB out: D. Schröder,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M21.00S,2024-11-18T00:17:23.6Z,1,REGULAR,substitution,in,[],1630570,,,1610612752,10,6,2024-11-18T00:19:34Z,557500,False,,,0,,SUB in: T. Watford,[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M21.00S,2024-11-18T00:19:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612752,10,6,2024-11-18T00:19:56Z,570000,False,,,0,,K. Towns flagrant-type-1 personal FOUL (1 PF) (Johnson 2 FT),"[1626157, 1629661]",1610612752.0,NYK,flagrant-type-1,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1146.0,,,,1.0,0.0,Johnson,1629661.0,,
61,PT07M21.00S,2024-11-18T00:19:37.9Z,1,REGULAR,turnover,offensive foul,[],1626157,,,1610612752,10,6,2024-11-18T00:19:37Z,590000,False,,,0,,K. Towns offensive foul TURNOVER (1 TO),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,,,1.0,,,,1146.0,,,,,,,,,
62,PT07M21.00S,2024-11-18T00:19:59.2Z,1,REGULAR,freethrow,1 of 2,[],1629661,,,1610612751,10,7,2024-11-18T00:19:59Z,600000,False,,,0,,C. Johnson flagrant Free Throw 1 of 2 (5 PTS),[1629661],1610612751.0,BKN,flagrant,,,Johnson,C. Johnson,,,,,,,,Made,,,,,,,,5.0,,,,,,,,,,
63,PT07M21.00S,2024-11-18T00:19:59.7Z,1,REGULAR,freethrow,2 of 2,[],1629661,,,1610612751,10,8,2024-11-18T00:19:59Z,610000,False,,,0,,C. Johnson flagrant Free Throw 2 of 2 (6 PTS),[1629661],1610612751.0,BKN,flagrant,,,Johnson,C. Johnson,,,,,,,,Made,,,,,,,,6.0,,,,,,,,,,
64,PT06M57.00S,2024-11-18T00:20:40.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629661,5.995400788436268,27.941176470588236,1610612751,10,8,2024-11-18T00:23:44Z,620000,False,110.0,4.0,1,left,MISS C. Johnson 11' fadeaway Shot,[1629661],1610612751.0,BKN,fadeaway,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,11.04,Missed,,,,,,,,,,,,,,,,,,
65,PT06M55.00S,2024-11-18T00:20:42.1Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,10,8,2024-11-18T00:20:43Z,630000,False,,,0,,K. Towns REBOUND (Off:1 Def:5),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Right,,,64.0,6.0,5.0,1.0,,,,,,,,,,,,,,
66,PT06M35.00S,2024-11-18T00:21:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,80.1084099868594,60.5392156862745,1610612752,10,8,2024-11-18T00:21:05Z,640000,False,53.0,134.0,1,right,MISS J. Brunson 14' turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,14.45,Missed,,,,,,,,,,,,,,,,,,
67,PT06M32.00S,2024-11-18T00:21:05.6Z,1,REGULAR,rebound,defensive,[],1630570,,,1610612751,10,8,2024-11-18T00:21:05Z,650000,False,,,0,,T. Watford REBOUND (Off:0 Def:1),[1630570],1610612751.0,BKN,,,,Watford,T. Watford,,,,,In The Paint (Non-RA),8-16 Center,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M27.00S,2024-11-18T00:21:10.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,4.02431011826544,97.30392156862744,1610612751,10,11,2024-11-18T00:21:23Z,660000,False,-237.0,-15.0,1,left,D. Finney-Smith 3PT running (5 PTS) (C. Johnson 1 AST),"[1627827, 1629661]",1610612751.0,BKN,running,,,Finney-Smith,D. Finney-Smith,,,,,Left Corner 3,24+ Left,23.7,Made,,,,,,,,5.0,,C. Johnson,1629661.0,1.0,,,,,,
70,PT06M06.00S,2024-11-18T00:21:32.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,93.77463863337714,49.754901960784316,1610612752,12,11,2024-11-18T00:21:37Z,680000,False,-1.0,6.0,1,right,O. Anunoby cutting DUNK (2 PTS) (K. Towns 1 AST),"[1628384, 1626157]",1610612752.0,NYK,cutting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,,,,2.0,,K. Towns,1626157.0,1.0,,,,,,
72,PT06M06.00S,2024-11-18T00:21:35.5Z,1,REGULAR,foul,personal,['1freethrow'],1627732,,,1610612752,12,11,2024-11-18T00:21:49Z,700000,False,,,0,,B. Simmons shooting personal FOUL (2 PF) (Anunoby 1 FT),"[1627732, 1628384]",1610612751.0,BKN,shooting,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1146.0,,,,2.0,0.0,Anunoby,1628384.0,,
74,PT06M06.00S,2024-11-18T00:21:58.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,12,11,2024-11-18T00:21:58Z,720000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M06.00S,2024-11-18T00:21:58.7Z,1,REGULAR,substitution,out,[],1627732,,,1610612752,12,11,2024-11-18T00:24:36Z,730000,False,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M06.00S,2024-11-18T00:21:58.7Z,1,REGULAR,substitution,in,[],1630533,,,1610612752,12,11,2024-11-18T00:24:36Z,740000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M06.00S,2024-11-18T00:25:00.0Z,1,REGULAR,freethrow,1 of 1,[],1628384,,,1610612752,13,11,2024-11-18T00:25:00Z,750000,False,,,0,,O. Anunoby Free Throw 1 of 1 (3 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,,3.0,,,,,,,,,,
78,PT05M53.00S,2024-11-18T00:25:13.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,20.844283837056505,46.568627450980394,1610612751,13,13,2024-11-18T00:25:20Z,760000,False,17.0,143.0,1,left,C. Thomas 14' pullup Jump Shot (2 PTS) (D. Finney-Smith 1 AST),"[1630560, 1627827]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Center,14.44,Made,,,,,,,,2.0,,D. Finney-Smith,1627827.0,1.0,,,,,,
80,PT05M53.00S,2024-11-18T00:25:16.9Z,1,REGULAR,foul,personal,['1freethrow'],1626157,,,1610612751,13,13,2024-11-18T00:25:24Z,780000,False,,,0,,K. Towns shooting personal FOUL (2 PF) (Thomas 1 FT),"[1626157, 1630560]",1610612752.0,NYK,shooting,,,Towns,K. Towns,,,,,Mid-Range,8-16 Center,,,,,,,,,,,201245.0,,,,2.0,0.0,Thomas,1630560.0,,
82,PT05M53.00S,2024-11-18T00:25:16.9Z,1,REGULAR,substitution,out,[],1626157,,,1610612751,13,13,2024-11-18T00:25:28Z,800000,False,,,0,,SUB out: K. Towns,[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M53.00S,2024-11-18T00:25:16.9Z,1,REGULAR,substitution,in,[],1630579,,,1610612751,13,13,2024-11-18T00:25:28Z,810000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M53.00S,2024-11-18T00:25:52.5Z,1,REGULAR,freethrow,1 of 1,[],1630560,,,1610612751,13,13,2024-11-18T00:25:55Z,820000,False,,,0,,MISS C. Thomas Free Throw 1 of 1,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
85,PT05M50.00S,2024-11-18T00:25:55.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,13,13,2024-11-18T00:25:55Z,830000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,,,,,84.0,1.0,1.0,0.0,,,,,,,,,,,,,,
