actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
26,PT09M12.00S,2025-03-05T00:39:43.7Z,1,REGULAR,foul,personal,['1freethrow'],203110,,,1610612752,6,8,2025-03-05T00:40:02Z,260000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Robinson 1 FT),"[203110, 1629011]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,,,,,,,,202056.0,,,,,,,1.0,0.0,Robinson,1629011.0,,
28,PT09M12.00S,2025-03-05T00:40:18.5Z,1,REGULAR,freethrow,1 of 1,[],1629011,,,1610612752,7,8,2025-03-05T00:40:18Z,280000,False,,,0,,M. Robinson Free Throw 1 of 1 (3 PTS),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
29,PT08M55.00S,2025-03-05T00:40:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,93.64323258869908,52.94117647058824,1610612744,7,10,2025-03-05T00:40:42Z,290000,False,15.0,7.0,1,right,S. Curry cutting Layup (2 PTS) (B. Podziemski 1 AST),"[201939, 1641764]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,1.64,Made,2.0,B. Podziemski,1641764.0,1.0,,,,,,,,,,,,,,
31,PT08M55.00S,2025-03-05T00:40:40.0Z,1,REGULAR,foul,personal,['1freethrow'],1628384,,,1610612744,7,10,2025-03-05T00:40:52Z,310000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Curry 1 FT),"[1628384, 201939]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,202056.0,,,,,,,1.0,0.0,Curry,201939.0,,
33,PT08M55.00S,2025-03-05T00:41:06.0Z,1,REGULAR,freethrow,1 of 1,[],201939,,,1610612744,7,11,2025-03-05T00:41:06Z,330000,False,,,0,,S. Curry Free Throw 1 of 1 (3 PTS),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
34,PT08M40.00S,2025-03-05T00:41:23.4Z,1,REGULAR,2pt,Jump Shot,[],1628384,17.821944809461236,33.82352941176471,1610612752,9,11,2025-03-05T00:41:28Z,340000,False,81.0,115.0,1,left,O. Anunoby 14' fadeaway Jump Shot (4 PTS),[1628384],1610612752.0,NYK,fadeaway,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Right,14.06,Made,4.0,,,,,,,,,,,,,,,,,
35,PT08M30.00S,2025-03-05T00:41:37.2Z,1,REGULAR,violation,kicked ball,[],1628969,,,1610612744,9,11,2025-03-05T00:41:40Z,350000,False,,,0,,M. Bridges kicked ball VIOLATION,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,202056.0,,,,,,,,,,,,
36,PT08M23.00S,2025-03-05T00:42:00.5Z,1,REGULAR,3pt,Jump Shot,[],201939,66.83639947437582,50.0,1610612744,9,11,2025-03-05T00:42:04Z,360000,False,0.0,259.0,1,right,MISS S. Curry 25' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,25.92,Missed,,,,,,,,,,,,,,,,,,
37,PT08M21.00S,2025-03-05T00:42:02.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,9,11,2025-03-05T00:42:04Z,370000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,36.0,,,,,2.0,2.0,0.0,,,,,,
38,PT08M17.00S,2025-03-05T00:42:07.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1628969,7.30946123521682,53.67647058823529,1610612752,11,11,2025-03-05T00:42:13Z,380000,False,-18.0,16.0,1,left,M. Bridges driving floating bank Jump Shot (2 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,driving floating bank,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.45,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
40,PT08M03.00S,2025-03-05T00:42:19.8Z,1,REGULAR,3pt,Jump Shot,[],1641764,93.64323258869908,95.58823529411765,1610612744,11,11,2025-03-05T00:42:23Z,400000,False,228.0,7.0,1,right,MISS B. Podziemski 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Right Corner 3,24+ Right,22.8,Missed,,,,,,,,,,,,,,,,,,
41,PT08M02.00S,2025-03-05T00:42:20.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,11,11,2025-03-05T00:42:23Z,410000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,,,,,,,40.0,,,,,1.0,1.0,0.0,,,,,,
42,PT07M52.00S,2025-03-05T00:42:37.0Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,11,11,2025-03-05T00:42:56Z,420000,False,,,0,,J. Brunson bad pass out-of-bounds TURNOVER (2 TO),[1628973],1610612752.0,NYK,bad pass,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,,,202056.0,2.0,,,,,,,,,,,
43,PT07M34.00S,2025-03-05T00:42:56.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641764,70.64717477003943,25.0,1610612744,11,11,2025-03-05T00:43:00Z,430000,False,-125.0,223.0,1,right,MISS B. Podziemski 25' 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Left Center,25.6,Missed,,,,,,,,,,,,,,,,,,
44,PT07M32.00S,2025-03-05T00:42:58.9Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,11,11,2025-03-05T00:43:00Z,440000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,,43.0,,,,,1.0,1.0,0.0,,,,,,
45,PT07M22.00S,2025-03-05T00:43:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,5.863994743758213,46.81372549019608,1610612752,13,11,2025-03-05T00:43:11Z,450000,False,16.0,3.0,1,left,J. Hart driving Layup (2 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
47,PT07M14.00S,2025-03-05T00:43:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630541,71.43561103810775,21.568627450980394,1610612744,13,11,2025-03-05T00:43:20Z,470000,False,-142.0,216.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,25.86,Missed,,,,,,,,,,,,,,,,,,
48,PT07M12.00S,2025-03-05T00:43:19.3Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,13,11,2025-03-05T00:43:19Z,480000,False,,,0,,M. Moody REBOUND (Off:1 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,,,,47.0,,,,,1.0,0.0,1.0,,,,,,
49,PT07M07.00S,2025-03-05T00:43:26.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance', 'defensivegoaltending']",1641764,94.1688567674113,53.431372549019606,1610612744,13,13,2025-03-05T00:43:38Z,490000,False,17.0,2.0,1,right,B. Podziemski driving Layup (7 PTS),[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,Restricted Area,0-8 Center,1.74,Made,7.0,,,,,,,,,,,,,,,,,
50,PT07M07.00S,2025-03-05T00:43:31.7Z,1,REGULAR,violation,defensive goaltending,[],1629011,,,1610612744,13,13,2025-03-05T00:43:38Z,500000,False,,,0,,M. Robinson defensive goaltending VIOLATION,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,202056.0,,,,,,,,,,,,
51,PT07M07.00S,2025-03-05T00:43:36.2Z,1,REGULAR,foul,personal,['1freethrow'],1628404,,,1610612744,13,13,2025-03-05T00:43:49Z,510000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Podziemski 1 FT),"[1628404, 1641764]",1610612752.0,NYK,shooting,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,202041.0,,,,,,,1.0,0.0,Podziemski,1641764.0,,
53,PT07M07.00S,2025-03-05T00:43:36.2Z,1,REGULAR,substitution,out,[],1629011,,,1610612744,13,13,2025-03-05T00:43:59Z,530000,False,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M07.00S,2025-03-05T00:43:36.2Z,1,REGULAR,substitution,out,[],202710,,,1610612744,13,13,2025-03-05T00:43:59Z,540000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M07.00S,2025-03-05T00:43:36.2Z,1,REGULAR,substitution,in,[],1630173,,,1610612744,13,13,2025-03-05T00:43:59Z,550000,False,,,0,,SUB in: P. Achiuwa,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M07.00S,2025-03-05T00:43:36.2Z,1,REGULAR,substitution,in,[],1630611,,,1610612744,13,13,2025-03-05T00:43:59Z,560000,False,,,0,,SUB in: G. Santos,[1630611],1610612744.0,GSW,,,,Santos,G. Santos,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M07.00S,2025-03-05T00:44:19.7Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1641764,,,1610612744,13,14,2025-03-05T00:44:19Z,570000,False,,,0,,B. Podziemski Free Throw 1 of 1 (8 PTS),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
58,PT06M49.00S,2025-03-05T00:44:39.8Z,1,REGULAR,2pt,Jump Shot,[],1628384,21.369908015768726,42.64705882352941,1610612752,15,14,2025-03-05T00:49:27Z,580000,False,37.0,148.0,1,left,O. Anunoby 15' pullup Jump Shot (6 PTS),[1628384],1610612752.0,NYK,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Center,15.29,Made,6.0,,,,,,,,,,,,,,,,,
59,PT06M29.00S,2025-03-05T00:45:03.2Z,1,REGULAR,foul,personal,[],1628969,,,1610612744,15,14,2025-03-05T00:45:11Z,590000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 201939]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Center,,,,,,,,202056.0,,,,,,,1.0,0.0,Curry,201939.0,,
61,PT06M29.00S,2025-03-05T00:45:13.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,15,14,2025-03-05T00:45:13Z,610000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M29.00S,2025-03-05T00:45:13.9Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,15,14,2025-03-05T00:48:38Z,620000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M29.00S,2025-03-05T00:45:13.9Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,15,14,2025-03-05T00:48:38Z,630000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M22.00S,2025-03-05T00:48:53.6Z,1,REGULAR,3pt,Jump Shot,[],201939,76.69185282522996,88.48039215686273,1610612744,15,17,2025-03-05T00:49:00Z,640000,False,192.0,167.0,1,right,S. Curry 25' 3PT step back (6 PTS) (G. Santos 1 AST),"[201939, 1630611]",1610612744.0,GSW,step back,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,25.45,Made,6.0,G. Santos,1630611.0,1.0,,,,,,,,,,,,,,
66,PT06M09.00S,2025-03-05T00:49:09.9Z,1,REGULAR,foul,personal,[],1630541,,,1610612752,15,17,2025-03-05T00:49:28Z,660000,False,,,0,,M. Moody personal FOUL (1 PF),"[1630541, 1628973]",1610612744.0,GSW,,,,Moody,M. Moody,,,,,Mid-Range,16-24 Left Center,,,,,,,,1627541.0,,,,,,,1.0,0.0,Brunson,1628973.0,,
68,PT06M00.00S,2025-03-05T00:49:37.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,15.719448094612352,43.38235294117647,1610612752,15,17,2025-03-05T00:52:06Z,680000,False,33.0,95.0,1,left,MISS O. Anunoby 10' floating Shot,[1628384],1610612752.0,NYK,floating,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,10.09,Missed,,,,,,,,,,,,,,,,,,
69,PT05M58.00S,2025-03-05T00:49:39.3Z,1,REGULAR,rebound,offensive,[],1628384,,,1610612752,15,17,2025-03-05T00:49:42Z,690000,False,,,0,,O. Anunoby REBOUND (Off:1 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,68.0,,,,,2.0,1.0,1.0,,,,,,
70,PT05M57.00S,2025-03-05T00:49:42.6Z,1,REGULAR,turnover,out-of-bounds,[],1628384,,,1610612752,15,17,2025-03-05T00:49:51Z,700000,False,,,0,,O. Anunoby lost ball out-of-bounds TURNOVER (1 TO),[1628384],1610612752.0,NYK,lost ball,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,202041.0,1.0,,,,,,,,,,,
71,PT05M57.00S,2025-03-05T00:49:42.7Z,1,REGULAR,substitution,out,[],1628384,,,1610612744,15,17,2025-03-05T00:49:55Z,710000,False,,,0,,SUB out: O. Anunoby,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M57.00S,2025-03-05T00:49:42.7Z,1,REGULAR,substitution,in,[],1630540,,,1610612744,15,17,2025-03-05T00:49:55Z,720000,False,,,0,,SUB in: M. McBride,[1630540],1610612752.0,NYK,,,,McBride,M. McBride,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M45.00S,2025-03-05T00:50:13.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201939,93.24901445466492,54.90196078431373,1610612744,15,17,2025-03-05T00:50:22Z,730000,False,25.0,11.0,1,right,MISS S. Curry driving finger roll Layup,[201939],1610612744.0,GSW,driving finger roll,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
74,PT05M43.00S,2025-03-05T00:50:15.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,15,17,2025-03-05T00:50:22Z,740000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,73.0,,,,,,,,,,,,,
76,PT05M30.00S,2025-03-05T00:50:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,19.398817345597898,48.03921568627451,1610612752,17,17,2025-03-05T00:53:45Z,760000,False,10.0,130.0,1,left,M. Bridges 13' Jump Shot (4 PTS) (J. Brunson 2 AST),"[1628969, 1628973]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,13.02,Made,4.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,
78,PT05M14.00S,2025-03-05T00:50:51.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630541,91.40932982917214,54.90196078431373,1610612744,17,17,2025-03-05T00:50:58Z,780000,False,25.0,28.0,1,right,MISS M. Moody driving Layup,[1630541],1610612744.0,GSW,driving,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,3.74,Missed,,,,,,,,,,,,,,,,,,
79,PT05M12.00S,2025-03-05T00:50:53.2Z,1,REGULAR,rebound,offensive,[],1630541,,,1610612744,17,17,2025-03-05T00:50:58Z,790000,False,,,0,,M. Moody REBOUND (Off:2 Def:0),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,,,,,,,78.0,,,,,2.0,0.0,2.0,,,,,,
80,PT05M09.00S,2025-03-05T00:50:55.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630541,92.32917214191852,49.26470588235294,1610612744,17,19,2025-03-05T00:51:01Z,800000,False,-4.0,20.0,1,right,M. Moody putback Layup (5 PTS),[1630541],1610612744.0,GSW,putback,,,Moody,M. Moody,,,,,Restricted Area,0-8 Center,1.99,Made,5.0,,,,,,,,,,,,,,,,,
81,PT04M52.00S,2025-03-05T00:51:12.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,32.013797634691194,64.4607843137255,1610612752,17,19,2025-03-05T00:51:15Z,810000,False,-72.0,248.0,1,left,MISS J. Brunson 25' 3PT,[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
82,PT04M50.00S,2025-03-05T00:51:14.2Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612744,17,19,2025-03-05T00:51:15Z,820000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,,,,,81.0,,,,,1.0,1.0,0.0,,,,,,
83,PT04M43.00S,2025-03-05T00:51:23.6Z,1,REGULAR,turnover,out-of-bounds,[],201939,,,1610612744,17,19,2025-03-05T00:51:29Z,830000,False,,,0,,S. Curry bad pass out-of-bounds TURNOVER (1 TO),[201939],1610612744.0,GSW,bad pass,,,Curry,S. Curry,,,,,Mid-Range,16-24 Left,,,,,,,,202041.0,1.0,,,,,,,,,,,
84,PT04M43.00S,2025-03-05T00:51:23.7Z,1,REGULAR,substitution,out,[],203110,,,1610612752,17,19,2025-03-05T00:51:36Z,840000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M43.00S,2025-03-05T00:51:23.7Z,1,REGULAR,substitution,out,[],1630541,,,1610612752,17,19,2025-03-05T00:51:36Z,850000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M43.00S,2025-03-05T00:51:23.7Z,1,REGULAR,substitution,in,[],1626172,,,1610612752,17,19,2025-03-05T00:51:36Z,860000,False,,,0,,SUB in: K. Looney,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M43.00S,2025-03-05T00:51:23.7Z,1,REGULAR,substitution,in,[],1628995,,,1610612752,17,19,2025-03-05T00:51:36Z,870000,False,,,0,,SUB in: K. Knox II,[1628995],1610612744.0,GSW,,,,Knox II,K. Knox II,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M20.00S,2025-03-05T00:52:06.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628973,30.699737187910642,66.17647058823529,1610612752,20,19,2025-03-05T00:52:17Z,880000,False,-81.0,236.0,1,left,J. Brunson 24' 3PT pullup (5 PTS) (M. McBride 1 AST),"[1628973, 1630540]",1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,24.96,Made,5.0,M. McBride,1630540.0,1.0,,,,,,,,,,,,,,
