actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M05.00S,2024-11-16T00:45:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,7.5722733245729295,51.470588235294116,1610612751,6,2,2024-11-16T00:59:34Z,190000,False,-7.0,19.0,1,left,MISS B. Simmons driving reverse Layup,[1627732],1610612751.0,BKN,driving reverse,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,2.01,Missed,,,,,,,,,,,,,,,,,,
20,PT10M03.00S,2024-11-16T00:45:16.9Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,6,2,2024-11-16T00:45:19Z,200000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,19.0,,1.0,1.0,0.0,,,,
21,PT10M00.00S,2024-11-16T00:45:20.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628384,92.9862023653088,3.431372549019608,1610612752,6,2,2024-11-16T00:46:08Z,210000,False,-233.0,13.0,1,right,MISS O. Anunoby running 3PT,[1628384],1610612752.0,NYK,running,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.32,Missed,,,,,,,,,,,,,,,,,,
22,PT09M56.00S,2024-11-16T00:45:24.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,6,2,2024-11-16T00:45:35Z,220000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,21.0,,,,,,,,
24,PT09M48.00S,2024-11-16T00:45:48.1Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628973,80.23981603153744,30.637254901960787,1610612752,8,2,2024-11-16T00:45:53Z,240000,False,-97.0,133.0,1,right,J. Brunson 16' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,16.47,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M35.00S,2024-11-16T00:46:00.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,31.488173455978973,61.029411764705884,1610612751,8,2,2024-11-16T00:46:04Z,250000,False,-55.0,243.0,1,left,MISS C. Johnson 24' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,24.97,Missed,,,,,,,,,,,,,,,,,,
26,PT09M33.00S,2024-11-16T00:46:02.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,8,2,2024-11-16T00:46:04Z,260000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,25.0,,1.0,1.0,0.0,,,,
27,PT09M18.00S,2024-11-16T00:46:18.1Z,1,REGULAR,2pt,Jump Shot,[],1628973,90.88370565045992,76.47058823529412,1610612752,8,2,2024-11-16T00:46:21Z,270000,False,132.0,33.0,1,right,MISS J. Brunson 13' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Right,13.65,Missed,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2024-11-16T00:46:20.1Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,8,2,2024-11-16T00:46:21Z,280000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,27.0,,1.0,1.0,0.0,,,,
29,PT09M13.00S,2024-11-16T00:46:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1628384,,,1610612751,8,2,2024-11-16T00:46:49Z,290000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Johnson 2 FT),"[1628384, 1629661]",1610612752.0,NYK,shooting,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,1627519.0,1.0,0.0,Johnson,1629661.0,,,,,,,,,
31,PT09M13.00S,2024-11-16T00:46:52.8Z,1,REGULAR,freethrow,1 of 2,[],1629661,,,1610612751,8,3,2024-11-16T00:46:52Z,310000,False,,,0,,C. Johnson Free Throw 1 of 2 (1 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2024-11-16T00:47:16.0Z,1,REGULAR,freethrow,2 of 2,[],1629661,,,1610612751,8,4,2024-11-16T00:47:16Z,320000,False,,,0,,C. Johnson Free Throw 2 of 2 (2 PTS),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M51.00S,2024-11-16T00:47:39.0Z,1,REGULAR,turnover,bad pass,[],1628384,,,1610612752,8,4,2024-11-16T00:47:43Z,330000,False,,,0,,O. Anunoby bad pass TURNOVER (1 TO),"[1628384, 1629661]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,,,,Johnson,1629661.0,,
34,PT08M51.00S,2024-11-16T00:47:39.0Z,1,REGULAR,steal,,[],1629661,,,1610612751,8,4,2024-11-16T00:47:41Z,340000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M46.00S,2024-11-16T00:47:43.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629661,28.86005256241787,74.26470588235294,1610612751,8,4,2024-11-16T00:47:47Z,350000,False,-121.0,219.0,1,left,MISS C. Johnson 25' running 3PT,[1629661],1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,25.02,Missed,,,,,,,,,,,,,,,,,,
36,PT08M43.00S,2024-11-16T00:47:46.1Z,1,REGULAR,rebound,offensive,[],1627732,,,1610612751,8,4,2024-11-16T00:47:46Z,360000,False,,,0,,B. Simmons REBOUND (Off:1 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,35.0,,2.0,1.0,1.0,,,,
37,PT08M40.00S,2024-11-16T00:47:49.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630560,18.084756898817346,5.147058823529411,1610612751,8,7,2024-11-16T00:47:52Z,370000,False,224.0,117.0,1,left,C. Thomas 25' 3PT  (5 PTS) (D. Finney-Smith 1 AST),"[1630560, 1627827]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,25.32,Made,5.0,D. Finney-Smith,1627827.0,1.0,,,,,,,,,,,,,,
39,PT08M24.00S,2024-11-16T00:48:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.24901445466492,48.529411764705884,1610612752,8,7,2024-11-16T00:48:08Z,390000,False,-7.0,11.0,1,right,MISS J. Hart driving Layup,[1628404],1610612752.0,NYK,driving,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,1.33,Missed,,,,,,,,,,,,,,,,,,
40,PT08M23.00S,2024-11-16T00:48:06.1Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,8,7,2024-11-16T00:48:06Z,400000,False,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,39.0,,1.0,0.0,1.0,,,,
41,PT08M22.00S,2024-11-16T00:48:07.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628969,92.59198423127464,95.83333333333334,1610612752,11,7,2024-11-16T00:48:10Z,410000,False,229.0,17.0,1,right,M. Bridges 3PT  (3 PTS) (J. Sims 1 AST),"[1628969, 1630579]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.98,Made,3.0,J. Sims,1630579.0,1.0,,,,,,,,,,,,,,
43,PT08M12.00S,2024-11-16T00:48:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630560,31.09395532194481,55.63725490196079,1610612751,11,10,2024-11-16T00:48:21Z,430000,False,-28.0,240.0,1,left,C. Thomas 24' 3PT  (8 PTS) (D. Schröder 1 AST),"[1630560, 203471]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,24.15,Made,8.0,D. Schröder,203471.0,1.0,,,,,,,,,,,,,,
45,PT07M55.00S,2024-11-16T00:48:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,93.77463863337714,48.28431372549019,1610612752,13,10,2024-11-16T00:48:37Z,450000,False,-9.0,6.0,1,right,J. Brunson driving Layup (4 PTS) (M. Bridges 1 AST),"[1628973, 1628969]",1610612752.0,NYK,driving,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,1.05,Made,4.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
47,PT07M36.00S,2024-11-16T00:48:53.0Z,1,REGULAR,3pt,Jump Shot,[],1630560,19.398817345597898,93.62745098039215,1610612751,13,13,2024-11-16T00:48:58Z,470000,False,-218.0,130.0,1,left,C. Thomas 25' 3PT step back (11 PTS),[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,25.38,Made,11.0,,,,,,,,,,,,,,,,,
48,PT07M20.00S,2024-11-16T00:49:08.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,93.64323258869908,50.245098039215684,1610612752,15,13,2024-11-16T00:49:13Z,480000,False,1.0,7.0,1,right,J. Sims alley-oop DUNK (2 PTS) (J. Hart 1 AST),"[1630579, 1628404]",1610612752.0,NYK,alley-oop,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
52,PT07M03.00S,2024-11-16T00:50:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630560,31.488173455978973,57.59803921568627,1610612751,15,16,2024-11-16T00:50:14Z,520000,False,-38.0,243.0,1,left,C. Thomas 24' 3PT step back (14 PTS) (B. Simmons 2 AST),"[1630560, 1627732]",1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,24.64,Made,14.0,B. Simmons,1627732.0,2.0,,,,,,,,,,,,,,
54,PT06M52.00S,2024-11-16T00:50:20.2Z,1,REGULAR,3pt,Jump Shot,[],1628969,91.14651773981603,3.431372549019608,1610612752,15,16,2024-11-16T00:50:24Z,540000,False,-233.0,31.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.48,Missed,,,,,,,,,,,,,,,,,,
55,PT06M49.00S,2024-11-16T00:50:23.2Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,15,16,2024-11-16T00:51:49Z,550000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,54.0,,1.0,1.0,0.0,,,,
56,PT06M44.00S,2024-11-16T00:50:28.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203471,18.74178712220762,93.13725490196079,1610612751,15,19,2024-11-16T00:50:34Z,560000,False,-216.0,124.0,1,left,D. Schröder 24' 3PT running (3 PTS) (B. Simmons 3 AST),"[203471, 1627732]",1610612751.0,BKN,running,,,Schröder,D. Schröder,,,,,Above the Break 3,24+ Left Center,24.87,Made,3.0,B. Simmons,1627732.0,3.0,,,,,,,,,,,,,,
58,PT06M20.00S,2024-11-16T00:50:52.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,90.48948751642575,71.07843137254902,1610612752,17,19,2024-11-16T00:51:05Z,580000,False,105.0,37.0,1,right,M. Bridges 11' fadeaway Jump Shot (5 PTS) (J. Hart 2 AST),"[1628969, 1628404]",1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,11.17,Made,5.0,J. Hart,1628404.0,2.0,,,,,,,,,,,,,,
60,PT06M04.00S,2024-11-16T00:51:08.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,5.338370565045992,48.28431372549019,1610612751,17,21,2024-11-16T00:51:13Z,600000,False,9.0,-2.0,1,left,B. Simmons alley-oop Layup (2 PTS) (C. Thomas 1 AST),"[1627732, 1630560]",1610612751.0,BKN,alley-oop,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,,,,
62,PT05M39.00S,2024-11-16T00:51:33.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630579,93.77463863337714,51.470588235294116,1610612752,17,21,2024-11-16T00:56:03Z,620000,False,7.0,6.0,1,right,MISS J. Sims cutting DUNK - blocked,"[1630579, 1627827]",1610612752.0,NYK,cutting,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,0.95,Missed,,,,,,,,,,,,,,,,,Finney-Smith,1627827.0
63,PT05M39.00S,2024-11-16T00:51:33.6Z,1,REGULAR,block,,[],1627827,,,1610612752,17,21,2024-11-16T00:51:35Z,630000,False,,,0,,D. Finney-Smith BLOCK (1 BLK),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT05M37.00S,2024-11-16T00:51:35.6Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,17,21,2024-11-16T00:51:54Z,640000,False,,,0,,J. Sims REBOUND (Off:2 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,62.0,,2.0,0.0,2.0,,,,
65,PT05M36.00S,2024-11-16T00:51:40.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630579,94.40999984741211,50.0,1610612752,19,21,2024-11-16T00:51:59Z,650000,False,0.0,0.0,1,right,J. Sims putback Layup (4 PTS),[1630579],1610612752.0,NYK,putback,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
66,PT05M26.00S,2024-11-16T00:51:53.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,19,21,2024-11-16T00:51:55Z,660000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M26.00S,2024-11-16T00:51:53.3Z,1,REGULAR,substitution,out,[],1627827,,,1610612751,19,21,2024-11-16T00:54:37Z,670000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M26.00S,2024-11-16T00:51:53.3Z,1,REGULAR,substitution,out,[],203471,,,1610612751,19,21,2024-11-16T00:54:37Z,680000,False,,,0,,SUB out: D. Schröder,[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M26.00S,2024-11-16T00:51:53.3Z,1,REGULAR,substitution,in,[],1630533,,,1610612751,19,21,2024-11-16T00:54:37Z,690000,False,,,0,,SUB in: Z. Williams,[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M26.00S,2024-11-16T00:51:53.3Z,1,REGULAR,substitution,in,[],1641730,,,1610612751,19,21,2024-11-16T00:54:37Z,700000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M09.00S,2024-11-16T00:55:15.7Z,1,REGULAR,turnover,bad pass,[],1641730,,,1610612751,19,21,2024-11-16T00:55:20Z,710000,False,,,0,,N. Clowney bad pass TURNOVER (1 TO),"[1641730, 1628969]",1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,,,,Bridges,1628969.0,,
72,PT05M09.00S,2024-11-16T00:55:15.7Z,1,REGULAR,steal,,[],1628969,,,1610612752,19,21,2024-11-16T00:55:17Z,720000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
73,PT05M02.00S,2024-11-16T00:55:22.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628384,93.38042049934296,50.73529411764706,1610612752,21,21,2024-11-16T00:56:19Z,730000,False,4.0,10.0,1,right,O. Anunoby driving DUNK (5 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,1.04,Made,5.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
75,PT04M50.00S,2024-11-16T00:55:35.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,14.14257555847569,49.01960784313725,1610612751,21,23,2024-11-16T00:55:39Z,750000,False,5.0,80.0,1,left,B. Simmons 8' turnaround Hook (4 PTS),[1627732],1610612751.0,BKN,turnaround,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,8.05,Made,4.0,,,,,,,,,,,,,,,,,
76,PT04M25.00S,2024-11-16T00:55:59.1Z,1,REGULAR,3pt,Jump Shot,[],1628973,67.62483574244416,64.4607843137255,1610612752,24,23,2024-11-16T00:56:02Z,760000,False,72.0,252.0,1,right,J. Brunson 26' 3PT  (7 PTS) (J. Hart 3 AST),"[1628973, 1628404]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,26.2,Made,7.0,J. Hart,1628404.0,3.0,,,,,,,,,,,,,,
78,PT04M08.00S,2024-11-16T00:56:16.2Z,1,REGULAR,2pt,Jump Shot,[],1629661,24.129434954007884,60.78431372549019,1610612751,24,23,2024-11-16T00:56:20Z,780000,False,-54.0,174.0,1,left,MISS C. Johnson 18' pullup Shot,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Center,18.24,Missed,,,,,,,,,,,,,,,,,,
79,PT04M06.00S,2024-11-16T00:56:18.2Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,24,23,2024-11-16T00:56:20Z,790000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,78.0,,1.0,1.0,0.0,,,,
80,PT03M52.00S,2024-11-16T00:56:32.4Z,1,REGULAR,3pt,Jump Shot,[],1628384,70.64717477003943,19.607843137254903,1610612752,24,23,2024-11-16T00:56:36Z,800000,False,-152.0,223.0,1,right,MISS O. Anunoby 27' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,27.02,Missed,,,,,,,,,,,,,,,,,,
81,PT03M48.00S,2024-11-16T00:56:36.4Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612752,24,23,2024-11-16T00:56:36Z,810000,False,,,0,,M. Bridges REBOUND (Off:1 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,80.0,,2.0,1.0,1.0,,,,
82,PT03M45.00S,2024-11-16T00:56:39.0Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628969,95.48291721419186,22.54901960784314,1610612752,26,23,2024-11-16T00:56:48Z,820000,False,-137.0,-10.0,1,right,M. Bridges 13' fadeaway Jump Shot (7 PTS),[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,13.77,Made,7.0,,,,,,,,,,,,,,,,,
83,PT03M33.00S,2024-11-16T00:56:51.3Z,1,REGULAR,3pt,Jump Shot,[],1630560,32.670827858081466,55.14705882352941,1610612751,26,26,2024-11-16T00:56:56Z,830000,False,-26.0,255.0,1,left,C. Thomas 25' 3PT  (17 PTS) (N. Clowney 1 AST),"[1630560, 1641730]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,25.59,Made,17.0,N. Clowney,1641730.0,1.0,,,,,,,,,,,,,,
85,PT03M15.00S,2024-11-16T00:57:08.6Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.85873850197109,80.14705882352942,1610612752,26,26,2024-11-16T00:57:11Z,850000,False,151.0,231.0,1,right,MISS J. Brunson 27' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,27.56,Missed,,,,,,,,,,,,,,,,,,
86,PT03M13.00S,2024-11-16T00:57:10.6Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,26,26,2024-11-16T00:57:11Z,860000,False,,,0,,B. Simmons REBOUND (Off:1 Def:2),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,85.0,,3.0,2.0,1.0,,,,
87,PT03M08.00S,2024-11-16T00:57:15.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,2.8416557161629434,96.07843137254902,1610612751,26,26,2024-11-16T01:46:55Z,870000,False,-230.0,-26.0,1,left,MISS Z. Williams running 3PT,[1630533],1610612751.0,BKN,running,,,Williams,Z. Williams,,,,,Left Corner 3,24+ Left,23.18,Missed,,,,,,,,,,,,,,,,,,
88,PT03M04.00S,2024-11-16T00:57:19.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,26,26,2024-11-16T00:57:21Z,880000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,87.0,,2.0,2.0,0.0,,,,
