actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
14,PT11M23.00S,2024-12-01T23:12:50.9Z,1,REGULAR,rebound,offensive,[],1642274,,,1610612740,0,0,2024-12-01T23:12:55Z,140000,False,,,0,,Y. Missi REBOUND (Off:1 Def:0),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Above the Break 3,24+ Right Center,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
16,PT11M13.00S,2024-12-01T23:13:23.7Z,1,REGULAR,turnover,out-of-bounds,[],1630530,,,1610612740,0,0,2024-12-01T23:13:31Z,160000,False,,,0,,T. Murphy III step out-of-bounds TURNOVER (1 TO),[1630530],1610612740.0,NOP,step,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,,,,,,,,,1.0,,,1629183.0,,,,,,,,
17,PT10M54.00S,2024-12-01T23:13:48.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628969,10.463206307490145,29.411764705882355,1610612752,2,0,2024-12-01T23:13:51Z,170000,False,103.0,46.0,1,left,M. Bridges 11' fadeaway Jump Shot (2 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,11.27,Made,,,,,,,,,,,2.0,K. Towns,1626157.0,1.0,,,,
19,PT10M35.00S,2024-12-01T23:14:07.1Z,1,REGULAR,3pt,Jump Shot,[],1630530,70.90998685939553,16.176470588235293,1610612740,2,3,2024-12-01T23:14:09Z,190000,False,-169.0,221.0,1,right,T. Murphy III 27' 3PT  (3 PTS) (D. Murray 1 AST),"[1630530, 1627749]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,27.82,Made,,,,,,,,,,,3.0,D. Murray,1627749.0,1.0,,,,
21,PT10M16.00S,2024-12-01T23:14:26.1Z,1,REGULAR,2pt,Jump Shot,[],1628384,10.5946123521682,12.254901960784313,1610612752,2,3,2024-12-01T23:16:19Z,210000,False,189.0,47.0,1,left,MISS O. Anunoby 19' step back Shot,[1628384],1610612752.0,NYK,step back,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Right,19.45,Missed,,,,,,,,,,,,,,,,,,
22,PT10M14.00S,2024-12-01T23:14:28.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,2,3,2024-12-01T23:14:30Z,220000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M05.00S,2024-12-01T23:14:37.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642274,93.64323258869908,46.32352941176471,1610612740,2,3,2024-12-01T23:17:07Z,230000,False,-18.0,7.0,1,right,MISS Y. Missi driving floating bank Shot,[1642274],1610612740.0,NOP,driving floating bank,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,1.98,Missed,,,,,,,,,,,,,,,,,,
24,PT10M03.00S,2024-12-01T23:14:39.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,3,2024-12-01T23:14:40Z,240000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT09M51.00S,2024-12-01T23:14:51.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,17.69053876478318,42.8921568627451,1610612752,4,3,2024-12-01T23:15:03Z,250000,False,36.0,114.0,1,left,J. Hart 11' floating Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,floating,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,11.92,Made,,,,,,,,,,,2.0,J. Brunson,1628973.0,1.0,,,,
27,PT09M35.00S,2024-12-01T23:15:07.7Z,1,REGULAR,3pt,Jump Shot,[],1630530,92.32917214191852,3.1862745098039214,1610612740,4,3,2024-12-01T23:15:11Z,270000,False,-234.0,20.0,1,right,MISS T. Murphy III 3PT - blocked,"[1630530, 1628384]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Left Corner 3,24+ Left,23.49,Missed,Anunoby,1628384.0,,,,,,,,,,,,,,,,
28,PT09M35.00S,2024-12-01T23:15:07.7Z,1,REGULAR,block,,[],1628384,,,1610612740,4,3,2024-12-01T23:15:10Z,280000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2024-12-01T23:15:10.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,4,3,2024-12-01T23:15:11Z,290000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,,,
30,PT09M30.00S,2024-12-01T23:15:14.6Z,1,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612752,4,3,2024-12-01T23:15:27Z,300000,False,,,0,,Y. Missi shooting personal FOUL (1 PF) (Anunoby 2 FT),"[1642274, 1628384]",1610612740.0,NOP,shooting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1629183.0,,,,,1.0,0.0,Anunoby,1628384.0
32,PT09M30.00S,2024-12-01T23:15:39.6Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628384,,,1610612752,4,3,2024-12-01T23:19:04Z,320000,False,,,0,,MISS O. Anunoby Free Throw 1 of 2,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
33,PT09M30.00S,2024-12-01T23:15:39.6Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,4,3,2024-12-01T23:19:04Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,
34,PT09M30.00S,2024-12-01T23:15:39.6Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628384,,,1610612752,5,3,2024-12-01T23:19:04Z,340000,False,,,0,,O. Anunoby Free Throw 2 of 2 (1 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
35,PT09M06.00S,2024-12-01T23:16:23.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,92.72339027595268,50.73529411764706,1610612740,5,3,2024-12-01T23:19:46Z,350000,False,4.0,16.0,1,right,MISS C. McCollum driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.63,Missed,,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2024-12-01T23:16:25.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,5,3,2024-12-01T23:16:26Z,360000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT08M57.00S,2024-12-01T23:16:32.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,29.6484888304862,70.58823529411765,1610612752,5,3,2024-12-01T23:16:37Z,370000,False,-103.0,226.0,1,left,MISS M. Bridges 24' pullup 3PT,[1628969],1610612752.0,NYK,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
38,PT08M52.00S,2024-12-01T23:16:37.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,5,3,2024-12-01T23:16:40Z,380000,False,,,0,,D. Murray REBOUND (Off:0 Def:2),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,,,
39,PT08M33.00S,2024-12-01T23:16:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630530,91.93495400788436,52.94117647058824,1610612740,5,3,2024-12-01T23:17:00Z,390000,False,15.0,23.0,1,right,MISS T. Murphy III driving Layup,[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,2.75,Missed,,,,,,,,,,,,,,,,,,
40,PT08M30.00S,2024-12-01T23:16:59.9Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,5,3,2024-12-01T23:17:00Z,400000,False,,,0,,K. Towns REBOUND (Off:0 Def:3),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,,39.0,3.0,3.0,0.0,,,,,,,,,,,,
41,PT08M24.00S,2024-12-01T23:17:04.8Z,1,REGULAR,3pt,Jump Shot,[],1628384,8.754927726675426,4.6568627450980395,1610612752,5,3,2024-12-01T23:17:13Z,410000,False,227.0,30.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Right Corner 3,24+ Right,22.87,Missed,,,,,,,,,,,,,,,,,,
42,PT08M22.00S,2024-12-01T23:17:06.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,5,3,2024-12-01T23:17:27Z,420000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Right Corner 3,24+ Right,,,,,41.0,,,,,,,,,,,,,,,
45,PT08M14.00S,2024-12-01T23:17:45.4Z,1,REGULAR,foul,personal,['2freethrow'],1642274,,,1610612752,5,3,2024-12-01T23:17:53Z,450000,False,,,0,,Y. Missi shooting personal FOUL (2 PF) (Towns 2 FT),"[1642274, 1626157]",1610612740.0,NOP,shooting,,,Missi,Y. Missi,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2882.0,,,,,2.0,0.0,Towns,1626157.0
48,PT08M14.00S,2024-12-01T23:18:01.4Z,1,REGULAR,substitution,out,[],1642274,,,1610612752,5,3,2024-12-01T23:18:22Z,465000,False,,,0,,SUB out: Y. Missi,[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M14.00S,2024-12-01T23:18:01.4Z,1,REGULAR,substitution,in,[],1630526,,,1610612752,5,3,2024-12-01T23:18:22Z,467500,False,,,0,,SUB in: J. Robinson-Earl,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M14.00S,2024-12-01T23:18:17.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626157,,,1610612752,6,3,2024-12-01T23:18:17Z,470000,False,,,0,,K. Towns Free Throw 1 of 2 (1 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
50,PT08M14.00S,2024-12-01T23:18:42.1Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626157,,,1610612752,7,3,2024-12-01T23:18:42Z,480000,False,,,0,,K. Towns Free Throw 2 of 2 (2 PTS),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
51,PT08M04.00S,2024-12-01T23:18:51.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,66.70499342969777,60.29411764705882,1610612740,7,3,2024-12-01T23:18:54Z,490000,False,51.0,260.0,1,right,MISS D. Murray 26' pullup 3PT,[1627749],1610612740.0,NOP,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,26.55,Missed,,,,,,,,,,,,,,,,,,
52,PT08M02.00S,2024-12-01T23:18:53.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,7,3,2024-12-01T23:18:54Z,500000,False,,,0,,K. Towns REBOUND (Off:0 Def:4),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,51.0,4.0,4.0,0.0,,,,,,,,,,,,
53,PT07M42.00S,2024-12-01T23:19:13.4Z,1,REGULAR,2pt,Jump Shot,[],1628404,22.683968462549277,62.254901960784316,1610612752,9,3,2024-12-01T23:19:24Z,510000,False,-61.0,161.0,1,left,J. Hart 17' step back Jump Shot (4 PTS),[1628404],1610612752.0,NYK,step back,,,Hart,J. Hart,,,,,Mid-Range,16-24 Left Center,17.2,Made,,,,,,,,,,,4.0,,,,,,,
54,PT07M30.00S,2024-12-01T23:19:25.0Z,1,REGULAR,3pt,Jump Shot,[],1629750,86.02168199737189,96.32352941176471,1610612740,9,3,2024-12-01T23:19:28Z,520000,False,232.0,79.0,1,right,MISS J. Green 24' 3PT,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,24.47,Missed,,,,,,,,,,,,,,,,,,
55,PT07M28.00S,2024-12-01T23:19:27.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,9,3,2024-12-01T23:19:28Z,530000,False,,,0,,K. Towns REBOUND (Off:0 Def:5),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,,,54.0,5.0,5.0,0.0,,,,,,,,,,,,
56,PT07M19.00S,2024-12-01T23:19:37.4Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.882391590013142,41.17647058823529,1610612752,12,3,2024-12-01T23:19:39Z,540000,False,44.0,247.0,1,left,J. Brunson 25' 3PT pullup (3 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,25.11,Made,,,,,,,,,,,3.0,,,,,,,
57,PT07M03.00S,2024-12-01T23:19:52.0Z,1,REGULAR,3pt,Jump Shot,[],203468,64.86530880420499,34.068627450980394,1610612740,12,3,2024-12-01T23:19:55Z,550000,False,-80.0,278.0,1,right,MISS C. McCollum 28' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,28.9,Missed,,,,,,,,,,,,,,,,,,
58,PT07M00.00S,2024-12-01T23:19:55.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,12,3,2024-12-01T23:19:55Z,560000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,,57.0,1.0,1.0,0.0,,,,,,,,,,,,
59,PT06M46.00S,2024-12-01T23:20:10.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626157,5.995400788436268,47.549019607843135,1610612752,14,3,2024-12-01T23:20:14Z,570000,False,12.0,4.0,1,left,K. Towns driving finger roll Layup (4 PTS) (J. Brunson 2 AST),"[1626157, 1628973]",1610612752.0,NYK,driving finger roll,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,1.29,Made,,,,,,,,,,,4.0,J. Brunson,1628973.0,2.0,,,,
61,PT06M46.00S,2024-12-01T23:20:16.0Z,1,REGULAR,timeout,full,['team'],0,,,1610612740,14,3,2024-12-01T23:20:16Z,590000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M46.00S,2024-12-01T23:20:16.1Z,1,REGULAR,substitution,out,[],203468,,,1610612740,14,3,2024-12-01T23:23:05Z,600000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M46.00S,2024-12-01T23:20:16.1Z,1,REGULAR,substitution,in,[],1630527,,,1610612740,14,3,2024-12-01T23:23:05Z,610000,False,,,0,,SUB in: B. Boston Jr.,[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M33.00S,2024-12-01T23:23:30.7Z,1,REGULAR,3pt,Jump Shot,[],1630526,82.21090670170827,3.9215686274509802,1610612740,14,3,2024-12-01T23:23:34Z,620000,False,-230.0,115.0,1,right,MISS J. Robinson-Earl 25' 3PT,[1630526],1610612740.0,NOP,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
67,PT06M30.00S,2024-12-01T23:23:33.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,14,3,2024-12-01T23:23:34Z,630000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Left Center,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,
68,PT06M11.00S,2024-12-01T23:23:52.6Z,1,REGULAR,3pt,Jump Shot,[],1628384,13.222733245729303,95.58823529411765,1610612752,14,3,2024-12-01T23:23:56Z,640000,False,-228.0,72.0,1,left,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,23.89,Missed,,,,,,,,,,,,,,,,,,
69,PT06M08.00S,2024-12-01T23:23:55.6Z,1,REGULAR,rebound,defensive,[],1630527,,,1610612740,14,3,2024-12-01T23:23:56Z,650000,False,,,0,,B. Boston Jr. REBOUND (Off:0 Def:1),[1630527],1610612740.0,NOP,,,,Boston Jr.,B. Boston Jr.,,,,,Left Corner 3,24+ Left,,,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,
70,PT06M03.00S,2024-12-01T23:24:03.2Z,1,REGULAR,violation,kicked ball,[],1628969,,,1610612740,14,3,2024-12-01T23:24:12Z,660000,False,,,0,,M. Bridges kicked ball VIOLATION,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,2882.0,,,,,,,,
71,PT05M55.00S,2024-12-01T23:24:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630530,72.35545335085413,78.67647058823529,1610612740,14,3,2024-12-01T23:24:29Z,670000,False,143.0,207.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.21,Missed,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2024-12-01T23:24:27.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,14,3,2024-12-01T23:24:29Z,680000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,
73,PT05M50.00S,2024-12-01T23:24:30.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628384,5.075558475689881,51.470588235294116,1610612752,14,3,2024-12-01T23:24:33Z,690000,False,-7.0,-5.0,1,left,MISS O. Anunoby running Layup - blocked,"[1628384, 1627749]",1610612752.0,NYK,running,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,0.88,Missed,Murray,1627749.0,,,,,,,,,,,,,,,,
74,PT05M50.00S,2024-12-01T23:24:30.1Z,1,REGULAR,block,,[],1627749,,,1610612752,14,3,2024-12-01T23:24:32Z,700000,False,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
75,PT05M47.00S,2024-12-01T23:24:33.1Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,14,3,2024-12-01T23:24:33Z,710000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,
76,PT05M42.00S,2024-12-01T23:24:38.5Z,1,REGULAR,2pt,Jump Shot,[],1630530,89.96386333771353,32.59803921568628,1610612740,14,3,2024-12-01T23:24:43Z,720000,False,-87.0,42.0,1,right,MISS T. Murphy III 9' driving floating Shot,[1630530],1610612740.0,NOP,driving floating,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,9.65,Missed,,,,,,,,,,,,,,,,,,
77,PT05M40.00S,2024-12-01T23:24:40.5Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,14,3,2024-12-01T23:24:43Z,730000,False,,,0,,K. Towns REBOUND (Off:0 Def:6),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Mid-Range,8-16 Left,,,,,76.0,6.0,6.0,0.0,,,,,,,,,,,,
78,PT05M26.00S,2024-12-01T23:24:53.7Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,14,3,2024-12-01T23:24:57Z,740000,False,,,0,,J. Brunson bad pass TURNOVER (2 TO),"[1628973, 1629750]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,2.0,Green,1629750.0,,,,,,,,,
79,PT05M26.00S,2024-12-01T23:24:53.7Z,1,REGULAR,steal,,[],1629750,,,1610612740,14,3,2024-12-01T23:24:55Z,750000,False,,,0,,J. Green STEAL (1 STL),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
80,PT05M23.00S,2024-12-01T23:25:01.7Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612740,14,3,2024-12-01T23:25:08Z,760000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (Green 2 FT),"[1628973, 1629750]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1148.0,,,,,1.0,0.0,Green,1629750.0
82,PT05M23.00S,2024-12-01T23:25:36.7Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629750,,,1610612740,14,4,2024-12-01T23:26:01Z,780000,False,,,0,,J. Green Free Throw 1 of 2 (1 PTS),[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
83,PT05M23.00S,2024-12-01T23:25:36.7Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629750,,,1610612740,14,4,2024-12-01T23:26:01Z,790000,False,,,0,,MISS J. Green Free Throw 2 of 2,[1629750],1610612740.0,NOP,,,,Green,J. Green,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
