actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
45,PT08M58.00S,2025-04-01T23:48:09.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641741,31.61957950065703,64.95098039215686,1610612755,9,4,2025-04-01T23:48:15Z,450000,False,-75.0,245.0,1,left,R. Council IV 25' 3PT  (3 PTS) (Q. Grimes 1 AST),"[1641741, 1629656]",1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Above the Break 3,24+ Center,,,,,25.59,Made,,,,,3.0,,,,,Q. Grimes,1629656.0,1.0,,
49,PT08M31.00S,2025-04-01T23:48:35.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,81.2910643889619,6.127450980392156,1610612752,12,4,2025-04-01T23:48:40Z,470000,False,-219.0,123.0,1,right,M. Bridges 25' 3PT  (3 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,25.17,Made,,,,,3.0,,,,,J. Hart,1628404.0,1.0,,
51,PT08M18.00S,2025-04-01T23:48:49.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,32.276609724047304,55.63725490196079,1610612755,12,4,2025-04-01T23:49:24Z,490000,False,-28.0,251.0,1,left,MISS Q. Grimes 25' step back 3PT,[1629656],1610612755.0,PHI,step back,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,,,,,25.25,Missed,,,,,,,,,,,,,,
52,PT08M17.00S,2025-04-01T23:48:50.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,12,4,2025-04-01T23:48:55Z,500000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,51.0,,,,,,,,,,,,,
54,PT07M54.00S,2025-04-01T23:49:21.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,75.50919842312747,12.009803921568627,1610612752,12,4,2025-04-01T23:56:13Z,520000,False,-190.0,178.0,1,right,MISS O. Anunoby 26' step back 3PT,[1628384],1610612752.0,NYK,step back,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,26.01,Missed,,,,,,,,,,,,,,
55,PT07M53.00S,2025-04-01T23:49:22.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,12,4,2025-04-01T23:49:27Z,530000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,54.0,,,,,,,,,,,,,
56,PT07M53.00S,2025-04-01T23:49:26.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612752,12,4,2025-04-01T23:49:31Z,540000,False,,,0,,NYK shot clock Team TURNOVER,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,1628487.0,,,,,,,,,,,,,,,,,,,
57,PT07M40.00S,2025-04-01T23:49:48.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629022,30.305519053876477,28.186274509803923,1610612755,12,7,2025-04-01T23:50:18Z,550000,False,109.0,232.0,1,left,L. Walker IV 25' 3PT pullup (3 PTS) (R. Council IV 1 AST),"[1629022, 1641741]",1610612755.0,PHI,pullup,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,,,,,25.67,Made,,,,,3.0,,,,,R. Council IV,1641741.0,1.0,,
58,PT07M14.00S,2025-04-01T23:50:13.9Z,1,REGULAR,3pt,Jump Shot,[],1626153,84.31340341655716,95.09803921568627,1610612752,15,7,2025-04-01T23:50:17Z,560000,False,225.0,95.0,1,right,D. Wright 24' 3PT  (3 PTS) (M. Bridges 1 AST),"[1626153, 1628969]",1610612752.0,NYK,,,,Wright,D. Wright,,,,,Above the Break 3,24+ Right Center,,,,,24.47,Made,,,,,3.0,,,,,M. Bridges,1628969.0,1.0,,
60,PT06M59.00S,2025-04-01T23:50:30.9Z,1,REGULAR,turnover,out-of-bounds,[],1642348,,,1610612755,15,7,2025-04-01T23:50:35Z,580000,False,,,0,,J. Edwards bad pass out-of-bounds TURNOVER (1 TO),[1642348],1610612755.0,PHI,bad pass,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,1628487.0,1.0,,,,,,,,,,,,,,,,,,
61,PT06M59.00S,2025-04-01T23:50:34.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,15,7,2025-04-01T23:50:37Z,590000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M44.00S,2025-04-01T23:53:51.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628384,92.85479632063075,3.431372549019608,1610612752,15,7,2025-04-01T23:53:59Z,600000,False,-233.0,15.0,1,right,MISS O. Anunoby 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,23.33,Missed,,,,,,,,,,,,,,
64,PT06M41.00S,2025-04-01T23:53:54.7Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,15,7,2025-04-01T23:53:59Z,610000,False,,,0,,R. Council IV REBOUND (Off:0 Def:2),[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Left Corner 3,24+ Left,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT06M37.00S,2025-04-01T23:54:01.0Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612755,15,7,2025-04-01T23:54:12Z,620000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Council IV 2 FT),"[1628969, 1641741]",1610612752.0,NYK,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,1662.0,,,,,,,,,,,1.0,0.0,Council IV,1641741.0,,,,,
67,PT06M37.00S,2025-04-01T23:54:26.2Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1641741,,,1610612755,15,8,2025-04-01T23:54:46Z,640000,False,,,0,,R. Council IV Free Throw 1 of 2 (4 PTS),[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,Made,,,,,4.0,,,,,,,,,
68,PT06M37.00S,2025-04-01T23:54:26.2Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1641741,,,1610612755,15,9,2025-04-01T23:54:46Z,650000,False,,,0,,R. Council IV Free Throw 2 of 2 (5 PTS),[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,Made,,,,,5.0,,,,,,,,,
70,PT06M20.00S,2025-04-01T23:55:17.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,95.48291721419186,49.754901960784316,1610612752,17,9,2025-04-01T23:55:20Z,670000,False,-1.0,-10.0,1,right,M. Robinson DUNK (6 PTS) (D. Wright 2 AST),"[1629011, 1626153]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Restricted Area,0-8 Center,,,,,1.01,Made,,,,,6.0,,,,,D. Wright,1626153.0,2.0,,
72,PT06M09.00S,2025-04-01T23:55:30.9Z,1,REGULAR,foul,personal,['2freethrow'],1626153,,,1610612755,17,9,2025-04-01T23:59:25Z,690000,False,,,0,,D. Wright shooting personal FOUL (1 PF) (Grimes 2 FT),"[1626153, 1629656]",1610612752.0,NYK,shooting,,,Wright,D. Wright,,,,,Mid-Range,8-16 Right,202007.0,,,,,,,,,,,1.0,0.0,Grimes,1629656.0,,,,,
74,PT06M09.00S,2025-04-01T23:55:55.8Z,1,REGULAR,timeout,full,['team'],0,,,1610612755,17,9,2025-04-01T23:55:55Z,710000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M09.00S,2025-04-01T23:59:28.8Z,1,REGULAR,freethrow,1 of 2,[],1629656,,,1610612755,17,10,2025-04-01T23:59:28Z,730000,False,,,0,,Q. Grimes Free Throw 1 of 2 (1 PTS),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,Made,,,,,1.0,,,,,,,,,
77,PT06M09.00S,2025-04-01T23:59:47.0Z,1,REGULAR,freethrow,2 of 2,[],1629656,,,1610612755,17,11,2025-04-01T23:59:47Z,740000,False,,,0,,Q. Grimes Free Throw 2 of 2 (2 PTS),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,,,,,Made,,,,,2.0,,,,,,,,,
78,PT05M49.00S,2025-04-02T00:00:14.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,92.72339027595268,54.166666666666664,1610612752,19,11,2025-04-02T00:00:30Z,750000,False,21.0,16.0,1,right,O. Anunoby driving floating bank Jump Shot (7 PTS) (M. Bridges 2 AST),"[1628384, 1628969]",1610612752.0,NYK,driving floating bank,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,,,,,2.62,Made,,,,,7.0,,,,,M. Bridges,1628969.0,2.0,,
80,PT05M49.00S,2025-04-02T00:00:21.6Z,1,REGULAR,foul,personal,['1freethrow'],1629022,,,1610612752,19,11,2025-04-02T00:00:46Z,770000,False,,,0,,L. Walker IV shooting personal FOUL (2 PF) (Anunoby 1 FT),"[1629022, 1628384]",1610612755.0,PHI,shooting,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,1662.0,,,,,,,,,,,2.0,0.0,Anunoby,1628384.0,,,,,
82,PT05M49.00S,2025-04-02T00:00:47.8Z,1,REGULAR,freethrow,1 of 1,[],1628384,,,1610612752,20,11,2025-04-02T00:00:47Z,790000,False,,,0,,O. Anunoby Free Throw 1 of 1 (8 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,,,,,,,,Made,,,,,8.0,,,,,,,,,
83,PT05M30.00S,2025-04-02T00:01:00.9Z,1,REGULAR,3pt,Jump Shot,[],1629022,31.09395532194481,30.88235294117647,1610612755,20,11,2025-04-02T00:01:10Z,800000,False,96.0,240.0,1,left,MISS L. Walker IV 25' pullup 3PT,[1629022],1610612755.0,PHI,pullup,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,,,,,25.82,Missed,,,,,,,,,,,,,,
84,PT05M27.00S,2025-04-02T00:01:03.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,20,11,2025-04-02T00:01:10Z,810000,False,,,0,,M. Robinson REBOUND (Off:2 Def:3),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Right Center,,,,,,,83.0,5.0,3.0,2.0,,,,,,,,,,
86,PT05M19.00S,2025-04-02T00:01:13.7Z,1,REGULAR,substitution,out,[],1641741,,,1610612752,20,11,2025-04-02T00:01:27Z,830000,False,,,0,,SUB out: R. Council IV,[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M19.00S,2025-04-02T00:01:13.7Z,1,REGULAR,substitution,out,[],1629022,,,1610612752,20,11,2025-04-02T00:01:27Z,840000,False,,,0,,SUB out: L. Walker IV,[1629022],1610612755.0,PHI,,,,Walker IV,L. Walker IV,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M19.00S,2025-04-02T00:01:13.7Z,1,REGULAR,substitution,in,[],1630215,,,1610612752,20,11,2025-04-02T00:01:27Z,850000,False,,,0,,SUB in: J. Butler,[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT05M19.00S,2025-04-02T00:01:13.7Z,1,REGULAR,substitution,in,[],200768,,,1610612752,20,11,2025-04-02T00:01:27Z,860000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT05M16.00S,2025-04-02T00:01:35.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,90.48948751642575,29.411764705882355,1610612752,20,11,2025-04-02T00:02:04Z,870000,False,-103.0,37.0,1,right,MISS M. Bridges 10' fadeaway Shot,[1628969],1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,10.93,Missed,,,,,,,,,,,,,,
91,PT05M13.00S,2025-04-02T00:01:38.7Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,20,11,2025-04-02T00:01:40Z,880000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,8-16 Left,,,,,,,90.0,1.0,1.0,0.0,,,,,,,,,,
92,PT05M09.00S,2025-04-02T00:01:43.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630215,19.793035479632064,94.6078431372549,1610612755,20,11,2025-04-02T00:01:53Z,890000,False,-223.0,134.0,1,left,MISS J. Butler 26' running 3PT,[1630215],1610612755.0,PHI,running,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,26.0,Missed,,,,,,,,,,,,,,
93,PT05M07.00S,2025-04-02T00:01:45.5Z,1,REGULAR,rebound,offensive,[],1629656,,,1610612755,20,11,2025-04-02T00:01:53Z,900000,False,,,0,,Q. Grimes REBOUND (Off:1 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,,,,92.0,2.0,1.0,1.0,,,,,,,,,,
