actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M29.00S,2024-12-06T00:45:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,93.64323258869908,57.35294117647059,1610612752,2,2,2024-12-06T00:46:41Z,170000,False,37.0,7.0,1,right,MISS J. Brunson turnaround fadeaway Shot,[1628973],1610612752.0,NYK,turnaround fadeaway,,,,,,Restricted Area,0-8 Center,,,Brunson,J. Brunson,3.75,Missed,,,,,,,,,,,,,,,,
18,PT10M26.00S,2024-12-06T00:45:30.7Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,2,2,2024-12-06T00:45:35Z,180000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,,Salaün,T. Salaün,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M09.00S,2024-12-06T00:45:47.7Z,1,REGULAR,2pt,Jump Shot,[],1630208,21.632720105124836,39.950980392156865,1610612766,2,4,2024-12-06T00:45:55Z,190000,False,50.0,151.0,1,left,N. Richards 15' Jump Shot (2 PTS) (V. Micić 1 AST),"[1630208, 203995]",1610612766.0,CHA,,,,,,,Mid-Range,8-16 Center,,,Richards,N. Richards,15.89,Made,,,,,,,2.0,V. Micić,203995.0,1.0,,,,,,
22,PT09M49.00S,2024-12-06T00:46:27.1Z,1,REGULAR,turnover,bad pass,[],1628969,,,1610612752,2,4,2024-12-06T00:46:34Z,220000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628969, 1642275]",1610612752.0,NYK,,,,,,,Above the Break 3,24+ Right Center,,1.0,Bridges,M. Bridges,,,,,,,,,,,,,Salaün,1642275.0,,,,
23,PT09M49.00S,2024-12-06T00:46:27.1Z,1,REGULAR,steal,,[],1642275,,,1610612766,2,4,2024-12-06T00:46:28Z,230000,False,,,0,,T. Salaün STEAL (1 STL),[1642275],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,
24,PT09M47.00S,2024-12-06T00:46:31.3Z,1,REGULAR,foul,personal,['2freethrow'],1628404,,,1610612766,2,4,2024-12-06T00:46:36Z,240000,False,,,0,,J. Hart shooting personal FOUL (1 PF) (Salaün 2 FT),"[1628404, 1642275]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,201246.0,,Hart,J. Hart,,,,,,,,,,,,,,,1.0,0.0,Salaün,1642275.0
26,PT09M47.00S,2024-12-06T00:47:15.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1642275,,,1610612766,2,5,2024-12-06T00:47:15Z,260000,False,,,0,,T. Salaün Free Throw 1 of 2 (3 PTS),[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,Made,,,,,,,3.0,,,,,,,,,
27,PT09M47.00S,2024-12-06T00:47:34.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1642275,,,1610612766,2,6,2024-12-06T00:47:34Z,270000,False,,,0,,T. Salaün Free Throw 2 of 2 (4 PTS),[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,Made,,,,,,,4.0,,,,,,,,,
28,PT09M46.00S,2024-12-06T00:47:38.6Z,1,REGULAR,foul,personal,[],1642275,,,1610612752,2,6,2024-12-06T00:47:48Z,280000,False,,,0,,T. Salaün take personal FOUL (1 PF),"[1642275, 1628973]",1610612766.0,CHA,take,,,,,,Restricted Area,0-8 Center,1162.0,,Salaün,T. Salaün,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0
30,PT09M46.00S,2024-12-06T00:47:38.7Z,1,REGULAR,substitution,out,[],1642275,,,1610612752,2,6,2024-12-06T00:47:52Z,300000,False,,,0,,SUB out: T. Salaün,[1642275],1610612766.0,CHA,,,,,,,,,,,Salaün,T. Salaün,,,,,,,,,,,,,,,,,,
31,PT09M46.00S,2024-12-06T00:47:38.7Z,1,REGULAR,substitution,in,[],1628998,,,1610612752,2,6,2024-12-06T00:47:52Z,310000,False,,,0,,SUB in: C. Martin,[1628998],1610612766.0,CHA,,,,,,,,,,,Martin,C. Martin,,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2024-12-06T00:48:21.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1628384,94.82588699080158,47.549019607843135,1610612752,4,6,2024-12-06T00:48:40Z,320000,False,-12.0,-4.0,1,right,O. Anunoby driving Layup (2 PTS) (M. Bridges 1 AST),"[1628384, 1628969]",1610612752.0,NYK,driving,,,,,,Restricted Area,0-8 Center,,,Anunoby,O. Anunoby,1.29,Made,,,,,,,2.0,M. Bridges,1628969.0,1.0,,,,,,
33,PT09M33.00S,2024-12-06T00:48:25.1Z,1,REGULAR,violation,defensive goaltending,[],1641706,,,1610612752,4,6,2024-12-06T00:48:40Z,330000,False,,,0,,B. Miller defensive goaltending VIOLATION,[1641706],1610612766.0,CHA,,,,,,,,,1162.0,,Miller,B. Miller,,,,,,,,,,,,,,,,,,
35,PT09M16.00S,2024-12-06T00:48:48.6Z,1,REGULAR,3pt,Jump Shot,[],1641706,31.61957950065703,37.745098039215684,1610612766,4,9,2024-12-06T00:49:15Z,340000,False,61.0,245.0,1,left,B. Miller 25' 3PT  (3 PTS) (V. Micić 2 AST),"[1641706, 203995]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Miller,B. Miller,25.23,Made,,,,,,,3.0,V. Micić,203995.0,2.0,,,,,,
37,PT08M57.00S,2024-12-06T00:49:09.2Z,1,REGULAR,3pt,Jump Shot,[],1628404,93.64323258869908,2.696078431372549,1610612752,4,9,2024-12-06T00:52:16Z,360000,False,-237.0,7.0,1,right,MISS J. Hart 3PT,[1628404],1610612752.0,NYK,,,,,,,Left Corner 3,24+ Left,,,Hart,J. Hart,23.66,Missed,,,,,,,,,,,,,,,,
38,PT08M55.00S,2024-12-06T00:49:11.2Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,4,9,2024-12-06T00:52:16Z,370000,False,,,0,,B. Miller REBOUND (Off:0 Def:2),[1641706],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,,,Miller,B. Miller,,,,,37.0,2.0,2.0,0.0,,,,,,,,,,
39,PT08M49.00S,2024-12-06T00:49:15.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630208,5.469776609724048,49.754901960784316,1610612766,4,11,2024-12-06T00:49:34Z,380000,False,1.0,-1.0,1,left,N. Richards running DUNK (4 PTS) (B. Miller 1 AST),"[1630208, 1641706]",1610612766.0,CHA,running,,,,,,Restricted Area,0-8 Center,,,Richards,N. Richards,0.16,Made,,,,,,,4.0,B. Miller,1641706.0,1.0,,,,,,
41,PT08M43.00S,2024-12-06T00:49:25.1Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,4,11,2024-12-06T00:49:25Z,400000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT08M37.00S,2024-12-06T00:52:41.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,82.86793692509855,42.64705882352941,1610612752,4,11,2024-12-06T00:53:12Z,410000,False,-37.0,109.0,1,right,MISS J. Hart 11' driving floating Shot,[1628404],1610612752.0,NYK,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,,,Hart,J. Hart,11.46,Missed,,,,,,,,,,,,,,,,
44,PT08M35.00S,2024-12-06T00:52:43.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,4,11,2024-12-06T00:53:12Z,420000,False,,,0,,B. Miller REBOUND (Off:0 Def:3),[1641706],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),8-16 Center,,,Miller,B. Miller,,,,,43.0,3.0,3.0,0.0,,,,,,,,,,
45,PT08M27.00S,2024-12-06T00:52:49.4Z,1,REGULAR,3pt,Jump Shot,[],1641706,28.728646517739815,72.05882352941177,1610612766,4,11,2024-12-06T00:54:52Z,430000,False,-110.0,218.0,1,left,MISS B. Miller 24' 3PT,[1641706],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Miller,B. Miller,24.39,Missed,,,,,,,,,,,,,,,,
46,PT08M25.00S,2024-12-06T00:52:51.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,4,11,2024-12-06T00:53:51Z,440000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,,,,Mid-Range,24+ Left Center,,,Richards,N. Richards,,,,,45.0,1.0,0.0,1.0,,,,,,,,,,
47,PT08M22.00S,2024-12-06T00:52:54.3Z,1,REGULAR,turnover,bad pass,[],1630208,,,1610612766,4,11,2024-12-06T00:53:08Z,450000,False,,,0,,N. Richards bad pass TURNOVER (2 TO),"[1630208, 1628973]",1610612766.0,CHA,,,,,,,Restricted Area,0-8 Center,,2.0,Richards,N. Richards,,,,,,,,,,,,,Brunson,1628973.0,,,,
48,PT08M22.00S,2024-12-06T00:52:54.3Z,1,REGULAR,steal,,[],1628973,,,1610612752,4,11,2024-12-06T00:53:30Z,460000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,,,,Restricted Area,0-8 Center,,,Brunson,J. Brunson,,,,,,,,,,,,,,,,,,
49,PT08M18.00S,2024-12-06T00:52:58.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628969,79.71419185282524,8.57843137254902,1610612752,4,11,2024-12-06T00:54:13Z,470000,False,-207.0,138.0,1,right,MISS M. Bridges 24' running 3PT,[1628969],1610612752.0,NYK,running,,,,,,Above the Break 3,24+ Left Center,,,Bridges,M. Bridges,24.9,Missed,,,,,,,,,,,,,,,,
50,PT08M15.00S,2024-12-06T00:53:01.7Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,4,11,2024-12-06T00:55:11Z,480000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Martin,C. Martin,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,
51,PT08M00.00S,2024-12-06T00:53:19.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,6.783837056504599,54.166666666666664,1610612766,4,13,2024-12-06T00:55:32Z,490000,False,-21.0,11.0,1,left,B. Miller driving floating bank Jump Shot (5 PTS),[1641706],1610612766.0,CHA,driving floating bank,,,,,,Restricted Area,0-8 Center,,,Miller,B. Miller,2.37,Made,,,,,,,5.0,,,,,,,,,
52,PT08M00.00S,2024-12-06T00:53:22.2Z,1,REGULAR,foul,personal,['1freethrow'],1628384,,,1610612766,4,13,2024-12-06T00:53:30Z,500000,False,,,0,,O. Anunoby shooting personal FOUL (1 PF) (Miller 1 FT),"[1628384, 1641706]",1610612752.0,NYK,shooting,,,,,,Restricted Area,0-8 Center,201246.0,,Anunoby,O. Anunoby,,,,,,,,,,,,,,,1.0,0.0,Miller,1641706.0
54,PT08M00.00S,2024-12-06T00:53:41.3Z,1,REGULAR,freethrow,1 of 1,[],1641706,,,1610612766,4,14,2024-12-06T00:53:41Z,520000,False,,,0,,B. Miller Free Throw 1 of 1 (6 PTS),[1641706],1610612766.0,CHA,,,,,,,,,,,Miller,B. Miller,,Made,,,,,,,6.0,,,,,,,,,
55,PT07M48.00S,2024-12-06T00:53:55.5Z,1,REGULAR,2pt,Jump Shot,[],1628969,79.05716162943496,47.05882352941176,1610612752,4,14,2024-12-06T00:53:59Z,530000,False,-15.0,144.0,1,right,MISS M. Bridges 14' pullup Shot,[1628969],1610612752.0,NYK,pullup,,,,,,Mid-Range,8-16 Center,,,Bridges,M. Bridges,14.51,Missed,,,,,,,,,,,,,,,,
56,PT07M45.00S,2024-12-06T00:53:58.5Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,14,2024-12-06T00:53:59Z,540000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,,,,Mid-Range,8-16 Center,,,Richards,N. Richards,,,,,55.0,2.0,1.0,1.0,,,,,,,,,,
57,PT07M40.00S,2024-12-06T00:54:05.3Z,1,REGULAR,3pt,Jump Shot,[],1641706,29.38567674113009,26.47058823529412,1610612766,4,14,2024-12-06T00:55:52Z,550000,False,118.0,224.0,1,left,MISS B. Miller 25' 3PT,[1641706],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Miller,B. Miller,25.27,Missed,,,,,,,,,,,,,,,,
58,PT07M37.00S,2024-12-06T00:54:08.3Z,1,REGULAR,rebound,offensive,[],1630182,,,1610612766,4,14,2024-12-06T00:55:52Z,560000,False,,,0,,J. Green REBOUND (Off:1 Def:0),[1630182],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Right Center,,,Green,J. Green,,,,,57.0,1.0,0.0,1.0,,,,,,,,,,
59,PT07M35.00S,2024-12-06T00:54:10.5Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630182,5.590000152587891,50.0,1610612766,4,16,2024-12-06T00:56:06Z,570000,False,0.0,0.0,1,left,J. Green tip DUNK (2 PTS),[1630182],1610612766.0,CHA,tip,,,,,,Restricted Area,0-8 Center,,,Green,J. Green,0.0,Made,,,,,,,2.0,,,,,,,,,
60,PT07M24.00S,2024-12-06T00:54:24.4Z,1,REGULAR,foul,personal,[],1630182,,,1610612752,4,16,2024-12-06T00:54:31Z,580000,False,,,0,,J. Green personal FOUL (1 PF),"[1630182, 1626157]",1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,201246.0,,Green,J. Green,,,,,,,,,,,,,,,1.0,0.0,Towns,1626157.0
62,PT07M22.00S,2024-12-06T00:54:44.4Z,1,REGULAR,foul,personal,['2freethrow'],203995,,,1610612752,4,16,2024-12-06T00:54:58Z,600000,False,,,0,,V. Micić shooting personal FOUL (1 PF) (Brunson 2 FT),"[203995, 1628973]",1610612766.0,CHA,shooting,,,,,,In The Paint (Non-RA),0-8 Center,1162.0,,Micić,V. Micić,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0
64,PT07M22.00S,2024-12-06T00:55:13.8Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,5,16,2024-12-06T00:55:13Z,620000,False,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,,Brunson,J. Brunson,,Made,,,,,,,1.0,,,,,,,,,
65,PT07M22.00S,2024-12-06T00:55:32.9Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,6,16,2024-12-06T00:55:32Z,630000,False,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,,Brunson,J. Brunson,,Made,,,,,,,2.0,,,,,,,,,
66,PT07M01.00S,2024-12-06T00:55:55.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203995,7.440867279894875,46.32352941176471,1610612766,6,18,2024-12-06T00:57:18Z,640000,False,18.0,17.0,1,left,V. Micić driving floating bank Jump Shot (2 PTS),[203995],1610612766.0,CHA,driving floating bank,,,,,,Restricted Area,0-8 Center,,,Micić,V. Micić,2.53,Made,,,,,,,2.0,,,,,,,,,
67,PT06M40.00S,2024-12-06T00:56:15.7Z,1,REGULAR,3pt,Jump Shot,[],1626157,66.96780551905388,46.07843137254902,1610612752,6,18,2024-12-06T00:56:20Z,650000,False,-20.0,258.0,1,right,MISS K. Towns 25' 3PT,[1626157],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,Towns,K. Towns,25.87,Missed,,,,,,,,,,,,,,,,
68,PT06M38.00S,2024-12-06T00:56:17.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,6,18,2024-12-06T00:56:20Z,660000,False,,,0,,N. Richards REBOUND (Off:1 Def:2),[1630208],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Richards,N. Richards,,,,,67.0,3.0,2.0,1.0,,,,,,,,,,
69,PT06M27.00S,2024-12-06T00:56:29.3Z,1,REGULAR,3pt,Jump Shot,[],1628998,9.543363994743759,4.6568627450980395,1610612766,6,18,2024-12-06T00:56:32Z,670000,False,227.0,37.0,1,left,MISS C. Martin 3PT,[1628998],1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,Martin,C. Martin,22.97,Missed,,,,,,,,,,,,,,,,
70,PT06M25.00S,2024-12-06T00:56:31.7Z,1,REGULAR,rebound,offensive,[],1641706,,,1610612766,6,18,2024-12-06T00:56:31Z,680000,False,,,0,,B. Miller REBOUND (Off:1 Def:3),[1641706],1610612766.0,CHA,,,,,,,Right Corner 3,24+ Right,,,Miller,B. Miller,,,,,69.0,4.0,3.0,1.0,,,,,,,,,,
71,PT06M23.00S,2024-12-06T00:56:33.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203995,32.933639947437584,54.65686274509803,1610612766,6,18,2024-12-06T00:56:37Z,690000,False,-23.0,257.0,1,left,MISS V. Micić 25' 3PT,[203995],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Center,,,Micić,V. Micić,25.82,Missed,,,,,,,,,,,,,,,,
72,PT06M19.00S,2024-12-06T00:56:37.8Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,6,18,2024-12-06T00:56:37Z,700000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,,,,Above the Break 3,24+ Center,,,Anunoby,O. Anunoby,,,,,71.0,1.0,1.0,0.0,,,,,,,,,,
73,PT06M15.00S,2024-12-06T00:56:43.4Z,1,REGULAR,foul,personal,['2freethrow'],1641706,,,1610612752,6,18,2024-12-06T00:57:02Z,710000,False,,,0,,B. Miller shooting personal FOUL (1 PF) (Brunson 2 FT),"[1641706, 1628973]",1610612766.0,CHA,shooting,,,,,,Restricted Area,0-8 Center,1199.0,,Miller,B. Miller,,,,,,,,,,,,,,,1.0,0.0,Brunson,1628973.0
76,PT06M15.00S,2024-12-06T00:56:57.5Z,1,REGULAR,substitution,out,[],203995,,,1610612752,6,18,2024-12-06T00:57:14Z,725000,False,,,0,,SUB out: V. Micić,[203995],1610612766.0,CHA,,,,,,,,,,,Micić,V. Micić,,,,,,,,,,,,,,,,,,
77,PT06M15.00S,2024-12-06T00:56:57.5Z,1,REGULAR,substitution,in,[],1642354,,,1610612752,6,18,2024-12-06T00:57:14Z,727500,False,,,0,,SUB in: K. Simpson,[1642354],1610612766.0,CHA,,,,,,,,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,
75,PT06M15.00S,2024-12-06T00:57:11.7Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628973,,,1610612752,7,18,2024-12-06T00:57:37Z,730000,False,,,0,,J. Brunson Free Throw 1 of 2 (3 PTS),[1628973],1610612752.0,NYK,,,,,,,,,,,Brunson,J. Brunson,,Made,,,,,,,3.0,,,,,,,,,
78,PT06M15.00S,2024-12-06T00:57:11.7Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628973,,,1610612752,7,18,2024-12-06T00:57:37Z,740000,False,,,0,,MISS J. Brunson Free Throw 2 of 2,[1628973],1610612752.0,NYK,,,,,,,,,,,Brunson,J. Brunson,,Missed,,,,,,,,,,,,,,,,
79,PT06M14.00S,2024-12-06T00:57:12.7Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,7,18,2024-12-06T00:57:37Z,750000,False,,,0,,C. Martin REBOUND (Off:0 Def:2),[1628998],1610612766.0,CHA,,,,,,,,,,,Martin,C. Martin,,,,,78.0,2.0,2.0,0.0,,,,,,,,,,
80,PT06M04.00S,2024-12-06T00:57:44.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641706,5.863994743758213,50.73529411764706,1610612766,7,20,2024-12-06T00:57:49Z,760000,False,-4.0,3.0,1,left,B. Miller driving DUNK (8 PTS),[1641706],1610612766.0,CHA,driving,,,,,,Restricted Area,0-8 Center,,,Miller,B. Miller,0.45,Made,,,,,,,8.0,,,,,,,,,
81,PT05M44.00S,2024-12-06T00:58:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,93.51182654402102,49.50980392156863,1610612752,9,20,2024-12-06T00:58:07Z,770000,False,-2.0,8.0,1,right,J. Hart alley-oop Layup (4 PTS) (M. Bridges 2 AST),"[1628404, 1628969]",1610612752.0,NYK,alley-oop,,,,,,Restricted Area,0-8 Center,,,Hart,J. Hart,0.89,Made,,,,,,,4.0,M. Bridges,1628969.0,2.0,,,,,,
83,PT05M29.00S,2024-12-06T00:58:19.8Z,1,REGULAR,turnover,bad pass,[],1630208,,,1610612766,9,20,2024-12-06T00:58:24Z,790000,False,,,0,,N. Richards bad pass TURNOVER (3 TO),"[1630208, 1628969]",1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,3.0,Richards,N. Richards,,,,,,,,,,,,,Bridges,1628969.0,,,,
84,PT05M29.00S,2024-12-06T00:58:19.8Z,1,REGULAR,steal,,[],1628969,,,1610612752,9,20,2024-12-06T00:58:21Z,800000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612752.0,NYK,,,,,,,In The Paint (Non-RA),0-8 Center,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,
85,PT05M24.00S,2024-12-06T00:58:24.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628973,92.72339027595268,98.52941176470588,1610612752,12,20,2024-12-06T00:59:21Z,810000,False,243.0,16.0,1,right,J. Brunson 24' 3PT running (6 PTS) (M. Bridges 3 AST),"[1628973, 1628969]",1610612752.0,NYK,running,,,,,,Right Corner 3,24+ Right,,,Brunson,J. Brunson,24.31,Made,,,,,,,6.0,M. Bridges,1628969.0,3.0,,,,,,
87,PT05M23.00S,2024-12-06T00:58:35.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612766,12,20,2024-12-06T00:58:35Z,830000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M23.00S,2024-12-06T00:58:35.4Z,1,REGULAR,substitution,out,[],1628404,,,1610612766,12,20,2024-12-06T01:01:20Z,840000,False,,,0,,SUB out: J. Hart,[1628404],1610612752.0,NYK,,,,,,,,,,,Hart,J. Hart,,,,,,,,,,,,,,,,,,
