actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
47,PT07M44.00S,2025-03-30T22:17:47.4Z,1,REGULAR,rebound,offensive,[],1626153,,,1610612752,6,6,2025-03-30T22:17:48Z,470000,False,,,0,,D. Wright REBOUND (Off:1 Def:0),[1626153],1610612752.0,NYK,,,,,,,,Wright,D. Wright,Left Corner 3,24+ Left,,,46.0,1.0,0.0,1.0,,,,,,,,,,,,,,
48,PT07M42.00S,2025-03-30T22:17:49.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,25.837713534822605,82.59803921568627,1610612752,6,6,2025-03-30T22:17:52Z,480000,False,-163.0,190.0,1,left,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,,,,,Anunoby,O. Anunoby,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2025-03-30T22:17:52.2Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,6,6,2025-03-30T22:17:52Z,490000,False,,,0,,D. Clingan REBOUND (Off:1 Def:1),[1642270],1610612757.0,POR,,,,,,,,Clingan,D. Clingan,Above the Break 3,24+ Left Center,,,48.0,2.0,1.0,1.0,,,,,,,,,,,,,,
50,PT07M31.00S,2025-03-30T22:18:00.2Z,1,REGULAR,2pt,Jump Shot,[],1629014,78.26872536136662,57.84313725490197,1610612757,6,6,2025-03-30T22:18:05Z,500000,False,39.0,152.0,1,right,MISS A. Simons 15' pullup Shot,[1629014],1610612757.0,POR,pullup,,,,,,,Simons,A. Simons,Mid-Range,8-16 Center,15.68,Missed,,,,,,,,,,,,,,,,,,
51,PT07M28.00S,2025-03-30T22:18:03.2Z,1,REGULAR,rebound,offensive,[],1641739,,,1610612757,6,6,2025-03-30T22:18:05Z,510000,False,,,0,,T. Camara REBOUND (Off:2 Def:2),[1641739],1610612757.0,POR,,,,,,,,Camara,T. Camara,Mid-Range,8-16 Center,,,50.0,4.0,2.0,2.0,,,,,,,,,,,,,,
52,PT07M28.00S,2025-03-30T22:18:03.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641739,94.56307490144546,47.794117647058826,1610612757,6,8,2025-03-30T22:18:08Z,520000,False,-11.0,-1.0,1,right,T. Camara putback Layup (2 PTS),[1641739],1610612757.0,POR,putback,,,,,,,Camara,T. Camara,Restricted Area,0-8 Center,1.11,Made,,,,,2.0,,,,,,,,,,,,,
53,PT07M14.00S,2025-03-30T22:18:16.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628404,19.92444152431012,49.01960784313725,1610612752,6,8,2025-03-30T22:18:20Z,530000,False,5.0,135.0,1,left,MISS J. Hart 13' pullup Shot,[1628404],1610612752.0,NYK,pullup,,,,,,,Hart,J. Hart,In The Paint (Non-RA),8-16 Center,13.49,Missed,,,,,,,,,,,,,,,,,,
54,PT07M12.00S,2025-03-30T22:18:18.9Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,6,8,2025-03-30T22:18:20Z,540000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,,,,,Sharpe,S. Sharpe,In The Paint (Non-RA),8-16 Center,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT07M01.00S,2025-03-30T22:18:32.9Z,1,REGULAR,turnover,double dribble,[],1631101,,,1610612757,6,8,2025-03-30T22:18:40Z,550000,False,,,0,,S. Sharpe double dribble TURNOVER (1 TO),[1631101],1610612757.0,POR,,,,,,,1830.0,Sharpe,S. Sharpe,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,,,,,
56,PT06M48.00S,2025-03-30T22:19:07.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628969,10.988830486202366,38.23529411764706,1610612752,6,8,2025-03-30T22:19:16Z,560000,False,59.0,51.0,1,left,MISS M. Bridges 7' floating Shot,[1628969],1610612752.0,NYK,floating,,,,,,,Bridges,M. Bridges,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,,,,,
