actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
16,PT10M44.00S,2023-12-21T00:12:36.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630162,81.42247043363994,62.254901960784316,1610612750,0,0,2023-12-21T00:12:42Z,160000,False,61.0,122.0,1,right,MISS A. Edwards 13' turnaround fadeaway Shot,[1630162],1610612750.0,MIN,turnaround fadeaway,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,13.66,Missed,,,,,,,,,,,,,,,,,,
17,PT10M41.00S,2023-12-21T00:12:39.5Z,1,REGULAR,rebound,offensive,[],1626157,,,1610612750,0,0,2023-12-21T00:12:42Z,170000,False,,,0,,K. Towns REBOUND (Off:1 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,,,16.0,,,,,,2.0,1.0,1.0,,,,,,,,,
18,PT10M40.00S,2023-12-21T00:12:41.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626157,82.9993429697766,49.26470588235294,1610612750,0,0,2023-12-21T00:12:47Z,180000,False,-4.0,107.0,1,right,MISS K. Towns 10' fadeaway Shot,[1626157],1610612750.0,MIN,fadeaway,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,10.74,Missed,,,,,,,,,,,,,,,,,,
19,PT10M37.00S,2023-12-21T00:12:44.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2023-12-21T00:12:47Z,190000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,18.0,,,,,,1.0,1.0,0.0,,,,,,,,,
20,PT10M32.00S,2023-12-21T00:12:48.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fastbreak']",202699,9.017739816031538,41.66666666666667,1610612755,0,0,2023-12-21T00:12:58Z,200000,False,42.0,32.0,1,left,MISS T. Harris driving Hook,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,5.27,Missed,,,,,,,,,,,,,,,,,,
21,PT10M30.00S,2023-12-21T00:12:50.2Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2023-12-21T00:12:58Z,210000,False,,,0,,K. Towns REBOUND (Off:1 Def:2),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,,,,,,3.0,2.0,1.0,,,,,,,,,
22,PT10M20.00S,2023-12-21T00:12:59.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,82.86793692509855,42.15686274509804,1610612750,0,0,2023-12-21T00:13:03Z,220000,False,-39.0,109.0,1,right,MISS K. Towns 11' pullup Shot,[1626157],1610612750.0,MIN,pullup,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,11.54,Missed,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2023-12-21T00:13:01.7Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,0,0,2023-12-21T00:13:03Z,230000,False,,,0,,D. Melton REBOUND (Off:0 Def:1),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,In The Paint (Non-RA),8-16 Center,,,22.0,,,,,,1.0,1.0,0.0,,,,,,,,,
24,PT10M13.00S,2023-12-21T00:13:10.8Z,1,REGULAR,foul,offensive,[],203954,,,1610612755,0,0,2023-12-21T00:13:20Z,240000,False,,,0,,J. Embiid offensive FOUL (1 PF),"[203954, 203497]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,202056.0,1.0,0.0,Gobert,203497.0,,,,,,,,,,,,
26,PT10M13.00S,2023-12-21T00:13:10.8Z,1,REGULAR,turnover,offensive foul,[],203954,,,1610612755,0,0,2023-12-21T00:13:10Z,260000,False,,,0,,J. Embiid offensive foul TURNOVER (2 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,202056.0,,,,,,,,2.0,,,,,,,,
27,PT09M55.00S,2023-12-21T00:13:41.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,71.96123521681997,83.57843137254902,1610612750,0,3,2023-12-21T00:13:46Z,270000,False,168.0,211.0,1,right,J. McDaniels 26' 3PT  (3 PTS) (R. Gobert 1 AST),"[1630183, 203497]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Above the Break 3,24+ Right Center,26.97,Made,,,,,,,,,,,3.0,R. Gobert,203497.0,1.0,,,,
29,PT09M31.00S,2023-12-21T00:14:04.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.178055190538765,50.49019607843137,1610612755,0,3,2023-12-21T00:14:09Z,290000,False,-2.0,15.0,1,left,MISS T. Maxey driving finger roll Layup,[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.52,Missed,,,,,,,,,,,,,,,,,,
30,PT09M29.00S,2023-12-21T00:14:06.3Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,0,3,2023-12-21T00:14:09Z,300000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,29.0,,,,,,1.0,1.0,0.0,,,,,,,,,
31,PT09M25.00S,2023-12-21T00:14:14.5Z,1,REGULAR,2pt,Jump Shot,[],1630162,87.33574244415243,67.64705882352942,1610612750,0,5,2023-12-21T00:16:18Z,310000,False,88.0,67.0,1,right,A. Edwards 11' turnaround fadeaway bank Jump Shot (2 PTS),[1630162],1610612750.0,MIN,turnaround fadeaway bank,,,Edwards,A. Edwards,,,,,Mid-Range,8-16 Right,11.05,Made,,,,,,,,,,,2.0,,,,,,,
32,PT09M25.00S,2023-12-21T00:14:17.5Z,1,REGULAR,foul,personal,['1freethrow'],1626162,,,1610612750,0,5,2023-12-21T00:14:26Z,320000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Edwards 1 FT),"[1626162, 1630162]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,,,,1627962.0,1.0,0.0,Edwards,1630162.0,,,,,,,,,,,,
34,PT09M25.00S,2023-12-21T00:14:46.7Z,1,REGULAR,freethrow,1 of 1,[],1630162,,,1610612750,0,6,2023-12-21T00:14:46Z,340000,False,,,0,,A. Edwards Free Throw 1 of 1 (3 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
35,PT09M14.00S,2023-12-21T00:14:59.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.389618922470433,55.14705882352941,1610612755,0,6,2023-12-21T00:15:03Z,350000,False,-26.0,8.0,1,left,MISS T. Harris driving Layup,[202699],1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.68,Missed,,,,,,,,,,,,,,,,,,
36,PT09M12.00S,2023-12-21T00:15:01.4Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,0,6,2023-12-21T00:15:03Z,360000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,35.0,,,,,,1.0,1.0,0.0,,,,,,,,,
37,PT09M07.00S,2023-12-21T00:15:06.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,93.51182654402102,98.52941176470588,1610612750,0,6,2023-12-21T00:15:14Z,370000,False,243.0,8.0,1,right,MISS M. Conley 24' running 3PT,[201144],1610612750.0,MIN,running,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,24.27,Missed,,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2023-12-21T00:15:08.0Z,1,REGULAR,rebound,defensive,[],1629001,,,1610612755,0,6,2023-12-21T00:15:36Z,380000,False,,,0,,D. Melton REBOUND (Off:0 Def:2),[1629001],1610612755.0,PHI,,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,,,37.0,,,,,,2.0,2.0,0.0,,,,,,,,,
39,PT09M00.00S,2023-12-21T00:15:12.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630178,26.363337713534822,15.686274509803921,1610612755,0,6,2023-12-21T00:15:19Z,390000,False,172.0,195.0,1,left,MISS T. Maxey 26' running 3PT,[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.0,Missed,,,,,,,,,,,,,,,,,,
40,PT08M58.00S,2023-12-21T00:15:14.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,6,2023-12-21T00:15:42Z,400000,False,,,0,,K. Towns REBOUND (Off:1 Def:3),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,39.0,,,,,,4.0,3.0,1.0,,,,,,,,,
41,PT08M52.00S,2023-12-21T00:15:22.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630162,93.77463863337714,56.86274509803921,1610612750,0,8,2023-12-21T00:15:26Z,410000,False,34.0,6.0,1,right,A. Edwards running Layup (5 PTS),[1630162],1610612750.0,MIN,running,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,3.48,Made,,,,,,,,,,,5.0,,,,,,,
42,PT08M31.00S,2023-12-21T00:15:44.2Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612755,0,8,2023-12-21T00:15:56Z,420000,False,,,0,,R. Gobert shooting personal FOUL (2 PF) (Embiid 2 FT),"[203497, 203954]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,1627962.0,2.0,0.0,Embiid,203954.0,,,,,,,,,,,,
44,PT08M31.00S,2023-12-21T00:16:12.5Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,1,8,2023-12-21T00:16:12Z,440000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
45,PT08M31.00S,2023-12-21T00:16:17.7Z,1,REGULAR,substitution,out,[],203497,,,1610612755,1,8,2023-12-21T00:16:20Z,450000,False,,,0,,SUB out: R. Gobert,[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M31.00S,2023-12-21T00:16:17.7Z,1,REGULAR,substitution,in,[],1629675,,,1610612755,1,8,2023-12-21T00:16:20Z,460000,False,,,0,,SUB in: N. Reid,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M31.00S,2023-12-21T00:16:36.8Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,2,8,2023-12-21T00:16:36Z,470000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
48,PT08M19.00S,2023-12-21T00:16:50.3Z,1,REGULAR,3pt,Jump Shot,[],1629675,74.98357424441524,87.74509803921569,1610612750,2,8,2023-12-21T00:16:58Z,480000,False,189.0,183.0,1,right,MISS N. Reid 26' 3PT,[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,26.27,Missed,,,,,,,,,,,,,,,,,,
49,PT08M17.00S,2023-12-21T00:16:52.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,8,2023-12-21T00:16:58Z,490000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,48.0,,,,,,1.0,1.0,0.0,,,,,,,,,
50,PT08M09.00S,2023-12-21T00:17:01.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,9.017739816031538,49.50980392156863,1610612755,2,8,2023-12-21T00:17:17Z,500000,False,2.0,32.0,1,left,MISS J. Embiid driving reverse DUNK,[203954],1610612755.0,PHI,driving reverse,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
51,PT08M08.00S,2023-12-21T00:17:02.8Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,2,8,2023-12-21T00:17:17Z,510000,False,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,50.0,,,,,,2.0,1.0,1.0,,,,,,,,,
52,PT08M08.00S,2023-12-21T00:17:07.9Z,1,REGULAR,foul,personal,['2freethrow'],1626157,,,1610612755,2,8,2023-12-21T00:17:13Z,520000,False,,,0,,K. Towns shooting personal FOUL (1 PF) (Embiid 2 FT),"[1626157, 203954]",1610612750.0,MIN,shooting,,,Towns,K. Towns,,,,,Restricted Area,0-8 Center,,,,1179.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
54,PT08M08.00S,2023-12-21T00:17:33.9Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,3,8,2023-12-21T00:17:33Z,540000,False,,,0,,J. Embiid Free Throw 1 of 2 (3 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,3.0,,,,,,,
55,PT08M08.00S,2023-12-21T00:17:55.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,4,8,2023-12-21T00:17:55Z,550000,False,,,0,,J. Embiid Free Throw 2 of 2 (4 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,,4.0,,,,,,,
57,PT07M45.00S,2023-12-21T00:18:37.6Z,1,REGULAR,3pt,Jump Shot,[],1629675,81.42247043363994,95.58823529411765,1610612750,4,8,2023-12-21T00:18:42Z,570000,False,228.0,122.0,1,right,MISS N. Reid 25' step back 3PT,[1629675],1610612750.0,MIN,step back,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,25.85,Missed,,,,,,,,,,,,,,,,,,
58,PT07M42.00S,2023-12-21T00:18:40.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,4,8,2023-12-21T00:18:42Z,580000,False,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,57.0,,,,,,3.0,2.0,1.0,,,,,,,,,
59,PT07M34.00S,2023-12-21T00:18:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,17.0335085413929,56.127450980392155,1610612755,4,8,2023-12-21T00:18:52Z,590000,False,-31.0,108.0,1,left,MISS J. Embiid 11' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,11.19,Missed,,,,,,,,,,,,,,,,,,
60,PT07M31.00S,2023-12-21T00:18:51.2Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,4,8,2023-12-21T00:18:52Z,600000,False,,,0,,J. McDaniels REBOUND (Off:0 Def:2),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,59.0,,,,,,2.0,2.0,0.0,,,,,,,,,
61,PT07M24.00S,2023-12-21T00:18:58.8Z,1,REGULAR,3pt,Jump Shot,[],1629675,95.0886990801577,97.54901960784314,1610612750,4,8,2023-12-21T00:19:08Z,610000,False,238.0,-6.0,1,right,MISS N. Reid step back 3PT,[1629675],1610612750.0,MIN,step back,,,Reid,N. Reid,,,,,Right Corner 3,24+ Right,23.78,Missed,,,,,,,,,,,,,,,,,,
62,PT07M21.00S,2023-12-21T00:19:01.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,4,8,2023-12-21T00:19:08Z,620000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Right Corner 3,24+ Right,,,61.0,,,,,,,,,,,,,,,,,
64,PT07M09.00S,2023-12-21T00:19:21.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,29.6484888304862,20.34313725490196,1610612755,7,8,2023-12-21T00:19:26Z,640000,False,148.0,226.0,1,left,K. Oubre Jr. 27' 3PT step back (3 PTS),[1626162],1610612755.0,PHI,step back,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,27.05,Made,,,,,,,,,,,3.0,,,,,,,
65,PT06M57.00S,2023-12-21T00:19:36.7Z,1,REGULAR,foul,personal,[],1626162,,,1610612750,7,8,2023-12-21T00:19:45Z,650000,False,,,0,,K. Oubre Jr. personal FOUL (2 PF),"[1626162, 1630183]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,1179.0,2.0,0.0,McDaniels,1630183.0,,,,,,,,,,,,
67,PT06M57.00S,2023-12-21T00:19:56.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612750,7,8,2023-12-21T00:19:56Z,670000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M51.00S,2023-12-21T00:23:20.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1626157,87.33574244415243,49.50980392156863,1610612750,7,10,2023-12-21T00:23:25Z,680000,False,-2.0,67.0,1,right,K. Towns 6' driving Hook (2 PTS),[1626157],1610612750.0,MIN,driving,,,Towns,K. Towns,,,,,In The Paint (Non-RA),0-8 Center,6.65,Made,,,,,,,,,,,2.0,,,,,,,
69,PT06M27.00S,2023-12-21T00:23:43.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,7.5722733245729295,37.5,1610612755,9,10,2023-12-21T00:24:55Z,690000,False,62.0,19.0,1,left,J. Embiid 6' floating Jump Shot (6 PTS),[203954],1610612755.0,PHI,floating,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,6.52,Made,,,,,,,,,,,6.0,,,,,,,
70,PT06M19.00S,2023-12-21T00:23:52.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630183,93.9060446780552,51.9607843137255,1610612750,9,12,2023-12-21T00:23:56Z,700000,False,10.0,5.0,1,right,J. McDaniels cutting DUNK (5 PTS) (M. Conley 1 AST),"[1630183, 201144]",1610612750.0,MIN,cutting,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,,,,,5.0,M. Conley,201144.0,1.0,,,,
72,PT05M55.00S,2023-12-21T00:24:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,6.915243101182654,47.05882352941176,1610612755,11,12,2023-12-21T00:24:19Z,720000,False,15.0,13.0,1,left,T. Harris Layup (2 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,1.93,Made,,,,,,,,,,,2.0,T. Maxey,1630178.0,1.0,,,,
74,PT05M33.00S,2023-12-21T00:24:37.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629675,91.01511169513797,55.14705882352941,1610612750,11,12,2023-12-21T00:24:42Z,740000,False,26.0,32.0,1,right,MISS N. Reid driving Layup - blocked,"[1629675, 203954]",1610612750.0,MIN,driving,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,Embiid,203954.0,,
75,PT05M33.00S,2023-12-21T00:24:37.6Z,1,REGULAR,block,,[],203954,,,1610612750,11,12,2023-12-21T00:24:40Z,750000,False,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
76,PT05M30.00S,2023-12-21T00:24:40.6Z,1,REGULAR,rebound,offensive,[],1629675,,,1610612750,11,12,2023-12-21T00:24:42Z,760000,False,,,0,,N. Reid REBOUND (Off:1 Def:0),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Restricted Area,0-8 Center,,,74.0,,,,,,1.0,0.0,1.0,,,,,,,,,
77,PT05M29.00S,2023-12-21T00:24:42.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626157,70.90998685939553,16.42156862745098,1610612750,11,12,2023-12-21T00:24:47Z,770000,False,-168.0,221.0,1,right,MISS K. Towns 27' step back 3PT,[1626157],1610612750.0,MIN,step back,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,27.75,Missed,,,,,,,,,,,,,,,,,,
78,PT05M25.00S,2023-12-21T00:24:45.6Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,11,12,2023-12-21T00:24:45Z,780000,False,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,77.0,,,,,,4.0,3.0,1.0,,,,,,,,,
79,PT05M14.00S,2023-12-21T00:24:56.4Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.597240473061763,80.88235294117648,1610612755,14,12,2023-12-21T00:25:01Z,790000,False,-154.0,216.0,1,left,T. Maxey 26' 3PT  (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.58,Made,,,,,,,,,,,3.0,J. Embiid,203954.0,1.0,,,,
81,PT05M01.00S,2023-12-21T00:25:11.2Z,1,REGULAR,turnover,out-of-bounds,[],1629675,,,1610612750,14,12,2023-12-21T00:25:16Z,810000,False,,,0,,N. Reid bad pass out-of-bounds TURNOVER (1 TO),[1629675],1610612750.0,MIN,bad pass,,,Reid,N. Reid,,,,,Above the Break 3,24+ Right Center,,,,1627962.0,,,,,,,,1.0,,,,,,,,
82,PT05M01.00S,2023-12-21T00:25:15.8Z,1,REGULAR,substitution,out,[],201144,,,1610612755,14,12,2023-12-21T00:25:26Z,820000,False,,,0,,SUB out: M. Conley,[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,,,,,,,,,,,,,,,,,,,,,,
