actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
67,PT10M43.00S,2024-02-08T00:46:00.5Z,1,REGULAR,3pt,Jump Shot,[],203110,68.9060446780552,49.50980392156863,1610612744,2,1,2024-02-08T00:52:13Z,220000,False,-2.0,240.0,1,right,MISS D. Green 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,23.98,Missed,,,,,,,,,,,,,,,,,
68,PT10M43.00S,2024-02-08T00:46:00.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,2,1,2024-02-08T00:52:13Z,235000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,67.0,1.0,1.0,0.0,,,,
69,PT10M34.00S,2024-02-08T00:46:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,10.561760840998687,49.26470588235294,1610612755,2,1,2024-02-08T00:54:04Z,242500,False,4.0,47.0,1,left,MISS T. Harris Layup - blocked,"[202699, 203110]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,4.69,Missed,,,,,,,,,,,,,,Green,203110.0,,
70,PT10M34.00S,2024-02-08T00:46:06.7Z,1,REGULAR,block,,[],203110,,,1610612755,2,1,2024-02-08T00:52:57Z,246250,False,,,0,,D. Green BLOCK (1 BLK),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
71,PT10M33.00S,2024-02-08T00:46:07.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,2,1,2024-02-08T00:57:46Z,248125,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,69.0,1.0,1.0,0.0,,,,
25,PT10M21.00S,2024-02-08T00:46:12.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,90.71944809461235,38.48039215686274,1610612744,2,3,2024-02-08T00:46:19Z,250000,False,-58.0,35.0,1,right,A. Wiggins 6' turnaround Jump Shot (3 PTS),[203952],1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,6.72,Made,3.0,,,,,,,,,,,,,,,,
26,PT10M08.00S,2024-02-08T00:46:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630531,4.517082785808142,62.99019607843137,1610612755,4,3,2024-02-08T00:46:30Z,260000,False,-65.0,-10.0,1,left,J. Springer 6' pullup Jump Shot (2 PTS) (T. Harris 1 AST),"[1630531, 202699]",1610612755.0,PHI,pullup,,,Springer,J. Springer,,,,,In The Paint (Non-RA),0-8 Center,,6.58,Made,2.0,T. Harris,202699.0,1.0,,,,,,,,,,,,,
28,PT09M50.00S,2024-02-08T00:46:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630228,89.79960578186596,35.294117647058826,1610612744,4,3,2024-02-08T00:46:55Z,280000,False,-74.0,43.0,1,right,MISS J. Kuminga 8' pullup bank Shot,[1630228],1610612744.0,GSW,pullup bank,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Left,,8.54,Missed,,,,,,,,,,,,,,,,,
29,PT09M48.00S,2024-02-08T00:46:46.0Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,3,2024-02-08T00:46:55Z,290000,False,,,0,,T. Harris REBOUND (Off:0 Def:2),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,
66,PT09M40.00S,2024-02-08T00:46:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,11.613009198423129,52.69607843137255,1610612755,6,3,2024-02-08T00:51:33Z,300000,False,-13.0,57.0,1,left,T. Harris Layup (2 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,5.83,Made,2.0,,,,,,,,,,,,,,,,
31,PT09M30.00S,2024-02-08T00:47:04.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201939,82.9664914586071,41.42156862745098,1610612744,6,3,2024-02-08T00:47:09Z,310000,False,-43.0,108.0,1,right,MISS S. Curry 11' fadeaway Shot - blocked,"[201939, 1630194]",1610612744.0,GSW,fadeaway,,,Curry,S. Curry,,,,,In The Paint (Non-RA),8-16 Center,,11.58,Missed,,,,,,,,,,,,,,Reed,1630194.0,,
32,PT09M30.00S,2024-02-08T00:47:04.6Z,1,REGULAR,block,,[],1630194,,,1610612744,6,3,2024-02-08T00:47:07Z,320000,False,,,0,,P. Reed BLOCK (1 BLK),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M27.00S,2024-02-08T00:47:07.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,6,3,2024-02-08T00:47:09Z,330000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,
34,PT09M18.00S,2024-02-08T00:47:16.9Z,1,REGULAR,3pt,Jump Shot,[],1630531,26.987516425755587,83.08823529411765,1610612755,6,3,2024-02-08T00:47:21Z,340000,False,-165.0,201.0,1,left,MISS J. Springer 26' 3PT,[1630531],1610612755.0,PHI,,,,Springer,J. Springer,,,,,Above the Break 3,24+ Left Center,,26.05,Missed,,,,,,,,,,,,,,,,,
35,PT09M15.00S,2024-02-08T00:47:19.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,6,3,2024-02-08T00:47:21Z,350000,False,,,0,,D. Green REBOUND (Off:0 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,34.0,2.0,2.0,0.0,,,,
36,PT09M02.00S,2024-02-08T00:47:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,88.09132720105124,52.450980392156865,1610612744,6,5,2024-02-08T00:47:36Z,360000,False,12.0,59.0,1,right,K. Thompson 6' driving floating bank Jump Shot (2 PTS),[202691],1610612744.0,GSW,driving floating bank,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,6.07,Made,2.0,,,,,,,,,,,,,,,,
37,PT08M54.00S,2024-02-08T00:47:43.8Z,1,REGULAR,foul,offensive,[],1626162,,,1610612755,6,5,2024-02-08T00:47:52Z,370000,False,,,0,,K. Oubre Jr. offensive FOUL (2 PF),"[1626162, 203952]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,204059.0,2.0,0.0,Wiggins,203952.0,,,,,,,,
39,PT08M54.00S,2024-02-08T00:47:43.8Z,1,REGULAR,turnover,offensive foul,[],1626162,,,1610612755,6,5,2024-02-08T00:47:43Z,390000,False,,,0,,K. Oubre Jr. offensive foul TURNOVER (1 TO),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,1.0,,,,,,,204059.0,,,,,,,,,,,,
40,PT08M41.00S,2024-02-08T00:48:10.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630228,86.12023653088042,47.549019607843135,1610612744,6,5,2024-02-08T00:48:18Z,400000,False,-12.0,78.0,1,right,MISS J. Kuminga 7' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,7.9,Missed,,,,,,,,,,,,,,,,,
41,PT08M38.00S,2024-02-08T00:48:13.4Z,1,REGULAR,rebound,offensive,[],203110,,,1610612744,6,5,2024-02-08T00:48:13Z,410000,False,,,0,,D. Green REBOUND (Off:1 Def:2),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,40.0,3.0,2.0,1.0,,,,
42,PT08M37.00S,2024-02-08T00:48:14.3Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,6,5,2024-02-08T00:48:20Z,420000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1630531]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,,,,,,,,,,,,,,,,Springer,1630531.0
43,PT08M37.00S,2024-02-08T00:48:14.3Z,1,REGULAR,steal,,[],1630531,,,1610612755,6,5,2024-02-08T00:48:16Z,430000,False,,,0,,J. Springer STEAL (1 STL),[1630531],1610612755.0,PHI,,,,Springer,J. Springer,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M32.00S,2024-02-08T00:48:20.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,6.8823915900131425,52.69607843137255,1610612755,8,5,2024-02-08T00:48:25Z,440000,False,-13.0,12.0,1,left,K. Oubre Jr. running Layup (2 PTS) (T. Maxey 2 AST),"[1626162, 1630178]",1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,1.82,Made,2.0,T. Maxey,1630178.0,2.0,,,,,,,,,,,,,
46,PT08M21.00S,2024-02-08T00:48:34.3Z,1,REGULAR,foul,personal,[],1630531,,,1610612744,8,5,2024-02-08T00:48:37Z,460000,False,,,0,,J. Springer personal FOUL (1 PF),"[1630531, 201939]",1610612755.0,PHI,,,,Springer,J. Springer,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,1201.0,1.0,0.0,Curry,201939.0,,,,,,,,
48,PT08M21.00S,2024-02-08T00:48:50.8Z,1,REGULAR,substitution,out,[],1626162,,,1610612744,8,5,2024-02-08T00:48:57Z,480000,False,,,0,,SUB out: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M21.00S,2024-02-08T00:48:50.8Z,1,REGULAR,substitution,in,[],201976,,,1610612744,8,5,2024-02-08T00:48:57Z,490000,False,,,0,,SUB in: P. Beverley,[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M06.00S,2024-02-08T00:49:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,87.82851511169514,37.00980392156863,1610612744,8,5,2024-02-08T00:49:22Z,500000,False,-65.0,62.0,1,right,MISS A. Wiggins 8' turnaround Shot - blocked,"[203952, 1630178]",1610612744.0,GSW,turnaround,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Left,,8.98,Missed,,,,,,,,,,,,,,Maxey,1630178.0,,
51,PT08M06.00S,2024-02-08T00:49:15.5Z,1,REGULAR,block,,[],1630178,,,1610612744,8,5,2024-02-08T00:49:18Z,510000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
52,PT08M03.00S,2024-02-08T00:49:18.5Z,1,REGULAR,rebound,defensive,[],201976,,,1610612755,8,5,2024-02-08T00:49:22Z,520000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612755.0,PHI,,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,
53,PT07M55.00S,2024-02-08T00:49:26.6Z,1,REGULAR,3pt,Jump Shot,[],201976,33.820630749014455,37.745098039215684,1610612755,8,5,2024-02-08T00:49:33Z,530000,False,61.0,265.0,1,left,MISS P. Beverley 27' step back 3PT,[201976],1610612755.0,PHI,step back,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,27.24,Missed,,,,,,,,,,,,,,,,,
54,PT07M53.00S,2024-02-08T00:49:28.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,8,5,2024-02-08T00:49:33Z,540000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,53.0,,,,,,,
56,PT07M44.00S,2024-02-08T00:50:00.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,15.292378449408673,52.205882352941174,1610612755,8,5,2024-02-08T00:50:03Z,560000,False,-11.0,91.0,1,left,MISS T. Harris 9' pullup Shot,[202699],1610612755.0,PHI,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,9.19,Missed,,,,,,,,,,,,,,,,,
57,PT07M43.00S,2024-02-08T00:50:02.3Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,8,5,2024-02-08T00:50:02Z,570000,False,,,0,,P. Reed REBOUND (Off:1 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,56.0,1.0,0.0,1.0,,,,
58,PT07M40.00S,2024-02-08T00:50:04.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,28.301576872536145,82.1078431372549,1610612755,8,5,2024-02-08T00:50:08Z,580000,False,-161.0,214.0,1,left,MISS T. Harris 26' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,26.71,Missed,,,,,,,,,,,,,,,,,
59,PT07M38.00S,2024-02-08T00:50:06.7Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,8,5,2024-02-08T00:50:06Z,590000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,
60,PT07M28.00S,2024-02-08T00:50:15.8Z,1,REGULAR,2pt,Jump Shot,[],202691,80.20696452036793,80.63725490196079,1610612744,8,5,2024-02-08T00:50:19Z,600000,False,153.0,134.0,1,right,MISS K. Thompson 20' Jump Shot,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right Center,,20.33,Missed,,,,,,,,,,,,,,,,,
61,PT07M26.00S,2024-02-08T00:50:18.0Z,1,REGULAR,rebound,defensive,[],1630531,,,1610612755,8,5,2024-02-08T00:50:18Z,610000,False,,,0,,J. Springer REBOUND (Off:0 Def:1),[1630531],1610612755.0,PHI,,,,Springer,J. Springer,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,60.0,1.0,1.0,0.0,,,,
62,PT07M21.00S,2024-02-08T00:50:23.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630178,6.619579500657039,39.21568627450981,1610612755,8,5,2024-02-08T01:03:38Z,620000,False,54.0,10.0,1,left,MISS T. Maxey driving Hook,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,5.48,Missed,,,,,,,,,,,,,,,,,
63,PT07M21.00S,2024-02-08T00:50:28.1Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,8,5,2024-02-08T00:50:28Z,630000,False,,,0,,P. Reed REBOUND (Off:2 Def:0),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,62.0,2.0,0.0,2.0,,,,
64,PT07M21.00S,2024-02-08T00:50:28.1Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1630194,5.590000152587891,50.0,1610612755,10,5,2024-02-08T01:04:22Z,640000,False,0.0,0.0,1,left,P. Reed tip DUNK (4 PTS),[1630194],1610612755.0,PHI,tip,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,0.0,Made,4.0,,,,,,,,,,,,,,,,
65,PT07M21.00S,2024-02-08T00:50:46.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,10,5,2024-02-08T00:50:46Z,650000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M21.00S,2024-02-08T00:52:41.3Z,1,REGULAR,substitution,out,[],1630178,,,1610612744,10,5,2024-02-08T00:53:03Z,660000,False,,,0,,SUB out: T. Maxey,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT07M21.00S,2024-02-08T00:52:41.3Z,1,REGULAR,substitution,in,[],1627788,,,1610612744,10,5,2024-02-08T00:53:03Z,670000,False,,,0,,SUB in: F. Korkmaz,[1627788],1610612755.0,PHI,,,,Korkmaz,F. Korkmaz,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT07M05.00S,2024-02-08T00:54:36.1Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612744,10,5,2024-02-08T00:54:44Z,690000,False,,,0,,T. Harris shooting personal FOUL (1 PF) (Kuminga 2 FT),"[202699, 1630228]",1610612755.0,PHI,shooting,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1201.0,1.0,0.0,Kuminga,1630228.0,,,,,,,,
77,PT07M05.00S,2024-02-08T00:54:56.9Z,1,REGULAR,freethrow,1 of 2,[],1630228,,,1610612744,10,6,2024-02-08T00:54:56Z,710000,False,,,0,,J. Kuminga Free Throw 1 of 2 (1 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
78,PT07M05.00S,2024-02-08T00:55:11.3Z,1,REGULAR,freethrow,2 of 2,[],1630228,,,1610612744,10,7,2024-02-08T00:55:11Z,720000,False,,,0,,J. Kuminga Free Throw 2 of 2 (2 PTS),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,
79,PT06M51.00S,2024-02-08T00:55:26.9Z,1,REGULAR,turnover,bad pass,[],1630531,,,1610612755,10,7,2024-02-08T00:55:31Z,730000,False,,,0,,J. Springer bad pass TURNOVER (1 TO),"[1630531, 203110]",1610612755.0,PHI,,,,Springer,J. Springer,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,,,,Green,203110.0
80,PT06M51.00S,2024-02-08T00:55:26.9Z,1,REGULAR,steal,,[],203110,,,1610612744,10,7,2024-02-08T00:56:45Z,740000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT06M46.00S,2024-02-08T00:55:32.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630228,93.2161629434954,47.79411764705882,1610612744,10,7,2024-02-08T00:56:05Z,750000,False,-11.0,11.0,1,right,MISS J. Kuminga running Layup - blocked,"[1630228, 1630531]",1610612744.0,GSW,running,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,1.58,Missed,,,,,,,,,,,,,,Springer,1630531.0,,
82,PT06M46.00S,2024-02-08T00:55:32.3Z,1,REGULAR,block,,[],1630531,,,1610612744,10,7,2024-02-08T00:55:34Z,760000,False,,,0,,J. Springer BLOCK (1 BLK),[1630531],1610612755.0,PHI,,,,Springer,J. Springer,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
83,PT06M46.00S,2024-02-08T00:55:32.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,10,7,2024-02-08T00:56:05Z,770000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,81.0,,,,,,,
85,PT06M46.00S,2024-02-08T00:55:37.7Z,1,REGULAR,substitution,out,[],202691,,,1610612744,10,7,2024-02-08T00:55:41Z,790000,False,,,0,,SUB out: K. Thompson,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M46.00S,2024-02-08T00:55:37.7Z,1,REGULAR,substitution,in,[],1641764,,,1610612744,10,7,2024-02-08T00:55:41Z,800000,False,,,0,,SUB in: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT06M39.00S,2024-02-08T00:55:56.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",201939,90.45663600525624,1.9607843137254974,1610612744,10,7,2024-02-08T00:56:08Z,810000,False,-240.0,37.0,1,right,MISS S. Curry 24' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,24.31,Missed,,,,,,,,,,,,,,,,,
88,PT06M35.00S,2024-02-08T00:56:00.7Z,1,REGULAR,rebound,offensive,[],1630228,,,1610612744,10,7,2024-02-08T00:56:08Z,820000,False,,,0,,J. Kuminga REBOUND (Off:1 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,87.0,2.0,1.0,1.0,,,,
89,PT06M20.00S,2024-02-08T00:56:15.1Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover', '2ndchance']",1641764,85.3318002628121,59.068627450980394,1610612744,10,7,2024-02-08T00:56:21Z,830000,False,45.0,85.0,1,right,MISS B. Podziemski 9' driving Hook,[1641764],1610612744.0,GSW,driving,,,Podziemski,B. Podziemski,,,,,In The Paint (Non-RA),8-16 Center,,9.67,Missed,,,,,,,,,,,,,,,,,
90,PT06M15.00S,2024-02-08T00:56:20.2Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,10,7,2024-02-08T00:56:20Z,840000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,89.0,2.0,1.0,1.0,,,,
