actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
16,PT10M55.00S,2024-02-23T00:12:32.1Z,1,REGULAR,block,,[],1628978,,,1610612755,3,2,2024-02-23T00:12:35Z,160000,False,,,0,,D. DiVincenzo BLOCK (1 BLK),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2024-02-23T00:12:32.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,3,2,2024-02-23T00:12:45Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,,,,,,,,
19,PT10M46.00S,2024-02-23T00:12:56.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202699,30.962549277266753,28.676470588235293,1610612755,3,2,2024-02-23T00:13:59Z,190000,False,107.0,239.0,1,left,MISS T. Harris 26' step back 3PT,[202699],1610612755.0,PHI,step back,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,26.12,Missed,,,,,,,,,,,,,,,
20,PT10M45.00S,2024-02-23T00:12:57.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,3,2,2024-02-23T00:13:05Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,19.0,,,,,,,,
22,PT10M21.00S,2024-02-23T00:13:26.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,66.17936925098554,32.59803921568628,1610612752,3,5,2024-02-23T00:13:33Z,220000,False,-87.0,265.0,1,right,J. Hart 27' 3PT  (3 PTS) (J. Brunson 1 AST),"[1628404, 1628973]",1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,27.93,Made,3.0,,,,,,,,,,,,J. Brunson,1628973.0,1.0
24,PT10M10.00S,2024-02-23T00:13:38.3Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.670827858081466,30.637254901960787,1610612755,3,5,2024-02-23T00:13:45Z,240000,False,97.0,255.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,27.24,Missed,,,,,,,,,,,,,,,
25,PT10M06.00S,2024-02-23T00:13:42.3Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,3,5,2024-02-23T00:13:45Z,250000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:1),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,
27,PT09M49.00S,2024-02-23T00:14:11.6Z,1,REGULAR,3pt,Jump Shot,[],1630173,79.58278580814718,6.61764705882353,1610612752,3,5,2024-02-23T00:14:18Z,270000,False,-217.0,139.0,1,right,MISS P. Achiuwa 25' 3PT,[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,25.78,Missed,,,,,,,,,,,,,,,
28,PT09M45.00S,2024-02-23T00:14:15.6Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,3,5,2024-02-23T00:14:18Z,280000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,
29,PT09M42.00S,2024-02-23T00:14:18.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627741,31.09395532194481,79.65686274509804,1610612755,3,5,2024-02-23T00:14:54Z,290000,False,-148.0,240.0,1,left,MISS B. Hield 28' running pullup 3PT,[1627741],1610612755.0,PHI,running pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,28.2,Missed,,,,,,,,,,,,,,,
30,PT09M38.00S,2024-02-23T00:14:22.6Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,3,5,2024-02-23T00:14:28Z,300000,False,,,0,,P. Achiuwa REBOUND (Off:0 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,
31,PT09M20.00S,2024-02-23T00:14:42.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,92.32917214191852,56.86274509803921,1610612752,3,7,2024-02-23T00:14:50Z,310000,False,34.0,20.0,1,right,J. Brunson driving floating bank Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating bank,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,3.95,Made,4.0,,,,,,,,,,,,,,
32,PT09M08.00S,2024-02-23T00:14:53.0Z,1,REGULAR,3pt,Jump Shot,[],202699,33.065045992115635,33.088235294117645,1610612755,3,7,2024-02-23T00:15:00Z,320000,False,85.0,258.0,1,left,MISS T. Harris 27' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,27.18,Missed,,,,,,,,,,,,,,,
33,PT09M05.00S,2024-02-23T00:14:56.0Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,3,7,2024-02-23T00:15:00Z,330000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,32.0,1.0,1.0,0.0,,,,,
34,PT09M01.00S,2024-02-23T00:15:00.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630173,93.51182654402102,50.73529411764706,1610612752,3,9,2024-02-23T00:16:44Z,340000,False,4.0,8.0,1,right,P. Achiuwa running alley-oop DUNK (2 PTS) (J. Hart 1 AST),"[1630173, 1628404]",1610612752.0,NYK,running alley-oop,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,0.93,Made,2.0,,,,,,,,,,,,J. Hart,1628404.0,1.0
36,PT08M45.00S,2024-02-23T00:15:16.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,5.995400788436268,58.82352941176471,1610612755,3,9,2024-02-23T00:15:24Z,360000,False,-44.0,4.0,1,left,MISS B. Hield driving finger roll Layup,[1627741],1610612755.0,PHI,driving finger roll,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,,,,4.43,Missed,,,,,,,,,,,,,,,
37,PT08M43.00S,2024-02-23T00:15:18.2Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,3,9,2024-02-23T00:15:24Z,370000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,36.0,1.0,1.0,0.0,,,,,
38,PT08M38.00S,2024-02-23T00:15:23.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,75.64060446780552,12.009803921568627,1610612752,3,12,2024-02-23T00:16:54Z,380000,False,-190.0,176.0,1,right,D. DiVincenzo 25' 3PT running (3 PTS) (J. Brunson 2 AST),"[1628978, 1628973]",1610612752.0,NYK,running,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,25.93,Made,3.0,,,,,,,,,,,,J. Brunson,1628973.0,2.0
40,PT08M38.00S,2024-02-23T00:15:38.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,3,12,2024-02-23T00:15:38Z,400000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M23.00S,2024-02-23T00:18:32.9Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,3,12,2024-02-23T00:18:45Z,410000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 1628392]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,1.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,
42,PT08M23.00S,2024-02-23T00:18:32.9Z,1,REGULAR,steal,,[],1628392,,,1610612752,3,12,2024-02-23T00:18:35Z,420000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
43,PT08M17.00S,2024-02-23T00:18:38.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628404,92.85479632063075,47.794117647058826,1610612752,3,12,2024-02-23T00:19:25Z,430000,False,-11.0,15.0,1,right,MISS J. Hart running Shot - blocked,"[1628404, 1627741]",1610612752.0,NYK,running,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,1.84,Missed,,,,,,,,,,,Hield,1627741.0,,,
44,PT08M17.00S,2024-02-23T00:18:38.0Z,1,REGULAR,block,,[],1627741,,,1610612752,3,12,2024-02-23T00:19:11Z,440000,False,,,0,,B. Hield BLOCK (1 BLK),[1627741],1610612755.0,PHI,,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
45,PT08M14.00S,2024-02-23T00:18:41.0Z,1,REGULAR,rebound,defensive,[],201587,,,1610612755,3,12,2024-02-23T00:23:48Z,450000,False,,,0,,N. Batum REBOUND (Off:0 Def:1),[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,
46,PT08M10.00S,2024-02-23T00:18:45.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627741,5.469776609724048,53.18627450980392,1610612755,3,12,2024-02-23T00:18:57Z,460000,False,-16.0,-1.0,1,left,MISS B. Hield running Layup,[1627741],1610612755.0,PHI,running,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,1.59,Missed,,,,,,,,,,,,,,,
47,PT08M07.00S,2024-02-23T00:18:48.6Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,3,12,2024-02-23T00:18:57Z,470000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,
48,PT07M50.00S,2024-02-23T00:19:04.5Z,1,REGULAR,3pt,Jump Shot,[],1630173,81.2910643889619,5.88235294117647,1610612752,3,15,2024-02-23T00:19:11Z,480000,False,-221.0,123.0,1,right,P. Achiuwa 25' 3PT  (5 PTS) (D. DiVincenzo 1 AST),"[1630173, 1628978]",1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Left Center,,,,25.28,Made,5.0,,,,,,,,,,,,D. DiVincenzo,1628978.0,1.0
50,PT07M31.00S,2024-02-23T00:19:24.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,27.54599211563732,80.88235294117648,1610612755,3,15,2024-02-23T00:19:30Z,500000,False,-154.0,206.0,1,left,MISS B. Hield 25' 3PT,[1627741],1610612755.0,PHI,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Left Center,,,,25.78,Missed,,,,,,,,,,,,,,,
51,PT07M28.00S,2024-02-23T00:19:27.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,3,15,2024-02-23T00:19:30Z,510000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,50.0,1.0,1.0,0.0,,,,,
52,PT07M23.00S,2024-02-23T00:19:32.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,74.98357424441524,87.99019607843137,1610612752,3,15,2024-02-23T00:23:50Z,520000,False,190.0,183.0,1,right,MISS J. Brunson 26' running pullup 3PT,[1628973],1610612752.0,NYK,running pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,26.36,Missed,,,,,,,,,,,,,,,
53,PT07M19.00S,2024-02-23T00:19:35.6Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612752,3,15,2024-02-23T00:19:35Z,530000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:2),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,52.0,3.0,2.0,1.0,,,,,
54,PT07M15.00S,2024-02-23T00:19:40.4Z,1,REGULAR,turnover,lost ball,[],1628973,,,1610612752,3,15,2024-02-23T00:19:48Z,540000,False,,,0,,J. Brunson lost ball TURNOVER (1 TO),"[1628973, 202699]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
58,PT07M15.00S,2024-02-23T00:19:40.4Z,1,REGULAR,steal,,[],202699,,,1610612755,3,15,2024-02-23T00:24:19Z,550000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
56,PT07M11.00S,2024-02-23T00:19:44.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627741,8.754927726675426,98.0392156862745,1610612755,6,15,2024-02-23T00:19:58Z,560000,False,-240.0,30.0,1,left,B. Hield 24' 3PT running (3 PTS) (T. Harris 1 AST),"[1627741, 202699]",1610612755.0,PHI,running,,,Hield,B. Hield,,,,,Left Corner 3,24+ Left,,,,24.2,Made,3.0,,,,,,,,,,,,T. Harris,202699.0,1.0
59,PT06M54.00S,2024-02-23T00:20:11.4Z,1,REGULAR,foul,personal,[],202699,,,1610612752,6,15,2024-02-23T00:20:32Z,580000,False,,,0,,T. Harris personal FOUL (1 PF),"[202699, 1628392]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627964.0,1.0,0.0,Hartenstein,1628392.0,,,,,,,,,
61,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,out,[],202699,,,1610612752,6,15,2024-02-23T00:20:33Z,600000,False,,,0,,SUB out: T. Harris,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,out,[],201587,,,1610612752,6,15,2024-02-23T00:20:33Z,610000,False,,,0,,SUB out: N. Batum,[201587],1610612755.0,PHI,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,out,[],1627741,,,1610612752,6,15,2024-02-23T00:20:33Z,620000,False,,,0,,SUB out: B. Hield,[1627741],1610612755.0,PHI,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,in,[],1630231,,,1610612752,6,15,2024-02-23T00:20:33Z,630000,False,,,0,,SUB in: K. Martin,[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,in,[],200768,,,1610612752,6,15,2024-02-23T00:20:33Z,640000,False,,,0,,SUB in: K. Lowry,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M54.00S,2024-02-23T00:20:22.1Z,1,REGULAR,substitution,in,[],1626162,,,1610612752,6,15,2024-02-23T00:20:33Z,650000,False,,,0,,SUB in: K. Oubre Jr.,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M45.00S,2024-02-23T00:20:42.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,79.45137976346912,5.88235294117647,1610612752,6,15,2024-02-23T00:20:51Z,660000,False,-221.0,141.0,1,right,MISS D. DiVincenzo 26' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,26.17,Missed,,,,,,,,,,,,,,,
68,PT06M43.00S,2024-02-23T00:20:44.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,6,15,2024-02-23T00:20:51Z,670000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,67.0,,,,,,,,
70,PT06M18.00S,2024-02-23T00:21:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,5.995400788436268,47.549019607843135,1610612755,8,15,2024-02-23T00:21:53Z,690000,False,12.0,4.0,1,left,K. Lowry driving reverse Layup (2 PTS) (T. Maxey 1 AST),"[200768, 1630178]",1610612755.0,PHI,driving reverse,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,,,,1.29,Made,2.0,,,,,,,,,,,,T. Maxey,1630178.0,1.0
72,PT06M12.00S,2024-02-23T00:21:29.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,8,15,2024-02-23T00:21:29Z,710000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M12.00S,2024-02-23T00:23:35.0Z,1,REGULAR,substitution,out,[],1628392,,,1610612752,8,15,2024-02-23T00:23:37Z,720000,False,,,0,,SUB out: I. Hartenstein,[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M12.00S,2024-02-23T00:23:35.0Z,1,REGULAR,substitution,in,[],1630579,,,1610612752,8,15,2024-02-23T00:23:37Z,730000,False,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M02.00S,2024-02-23T00:24:28.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630173,93.9060446780552,50.245098039215684,1610612752,8,17,2024-02-23T00:24:37Z,740000,False,1.0,5.0,1,right,P. Achiuwa driving Layup (7 PTS) (J. Sims 1 AST),"[1630173, 1630579]",1610612752.0,NYK,driving,,,Achiuwa,P. Achiuwa,,,,,Restricted Area,0-8 Center,,,,0.49,Made,7.0,,,,,,,,,,,,J. Sims,1630579.0,1.0
77,PT05M36.00S,2024-02-23T00:24:54.6Z,1,REGULAR,2pt,Jump Shot,[],1626162,22.683968462549277,32.1078431372549,1610612755,8,17,2024-02-23T00:25:00Z,760000,False,89.0,161.0,1,left,MISS K. Oubre Jr. 18' fadeaway Shot,[1626162],1610612755.0,PHI,fadeaway,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Right Center,,,,18.39,Missed,,,,,,,,,,,,,,,
78,PT05M34.00S,2024-02-23T00:24:56.8Z,1,REGULAR,rebound,defensive,[],1630173,,,1610612752,8,17,2024-02-23T00:24:56Z,770000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:3),[1630173],1610612752.0,NYK,,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,77.0,4.0,3.0,1.0,,,,,
79,PT05M22.00S,2024-02-23T00:25:08.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,86.15308804204993,37.99019607843137,1610612752,8,17,2024-02-23T00:25:14Z,780000,False,-60.0,78.0,1,right,MISS J. Brunson 9' floating Shot,[1628973],1610612752.0,NYK,floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,,,,9.82,Missed,,,,,,,,,,,,,,,
80,PT05M19.00S,2024-02-23T00:25:11.0Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,8,17,2024-02-23T00:25:14Z,790000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,79.0,1.0,1.0,0.0,,,,,
81,PT05M14.00S,2024-02-23T00:25:17.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,6.389618922470433,51.470588235294116,1610612755,10,17,2024-02-23T00:25:24Z,800000,False,-7.0,8.0,1,left,K. Oubre Jr. running Layup (2 PTS) (K. Martin 1 AST),"[1626162, 1630231]",1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,1.06,Made,2.0,,,,,,,,,,,,K. Martin,1630231.0,1.0
83,PT04M57.00S,2024-02-23T00:25:33.5Z,1,REGULAR,3pt,Jump Shot,[],1628978,81.553876478318,96.81372549019608,1610612752,10,17,2024-02-23T00:25:40Z,820000,False,234.0,121.0,1,right,MISS D. DiVincenzo 26' 3PT,[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,26.35,Missed,,,,,,,,,,,,,,,
84,PT04M54.00S,2024-02-23T00:25:37.1Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,10,17,2024-02-23T00:25:37Z,830000,False,,,0,,J. Hart REBOUND (Off:1 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,83.0,3.0,2.0,1.0,,,,,
164,PT04M49.00S,2024-02-23T00:25:57.8Z,1,REGULAR,turnover,lost ball,[],1628973,,,1610612752,10,17,2024-02-23T00:37:31Z,885000,False,,,0,,J. Brunson lost ball TURNOVER (2 TO),"[1628973, 1626162]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,2.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,,,
165,PT04M49.00S,2024-02-23T00:25:57.8Z,1,REGULAR,steal,,[],1626162,,,1610612755,10,17,2024-02-23T00:37:31Z,887500,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
