actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
25,PT09M56.00S,2026-03-18T02:14:51.7Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,4,4,2026-03-18T02:14:52Z,250000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,
26,PT09M50.00S,2026-03-18T02:14:58.1Z,1,REGULAR,foul,personal,['2freethrow'],1631230,,,1610612743,4,4,2026-03-18T02:15:04Z,260000,False,,,0,,D. Barlow shooting personal FOUL (1 PF) (Gordon 2 FT),"[1631230, 203932]",1610612755.0,PHI,shooting,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,1626302.0,,,,,,,,,,1.0,0.0,Gordon,203932.0
28,PT09M50.00S,2026-03-18T02:15:41.7Z,1,REGULAR,freethrow,1 of 2,[],203932,,,1610612743,5,4,2026-03-18T02:15:41Z,280000,False,,,0,,A. Gordon Free Throw 1 of 2 (5 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2026-03-18T02:15:42.4Z,1,REGULAR,freethrow,2 of 2,[],203932,,,1610612743,6,4,2026-03-18T02:15:42Z,290000,False,,,0,,A. Gordon Free Throw 2 of 2 (6 PTS),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
30,PT09M33.00S,2026-03-18T02:16:00.8Z,1,REGULAR,2pt,Jump Shot,[],1642348,26.49474375821288,57.35294117647059,1610612755,6,4,2026-03-18T02:16:06Z,300000,False,-37.0,197.0,1,left,MISS J. Edwards 20' pullup Shot,[1642348],1610612755.0,PHI,pullup,,,Edwards,J. Edwards,,,,,Mid-Range,16-24 Center,20.0,Missed,,,,,,,,,,,,,,,,,,
31,PT09M31.00S,2026-03-18T02:16:02.8Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,6,4,2026-03-18T02:16:06Z,310000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Center,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,
32,PT09M18.00S,2026-03-18T02:16:16.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629661,82.34231274638634,44.6078431372549,1610612743,8,4,2026-03-18T02:16:23Z,320000,False,-27.0,113.0,1,right,C. Johnson 11' driving floating Jump Shot (2 PTS) (N. Jokić 3 AST),"[1629661, 203999]",1610612743.0,DEN,driving floating,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,11.67,Made,2.0,N. Jokić,203999.0,3.0,,,,,,,,,,,,,,
34,PT09M02.00S,2026-03-18T02:16:31.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,33.327858081471746,54.65686274509803,1610612755,8,4,2026-03-18T02:16:38Z,340000,False,-23.0,261.0,1,left,MISS Q. Grimes 26' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Center,26.18,Missed,,,,,,,,,,,,,,,,,,
35,PT09M00.00S,2026-03-18T02:16:33.8Z,1,REGULAR,rebound,offensive,[],1631230,,,1610612755,8,4,2026-03-18T02:20:33Z,350000,False,,,0,,D. Barlow REBOUND (Off:1 Def:0),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Center,,,,,,,,,34.0,1.0,0.0,1.0,,,,,,,,
36,PT09M00.00S,2026-03-18T02:16:36.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1631230,5.590000152587891,50.0,1610612755,8,4,2026-03-18T02:20:37Z,360000,False,0.0,0.0,1,left,MISS D. Barlow tip Layup,[1631230],1610612755.0,PHI,tip,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
37,PT08M57.00S,2026-03-18T02:16:39.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,8,4,2026-03-18T02:20:37Z,370000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,
38,PT08M46.00S,2026-03-18T02:16:47.5Z,1,REGULAR,3pt,Jump Shot,[],1631128,89.56964520367937,3.6764705882352944,1610612743,11,4,2026-03-18T02:16:53Z,380000,False,-232.0,46.0,1,right,C. Braun 3PT  (3 PTS) (N. Jokić 4 AST),"[1631128, 203999]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,23.6,Made,3.0,N. Jokić,203999.0,4.0,,,,,,,,,,,,,,
40,PT08M29.00S,2026-03-18T02:17:05.1Z,1,REGULAR,3pt,Jump Shot,[],1631230,26.888961892247043,14.950980392156863,1610612755,11,4,2026-03-18T02:17:10Z,400000,False,175.0,200.0,1,left,MISS D. Barlow 26' 3PT,[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Above the Break 3,24+ Right Center,26.61,Missed,,,,,,,,,,,,,,,,,,
41,PT08M26.00S,2026-03-18T02:17:08.1Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,11,4,2026-03-18T02:17:10Z,410000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,
42,PT08M21.00S,2026-03-18T02:17:15.2Z,1,REGULAR,foul,personal,[],1641737,,,1610612743,11,4,2026-03-18T02:17:28Z,420000,False,,,0,,A. Bona personal FOUL (1 PF),"[1641737, 203999]",1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,,,,,,,,,,1.0,0.0,Jokić,203999.0
44,PT08M19.00S,2026-03-18T02:17:41.8Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,11,4,2026-03-18T02:17:49Z,440000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201245.0,1.0,,,,,,,,,,,,
45,PT08M07.00S,2026-03-18T02:18:01.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642348,12.302890932982917,54.65686274509803,1610612755,11,6,2026-03-18T02:18:11Z,450000,False,-23.0,63.0,1,left,J. Edwards 6' driving floating Jump Shot (2 PTS),[1642348],1610612755.0,PHI,driving floating,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),0-8 Center,6.73,Made,2.0,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2026-03-18T02:18:04.6Z,1,REGULAR,foul,personal,['1freethrow'],1629661,,,1610612755,11,6,2026-03-18T02:18:11Z,460000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (Edwards 1 FT),"[1629661, 1642348]",1610612743.0,DEN,shooting,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202041.0,,,,,,,,,,1.0,0.0,Edwards,1642348.0
48,PT08M07.00S,2026-03-18T02:18:37.7Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1642348,,,1610612755,11,7,2026-03-18T02:18:37Z,480000,False,,,0,,J. Edwards Free Throw 1 of 1 (3 PTS),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
49,PT07M55.00S,2026-03-18T02:18:53.0Z,1,REGULAR,foul,personal,[],1642348,,,1610612743,11,7,2026-03-18T02:19:17Z,490000,False,,,0,,J. Edwards personal FOUL (1 PF),"[1642348, 203932]",1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Mid-Range,8-16 Right,,,,,,,202041.0,,,,,,,,,,1.0,0.0,Gordon,203932.0
51,PT07M47.00S,2026-03-18T02:19:15.9Z,1,REGULAR,3pt,Jump Shot,[],203932,89.83245729303549,95.09803921568627,1610612743,14,7,2026-03-18T02:19:20Z,510000,False,225.0,43.0,1,right,A. Gordon 3PT  (9 PTS) (N. Jokić 5 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Right Corner 3,24+ Right,22.96,Made,9.0,N. Jokić,203999.0,5.0,,,,,,,,,,,,,,
53,PT07M32.00S,2026-03-18T02:19:30.6Z,1,REGULAR,3pt,Jump Shot,[],1642845,6.1268068331143235,3.6764705882352944,1610612755,14,7,2026-03-18T02:19:35Z,530000,False,232.0,5.0,1,left,MISS V. Edgecombe 3PT,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
54,PT07M29.00S,2026-03-18T02:19:33.6Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,14,7,2026-03-18T02:19:35Z,540000,False,,,0,,J. Murray REBOUND (Off:0 Def:2),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,
55,PT07M24.00S,2026-03-18T02:19:39.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629661,93.9060446780552,47.30392156862745,1610612743,16,7,2026-03-18T02:19:45Z,550000,False,-13.0,5.0,1,right,C. Johnson running finger roll Layup (4 PTS) (J. Murray 1 AST),"[1629661, 1627750]",1610612743.0,DEN,running finger roll,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,1.43,Made,4.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
57,PT07M24.00S,2026-03-18T02:19:50.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,16,7,2026-03-18T02:19:53Z,570000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M13.00S,2026-03-18T02:23:28.7Z,1,REGULAR,2pt,Jump Shot,[],1642845,12.302890932982917,26.96078431372549,1610612755,16,9,2026-03-18T02:23:36Z,580000,False,115.0,63.0,1,left,V. Edgecombe 13' pullup Jump Shot (4 PTS) (D. Barlow 1 AST),"[1642845, 1631230]",1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Right,13.13,Made,4.0,D. Barlow,1631230.0,1.0,,,,,,,,,,,,,,
60,PT06M51.00S,2026-03-18T02:23:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,85.75886990801577,46.568627450980394,1610612743,16,9,2026-03-18T02:27:20Z,600000,False,-17.0,81.0,1,right,MISS A. Gordon 8' driving floating Shot,[203932],1610612743.0,DEN,driving floating,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,8.32,Missed,,,,,,,,,,,,,,,,,,
61,PT06M48.00S,2026-03-18T02:23:53.0Z,1,REGULAR,rebound,defensive,[],1631230,,,1610612755,16,9,2026-03-18T02:23:57Z,610000,False,,,0,,D. Barlow REBOUND (Off:1 Def:1),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,60.0,2.0,1.0,1.0,,,,,,,,
62,PT06M36.00S,2026-03-18T02:24:05.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629656,5.995400788436268,41.17647058823529,1610612755,16,9,2026-03-18T02:27:49Z,620000,False,44.0,4.0,1,left,MISS Q. Grimes driving Layup,[1629656],1610612755.0,PHI,driving,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
63,PT06M35.00S,2026-03-18T02:24:06.3Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612743,16,9,2026-03-18T02:24:10Z,630000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,
64,PT06M31.00S,2026-03-18T02:24:12.9Z,1,REGULAR,foul,personal,['2freethrow'],1642845,,,1610612743,16,9,2026-03-18T02:24:26Z,640000,False,,,0,,V. Edgecombe shooting personal FOUL (1 PF) (Braun 2 FT),"[1642845, 1631128]",1610612755.0,PHI,shooting,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,,,,201245.0,,,,,,,,,,1.0,0.0,Braun,1631128.0
66,PT06M31.00S,2026-03-18T02:24:37.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631128,,,1610612743,17,9,2026-03-18T02:24:37Z,660000,False,,,0,,C. Braun Free Throw 1 of 2 (4 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
67,PT06M31.00S,2026-03-18T02:24:38.2Z,1,REGULAR,substitution,out,[],1629661,,,1610612743,17,9,2026-03-18T02:24:42Z,670000,False,,,0,,SUB out: C. Johnson,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M31.00S,2026-03-18T02:24:38.2Z,1,REGULAR,substitution,in,[],203501,,,1610612743,17,9,2026-03-18T02:24:42Z,680000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M31.00S,2026-03-18T02:24:57.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631128,,,1610612743,18,9,2026-03-18T02:24:57Z,690000,False,,,0,,C. Braun Free Throw 2 of 2 (5 PTS),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
70,PT06M18.00S,2026-03-18T02:25:11.3Z,1,REGULAR,3pt,Jump Shot,[],1642348,30.962549277266753,30.14705882352941,1610612755,18,9,2026-03-18T02:29:10Z,700000,False,99.0,239.0,1,left,MISS J. Edwards 25' pullup 3PT,[1642348],1610612755.0,PHI,pullup,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
71,PT06M14.00S,2026-03-18T02:25:15.3Z,1,REGULAR,rebound,offensive,[],1629656,,,1610612755,18,9,2026-03-18T02:25:17Z,710000,False,,,0,,Q. Grimes REBOUND (Off:1 Def:0),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,70.0,1.0,0.0,1.0,,,,,,,,
74,PT06M13.00S,2026-03-18T02:25:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629656,5.338370565045992,45.588235294117645,1610612755,18,11,2026-03-18T02:30:26Z,740000,False,22.0,-2.0,1,left,Q. Grimes putback Layup (2 PTS),[1629656],1610612755.0,PHI,putback,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,,,,,,,,,,,,,,,,,
75,PT05M59.00S,2026-03-18T02:25:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,87.33574244415243,56.127450980392155,1610612743,20,11,2026-03-18T02:25:37Z,750000,False,31.0,67.0,1,right,N. Jokić 7' fadeaway Jump Shot (2 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,fadeaway,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,7.32,Made,2.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
77,PT05M51.00S,2026-03-18T02:25:37.4Z,1,REGULAR,3pt,Jump Shot,[],1629656,27.677398160315374,81.12745098039215,1610612755,20,14,2026-03-18T02:25:42Z,770000,False,-156.0,208.0,1,left,Q. Grimes 25' 3PT step back (5 PTS),[1629656],1610612755.0,PHI,step back,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.95,Made,5.0,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2026-03-18T02:25:43.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,20,14,2026-03-18T02:25:47Z,780000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1641737]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,,,Bona,1641737.0,,,,
79,PT05M45.00S,2026-03-18T02:25:43.1Z,1,REGULAR,steal,,[],1641737,,,1610612755,20,14,2026-03-18T02:25:45Z,790000,False,,,0,,A. Bona STEAL (1 STL),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
80,PT05M40.00S,2026-03-18T02:25:50.9Z,1,REGULAR,turnover,traveling,[],1641737,,,1610612755,20,14,2026-03-18T02:25:57Z,800000,False,,,0,,A. Bona traveling TURNOVER (1 TO),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,1.0,,,,,,,,,,,,
81,PT05M40.00S,2026-03-18T02:25:55.1Z,1,REGULAR,substitution,out,[],1641737,,,1610612743,20,14,2026-03-18T02:26:17Z,810000,False,,,0,,SUB out: A. Bona,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M40.00S,2026-03-18T02:25:55.1Z,1,REGULAR,substitution,out,[],1642845,,,1610612743,20,14,2026-03-18T02:26:17Z,820000,False,,,0,,SUB out: V. Edgecombe,[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M40.00S,2026-03-18T02:25:55.1Z,1,REGULAR,substitution,in,[],203083,,,1610612743,20,14,2026-03-18T02:26:17Z,830000,False,,,0,,SUB in: A. Drummond,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M40.00S,2026-03-18T02:25:55.1Z,1,REGULAR,substitution,in,[],1626166,,,1610612743,20,14,2026-03-18T02:26:17Z,840000,False,,,0,,SUB in: C. Payne,[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M31.00S,2026-03-18T02:26:20.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203932,86.81011826544021,3.1862745098039214,1610612743,20,14,2026-03-18T02:26:25Z,850000,False,-234.0,71.0,1,right,MISS A. Gordon 24' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,24.48,Missed,,,,,,,,,,,,,,,,,,
