actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
19,PT10M50.00S,2026-02-12T02:13:23.6Z,1,REGULAR,rebound,defensive,[],1641713,,,1610612763,2,6,2026-02-12T02:13:26Z,190000,False,,,0,,G. Jackson REBOUND (Off:0 Def:1),[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
20,PT10M37.00S,2026-02-12T02:13:37.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641713,7.30946123521682,50.245098039215684,1610612763,2,6,2026-02-12T02:13:42Z,200000,False,-1.0,16.0,1,left,MISS G. Jackson driving DUNK,[1641713],1610612763.0,MEM,driving,,,Jackson,G. Jackson,,,,,Restricted Area,0-8 Center,1.62,Missed,,,,,,,,,,,,,,,,,,
21,PT10M35.00S,2026-02-12T02:13:39.4Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,2,6,2026-02-12T02:13:42Z,210000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,,,
22,PT10M18.00S,2026-02-12T02:13:56.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631124,92.46057818659659,44.85294117647059,1610612743,4,6,2026-02-12T02:14:04Z,220000,False,-26.0,18.0,1,right,J. Strawther driving reverse Layup (2 PTS) (N. Jokić 1 AST),"[1631124, 203999]",1610612743.0,DEN,driving reverse,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,3.16,Made,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
24,PT09M53.00S,2026-02-12T02:14:20.2Z,1,REGULAR,3pt,Jump Shot,[],1629660,24.78646517739816,85.7843137254902,1610612763,4,6,2026-02-12T02:14:24Z,240000,False,-179.0,180.0,1,left,MISS T. Jerome 25' 3PT,[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2026-02-12T02:14:22.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,6,2026-02-12T02:14:24Z,250000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,
26,PT09M47.00S,2026-02-12T02:14:26.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631124,74.06373193166885,14.215686274509803,1610612743,4,6,2026-02-12T02:16:43Z,260000,False,-179.0,191.0,1,right,MISS J. Strawther 26' running pullup 3PT,[1631124],1610612743.0,DEN,running pullup,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Left Center,26.19,Missed,,,,,,,,,,,,,,,,,,
27,PT09M45.00S,2026-02-12T02:14:28.0Z,1,REGULAR,rebound,defensive,[],203937,,,1610612763,4,6,2026-02-12T02:14:31Z,270000,False,,,0,,K. Anderson REBOUND (Off:0 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,
28,PT09M33.00S,2026-02-12T02:14:40.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642942,7.703679369250986,52.94117647058824,1610612763,4,6,2026-02-12T02:17:28Z,280000,False,-15.0,20.0,1,left,MISS J. Mashack driving finger roll Layup,[1642942],1610612763.0,MEM,driving finger roll,,,Mashack,J. Mashack,,,,,Restricted Area,0-8 Center,2.47,Missed,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2026-02-12T02:14:41.3Z,1,REGULAR,rebound,offensive,[],203937,,,1610612763,4,6,2026-02-12T02:17:28Z,290000,False,,,0,,K. Anderson REBOUND (Off:1 Def:1),[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,28.0,2.0,1.0,1.0,,,,
30,PT09M27.00S,2026-02-12T02:14:46.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629660,25.18068331143233,84.31372549019608,1610612763,4,6,2026-02-12T02:14:52Z,300000,False,-172.0,184.0,1,left,MISS T. Jerome 25' pullup 3PT,[1629660],1610612763.0,MEM,pullup,,,Jerome,T. Jerome,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
31,PT09M24.00S,2026-02-12T02:14:49.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,4,6,2026-02-12T02:14:52Z,310000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,30.0,2.0,2.0,0.0,,,,
32,PT09M19.00S,2026-02-12T02:14:55.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631128,92.32917214191852,43.627450980392155,1610612743,6,6,2026-02-12T02:15:12Z,320000,False,-32.0,20.0,1,right,C. Braun running Layup (2 PTS) (J. Murray 1 AST),"[1631128, 1627750]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.74,Made,2.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
34,PT09M05.00S,2026-02-12T02:15:07.7Z,1,REGULAR,3pt,Jump Shot,[],1642377,32.670827858081466,61.274509803921575,1610612763,6,9,2026-02-12T02:15:15Z,340000,False,-56.0,255.0,1,left,J. Wells 26' 3PT  (6 PTS) (G. Jackson 1 AST),"[1642377, 1641713]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Center,26.08,Made,6.0,G. Jackson,1641713.0,1.0,,,,,,,,,,,,,,
36,PT08M48.00S,2026-02-12T02:15:25.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,92.85479632063075,55.63725490196079,1610612743,8,9,2026-02-12T02:19:21Z,360000,False,28.0,15.0,1,right,C. Braun driving Layup (4 PTS) (N. Jokić 2 AST),"[1631128, 203999]",1610612743.0,DEN,driving,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,3.18,Made,4.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
38,PT08M30.00S,2026-02-12T02:15:42.8Z,1,REGULAR,3pt,Jump Shot,[],1641713,16.507884362680684,3.431372549019608,1610612763,8,9,2026-02-12T02:15:47Z,380000,False,233.0,103.0,1,left,MISS G. Jackson 25' 3PT,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,25.44,Missed,,,,,,,,,,,,,,,,,,
39,PT08M27.00S,2026-02-12T02:15:45.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,8,9,2026-02-12T02:15:47Z,390000,False,,,0,,N. Jokić REBOUND (Off:0 Def:3),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,38.0,3.0,3.0,0.0,,,,
40,PT08M17.00S,2026-02-12T02:15:56.6Z,1,REGULAR,2pt,Jump Shot,[],1629661,75.3777923784494,33.57843137254902,1610612743,8,9,2026-02-12T02:20:43Z,400000,False,-82.0,179.0,1,right,MISS C. Johnson 19' step back Shot,[1629661],1610612743.0,DEN,step back,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,19.68,Missed,,,,,,,,,,,,,,,,,,
41,PT08M16.00S,2026-02-12T02:15:57.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,8,9,2026-02-12T02:16:02Z,410000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,40.0,,,,,,,
42,PT08M16.00S,2026-02-12T02:16:00.9Z,1,REGULAR,foul,personal,[],1642942,,,1610612743,8,9,2026-02-12T02:16:09Z,420000,False,,,0,,J. Mashack loose ball personal FOUL (1 PF),"[1642942, 203999]",1610612763.0,MEM,loose ball,,,Mashack,J. Mashack,,,,,Restricted Area,0-8 Center,,,,,,,1627524.0,,1.0,0.0,Jokić,203999.0,,,,,,,,
44,PT08M13.00S,2026-02-12T02:16:27.0Z,1,REGULAR,foul,offensive,[],1631128,,,1610612743,8,9,2026-02-12T02:17:00Z,440000,False,,,0,,C. Braun offensive FOUL (1 PF),"[1631128, 1642377]",1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,1627524.0,,1.0,0.0,Wells,1642377.0,,,,,,,,
46,PT08M13.00S,2026-02-12T02:16:27.0Z,1,REGULAR,turnover,offensive foul,[],1631128,,,1610612743,8,9,2026-02-12T02:16:27Z,460000,False,,,0,,C. Braun offensive foul TURNOVER (1 TO),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,1627524.0,1.0,,,,,,,,,,,,
47,PT08M13.00S,2026-02-12T02:16:35.1Z,1,REGULAR,substitution,out,[],1641713,,,1610612763,8,9,2026-02-12T02:16:38Z,470000,False,,,0,,SUB out: G. Jackson,[1641713],1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M13.00S,2026-02-12T02:16:35.1Z,1,REGULAR,substitution,in,[],1641765,,,1610612763,8,9,2026-02-12T02:16:38Z,480000,False,,,0,,SUB in: O. Prosper,[1641765],1610612763.0,MEM,,,,Prosper,O. Prosper,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M13.00S,2026-02-12T02:16:46.4Z,1,REGULAR,substitution,out,[],1642942,,,1610612763,8,9,2026-02-12T02:16:50Z,490000,False,,,0,,SUB out: J. Mashack,[1642942],1610612763.0,MEM,,,,Mashack,J. Mashack,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT08M13.00S,2026-02-12T02:16:46.4Z,1,REGULAR,substitution,in,[],203484,,,1610612763,8,9,2026-02-12T02:16:50Z,500000,False,,,0,,SUB in: K. Caldwell-Pope,[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M59.00S,2026-02-12T02:17:11.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629660,7.046649145860711,56.372549019607845,1610612763,8,9,2026-02-12T02:17:19Z,510000,False,-32.0,14.0,1,left,MISS T. Jerome reverse Layup,[1629660],1610612763.0,MEM,reverse,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,3.47,Missed,,,,,,,,,,,,,,,,,,
52,PT07M58.00S,2026-02-12T02:17:12.5Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,8,9,2026-02-12T02:17:19Z,520000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,51.0,2.0,2.0,0.0,,,,
53,PT07M52.00S,2026-02-12T02:17:18.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.85479632063075,55.88235294117647,1610612743,10,9,2026-02-12T02:22:32Z,530000,False,29.0,15.0,1,right,N. Jokić driving Layup (2 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,3.29,Made,2.0,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
55,PT07M45.00S,2026-02-12T02:17:27.2Z,1,REGULAR,foul,personal,['2freethrow'],1629661,,,1610612763,10,9,2026-02-12T02:17:35Z,550000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (Jerome 2 FT),"[1629661, 1629660]",1610612743.0,DEN,shooting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,1627524.0,,1.0,0.0,Jerome,1629660.0,,,,,,,,
57,PT07M45.00S,2026-02-12T02:17:54.4Z,1,REGULAR,freethrow,1 of 2,[],1629660,,,1610612763,10,10,2026-02-12T02:18:14Z,570000,False,,,0,,T. Jerome Free Throw 1 of 2 (1 PTS),[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
58,PT07M45.00S,2026-02-12T02:17:54.4Z,1,REGULAR,freethrow,2 of 2,[],1629660,,,1610612763,10,10,2026-02-12T02:18:14Z,580000,False,,,0,,MISS T. Jerome Free Throw 2 of 2,[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
59,PT07M42.00S,2026-02-12T02:17:57.4Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612743,10,10,2026-02-12T02:18:14Z,590000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,58.0,1.0,1.0,0.0,,,,
60,PT07M22.00S,2026-02-12T02:18:31.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.38699080157687,49.754901960784316,1610612743,12,10,2026-02-12T02:18:37Z,600000,False,-1.0,57.0,1,right,N. Jokić turnaround Hook (4 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,5.67,Made,4.0,,,,,,,,,,,,,,,,,
61,PT07M22.00S,2026-02-12T02:18:36.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612763,12,10,2026-02-12T02:18:36Z,610000,False,,,0,,MEM Timeout,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M22.00S,2026-02-12T02:20:58.8Z,1,REGULAR,substitution,out,[],203937,,,1610612763,12,10,2026-02-12T02:21:20Z,620000,False,,,0,,SUB out: K. Anderson,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M22.00S,2026-02-12T02:20:58.8Z,1,REGULAR,substitution,out,[],1629660,,,1610612763,12,10,2026-02-12T02:21:20Z,630000,False,,,0,,SUB out: T. Jerome,[1629660],1610612763.0,MEM,,,,Jerome,T. Jerome,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M22.00S,2026-02-12T02:20:58.8Z,1,REGULAR,substitution,in,[],1630590,,,1610612763,12,10,2026-02-12T02:21:20Z,640000,False,,,0,,SUB in: S. Pippen Jr.,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M22.00S,2026-02-12T02:20:58.8Z,1,REGULAR,substitution,in,[],1641707,,,1610612763,12,10,2026-02-12T02:21:20Z,650000,False,,,0,,SUB in: T. Hendricks,[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M06.00S,2026-02-12T02:21:43.8Z,1,REGULAR,turnover,bad pass,[],1641707,,,1610612763,12,10,2026-02-12T02:24:32Z,660000,False,,,0,,T. Hendricks bad pass TURNOVER (1 TO),"[1641707, 1629661]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,,,Johnson,1629661.0,,
67,PT07M06.00S,2026-02-12T02:21:43.8Z,1,REGULAR,steal,,[],1629661,,,1610612743,12,10,2026-02-12T02:21:45Z,670000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
68,PT07M01.00S,2026-02-12T02:21:49.2Z,1,REGULAR,turnover,lost ball,[],203999,,,1610612743,12,10,2026-02-12T02:21:59Z,680000,False,,,0,,N. Jokić lost ball TURNOVER (2 TO),"[203999, 1641707]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,,,,,,2.0,,,,,,,,,Hendricks,1641707.0,,
69,PT07M01.00S,2026-02-12T02:21:49.2Z,1,REGULAR,steal,,[],1641707,,,1610612763,12,10,2026-02-12T02:21:50Z,690000,False,,,0,,T. Hendricks STEAL (1 STL),[1641707],1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
70,PT06M56.00S,2026-02-12T02:21:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641765,7.046649145860711,47.30392156862745,1610612763,12,12,2026-02-12T02:22:03Z,700000,False,13.0,14.0,1,left,O. Prosper driving Layup (2 PTS) (T. Hendricks 1 AST),"[1641765, 1641707]",1610612763.0,MEM,driving,,,Prosper,O. Prosper,,,,,Restricted Area,0-8 Center,1.92,Made,2.0,T. Hendricks,1641707.0,1.0,,,,,,,,,,,,,,
72,PT06M41.00S,2026-02-12T02:22:08.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,89.04402102496715,47.794117647058826,1610612743,14,12,2026-02-12T02:25:42Z,720000,False,-11.0,50.0,1,right,N. Jokić turnaround Hook (6 PTS) (J. Murray 2 AST),"[203999, 1627750]",1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,6.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,,,
74,PT06M30.00S,2026-02-12T02:22:19.1Z,1,REGULAR,3pt,Jump Shot,[],1641707,27.020367936925098,13.480392156862745,1610612763,14,15,2026-02-12T02:22:24Z,740000,False,183.0,201.0,1,left,T. Hendricks 27' 3PT  (3 PTS) (S. Pippen Jr. 1 AST),"[1641707, 1630590]",1610612763.0,MEM,,,,Hendricks,T. Hendricks,,,,,Above the Break 3,24+ Right Center,27.19,Made,3.0,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,,,,,
76,PT06M13.00S,2026-02-12T02:22:36.6Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,14,15,2026-02-12T02:22:54Z,760000,False,,,0,,N. Jokić bad pass TURNOVER (3 TO),"[203999, 203484]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,3.0,,,,,,,,,Caldwell-Pope,203484.0,,
77,PT06M13.00S,2026-02-12T02:22:36.6Z,1,REGULAR,steal,,[],203484,,,1610612763,14,15,2026-02-12T03:02:11Z,770000,False,,,0,,K. Caldwell-Pope STEAL (1 STL),[203484],1610612763.0,MEM,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
78,PT06M10.00S,2026-02-12T02:22:40.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630590,8.623521681997373,53.18627450980392,1610612763,14,15,2026-02-12T02:22:59Z,780000,False,-16.0,29.0,1,left,MISS S. Pippen Jr. running Layup - blocked,"[1630590, 1627750]",1610612763.0,MEM,running,,,Pippen Jr.,S. Pippen Jr.,,,,,Restricted Area,0-8 Center,3.27,Missed,,,,,,,,,,,,,,,,,Murray,1627750.0
79,PT06M10.00S,2026-02-12T02:22:40.8Z,1,REGULAR,block,,[],1627750,,,1610612763,14,15,2026-02-12T02:22:42Z,790000,False,,,0,,J. Murray BLOCK (1 BLK),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
80,PT06M10.00S,2026-02-12T02:22:40.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,14,15,2026-02-12T02:22:59Z,800000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,78.0,,,,,,,
82,PT06M10.00S,2026-02-12T02:22:45.6Z,1,REGULAR,substitution,out,[],1642377,,,1610612743,14,15,2026-02-12T02:22:56Z,820000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT06M10.00S,2026-02-12T02:22:45.6Z,1,REGULAR,substitution,in,[],1642285,,,1610612743,14,15,2026-02-12T02:22:56Z,830000,False,,,0,,SUB in: C. Spencer,[1642285],1610612763.0,MEM,,,,Spencer,C. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M57.00S,2026-02-12T02:23:09.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631124,91.93495400788436,55.392156862745104,1610612743,16,15,2026-02-12T02:27:43Z,840000,False,27.0,23.0,1,right,J. Strawther driving finger roll Layup (4 PTS) (J. Murray 3 AST),"[1631124, 1627750]",1610612743.0,DEN,driving finger roll,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,3.57,Made,4.0,J. Murray,1627750.0,3.0,,,,,,,,,,,,,,
86,PT05M38.00S,2026-02-12T02:23:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630590,18.347568988173457,61.51960784313726,1610612763,16,15,2026-02-12T02:23:31Z,860000,False,-58.0,120.0,1,left,MISS S. Pippen Jr. 13' step back Shot,[1630590],1610612763.0,MEM,step back,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.31,Missed,,,,,,,,,,,,,,,,,,
87,PT05M35.00S,2026-02-12T02:23:30.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612743,16,15,2026-02-12T02:23:31Z,870000,False,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,86.0,2.0,2.0,0.0,,,,
