actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M24.00S,2025-11-08T03:14:38.3Z,1,REGULAR,3pt,Jump Shot,[],203932,31.61957950065703,34.80392156862745,1610612743,3,3,2025-11-08T03:14:42Z,160000,False,76.0,245.0,1,left,A. Gordon 25' 3PT  (3 PTS) (N. Jokić 1 AST),"[203932, 203999]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Center,25.62,Made,3.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
18,PT10M07.00S,2025-11-08T03:14:54.1Z,1,REGULAR,3pt,Jump Shot,[],1630541,68.9388961892247,75.73529411764706,1610612744,3,3,2025-11-08T03:15:00Z,180000,False,129.0,239.0,1,right,MISS M. Moody 27' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,27.19,Missed,,,,,,,,,,,,,,,,,,
19,PT10M04.00S,2025-11-08T03:14:57.1Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,3,3,2025-11-08T03:15:00Z,190000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,
20,PT09M57.00S,2025-11-08T03:15:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631128,7.835085413929041,53.92156862745098,1610612743,5,3,2025-11-08T03:15:13Z,200000,False,-20.0,21.0,1,left,C. Braun cutting Layup (2 PTS) (N. Jokić 2 AST),"[1631128, 203999]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,2.88,Made,2.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
22,PT09M44.00S,2025-11-08T03:15:17.8Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,5,3,2025-11-08T03:15:21Z,220000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 203932]",1610612744.0,GSW,,,,Green,D. Green,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Gordon,203932.0,,,,,,
23,PT09M44.00S,2025-11-08T03:15:17.8Z,1,REGULAR,steal,,[],203932,,,1610612743,5,3,2025-11-08T03:15:19Z,230000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
24,PT09M39.00S,2025-11-08T03:15:23.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631128,6.258212877792378,53.67647058823529,1610612743,7,3,2025-11-08T03:15:31Z,240000,False,-18.0,6.0,1,left,C. Braun running Layup (4 PTS) (N. Jokić 3 AST),"[1631128, 203999]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,1.94,Made,4.0,N. Jokić,203999.0,3.0,,,,,,,,,,,,,,
26,PT09M16.00S,2025-11-08T03:15:45.2Z,1,REGULAR,3pt,Jump Shot,[],1641764,92.32917214191852,5.147058823529411,1610612744,7,3,2025-11-08T03:15:54Z,260000,False,-224.0,20.0,1,right,MISS B. Podziemski 3PT,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,22.52,Missed,,,,,,,,,,,,,,,,,,
27,PT09M08.00S,2025-11-08T03:15:53.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,7,3,2025-11-08T03:15:54Z,270000,False,,,0,,C. Braun REBOUND (Off:0 Def:2),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,
28,PT09M02.00S,2025-11-08T03:16:00.0Z,1,REGULAR,3pt,Jump Shot,[],1631128,28.33442838370565,24.264705882352942,1610612743,7,3,2025-11-08T03:16:05Z,280000,False,129.0,214.0,1,left,MISS C. Braun 24' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,24.95,Missed,,,,,,,,,,,,,,,,,,
29,PT08M59.00S,2025-11-08T03:16:03.0Z,1,REGULAR,rebound,defensive,[],1641764,,,1610612744,7,3,2025-11-08T03:16:30Z,290000,False,,,0,,B. Podziemski REBOUND (Off:0 Def:1),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Above the Break 3,24+ Right Center,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT08M53.00S,2025-11-08T03:16:08.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202710,71.17279894875165,80.63725490196079,1610612744,7,3,2025-11-08T03:17:11Z,300000,False,153.0,218.0,1,right,MISS J. Butler III 26' running pullup 3PT,[202710],1610612744.0,GSW,running pullup,,,Butler III,J. Butler III,,,,,Above the Break 3,24+ Right Center,26.69,Missed,,,,,,,,,,,,,,,,,,
31,PT08M51.00S,2025-11-08T03:16:10.5Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,7,3,2025-11-08T03:16:13Z,310000,False,,,0,,C. Braun REBOUND (Off:0 Def:3),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,,30.0,3.0,3.0,0.0,,,,,,,,,
32,PT08M40.00S,2025-11-08T03:16:21.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,8.229303547963205,62.745098039215684,1610612743,7,3,2025-11-08T03:16:29Z,320000,False,-64.0,25.0,1,left,MISS A. Gordon 6' turnaround bank Shot,[203932],1610612743.0,DEN,turnaround bank,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,6.84,Missed,,,,,,,,,,,,,,,,,,
33,PT08M37.00S,2025-11-08T03:16:24.9Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,7,3,2025-11-08T03:16:29Z,330000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
34,PT08M17.00S,2025-11-08T03:16:45.0Z,1,REGULAR,3pt,Jump Shot,[],1630541,72.61826544021025,19.362745098039216,1610612744,7,3,2025-11-08T03:16:49Z,340000,False,-153.0,205.0,1,right,MISS M. Moody 25' 3PT,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
35,PT08M14.00S,2025-11-08T03:16:48.0Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,7,3,2025-11-08T03:16:49Z,350000,False,,,0,,C. Braun REBOUND (Off:0 Def:4),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,,,34.0,4.0,4.0,0.0,,,,,,,,,
37,PT07M52.00S,2025-11-08T03:17:26.7Z,1,REGULAR,2pt,Jump Shot,[],1631128,26.412614980289092,43.84957107843137,1610612743,9,3,2025-11-08T03:19:20Z,370000,False,31.0,196.0,1,left,C. Braun 19' pullup Jump Shot (6 PTS),[1631128],1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Mid-Range,16-24 Center,19.82,Made,6.0,,,,,,,,,,,,,,,,,
41,PT07M35.00S,2025-11-08T03:17:43.5Z,1,REGULAR,2pt,Jump Shot,[],203110,79.31997371879106,62.745098039215684,1610612744,9,3,2025-11-08T03:17:54Z,380000,False,64.0,142.0,1,right,MISS D. Green 15' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,Mid-Range,8-16 Center,15.55,Missed,,,,,,,,,,,,,,,,,,
42,PT07M34.00S,2025-11-08T03:17:44.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,9,3,2025-11-08T03:17:54Z,390000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,8-16 Center,,,,,,,,41.0,,,,,,,,,,,,
44,PT07M22.00S,2025-11-08T03:18:06.9Z,1,REGULAR,3pt,Jump Shot,[],1627750,31.09395532194481,28.921568627450984,1610612743,12,3,2025-11-08T03:18:11Z,410000,False,105.0,240.0,1,left,J. Murray 26' 3PT  (3 PTS) (N. Jokić 4 AST),"[1627750, 203999]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,26.19,Made,3.0,N. Jokić,203999.0,4.0,,,,,,,,,,,,,,
46,PT07M21.00S,2025-11-08T03:18:15.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,12,3,2025-11-08T03:18:15Z,430000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT07M06.00S,2025-11-08T03:21:46.9Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,12,3,2025-11-08T03:21:50Z,440000,False,,,0,,D. Green bad pass TURNOVER (2 TO),"[203110, 1631128]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,2.0,Braun,1631128.0,,,,,,
48,PT07M06.00S,2025-11-08T03:21:46.9Z,1,REGULAR,steal,,[],1631128,,,1610612743,12,3,2025-11-08T03:21:48Z,450000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
49,PT06M51.00S,2025-11-08T03:22:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627750,6.389618922470433,44.11764705882353,1610612743,12,3,2025-11-08T03:22:08Z,460000,False,29.0,8.0,1,left,MISS J. Murray driving reverse Layup - blocked,"[1627750, 1630228]",1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,Kuminga,1630228.0,,,,
50,PT06M51.00S,2025-11-08T03:22:01.9Z,1,REGULAR,block,,[],1630228,,,1610612743,12,3,2025-11-08T03:22:04Z,470000,False,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
51,PT06M47.00S,2025-11-08T03:22:05.9Z,1,REGULAR,rebound,offensive,[],1627750,,,1610612743,12,3,2025-11-08T03:22:08Z,480000,False,,,0,,J. Murray REBOUND (Off:1 Def:0),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,49.0,1.0,0.0,1.0,,,,,,,,,
52,PT06M44.00S,2025-11-08T03:22:08.5Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203932,24.78646517739816,86.51960784313727,1610612743,12,3,2025-11-08T03:22:12Z,490000,False,-183.0,180.0,1,left,MISS A. Gordon 25' 3PT,[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,25.68,Missed,,,,,,,,,,,,,,,,,,
53,PT06M41.00S,2025-11-08T03:22:11.5Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,12,3,2025-11-08T03:22:12Z,500000,False,,,0,,M. Moody REBOUND (Off:0 Def:2),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Left Center,,,,,,,,52.0,2.0,2.0,0.0,,,,,,,,,
54,PT06M34.00S,2025-11-08T03:22:21.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202710,88.51839684625493,55.88235294117647,1610612744,12,5,2025-11-08T03:22:31Z,510000,False,29.0,55.0,1,right,J. Butler III 6' turnaround bank Jump Shot (2 PTS) (D. Green 1 AST),"[202710, 203110]",1610612744.0,GSW,turnaround bank,,,Butler III,J. Butler III,,,,,In The Paint (Non-RA),0-8 Center,6.27,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
56,PT06M34.00S,2025-11-08T03:22:26.1Z,1,REGULAR,foul,personal,['1freethrow'],1627750,,,1610612744,12,5,2025-11-08T03:22:36Z,530000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Butler III 1 FT),"[1627750, 202710]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1148.0,,,,,,,,,,1.0,0.0,Butler III,202710.0
58,PT06M34.00S,2025-11-08T03:22:41.1Z,1,REGULAR,substitution,out,[],1630541,,,1610612744,12,5,2025-11-08T03:23:28Z,550000,False,,,0,,SUB out: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M34.00S,2025-11-08T03:22:41.1Z,1,REGULAR,substitution,in,[],1627741,,,1610612744,12,5,2025-11-08T03:23:28Z,560000,False,,,0,,SUB in: B. Hield,[1627741],1610612744.0,GSW,,,,Hield,B. Hield,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M34.00S,2025-11-08T03:22:54.6Z,1,REGULAR,freethrow,1 of 1,[],202710,,,1610612744,12,6,2025-11-08T03:22:54Z,570000,False,,,0,,J. Butler III Free Throw 1 of 1 (3 PTS),[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
61,PT06M19.00S,2025-11-08T03:23:12.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,7.178055190538765,49.50980392156863,1610612743,14,6,2025-11-08T03:23:24Z,580000,False,2.0,15.0,1,left,N. Jokić cutting Layup (2 PTS) (C. Johnson 1 AST),"[203999, 1629661]",1610612743.0,DEN,cutting,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,1.52,Made,2.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,
63,PT06M05.00S,2025-11-08T03:23:25.0Z,1,REGULAR,3pt,Jump Shot,[],1630228,68.41327201051249,75.0,1610612744,14,6,2025-11-08T03:23:30Z,600000,False,125.0,244.0,1,right,MISS J. Kuminga 27' 3PT,[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,27.45,Missed,,,,,,,,,,,,,,,,,,
64,PT06M02.00S,2025-11-08T03:23:28.0Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,14,6,2025-11-08T03:23:30Z,610000,False,,,0,,C. Braun REBOUND (Off:0 Def:5),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Right Center,,,,,,,,63.0,5.0,5.0,0.0,,,,,,,,,
65,PT05M49.00S,2025-11-08T03:23:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,9.543363994743759,48.529411764705884,1610612743,14,6,2025-11-08T03:23:48Z,620000,False,7.0,37.0,1,left,MISS A. Gordon driving Layup,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,3.79,Missed,,,,,,,,,,,,,,,,,,
66,PT05M47.00S,2025-11-08T03:23:44.2Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,14,6,2025-11-08T03:23:44Z,630000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,65.0,1.0,0.0,1.0,,,,,,,,,
67,PT05M42.00S,2025-11-08T03:23:49.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,7.835085413929041,49.50980392156863,1610612743,16,6,2025-11-08T03:23:55Z,640000,False,2.0,21.0,1,left,N. Jokić driving finger roll Layup (4 PTS) (C. Johnson 2 AST),"[203999, 1629661]",1610612743.0,DEN,driving finger roll,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,2.12,Made,4.0,C. Johnson,1629661.0,2.0,,,,,,,,,,,,,,
69,PT05M29.00S,2025-11-08T03:24:00.9Z,1,REGULAR,2pt,Jump Shot,[],1641764,77.08607095926413,37.745098039215684,1610612744,16,6,2025-11-08T03:24:06Z,660000,False,-61.0,163.0,1,right,MISS B. Podziemski 17' pullup Shot,[1641764],1610612744.0,GSW,pullup,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Left Center,17.41,Missed,,,,,,,,,,,,,,,,,,
70,PT05M27.00S,2025-11-08T03:24:02.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,16,6,2025-11-08T03:24:06Z,670000,False,,,0,,A. Gordon REBOUND (Off:0 Def:3),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,69.0,3.0,3.0,0.0,,,,,,,,,
71,PT05M19.00S,2025-11-08T03:24:11.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,16.63929040735874,6.862745098039216,1610612743,16,6,2025-11-08T03:24:17Z,680000,False,216.0,104.0,1,left,MISS C. Johnson step back 3PT,[1629661],1610612743.0,DEN,step back,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,23.94,Missed,,,,,,,,,,,,,,,,,,
72,PT05M17.00S,2025-11-08T03:24:13.1Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,16,6,2025-11-08T03:24:17Z,690000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Right Center,,,,,,,,71.0,1.0,1.0,0.0,,,,,,,,,
73,PT05M05.00S,2025-11-08T03:24:25.4Z,1,REGULAR,turnover,bad pass,[],1641764,,,1610612744,16,6,2025-11-08T03:26:05Z,700000,False,,,0,,B. Podziemski bad pass TURNOVER (1 TO),"[1641764, 1629661]",1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,Johnson,1629661.0,,,,,,
74,PT05M05.00S,2025-11-08T03:24:25.4Z,1,REGULAR,steal,,[],1629661,,,1610612743,16,6,2025-11-08T03:24:28Z,710000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
75,PT04M56.00S,2025-11-08T03:24:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203932,6.521024967148489,47.794117647058826,1610612743,18,6,2025-11-08T03:24:51Z,720000,False,11.0,9.0,1,left,A. Gordon driving Layup (5 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.41,Made,5.0,,,,,,,,,,,,,,,,,
76,PT04M56.00S,2025-11-08T03:24:40.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,18,6,2025-11-08T03:24:40Z,730000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,out,[],1629661,,,1610612744,18,6,2025-11-08T03:27:52Z,740000,False,,,0,,SUB out: C. Johnson,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,out,[],1627750,,,1610612744,18,6,2025-11-08T03:27:52Z,750000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,out,[],1641764,,,1610612744,18,6,2025-11-08T03:27:52Z,760000,False,,,0,,SUB out: B. Podziemski,[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,out,[],202710,,,1610612744,18,6,2025-11-08T03:27:52Z,770000,False,,,0,,SUB out: J. Butler III,[202710],1610612744.0,GSW,,,,Butler III,J. Butler III,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,in,[],203501,,,1610612744,18,6,2025-11-08T03:27:52Z,780000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612743.0,DEN,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,in,[],1631212,,,1610612744,18,6,2025-11-08T03:27:52Z,790000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,in,[],1630311,,,1610612744,18,6,2025-11-08T03:27:52Z,800000,False,,,0,,SUB in: P. Spencer,[1630311],1610612744.0,GSW,,,,Spencer,P. Spencer,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M56.00S,2025-11-08T03:26:57.9Z,1,REGULAR,substitution,in,[],1642366,,,1610612744,18,6,2025-11-08T03:27:52Z,810000,False,,,0,,SUB in: Q. Post,[1642366],1610612744.0,GSW,,,,Post,Q. Post,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M34.00S,2025-11-08T03:28:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,91.5407358738502,44.85294117647059,1610612744,18,8,2025-11-08T03:28:27Z,820000,False,-26.0,27.0,1,right,D. Green driving Layup (5 PTS) (P. Spencer 1 AST),"[203110, 1630311]",1610612744.0,GSW,driving,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.73,Made,5.0,P. Spencer,1630311.0,1.0,,,,,,,,,,,,,,
87,PT04M18.00S,2025-11-08T03:28:35.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,7.703679369250986,49.50980392156863,1610612743,20,8,2025-11-08T03:28:40Z,840000,False,2.0,20.0,1,left,A. Gordon alley-oop DUNK (7 PTS) (N. Jokić 5 AST),"[203932, 203999]",1610612743.0,DEN,alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.01,Made,7.0,N. Jokić,203999.0,5.0,,,,,,,,,,,,,,
