actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
35,PT09M23.00S,2025-12-26T03:46:35.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,2,2025-12-26T03:46:37Z,340000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,34.0,,,,,,,,,,,2.0,2.0,0.0,,,,
36,PT09M08.00S,2025-12-26T03:46:55.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,10.33180026281209,51.470588235294116,1610612743,3,2,2025-12-26T03:51:23Z,350000,False,-7.0,45.0,1,left,MISS J. Murray driving reverse Layup - blocked,"[1627750, 1630183]",1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.52,Missed,,,,,,McDaniels,1630183.0,,,,,,,,,,,
37,PT09M08.00S,2025-12-26T03:46:55.0Z,1,REGULAR,block,,[],1630183,,,1610612743,3,2,2025-12-26T03:46:57Z,360000,False,,,0,,J. McDaniels BLOCK (1 BLK),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2025-12-26T03:46:55.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,3,2,2025-12-26T03:47:03Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,36.0,,,,,,,,,,,,,,,,,
40,PT09M01.00S,2025-12-26T03:47:16.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",203999,14.799605781865965,37.745098039215684,1610612743,5,2,2025-12-26T04:51:25Z,390000,False,61.0,87.0,1,left,N. Jokić 10' driving Hook (5 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Right,10.61,Made,,5.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,
42,PT08M47.00S,2025-12-26T03:47:30.6Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612750,5,2,2025-12-26T03:53:02Z,410000,False,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 1642461]",1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Jones,1642461.0,,,,,,,
43,PT08M47.00S,2025-12-26T03:47:30.6Z,1,REGULAR,steal,,[],1642461,,,1610612743,5,2,2025-12-26T03:47:32Z,420000,False,,,0,,S. Jones STEAL (2 STL),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
44,PT08M41.00S,2025-12-26T03:47:38.9Z,1,REGULAR,turnover,traveling,[],1631212,,,1610612743,5,2,2025-12-26T03:47:49Z,430000,False,,,0,,P. Watson traveling TURNOVER (2 TO),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1162.0,2.0,,,,,,,,,
45,PT08M33.00S,2025-12-26T03:47:59.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,66.17936925098554,61.51960784313726,1610612750,5,5,2025-12-26T03:48:05Z,440000,False,58.0,265.0,1,right,A. Edwards 27' 3PT pullup (3 PTS) (J. Randle 2 AST),"[1630162, 203944]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,27.16,Made,,3.0,J. Randle,203944.0,2.0,,,,,,,,,,,,,
47,PT08M16.00S,2025-12-26T03:48:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,19.004599211563733,62.00980392156863,1610612743,7,5,2025-12-26T03:48:22Z,460000,False,-60.0,126.0,1,left,J. Murray 13' fadeaway Jump Shot (2 PTS),[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.96,Made,,2.0,,,,,,,,,,,,,,,,
