actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
24,PT10M12.00S,2022-10-18T23:38:10.7Z,1,REGULAR,block,,[],1628369,,,1610612755,7,2,2022-10-18T23:38:13Z,240000,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2022-10-18T23:38:10.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,7,2,2022-10-18T23:38:29Z,250000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,23.0,,,,,,,,,,,,,,,
27,PT10M09.00S,2022-10-18T23:38:30.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202699,18.478975032851512,43.872549019607845,1610612755,7,2,2022-10-18T23:41:10Z,270000,31.0,121.0,1,left,MISS T. Harris 12' fadeaway Shot,[202699],1610612755.0,PHI,fadeaway,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,12.5,Missed,,,,,,,,,,,,,,,,,,
28,PT10M07.00S,2022-10-18T23:38:32.1Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,7,2,2022-10-18T23:38:37Z,280000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,
29,PT10M04.00S,2022-10-18T23:38:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,93.11760840998686,48.03921568627451,1610612738,7,2,2022-10-18T23:38:48Z,290000,-10.0,12.0,1,right,MISS D. White running Layup - blocked,"[1628401, 203954]",1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,1.56,Missed,Embiid,203954.0,,,,,,,,,,,,,,,,
30,PT10M04.00S,2022-10-18T23:38:36.5Z,1,REGULAR,block,,[],203954,,,1610612738,7,2,2022-10-18T23:38:39Z,300000,,,0,,J. Embiid BLOCK (1 BLK),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT10M04.00S,2022-10-18T23:38:36.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,7,2,2022-10-18T23:38:48Z,310000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,,29.0,,,,,,,,,,,,,,,
33,PT09M59.00S,2022-10-18T23:39:03.3Z,1,REGULAR,foul,personal,[],200782,,,1610612738,7,2,2022-10-18T23:39:16Z,330000,,,0,,P. Tucker personal FOUL (1 PF),"[200782, 1628401]",1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Right,,,,,,,,,1148.0,,,,,,1.0,0.0,White,1628401.0,,
35,PT09M53.00S,2022-10-18T23:39:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201143,93.38042049934296,53.92156862745098,1610612738,7,2,2022-10-18T23:39:30Z,350000,20.0,10.0,1,right,MISS A. Horford cutting Layup,[201143],1610612738.0,BOS,cutting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,2.19,Missed,,,,,,,,,,,,,,,,,,
36,PT09M51.00S,2022-10-18T23:39:25.7Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,7,2,2022-10-18T23:39:30Z,360000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,
37,PT09M47.00S,2022-10-18T23:39:29.8Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,7,2,2022-10-18T23:39:37Z,370000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 203935]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,,,,,,,,,Smart,203935.0
38,PT09M47.00S,2022-10-18T23:39:29.8Z,1,REGULAR,steal,,[],203935,,,1610612738,7,2,2022-10-18T23:39:31Z,380000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
39,PT09M42.00S,2022-10-18T23:39:34.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628369,94.82588699080158,49.50980392156863,1610612738,9,2,2022-10-18T23:42:40Z,390000,-2.0,-4.0,1,right,J. Tatum running Layup (7 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.46,Made,,,,,,,,,7.0,M. Smart,203935.0,2.0,,,,,,
41,PT09M37.00S,2022-10-18T23:39:42.0Z,1,REGULAR,foul,offensive,[],1630178,,,1610612755,9,2,2022-10-18T23:39:53Z,410000,,,0,,T. Maxey charge offensive FOUL (1 PF),"[1630178, 1628401]",1610612755.0,PHI,charge,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1148.0,,,,,,1.0,0.0,White,1628401.0,,
43,PT09M37.00S,2022-10-18T23:39:42.0Z,1,REGULAR,turnover,offensive foul,[],1630178,,,1610612755,9,2,2022-10-18T23:39:42Z,430000,,,0,,T. Maxey offensive foul TURNOVER (1 TO),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1148.0,1.0,,,,,,,,,,
44,PT09M23.00S,2022-10-18T23:40:15.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,64.47109067017082,33.57843137254902,1610612738,9,2,2022-10-18T23:43:33Z,440000,-82.0,281.0,1,right,MISS J. Brown 29' step back 3PT,[1627759],1610612738.0,BOS,step back,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,29.32,Missed,,,,,,,,,,,,,,,,,,
45,PT09M19.00S,2022-10-18T23:40:19.0Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,9,2,2022-10-18T23:40:25Z,450000,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,44.0,1.0,0.0,1.0,,,,,,,,,,,,
46,PT09M14.00S,2022-10-18T23:40:23.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1627759,89.04402102496715,48.77450980392157,1610612738,9,2,2022-10-18T23:40:29Z,460000,-6.0,50.0,1,right,MISS J. Brown cutting Layup - blocked,"[1627759, 200782]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.09,Missed,Tucker,200782.0,,,,,,,,,,,,,,,,
47,PT09M14.00S,2022-10-18T23:40:23.5Z,1,REGULAR,block,,[],200782,,,1610612738,9,2,2022-10-18T23:40:25Z,470000,,,0,,P. Tucker BLOCK (1 BLK),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
48,PT09M14.00S,2022-10-18T23:40:23.5Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,9,2,2022-10-18T23:40:29Z,480000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),0-8 Center,,,,,46.0,1.0,1.0,0.0,,,,,,,,,,,,
49,PT08M52.00S,2022-10-18T23:40:45.9Z,1,REGULAR,3pt,Jump Shot,[],201935,34.247700394218136,32.1078431372549,1610612755,9,2,2022-10-18T23:45:34Z,490000,89.0,269.0,1,left,MISS J. Harden 28' step back 3PT,[201935],1610612755.0,PHI,step back,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,28.39,Missed,,,,,,,,,,,,,,,,,,
50,PT08M49.00S,2022-10-18T23:40:48.9Z,1,REGULAR,rebound,offensive,[],203954,,,1610612755,9,2,2022-10-18T23:40:57Z,500000,,,0,,J. Embiid REBOUND (Off:1 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,,,,,49.0,2.0,1.0,1.0,,,,,,,,,,,,
51,PT08M49.00S,2022-10-18T23:40:52.7Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612755,9,2,2022-10-18T23:41:05Z,510000,,,0,,A. Horford shooting personal FOUL (1 PF) (Embiid 2 FT),"[201143, 203954]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,101283.0,,,,,,1.0,0.0,Embiid,203954.0,,
53,PT08M49.00S,2022-10-18T23:41:17.7Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203954,,,1610612755,9,2,2022-10-18T23:41:17Z,530000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT08M49.00S,2022-10-18T23:41:17.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,9,2,2022-10-18T23:41:17Z,540000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,
55,PT08M49.00S,2022-10-18T23:41:34.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203954,,,1610612755,9,3,2022-10-18T23:41:34Z,550000,,,0,,J. Embiid Free Throw 2 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
56,PT08M35.00S,2022-10-18T23:41:51.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,74.85216819973719,13.480392156862745,1610612738,9,3,2022-10-18T23:42:00Z,560000,-183.0,184.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
57,PT08M33.00S,2022-10-18T23:41:53.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,3,2022-10-18T23:42:00Z,570000,,,0,,J. Embiid REBOUND (Off:1 Def:2),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,56.0,3.0,2.0,1.0,,,,,,,,,,,,
58,PT08M24.00S,2022-10-18T23:42:02.0Z,1,REGULAR,foul,personal,['3freethrow'],201143,,,1610612755,9,3,2022-10-18T23:46:09Z,580000,,,0,,A. Horford flagrant-type-1 personal FOUL (2 PF) (Harden 3 FT),"[201143, 201935]",1610612738.0,BOS,flagrant-type-1,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,101283.0,,,,,,2.0,0.0,Harden,201935.0,,
61,PT08M24.00S,2022-10-18T23:44:45.1Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,9,4,2022-10-18T23:47:28Z,610000,,,0,,J. Harden flagrant Free Throw 1 of 3 (1 PTS),[201935],1610612755.0,PHI,flagrant,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,,
62,PT08M24.00S,2022-10-18T23:44:45.1Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,9,5,2022-10-18T23:47:28Z,620000,,,0,,J. Harden flagrant Free Throw 2 of 3 (2 PTS),[201935],1610612755.0,PHI,flagrant,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,,
63,PT08M24.00S,2022-10-18T23:44:45.1Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,9,6,2022-10-18T23:47:28Z,630000,,,0,,J. Harden flagrant Free Throw 3 of 3 (3 PTS),[201935],1610612755.0,PHI,flagrant,,,Harden,J. Harden,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
67,PT08M24.00S,2022-10-18T23:47:16.8Z,1,REGULAR,substitution,out,[],201143,,,1610612738,9,6,2022-10-18T23:47:42Z,635000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT08M24.00S,2022-10-18T23:47:16.8Z,1,REGULAR,substitution,in,[],203943,,,1610612738,9,6,2022-10-18T23:47:42Z,637500,,,0,,SUB in: N. Vonleh,[203943],1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT08M14.00S,2022-10-18T23:47:18.7Z,1,REGULAR,foul,personal,[],203943,,,1610612738,9,6,2022-10-18T23:50:39Z,640000,,,0,,N. Vonleh personal FOUL (1 PF),"[203943, 203954]",1610612738.0,BOS,,,,Vonleh,N. Vonleh,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1626300.0,,,,,,1.0,0.0,Embiid,203954.0,,
69,PT08M04.00S,2022-10-18T23:47:45.0Z,1,REGULAR,3pt,Jump Shot,[],200782,14.011169513797633,96.81372549019608,1610612755,9,6,2022-10-18T23:47:52Z,690000,-234.0,79.0,1,left,MISS P. Tucker 24' 3PT,[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Left Corner 3,24+ Left,24.71,Missed,,,,,,,,,,,,,,,,,,
70,PT08M02.00S,2022-10-18T23:47:47.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,9,6,2022-10-18T23:47:52Z,700000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,
71,PT07M55.00S,2022-10-18T23:47:54.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.17279894875165,22.058823529411764,1610612738,9,6,2022-10-18T23:48:04Z,710000,-140.0,218.0,1,right,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
72,PT07M52.00S,2022-10-18T23:47:57.2Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,9,6,2022-10-18T23:48:04Z,720000,,,0,,J. Embiid REBOUND (Off:1 Def:3),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Left Center,,,,,71.0,4.0,3.0,1.0,,,,,,,,,,,,
73,PT07M47.00S,2022-10-18T23:48:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,9.806176084099869,45.09803921568628,1610612755,9,8,2022-10-18T23:51:10Z,730000,25.0,40.0,1,left,T. Harris running Layup (4 PTS) (J. Harden 1 AST),"[202699, 201935]",1610612755.0,PHI,running,,,Harris,T. Harris,,,,,In The Paint (Non-RA),0-8 Center,4.67,Made,,,,,,,,,4.0,J. Harden,201935.0,1.0,,,,,,
75,PT07M35.00S,2022-10-18T23:48:13.8Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,9,8,2022-10-18T23:48:23Z,750000,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 202699]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,1.0,,,,,,,,,Harris,202699.0
76,PT07M35.00S,2022-10-18T23:48:13.8Z,1,REGULAR,steal,,[],202699,,,1610612755,9,8,2022-10-18T23:48:15Z,760000,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
77,PT07M28.00S,2022-10-18T23:48:21.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],202699,27.151773981603156,86.51960784313727,1610612755,9,11,2022-10-18T23:48:28Z,770000,-183.0,203.0,1,left,T. Harris 27' 3PT  (7 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,27.28,Made,,,,,,,,,7.0,J. Embiid,203954.0,1.0,,,,,,
79,PT07M06.00S,2022-10-18T23:48:44.8Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,9,11,2022-10-18T23:48:54Z,790000,,,0,,J. Embiid shooting personal FOUL (2 PF) (Smart 2 FT),"[203954, 203935]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1626300.0,,,,,,2.0,0.0,Smart,203935.0,,
81,PT07M06.00S,2022-10-18T23:49:22.1Z,1,REGULAR,freethrow,1 of 2,[],203935,,,1610612738,10,11,2022-10-18T23:49:22Z,810000,,,0,,M. Smart Free Throw 1 of 2 (3 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,,,3.0,,,,,,,,,
82,PT07M06.00S,2022-10-18T23:49:35.5Z,1,REGULAR,freethrow,2 of 2,[],203935,,,1610612738,11,11,2022-10-18T23:49:35Z,820000,,,0,,M. Smart Free Throw 2 of 2 (4 PTS),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
83,PT06M58.00S,2022-10-18T23:49:45.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.728646517739815,84.55882352941177,1610612755,11,14,2022-10-18T23:49:54Z,830000,-173.0,218.0,1,left,T. Maxey 27' 3PT  (3 PTS),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,27.78,Made,,,,,,,,,3.0,,,,,,,,,
84,PT06M42.00S,2022-10-18T23:50:00.5Z,1,REGULAR,3pt,Jump Shot,[],203935,93.11760840998686,5.147058823529411,1610612738,11,14,2022-10-18T23:50:16Z,840000,-224.0,12.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Left Corner 3,24+ Left,22.46,Missed,,,,,,,,,,,,,,,,,,
85,PT06M41.00S,2022-10-18T23:50:01.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,11,14,2022-10-18T23:50:16Z,850000,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Left Corner 3,24+ Left,,,,,84.0,,,,,,,,,,,,,,,
86,PT06M41.00S,2022-10-18T23:50:10.2Z,1,REGULAR,foul,personal,[],203943,,,1610612755,11,14,2022-10-18T23:50:25Z,860000,,,0,,N. Vonleh loose ball personal FOUL (2 PF),"[203943, 202699]",1610612738.0,BOS,loose ball,,,Vonleh,N. Vonleh,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1148.0,,,,,,2.0,0.0,Harris,202699.0,,
88,PT06M41.00S,2022-10-18T23:50:22.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612755,11,14,2022-10-18T23:50:22Z,880000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT06M41.00S,2022-10-18T23:53:02.6Z,1,REGULAR,substitution,out,[],1628401,,,1610612755,11,14,2022-10-18T23:53:22Z,890000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
