actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
20,PT10M07.00S,2023-01-27T00:48:10.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,3,2023-01-27T00:57:47Z,190000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,19.0,,,,,,1.0,1.0,0.0,,,,,,,,
21,PT09M55.00S,2023-01-27T00:48:21.5Z,1,REGULAR,3pt,Jump Shot,[],1628401,88.64980289093299,97.30392156862744,1610612738,4,3,2023-01-27T00:48:26Z,200000,False,237.0,54.0,1,right,MISS D. White 24' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,24.26,Missed,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2023-01-27T00:48:23.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,4,3,2023-01-27T00:48:26Z,210000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Right Corner 3,24+ Right,,,,21.0,,,,,,1.0,1.0,0.0,,,,,,,,
23,PT09M48.00S,2023-01-27T00:48:28.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,9.674770039421814,64.4607843137255,1610612752,4,5,2023-01-27T00:48:36Z,220000,False,-72.0,38.0,1,left,R. Barrett 8' running Layup (2 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Left,8.19,Made,2.0,,,,,,,,,,,J. Randle,203944.0,1.0,,,,
24,PT09M34.00S,2023-01-27T00:48:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,79.97700394218134,50.245098039215684,1610612738,4,5,2023-01-27T00:48:47Z,230000,False,1.0,136.0,1,right,MISS D. White 13' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,13.57,Missed,,,,,,,,,,,,,,,,,,
25,PT09M31.00S,2023-01-27T00:48:46.1Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,4,5,2023-01-27T00:48:47Z,240000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,,,,24.0,,,,,,1.0,1.0,0.0,,,,,,,,
26,PT09M23.00S,2023-01-27T00:48:53.9Z,1,REGULAR,3pt,Jump Shot,[],203944,30.436925098554536,79.16666666666666,1610612752,4,5,2023-01-27T00:54:00Z,250000,False,-146.0,234.0,1,left,MISS J. Randle 27' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,27.54,Missed,,,,,,,,,,,,,,,,,,
27,PT09M21.00S,2023-01-27T00:48:55.9Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,5,2023-01-27T00:48:59Z,260000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,,26.0,,,,,,1.0,1.0,0.0,,,,,,,,
28,PT09M14.00S,2023-01-27T00:49:03.0Z,1,REGULAR,3pt,Jump Shot,[],1628369,68.80749014454665,36.029411764705884,1610612738,7,5,2023-01-27T00:55:00Z,270000,False,-70.0,241.0,1,right,J. Tatum 25' 3PT pullup (5 PTS),[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Center,25.06,Made,5.0,,,,,,,,,,,,,,,,,
29,PT08M53.00S,2023-01-27T00:49:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,20.05584756898817,40.44117647058824,1610612752,7,5,2023-01-27T00:49:29Z,280000,False,48.0,136.0,1,left,MISS J. Brunson 14' driving floating Shot,[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,14.42,Missed,,,,,,,,,,,,,,,,,,
30,PT08M52.00S,2023-01-27T00:49:24.7Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,7,5,2023-01-27T00:49:29Z,290000,False,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,In The Paint (Non-RA),8-16 Center,,,,29.0,,,,,,2.0,2.0,0.0,,,,,,,,
31,PT08M46.00S,2023-01-27T00:49:30.9Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.90998685939553,26.47058823529412,1610612738,10,5,2023-01-27T00:49:35Z,300000,False,-118.0,221.0,1,right,J. Tatum 25' 3PT  (8 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.03,Made,8.0,,,,,,,,,,,J. Brown,1627759.0,1.0,,,,
33,PT08M32.00S,2023-01-27T00:49:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629628,12.959921156373195,60.5392156862745,1610612752,10,5,2023-01-27T00:49:53Z,320000,False,-53.0,69.0,1,left,MISS R. Barrett 8' driving floating Shot,[1629628],1610612752.0,NYK,driving floating,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),8-16 Left,8.71,Missed,,,,,,,,,,,,,,,,,,
34,PT08M29.00S,2023-01-27T00:49:48.3Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,10,5,2023-01-27T00:51:29Z,330000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,,33.0,,,,,,2.0,2.0,0.0,,,,,,,,
35,PT08M25.00S,2023-01-27T00:49:52.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,71.30420499342969,76.9607843137255,1610612738,13,5,2023-01-27T00:56:05Z,340000,False,135.0,217.0,1,right,A. Horford 25' 3PT running (3 PTS) (D. White 1 AST),"[201143, 1628401]",1610612738.0,BOS,running,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.56,Made,3.0,,,,,,,,,,,D. White,1628401.0,1.0,,,,
37,PT08M16.00S,2023-01-27T00:50:04.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,13,5,2023-01-27T00:50:04Z,360000,False,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M07.00S,2023-01-27T00:53:34.9Z,1,REGULAR,2pt,Jump Shot,[],1628973,16.245072273324574,71.07843137254902,1610612752,13,5,2023-01-27T00:53:39Z,370000,False,-105.0,100.0,1,left,MISS J. Brunson 14' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,8-16 Left,14.54,Missed,,,,,,,,,,,,,,,,,,
41,PT08M04.00S,2023-01-27T00:53:37.9Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,13,5,2023-01-27T00:53:39Z,380000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,,,,40.0,,,,,,1.0,1.0,0.0,,,,,,,,
42,PT07M57.00S,2023-01-27T00:53:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,83.39356110381078,37.00980392156863,1610612738,15,5,2023-01-27T00:53:50Z,390000,False,-65.0,104.0,1,right,J. Tatum 12' driving floating Jump Shot (10 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Left,12.23,Made,10.0,,,,,,,,,,,,,,,,,
43,PT07M45.00S,2023-01-27T00:54:01.8Z,1,REGULAR,violation,kicked ball,[],1628369,,,1610612752,15,5,2023-01-27T00:54:13Z,400000,False,,,0,,J. Tatum kicked ball VIOLATION,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,203592.0,,,,,,,
44,PT07M40.00S,2023-01-27T00:54:19.6Z,1,REGULAR,2pt,Jump Shot,[],1628973,26.62614980289093,39.950980392156865,1610612752,15,7,2023-01-27T00:54:23Z,410000,False,50.0,198.0,1,left,J. Brunson 20' pullup Jump Shot (2 PTS),[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,20.41,Made,2.0,,,,,,,,,,,,,,,,,
45,PT07M23.00S,2023-01-27T00:54:35.9Z,1,REGULAR,foul,personal,['2freethrow'],1628973,,,1610612738,15,7,2023-01-27T00:54:51Z,420000,False,,,0,,J. Brunson shooting personal FOUL (1 PF) (White 2 FT),"[1628973, 1628401]",1610612752.0,NYK,shooting,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,202049.0,,,,1.0,0.0,White,1628401.0
47,PT07M23.00S,2023-01-27T00:55:02.9Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,16,7,2023-01-27T00:55:03Z,440000,False,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
48,PT07M23.00S,2023-01-27T00:55:20.1Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,17,7,2023-01-27T00:55:20Z,450000,False,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M12.00S,2023-01-27T00:55:33.1Z,1,REGULAR,3pt,Jump Shot,[],203944,28.07161629434954,22.058823529411764,1610612752,17,7,2023-01-27T00:55:38Z,460000,False,140.0,211.0,1,left,MISS J. Randle 25' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,25.34,Missed,,,,,,,,,,,,,,,,,,
50,PT07M09.00S,2023-01-27T00:55:36.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,17,7,2023-01-27T01:03:06Z,470000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,49.0,,,,,,3.0,3.0,0.0,,,,,,,,
51,PT07M03.00S,2023-01-27T00:55:42.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.88764783180025,43.13725490196079,1610612738,20,7,2023-01-27T00:55:49Z,480000,False,-34.0,249.0,1,right,J. Brown 25' 3PT pullup (5 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,25.17,Made,5.0,,,,,,,,,,,,,,,,,
52,PT06M51.00S,2023-01-27T00:55:55.7Z,1,REGULAR,turnover,out-of-bounds,[],1629628,,,1610612752,20,7,2023-01-27T00:56:07Z,490000,False,,,0,,R. Barrett bad pass out-of-bounds TURNOVER (1 TO),[1629628],1610612752.0,NYK,bad pass,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,,1.0,,,,,,,,101283.0,,,,,,,
53,PT06M51.00S,2023-01-27T00:56:00.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612738,20,7,2023-01-27T00:56:09Z,500000,False,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M51.00S,2023-01-27T00:56:00.9Z,1,REGULAR,substitution,in,[],1627763,,,1610612738,20,7,2023-01-27T00:56:09Z,510000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT06M35.00S,2023-01-27T00:56:27.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628369,82.9993429697766,39.21568627450981,1610612738,22,7,2023-01-27T00:56:34Z,520000,False,-54.0,107.0,1,right,J. Tatum 12' driving floating Jump Shot (12 PTS),[1628369],1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,12.01,Made,12.0,,,,,,,,,,,,,,,,,
56,PT06M07.00S,2023-01-27T00:56:55.2Z,1,REGULAR,3pt,Jump Shot,[],203944,28.203022339027594,83.57843137254902,1610612752,22,10,2023-01-27T01:00:13Z,530000,False,-168.0,213.0,1,left,J. Randle 27' 3PT pullup (6 PTS) (Q. Grimes 1 AST),"[203944, 1629656]",1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,27.09,Made,6.0,,,,,,,,,,,Q. Grimes,1629656.0,1.0,,,,
58,PT05M48.00S,2023-01-27T00:57:19.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,91.93495400788436,57.107843137254896,1610612738,22,10,2023-01-27T00:57:31Z,550000,False,36.0,23.0,1,right,MISS J. Brown driving Layup - blocked,"[1627759, 1628973]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,4.25,Missed,,,,,,Brunson,1628973.0,,,,,,,,,,,
59,PT05M48.00S,2023-01-27T00:57:19.5Z,1,REGULAR,block,,[],1628973,,,1610612738,22,10,2023-01-27T00:57:21Z,560000,False,,,0,,J. Brunson BLOCK (1 BLK),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
60,PT05M48.00S,2023-01-27T00:57:19.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,22,10,2023-01-27T00:57:31Z,570000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Restricted Area,0-8 Center,,,,58.0,,,,,,,,,,,,,,,,
62,PT05M45.00S,2023-01-27T00:57:29.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,94.43166885676742,96.56862745098039,1610612738,25,10,2023-01-27T00:57:34Z,590000,False,233.0,0.0,1,right,D. White 3PT  (5 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,23.28,Made,5.0,,,,,,,,,,,A. Horford,201143.0,1.0,,,,
64,PT05M27.00S,2023-01-27T00:57:47.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203944,7.440867279894875,50.49019607843137,1610612752,25,12,2023-01-27T00:57:52Z,610000,False,-2.0,17.0,1,left,J. Randle driving DUNK (8 PTS),[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,1.76,Made,8.0,,,,,,,,,,,,,,,,,
65,PT05M05.00S,2023-01-27T00:58:09.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,70.77858081471747,23.284313725490197,1610612738,25,12,2023-01-27T00:58:14Z,620000,False,-134.0,222.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.93,Missed,,,,,,,,,,,,,,,,,,
66,PT05M02.00S,2023-01-27T00:58:12.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,25,12,2023-01-27T00:58:14Z,630000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,65.0,,,,,,2.0,2.0,0.0,,,,,,,,
67,PT04M58.00S,2023-01-27T00:58:19.1Z,1,REGULAR,foul,personal,[],1627763,,,1610612752,25,12,2023-01-27T00:58:29Z,640000,False,,,0,,M. Brogdon personal FOUL (1 PF),"[1627763, 203944]",1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,202049.0,,,,1.0,0.0,Randle,203944.0
69,PT04M58.00S,2023-01-27T00:58:32.4Z,1,REGULAR,substitution,out,[],1628369,,,1610612752,25,12,2023-01-27T00:58:36Z,660000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT04M58.00S,2023-01-27T00:58:32.4Z,1,REGULAR,substitution,in,[],1629684,,,1610612752,25,12,2023-01-27T00:58:36Z,670000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M49.00S,2023-01-27T00:58:52.2Z,1,REGULAR,3pt,Jump Shot,[],1628973,31.09395532194481,75.98039215686273,1610612752,25,15,2023-01-27T00:59:01Z,680000,False,-130.0,240.0,1,left,J. Brunson 27' 3PT step back (5 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,27.27,Made,5.0,,,,,,,,,,,,,,,,,
72,PT04M33.00S,2023-01-27T00:59:07.8Z,1,REGULAR,3pt,Jump Shot,[],1627763,67.36202365308804,29.901960784313726,1610612738,28,15,2023-01-27T01:02:18Z,690000,False,-100.0,254.0,1,right,M. Brogdon 27' 3PT pullup (3 PTS),[1627763],1610612738.0,BOS,pullup,,,Brogdon,M. Brogdon,,,,,Above the Break 3,24+ Left Center,27.34,Made,3.0,,,,,,,,,,,,,,,,,
73,PT04M18.00S,2023-01-27T00:59:23.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,28.33442838370565,20.588235294117645,1610612752,28,18,2023-01-27T00:59:29Z,700000,False,147.0,214.0,1,left,J. Brunson 25' 3PT step back (8 PTS),[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,25.95,Made,8.0,,,,,,,,,,,,,,,,,
74,PT04M01.00S,2023-01-27T00:59:40.2Z,1,REGULAR,2pt,Jump Shot,[],1629684,89.83245729303549,16.42156862745098,1610612738,28,18,2023-01-27T00:59:59Z,710000,False,-168.0,43.0,1,right,MISS G. Williams 17' pullup Shot,[1629684],1610612738.0,BOS,pullup,,,Williams,G. Williams,,,,,Mid-Range,16-24 Left,17.33,Missed,,,,,,,,,,,,,,,,,,
75,PT03M58.00S,2023-01-27T00:59:43.2Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,28,18,2023-01-27T00:59:46Z,720000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left,,,,74.0,,,,,,1.0,1.0,0.0,,,,,,,,
76,PT03M50.00S,2023-01-27T00:59:55.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,8.229303547963205,43.872549019607845,1610612752,28,20,2023-01-27T01:00:18Z,730000,False,31.0,25.0,1,left,J. Randle driving Layup (10 PTS),[203944],1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,Restricted Area,0-8 Center,3.95,Made,10.0,,,,,,,,,,,,,,,,,
77,PT03M50.00S,2023-01-27T01:00:00.4Z,1,REGULAR,foul,personal,['1freethrow'],1629684,,,1610612752,28,20,2023-01-27T01:00:29Z,740000,False,,,0,,G. Williams shooting personal FOUL (1 PF) (Randle 1 FT),"[1629684, 203944]",1610612738.0,BOS,shooting,,,Williams,G. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,203592.0,,,,1.0,0.0,Randle,203944.0
79,PT03M50.00S,2023-01-27T01:00:09.4Z,1,REGULAR,substitution,out,[],1628401,,,1610612752,28,20,2023-01-27T01:00:36Z,760000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT03M50.00S,2023-01-27T01:00:09.4Z,1,REGULAR,substitution,out,[],201143,,,1610612752,28,20,2023-01-27T01:00:36Z,770000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT03M50.00S,2023-01-27T01:00:09.4Z,1,REGULAR,substitution,out,[],1629656,,,1610612752,28,20,2023-01-27T01:00:36Z,780000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT03M50.00S,2023-01-27T01:00:09.4Z,1,REGULAR,substitution,out,[],1630579,,,1610612752,28,20,2023-01-27T01:00:36Z,790000,False,,,0,,SUB out: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,
