actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
19,PT09M55.00S,2022-11-24T00:47:53.5Z,1,REGULAR,steal,,[],1627827,,,1610612742,8,8,2022-11-24T00:47:55Z,190000,False,,,0,,D. Finney-Smith STEAL (1 STL),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT09M45.00S,2022-11-24T00:48:05.6Z,1,REGULAR,foul,personal,[],1628401,,,1610612742,8,8,2022-11-24T00:48:14Z,200000,False,,,0,,D. White personal FOUL (1 PF),"[1628401, 1629029]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,1193.0,,,,1.0,0.0,Doncic,1629029.0,,,,,,
22,PT09M41.00S,2022-11-24T00:48:27.8Z,1,REGULAR,foul,offensive,[],203939,,,1610612742,8,8,2022-11-24T00:48:36Z,220000,False,,,0,,D. Powell offensive FOUL (1 PF),"[203939, 1627759]",1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Center,,,,,,,202901.0,,,,1.0,0.0,Brown,1627759.0,,,,,,
24,PT09M41.00S,2022-11-24T00:48:27.8Z,1,REGULAR,turnover,offensive foul,[],203939,,,1610612742,8,8,2022-11-24T00:48:27Z,240000,False,,,0,,D. Powell offensive foul TURNOVER (1 TO),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,Above the Break 3,24+ Center,,,,,,,202901.0,1.0,,,,,,,,,,,,
25,PT09M30.00S,2022-11-24T00:48:49.6Z,1,REGULAR,foul,personal,['2freethrow'],203939,,,1610612738,8,8,2022-11-24T00:48:55Z,250000,False,,,0,,D. Powell shooting personal FOUL (2 PF) (Tatum 2 FT),"[203939, 1628369]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,2.0,0.0,Tatum,1628369.0,,,,,,
28,PT09M30.00S,2022-11-24T00:49:20.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628369,,,1610612738,8,8,2022-11-24T00:49:20Z,270000,False,,,0,,MISS J. Tatum Free Throw 1 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M30.00S,2022-11-24T00:49:20.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,8,8,2022-11-24T00:49:20Z,280000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,
30,PT09M30.00S,2022-11-24T00:49:36.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628369,,,1610612738,9,8,2022-11-24T00:49:36Z,290000,False,,,0,,J. Tatum Free Throw 2 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
31,PT09M15.00S,2022-11-24T00:49:54.8Z,1,REGULAR,2pt,Jump Shot,[],1629029,15.982260183968464,27.450980392156865,1610612742,9,10,2022-11-24T00:50:04Z,300000,False,113.0,98.0,1,left,L. Doncic 14' turnaround fadeaway Jump Shot (7 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,8-16 Right,14.92,Made,7.0,,,,,,,,,,,,,,,,,
32,PT08M59.00S,2022-11-24T00:50:11.5Z,1,REGULAR,foul,personal,['2freethrow'],1629029,,,1610612738,9,10,2022-11-24T00:50:17Z,310000,False,,,0,,L. Doncic shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629029, 1628369]",1610612742.0,DAL,shooting,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,1.0,0.0,Tatum,1628369.0,,,,,,
34,PT08M59.00S,2022-11-24T00:50:40.8Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,10,10,2022-11-24T00:50:40Z,330000,False,,,0,,J. Tatum Free Throw 1 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M59.00S,2022-11-24T00:50:59.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,11,10,2022-11-24T00:50:59Z,340000,False,,,0,,J. Tatum Free Throw 2 of 2 (3 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
36,PT08M40.00S,2022-11-24T00:51:20.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,35.167542706964525,32.84313725490196,1610612742,11,10,2022-11-24T00:51:28Z,350000,False,86.0,278.0,1,left,MISS L. Doncic 29' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Center,29.1,Missed,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2022-11-24T00:51:23.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,10,2022-11-24T00:51:28Z,360000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,36.0,1.0,1.0,0.0,,
38,PT08M27.00S,2022-11-24T00:51:32.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.19776609724047,45.83333333333333,1610612738,13,10,2022-11-24T00:51:38Z,370000,False,-21.0,21.0,1,right,J. Tatum driving Layup (5 PTS),[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.94,Made,5.0,,,,,,,,,,,,,,,,,
39,PT08M08.00S,2022-11-24T00:51:51.0Z,1,REGULAR,3pt,Jump Shot,[],203915,33.327858081471746,38.23529411764706,1610612742,13,10,2022-11-24T00:51:58Z,380000,False,59.0,261.0,1,left,MISS S. Dinwiddie 26' step back 3PT,[203915],1610612742.0,DAL,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,26.73,Missed,,,,,,,,,,,,,,,,,,
40,PT08M05.00S,2022-11-24T00:51:54.0Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,10,2022-11-24T00:51:58Z,390000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,39.0,1.0,1.0,0.0,,
41,PT08M03.00S,2022-11-24T00:51:58.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1627759,94.56307490144546,50.245098039215684,1610612738,15,10,2022-11-24T00:52:40Z,400000,False,1.0,-1.0,1,right,J. Brown running DUNK (4 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,0.18,Made,4.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
43,PT07M42.00S,2022-11-24T00:52:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.668199737187912,47.549019607843135,1610612742,15,10,2022-11-24T00:53:02Z,420000,False,12.0,85.0,1,left,MISS L. Doncic 8' driving floating Shot,[1629029],1610612742.0,DAL,driving floating,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,,,,,,,,,,,,,
44,PT07M42.00S,2022-11-24T00:52:17.7Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,15,10,2022-11-24T00:52:27Z,430000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,
45,PT07M26.00S,2022-11-24T00:52:32.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,85.75886990801577,41.911764705882355,1610612738,15,10,2022-11-24T00:52:40Z,440000,False,-40.0,81.0,1,right,MISS M. Smart 9' turnaround fadeaway Shot,[203935],1610612738.0,BOS,turnaround fadeaway,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Center,9.09,Missed,,,,,,,,,,,,,,,,,,
46,PT07M25.00S,2022-11-24T00:52:33.9Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,15,10,2022-11-24T00:52:40Z,450000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,45.0,1.0,1.0,0.0,,
48,PT07M06.00S,2022-11-24T00:53:08.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629029,9.937582128777924,44.85294117647059,1610612742,15,12,2022-11-24T00:53:18Z,470000,False,26.0,41.0,1,left,L. Doncic driving Layup (9 PTS),[1629029],1610612742.0,DAL,driving,,,Doncic,L. Doncic,,,,,In The Paint (Non-RA),0-8 Center,4.83,Made,9.0,,,,,,,,,,,,,,,,,
49,PT07M06.00S,2022-11-24T00:53:12.4Z,1,REGULAR,foul,personal,['1freethrow'],201143,,,1610612742,15,12,2022-11-24T00:53:17Z,480000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Doncic 1 FT),"[201143, 1629029]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,201639.0,,,,1.0,0.0,Doncic,1629029.0,,,,,,
51,PT07M06.00S,2022-11-24T00:53:38.7Z,1,REGULAR,freethrow,1 of 1,[],1629029,,,1610612742,15,13,2022-11-24T00:53:38Z,500000,False,,,0,,L. Doncic Free Throw 1 of 1 (10 PTS),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
52,PT06M54.00S,2022-11-24T00:53:52.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,89.96386333771353,45.588235294117645,1610612738,15,13,2022-11-24T00:54:00Z,510000,False,-22.0,42.0,1,right,MISS J. Tatum driving Layup - blocked,"[1628369, 203939]",1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),0-8 Center,4.73,Missed,,,,,,,,,,,,,,,,,Powell,203939.0
66,PT06M54.00S,2022-11-24T00:53:52.8Z,1,REGULAR,block,,[],203939,,,1610612738,15,13,2022-11-24T00:55:50Z,515000,False,,,0,,D. Powell BLOCK (1 BLK),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
53,PT06M52.00S,2022-11-24T00:53:54.8Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612742,15,13,2022-11-24T00:54:00Z,520000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612742.0,DAL,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,52.0,1.0,1.0,0.0,,
54,PT06M44.00S,2022-11-24T00:54:02.4Z,1,REGULAR,3pt,Jump Shot,[],203493,29.122864651773984,19.852941176470587,1610612742,15,13,2022-11-24T00:54:10Z,530000,False,151.0,221.0,1,left,MISS R. Bullock 26' 3PT,[203493],1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,26.77,Missed,,,,,,,,,,,,,,,,,,
55,PT06M41.00S,2022-11-24T00:54:05.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,15,13,2022-11-24T00:54:10Z,540000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,54.0,1.0,1.0,0.0,,
56,PT06M28.00S,2022-11-24T00:54:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,92.32917214191852,44.11764705882353,1610612738,15,13,2022-11-24T00:54:32Z,550000,False,-29.0,20.0,1,right,MISS J. Tatum driving Layup,[1628369],1610612738.0,BOS,driving,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.53,Missed,,,,,,,,,,,,,,,,,,
57,PT06M25.00S,2022-11-24T00:54:21.0Z,1,REGULAR,rebound,offensive,[],1628369,,,1610612738,15,13,2022-11-24T00:54:27Z,560000,False,,,0,,J. Tatum REBOUND (Off:1 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,56.0,2.0,1.0,1.0,,
58,PT06M25.00S,2022-11-24T00:54:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628369,94.40999984741211,50.0,1610612738,17,13,2022-11-24T00:54:21Z,570000,False,0.0,0.0,1,right,J. Tatum tip Layup (7 PTS),[1628369],1610612738.0,BOS,tip,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,0.0,Made,7.0,,,,,,,,,,,,,,,,,
59,PT06M10.00S,2022-11-24T00:54:36.4Z,1,REGULAR,3pt,Jump Shot,[],1629029,26.231931668856767,86.51960784313727,1610612742,17,13,2022-11-24T00:54:42Z,580000,False,-183.0,194.0,1,left,MISS L. Doncic 26' step back 3PT,[1629029],1610612742.0,DAL,step back,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.65,Missed,,,,,,,,,,,,,,,,,,
60,PT06M07.00S,2022-11-24T00:54:39.4Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,17,13,2022-11-24T00:54:42Z,590000,False,,,0,,J. Tatum REBOUND (Off:1 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,59.0,3.0,2.0,1.0,,
61,PT06M01.00S,2022-11-24T00:54:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,89.70105124835742,54.90196078431373,1610612738,17,13,2022-11-24T00:54:52Z,600000,False,25.0,44.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.06,Missed,,,,,,,,,,,,,,,,,,
62,PT05M58.00S,2022-11-24T00:54:49.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612742,17,13,2022-11-24T01:00:12Z,610000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,61.0,1.0,1.0,0.0,,
63,PT05M54.00S,2022-11-24T00:54:53.2Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612742,17,13,2022-11-24T00:59:13Z,620000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Powell 2 FT),"[1627759, 203939]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201639.0,,,,1.0,0.0,Powell,203939.0,,,,,,
65,PT05M54.00S,2022-11-24T00:55:03.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,17,13,2022-11-24T00:55:03Z,640000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M54.00S,2022-11-24T00:57:45.3Z,1,REGULAR,substitution,out,[],1628369,,,1610612742,17,13,2022-11-24T00:58:01Z,650000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M54.00S,2022-11-24T00:57:45.3Z,1,REGULAR,substitution,out,[],1628401,,,1610612742,17,13,2022-11-24T00:58:01Z,660000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M54.00S,2022-11-24T00:57:45.3Z,1,REGULAR,substitution,in,[],1627763,,,1610612742,17,13,2022-11-24T00:58:01Z,670000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M54.00S,2022-11-24T00:57:45.3Z,1,REGULAR,substitution,in,[],1630573,,,1610612742,17,13,2022-11-24T00:58:01Z,680000,False,,,0,,SUB in: S. Hauser,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M54.00S,2022-11-24T00:58:35.9Z,1,REGULAR,freethrow,1 of 2,[],203939,,,1610612742,17,13,2022-11-24T00:58:58Z,690000,False,,,0,,MISS D. Powell Free Throw 1 of 2,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
72,PT05M54.00S,2022-11-24T00:58:35.9Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,17,13,2022-11-24T00:58:58Z,700000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,,
73,PT05M54.00S,2022-11-24T00:58:35.9Z,1,REGULAR,freethrow,2 of 2,[],203939,,,1610612742,17,14,2022-11-24T00:58:58Z,710000,False,,,0,,D. Powell Free Throw 2 of 2 (1 PTS),[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
74,PT05M42.00S,2022-11-24T00:59:06.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.24901445466492,54.41176470588235,1610612738,19,14,2022-11-24T00:59:21Z,720000,False,22.0,11.0,1,right,J. Brown driving Layup (6 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.47,Made,6.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,,
75,PT05M18.00S,2022-11-24T00:59:29.2Z,1,REGULAR,3pt,Jump Shot,[],203493,20.581471747700395,7.598039215686274,1610612742,19,14,2022-11-24T01:00:24Z,730000,False,212.0,141.0,1,left,MISS R. Bullock 25' step back 3PT,[203493],1610612742.0,DAL,step back,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Right Center,25.46,Missed,,,,,,,,,,,,,,,,,,
76,PT05M17.00S,2022-11-24T00:59:30.2Z,1,REGULAR,rebound,defensive,[],1630573,,,1610612738,19,14,2022-11-24T01:00:45Z,740000,False,,,0,,S. Hauser REBOUND (Off:0 Def:1),[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,75.0,1.0,1.0,0.0,,
78,PT05M00.00S,2022-11-24T00:59:49.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,52.69607843137255,1610612738,21,14,2022-11-24T00:59:56Z,750000,False,13.0,7.0,1,right,J. Brown driving Layup (8 PTS) (A. Horford 3 AST),"[1627759, 201143]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,1.53,Made,8.0,A. Horford,201143.0,3.0,,,,,,,,,,,,,,
80,PT05M00.00S,2022-11-24T00:59:53.4Z,1,REGULAR,foul,personal,['1freethrow'],203939,,,1610612738,21,14,2022-11-24T01:00:03Z,770000,False,,,0,,D. Powell shooting personal FOUL (3 PF) (Brown 1 FT),"[203939, 1627759]",1610612742.0,DAL,shooting,,,Powell,D. Powell,,,,,Restricted Area,0-8 Center,,,,,,,1193.0,,,,3.0,0.0,Brown,1627759.0,,,,,,
82,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,out,[],201143,,,1610612738,21,14,2022-11-24T01:00:24Z,790000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,out,[],203939,,,1610612738,21,14,2022-11-24T01:00:24Z,800000,False,,,0,,SUB out: D. Powell,[203939],1610612742.0,DAL,,,,Powell,D. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,out,[],203915,,,1610612738,21,14,2022-11-24T01:00:24Z,810000,False,,,0,,SUB out: S. Dinwiddie,[203915],1610612742.0,DAL,,,,Dinwiddie,S. Dinwiddie,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,21,14,2022-11-24T01:00:24Z,820000,False,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,in,[],203501,,,1610612738,21,14,2022-11-24T01:00:24Z,830000,False,,,0,,SUB in: T. Hardaway Jr.,[203501],1610612742.0,DAL,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M00.00S,2022-11-24T01:00:08.3Z,1,REGULAR,substitution,in,[],1626174,,,1610612738,21,14,2022-11-24T01:00:24Z,840000,False,,,0,,SUB in: C. Wood,[1626174],1610612742.0,DAL,,,,Wood,C. Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT05M00.00S,2022-11-24T01:00:30.6Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,22,14,2022-11-24T01:00:30Z,850000,False,,,0,,J. Brown Free Throw 1 of 1 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,9.0,,,,,,,,,,,,,,,,,
