actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M47.00S,2022-10-30T22:12:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.11760840998686,45.83333333333333,1610612738,8,0,2022-10-30T22:15:06Z,180000,-21.0,12.0,1,right,J. Brown driving Layup (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.41,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
20,PT10M29.00S,2022-10-30T22:12:20.7Z,1,REGULAR,2pt,Jump Shot,[],204001,17.0335085413929,69.36274509803921,1610612764,8,2,2022-10-30T22:12:26Z,200000,-97.0,108.0,1,left,K. Porzingis 14' turnaround Jump Shot (2 PTS),[204001],1610612764.0,WAS,turnaround,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,14.47,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M18.00S,2022-10-30T22:12:32.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,78.0059132720105,88.48039215686273,1610612738,11,2,2022-10-30T22:12:42Z,210000,192.0,154.0,1,right,J. Brown 24' 3PT  (5 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.66,Made,5.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
23,PT10M14.00S,2022-10-30T22:12:48.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,11,2,2022-10-30T22:13:07Z,230000,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M02.00S,2022-10-30T22:15:44.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203078,8.09789750328515,53.18627450980392,1610612764,11,2,2022-10-30T22:15:52Z,240000,-16.0,24.0,1,left,MISS B. Beal driving Layup,[203078],1610612764.0,WAS,driving,,,Beal,B. Beal,,,,,Restricted Area,0-8 Center,2.85,Missed,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2022-10-30T22:15:47.7Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,2,2022-10-30T22:15:52Z,260000,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M46.00S,2022-10-30T22:16:00.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,91.27792378449409,3.431372549019608,1610612738,14,2,2022-10-30T22:16:06Z,270000,-233.0,29.0,1,right,J. Tatum 3PT  (9 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.47,Made,9.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
29,PT09M29.00S,2022-10-30T22:16:17.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],204001,12.959921156373195,35.294117647058826,1610612764,14,4,2022-10-30T22:16:25Z,290000,74.0,69.0,1,left,K. Porzingis 10' turnaround bank Jump Shot (4 PTS) (D. Avdija 1 AST),"[204001, 1630166]",1610612764.0,WAS,turnaround bank,,,Porzingis,K. Porzingis,,,,,In The Paint (Non-RA),8-16 Right,10.1,Made,4.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
31,PT09M17.00S,2022-10-30T22:16:29.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,74.19513797634691,80.3921568627451,1610612738,14,4,2022-10-30T22:16:35Z,310000,152.0,190.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.34,Missed,,,,,,,,,,,,,,,,,,
32,PT09M15.00S,2022-10-30T22:16:31.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,14,4,2022-10-30T22:16:35Z,320000,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,,,
33,PT08M59.00S,2022-10-30T22:16:47.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,18.478975032851512,7.598039215686274,1610612764,14,7,2022-10-30T22:16:54Z,330000,212.0,121.0,1,left,K. Kuzma 24' 3PT  (3 PTS) (B. Beal 1 AST),"[1628398, 203078]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,24.42,Made,3.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,,
35,PT08M39.00S,2022-10-30T22:17:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.51182654402102,54.166666666666664,1610612738,16,7,2022-10-30T22:17:26Z,350000,21.0,8.0,1,right,J. Brown driving Layup (7 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.25,Made,7.0,,,,,,,,,,,,,,,,,
36,PT08M21.00S,2022-10-30T22:17:27.6Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612764,16,7,2022-10-30T22:17:36Z,360000,,,0,,A. Horford shooting personal FOUL (1 PF) (Avdija 2 FT),"[201143, 1630166]",1610612738.0,BOS,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,1627964.0,1.0,0.0,Avdija,1630166.0,,,,,
38,PT08M21.00S,2022-10-30T22:17:56.5Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,16,8,2022-10-30T22:18:15Z,380000,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
39,PT08M21.00S,2022-10-30T22:17:56.5Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,16,8,2022-10-30T22:18:15Z,390000,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
40,PT08M21.00S,2022-10-30T22:17:56.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,16,8,2022-10-30T22:18:21Z,400000,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,,
41,PT08M12.00S,2022-10-30T22:18:20.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,79.31997371879106,91.66666666666666,1610612738,19,8,2022-10-30T22:18:29Z,410000,208.0,142.0,1,right,J. Brown 25' 3PT  (10 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.2,Made,10.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
43,PT07M58.00S,2022-10-30T22:18:33.8Z,1,REGULAR,3pt,Jump Shot,[],203078,32.802233902759525,34.80392156862745,1610612764,19,8,2022-10-30T22:20:19Z,430000,76.0,256.0,1,left,MISS B. Beal 26' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Above the Break 3,24+ Center,26.69,Missed,,,,,,,,,,,,,,,,,,
44,PT07M56.00S,2022-10-30T22:18:35.8Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,19,8,2022-10-30T22:18:38Z,440000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,
45,PT07M48.00S,2022-10-30T22:18:44.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,79.05716162943496,65.19607843137256,1610612738,19,8,2022-10-30T22:21:09Z,450000,76.0,144.0,1,right,MISS J. Brown 16' turnaround fadeaway Shot,[1627759],1610612738.0,BOS,turnaround fadeaway,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,16.32,Missed,,,,,,,,,,,,,,,,,,
46,PT07M43.00S,2022-10-30T22:18:49.7Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,19,8,2022-10-30T22:18:51Z,460000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Right Center,,,,,,,45.0,1.0,1.0,0.0,,,,,,,,,,
47,PT07M34.00S,2022-10-30T22:18:58.9Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612764,19,8,2022-10-30T22:19:03Z,470000,,,0,,K. Porzingis lost ball TURNOVER (1 TO),"[204001, 203935]",1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Smart,203935.0
48,PT07M34.00S,2022-10-30T22:18:58.9Z,1,REGULAR,steal,,[],203935,,,1610612738,19,8,2022-10-30T22:19:00Z,480000,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
49,PT07M29.00S,2022-10-30T22:19:03.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.24901445466492,56.372549019607845,1610612738,21,8,2022-10-30T22:19:11Z,490000,32.0,11.0,1,right,J. Tatum running Layup (11 PTS),[1628369],1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,3.37,Made,11.0,,,,,,,,,,,,,,,,,
50,PT07M09.00S,2022-10-30T22:19:23.4Z,1,REGULAR,2pt,Jump Shot,[],204001,11.777266754270697,66.66666666666666,1610612764,21,10,2022-10-30T22:23:56Z,500000,-83.0,58.0,1,left,K. Porzingis 10' turnaround bank Jump Shot (6 PTS),[204001],1610612764.0,WAS,turnaround bank,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,10.16,Made,6.0,,,,,,,,,,,,,,,,,
51,PT06M55.00S,2022-10-30T22:19:37.2Z,1,REGULAR,turnover,bad pass,[],201143,,,1610612738,21,10,2022-10-30T22:19:41Z,510000,,,0,,A. Horford bad pass TURNOVER (1 TO),"[201143, 1628398]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Kuzma,1628398.0
52,PT06M55.00S,2022-10-30T22:19:37.2Z,1,REGULAR,steal,,[],1628398,,,1610612764,21,10,2022-10-30T22:19:39Z,520000,,,0,,K. Kuzma STEAL (1 STL),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
53,PT06M47.00S,2022-10-30T22:19:45.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,33.196452036793694,69.11764705882352,1610612764,21,10,2022-10-30T22:19:50Z,530000,-96.0,260.0,1,left,MISS K. Porzingis 27' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Left Center,27.65,Missed,,,,,,,,,,,,,,,,,,
54,PT06M44.00S,2022-10-30T22:19:48.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,21,10,2022-10-30T22:19:50Z,540000,,,0,,D. White REBOUND (Off:0 Def:2),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,,
55,PT06M32.00S,2022-10-30T22:20:00.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,71.04139290407359,77.69607843137256,1610612738,21,10,2022-10-30T22:20:06Z,550000,138.0,220.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
56,PT06M30.00S,2022-10-30T22:20:02.2Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,21,10,2022-10-30T22:20:06Z,560000,,,0,,K. Porzingis REBOUND (Off:0 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,,
223,PT06M17.00S,2022-10-30T22:20:09.8Z,1,REGULAR,turnover,lost ball,[],204001,,,1610612764,21,10,2022-10-31T02:02:57Z,565000,,,0,,K. Porzingis lost ball TURNOVER (2 TO),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,203593.0,,,,,,,2.0,,
57,PT06M17.00S,2022-10-30T22:20:19.5Z,1,REGULAR,foul,personal,[],204001,,,1610612738,21,10,2022-10-30T22:47:53Z,570000,,,0,,K. Porzingis loose ball personal FOUL (1 PF),"[204001, 1628369]",1610612764.0,WAS,loose ball,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Left,,,,,,,,,,,203593.0,1.0,0.0,Tatum,1628369.0,,,,,
60,PT06M05.00S,2022-10-30T22:20:52.9Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,21,10,2022-10-30T22:21:33Z,600000,,,0,,J. Brown lost ball out-of-bounds TURNOVER (1 TO),[1627759],1610612738.0,BOS,lost ball,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203593.0,,,,,,,1.0,,
61,PT06M05.00S,2022-10-30T22:20:55.6Z,1,REGULAR,substitution,out,[],1630166,,,1610612764,21,10,2022-10-30T22:21:07Z,610000,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M05.00S,2022-10-30T22:20:55.6Z,1,REGULAR,substitution,in,[],1629060,,,1610612764,21,10,2022-10-30T22:21:07Z,620000,,,0,,SUB in: R. Hachimura,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M54.00S,2022-10-30T22:21:24.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203078,30.962549277266753,75.24509803921569,1610612764,21,10,2022-10-30T22:27:37Z,630000,-126.0,239.0,1,left,MISS B. Beal 26' pullup 3PT,[203078],1610612764.0,WAS,pullup,,,Beal,B. Beal,,,,,Above the Break 3,24+ Left Center,26.98,Missed,,,,,,,,,,,,,,,,,,
64,PT05M52.00S,2022-10-30T22:21:26.8Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,21,10,2022-10-30T22:21:58Z,640000,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,
65,PT05M43.00S,2022-10-30T22:21:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1629060,,,1610612738,21,10,2022-10-30T22:21:48Z,650000,,,0,,R. Hachimura shooting personal FOUL (1 PF) (Brown 2 FT),"[1629060, 1627759]",1610612764.0,WAS,shooting,,,Hachimura,R. Hachimura,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1627964.0,1.0,0.0,Brown,1627759.0,,,,,
67,PT05M43.00S,2022-10-30T22:22:05.9Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,22,10,2022-10-30T22:22:05Z,670000,,,0,,J. Brown Free Throw 1 of 2 (11 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,11.0,,,,,,,,,,,,,,,,,
68,PT05M43.00S,2022-10-30T22:22:06.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,22,10,2022-10-30T22:22:17Z,680000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M43.00S,2022-10-30T22:22:06.9Z,1,REGULAR,substitution,out,[],1628398,,,1610612738,22,10,2022-10-30T22:22:17Z,690000,,,0,,SUB out: K. Kuzma,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M43.00S,2022-10-30T22:22:06.9Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,22,10,2022-10-30T22:22:17Z,700000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M43.00S,2022-10-30T22:22:06.9Z,1,REGULAR,substitution,in,[],1631098,,,1610612738,22,10,2022-10-30T22:22:17Z,710000,,,0,,SUB in: J. Davis,[1631098],1610612764.0,WAS,,,,Davis,J. Davis,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M43.00S,2022-10-30T22:22:29.8Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,23,10,2022-10-30T22:22:29Z,720000,,,0,,J. Brown Free Throw 2 of 2 (12 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
73,PT05M32.00S,2022-10-30T22:22:42.5Z,1,REGULAR,2pt,Jump Shot,[],1628420,11.908672798948752,31.372549019607842,1610612764,23,10,2022-10-30T22:22:47Z,730000,93.0,59.0,1,left,MISS M. Morris 11' turnaround fadeaway Shot,[1628420],1610612764.0,WAS,turnaround fadeaway,,,Morris,M. Morris,,,,,Mid-Range,8-16 Right,11.04,Missed,,,,,,,,,,,,,,,,,,
74,PT05M30.00S,2022-10-30T22:22:44.5Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,23,10,2022-10-30T22:22:47Z,740000,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,73.0,3.0,3.0,0.0,,,,,,,,,,
75,PT05M26.00S,2022-10-30T22:22:50.3Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,23,10,2022-10-30T22:22:56Z,750000,,,0,,J. Brown bad pass out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,bad pass,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,,,,,,,,,,,204059.0,,,,,,,2.0,,
76,PT05M07.00S,2022-10-30T22:23:14.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631098,15.456636005256241,79.65686274509804,1610612764,23,10,2022-10-30T22:23:19Z,760000,-148.0,93.0,1,left,MISS J. Davis 17' pullup Shot,[1631098],1610612764.0,WAS,pullup,,,Davis,J. Davis,,,,,Mid-Range,16-24 Left,17.49,Missed,,,,,,,,,,,,,,,,,,
77,PT05M06.00S,2022-10-30T22:23:15.8Z,1,REGULAR,rebound,offensive,[],204001,,,1610612764,23,10,2022-10-30T22:23:19Z,770000,,,0,,K. Porzingis REBOUND (Off:1 Def:2),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,16-24 Left,,,,,,,76.0,3.0,2.0,1.0,,,,,,,,,,
78,PT05M04.00S,2022-10-30T22:23:18.6Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",204001,11.514454664914586,30.88235294117647,1610612764,23,10,2022-10-30T22:23:28Z,780000,96.0,56.0,1,left,MISS K. Porzingis 11' Jump Shot,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,Mid-Range,8-16 Right,11.06,Missed,,,,,,,,,,,,,,,,,,
79,PT04M59.00S,2022-10-30T22:23:23.6Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612764,23,10,2022-10-30T22:23:28Z,790000,,,0,,R. Hachimura REBOUND (Off:1 Def:0),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Right,,,,,,,78.0,1.0,0.0,1.0,,,,,,,,,,
80,PT04M59.00S,2022-10-30T22:23:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629060,5.590000152587891,50.0,1610612764,23,10,2022-10-30T22:23:23Z,800000,0.0,0.0,1,left,MISS R. Hachimura tip Layup,[1629060],1610612764.0,WAS,tip,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
81,PT04M58.00S,2022-10-30T22:23:23.9Z,1,REGULAR,rebound,offensive,[],1629060,,,1610612764,23,10,2022-10-30T22:23:23Z,810000,,,0,,R. Hachimura REBOUND (Off:2 Def:0),[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,Mid-Range,8-16 Left,,,,,,,80.0,2.0,0.0,2.0,,,,,,,,,,
82,PT04M54.00S,2022-10-30T22:23:30.5Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612764,23,10,2022-10-30T22:23:37Z,820000,,,0,,M. Smart shooting personal FOUL (1 PF) (Porzingis 2 FT),"[203935, 204001]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,204059.0,1.0,0.0,Porzingis,204001.0,,,,,
84,PT04M54.00S,2022-10-30T22:23:57.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",204001,,,1610612764,23,10,2022-10-30T22:23:57Z,840000,,,0,,MISS K. Porzingis Free Throw 1 of 2,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
85,PT04M54.00S,2022-10-30T22:23:57.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,23,10,2022-10-30T22:23:57Z,850000,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,
86,PT04M54.00S,2022-10-30T22:23:59.9Z,1,REGULAR,substitution,out,[],1628401,,,1610612764,23,10,2022-10-30T22:24:04Z,860000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
