actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M33.00S,2023-03-26T22:12:17.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,4,2023-03-26T22:12:20Z,170000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M23.00S,2023-03-26T22:12:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,94.82588699080158,53.67647058823529,1610612738,2,4,2023-03-26T22:14:09Z,180000,False,18.0,-4.0,1,right,J. Brown driving finger roll Layup (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,driving finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,1.88,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,
20,PT10M23.00S,2023-03-26T22:12:32.3Z,1,REGULAR,foul,personal,['1freethrow'],1630170,,,1610612738,2,4,2023-03-26T22:12:39Z,200000,False,,,0,,D. Vassell shooting personal FOUL (1 PF) (Brown 1 FT),"[1630170, 1627759]",1610612759.0,SAS,shooting,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,203177.0,1.0,0.0,Brown,1627759.0,,,,
22,PT10M23.00S,2023-03-26T22:12:55.2Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,2,4,2023-03-26T22:12:58Z,220000,False,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
23,PT10M23.00S,2023-03-26T22:12:55.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,2,4,2023-03-26T22:12:58Z,230000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT10M08.00S,2023-03-26T22:13:09.2Z,1,REGULAR,2pt,Jump Shot,[],1630170,22.552562417871222,30.637254901960787,1610612759,2,6,2023-03-26T22:15:30Z,240000,False,97.0,159.0,1,left,D. Vassell 18' step back Jump Shot (4 PTS),[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Mid-Range,16-24 Right Center,,18.66,Made,4.0,,,,,,,,,,,,,,,,
25,PT09M55.00S,2023-03-26T22:13:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.06636005256242,50.245098039215684,1610612738,4,6,2023-03-26T22:13:26Z,250000,False,1.0,22.0,1,right,J. Brown cutting finger roll Layup (4 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,cutting finger roll,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,2.21,Made,4.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,
27,PT09M47.00S,2023-03-26T22:13:29.3Z,1,REGULAR,3pt,Jump Shot,[],1628966,29.77989487516426,23.774509803921568,1610612759,4,6,2023-03-26T22:13:35Z,270000,False,131.0,227.0,1,left,MISS K. Bates-Diop 26' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Right Center,,26.25,Missed,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2023-03-26T22:13:31.3Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,6,2023-03-26T22:13:35Z,280000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,
29,PT09M41.00S,2023-03-26T22:13:35.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,93.77463863337714,43.13725490196079,1610612738,6,6,2023-03-26T22:13:40Z,290000,False,-34.0,6.0,1,right,J. Brown running Layup (6 PTS) (A. Horford 2 AST),"[1627759, 201143]",1610612738.0,BOS,running,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,3.48,Made,6.0,A. Horford,201143.0,2.0,,,,,,,,,,,,,
39,PT09M22.00S,2023-03-26T22:13:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,9.806176084099869,50.49019607843137,1610612759,6,6,2023-03-26T22:16:50Z,305000,False,-2.0,40.0,1,left,MISS M. Branham cutting Layup - blocked,"[1631103, 1628401]",1610612759.0,SAS,cutting,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,3.98,Missed,,,,,,,,,,,,,,White,1628401.0,,
40,PT09M22.00S,2023-03-26T22:13:45.4Z,1,REGULAR,block,,[],1628401,,,1610612759,6,6,2023-03-26T22:14:42Z,307500,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT09M22.00S,2023-03-26T22:13:45.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,6,6,2023-03-26T22:14:42Z,308750,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,
33,PT09M13.00S,2023-03-26T22:14:04.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.59855453350855,37.99019607843137,1610612738,6,6,2023-03-26T22:14:46Z,330000,False,-60.0,64.0,1,right,MISS D. White 8' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,,8.78,Missed,,,,,,,,,,,,,,,,,
34,PT09M10.00S,2023-03-26T22:14:07.1Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,6,6,2023-03-26T22:14:09Z,340000,False,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,,
35,PT09M01.00S,2023-03-26T22:14:15.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,18.610381077529567,38.72549019607843,1610612759,6,8,2023-03-26T22:14:21Z,350000,False,56.0,122.0,1,left,M. Branham 13' pullup Jump Shot (2 PTS) (Z. Collins 2 AST),"[1631103, 1628380]",1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,13.48,Made,2.0,Z. Collins,1628380.0,2.0,,,,,,,,,,,,,
37,PT08M51.00S,2023-03-26T22:14:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,93.38042049934296,48.03921568627451,1610612738,8,8,2023-03-26T22:18:48Z,370000,False,-10.0,10.0,1,right,M. Smart driving Layup (2 PTS),[203935],1610612738.0,BOS,driving,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,1.38,Made,2.0,,,,,,,,,,,,,,,,
38,PT08M42.00S,2023-03-26T22:14:35.2Z,1,REGULAR,3pt,Jump Shot,[],1631103,31.09395532194481,21.07843137254902,1610612759,8,11,2023-03-26T22:19:22Z,380000,False,145.0,240.0,1,left,M. Branham 28' 3PT pullup (5 PTS),[1631103],1610612759.0,SAS,pullup,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,,28.0,Made,5.0,,,,,,,,,,,,,,,,
42,PT08M24.00S,2023-03-26T22:14:53.3Z,1,REGULAR,3pt,Jump Shot,[],203935,73.53810775295663,79.90196078431373,1610612738,8,11,2023-03-26T22:19:51Z,390000,False,150.0,196.0,1,right,MISS M. Smart 24' pullup 3PT,[203935],1610612738.0,BOS,pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,24.67,Missed,,,,,,,,,,,,,,,,,
43,PT08M22.00S,2023-03-26T22:14:55.3Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,8,11,2023-03-26T22:15:01Z,400000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
44,PT08M14.00S,2023-03-26T22:15:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628380,17.69053876478318,41.66666666666667,1610612759,8,13,2023-03-26T22:15:08Z,410000,False,42.0,114.0,1,left,Z. Collins 12' floating Jump Shot (4 PTS) (M. Branham 1 AST),"[1628380, 1631103]",1610612759.0,SAS,floating,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),8-16 Center,,12.12,Made,4.0,M. Branham,1631103.0,1.0,,,,,,,,,,,,,
46,PT07M48.00S,2023-03-26T22:15:29.3Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.96123521681997,79.16666666666666,1610612738,11,13,2023-03-26T22:15:33Z,430000,False,146.0,211.0,1,right,J. Brown 25' 3PT  (9 PTS) (A. Horford 3 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,25.66,Made,9.0,A. Horford,201143.0,3.0,,,,,,,,,,,,,
48,PT07M46.00S,2023-03-26T22:15:36.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,11,13,2023-03-26T22:15:36Z,450000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M26.00S,2023-03-26T22:18:47.8Z,1,REGULAR,3pt,Jump Shot,[],1628380,34.11629434954008,61.029411764705884,1610612759,11,16,2023-03-26T22:18:53Z,460000,False,-55.0,268.0,1,left,Z. Collins 27' 3PT  (7 PTS) (T. Jones 1 AST),"[1628380, 1630200]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Center,,27.38,Made,7.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,
51,PT07M08.00S,2023-03-26T22:19:08.3Z,1,REGULAR,violation,kicked ball,[],1628966,,,1610612738,11,16,2023-03-26T22:19:17Z,480000,False,,,0,,K. Bates-Diop kicked ball VIOLATION,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,1626301.0,,,,,,,,
52,PT07M08.00S,2023-03-26T22:19:14.5Z,1,REGULAR,substitution,out,[],1628966,,,1610612738,11,16,2023-03-26T22:19:17Z,490000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M08.00S,2023-03-26T22:19:14.5Z,1,REGULAR,substitution,in,[],1630572,,,1610612738,11,16,2023-03-26T22:19:17Z,500000,False,,,0,,SUB in: S. Mamukelashvili,[1630572],1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M00.00S,2023-03-26T22:19:30.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.72339027595268,45.588235294117645,1610612738,13,16,2023-03-26T22:19:35Z,510000,False,-22.0,16.0,1,right,J. Brown driving Layup (11 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,2.72,Made,11.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,
56,PT06M37.00S,2023-03-26T22:19:54.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,16.113666228646515,43.13725490196079,1610612759,13,16,2023-03-26T22:21:51Z,530000,False,34.0,99.0,1,left,MISS D. Vassell 10' Jump Shot,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,10.48,Missed,,,,,,,,,,,,,,,,,
57,PT06M35.00S,2023-03-26T22:19:56.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,13,16,2023-03-26T22:20:03Z,540000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,56.0,,,,,,,,,,,,
59,PT06M35.00S,2023-03-26T22:20:03.1Z,1,REGULAR,substitution,out,[],1630200,,,1610612738,13,16,2023-03-26T22:20:11Z,560000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M35.00S,2023-03-26T22:20:03.1Z,1,REGULAR,substitution,in,[],1629641,,,1610612738,13,16,2023-03-26T22:20:11Z,570000,False,,,0,,SUB in: R. Langford,[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M26.00S,2023-03-26T22:20:29.2Z,1,REGULAR,3pt,Jump Shot,[],201143,75.50919842312747,84.06862745098039,1610612738,13,16,2023-03-26T22:20:35Z,580000,False,170.0,178.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,24.61,Missed,,,,,,,,,,,,,,,,,
62,PT06M23.00S,2023-03-26T22:20:32.2Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,13,16,2023-03-26T22:20:35Z,590000,False,,,0,,M. Branham REBOUND (Off:0 Def:2),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Above the Break 3,24+ Right Center,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,
63,PT06M10.00S,2023-03-26T22:20:44.3Z,1,REGULAR,3pt,Jump Shot,[],1630572,19.530223390275953,93.38235294117648,1610612759,13,19,2023-03-26T22:20:49Z,600000,False,-217.0,131.0,1,left,S. Mamukelashvili 25' 3PT  (3 PTS) (D. Vassell 1 AST),"[1630572, 1630170]",1610612759.0,SAS,,,,Mamukelashvili,S. Mamukelashvili,,,,,Above the Break 3,24+ Left Center,,25.34,Made,3.0,D. Vassell,1630170.0,1.0,,,,,,,,,,,,,
65,PT05M52.00S,2023-03-26T22:21:02.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,92.85479632063075,49.26470588235294,1610612738,15,19,2023-03-26T22:21:05Z,620000,False,-4.0,15.0,1,right,M. Smart driving reverse Layup (4 PTS),[203935],1610612738.0,BOS,driving reverse,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,,1.52,Made,4.0,,,,,,,,,,,,,,,,
66,PT05M42.00S,2023-03-26T22:21:11.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,20.318659658344284,37.99019607843137,1610612759,15,19,2023-03-26T22:21:16Z,630000,False,60.0,138.0,1,left,MISS M. Branham 15' driving floating Shot,[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,,15.09,Missed,,,,,,,,,,,,,,,,,
67,PT05M40.00S,2023-03-26T22:21:13.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,15,19,2023-03-26T22:21:16Z,640000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,66.0,2.0,2.0,0.0,,,,,,,,,
68,PT05M34.00S,2023-03-26T22:21:20.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627759,91.80354796320631,49.754901960784316,1610612738,17,19,2023-03-26T22:21:27Z,650000,False,-1.0,25.0,1,right,J. Brown driving DUNK (13 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,2.45,Made,13.0,,,,,,,,,,,,,,,,
69,PT05M15.00S,2023-03-26T22:21:38.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,32.53942181340342,63.725490196078425,1610612759,17,19,2023-03-26T22:24:32Z,660000,False,-69.0,253.0,1,left,MISS D. Vassell 26' step back 3PT,[1630170],1610612759.0,SAS,step back,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,,26.25,Missed,,,,,,,,,,,,,,,,,
70,PT05M14.00S,2023-03-26T22:21:39.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,17,19,2023-03-26T22:21:46Z,670000,False,,,0,,A. Horford REBOUND (Off:0 Def:3),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,69.0,3.0,3.0,0.0,,,,,,,,,
71,PT05M06.00S,2023-03-26T22:21:48.7Z,1,REGULAR,3pt,Jump Shot,[],1627759,74.19513797634691,84.55882352941177,1610612738,17,19,2023-03-26T22:25:20Z,680000,False,173.0,190.0,1,right,MISS J. Brown 25' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,25.69,Missed,,,,,,,,,,,,,,,,,
72,PT05M03.00S,2023-03-26T22:21:51.7Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,17,19,2023-03-26T22:21:59Z,690000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,71.0,1.0,0.0,1.0,,,,,,,,,
73,PT04M57.00S,2023-03-26T22:21:57.4Z,1,REGULAR,turnover,lost ball,[],203935,,,1610612738,17,19,2023-03-26T22:22:01Z,700000,False,,,0,,M. Smart lost ball TURNOVER (2 TO),"[203935, 1629641]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,Mid-Range,8-16 Left,2.0,,,,,,,,,,,,,,,,,,Langford,1629641.0
74,PT04M57.00S,2023-03-26T22:21:57.4Z,1,REGULAR,steal,,[],1629641,,,1610612759,17,19,2023-03-26T22:22:00Z,710000,False,,,0,,R. Langford STEAL (1 STL),[1629641],1610612759.0,SAS,,,,Langford,R. Langford,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
75,PT04M53.00S,2023-03-26T22:22:01.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631103,8.492115637319317,55.14705882352941,1610612759,17,19,2023-03-26T22:22:08Z,720000,False,-26.0,27.0,1,left,MISS M. Branham running Layup,[1631103],1610612759.0,SAS,running,,,Branham,M. Branham,,,,,Restricted Area,0-8 Center,,3.75,Missed,,,,,,,,,,,,,,,,,
76,PT04M51.00S,2023-03-26T22:22:03.9Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,17,19,2023-03-26T22:22:08Z,730000,False,,,0,,A. Horford REBOUND (Off:0 Def:4),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,75.0,4.0,4.0,0.0,,,,,,,,,
77,PT04M44.00S,2023-03-26T22:22:11.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,91.67214191852825,95.83333333333334,1610612738,20,19,2023-03-26T22:26:23Z,740000,False,229.0,26.0,1,right,S. Hauser 3PT  (3 PTS) (D. White 1 AST),"[1630573, 1628401]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Right Corner 3,24+ Right,,23.06,Made,3.0,D. White,1628401.0,1.0,,,,,,,,,,,,,
79,PT04M26.00S,2023-03-26T22:22:28.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630572,16.63929040735874,39.705882352941174,1610612759,20,19,2023-03-26T22:22:35Z,760000,False,51.0,104.0,1,left,MISS S. Mamukelashvili 11' turnaround Shot,[1630572],1610612759.0,SAS,turnaround,,,Mamukelashvili,S. Mamukelashvili,,,,,In The Paint (Non-RA),8-16 Center,,11.6,Missed,,,,,,,,,,,,,,,,,
80,PT04M25.00S,2023-03-26T22:22:29.4Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,20,19,2023-03-26T22:22:35Z,770000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,79.0,1.0,1.0,0.0,,,,,,,,,
81,PT04M19.00S,2023-03-26T22:22:35.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628401,94.03745072273325,57.35294117647059,1610612738,22,19,2023-03-26T22:22:42Z,780000,False,37.0,4.0,1,right,D. White running Layup (2 PTS),[1628401],1610612738.0,BOS,running,,,White,D. White,,,,,Restricted Area,0-8 Center,,3.7,Made,2.0,,,,,,,,,,,,,,,,
82,PT03M59.00S,2023-03-26T22:22:55.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628380,11.251642575558476,38.23529411764706,1610612759,22,19,2023-03-26T22:23:00Z,790000,False,59.0,53.0,1,left,MISS Z. Collins 7' turnaround Hook,[1628380],1610612759.0,SAS,turnaround,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,7.94,Missed,,,,,,,,,,,,,,,,,
83,PT03M57.00S,2023-03-26T22:22:57.4Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,22,19,2023-03-26T22:23:00Z,800000,False,,,0,,A. Horford REBOUND (Off:0 Def:5),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,82.0,5.0,5.0,0.0,,,,,,,,,
84,PT03M54.00S,2023-03-26T22:23:01.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203935,74.85216819973719,86.27450980392157,1610612738,22,19,2023-03-26T22:29:09Z,810000,False,181.0,184.0,1,right,MISS M. Smart 25' running pullup 3PT,[203935],1610612738.0,BOS,running pullup,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,25.83,Missed,,,,,,,,,,,,,,,,,
85,PT03M52.00S,2023-03-26T22:23:03.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,22,19,2023-03-26T22:23:13Z,820000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,84.0,,,,,,,,,,,,
