actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
31,PT09M34.00S,2022-12-03T00:45:08.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,67.23061760840999,63.23529411764706,1610612738,4,4,2022-12-03T00:45:13Z,290000,False,66.0,256.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.39,Missed,,,,,,,,,,,,,,,,,
32,PT09M32.00S,2022-12-03T00:45:10.6Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,4,4,2022-12-03T00:45:13Z,300000,False,,,0,,T. Herro REBOUND (Off:0 Def:3),[1629639],1610612748.0,MIA,,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,31.0,3.0,3.0,0.0,,,,,,,,,,,,,
33,PT09M16.00S,2022-12-03T00:45:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628997,13.354139290407357,4.6568627450980395,1610612748,4,4,2022-12-03T00:45:31Z,310000,False,227.0,73.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,23.82,Missed,,,,,,,,,,,,,,,,,
34,PT09M13.00S,2022-12-03T00:45:30.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,4,2022-12-03T00:45:31Z,320000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,,Brown,J. Brown,,,,,Right Corner 3,24+ Right,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT09M08.00S,2022-12-03T00:45:35.0Z,1,REGULAR,3pt,Jump Shot,[],203935,66.44218134034165,49.50980392156863,1610612738,4,4,2022-12-03T00:45:46Z,330000,False,-2.0,263.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,
36,PT09M04.00S,2022-12-03T00:45:39.0Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,4,4,2022-12-03T00:46:05Z,340000,False,,,0,,T. Herro REBOUND (Off:0 Def:4),[1629639],1610612748.0,MIA,,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,35.0,4.0,4.0,0.0,,,,,,,,,,,,,
37,PT09M01.00S,2022-12-03T00:45:45.9Z,1,REGULAR,foul,personal,[],1628369,,,1610612748,4,4,2022-12-03T00:45:58Z,350000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 202710]",1610612738.0,BOS,1628159.0,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,0.0,Butler,202710.0,,,,,,,,,
39,PT08M52.00S,2022-12-03T00:46:12.3Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.808804204993432,87.74509803921569,1610612748,4,7,2022-12-03T00:46:17Z,370000,False,-189.0,209.0,1,left,T. Herro 28' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Left Center,28.15,Made,,,,,,,,,3.0,,,,,,,,
40,PT08M35.00S,2022-12-03T00:46:31.7Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612738,4,7,2022-12-03T00:46:47Z,380000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (White 2 FT),"[200768, 1628401]",1610612748.0,MIA,1628159.0,shooting,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,0.0,White,1628401.0,,,,,,,,,
42,PT08M35.00S,2022-12-03T00:46:57.1Z,1,REGULAR,freethrow,1 of 2,[],1628401,,,1610612738,5,7,2022-12-03T00:46:57Z,400000,False,,,0,,D. White Free Throw 1 of 2 (1 PTS),[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
43,PT08M35.00S,2022-12-03T00:47:13.5Z,1,REGULAR,freethrow,2 of 2,[],1628401,,,1610612738,6,7,2022-12-03T00:47:13Z,410000,False,,,0,,D. White Free Throw 2 of 2 (2 PTS),[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,
44,PT08M25.00S,2022-12-03T00:47:23.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,7.5722733245729295,44.11764705882353,1610612748,6,7,2022-12-03T00:47:33Z,420000,False,29.0,19.0,1,left,MISS B. Adebayo driving reverse Layup,[1628389],1610612748.0,MIA,,driving reverse,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.48,Missed,,,,,,,,,,,,,,,,,
45,PT08M22.00S,2022-12-03T00:47:26.8Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,6,7,2022-12-03T00:47:33Z,430000,False,,,0,,J. Butler REBOUND (Off:1 Def:1),[202710],1610612748.0,MIA,,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,44.0,2.0,1.0,1.0,,,,,,,,,,,,,
46,PT08M21.00S,2022-12-03T00:47:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,7.30946123521682,51.470588235294116,1610612748,6,9,2022-12-03T00:47:37Z,440000,False,-7.0,16.0,1,left,J. Butler putback Layup (2 PTS),[202710],1610612748.0,MIA,,putback,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,1.78,Made,,,,,,,,,2.0,,,,,,,,
47,PT08M10.00S,2022-12-03T00:47:39.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,81.02825229960578,93.38235294117648,1610612738,9,9,2022-12-03T00:47:43Z,450000,False,217.0,126.0,1,right,J. Brown 25' 3PT  (3 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.07,Made,,,,,,,,,3.0,M. Smart,203935.0,1.0,,,,,
49,PT07M46.00S,2022-12-03T00:48:02.5Z,1,REGULAR,2pt,Jump Shot,[],1629639,6.652431011826544,88.97058823529412,1610612748,9,11,2022-12-03T01:49:13Z,470000,False,-195.0,10.0,1,left,T. Herro 19' step back Jump Shot (5 PTS) (J. Butler 1 AST),"[1629639, 202710]",1610612748.0,MIA,,step back,,,Herro,T. Herro,,,,,Mid-Range,16-24 Left,19.52,Made,,,,,,,,,5.0,J. Butler,202710.0,1.0,,,,,
51,PT07M31.00S,2022-12-03T00:48:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,94.03745072273325,53.18627450980392,1610612738,11,11,2022-12-03T00:48:21Z,490000,False,16.0,4.0,1,right,M. Smart cutting Layup (4 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,cutting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,,,4.0,J. Brown,1627759.0,1.0,,,,,
53,PT07M20.00S,2022-12-03T00:48:28.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,19.793035479632064,49.754901960784316,1610612748,11,11,2022-12-03T00:51:54Z,510000,False,1.0,134.0,1,left,MISS B. Adebayo 13' fadeaway Shot,[1628389],1610612748.0,MIA,,fadeaway,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,13.36,Missed,,,,,,,,,,,,,,,,,
54,PT07M20.00S,2022-12-03T00:48:28.6Z,1,REGULAR,rebound,offensive,[],202710,,,1610612748,11,11,2022-12-03T00:51:54Z,520000,False,,,0,,J. Butler REBOUND (Off:2 Def:1),[202710],1610612748.0,MIA,,,,,Butler,J. Butler,,,,,In The Paint (Non-RA),8-16 Center,,,53.0,3.0,1.0,2.0,,,,,,,,,,,,,
55,PT07M20.00S,2022-12-03T00:48:44.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",202710,9.017739816031538,51.470588235294116,1610612748,11,13,2022-12-03T00:53:12Z,530000,False,-7.0,32.0,1,left,J. Butler tip Layup (4 PTS),[202710],1610612748.0,MIA,,tip,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,,,,,4.0,,,,,,,,
56,PT07M20.00S,2022-12-03T00:48:50.4Z,1,REGULAR,foul,personal,['1freethrow'],1628369,,,1610612748,11,13,2022-12-03T00:48:58Z,540000,False,,,0,,J. Tatum shooting personal FOUL (2 PF) (Butler 1 FT),"[1628369, 202710]",1610612738.0,BOS,1628159.0,shooting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,,2.0,0.0,Butler,202710.0,,,,,,,,,
58,PT07M20.00S,2022-12-03T00:49:02.8Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],202710,,,1610612748,11,13,2022-12-03T00:49:02Z,560000,False,,,0,,MISS J. Butler Free Throw 1 of 1,[202710],1610612748.0,MIA,,,,,Butler,J. Butler,,,,,,,,Missed,,,,,,,,,,,,,,,,,
59,PT07M16.00S,2022-12-03T00:49:05.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,13,2022-12-03T00:49:05Z,570000,False,,,0,,J. Brown REBOUND (Off:0 Def:3),[1627759],1610612738.0,BOS,,,,,Brown,J. Brown,,,,,,,,,58.0,3.0,3.0,0.0,,,,,,,,,,,,,
60,PT07M12.00S,2022-12-03T00:49:12.8Z,1,REGULAR,turnover,offensive-kicked-ball,[],1627759,,,1610612738,11,13,2022-12-03T00:49:43Z,580000,False,,,0,,J. Brown offensive-kicked-ball TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,1.0,,,,
61,PT07M12.00S,2022-12-03T00:49:25.2Z,1,REGULAR,substitution,out,[],1628369,,,1610612748,11,13,2022-12-03T00:49:29Z,590000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M12.00S,2022-12-03T00:49:25.2Z,1,REGULAR,substitution,in,[],1627763,,,1610612748,11,13,2022-12-03T00:49:29Z,600000,False,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M05.00S,2022-12-03T00:49:42.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628389,8.360709592641262,45.83333333333333,1610612748,11,13,2022-12-03T01:12:54Z,610000,False,21.0,26.0,1,left,MISS B. Adebayo driving Layup,[1628389],1610612748.0,MIA,,driving,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.34,Missed,,,,,,,,,,,,,,,,,
64,PT07M01.00S,2022-12-03T00:49:46.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,11,13,2022-12-03T00:59:37Z,620000,False,,,0,,A. Horford REBOUND (Off:0 Def:2),[201143],1610612738.0,BOS,,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,
65,PT06M59.00S,2022-12-03T00:49:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,93.64323258869908,51.470588235294116,1610612738,13,13,2022-12-03T00:54:26Z,630000,False,7.0,7.0,1,right,M. Smart running Layup (6 PTS),[203935],1610612738.0,BOS,,running,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,1.04,Made,,,,,,,,,6.0,,,,,,,,
66,PT06M43.00S,2022-12-03T00:50:04.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,8.754927726675426,47.794117647058826,1610612748,13,15,2022-12-03T00:50:11Z,640000,False,11.0,30.0,1,left,K. Lowry driving Layup (2 PTS),[200768],1610612748.0,MIA,,driving,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,3.18,Made,,,,,,,,,2.0,,,,,,,,
67,PT06M32.00S,2022-12-03T00:50:15.8Z,1,REGULAR,3pt,Jump Shot,[],1628401,91.27792378449409,3.431372549019608,1610612738,13,15,2022-12-03T00:50:21Z,650000,False,-233.0,29.0,1,right,MISS D. White 3PT,[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.47,Missed,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2022-12-03T00:50:19.8Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,13,15,2022-12-03T00:50:21Z,660000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,Adebayo,B. Adebayo,,,,,Left Corner 3,24+ Left,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT06M21.00S,2022-12-03T00:50:26.0Z,1,REGULAR,turnover,bad pass,[],202710,,,1610612748,13,15,2022-12-03T00:50:31Z,670000,False,,,0,,J. Butler bad pass TURNOVER (1 TO),"[202710, 1627763]",1610612748.0,MIA,,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,1.0,Brogdon,1627763.0,,
70,PT06M21.00S,2022-12-03T00:50:26.0Z,1,REGULAR,steal,,[],1627763,,,1610612738,13,15,2022-12-03T00:50:28Z,680000,False,,,0,,M. Brogdon STEAL (1 STL),[1627763],1610612738.0,BOS,,,,,Brogdon,M. Brogdon,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,
71,PT06M16.00S,2022-12-03T00:50:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627763,90.88370565045992,55.14705882352941,1610612738,13,15,2022-12-03T00:57:12Z,690000,False,26.0,33.0,1,right,MISS M. Brogdon running Layup - blocked,"[1627763, 1628389]",1610612738.0,BOS,,running,,,Brogdon,M. Brogdon,,,,,Restricted Area,0-8 Center,4.2,Missed,,,,,,,,,,,,,,,,Adebayo,1628389.0
72,PT06M16.00S,2022-12-03T00:50:31.3Z,1,REGULAR,block,,[],1628389,,,1610612738,13,15,2022-12-03T00:50:37Z,700000,False,,,0,,B. Adebayo BLOCK (1 BLK),[1628389],1610612748.0,MIA,,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
73,PT06M16.00S,2022-12-03T00:50:31.3Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,13,15,2022-12-03T00:50:43Z,710000,False,,,0,,D. White REBOUND (Off:1 Def:0),[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,Restricted Area,0-8 Center,,,71.0,1.0,0.0,1.0,,,,,,,,,,,,,
74,PT06M16.00S,2022-12-03T00:50:40.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1628401,92.59198423127464,49.754901960784316,1610612738,15,15,2022-12-03T00:50:48Z,720000,False,-1.0,17.0,1,right,D. White putback Layup (4 PTS),[1628401],1610612738.0,BOS,,putback,,,White,D. White,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,,,4.0,,,,,,,,
75,PT06M16.00S,2022-12-03T00:50:51.0Z,1,REGULAR,foul,personal,['1freethrow'],202710,,,1610612738,15,15,2022-12-03T00:51:06Z,730000,False,,,0,,J. Butler shooting personal FOUL (1 PF) (White 1 FT),"[202710, 1628401]",1610612748.0,MIA,1628159.0,shooting,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,,,,,,,1.0,0.0,White,1628401.0,,,,,,,,,
77,PT06M16.00S,2022-12-03T00:51:04.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,15,15,2022-12-03T00:51:12Z,750000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M16.00S,2022-12-03T00:53:10.1Z,1,REGULAR,substitution,out,[],1629639,,,1610612738,15,15,2022-12-03T00:53:30Z,760000,False,,,0,,SUB out: T. Herro,[1629639],1610612748.0,MIA,,,,,Herro,T. Herro,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M16.00S,2022-12-03T00:53:10.1Z,1,REGULAR,substitution,in,[],1629622,,,1610612738,15,15,2022-12-03T00:53:30Z,770000,False,,,0,,SUB in: M. Strus,[1629622],1610612748.0,MIA,,,,,Strus,M. Strus,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M16.00S,2022-12-03T00:53:47.0Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', '2ndchance']",1628401,,,1610612738,16,15,2022-12-03T00:53:47Z,780000,False,,,0,,D. White Free Throw 1 of 1 (5 PTS),[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,
81,PT06M04.00S,2022-12-03T00:54:08.5Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612748,16,15,2022-12-03T00:54:17Z,790000,False,,,0,,A. Horford shooting personal FOUL (2 PF) (Martin 2 FT),"[201143, 1628997]",1610612738.0,BOS,1628159.0,shooting,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,2.0,0.0,Martin,1628997.0,,,,,,,,,
83,PT06M04.00S,2022-12-03T00:54:40.0Z,1,REGULAR,freethrow,1 of 2,[],1628997,,,1610612748,16,16,2022-12-03T00:54:40Z,810000,False,,,0,,C. Martin Free Throw 1 of 2 (1 PTS),[1628997],1610612748.0,MIA,,,,,Martin,C. Martin,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
84,PT06M04.00S,2022-12-03T00:54:41.0Z,1,REGULAR,substitution,out,[],1628401,,,1610612748,16,16,2022-12-03T00:54:49Z,820000,False,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M04.00S,2022-12-03T00:54:41.0Z,1,REGULAR,substitution,out,[],201143,,,1610612748,16,16,2022-12-03T00:54:49Z,830000,False,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
