actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
18,PT10M42.00S,2022-11-15T00:43:08.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,2,2022-11-15T00:43:08Z,180000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,Tatum,J. Tatum,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M38.00S,2022-11-15T00:43:14.9Z,1,REGULAR,foul,personal,[],1630197,,,1610612738,4,2,2022-11-15T00:43:24Z,190000,False,,,0,,A. Pokusevski personal FOUL (1 PF),"[1630197, 201143]",1610612760.0,OKC,,,,,,,Mid-Range,16-24 Left Center,,,Pokusevski,A. Pokusevski,,,,,,,,,101284.0,1.0,0.0,Horford,201143.0,,,,,
21,PT10M27.00S,2022-11-15T00:43:40.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,31.09395532194481,26.225490196078432,1610612738,4,2,2022-11-15T00:44:41Z,210000,False,119.0,240.0,1,left,MISS J. Tatum 26' step back 3PT,[1628369],1610612738.0,BOS,step back,,,,,,Above the Break 3,24+ Right Center,26.77,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
22,PT10M26.00S,2022-11-15T00:43:41.2Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,4,2,2022-11-15T00:43:51Z,220000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:1),[1630197],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Pokusevski,A. Pokusevski,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M13.00S,2022-11-15T00:43:54.2Z,1,REGULAR,2pt,Jump Shot,[],1628983,76.95466491458606,25.49019607843137,1610612760,4,2,2022-11-15T00:44:04Z,230000,False,-123.0,164.0,1,right,MISS S. Gilgeous-Alexander 20' step back Shot,[1628983],1610612760.0,OKC,step back,,,,,,Mid-Range,16-24 Left Center,20.48,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
24,PT10M11.00S,2022-11-15T00:43:56.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,2,2022-11-15T00:44:04Z,240000,False,,,0,,J. Brown REBOUND (Off:0 Def:2),[1627759],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Left Center,,,Brown,J. Brown,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M57.00S,2022-11-15T00:44:10.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,7.752956636005257,47.50689338235294,1610612738,6,2,2022-11-15T00:44:20Z,250000,False,12.0,20.0,1,left,A. Horford alley-oop Layup (4 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,alley-oop,,,,,,Restricted Area,0-8 Center,2.39,Made,Horford,A. Horford,,,,,4.0,M. Smart,203935.0,1.0,,,,,,,,,,
27,PT09M46.00S,2022-11-15T00:44:22.0Z,1,REGULAR,2pt,Jump Shot,[],1631114,74.77003942181341,74.77787990196079,1610612760,6,4,2022-11-15T00:45:59Z,270000,False,124.0,185.0,1,right,J. Williams 22' pullup Jump Shot (4 PTS),[1631114],1610612760.0,OKC,pullup,,,,,,Mid-Range,16-24 Right Center,22.24,Made,Williams,J. Williams,,,,,4.0,,,,,,,,,,,,,
28,PT09M33.00S,2022-11-15T00:44:35.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627759,17.427726675427067,38.48039215686275,1610612738,8,4,2022-11-15T00:44:42Z,280000,False,58.0,111.0,1,left,J. Brown 12' turnaround fadeaway Jump Shot (2 PTS) (M. Smart 2 AST),"[1627759, 203935]",1610612738.0,BOS,turnaround fadeaway,,,,,,In The Paint (Non-RA),8-16 Center,12.53,Made,Brown,J. Brown,,,,,2.0,M. Smart,203935.0,2.0,,,,,,,,,,
30,PT09M27.00S,2022-11-15T00:44:48.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631114,92.19776609724047,53.67647058823529,1610612760,8,6,2022-11-15T00:45:22Z,300000,False,18.0,21.0,1,right,J. Williams cutting Layup (6 PTS) (S. Gilgeous-Alexander 1 AST),"[1631114, 1628983]",1610612760.0,OKC,cutting,,,,,,Restricted Area,0-8 Center,2.78,Made,Williams,J. Williams,,,,,6.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,,,,,,
31,PT09M13.00S,2022-11-15T00:44:53.8Z,1,REGULAR,3pt,Jump Shot,[],1628369,9.806176084099869,3.6764705882352944,1610612738,8,6,2022-11-15T00:45:39Z,310000,False,232.0,40.0,1,left,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,,,,Right Corner 3,24+ Right,23.5,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
32,PT09M13.00S,2022-11-15T00:44:53.8Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,8,6,2022-11-15T00:45:39Z,320000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,,,,Right Corner 3,24+ Right,,,Williams,J. Williams,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M02.00S,2022-11-15T00:45:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630197,93.77463863337714,45.588235294117645,1610612760,8,8,2022-11-15T00:45:44Z,330000,False,-22.0,6.0,1,right,A. Pokusevski Layup (2 PTS),[1630197],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,2.29,Made,Pokusevski,A. Pokusevski,,,,,2.0,,,,,,,,,,,,,
34,PT08M57.00S,2022-11-15T00:45:14.8Z,1,REGULAR,violation,kicked ball,[],1629652,,,1610612738,8,8,2022-11-15T00:46:10Z,340000,False,,,0,,L. Dort kicked ball VIOLATION,[1629652],1610612760.0,OKC,,,,,,,,,,,Dort,L. Dort,,,,,,,,,101284.0,,,,,,,,,
35,PT08M52.00S,2022-11-15T00:45:32.4Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,8,8,2022-11-15T00:46:26Z,350000,False,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,Brown,J. Brown,,,,,,,,,101284.0,,,,,1.0,,,,
36,PT08M35.00S,2022-11-15T00:45:59.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628983,87.72996057818659,51.225490196078425,1610612760,8,10,2022-11-15T00:48:32Z,360000,False,6.0,63.0,1,right,S. Gilgeous-Alexander 6' turnaround fadeaway Jump Shot (2 PTS),[1628983],1610612760.0,OKC,turnaround fadeaway,,,,,,In The Paint (Non-RA),0-8 Center,6.31,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,2.0,,,,,,,,,,,,,
37,PT08M20.00S,2022-11-15T00:46:14.2Z,1,REGULAR,3pt,Jump Shot,[],1628369,27.54599211563732,15.196078431372548,1610612738,8,10,2022-11-15T00:46:42Z,370000,False,174.0,206.0,1,left,MISS J. Tatum 27' 3PT,[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,27.0,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
38,PT08M20.00S,2022-11-15T00:46:14.2Z,1,REGULAR,rebound,defensive,[],1630197,,,1610612760,8,10,2022-11-15T00:46:42Z,380000,False,,,0,,A. Pokusevski REBOUND (Off:0 Def:2),[1630197],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Pokusevski,A. Pokusevski,37.0,2.0,2.0,0.0,,,,,,,,,,,,,,
39,PT08M09.00S,2022-11-15T00:46:25.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,94.1688567674113,54.90196078431373,1610612760,8,10,2022-11-15T00:49:06Z,390000,False,25.0,2.0,1,right,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,,,,Restricted Area,0-8 Center,2.46,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
40,PT08M06.00S,2022-11-15T00:46:28.0Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,8,10,2022-11-15T00:46:28Z,400000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,Williams,G. Williams,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,
41,PT08M00.00S,2022-11-15T00:46:34.5Z,1,REGULAR,3pt,Jump Shot,[],1629684,23.340998685939553,8.333333333333332,1610612738,8,10,2022-11-15T00:46:48Z,410000,False,208.0,167.0,1,left,MISS G. Williams 26' 3PT,[1629684],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,26.69,Missed,Williams,G. Williams,,,,,,,,,,,,,,,,,,
42,PT07M58.00S,2022-11-15T00:46:36.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,8,10,2022-11-15T00:46:48Z,420000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,,,Giddey,J. Giddey,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
43,PT07M51.00S,2022-11-15T00:46:43.8Z,1,REGULAR,3pt,Jump Shot,[],1631114,75.08212877792378,84.31372549019608,1610612760,8,10,2022-11-15T00:49:52Z,430000,False,172.0,182.0,1,right,MISS J. Williams 24' 3PT,[1631114],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,24.99,Missed,Williams,J. Williams,,,,,,,,,,,,,,,,,,
44,PT07M51.00S,2022-11-15T00:46:43.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,8,10,2022-11-15T00:46:52Z,440000,False,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,,,,Mid-Range,16-24 Right Center,,,Williams,G. Williams,43.0,2.0,2.0,0.0,,,,,,,,,,,,,,
45,PT07M35.00S,2022-11-15T00:46:59.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,32.53942181340342,75.49019607843137,1610612738,8,10,2022-11-15T00:47:05Z,450000,False,-127.0,253.0,1,left,MISS J. Tatum 28' 3PT,[1628369],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,28.37,Missed,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
46,PT07M33.00S,2022-11-15T00:47:01.4Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612738,8,10,2022-11-15T00:47:05Z,460000,False,,,0,,G. Williams REBOUND (Off:1 Def:2),[1629684],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,Williams,G. Williams,45.0,3.0,2.0,1.0,,,,,,,,,,,,,,
47,PT07M32.00S,2022-11-15T00:47:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629684,9.149145860709593,52.20588235294118,1610612738,8,10,2022-11-15T00:47:13Z,470000,False,-11.0,34.0,1,left,MISS G. Williams putback Layup,[1629684],1610612738.0,BOS,putback,,,,,,Restricted Area,0-8 Center,3.53,Missed,Williams,G. Williams,,,,,,,,,,,,,,,,,,
48,PT07M31.00S,2022-11-15T00:47:05.2Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,8,10,2022-11-15T00:47:55Z,480000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Williams,J. Williams,47.0,2.0,2.0,0.0,,,,,,,,,,,,,,
49,PT07M31.00S,2022-11-15T00:47:11.5Z,1,REGULAR,foul,technical,['1freethrow'],1629684,,,1610612760,8,10,2022-11-15T00:47:28Z,490000,False,,,0,,G. Williams technical FOUL (1 Tech),[1629684],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,,,Williams,G. Williams,,,,,,,,,203177.0,0.0,1.0,,,,,,,
50,PT07M31.00S,2022-11-15T00:47:37.5Z,1,REGULAR,freethrow,1 of 1,[],1628983,,,1610612760,8,11,2022-11-15T00:47:37Z,500000,False,,,0,,S. Gilgeous-Alexander technical Free Throw 1 of 1 (3 PTS),[1628983],1610612760.0,OKC,technical,,,,,,,,,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,3.0,,,,,,,,,,,,,
51,PT07M17.00S,2022-11-15T00:48:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,69.33311432325887,65.68627450980392,1610612760,8,14,2022-11-15T00:48:12Z,510000,False,78.0,236.0,1,right,L. Dort 24' 3PT  (3 PTS) (S. Gilgeous-Alexander 2 AST),"[1629652, 1628983]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,24.85,Made,Dort,L. Dort,,,,,3.0,S. Gilgeous-Alexander,1628983.0,2.0,,,,,,,,,,
53,PT07M02.00S,2022-11-15T00:48:23.0Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612738,8,14,2022-11-15T00:48:37Z,530000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Brown 2 FT),"[1631114, 1627759]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Williams,J. Williams,,,,,,,,,1627534.0,1.0,0.0,Brown,1627759.0,,,,,
55,PT07M02.00S,2022-11-15T00:48:51.5Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,9,14,2022-11-15T00:48:51Z,550000,False,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,,,,,,,Made,Brown,J. Brown,,,,,3.0,,,,,,,,,,,,,
56,PT07M02.00S,2022-11-15T00:49:14.3Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,10,14,2022-11-15T00:49:14Z,560000,False,,,0,,J. Brown Free Throw 2 of 2 (4 PTS),[1627759],1610612738.0,BOS,,,,,,,,,,Made,Brown,J. Brown,,,,,4.0,,,,,,,,,,,,,
57,PT06M49.00S,2022-11-15T00:49:27.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,91.93495400788436,44.85294117647059,1610612760,10,16,2022-11-15T00:49:36Z,570000,False,-26.0,23.0,1,right,J. Giddey driving floating bank Jump Shot (2 PTS),[1630581],1610612760.0,OKC,driving floating bank,,,,,,Restricted Area,0-8 Center,3.47,Made,Giddey,J. Giddey,,,,,2.0,,,,,,,,,,,,,
58,PT06M49.00S,2022-11-15T00:49:36.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612738,10,16,2022-11-15T00:49:36Z,580000,False,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT06M49.00S,2022-11-15T00:51:54.6Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,10,16,2022-11-15T00:52:15Z,590000,False,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,,,,,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,
60,PT06M49.00S,2022-11-15T00:51:54.6Z,1,REGULAR,substitution,in,[],1628401,,,1610612738,10,16,2022-11-15T00:52:15Z,600000,False,,,0,,SUB in: D. White,[1628401],1610612738.0,BOS,,,,,,,,,,,White,D. White,,,,,,,,,,,,,,,,,,
61,PT06M41.00S,2022-11-15T00:52:42.5Z,1,REGULAR,2pt,Jump Shot,[],1627759,22.28975032851511,31.862745098039213,1610612738,12,16,2022-11-15T00:53:02Z,610000,False,91.0,157.0,1,left,J. Brown 18' pullup Jump Shot (6 PTS),[1627759],1610612738.0,BOS,pullup,,,,,,Mid-Range,16-24 Right Center,18.13,Made,Brown,J. Brown,,,,,6.0,,,,,,,,,,,,,
79,PT06M26.00S,2022-11-15T00:52:57.3Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,12,16,2022-11-15T00:57:49Z,617500,False,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 201143]",1610612760.0,OKC,,,,,,,Mid-Range,8-16 Left,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,1.0,Horford,201143.0,,
80,PT06M26.00S,2022-11-15T00:52:57.3Z,1,REGULAR,steal,,[],201143,,,1610612738,12,16,2022-11-15T01:12:08Z,618750,False,,,0,,A. Horford STEAL (1 STL),[201143],1610612738.0,BOS,,,,,,,Mid-Range,8-16 Left,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,
75,PT06M24.00S,2022-11-15T00:53:02.3Z,1,REGULAR,turnover,out-of-bounds,[],1627759,,,1610612738,12,16,2022-11-15T00:54:22Z,620000,False,,,0,,J. Brown step out-of-bounds TURNOVER (2 TO),[1627759],1610612738.0,BOS,step,,,,,,Mid-Range,8-16 Left,,,Brown,J. Brown,,,,,,,,,203177.0,,,,,2.0,,,,
64,PT06M24.00S,2022-11-15T00:53:22.2Z,1,REGULAR,substitution,out,[],1629652,,,1610612760,12,16,2022-11-15T00:53:29Z,630000,False,,,0,,SUB out: L. Dort,[1629652],1610612760.0,OKC,,,,,,,,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,
65,PT06M24.00S,2022-11-15T00:53:22.2Z,1,REGULAR,substitution,in,[],1630598,,,1610612760,12,16,2022-11-15T00:53:29Z,640000,False,,,0,,SUB in: A. Wiggins,[1630598],1610612760.0,OKC,,,,,,,,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
66,PT06M15.00S,2022-11-15T00:53:32.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,68.54467805519053,26.225490196078432,1610612760,12,16,2022-11-15T00:54:22Z,650000,False,-119.0,243.0,1,right,MISS J. Giddey 27' 3PT,[1630581],1610612760.0,OKC,,,,,,,Above the Break 3,24+ Left Center,27.07,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
67,PT06M12.00S,2022-11-15T00:53:35.3Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,12,16,2022-11-15T00:53:55Z,660000,False,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,Smart,M. Smart,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT06M06.00S,2022-11-15T00:53:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,9.411957950065702,44.36274509803921,1610612738,14,16,2022-11-15T00:59:25Z,670000,False,28.0,36.0,1,left,J. Brown driving Layup (8 PTS),[1627759],1610612738.0,BOS,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.57,Made,Brown,J. Brown,,,,,8.0,,,,,,,,,,,,,
69,PT05M55.00S,2022-11-15T00:53:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,91.93495400788436,45.34313725490196,1610612760,14,16,2022-11-15T00:59:47Z,680000,False,-23.0,23.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.3,Missed,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,
70,PT05M55.00S,2022-11-15T00:53:52.5Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,14,16,2022-11-15T00:54:01Z,690000,False,,,0,,G. Williams REBOUND (Off:1 Def:3),[1629684],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,Williams,G. Williams,69.0,4.0,3.0,1.0,,,,,,,,,,,,,,
71,PT05M41.00S,2022-11-15T00:54:06.5Z,1,REGULAR,3pt,Jump Shot,[],201143,32.14520367936925,31.127450980392158,1610612738,17,16,2022-11-15T00:54:45Z,700000,False,94.0,250.0,1,left,A. Horford 26' 3PT  (7 PTS) (M. Smart 3 AST),"[201143, 203935]",1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,26.69,Made,Horford,A. Horford,,,,,7.0,M. Smart,203935.0,3.0,,,,,,,,,,
73,PT05M29.00S,2022-11-15T00:54:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,92.32917214191852,55.14705882352941,1610612760,17,16,2022-11-15T01:00:15Z,720000,False,26.0,20.0,1,right,MISS A. Wiggins driving Layup - blocked,"[1630598, 201143]",1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,3.23,Missed,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,Horford,201143.0
74,PT05M29.00S,2022-11-15T00:54:17.9Z,1,REGULAR,block,,[],201143,,,1610612760,17,16,2022-11-15T00:54:20Z,730000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,,,,Restricted Area,0-8 Center,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,
76,PT05M29.00S,2022-11-15T00:54:17.9Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,17,16,2022-11-15T00:54:50Z,740000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[1630598],1610612760.0,OKC,,,,,,,Restricted Area,0-8 Center,,,Wiggins,A. Wiggins,73.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT05M22.00S,2022-11-15T00:54:24.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628983,70.64717477003943,70.83333333333334,1610612760,17,19,2022-11-15T00:54:53Z,750000,False,104.0,223.0,1,right,S. Gilgeous-Alexander 24' 3PT  (6 PTS) (A. Wiggins 1 AST),"[1628983, 1630598]",1610612760.0,OKC,,,,,,,Above the Break 3,24+ Right Center,24.65,Made,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,6.0,A. Wiggins,1630598.0,1.0,,,,,,,,,,
81,PT05M06.00S,2022-11-15T00:54:41.7Z,1,REGULAR,2pt,Jump Shot,[],203935,27.808804204993432,47.794117647058826,1610612738,17,19,2022-11-15T01:01:16Z,760000,False,11.0,209.0,1,left,MISS M. Smart 20' step back Shot,[203935],1610612738.0,BOS,step back,,,,,,Mid-Range,16-24 Center,20.92,Missed,Smart,M. Smart,,,,,,,,,,,,,,,,,,
82,PT05M06.00S,2022-11-15T00:54:41.7Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,17,19,2022-11-15T00:54:58Z,770000,False,,,0,,J. Giddey REBOUND (Off:0 Def:2),[1630581],1610612760.0,OKC,,,,,,,Mid-Range,16-24 Center,,,Giddey,J. Giddey,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,
