actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
57,PT07M20.00S,2022-10-28T23:49:14.0Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,6,15,2022-10-28T23:49:14Z,560000,,,0,,E. Mobley Free Throw 1 of 2 (3 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
58,PT07M20.00S,2022-10-28T23:49:18.2Z,1,REGULAR,substitution,out,[],1628401,,,1610612739,6,15,2022-10-28T23:49:27Z,570000,,,0,,SUB out: D. White,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M20.00S,2022-10-28T23:49:18.2Z,1,REGULAR,substitution,in,[],201933,,,1610612739,6,15,2022-10-28T23:49:27Z,580000,,,0,,SUB in: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M20.00S,2022-10-28T23:49:38.7Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,6,16,2022-10-28T23:49:38Z,590000,,,0,,E. Mobley Free Throw 2 of 2 (4 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,,4.0,,,,,,,,,,,,
61,PT07M04.00S,2022-10-28T23:49:56.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,75.3777923784494,85.29411764705883,1610612738,9,16,2022-10-28T23:50:01Z,600000,176.0,179.0,1,right,J. Tatum 25' 3PT  (7 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,7.0,25.13,,,,,M. Smart,203935.0,2.0,,,,
63,PT06M55.00S,2022-10-28T23:50:08.6Z,1,REGULAR,foul,personal,[],201933,,,1610612739,9,16,2022-10-28T23:50:26Z,620000,,,0,,B. Griffin personal FOUL (1 PF),"[201933, 1627747]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Mid-Range,16-24 Center,202049.0,1.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,
65,PT06M55.00S,2022-10-28T23:50:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612739,9,16,2022-10-28T23:50:21Z,640000,,,0,,BOS Timeout,[],1610612738.0,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M55.00S,2022-10-28T23:52:26.6Z,1,REGULAR,substitution,out,[],1630596,,,1610612739,9,16,2022-10-28T23:52:59Z,650000,,,0,,SUB out: E. Mobley,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M55.00S,2022-10-28T23:52:26.6Z,1,REGULAR,substitution,in,[],201567,,,1610612739,9,16,2022-10-28T23:52:59Z,660000,,,0,,SUB in: K. Love,[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2022-10-28T23:53:26.5Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.750985545335087,76.22549019607843,1610612739,9,19,2022-10-28T23:53:34Z,670000,-131.0,246.0,1,left,D. Mitchell 27' 3PT step back (5 PTS),[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,5.0,27.88,,,,,,,,,,,
69,PT06M29.00S,2022-10-28T23:53:45.7Z,1,REGULAR,foul,offensive,[],201933,,,1610612738,9,19,2022-10-28T23:54:06Z,680000,,,0,,B. Griffin offensive FOUL (2 PF),"[201933, 1629731]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Mid-Range,16-24 Right,1627519.0,2.0,0.0,Wade,1629731.0,,,,,,,,,,,,,,,
71,PT06M29.00S,2022-10-28T23:53:45.7Z,1,REGULAR,turnover,offensive foul,[],201933,,,1610612738,9,19,2022-10-28T23:54:06Z,700000,,,0,,B. Griffin offensive foul TURNOVER (1 TO),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Mid-Range,16-24 Right,1627519.0,,,,,,,,,,,,1.0,,,,,,,
72,PT06M29.00S,2022-10-28T23:53:55.9Z,1,REGULAR,substitution,out,[],1628369,,,1610612739,9,19,2022-10-28T23:53:59Z,710000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M29.00S,2022-10-28T23:53:55.9Z,1,REGULAR,substitution,in,[],1627763,,,1610612739,9,19,2022-10-28T23:53:59Z,720000,,,0,,SUB in: M. Brogdon,[1627763],1610612738.0,BOS,,,,Brogdon,M. Brogdon,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M16.00S,2022-10-28T23:54:19.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627747,30.831143232588698,77.94117647058823,1610612739,9,22,2022-10-28T23:54:24Z,730000,-140.0,237.0,1,left,C. LeVert 27' 3PT step back (8 PTS),[1627747],1610612739.0,CLE,step back,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,8.0,27.54,,,,,,,,,,,
75,PT05M57.00S,2022-10-28T23:54:38.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201143,82.34231274638634,49.26470588235294,1610612738,11,22,2022-10-28T23:54:58Z,740000,-4.0,113.0,1,right,A. Horford 11' fadeaway Jump Shot (2 PTS),[201143],1610612738.0,BOS,fadeaway,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,,2.0,11.36,,,,,,,,,,,
76,PT05M48.00S,2022-10-28T23:54:51.4Z,1,REGULAR,foul,offensive,[],201567,,,1610612739,11,22,2022-10-28T23:54:55Z,750000,,,0,,K. Love offensive FOUL (1 PF),"[201567, 203935]",1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,202049.0,1.0,0.0,Smart,203935.0,,,,,,,,,,,,,,,
78,PT05M48.00S,2022-10-28T23:54:51.4Z,1,REGULAR,turnover,offensive foul,[],201567,,,1610612739,11,22,2022-10-28T23:54:51Z,770000,,,0,,K. Love offensive foul TURNOVER (1 TO),[201567],1610612739.0,CLE,,,,Love,K. Love,,,,,Above the Break 3,24+ Center,202049.0,,,,,,,,,,,,1.0,,,,,,,
79,PT05M48.00S,2022-10-28T23:54:59.7Z,1,REGULAR,substitution,out,[],1628378,,,1610612738,11,22,2022-10-28T23:55:05Z,780000,,,0,,SUB out: D. Mitchell,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M48.00S,2022-10-28T23:54:59.7Z,1,REGULAR,substitution,in,[],203526,,,1610612738,11,22,2022-10-28T23:55:05Z,790000,,,0,,SUB in: R. Neto,[203526],1610612739.0,CLE,,,,Neto,R. Neto,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M35.00S,2022-10-28T23:55:41.5Z,1,REGULAR,foul,personal,['2freethrow'],1628386,,,1610612738,11,22,2022-10-28T23:55:47Z,810000,,,0,,J. Allen shooting personal FOUL (1 PF) (Brown 2 FT),"[1628386, 1627759]",1610612739.0,CLE,shooting,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,1151.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
84,PT05M35.00S,2022-10-28T23:56:06.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627759,,,1610612738,12,22,2022-10-28T23:56:26Z,830000,,,0,,J. Brown Free Throw 1 of 2 (3 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,,3.0,,,,,,,,,,,,
85,PT05M35.00S,2022-10-28T23:56:06.4Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627759,,,1610612738,12,22,2022-10-28T23:56:26Z,840000,,,0,,MISS J. Brown Free Throw 2 of 2,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
86,PT05M35.00S,2022-10-28T23:56:06.4Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,12,22,2022-10-28T23:56:26Z,850000,,,0,,J. Allen REBOUND (Off:1 Def:2),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,,,,,,,85.0,,,3.0,2.0,1.0,,,,,,,,
87,PT05M18.00S,2022-10-28T23:56:42.6Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",201933,,,1610612739,12,22,2022-10-28T23:56:50Z,860000,,,0,,B. Griffin shooting personal FOUL (3 PF) (LeVert 2 FT),"[201933, 1627747]",1610612738.0,BOS,shooting,,,Griffin,B. Griffin,,,,,In The Paint (Non-RA),0-8 Center,1151.0,3.0,0.0,LeVert,1627747.0,,,,,,,,,,,,,,,
89,PT05M18.00S,2022-10-28T23:57:09.5Z,1,REGULAR,freethrow,1 of 2,[],1627747,,,1610612739,12,23,2022-10-28T23:57:33Z,880000,,,0,,C. LeVert Free Throw 1 of 2 (9 PTS),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Made,,9.0,,,,,,,,,,,,
90,PT05M18.00S,2022-10-28T23:57:12.2Z,1,REGULAR,substitution,out,[],201933,,,1610612739,12,23,2022-10-28T23:57:16Z,890000,,,0,,SUB out: B. Griffin,[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT05M18.00S,2022-10-28T23:57:12.2Z,1,REGULAR,substitution,in,[],1628436,,,1610612739,12,23,2022-10-28T23:57:16Z,900000,,,0,,SUB in: L. Kornet,[1628436],1610612738.0,BOS,,,,Kornet,L. Kornet,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PT05M18.00S,2022-10-28T23:57:09.5Z,1,REGULAR,freethrow,2 of 2,[],1627747,,,1610612739,12,23,2022-10-28T23:57:33Z,910000,,,0,,MISS C. LeVert Free Throw 2 of 2,[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
