actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
18,PT10M17.00S,2024-03-19T23:43:07.0Z,1,REGULAR,3pt,Jump Shot,[],203468,65.52233902759527,50.98039215686274,1610612740,3,5,2024-03-19T23:43:10Z,180000,False,5.0,272.0,1,right,C. McCollum 27' 3PT pullup (3 PTS) (H. Jones 2 AST),"[203468, 1630529]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,27.16,Made,,,,,,,,3.0,H. Jones,1630529.0,2.0,,,,,,,
20,PT09M53.00S,2024-03-19T23:43:30.8Z,1,REGULAR,2pt,Jump Shot,[],203471,19.004599211563733,73.0392156862745,1610612751,3,5,2024-03-19T23:43:35Z,200000,False,-115.0,126.0,1,left,MISS D. Schroder 17' step back Shot,[203471],1610612751.0,BKN,step back,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Left Center,17.08,Missed,,,,,,,,,,,,,,,,,,
21,PT09M50.00S,2024-03-19T23:43:33.8Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,3,5,2024-03-19T23:43:35Z,210000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M44.00S,2024-03-19T23:43:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,81.553876478318,44.85294117647059,1610612740,3,7,2024-03-19T23:43:43Z,220000,False,-26.0,121.0,1,right,B. Ingram 12' pullup Jump Shot (2 PTS),[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,12.36,Made,,,,,,,,2.0,,,,,,,,,,
23,PT09M17.00S,2024-03-19T23:44:07.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,28.86005256241787,72.79411764705883,1610612751,3,7,2024-03-19T23:44:10Z,230000,False,-114.0,219.0,1,left,MISS M. Bridges 24' pullup 3PT,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.67,Missed,,,,,,,,,,,,,,,,,,
24,PT09M15.00S,2024-03-19T23:44:09.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,3,7,2024-03-19T23:44:09Z,240000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT09M07.00S,2024-03-19T23:44:17.5Z,1,REGULAR,foul,personal,['2freethrow'],1629627,,,1610612751,3,7,2024-03-19T23:44:32Z,250000,False,,,0,,Z. Williamson shooting personal FOUL (1 PF) (Thomas 2 FT),"[1629627, 1630560]",1610612740.0,NOP,shooting,,,Williamson,Z. Williamson,,,,,Mid-Range,8-16 Left,,,,,,,,,2004.0,,,,,1.0,0.0,Thomas,1630560.0,,,
27,PT09M07.00S,2024-03-19T23:44:49.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1630560,,,1610612751,4,7,2024-03-19T23:44:49Z,270000,False,,,0,,C. Thomas Free Throw 1 of 2 (1 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,,,,,,,,1.0,,,,,,,,,,
28,PT09M07.00S,2024-03-19T23:45:05.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1630560,,,1610612751,5,7,2024-03-19T23:45:05Z,280000,False,,,0,,C. Thomas Free Throw 2 of 2 (2 PTS),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Made,,,,,,,,2.0,,,,,,,,,,
29,PT08M58.00S,2024-03-19T23:45:14.7Z,1,REGULAR,3pt,Jump Shot,[],203468,65.39093298291722,28.676470588235293,1610612740,5,10,2024-03-19T23:45:19Z,290000,False,-107.0,273.0,1,right,C. McCollum 29' 3PT  (6 PTS) (B. Ingram 1 AST),"[203468, 1627742]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,29.29,Made,,,,,,,,6.0,B. Ingram,1627742.0,1.0,,,,,,,
31,PT08M28.00S,2024-03-19T23:45:45.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,15.193823915900131,44.6078431372549,1610612751,5,10,2024-03-19T23:46:42Z,310000,False,27.0,90.0,1,left,MISS D. Finney-Smith 9' fadeaway Shot,[1627827],1610612751.0,BKN,fadeaway,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),8-16 Center,9.43,Missed,,,,,,,,,,,,,,,,,,
32,PT08M23.00S,2024-03-19T23:45:50.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,5,10,2024-03-19T23:46:42Z,320000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT08M20.00S,2024-03-19T23:45:52.9Z,1,REGULAR,turnover,bad pass,[],1627742,,,1610612740,5,10,2024-03-19T23:46:17Z,330000,False,,,0,,B. Ingram bad pass TURNOVER (1 TO),"[1627742, 1628969]",1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,1.0,Bridges,1628969.0
34,PT08M20.00S,2024-03-19T23:45:52.9Z,1,REGULAR,steal,,[],1628969,,,1610612751,5,10,2024-03-19T23:45:57Z,340000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT08M09.00S,2024-03-19T23:46:03.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,24.392247043363994,84.55882352941177,1610612751,5,10,2024-03-19T23:46:07Z,350000,False,-173.0,177.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.72,Missed,,,,,,,,,,,,,,,,,,
36,PT08M07.00S,2024-03-19T23:46:05.9Z,1,REGULAR,rebound,defensive,[],1629627,,,1610612740,5,10,2024-03-19T23:46:07Z,360000,False,,,0,,Z. Williamson REBOUND (Off:0 Def:1),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Above the Break 3,24+ Left Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT08M02.00S,2024-03-19T23:46:14.6Z,1,REGULAR,foul,offensive,[],1629627,,,1610612740,5,10,2024-03-19T23:46:22Z,370000,False,,,0,,Z. Williamson offensive FOUL (2 PF),"[1629627, 1628969]",1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1628159.0,,,,,2.0,0.0,Bridges,1628969.0,,,
39,PT08M02.00S,2024-03-19T23:46:14.6Z,1,REGULAR,turnover,offensive foul,[],1629627,,,1610612740,5,10,2024-03-19T23:46:14Z,390000,False,,,0,,Z. Williamson offensive foul TURNOVER (1 TO),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,Mid-Range,16-24 Right Center,,,,,,,,,1628159.0,,,,,,,,,1.0,,
40,PT08M02.00S,2024-03-19T23:46:22.6Z,1,REGULAR,substitution,out,[],1629627,,,1610612751,5,10,2024-03-19T23:46:28Z,400000,False,,,0,,SUB out: Z. Williamson,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PT08M02.00S,2024-03-19T23:46:22.6Z,1,REGULAR,substitution,in,[],1630530,,,1610612751,5,10,2024-03-19T23:46:28Z,410000,False,,,0,,SUB in: T. Murphy III,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT07M45.00S,2024-03-19T23:46:48.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203471,2.447437582128778,89.95098039215686,1610612751,5,10,2024-03-19T23:48:33Z,420000,False,-200.0,-29.0,1,left,MISS D. Schroder 20' Jump Shot,[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Left,20.2,Missed,,,,,,,,,,,,,,,,,,
43,PT07M43.00S,2024-03-19T23:46:50.8Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,5,10,2024-03-19T23:48:33Z,430000,False,,,0,,N. Claxton REBOUND (Off:2 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Left,,,42.0,2.0,0.0,2.0,,,,,,,,,,,,,,
44,PT07M42.00S,2024-03-19T23:46:52.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628969,32.14520367936925,52.94117647058824,1610612751,8,10,2024-03-19T23:46:55Z,440000,False,-15.0,250.0,1,left,M. Bridges 25' 3PT  (6 PTS) (N. Claxton 2 AST),"[1628969, 1629651]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,25.01,Made,,,,,,,,6.0,N. Claxton,1629651.0,2.0,,,,,,,
46,PT07M25.00S,2024-03-19T23:47:09.0Z,1,REGULAR,3pt,Jump Shot,[],203468,76.69185282522996,12.009803921568627,1610612740,8,13,2024-03-19T23:47:12Z,460000,False,-190.0,167.0,1,right,C. McCollum 25' 3PT  (9 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.27,Made,,,,,,,,9.0,J. Valanciunas,202685.0,1.0,,,,,,,
48,PT07M11.00S,2024-03-19T23:47:22.7Z,1,REGULAR,3pt,Jump Shot,[],1630560,2.9730617608409986,96.07843137254902,1610612751,8,13,2024-03-19T23:47:29Z,480000,False,-230.0,-25.0,1,left,MISS C. Thomas 3PT,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
49,PT07M07.00S,2024-03-19T23:47:27.0Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612751,8,13,2024-03-19T23:47:27Z,490000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,48.0,1.0,0.0,1.0,,,,,,,,,,,,,,
50,PT07M06.00S,2024-03-19T23:47:30.5Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612751,8,13,2024-03-19T23:47:44Z,500000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Bridges 2 FT),"[202685, 1628969]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,1628159.0,,,,,1.0,0.0,Bridges,1628969.0,,,
52,PT07M06.00S,2024-03-19T23:48:01.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628969,,,1610612751,9,13,2024-03-19T23:48:27Z,520000,False,,,0,,M. Bridges Free Throw 1 of 2 (7 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,Made,,,,,,,,7.0,,,,,,,,,,
53,PT07M06.00S,2024-03-19T23:48:01.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628969,,,1610612751,9,13,2024-03-19T23:48:27Z,530000,False,,,0,,MISS M. Bridges Free Throw 2 of 2,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M03.00S,2024-03-19T23:48:04.8Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,9,13,2024-03-19T23:48:27Z,540000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,,,,
55,PT06M44.00S,2024-03-19T23:48:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,86.67871222076215,37.254901960784316,1610612740,9,13,2024-03-19T23:48:47Z,550000,False,-64.0,73.0,1,right,MISS J. Valanciunas 9' turnaround Shot,[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),8-16 Left,9.67,Missed,,,,,,,,,,,,,,,,,,
56,PT06M42.00S,2024-03-19T23:48:44.9Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,9,13,2024-03-19T23:48:47Z,560000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Left,,,55.0,3.0,1.0,2.0,,,,,,,,,,,,,,
57,PT06M29.00S,2024-03-19T23:48:58.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,27.677398160315374,20.34313725490196,1610612751,9,13,2024-03-19T23:49:02Z,570000,False,148.0,208.0,1,left,MISS M. Bridges 25' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.52,Missed,,,,,,,,,,,,,,,,,,
58,PT06M25.00S,2024-03-19T23:49:02.6Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,9,13,2024-03-19T23:49:02Z,580000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:2),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,,,57.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT06M18.00S,2024-03-19T23:49:08.9Z,1,REGULAR,3pt,Jump Shot,[],202685,68.67608409986859,31.372549019607842,1610612740,9,13,2024-03-19T23:49:13Z,590000,False,-93.0,242.0,1,right,MISS J. Valanciunas 25' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,25.92,Missed,,,,,,,,,,,,,,,,,,
60,PT06M16.00S,2024-03-19T23:49:10.9Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,9,13,2024-03-19T23:49:13Z,600000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:2),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,,,59.0,2.0,2.0,0.0,,,,,,,,,,,,,,
61,PT06M07.00S,2024-03-19T23:49:20.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,32.40801576872536,46.07843137254902,1610612751,9,13,2024-03-19T23:49:25Z,610000,False,20.0,252.0,1,left,MISS D. Finney-Smith 25' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,25.29,Missed,,,,,,,,,,,,,,,,,,
62,PT06M04.00S,2024-03-19T23:49:23.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,13,2024-03-19T23:49:25Z,620000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,,
63,PT06M00.00S,2024-03-19T23:49:29.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1630530,94.03745072273325,49.50980392156863,1610612740,9,15,2024-03-19T23:51:35Z,630000,False,-2.0,4.0,1,right,T. Murphy III running DUNK (2 PTS) (B. Ingram 2 AST),"[1630530, 1627742]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,0.43,Made,,,,,,,,2.0,B. Ingram,1627742.0,2.0,,,,,,,
65,PT05M53.00S,2024-03-19T23:49:38.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,9,15,2024-03-19T23:49:38Z,650000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,out,[],1630560,,,1610612751,9,15,2024-03-19T23:52:29Z,660000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,out,[],1627827,,,1610612751,9,15,2024-03-19T23:52:29Z,670000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,9,15,2024-03-19T23:52:29Z,680000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,out,[],203468,,,1610612751,9,15,2024-03-19T23:52:29Z,690000,False,,,0,,SUB out: C. McCollum,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,in,[],1629661,,,1610612751,9,15,2024-03-19T23:52:29Z,700000,False,,,0,,SUB in: C. Johnson,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,in,[],1628372,,,1610612751,9,15,2024-03-19T23:52:29Z,710000,False,,,0,,SUB in: D. Smith Jr.,[1628372],1610612751.0,BKN,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,9,15,2024-03-19T23:52:29Z,720000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M53.00S,2024-03-19T23:49:54.7Z,1,REGULAR,substitution,in,[],1630631,,,1610612751,9,15,2024-03-19T23:52:29Z,730000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M33.00S,2024-03-19T23:53:03.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630549,11.645860709592641,46.568627450980394,1610612751,11,15,2024-03-19T23:53:09Z,740000,False,17.0,57.0,1,left,D. Sharpe Hook (2 PTS),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,In The Paint (Non-RA),0-8 Center,5.95,Made,,,,,,,,2.0,,,,,,,,,,
76,PT05M12.00S,2024-03-19T23:53:24.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,76.03482260183968,88.48039215686273,1610612740,11,15,2024-03-19T23:53:29Z,760000,False,192.0,173.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.86,Missed,,,,,,,,,,,,,,,,,,
77,PT05M10.00S,2024-03-19T23:53:26.2Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,11,15,2024-03-19T23:53:29Z,770000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,76.0,1.0,0.0,1.0,,,,,,,,,,,,,,
78,PT05M07.00S,2024-03-19T23:53:30.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,86.67871222076215,95.09803921568627,1610612740,11,15,2024-03-19T23:53:55Z,780000,False,225.0,73.0,1,right,MISS T. Murphy III 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,23.69,Missed,,,,,,,,,,,,,,,,,,
79,PT05M04.00S,2024-03-19T23:53:33.6Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,11,15,2024-03-19T23:53:36Z,790000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:1),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Right Corner 3,24+ Right,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT04M56.00S,2024-03-19T23:53:41.7Z,1,REGULAR,2pt,Jump Shot,[],203471,6.783837056504599,20.833333333333336,1610612751,13,15,2024-03-19T23:53:45Z,800000,False,146.0,11.0,1,left,D. Schroder 14' pullup Jump Shot (2 PTS),[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,8-16 Right,14.62,Made,,,,,,,,2.0,,,,,,,,,,
81,PT04M43.00S,2024-03-19T23:53:53.3Z,1,REGULAR,3pt,Jump Shot,[],1627742,75.1149802890933,87.00980392156863,1610612740,13,15,2024-03-19T23:53:58Z,810000,False,185.0,181.0,1,right,MISS B. Ingram 25' 3PT,[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Right Center,25.91,Missed,,,,,,,,,,,,,,,,,,
82,PT04M41.00S,2024-03-19T23:53:55.3Z,1,REGULAR,rebound,defensive,[],1630549,,,1610612751,13,15,2024-03-19T23:53:58Z,820000,False,,,0,,D. Sharpe REBOUND (Off:0 Def:2),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Above the Break 3,24+ Right Center,,,81.0,2.0,2.0,0.0,,,,,,,,,,,,,,
83,PT04M32.00S,2024-03-19T23:54:10.0Z,1,REGULAR,foul,personal,[],1630631,,,1610612751,13,15,2024-03-19T23:54:31Z,830000,False,,,0,,J. Alvarado personal FOUL (1 PF),"[1630631, 1630549]",1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,201638.0,,,,,1.0,0.0,Sharpe,1630549.0,,,
