actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
23,PT10M02.00S,2023-11-12T20:13:09.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,1.5275952693823915,97.05882352941177,1610612751,0,0,2023-11-12T20:13:36Z,230000,False,-235.0,-38.0,1,left,MISS M. Bridges running 3PT,[1628969],1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.84,Missed,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2023-11-12T20:13:12.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-11-12T20:13:17Z,240000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT09M55.00S,2023-11-12T20:13:18.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.72339027595268,53.431372549019606,1610612764,0,0,2023-11-12T20:13:44Z,250000,False,17.0,16.0,1,right,MISS K. Kuzma driving Layup - blocked,"[1628398, 203915]",1610612764.0,WAS,driving,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,Dinwiddie,203915.0,,,,,,,,,,,,
26,PT09M55.00S,2023-11-12T20:13:18.7Z,1,REGULAR,block,,[],203915,,,1610612764,0,0,2023-11-12T20:13:22Z,260000,False,,,0,,S. Dinwiddie BLOCK (1 BLK),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M55.00S,2023-11-12T20:13:18.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612764,0,0,2023-11-12T20:13:30Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Restricted Area,0-8 Center,,,25.0,,,,,,,,,,,,,,,,,
29,PT09M46.00S,2023-11-12T20:13:44.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,88.91261498028909,3.6764705882352944,1610612764,0,0,2023-11-12T20:13:48Z,290000,False,-232.0,52.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.73,Missed,,,,,,,,,,,,,,,,,,
30,PT09M42.00S,2023-11-12T20:13:48.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,0,0,2023-11-12T20:13:48Z,300000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M36.00S,2023-11-12T20:13:54.3Z,1,REGULAR,3pt,Jump Shot,[],203915,19.793035479632064,91.42156862745098,1610612751,0,0,2023-11-12T20:13:59Z,310000,False,-207.0,134.0,1,left,MISS S. Dinwiddie 24' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,24.65,Missed,,,,,,,,,,,,,,,,,,
32,PT09M31.00S,2023-11-12T20:13:59.3Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2023-11-12T20:13:59Z,320000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,31.0,1.0,0.0,1.0,,,,,,,,,,,,,,
33,PT09M31.00S,2023-11-12T20:13:59.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629651,5.590000152587891,50.0,1610612751,2,0,2023-11-12T20:14:04Z,330000,False,0.0,0.0,1,left,N. Claxton tip Layup (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,,,,,,2.0,,,
34,PT09M21.00S,2023-11-12T20:14:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,81.553876478318,50.0,1610612764,2,2,2023-11-12T20:14:14Z,340000,False,0.0,121.0,1,right,J. Poole 12' driving floating Jump Shot (2 PTS),[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,12.09,Made,,,,,,,,,,,,,,,2.0,,,
35,PT09M06.00S,2023-11-12T20:14:24.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,4.5499342969776615,53.67647058823529,1610612751,4,2,2023-11-12T20:14:30Z,350000,False,-18.0,-10.0,1,left,M. Bridges driving Layup (2 PTS),[1628969],1610612751.0,BKN,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,,,,,,,2.0,,,
36,PT08M53.00S,2023-11-12T20:14:36.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.25295663600527,75.98039215686273,1610612764,4,2,2023-11-12T20:14:41Z,360000,False,130.0,227.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.16,Missed,,,,,,,,,,,,,,,,,,
37,PT08M49.00S,2023-11-12T20:14:41.1Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,4,2,2023-11-12T20:14:41Z,370000,False,,,0,,D. Gafford REBOUND (Off:1 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,36.0,2.0,1.0,1.0,,,,,,,,,,,,,,
38,PT08M48.00S,2023-11-12T20:14:42.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,92.85479632063075,47.794117647058826,1610612764,4,2,2023-11-12T20:14:47Z,380000,False,-11.0,15.0,1,right,MISS D. Avdija cutting Layup - blocked,"[1630166, 1629651]",1610612764.0,WAS,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
39,PT08M48.00S,2023-11-12T20:14:42.6Z,1,REGULAR,block,,[],1629651,,,1610612764,4,2,2023-11-12T20:14:45Z,390000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
40,PT08M45.00S,2023-11-12T20:14:45.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,2,2023-11-12T20:14:47Z,400000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
41,PT08M41.00S,2023-11-12T20:14:49.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,24.78646517739816,83.08823529411765,1610612751,4,2,2023-11-12T20:15:00Z,410000,False,-165.0,180.0,1,left,MISS D. Finney-Smith 24' running 3PT,[1627827],1610612751.0,BKN,running,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,24.48,Missed,,,,,,,,,,,,,,,,,,
42,PT08M36.00S,2023-11-12T20:14:54.1Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,4,2,2023-11-12T20:14:54Z,420000,False,,,0,,N. Claxton REBOUND (Off:2 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,41.0,3.0,1.0,2.0,,,,,,,,,,,,,,
43,PT08M34.00S,2023-11-12T20:14:56.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628969,6.1268068331143235,64.70588235294117,1610612751,6,2,2023-11-12T20:15:03Z,430000,False,-74.0,5.0,1,left,M. Bridges 7' fadeaway Jump Shot (4 PTS),[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,7.37,Made,,,,,,,,,,,,,,,4.0,,,
45,PT08M09.00S,2023-11-12T20:15:24.1Z,1,REGULAR,turnover,traveling,[],1630166,,,1610612764,6,2,2023-11-12T20:15:37Z,450000,False,,,0,,D. Avdija traveling TURNOVER (1 TO),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left,,,,,,,,,1.0,,,202026.0,,,,,,,,
46,PT07M54.00S,2023-11-12T20:15:53.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,27.54599211563732,79.90196078431373,1610612751,6,2,2023-11-12T20:16:00Z,460000,False,-150.0,206.0,1,left,MISS M. Bridges 25' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
47,PT07M51.00S,2023-11-12T20:15:56.0Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,6,2,2023-11-12T20:16:00Z,470000,False,,,0,,N. Claxton REBOUND (Off:3 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,46.0,4.0,1.0,3.0,,,,,,,,,,,,,,
48,PT07M49.00S,2023-11-12T20:15:57.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1628969,2.0532194480946124,95.58823529411765,1610612751,6,2,2023-11-12T20:16:05Z,480000,False,-228.0,-33.0,1,left,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.03,Missed,,,,,,,,,,,,,,,,,,
49,PT07M47.00S,2023-11-12T20:16:00.4Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612751,6,2,2023-11-12T20:16:00Z,490000,False,,,0,,M. Bridges REBOUND (Off:1 Def:2),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,,,48.0,3.0,2.0,1.0,,,,,,,,,,,,,,
50,PT07M45.00S,2023-11-12T20:16:02.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1627827,24.392247043363994,84.31372549019608,1610612751,6,2,2023-11-12T20:16:07Z,500000,False,-172.0,177.0,1,left,MISS D. Finney-Smith 24' 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Left Center,24.64,Missed,,,,,,,,,,,,,,,,,,
51,PT07M45.00S,2023-11-12T20:16:02.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,6,2,2023-11-12T20:16:07Z,510000,False,,,0,,D. Gafford REBOUND (Off:1 Def:2),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,50.0,3.0,2.0,1.0,,,,,,,,,,,,,,
52,PT07M30.00S,2023-11-12T20:16:17.9Z,1,REGULAR,2pt,Jump Shot,[],1630166,92.59198423127464,88.97058823529412,1610612764,6,2,2023-11-12T20:16:22Z,520000,False,195.0,17.0,1,right,MISS D. Avdija 19' step back Shot,[1630166],1610612764.0,WAS,step back,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Right,19.56,Missed,,,,,,,,,,,,,,,,,,
53,PT07M26.00S,2023-11-12T20:16:20.2Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,6,2,2023-11-12T20:16:20Z,530000,False,,,0,,C. Johnson REBOUND (Off:0 Def:3),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Right,,,52.0,3.0,3.0,0.0,,,,,,,,,,,,,,
54,PT07M15.00S,2023-11-12T20:16:32.0Z,1,REGULAR,2pt,Jump Shot,[],203915,23.209592641261498,26.96078431372549,1610612751,8,2,2023-11-12T20:16:41Z,540000,False,115.0,166.0,1,left,S. Dinwiddie 20' step back Jump Shot (2 PTS),[203915],1610612751.0,BKN,step back,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Right Center,20.18,Made,,,,,,,,,,,,,,,2.0,,,
55,PT07M15.00S,2023-11-12T20:16:36.7Z,1,REGULAR,foul,personal,['1freethrow'],1626145,,,1610612751,8,2,2023-11-12T20:19:32Z,550000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Dinwiddie 1 FT),"[1626145, 203915]",1610612764.0,WAS,shooting,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,202058.0,1.0,0.0,Dinwiddie,203915.0,,,,
59,PT07M15.00S,2023-11-12T20:16:54.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,8,2,2023-11-12T20:17:02Z,590000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M15.00S,2023-11-12T20:16:57.1Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,8,2,2023-11-12T20:19:28Z,600000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M15.00S,2023-11-12T20:16:57.1Z,1,REGULAR,substitution,out,[],1630166,,,1610612751,8,2,2023-11-12T20:19:28Z,610000,False,,,0,,SUB out: D. Avdija,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M15.00S,2023-11-12T20:16:57.1Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,8,2,2023-11-12T20:19:28Z,620000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M15.00S,2023-11-12T20:16:57.1Z,1,REGULAR,substitution,in,[],1630557,,,1610612751,8,2,2023-11-12T20:19:28Z,630000,False,,,0,,SUB in: C. Kispert,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M15.00S,2023-11-12T20:19:54.7Z,1,REGULAR,freethrow,1 of 1,[],203915,,,1610612751,9,2,2023-11-12T20:19:54Z,640000,False,,,0,,S. Dinwiddie Free Throw 1 of 1 (3 PTS),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Made,,,,,,,,,,,,,,,3.0,,,
65,PT06M51.00S,2023-11-12T20:20:20.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,85.89027595269383,42.64705882352941,1610612764,9,2,2023-11-12T20:20:24Z,650000,False,-37.0,80.0,1,right,MISS T. Jones 8' driving floating Shot,[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,8.81,Missed,,,,,,,,,,,,,,,,,,
66,PT06M49.00S,2023-11-12T20:20:22.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,9,2,2023-11-12T20:20:24Z,660000,False,,,0,,M. Bridges REBOUND (Off:1 Def:3),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,65.0,4.0,3.0,1.0,,,,,,,,,,,,,,
67,PT06M45.00S,2023-11-12T20:20:26.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,27.283180026281208,76.47058823529412,1610612751,9,2,2023-11-12T20:20:32Z,670000,False,-132.0,204.0,1,left,MISS M. Bridges 24' running 3PT,[1628969],1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,24.32,Missed,,,,,,,,,,,,,,,,,,
68,PT06M41.00S,2023-11-12T20:20:30.1Z,1,REGULAR,rebound,offensive,[],1629661,,,1610612751,9,2,2023-11-12T20:20:30Z,680000,False,,,0,,C. Johnson REBOUND (Off:1 Def:3),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,67.0,4.0,3.0,1.0,,,,,,,,,,,,,,
69,PT06M39.00S,2023-11-12T20:20:32.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203915,31.225361366622867,47.549019607843135,1610612751,9,2,2023-11-12T20:20:40Z,690000,False,12.0,241.0,1,left,MISS S. Dinwiddie 24' 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,24.13,Missed,,,,,,,,,,,,,,,,,,
70,PT06M34.00S,2023-11-12T20:20:37.2Z,1,REGULAR,rebound,offensive,[],1627827,,,1610612751,9,2,2023-11-12T20:20:40Z,700000,False,,,0,,D. Finney-Smith REBOUND (Off:1 Def:0),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,69.0,1.0,0.0,1.0,,,,,,,,,,,,,,
71,PT06M34.00S,2023-11-12T20:20:36.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627827,5.590000152587891,50.0,1610612751,9,2,2023-11-12T20:20:36Z,710000,False,0.0,0.0,1,left,MISS D. Finney-Smith tip Layup,[1627827],1610612751.0,BKN,tip,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
72,PT06M32.00S,2023-11-12T20:20:39.1Z,1,REGULAR,rebound,offensive,[],1630549,,,1610612751,9,2,2023-11-12T20:20:39Z,720000,False,,,0,,D. Sharpe REBOUND (Off:1 Def:0),[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Mid-Range,8-16 Left,,,71.0,1.0,0.0,1.0,,,,,,,,,,,,,,
73,PT06M30.00S,2023-11-12T20:20:42.1Z,1,REGULAR,turnover,bad pass,[],1629661,,,1610612751,9,2,2023-11-12T20:20:45Z,730000,False,,,0,,C. Johnson bad pass TURNOVER (1 TO),"[1629661, 1626145]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,1.0,Jones,1626145.0,,,,,,,,,
74,PT06M30.00S,2023-11-12T20:20:42.1Z,1,REGULAR,steal,,[],1626145,,,1610612764,9,2,2023-11-12T20:20:43Z,740000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
75,PT06M25.00S,2023-11-12T20:20:46.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628398,93.24901445466492,49.754901960784316,1610612764,9,4,2023-11-12T20:20:52Z,750000,False,-1.0,11.0,1,right,K. Kuzma running DUNK (2 PTS) (T. Jones 1 AST),"[1628398, 1626145]",1610612764.0,WAS,running,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,1.11,Made,,,,,,,,,,,,,,,2.0,T. Jones,1626145.0,1.0
77,PT06M09.00S,2023-11-12T20:21:02.1Z,1,REGULAR,3pt,Jump Shot,[],1627827,27.020367936925098,19.11764705882353,1610612751,12,4,2023-11-12T20:21:07Z,770000,False,154.0,201.0,1,left,D. Finney-Smith 25' 3PT step back (3 PTS),[1627827],1610612751.0,BKN,step back,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Right Center,25.39,Made,,,,,,,,,,,,,,,3.0,,,
78,PT05M59.00S,2023-11-12T20:21:11.8Z,1,REGULAR,2pt,Jump Shot,[],1629673,84.31340341655716,32.59803921568628,1610612764,12,6,2023-11-12T21:16:35Z,780000,False,-87.0,95.0,1,right,J. Poole 12' driving floating Jump Shot (4 PTS),[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,12.88,Made,,,,,,,,,,,,,,,4.0,,,
