actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
17,PT10M49.00S,2024-01-27T23:13:14.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,0,2024-01-27T23:13:19Z,170000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M43.00S,2024-01-27T23:13:20.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,4.944152431011826,50.0,1610612751,6,0,2024-01-27T23:13:24Z,180000,False,0.0,-6.0,1,left,N. Claxton alley-oop DUNK (4 PTS) (C. Thomas 1 AST),"[1629651, 1630560]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.6,Made,4.0,,,,,,,,,,C. Thomas,1630560.0,1.0,,,,,
20,PT10M31.00S,2024-01-27T23:13:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201145,93.38042049934296,53.18627450980392,1610612745,6,2,2024-01-27T23:13:40Z,200000,False,16.0,10.0,1,right,J. Green driving finger roll Layup (2 PTS) (F. VanVleet 1 AST),"[201145, 1627832]",1610612745.0,HOU,driving finger roll,,,Green,J. Green,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,,,,,,,F. VanVleet,1627832.0,1.0,,,,,
22,PT10M17.00S,2024-01-27T23:13:51.2Z,1,REGULAR,foul,personal,[],1630224,,,1610612751,6,2,2024-01-27T23:13:58Z,220000,False,,,0,,J. Green personal FOUL (2 PF),"[1630224, 1630560]",1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,202049.0,2.0,0.0,Thomas,1630560.0,,,,,,,,
24,PT10M17.00S,2024-01-27T23:13:59.0Z,1,REGULAR,substitution,out,[],1630224,,,1610612751,6,2,2024-01-27T23:14:14Z,240000,False,,,0,,SUB out: J. Green,[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2024-01-27T23:13:59.0Z,1,REGULAR,substitution,in,[],1641715,,,1610612751,6,2,2024-01-27T23:14:14Z,250000,False,,,0,,SUB in: C. Whitmore,[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2024-01-27T23:14:30.1Z,1,REGULAR,2pt,Jump Shot,[],1630560,18.084756898817346,69.11764705882352,1610612751,8,2,2024-01-27T23:15:07Z,260000,False,-96.0,117.0,1,left,C. Thomas 15' pullup Jump Shot (2 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,15.15,Made,2.0,,,,,,,,,,,,,,,,,
27,PT10M09.00S,2024-01-27T23:14:34.7Z,1,REGULAR,foul,personal,['1freethrow'],1641715,,,1610612751,8,2,2024-01-27T23:14:42Z,270000,False,,,0,,C. Whitmore shooting personal FOUL (1 PF) (Thomas 1 FT),"[1641715, 1630560]",1610612745.0,HOU,shooting,,,Whitmore,C. Whitmore,,,,,Mid-Range,8-16 Left,,,,,,,,1198.0,1.0,0.0,Thomas,1630560.0,,,,,,,,
29,PT10M09.00S,2024-01-27T23:14:56.3Z,1,REGULAR,freethrow,1 of 1,[],1630560,,,1610612751,8,2,2024-01-27T23:14:59Z,290000,False,,,0,,MISS C. Thomas Free Throw 1 of 1,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
30,PT10M07.00S,2024-01-27T23:14:58.3Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,8,2,2024-01-27T23:14:59Z,300000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
31,PT09M51.00S,2024-01-27T23:15:12.8Z,1,REGULAR,turnover,bad pass,[],201145,,,1610612745,8,2,2024-01-27T23:15:17Z,310000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[201145, 1630560]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,1.0,Thomas,1630560.0,,
32,PT09M51.00S,2024-01-27T23:15:12.8Z,1,REGULAR,steal,,[],1630560,,,1610612751,8,2,2024-01-27T23:15:15Z,320000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
33,PT09M43.00S,2024-01-27T23:15:21.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,5.075558475689881,3.9215686274509802,1610612751,11,2,2024-01-27T23:15:26Z,330000,False,230.0,-5.0,1,left,M. Bridges 3PT  (5 PTS) (C. Thomas 2 AST),"[1628969, 1630560]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.04,Made,5.0,,,,,,,,,,C. Thomas,1630560.0,2.0,,,,,
35,PT09M41.00S,2024-01-27T23:15:26.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,11,2,2024-01-27T23:15:26Z,350000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT09M19.00S,2024-01-27T23:18:49.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627832,92.9862023653088,45.09803921568628,1610612745,11,4,2024-01-27T23:18:56Z,360000,False,-25.0,13.0,1,right,F. VanVleet driving reverse Layup (2 PTS),[1627832],1610612745.0,HOU,driving reverse,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,2.79,Made,2.0,,,,,,,,,,,,,,,,,
37,PT09M09.00S,2024-01-27T23:18:59.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,7.966491458607096,20.098039215686274,1610612751,13,4,2024-01-27T23:19:07Z,370000,False,150.0,22.0,1,left,C. Thomas 15' turnaround fadeaway Jump Shot (4 PTS) (S. Dinwiddie 1 AST),"[1630560, 203915]",1610612751.0,BKN,turnaround fadeaway,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,15.12,Made,4.0,,,,,,,,,,S. Dinwiddie,203915.0,1.0,,,,,
39,PT08M49.00S,2024-01-27T23:19:19.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641715,90.09526938239159,50.49019607843137,1610612745,13,4,2024-01-27T23:19:23Z,390000,False,2.0,41.0,1,right,MISS C. Whitmore cutting DUNK - blocked,"[1641715, 1628969]",1610612745.0,HOU,cutting,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,4.07,Missed,,,,,,,,,,,,,,,,,Bridges,1628969.0
40,PT08M49.00S,2024-01-27T23:19:19.1Z,1,REGULAR,block,,[],1628969,,,1610612745,13,4,2024-01-27T23:19:49Z,400000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M47.00S,2024-01-27T23:19:21.1Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612745,13,4,2024-01-27T23:19:23Z,410000,False,,,0,,C. Whitmore REBOUND (Off:1 Def:0),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,39.0,1.0,0.0,1.0,,,,,,,,,,,,,
42,PT08M46.00S,2024-01-27T23:19:22.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641715,91.40932982917214,46.32352941176471,1610612745,13,6,2024-01-27T23:19:27Z,420000,False,-18.0,28.0,1,right,C. Whitmore putback Layup (2 PTS),[1641715],1610612745.0,HOU,putback,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,3.38,Made,2.0,,,,,,,,,,,,,,,,,
43,PT08M32.00S,2024-01-27T23:19:36.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,9.674770039421814,61.51960784313726,1610612751,15,6,2024-01-27T23:23:24Z,430000,False,-58.0,38.0,1,left,D. Finney-Smith 6' driving floating Jump Shot (2 PTS) (S. Dinwiddie 2 AST),"[1627827, 203915]",1610612751.0,BKN,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,6.92,Made,2.0,,,,,,,,,,S. Dinwiddie,203915.0,2.0,,,,,
45,PT08M15.00S,2024-01-27T23:19:53.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628415,90.62089356110381,48.77450980392157,1610612745,15,8,2024-01-27T23:19:58Z,450000,False,-6.0,36.0,1,right,D. Brooks driving Hook (2 PTS) (F. VanVleet 2 AST),"[1628415, 1627832]",1610612745.0,HOU,driving,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,3.62,Made,2.0,,,,,,,,,,F. VanVleet,1627832.0,2.0,,,,,
47,PT08M11.00S,2024-01-27T23:20:01.3Z,1,REGULAR,turnover,double dribble,[],1628969,,,1610612751,15,8,2024-01-27T23:20:22Z,470000,False,,,0,,M. Bridges double dribble TURNOVER (1 TO),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,1198.0,,,,,,,,1.0,,,,
48,PT07M54.00S,2024-01-27T23:20:36.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628415,92.19776609724047,49.26470588235294,1610612745,15,10,2024-01-27T23:20:41Z,480000,False,-4.0,21.0,1,right,D. Brooks cutting DUNK (4 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,cutting,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2.11,Made,4.0,,,,,,,,,,A. Sengun,1630578.0,1.0,,,,,
50,PT07M50.00S,2024-01-27T23:20:44.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,10,2024-01-27T23:20:44Z,500000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M42.00S,2024-01-27T23:23:48.0Z,1,REGULAR,foul,personal,[],1628415,,,1610612751,15,10,2024-01-27T23:23:54Z,510000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1628969]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,,1198.0,1.0,0.0,Bridges,1628969.0,,,,,,,,
53,PT07M30.00S,2024-01-27T23:24:16.3Z,1,REGULAR,2pt,Jump Shot,[],1630560,4.681340341655716,74.50980392156863,1610612751,17,10,2024-01-27T23:24:21Z,530000,False,-123.0,-8.0,1,left,C. Thomas 12' pullup Jump Shot (6 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,12.28,Made,6.0,,,,,,,,,,,,,,,,,
54,PT07M06.00S,2024-01-27T23:24:40.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],201145,86.94152431011827,56.86274509803921,1610612745,17,10,2024-01-27T23:24:52Z,540000,False,34.0,70.0,1,right,MISS J. Green 7' turnaround Hook,[201145],1610612745.0,HOU,turnaround,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,7.81,Missed,,,,,,,,,,,,,,,,,,
55,PT07M05.00S,2024-01-27T23:24:41.9Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612745,17,10,2024-01-27T23:24:52Z,550000,False,,,0,,C. Whitmore REBOUND (Off:2 Def:0),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,54.0,2.0,0.0,2.0,,,,,,,,,,,,,
56,PT07M05.00S,2024-01-27T23:24:50.7Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612745,17,10,2024-01-27T23:24:56Z,560000,False,,,0,,N. Claxton shooting personal FOUL (2 PF) (Whitmore 2 FT),"[1629651, 1641715]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,202049.0,2.0,0.0,Whitmore,1641715.0,,,,,,,,
58,PT07M05.00S,2024-01-27T23:25:14.1Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1641715,,,1610612745,17,11,2024-01-27T23:25:14Z,580000,False,,,0,,C. Whitmore Free Throw 1 of 2 (3 PTS),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
59,PT07M05.00S,2024-01-27T23:25:28.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1641715,,,1610612745,17,12,2024-01-27T23:25:28Z,590000,False,,,0,,C. Whitmore Free Throw 2 of 2 (4 PTS),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
60,PT06M52.00S,2024-01-27T23:25:44.1Z,1,REGULAR,2pt,Jump Shot,[],1630560,17.559132720105126,75.73529411764706,1610612751,17,12,2024-01-27T23:25:49Z,600000,False,-129.0,113.0,1,left,MISS C. Thomas 17' step back Shot,[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Left Center,17.1,Missed,,,,,,,,,,,,,,,,,,
61,PT06M49.00S,2024-01-27T23:25:47.1Z,1,REGULAR,rebound,defensive,[],1641715,,,1610612745,17,12,2024-01-27T23:25:49Z,610000,False,,,0,,C. Whitmore REBOUND (Off:2 Def:1),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Mid-Range,16-24 Left Center,,,,60.0,3.0,1.0,2.0,,,,,,,,,,,,,
62,PT06M42.00S,2024-01-27T23:25:54.7Z,1,REGULAR,3pt,Jump Shot,[],1641715,64.33968462549278,50.49019607843137,1610612745,17,12,2024-01-27T23:26:28Z,620000,False,2.0,283.0,1,right,MISS C. Whitmore 28' step back 3PT,[1641715],1610612745.0,HOU,step back,,,Whitmore,C. Whitmore,,,,,Above the Break 3,24+ Center,28.27,Missed,,,,,,,,,,,,,,,,,,
63,PT06M39.00S,2024-01-27T23:25:57.7Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,17,12,2024-01-27T23:25:59Z,630000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Center,,,,62.0,2.0,2.0,0.0,,,,,,,,,,,,,
64,PT06M31.00S,2024-01-27T23:26:05.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,4.418528252299605,47.549019607843135,1610612751,19,12,2024-01-27T23:26:13Z,640000,False,12.0,-11.0,1,left,N. Claxton alley-oop Layup (6 PTS) (S. Dinwiddie 3 AST),"[1629651, 203915]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.65,Made,6.0,,,,,,,,,,S. Dinwiddie,203915.0,3.0,,,,,
66,PT06M19.00S,2024-01-27T23:26:16.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,66.44218134034165,63.725490196078425,1610612745,19,12,2024-01-27T23:27:55Z,660000,False,69.0,263.0,1,right,MISS D. Brooks 27' pullup 3PT,[1628415],1610612745.0,HOU,pullup,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,27.17,Missed,,,,,,,,,,,,,,,,,,
67,PT06M17.00S,2024-01-27T23:26:18.7Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,19,12,2024-01-27T23:26:21Z,670000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,
68,PT06M11.00S,2024-01-27T23:26:24.9Z,1,REGULAR,3pt,Jump Shot,[],203915,4.812746386333772,94.85294117647058,1610612751,19,12,2024-01-27T23:26:32Z,680000,False,-224.0,-7.0,1,left,MISS S. Dinwiddie step back 3PT,[203915],1610612751.0,BKN,step back,,,Dinwiddie,S. Dinwiddie,,,,,Left Corner 3,24+ Left,22.44,Missed,,,,,,,,,,,,,,,,,,
69,PT06M11.00S,2024-01-27T23:26:24.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,19,12,2024-01-27T23:26:32Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Left Corner 3,24+ Left,,,,68.0,,,,,,,,,,,,,,,,
71,PT06M01.00S,2024-01-27T23:26:52.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628969,13.354139290407357,38.72549019607843,1610612751,21,12,2024-01-27T23:26:59Z,710000,False,56.0,73.0,1,left,M. Bridges 9' driving floating Jump Shot (7 PTS) (N. Claxton 1 AST),"[1628969, 1629651]",1610612751.0,BKN,driving floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Right,9.22,Made,7.0,,,,,,,,,,N. Claxton,1629651.0,1.0,,,,,
73,PT05M52.00S,2024-01-27T23:27:03.8Z,1,REGULAR,foul,personal,[],1628969,,,1610612745,21,12,2024-01-27T23:27:19Z,730000,False,,,0,,M. Bridges personal FOUL (1 PF),"[1628969, 1630578]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Right Center,,,,,,,,202049.0,1.0,0.0,Sengun,1630578.0,,,,,,,,
75,PT05M52.00S,2024-01-27T23:27:10.1Z,1,REGULAR,substitution,out,[],1627832,,,1610612745,21,12,2024-01-27T23:27:14Z,750000,False,,,0,,SUB out: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M52.00S,2024-01-27T23:27:10.1Z,1,REGULAR,substitution,in,[],1641708,,,1610612745,21,12,2024-01-27T23:27:14Z,760000,False,,,0,,SUB in: A. Thompson,[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M44.00S,2024-01-27T23:27:32.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,92.72339027595268,53.431372549019606,1610612745,21,14,2024-01-27T23:29:41Z,770000,False,17.0,16.0,1,right,A. Sengun driving floating Jump Shot (2 PTS) (A. Thompson 1 AST),"[1630578, 1641708]",1610612745.0,HOU,driving floating,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,,,,,,,A. Thompson,1641708.0,1.0,,,,,
79,PT05M29.00S,2024-01-27T23:27:47.8Z,1,REGULAR,3pt,Jump Shot,[],1630560,27.677398160315374,18.137254901960784,1610612751,24,14,2024-01-27T23:27:58Z,790000,False,159.0,208.0,1,left,C. Thomas 26' 3PT pullup (9 PTS),[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Right Center,26.18,Made,9.0,,,,,,,,,,,,,,,,,
81,PT05M14.00S,2024-01-27T23:28:02.5Z,1,REGULAR,3pt,Jump Shot,[],201145,85.10183968462549,95.34313725490196,1610612745,24,14,2024-01-27T23:28:08Z,810000,False,227.0,88.0,1,right,MISS J. Green 24' 3PT,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,24.3,Missed,,,,,,,,,,,,,,,,,,
82,PT05M11.00S,2024-01-27T23:28:05.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,24,14,2024-01-27T23:28:08Z,820000,False,,,0,,N. Claxton REBOUND (Off:0 Def:3),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Right Corner 3,24+ Right,,,,81.0,3.0,3.0,0.0,,,,,,,,,,,,,
83,PT05M06.00S,2024-01-27T23:28:11.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630560,5.995400788436268,43.872549019607845,1610612751,26,14,2024-01-27T23:28:25Z,830000,False,31.0,4.0,1,left,C. Thomas running Layup (11 PTS) (N. Claxton 2 AST),"[1630560, 1629651]",1610612751.0,BKN,running,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,3.08,Made,11.0,,,,,,,,,,N. Claxton,1629651.0,2.0,,,,,
84,PT05M06.00S,2024-01-27T23:28:14.7Z,1,REGULAR,timeout,full,['team'],0,,,1610612745,26,14,2024-01-27T23:28:14Z,840000,False,,,0,,HOU Timeout,[],1610612745.0,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M06.00S,2024-01-27T23:28:41.6Z,1,REGULAR,substitution,out,[],201145,,,1610612745,26,14,2024-01-27T23:29:42Z,850000,False,,,0,,SUB out: J. Green,[201145],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT05M06.00S,2024-01-27T23:28:41.6Z,1,REGULAR,substitution,in,[],1630256,,,1610612745,26,14,2024-01-27T23:29:42Z,860000,False,,,0,,SUB in: J. Tate,[1630256],1610612745.0,HOU,,,,Tate,J. Tate,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M45.00S,2024-01-27T23:30:13.5Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,26,14,2024-01-27T23:30:25Z,870000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1628969]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Bridges,1628969.0,,
88,PT04M45.00S,2024-01-27T23:30:13.5Z,1,REGULAR,steal,,[],1628969,,,1610612751,26,14,2024-01-27T23:44:39Z,880000,False,,,0,,M. Bridges STEAL (1 STL),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
