actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,turnoverTotal,stealPlayerName,stealPersonId,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
19,PT10M27.00S,2024-02-10T23:13:21.2Z,1,REGULAR,steal,,[],1627732,,,1610612751,3,1,2024-02-10T23:13:23Z,190000,False,,,0,,B. Simmons STEAL (1 STL),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2024-02-10T23:13:25.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,5.206964520367937,53.431372549019606,1610612751,3,1,2024-02-10T23:13:33Z,200000,False,-17.0,-4.0,1,left,MISS M. Bridges running reverse Layup,[1628969],1610612751.0,BKN,running reverse,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.76,Missed,,,,,,,,,,,,,,,,,,
21,PT10M19.00S,2024-02-10T23:13:28.8Z,1,REGULAR,rebound,offensive,[],1630560,,,1610612751,3,1,2024-02-10T23:13:28Z,210000,False,,,0,,C. Thomas REBOUND (Off:1 Def:0),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
22,PT10M19.00S,2024-02-10T23:13:28.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1630560,5.590000152587891,50.0,1610612751,5,1,2024-02-10T23:13:36Z,220000,False,0.0,0.0,1,left,C. Thomas tip Layup (5 PTS),[1630560],1610612751.0,BKN,tip,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2024-02-10T23:13:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630170,66.96780551905388,46.32352941176471,1610612759,5,4,2024-02-10T23:13:52Z,230000,False,-18.0,258.0,1,right,D. Vassell 25' 3PT pullup (4 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.87,Made,4.0,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2024-02-10T23:14:05.1Z,1,REGULAR,turnover,out-of-bounds,[],1628969,,,1610612751,5,4,2024-02-10T23:14:10Z,240000,False,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628969],1610612751.0,BKN,bad pass,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1628159.0,,,1.0,,,,,,,,,
25,PT09M32.00S,2024-02-10T23:14:27.1Z,1,REGULAR,foul,personal,[],1627827,,,1610612759,5,4,2024-02-10T23:14:34Z,250000,False,,,0,,D. Finney-Smith personal FOUL (1 PF),"[1627827, 1641705]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1662.0,1.0,0.0,,,,Wembanyama,1641705.0,,,,,
27,PT09M19.00S,2024-02-10T23:14:55.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,89.96386333771353,21.813725490196077,1610612759,5,4,2024-02-10T23:15:56Z,270000,False,-141.0,42.0,1,right,MISS V. Wembanyama 14' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,14.7,Missed,,,,,,,,,,,,,,,,,,
28,PT09M16.00S,2024-02-10T23:14:58.5Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,5,4,2024-02-10T23:14:59Z,280000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,Mid-Range,8-16 Left,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M11.00S,2024-02-10T23:15:05.2Z,1,REGULAR,foul,personal,[],1630577,,,1610612751,5,4,2024-02-10T23:15:30Z,290000,False,,,0,,J. Champagnie personal FOUL (1 PF),"[1630577, 1627827]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Right Center,,,,,,,,1628159.0,1.0,0.0,,,,Finney-Smith,1627827.0,,,,,
31,PT09M09.00S,2024-02-10T23:15:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627732,6.915243101182654,52.69607843137255,1610612751,7,4,2024-02-10T23:16:45Z,310000,False,-13.0,13.0,1,left,B. Simmons reverse Layup (2 PTS) (C. Thomas 1 AST),"[1627732, 1630560]",1610612751.0,BKN,reverse,,,Simmons,B. Simmons,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,,,,,,,,,,,,,C. Thomas,1630560.0,1.0,,
33,PT08M49.00S,2024-02-10T23:15:44.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631110,87.72996057818659,50.0,1610612759,7,4,2024-02-10T23:15:48Z,330000,False,0.0,63.0,1,right,MISS J. Sochan 6' Hook,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,6.28,Missed,,,,,,,,,,,,,,,,,,
34,PT08M45.00S,2024-02-10T23:15:48.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,4,2024-02-10T23:15:48Z,340000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,33.0,2.0,2.0,0.0,,,,,,,,,,,,,
35,PT08M39.00S,2024-02-10T23:15:57.4Z,1,REGULAR,turnover,traveling,[],1627732,,,1610612751,7,4,2024-02-10T23:16:01Z,350000,False,,,0,,B. Simmons traveling TURNOVER (1 TO),[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1662.0,,,1.0,,,,,,,,,
36,PT08M22.00S,2024-02-10T23:16:25.3Z,1,REGULAR,foul,personal,['2freethrow'],1629651,,,1610612759,7,4,2024-02-10T23:16:36Z,360000,False,,,0,,N. Claxton shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1629651, 1641705]",1610612751.0,BKN,shooting,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627541.0,1.0,1.0,,,,Wembanyama,1641705.0,,,,,
38,PT08M22.00S,2024-02-10T23:16:58.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641705,,,1610612759,7,5,2024-02-10T23:16:58Z,380000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
39,PT08M22.00S,2024-02-10T23:17:17.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641705,,,1610612759,7,6,2024-02-10T23:17:17Z,390000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
40,PT08M05.00S,2024-02-10T23:17:36.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,7.046649145860711,53.92156862745098,1610612751,7,6,2024-02-10T23:17:39Z,400000,False,-20.0,14.0,1,left,MISS M. Bridges Layup,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,2.39,Missed,,,,,,,,,,,,,,,,,,
41,PT08M03.00S,2024-02-10T23:17:38.5Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,7,6,2024-02-10T23:17:39Z,410000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,40.0,1.0,1.0,0.0,,,,,,,,,,,,,
42,PT07M56.00S,2024-02-10T23:17:45.5Z,1,REGULAR,2pt,Jump Shot,[],1641705,76.5604467805519,60.78431372549019,1610612759,7,8,2024-02-10T23:17:49Z,420000,False,54.0,168.0,1,right,V. Wembanyama 17' pullup Jump Shot (4 PTS) (J. Sochan 1 AST),"[1641705, 1631110]",1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,17.62,Made,4.0,,,,,,,,,,,,,J. Sochan,1631110.0,1.0,,
43,PT07M39.00S,2024-02-10T23:18:02.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,14.931011826544022,53.18627450980392,1610612751,7,8,2024-02-10T23:18:08Z,430000,False,-16.0,88.0,1,left,MISS B. Simmons 8' floating Shot,[1627732],1610612751.0,BKN,floating,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),8-16 Center,8.93,Missed,,,,,,,,,,,,,,,,,,
44,PT07M35.00S,2024-02-10T23:18:06.4Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,7,8,2024-02-10T23:18:08Z,440000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),8-16 Center,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,,
45,PT07M33.00S,2024-02-10T23:18:09.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631110,94.03745072273325,53.92156862745098,1610612759,7,10,2024-02-10T23:18:15Z,450000,False,20.0,4.0,1,right,J. Sochan running reverse Layup (2 PTS) (T. Jones 1 AST),"[1631110, 1630200]",1610612759.0,SAS,running reverse,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,,,,,,,,,,,,,T. Jones,1630200.0,1.0,,
47,PT07M33.00S,2024-02-10T23:18:16.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,7,10,2024-02-10T23:18:16Z,470000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT07M33.00S,2024-02-10T23:18:20.2Z,1,REGULAR,substitution,out,[],1627827,,,1610612751,7,10,2024-02-10T23:20:50Z,480000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M33.00S,2024-02-10T23:18:20.2Z,1,REGULAR,substitution,in,[],1630592,,,1610612751,7,10,2024-02-10T23:20:50Z,490000,False,,,0,,SUB in: J. Wilson,[1630592],1610612751.0,BKN,,,,Wilson,J. Wilson,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M24.00S,2024-02-10T23:21:15.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628969,5.206964520367937,47.05882352941176,1610612751,9,10,2024-02-10T23:21:21Z,500000,False,15.0,-4.0,1,left,M. Bridges DUNK (2 PTS) (B. Simmons 1 AST),"[1628969, 1627732]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.51,Made,2.0,,,,,,,,,,,,,B. Simmons,1627732.0,1.0,,
53,PT07M02.00S,2024-02-10T23:21:38.0Z,1,REGULAR,3pt,Jump Shot,[],1630170,72.48685939553219,80.88235294117648,1610612759,9,10,2024-02-10T23:21:42Z,520000,False,154.0,206.0,1,right,MISS D. Vassell 25' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.75,Missed,,,,,,,,,,,,,,,,,,
54,PT06M59.00S,2024-02-10T23:21:41.0Z,1,REGULAR,rebound,offensive,[],1630577,,,1610612759,9,10,2024-02-10T23:21:42Z,530000,False,,,0,,J. Champagnie REBOUND (Off:1 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,53.0,2.0,1.0,1.0,,,,,,,,,,,,,
55,PT06M55.00S,2024-02-10T23:21:45.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,67.23061760840999,58.08823529411765,1610612759,9,10,2024-02-10T23:21:51Z,540000,False,40.0,256.0,1,right,MISS D. Vassell 25' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,25.87,Missed,,,,,,,,,,,,,,,,,,
56,PT06M49.00S,2024-02-10T23:21:51.9Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,9,10,2024-02-10T23:21:51Z,550000,False,,,0,,M. Bridges REBOUND (Off:0 Def:2),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,,,,55.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT06M33.00S,2024-02-10T23:22:26.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,6.652431011826544,48.03921568627451,1610612751,11,10,2024-02-10T23:22:31Z,570000,False,10.0,10.0,1,left,N. Claxton driving DUNK (2 PTS),[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.4,Made,2.0,,,,,,,,,,,,,,,,,
59,PT06M12.00S,2024-02-10T23:22:48.6Z,1,REGULAR,3pt,Jump Shot,[],1631110,89.43823915900131,3.9215686274509802,1610612759,11,10,2024-02-10T23:23:37Z,580000,False,-230.0,47.0,1,right,MISS J. Sochan 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,23.51,Missed,,,,,,,,,,,,,,,,,,
60,PT06M11.00S,2024-02-10T23:22:49.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612759,11,10,2024-02-10T23:23:37Z,590000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Left Corner 3,24+ Left,,,,59.0,,,,,,,,,,,,,,,,
61,PT06M11.00S,2024-02-10T23:22:55.5Z,1,REGULAR,foul,personal,[],1629651,,,1610612759,11,10,2024-02-10T23:23:01Z,600000,False,,,0,,N. Claxton loose ball personal FOUL (2 PF),"[1629651, 1641705]",1610612751.0,BKN,loose ball,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1662.0,2.0,1.0,,,,Wembanyama,1641705.0,,,,,
63,PT06M11.00S,2024-02-10T23:23:04.2Z,1,REGULAR,substitution,out,[],1628969,,,1610612759,11,10,2024-02-10T23:23:12Z,620000,False,,,0,,SUB out: M. Bridges,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M11.00S,2024-02-10T23:23:04.2Z,1,REGULAR,substitution,out,[],1627732,,,1610612759,11,10,2024-02-10T23:23:12Z,630000,False,,,0,,SUB out: B. Simmons,[1627732],1610612751.0,BKN,,,,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M11.00S,2024-02-10T23:23:04.2Z,1,REGULAR,substitution,in,[],1628372,,,1610612759,11,10,2024-02-10T23:23:12Z,640000,False,,,0,,SUB in: D. Smith Jr.,[1628372],1610612751.0,BKN,,,,Smith Jr.,D. Smith Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M11.00S,2024-02-10T23:23:04.2Z,1,REGULAR,substitution,in,[],203471,,,1610612759,11,10,2024-02-10T23:23:12Z,650000,False,,,0,,SUB in: D. Schroder,[203471],1610612751.0,BKN,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT06M04.00S,2024-02-10T23:23:36.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641705,70.90998685939553,24.509803921568626,1610612759,11,10,2024-02-10T23:23:42Z,660000,False,-127.0,221.0,1,right,MISS V. Wembanyama 25' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
68,PT05M58.00S,2024-02-10T23:23:42.0Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612751,11,10,2024-02-10T23:23:42Z,670000,False,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612751.0,BKN,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,67.0,1.0,1.0,0.0,,,,,,,,,,,,,
69,PT05M56.00S,2024-02-10T23:23:43.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628372,4.28712220762155,48.77450980392157,1610612751,13,10,2024-02-10T23:23:53Z,680000,False,6.0,-12.0,1,left,D. Smith Jr. running Layup (2 PTS) (D. Schroder 1 AST),"[1628372, 203471]",1610612751.0,BKN,running,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,1.36,Made,2.0,,,,,,,,,,,,,D. Schroder,203471.0,1.0,,
71,PT05M56.00S,2024-02-10T23:23:50.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,13,10,2024-02-10T23:23:50Z,700000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M56.00S,2024-02-10T23:23:53.0Z,1,REGULAR,substitution,out,[],1641705,,,1610612759,13,10,2024-02-10T23:26:36Z,710000,False,,,0,,SUB out: V. Wembanyama,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M56.00S,2024-02-10T23:23:53.0Z,1,REGULAR,substitution,out,[],1630577,,,1610612759,13,10,2024-02-10T23:26:36Z,720000,False,,,0,,SUB out: J. Champagnie,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M56.00S,2024-02-10T23:23:53.0Z,1,REGULAR,substitution,in,[],1629640,,,1610612759,13,10,2024-02-10T23:26:36Z,730000,False,,,0,,SUB in: K. Johnson,[1629640],1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M56.00S,2024-02-10T23:23:53.0Z,1,REGULAR,substitution,in,[],1628380,,,1610612759,13,10,2024-02-10T23:26:36Z,740000,False,,,0,,SUB in: Z. Collins,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M39.00S,2024-02-10T23:26:59.5Z,1,REGULAR,turnover,bad pass,[],1628380,,,1610612759,13,10,2024-02-10T23:27:04Z,750000,False,,,0,,Z. Collins bad pass TURNOVER (1 TO),"[1628380, 1629651]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Center,,,,,,,,,,,1.0,Claxton,1629651.0,,,,,,,
77,PT05M39.00S,2024-02-10T23:26:59.5Z,1,REGULAR,steal,,[],1629651,,,1610612751,13,10,2024-02-10T23:27:01Z,760000,False,,,0,,N. Claxton STEAL (1 STL),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
78,PT05M19.00S,2024-02-10T23:27:19.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628372,17.69053876478318,4.411764705882353,1610612751,16,10,2024-02-10T23:27:23Z,770000,False,228.0,114.0,1,left,D. Smith Jr. 25' 3PT  (5 PTS) (D. Schroder 2 AST),"[1628372, 203471]",1610612751.0,BKN,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Right Center,25.47,Made,5.0,,,,,,,,,,,,,D. Schroder,203471.0,2.0,,
81,PT05M00.00S,2024-02-10T23:27:42.7Z,1,REGULAR,substitution,out,[],1630200,,,1610612759,16,10,2024-02-10T23:27:48Z,800000,False,,,0,,SUB out: T. Jones,[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PT05M00.00S,2024-02-10T23:27:42.7Z,1,REGULAR,substitution,in,[],1631104,,,1610612759,16,10,2024-02-10T23:27:48Z,810000,False,,,0,,SUB in: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M00.00S,2024-02-10T23:28:01.4Z,1,REGULAR,foul,offensive,[],1628380,,,1610612759,16,10,2024-02-10T23:28:10Z,820000,False,,,0,,Z. Collins offensive FOUL (1 PF),"[1628380, 1629651]",1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1627541.0,1.0,0.0,,,,Claxton,1629651.0,,,,,
