actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
19,PT10M49.00S,2023-12-24T00:43:42.0Z,1,REGULAR,freethrow,1 of 2,[],203915,,,1610612751,0,6,2023-12-24T00:43:59Z,190000,False,,,0,,MISS S. Dinwiddie Free Throw 1 of 2,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
20,PT10M49.00S,2023-12-24T00:43:42.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612751,0,6,2023-12-24T00:43:59Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
21,PT10M49.00S,2023-12-24T00:43:42.0Z,1,REGULAR,freethrow,2 of 2,[],203915,,,1610612751,0,6,2023-12-24T00:43:59Z,210000,False,,,0,,MISS S. Dinwiddie Free Throw 2 of 2,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M46.00S,2023-12-24T00:43:45.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,6,2023-12-24T00:43:59Z,220000,False,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,21.0,2.0,2.0,0.0,,,
23,PT10M37.00S,2023-12-24T00:44:06.9Z,1,REGULAR,turnover,bad pass,[],202711,,,1610612765,0,6,2023-12-24T00:44:10Z,230000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[202711, 1630560]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Thomas,1630560.0
24,PT10M37.00S,2023-12-24T00:44:06.9Z,1,REGULAR,steal,,[],1630560,,,1610612751,0,6,2023-12-24T00:44:08Z,240000,False,,,0,,C. Thomas STEAL (1 STL),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M34.00S,2023-12-24T00:44:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628969,5.601182654402102,49.754901960784316,1610612751,2,6,2023-12-24T00:44:18Z,250000,False,1.0,0.0,1,left,M. Bridges running Layup (2 PTS) (C. Thomas 1 AST),"[1628969, 1630560]",1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.12,Made,2.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,,,,
27,PT10M34.00S,2023-12-24T00:44:15.9Z,1,REGULAR,foul,personal,['1freethrow'],1630595,,,1610612751,2,6,2023-12-24T01:18:05Z,270000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Bridges 1 FT),"[1630595, 1628969]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,1179.0,1.0,0.0,Bridges,1628969.0,,,,,,,,,
29,PT10M34.00S,2023-12-24T00:44:37.4Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1628969,,,1610612751,3,6,2023-12-24T01:17:46Z,290000,False,,,0,,M. Bridges Free Throw 1 of 1 (3 PTS),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
30,PT10M19.00S,2023-12-24T00:44:53.5Z,1,REGULAR,3pt,Jump Shot,[],1641709,68.67608409986859,68.87254901960785,1610612765,3,6,2023-12-24T00:45:00Z,300000,False,94.0,242.0,1,right,MISS A. Thompson 25' 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
31,PT10M16.00S,2023-12-24T00:44:56.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,3,6,2023-12-24T00:45:00Z,310000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,30.0,,,,,,
33,PT10M05.00S,2023-12-24T00:45:17.7Z,1,REGULAR,3pt,Jump Shot,[],1628969,31.225361366622867,53.67647058823529,1610612751,3,6,2023-12-24T00:45:23Z,330000,False,-18.0,241.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,24.17,Missed,,,,,,,,,,,,,,,,,,
34,PT10M01.00S,2023-12-24T00:45:21.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,3,6,2023-12-24T00:45:23Z,340000,False,,,0,,I. Stewart REBOUND (Off:0 Def:3),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,33.0,3.0,3.0,0.0,,,
35,PT09M50.00S,2023-12-24T00:45:32.7Z,1,REGULAR,turnover,bad pass,[],1631093,,,1610612765,3,6,2023-12-24T00:45:37Z,350000,False,,,0,,J. Ivey bad pass TURNOVER (1 TO),"[1631093, 203915]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,Dinwiddie,203915.0
36,PT09M50.00S,2023-12-24T00:45:32.7Z,1,REGULAR,steal,,[],203915,,,1610612751,3,6,2023-12-24T00:45:34Z,360000,False,,,0,,S. Dinwiddie STEAL (1 STL),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
37,PT09M42.00S,2023-12-24T00:45:40.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630560,19.530223390275953,46.81372549019608,1610612751,3,6,2023-12-24T00:45:51Z,370000,False,16.0,131.0,1,left,MISS C. Thomas 13' pullup Shot,[1630560],1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,13.21,Missed,,,,,,,,,,,,,,,,,,
38,PT09M36.00S,2023-12-24T00:45:46.6Z,1,REGULAR,rebound,offensive,[],1628969,,,1610612751,3,6,2023-12-24T00:45:51Z,380000,False,,,0,,M. Bridges REBOUND (Off:1 Def:0),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,37.0,1.0,0.0,1.0,,,
39,PT09M36.00S,2023-12-24T00:45:46.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint', 'fromturnover']",1628969,5.590000152587891,50.0,1610612751,5,6,2023-12-24T00:45:55Z,390000,False,0.0,0.0,1,left,M. Bridges tip Layup (5 PTS),[1628969],1610612751.0,BKN,tip,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.0,Made,5.0,,,,,,,,,,,,,,,,,
40,PT09M27.00S,2023-12-24T00:45:55.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,83.39356110381078,35.78431372549019,1610612765,5,6,2023-12-24T00:46:00Z,400000,False,-71.0,104.0,1,right,MISS C. Cunningham 12' driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Left,12.57,Missed,,,,,,,,,,,,,,,,,,
41,PT09M23.00S,2023-12-24T00:45:59.0Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,5,6,2023-12-24T00:46:00Z,410000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,40.0,1.0,1.0,0.0,,,
43,PT09M09.00S,2023-12-24T00:46:30.7Z,1,REGULAR,turnover,bad pass,[],1630560,,,1610612751,5,6,2023-12-24T00:46:35Z,430000,False,,,0,,C. Thomas bad pass TURNOVER (1 TO),"[1630560, 202711]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,1.0,Bogdanovic,202711.0
44,PT09M09.00S,2023-12-24T00:46:30.7Z,1,REGULAR,steal,,[],202711,,,1610612765,5,6,2023-12-24T00:46:33Z,440000,False,,,0,,B. Bogdanovic STEAL (1 STL),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
45,PT09M05.00S,2023-12-24T00:46:35.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1631093,79.58278580814718,91.91176470588235,1610612765,5,6,2023-12-24T00:46:42Z,450000,False,210.0,139.0,1,right,MISS J. Ivey 25' running 3PT,[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Right Center,25.17,Missed,,,,,,,,,,,,,,,,,,
46,PT09M03.00S,2023-12-24T00:46:37.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,5,6,2023-12-24T00:46:42Z,460000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,45.0,,,,,,
48,PT08M46.00S,2023-12-24T00:47:06.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.492115637319317,52.69607843137255,1610612751,7,6,2023-12-24T00:47:11Z,480000,False,-13.0,27.0,1,left,N. Claxton Hook (2 PTS) (C. Thomas 2 AST),"[1629651, 1630560]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,3.05,Made,2.0,C. Thomas,1630560.0,2.0,,,,,,,,,,,,,,
50,PT08M28.00S,2023-12-24T00:47:23.9Z,1,REGULAR,3pt,Jump Shot,[],1641709,96.40275952693824,96.56862745098039,1610612765,7,9,2023-12-24T00:47:28Z,500000,False,233.0,-19.0,1,right,A. Thompson 3PT  (6 PTS) (C. Cunningham 1 AST),"[1641709, 1630595]",1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,23.35,Made,6.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
52,PT08M14.00S,2023-12-24T00:47:40.7Z,1,REGULAR,turnover,out-of-bounds,[],1629651,,,1610612751,7,9,2023-12-24T00:47:48Z,520000,False,,,0,,N. Claxton bad pass out-of-bounds TURNOVER (1 TO),[1629651],1610612751.0,BKN,bad pass,,,Claxton,N. Claxton,,,,,Mid-Range,16-24 Center,,,,,,,202035.0,,,,,,,,,,,1.0,,
53,PT08M08.00S,2023-12-24T00:47:49.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630595,71.96123521681997,78.18627450980392,1610612765,7,9,2023-12-24T00:47:54Z,530000,False,141.0,211.0,1,right,MISS C. Cunningham 25' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,,
54,PT08M04.00S,2023-12-24T00:47:53.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,9,2023-12-24T00:47:54Z,540000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,53.0,1.0,1.0,0.0,,,
55,PT07M56.00S,2023-12-24T00:48:01.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,4.418528252299605,2.941176470588235,1610612751,10,9,2023-12-24T00:48:06Z,550000,False,235.0,-11.0,1,left,M. Bridges 3PT  (8 PTS) (C. Thomas 3 AST),"[1628969, 1630560]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,23.56,Made,8.0,C. Thomas,1630560.0,3.0,,,,,,,,,,,,,,
57,PT07M41.00S,2023-12-24T00:48:15.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630191,94.03745072273325,50.49019607843137,1610612765,10,11,2023-12-24T00:48:20Z,570000,False,2.0,4.0,1,right,I. Stewart cutting DUNK (2 PTS) (B. Bogdanovic 2 AST),"[1630191, 202711]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,0.43,Made,2.0,B. Bogdanovic,202711.0,2.0,,,,,,,,,,,,,,
59,PT07M24.00S,2023-12-24T00:48:35.2Z,1,REGULAR,foul,personal,[],1630595,,,1610612751,10,11,2023-12-24T00:48:44Z,590000,False,,,0,,C. Cunningham personal FOUL (2 PF),"[1630595, 1630560]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,,,,,1179.0,2.0,0.0,Thomas,1630560.0,,,,,,,,,
61,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,out,[],1629651,,,1610612751,10,11,2023-12-24T00:48:54Z,610000,False,,,0,,SUB out: N. Claxton,[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,out,[],1630560,,,1610612751,10,11,2023-12-24T00:48:54Z,620000,False,,,0,,SUB out: C. Thomas,[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,out,[],1641709,,,1610612751,10,11,2023-12-24T00:48:54Z,630000,False,,,0,,SUB out: A. Thompson,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,in,[],1630549,,,1610612751,10,11,2023-12-24T00:48:54Z,640000,False,,,0,,SUB in: D. Sharpe,[1630549],1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,in,[],1627827,,,1610612751,10,11,2023-12-24T00:48:54Z,650000,False,,,0,,SUB in: D. Finney-Smith,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT07M24.00S,2023-12-24T00:48:43.2Z,1,REGULAR,substitution,in,[],203925,,,1610612751,10,11,2023-12-24T00:48:54Z,660000,False,,,0,,SUB in: J. Harris,[203925],1610612765.0,DET,,,,Harris,J. Harris,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT07M15.00S,2023-12-24T00:49:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,15.719448094612352,46.568627450980394,1610612751,12,11,2023-12-24T00:49:20Z,670000,False,17.0,95.0,1,left,M. Bridges 9' fadeaway Jump Shot (10 PTS),[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,9.68,Made,10.0,,,,,,,,,,,,,,,,,
68,PT06M52.00S,2023-12-24T00:49:37.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,92.32917214191852,57.59803921568627,1610612765,12,13,2023-12-24T00:50:08Z,680000,False,38.0,20.0,1,right,J. Ivey driving Layup (2 PTS),[1631093],1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,4.28,Made,2.0,,,,,,,,,,,,,,,,,
69,PT06M38.00S,2023-12-24T00:49:51.0Z,1,REGULAR,2pt,Jump Shot,[],1628969,17.821944809461236,65.93137254901961,1610612751,12,13,2023-12-24T00:49:56Z,690000,False,-80.0,115.0,1,left,MISS M. Bridges 13' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,13.99,Missed,,,,,,,,,,,,,,,,,,
70,PT06M33.00S,2023-12-24T00:49:56.0Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,12,13,2023-12-24T00:49:56Z,700000,False,,,0,,I. Stewart REBOUND (Off:0 Def:4),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,69.0,4.0,4.0,0.0,,,
71,PT06M29.00S,2023-12-24T00:50:01.3Z,1,REGULAR,foul,personal,[],1629661,,,1610612765,12,13,2023-12-24T00:50:12Z,710000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1631093]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202035.0,1.0,0.0,Ivey,1631093.0,,,,,,,,,
73,PT06M29.00S,2023-12-24T00:50:12.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,12,13,2023-12-24T00:50:12Z,730000,False,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M23.00S,2023-12-24T00:53:10.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,77.4802890932983,30.14705882352941,1610612765,12,15,2023-12-24T00:53:15Z,740000,False,-99.0,159.0,1,right,C. Cunningham 18' pullup Jump Shot (5 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,18.76,Made,5.0,,,,,,,,,,,,,,,,,
75,PT05M59.00S,2023-12-24T00:53:35.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630549,5.469776609724048,44.6078431372549,1610612751,14,15,2023-12-24T00:53:39Z,750000,False,27.0,-1.0,1,left,D. Sharpe Layup (2 PTS) (S. Dinwiddie 1 AST),"[1630549, 203915]",1610612751.0,BKN,,,,Sharpe,D. Sharpe,,,,,Restricted Area,0-8 Center,2.7,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
77,PT05M40.00S,2023-12-24T00:53:52.9Z,1,REGULAR,3pt,Jump Shot,[],202711,66.70499342969777,52.20588235294118,1610612765,14,15,2023-12-24T00:53:57Z,770000,False,11.0,260.0,1,right,MISS B. Bogdanovic 26' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,26.07,Missed,,,,,,,,,,,,,,,,,,
78,PT05M37.00S,2023-12-24T00:53:55.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,14,15,2023-12-24T00:53:57Z,780000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:2),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,77.0,2.0,2.0,0.0,,,
79,PT05M18.00S,2023-12-24T00:54:15.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,4.812746386333772,53.67647058823529,1610612751,16,15,2023-12-24T00:54:19Z,790000,False,-18.0,-7.0,1,left,M. Bridges cutting Layup (12 PTS) (D. Sharpe 1 AST),"[1628969, 1630549]",1610612751.0,BKN,cutting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1.98,Made,12.0,D. Sharpe,1630549.0,1.0,,,,,,,,,,,,,,
81,PT05M03.00S,2023-12-24T00:54:31.6Z,1,REGULAR,turnover,out-of-bounds,[],1631093,,,1610612765,16,15,2023-12-24T00:54:50Z,810000,False,,,0,,J. Ivey lost ball out-of-bounds TURNOVER (2 TO),[1631093],1610612765.0,DET,lost ball,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Center,,,,,,,202901.0,,,,,,,,,,,2.0,,
82,PT05M03.00S,2023-12-24T00:54:36.3Z,1,REGULAR,substitution,out,[],1630595,,,1610612751,16,15,2023-12-24T00:54:46Z,820000,False,,,0,,SUB out: C. Cunningham,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT05M03.00S,2023-12-24T00:54:36.3Z,1,REGULAR,substitution,out,[],1631093,,,1610612751,16,15,2023-12-24T00:54:46Z,830000,False,,,0,,SUB out: J. Ivey,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M03.00S,2023-12-24T00:54:36.3Z,1,REGULAR,substitution,in,[],202692,,,1610612751,16,15,2023-12-24T00:54:46Z,840000,False,,,0,,SUB in: A. Burks,[202692],1610612765.0,DET,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M03.00S,2023-12-24T00:54:36.3Z,1,REGULAR,substitution,in,[],1631204,,,1610612751,16,15,2023-12-24T00:54:46Z,850000,False,,,0,,SUB in: M. Sasser,[1631204],1610612765.0,DET,,,,Sasser,M. Sasser,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M50.00S,2023-12-24T00:55:03.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627827,10.33180026281209,50.245098039215684,1610612751,18,15,2023-12-24T00:55:08Z,860000,False,-1.0,45.0,1,left,D. Finney-Smith driving floating Jump Shot (2 PTS) (S. Dinwiddie 2 AST),"[1627827, 203915]",1610612751.0,BKN,driving floating,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,4.46,Made,2.0,S. Dinwiddie,203915.0,2.0,,,,,,,,,,,,,,
88,PT04M37.00S,2023-12-24T00:55:16.1Z,1,REGULAR,2pt,Jump Shot,[],202692,78.13731931668858,46.07843137254902,1610612765,18,17,2023-12-24T00:55:21Z,880000,False,-20.0,153.0,1,right,A. Burks 15' pullup Jump Shot (2 PTS) (I. Stewart 1 AST),"[202692, 1630191]",1610612765.0,DET,pullup,,,Burks,A. Burks,,,,,Mid-Range,8-16 Center,15.43,Made,2.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,,,
