actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value
18,PT10M27.00S,2022-02-17T00:48:22.6Z,1,REGULAR,3pt,Jump Shot,[],201949,16.951379763469117,3.944546568627451,1610612751,5,2,2022-02-17T00:51:11Z,170000,230.0,107.0,1,left,MISS J. Johnson 25' 3PT,[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-02-17T00:48:24.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,5,2,2022-02-17T00:48:26Z,180000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,
20,PT10M18.00S,2022-02-17T00:48:32.3Z,1,REGULAR,turnover,bad pass,[],203944,,,1610612752,5,2,2022-02-17T00:48:35Z,190000,,,0,,J. Randle bad pass TURNOVER (1 TO),"[203944, 201949]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,1.0,Johnson,201949.0,
21,PT10M18.00S,2022-02-17T00:48:32.3Z,1,REGULAR,steal,,[],201949,,,1610612751,5,2,2022-02-17T00:48:34Z,200000,,,0,,J. Johnson STEAL (1 STL),[201949],1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M11.00S,2022-02-17T00:48:39.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203552,32.276609724047304,58.82352941176471,1610612751,5,2,2022-02-17T00:48:48Z,210000,-44.0,251.0,1,left,MISS S. Curry 25' step back 3PT,[203552],1610612751.0,BKN,step back,,,Curry,S. Curry,,,,,,25.47,Missed,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2022-02-17T00:48:41.6Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,5,2,2022-02-17T00:48:48Z,220000,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,
24,PT09M57.00S,2022-02-17T00:48:52.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",201988,23.340998685939553,50.245098039215684,1610612751,5,2,2022-02-17T00:52:56Z,230000,-1.0,167.0,1,left,MISS P. Mills 16' fadeaway Shot,[201988],1610612751.0,BKN,fadeaway,,,Mills,P. Mills,,,,,,16.69,Missed,,,,,,,,,,,,,,,,,,
25,PT09M55.00S,2022-02-17T00:48:54.4Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,5,2,2022-02-17T00:48:57Z,240000,,,0,,E. Fournier REBOUND (Off:0 Def:1),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,
26,PT09M52.00S,2022-02-17T00:48:57.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629656,79.31997371879106,8.088235294117647,1610612752,8,2,2022-02-17T00:54:34Z,250000,-210.0,142.0,1,right,Q. Grimes 25' 3PT running (3 PTS) (E. Fournier 1 AST),"[1629656, 203095]",1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,,25.31,Made,,,,,,,,,,,3.0,E. Fournier,203095.0,1.0,,,,
28,PT09M31.00S,2022-02-17T00:49:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612751,8,2,2022-02-17T00:49:34Z,270000,,,0,,M. Robinson shooting personal FOUL (1 PF) (Brown 2 FT),"[1629011, 1628971]",1610612752.0,NYK,shooting,,,Robinson,M. Robinson,,,,,1162.0,,,,,,,,,1.0,0.0,Brown,1628971.0,,,,,,,,
30,PT09M31.00S,2022-02-17T00:49:54.0Z,1,REGULAR,freethrow,1 of 2,[],1628971,,,1610612751,8,3,2022-02-17T00:49:54Z,290000,,,0,,B. Brown Free Throw 1 of 2 (1 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
31,PT09M31.00S,2022-02-17T00:50:06.6Z,1,REGULAR,freethrow,2 of 2,[],1628971,,,1610612751,8,4,2022-02-17T00:50:06Z,300000,,,0,,B. Brown Free Throw 2 of 2 (2 PTS),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
32,PT09M19.00S,2022-02-17T00:50:22.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,90.22667542706965,42.8921568627451,1610612752,8,4,2022-02-17T00:55:13Z,310000,-36.0,39.0,1,right,MISS E. Fournier driving floating bank Shot,[203095],1610612752.0,NYK,driving floating bank,,,Fournier,E. Fournier,,,,,,5.3,Missed,,,,,,,,,,,,,,,,,,
33,PT09M17.00S,2022-02-17T00:50:24.5Z,1,REGULAR,rebound,defensive,[],203083,,,1610612751,8,4,2022-02-17T00:50:31Z,320000,,,0,,A. Drummond REBOUND (Off:1 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,32.0,2.0,1.0,1.0,,,,,,,,,,,,
34,PT08M59.00S,2022-02-17T00:50:42.1Z,1,REGULAR,3pt,Jump Shot,[],201988,20.45006570302234,90.44117647058823,1610612751,8,4,2022-02-17T00:50:50Z,330000,-202.0,140.0,1,left,MISS P. Mills 24' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,24.58,Missed,,,,,,,,,,,,,,,,,,
35,PT08M58.00S,2022-02-17T00:50:43.8Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,8,4,2022-02-17T00:50:43Z,340000,,,0,,A. Drummond REBOUND (Off:2 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,34.0,3.0,1.0,2.0,,,,,,,,,,,,
36,PT08M57.00S,2022-02-17T00:50:51.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,8.754927726675426,49.26470588235294,1610612751,8,4,2022-02-17T00:56:55Z,350000,4.0,30.0,1,left,MISS A. Drummond putback Layup - blocked,"[203083, 203944]",1610612751.0,BKN,putback,,,Drummond,A. Drummond,,,,,,3.0,Missed,Randle,203944.0,,,,,,,,,,,,,,,,
37,PT08M57.00S,2022-02-17T00:50:51.6Z,1,REGULAR,block,,[],203944,,,1610612751,8,4,2022-02-17T00:59:25Z,360000,,,0,,J. Randle BLOCK (1 BLK),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT08M56.00S,2022-02-17T00:50:52.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,8,4,2022-02-17T00:51:22Z,370000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,
39,PT08M56.00S,2022-02-17T00:50:56.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,8,4,2022-02-17T00:50:56Z,380000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M51.00S,2022-02-17T00:51:10.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203552,30.699737187910642,23.03921568627451,1610612751,8,7,2022-02-17T00:51:15Z,390000,135.0,236.0,1,left,S. Curry 27' 3PT  (3 PTS) (A. Drummond 1 AST),"[203552, 203083]",1610612751.0,BKN,,,,Curry,S. Curry,,,,,,27.19,Made,,,,,,,,,,,3.0,A. Drummond,203083.0,1.0,,,,
42,PT08M37.00S,2022-02-17T00:51:23.7Z,1,REGULAR,3pt,Jump Shot,[],202689,69.72733245729303,67.8921568627451,1610612752,11,7,2022-02-17T00:51:29Z,410000,89.0,232.0,1,right,K. Walker 24' 3PT pullup (5 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,,24.88,Made,,,,,,,,,,,5.0,,,,,,,
43,PT08M21.00S,2022-02-17T00:51:40.8Z,1,REGULAR,turnover,bad pass,[],201949,,,1610612751,11,7,2022-02-17T00:51:43Z,420000,,,0,,J. Johnson bad pass TURNOVER (1 TO),"[201949, 203095]",1610612751.0,BKN,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,1.0,Fournier,203095.0,
44,PT08M21.00S,2022-02-17T00:51:40.8Z,1,REGULAR,steal,,[],203095,,,1610612752,11,7,2022-02-17T00:51:42Z,430000,,,0,,E. Fournier STEAL (1 STL),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT08M17.00S,2022-02-17T00:51:44.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203095,73.27529566360053,77.69607843137256,1610612752,14,7,2022-02-17T01:00:24Z,440000,138.0,199.0,1,right,E. Fournier 24' 3PT running pullup (3 PTS),[203095],1610612752.0,NYK,running pullup,,,Fournier,E. Fournier,,,,,,24.22,Made,,,,,,,,,,,3.0,,,,,,,
46,PT08M15.00S,2022-02-17T00:51:49.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612751,14,7,2022-02-17T00:51:49Z,450000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M03.00S,2022-02-17T00:55:29.9Z,1,REGULAR,2pt,Jump Shot,[],203552,14.273981603153747,74.50980392156863,1610612751,14,7,2022-02-17T01:15:02Z,460000,-123.0,82.0,1,left,MISS S. Curry 14' step back Shot,[203552],1610612751.0,BKN,step back,,,Curry,S. Curry,,,,,,14.72,Missed,,,,,,,,,,,,,,,,,,
48,PT08M01.00S,2022-02-17T00:55:31.9Z,1,REGULAR,rebound,offensive,[],1628971,,,1610612751,14,7,2022-02-17T00:55:36Z,470000,,,0,,B. Brown REBOUND (Off:1 Def:0),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,,,,,
49,PT07M53.00S,2022-02-17T00:55:40.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628971,8.09789750328515,2.941176470588235,1610612751,14,7,2022-02-17T00:55:46Z,480000,235.0,24.0,1,left,MISS B. Brown 3PT,[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,23.65,Missed,,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2022-02-17T00:55:42.1Z,1,REGULAR,rebound,offensive,[],203083,,,1610612751,14,7,2022-02-17T00:55:46Z,490000,,,0,,A. Drummond REBOUND (Off:3 Def:1),[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,49.0,4.0,1.0,3.0,,,,,,,,,,,,
51,PT07M50.00S,2022-02-17T00:55:45.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,8.229303547963205,50.73529411764706,1610612751,14,7,2022-02-17T01:02:20Z,500000,-4.0,25.0,1,left,MISS A. Drummond Layup - blocked,"[203083, 1629656]",1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,2.52,Missed,Grimes,1629656.0,,,,,,,,,,,,,,,,
52,PT07M50.00S,2022-02-17T00:55:45.8Z,1,REGULAR,block,,[],1629656,,,1610612751,14,7,2022-02-17T00:55:54Z,510000,,,0,,Q. Grimes BLOCK (1 BLK),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT07M49.00S,2022-02-17T00:55:46.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,14,7,2022-02-17T00:56:05Z,520000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,
54,PT07M49.00S,2022-02-17T00:55:56.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,14,7,2022-02-17T00:55:56Z,530000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M41.00S,2022-02-17T00:56:09.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203552,23.866622864651774,71.07843137254902,1610612751,14,7,2022-02-17T01:15:12Z,540000,-105.0,172.0,1,left,MISS S. Curry 20' pullup Shot,[203552],1610612751.0,BKN,pullup,,,Curry,S. Curry,,,,,,20.16,Missed,,,,,,,,,,,,,,,,,,
56,PT07M39.00S,2022-02-17T00:56:11.4Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,14,7,2022-02-17T00:56:14Z,550000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,
57,PT07M33.00S,2022-02-17T00:56:16.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,75.1149802890933,16.911764705882355,1610612752,17,7,2022-02-17T01:03:41Z,560000,-165.0,181.0,1,right,J. Randle 24' 3PT running pullup (6 PTS),[203944],1610612752.0,NYK,running pullup,,,Randle,J. Randle,,,,,,24.55,Made,,,,,,,,,,,6.0,,,,,,,
59,PT07M08.00S,2022-02-17T00:56:49.5Z,1,REGULAR,foul,personal,['3freethrow'],1629656,,,1610612751,17,7,2022-02-17T00:56:55Z,580000,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Mills 3 FT),"[1629656, 201988]",1610612752.0,NYK,shooting,,,Grimes,Q. Grimes,,,,,1627541.0,,,,,,,,,1.0,0.0,Mills,201988.0,,,,,,,,
61,PT07M08.00S,2022-02-17T00:57:18.1Z,1,REGULAR,freethrow,1 of 3,[],201988,,,1610612751,17,7,2022-02-17T00:57:18Z,600000,,,0,,MISS P. Mills Free Throw 1 of 3,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,Missed,,,,,,,,,,,,,,,,,,
62,PT07M08.00S,2022-02-17T00:57:18.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612751,17,7,2022-02-17T00:57:18Z,610000,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,
63,PT07M08.00S,2022-02-17T00:57:34.7Z,1,REGULAR,freethrow,2 of 3,[],201988,,,1610612751,17,8,2022-02-17T00:57:34Z,620000,,,0,,P. Mills Free Throw 2 of 3 (1 PTS),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,Made,,,,,,,,,,,1.0,,,,,,,
64,PT07M08.00S,2022-02-17T00:57:47.8Z,1,REGULAR,freethrow,3 of 3,[],201988,,,1610612751,17,9,2022-02-17T00:57:47Z,630000,,,0,,P. Mills Free Throw 3 of 3 (2 PTS),[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,Made,,,,,,,,,,,2.0,,,,,,,
65,PT06M46.00S,2022-02-17T00:58:12.8Z,1,REGULAR,3pt,Jump Shot,[],1629656,75.3777923784494,9.068627450980392,1610612752,20,9,2022-02-17T00:58:17Z,640000,-205.0,179.0,1,right,Q. Grimes 27' 3PT  (6 PTS) (K. Walker 1 AST),"[1629656, 202689]",1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,27.19,Made,,,,,,,,,,,6.0,K. Walker,202689.0,1.0,,,,
67,PT06M30.00S,2022-02-17T00:58:28.1Z,1,REGULAR,2pt,Jump Shot,[],201988,21.369908015768726,26.96078431372549,1610612751,20,9,2022-02-17T00:58:38Z,660000,115.0,148.0,1,left,MISS P. Mills 18' pullup Shot,[201988],1610612751.0,BKN,pullup,,,Mills,P. Mills,,,,,,18.79,Missed,,,,,,,,,,,,,,,,,,
68,PT06M28.00S,2022-02-17T00:58:30.1Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,20,9,2022-02-17T00:58:38Z,670000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,67.0,2.0,2.0,0.0,,,,,,,,,,,,
69,PT06M21.00S,2022-02-17T00:58:38.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629656,94.43166885676742,49.26470588235294,1610612752,22,9,2022-02-17T00:58:44Z,680000,-4.0,0.0,1,right,Q. Grimes running Layup (8 PTS),[1629656],1610612752.0,NYK,running,,,Grimes,Q. Grimes,,,,,,0.37,Made,,,,,,,,,,,8.0,,,,,,,
70,PT06M06.00S,2022-02-17T00:58:52.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201949,6.389618922470433,53.18627450980392,1610612751,22,11,2022-02-17T00:58:56Z,690000,-16.0,8.0,1,left,J. Johnson driving Layup (4 PTS),[201949],1610612751.0,BKN,driving,,,Johnson,J. Johnson,,,,,,1.76,Made,,,,,,,,,,,4.0,,,,,,,
71,PT05M58.00S,2022-02-17T00:59:02.8Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,22,11,2022-02-17T00:59:08Z,700000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (2 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,1627541.0,,,,,,,,,,,,,,,,,2.0,,,
72,PT05M58.00S,2022-02-17T00:59:02.9Z,1,REGULAR,substitution,out,[],203083,,,1610612751,22,11,2022-02-17T00:59:13Z,710000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M58.00S,2022-02-17T00:59:02.9Z,1,REGULAR,substitution,in,[],200746,,,1610612751,22,11,2022-02-17T00:59:13Z,720000,,,0,,SUB in: L. Aldridge,[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M44.00S,2022-02-17T00:59:38.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],200746,25.18068331143233,43.872549019607845,1610612751,22,13,2022-02-17T00:59:42Z,730000,31.0,184.0,1,left,L. Aldridge 18' Jump Shot (2 PTS) (S. Curry 2 AST),"[200746, 203552]",1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,18.67,Made,,,,,,,,,,,2.0,S. Curry,203552.0,2.0,,,,
76,PT05M28.00S,2022-02-17T00:59:53.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,84.57621550591328,52.69607843137255,1610612752,22,13,2022-02-17T00:59:58Z,750000,13.0,92.0,1,right,MISS K. Walker 9' fadeaway Shot,[202689],1610612752.0,NYK,fadeaway,,,Walker,K. Walker,,,,,,9.35,Missed,,,,,,,,,,,,,,,,,,
77,PT05M26.00S,2022-02-17T00:59:55.0Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,22,13,2022-02-17T00:59:58Z,760000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,Aldridge,L. Aldridge,,,,,,,,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,
78,PT05M18.00S,2022-02-17T01:00:03.7Z,1,REGULAR,3pt,Jump Shot,[],201988,24.52365308804205,85.29411764705883,1610612751,22,13,2022-02-17T01:00:09Z,770000,-176.0,178.0,1,left,MISS P. Mills 25' 3PT,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,25.07,Missed,,,,,,,,,,,,,,,,,,
79,PT05M16.00S,2022-02-17T01:00:05.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,22,13,2022-02-17T01:00:09Z,780000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,
80,PT05M04.00S,2022-02-17T01:00:17.6Z,1,REGULAR,2pt,Jump Shot,[],203944,93.11760840998686,81.12745098039215,1610612752,24,13,2022-02-17T01:15:22Z,790000,156.0,12.0,1,right,J. Randle 15' step back Jump Shot (8 PTS),[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,,15.61,Made,,,,,,,,,,,8.0,,,,,,,
81,PT04M55.00S,2022-02-17T01:00:31.8Z,1,REGULAR,violation,kicked ball,[],1629011,,,1610612751,24,13,2022-02-17T01:00:36Z,800000,,,0,,M. Robinson kicked ball VIOLATION,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1627541.0,,,,,,,,,,,,,,,,,,,,
82,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,out,[],202689,,,1610612751,24,13,2022-02-17T01:00:53Z,810000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,out,[],1629011,,,1610612751,24,13,2022-02-17T01:00:53Z,820000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,out,[],201988,,,1610612751,24,13,2022-02-17T01:00:53Z,830000,,,0,,SUB out: P. Mills,[201988],1610612751.0,BKN,,,,Mills,P. Mills,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,in,[],202692,,,1610612751,24,13,2022-02-17T01:00:53Z,840000,,,0,,SUB in: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,in,[],201959,,,1610612751,24,13,2022-02-17T01:00:53Z,850000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M55.00S,2022-02-17T01:00:42.6Z,1,REGULAR,substitution,in,[],1628975,,,1610612751,24,13,2022-02-17T01:00:53Z,860000,,,0,,SUB in: J. Carter,[1628975],1610612751.0,BKN,,,,Carter,J. Carter,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M43.00S,2022-02-17T01:01:09.0Z,1,REGULAR,3pt,Jump Shot,[],201949,30.17411300919842,29.411764705882355,1610612751,24,13,2022-02-17T01:06:34Z,870000,103.0,231.0,1,left,MISS J. Johnson 25' pullup 3PT,[201949],1610612751.0,BKN,pullup,,,Johnson,J. Johnson,,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
