actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId,value
70,PT06M01.00S,2022-04-06T23:57:40.0Z,1,REGULAR,3pt,Jump Shot,[],203552,8.623521681997373,3.9215686274509802,1610612751,13,14,2022-04-06T23:57:43Z,700000,230.0,29.0,1,left,MISS S. Curry 3PT,[203552],1610612751.0,BKN,,,,,,,23.22,Missed,,Curry,S. Curry,,,,,,,,,,,,,,,,,,,
71,PT05M59.00S,2022-04-06T23:57:42.0Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,13,14,2022-04-06T23:57:43Z,710000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,70.0,2.0,2.0,0.0,,,,,,,,,,,,
72,PT05M54.00S,2022-04-06T23:57:47.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,94.03745072273325,48.28431372549019,1610612752,13,14,2022-04-06T23:57:52Z,720000,-9.0,4.0,1,right,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,,,,0.93,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
73,PT05M52.00S,2022-04-06T23:57:49.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,13,14,2022-04-06T23:57:52Z,730000,,,0,,B. Brown REBOUND (Off:0 Def:2),[1628971],1610612751.0,BKN,,,,,,,,,,Brown,B. Brown,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,,
74,PT05M44.00S,2022-04-06T23:57:57.5Z,1,REGULAR,2pt,Jump Shot,[],202681,4.944152431011826,24.754901960784316,1610612751,13,14,2022-04-06T23:58:02Z,740000,126.0,-6.0,1,left,MISS K. Irving 12' turnaround Shot,[202681],1610612751.0,BKN,turnaround,,,,,,12.63,Missed,,Irving,K. Irving,,,,,,,,,,,,,,,,,,,
75,PT05M42.00S,2022-04-06T23:57:59.5Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,13,14,2022-04-06T23:58:02Z,750000,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,
76,PT05M36.00S,2022-04-06T23:58:05.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",202692,93.38042049934296,48.529411764705884,1610612752,15,14,2022-04-07T00:05:34Z,760000,-7.0,10.0,1,right,A. Burks running reverse Layup (9 PTS) (R. Barrett 2 AST),"[202692, 1629628]",1610612752.0,NYK,running reverse,,,,,,1.22,Made,9.0,Burks,A. Burks,R. Barrett,1629628.0,2.0,,,,,,,,,,,,,,,,
78,PT05M18.00S,2022-04-06T23:58:22.3Z,1,REGULAR,2pt,Jump Shot,[],201142,24.26084099868594,56.86274509803921,1610612751,15,14,2022-04-06T23:58:26Z,780000,-34.0,176.0,1,left,MISS K. Durant 17' Jump Shot,[201142],1610612751.0,BKN,,,,,,,17.89,Missed,,Durant,K. Durant,,,,,,,,,,,,,,,,,,,
79,PT05M16.00S,2022-04-06T23:58:24.3Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,15,14,2022-04-06T23:58:26Z,790000,,,0,,J. Sims REBOUND (Off:0 Def:2),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,
80,PT05M06.00S,2022-04-06T23:58:35.6Z,1,REGULAR,3pt,Jump Shot,[],1629628,74.98357424441524,82.84313725490196,1610612752,15,14,2022-04-06T23:58:43Z,800000,164.0,183.0,1,right,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,,,,24.56,Missed,,Barrett,R. Barrett,,,,,,,,,,,,,,,,,,,
81,PT05M04.00S,2022-04-06T23:58:37.6Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,15,14,2022-04-06T23:58:43Z,810000,,,0,,J. Sims REBOUND (Off:1 Def:2),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,80.0,3.0,2.0,1.0,,,,,,,,,,,,
82,PT05M02.00S,2022-04-06T23:58:41.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630579,90.75229960578186,46.568627450980394,1610612752,15,14,2022-04-06T23:58:50Z,820000,-17.0,34.0,1,right,MISS J. Sims Hook,[1630579],1610612752.0,NYK,,,,,,,3.85,Missed,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,
83,PT05M00.00S,2022-04-06T23:58:43.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,15,14,2022-04-06T23:58:50Z,830000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,
84,PT05M00.00S,2022-04-06T23:58:50.3Z,1,REGULAR,foul,personal,[],1630579,,,1610612751,15,14,2022-04-06T23:58:58Z,840000,,,0,,J. Sims loose ball personal FOUL (1 PF),"[1630579, 203083]",1610612752.0,NYK,loose ball,,,,,,,,,Sims,J. Sims,,,,,,,,2882.0,1.0,0.0,Drummond,203083.0,,,,,,,
86,PT05M00.00S,2022-04-06T23:59:03.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612751,15,14,2022-04-06T23:59:03Z,860000,,,0,,BKN Timeout,[],1610612751.0,BKN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT05M00.00S,2022-04-06T23:59:03.5Z,1,REGULAR,substitution,out,[],203083,,,1610612751,15,14,2022-04-07T00:02:06Z,870000,,,0,,SUB out: A. Drummond,[203083],1610612751.0,BKN,,,,,,,,,,Drummond,A. Drummond,,,,,,,,,,,,,,,,,,,
88,PT05M00.00S,2022-04-06T23:59:03.5Z,1,REGULAR,substitution,out,[],1628971,,,1610612751,15,14,2022-04-07T00:02:06Z,880000,,,0,,SUB out: B. Brown,[1628971],1610612751.0,BKN,,,,,,,,,,Brown,B. Brown,,,,,,,,,,,,,,,,,,,
89,PT05M00.00S,2022-04-06T23:59:03.5Z,1,REGULAR,substitution,in,[],1630556,,,1610612751,15,14,2022-04-07T00:02:06Z,890000,,,0,,SUB in: K. Edwards,[1630556],1610612751.0,BKN,,,,,,,,,,Edwards,K. Edwards,,,,,,,,,,,,,,,,,,,
90,PT05M00.00S,2022-04-06T23:59:03.5Z,1,REGULAR,substitution,in,[],1629651,,,1610612751,15,14,2022-04-07T00:02:06Z,900000,,,0,,SUB in: N. Claxton,[1629651],1610612751.0,BKN,,,,,,,,,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,
91,PT04M49.00S,2022-04-07T00:02:34.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,8.09789750328515,49.01960784313725,1610612751,15,16,2022-04-07T00:07:12Z,910000,5.0,24.0,1,left,N. Claxton Hook (2 PTS) (K. Durant 2 AST),"[1629651, 201142]",1610612751.0,BKN,,,,,,,2.41,Made,2.0,Claxton,N. Claxton,K. Durant,201142.0,2.0,,,,,,,,,,,,,,,,
93,PT04M49.00S,2022-04-07T00:02:37.7Z,1,REGULAR,foul,personal,['1freethrow'],202692,,,1610612751,15,16,2022-04-07T00:02:45Z,930000,,,0,,A. Burks shooting personal FOUL (1 PF) (Claxton 1 FT),"[202692, 1629651]",1610612752.0,NYK,shooting,,,,,,,,,Burks,A. Burks,,,,,,,,1626301.0,1.0,0.0,Claxton,1629651.0,,,,,,,
95,PT04M49.00S,2022-04-07T00:02:56.8Z,1,REGULAR,freethrow,1 of 1,[],1629651,,,1610612751,15,16,2022-04-07T00:03:09Z,950000,,,0,,MISS N. Claxton Free Throw 1 of 1,[1629651],1610612751.0,BKN,,,,,,,,Missed,,Claxton,N. Claxton,,,,,,,,,,,,,,,,,,,
