actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,value
39,PT07M23.00S,2021-11-16T00:46:26.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202689,84.31340341655716,55.88235294117647,1610612752,8,9,2021-11-16T00:46:37Z,390000,29.0,95.0,1,right,K. Walker 9' pullup Jump Shot (8 PTS),[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,9.94,Made,8.0,,,,,,,,,,,,,,,,,,
40,PT07M11.00S,2021-11-16T00:46:41.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.1268068331143235,49.01960784313725,1610612754,8,11,2021-11-16T00:46:44Z,400000,5.0,5.0,1,left,D. Sabonis cutting Layup (7 PTS) (C. LeVert 2 AST),"[1627734, 1627747]",1610612754.0,IND,cutting,,,Sabonis,D. Sabonis,,,,,0.71,Made,7.0,,,,,,,,,,,,,C. LeVert,1627747.0,2.0,,,
42,PT07M11.00S,2021-11-16T00:46:44.3Z,1,REGULAR,foul,personal,['1freethrow'],1629628,,,1610612754,8,11,2021-11-16T00:46:52Z,420000,,,0,,R. Barrett shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1629628, 1627734]",1610612752.0,NYK,shooting,,,Barrett,R. Barrett,,,,,,,,,,,,1155.0,,,,1.0,0.0,Sabonis,1627734.0,,,,,,
44,PT07M11.00S,2021-11-16T00:47:10.7Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612754,8,11,2021-11-16T00:47:17Z,440000,,,0,,MISS D. Sabonis Free Throw 1 of 1,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Missed,,,,,,,,,,,,,,,,,,,
45,PT07M09.00S,2021-11-16T00:47:12.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,8,11,2021-11-16T00:47:17Z,450000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,,,,,
46,PT06M57.00S,2021-11-16T00:47:25.4Z,1,REGULAR,turnover,traveling,[],203944,,,1610612752,8,11,2021-11-16T00:47:30Z,460000,,,0,,J. Randle traveling TURNOVER (1 TO),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,1155.0,1.0,,,,,,,,,,,,
47,PT06M57.00S,2021-11-16T00:47:32.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612754,8,11,2021-11-16T00:47:32Z,470000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,out,[],1627747,,,1610612754,8,11,2021-11-16T00:50:17Z,480000,,,0,,SUB out: C. LeVert,[1627747],1610612754.0,IND,,,,LeVert,C. LeVert,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,out,[],203200,,,1610612754,8,11,2021-11-16T00:50:17Z,490000,,,0,,SUB out: J. Holiday,[203200],1610612754.0,IND,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,out,[],1627734,,,1610612754,8,11,2021-11-16T00:50:17Z,500000,,,0,,SUB out: D. Sabonis,[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,in,[],1628470,,,1610612754,8,11,2021-11-16T00:50:17Z,510000,,,0,,SUB in: T. Craig,[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,in,[],204456,,,1610612754,8,11,2021-11-16T00:50:17Z,520000,,,0,,SUB in: T. McConnell,[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M57.00S,2021-11-16T00:47:32.2Z,1,REGULAR,substitution,in,[],1629103,,,1610612754,8,11,2021-11-16T00:50:17Z,530000,,,0,,SUB in: K. Martin,[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT06M46.00S,2021-11-16T00:50:38.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",204456,6.389618922470433,40.44117647058824,1610612754,8,11,2021-11-16T01:12:14Z,540000,48.0,8.0,1,left,MISS T. McConnell fadeaway Shot,[204456],1610612754.0,IND,fadeaway,,,McConnell,T. McConnell,,,,,4.84,Missed,,,,,,,,,,,,,,,,,,,
55,PT06M44.00S,2021-11-16T00:50:40.1Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,8,11,2021-11-16T00:50:42Z,550000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,54.0,3.0,3.0,0.0,,,,,,,,,,,,,,
56,PT06M30.00S,2021-11-16T00:50:54.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,69.33311432325887,28.676470588235293,1610612752,8,11,2021-11-16T00:51:00Z,560000,-107.0,236.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
57,PT06M28.00S,2021-11-16T00:50:56.8Z,1,REGULAR,rebound,defensive,[],204456,,,1610612754,8,11,2021-11-16T00:51:00Z,570000,,,0,,T. McConnell REBOUND (Off:0 Def:1),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,,,,,
58,PT06M13.00S,2021-11-16T00:51:11.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,8.229303547963205,52.20588235294118,1610612754,8,11,2021-11-16T00:51:16Z,580000,-11.0,25.0,1,left,MISS M. Brogdon driving Layup - blocked,"[1627763, 1629011]",1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,2.72,Missed,,,,,,,,Robinson,1629011.0,,,,,,,,,,
59,PT06M13.00S,2021-11-16T00:51:11.5Z,1,REGULAR,block,,[],1629011,,,1610612754,8,11,2021-11-16T00:51:13Z,590000,,,0,,M. Robinson BLOCK (2 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M11.00S,2021-11-16T00:51:13.5Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,8,11,2021-11-16T00:51:16Z,600000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT05M55.00S,2021-11-16T00:51:29.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.59198423127464,36.029411764705884,1610612752,8,11,2021-11-16T00:51:34Z,610000,-70.0,17.0,1,right,MISS R. Barrett 7' driving Layup - blocked,"[1629628, 1629103]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,7.2,Missed,,,,,,,,Martin,1629103.0,,,,,,,,,,
62,PT05M55.00S,2021-11-16T00:51:29.4Z,1,REGULAR,block,,[],1629103,,,1610612752,8,11,2021-11-16T00:51:31Z,620000,,,0,,K. Martin BLOCK (1 BLK),[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT05M53.00S,2021-11-16T00:51:31.4Z,1,REGULAR,rebound,defensive,[],1629103,,,1610612754,8,11,2021-11-16T00:51:34Z,630000,,,0,,K. Martin REBOUND (Off:0 Def:1),[1629103],1610612754.0,IND,,,,Martin,K. Martin,,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,,,,,
64,PT05M47.00S,2021-11-16T00:51:37.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628470,21.50131406044678,5.637254901960785,1610612754,8,11,2021-11-16T00:51:58Z,640000,222.0,150.0,1,left,MISS T. Craig 26' pullup 3PT,[1628470],1610612754.0,IND,pullup,,,Craig,T. Craig,,,,,26.75,Missed,,,,,,,,,,,,,,,,,,,
65,PT05M45.00S,2021-11-16T00:51:39.0Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,8,11,2021-11-16T00:51:46Z,650000,,,0,,M. Robinson REBOUND (Off:0 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT05M28.00S,2021-11-16T00:51:57.0Z,1,REGULAR,3pt,Jump Shot,[],203095,86.5473061760841,93.87254901960785,1610612752,8,11,2021-11-16T00:52:01Z,660000,219.0,74.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,23.15,Missed,,,,,,,,,,,,,,,,,,,
67,PT05M26.00S,2021-11-16T00:51:59.0Z,1,REGULAR,rebound,defensive,[],1628470,,,1610612754,8,11,2021-11-16T00:52:01Z,670000,,,0,,T. Craig REBOUND (Off:0 Def:1),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,,,,,,,
68,PT05M10.00S,2021-11-16T00:52:17.2Z,1,REGULAR,foul,offensive,[],1626167,,,1610612754,8,11,2021-11-16T00:52:52Z,680000,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 202689]",1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,1151.0,,,,1.0,0.0,Walker,202689.0,,,,,,
74,PT05M10.00S,2021-11-16T00:52:17.2Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612754,8,11,2021-11-16T00:52:17Z,695000,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,1151.0,1.0,,,,,,,,,,,,
70,PT05M10.00S,2021-11-16T00:52:17.3Z,1,REGULAR,substitution,out,[],202689,,,1610612752,8,11,2021-11-16T00:52:17Z,700000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT05M10.00S,2021-11-16T00:52:17.3Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,8,11,2021-11-16T00:52:17Z,710000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M10.00S,2021-11-16T00:52:17.3Z,1,REGULAR,substitution,in,[],201959,,,1610612752,8,11,2021-11-16T00:52:17Z,720000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M10.00S,2021-11-16T00:52:17.3Z,1,REGULAR,substitution,in,[],201565,,,1610612752,8,11,2021-11-16T00:52:17Z,730000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M53.00S,2021-11-16T00:52:58.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203944,87.72996057818659,47.794117647058826,1610612752,10,11,2021-11-16T00:53:21Z,740000,-11.0,63.0,1,right,J. Randle 6' fadeaway Jump Shot (2 PTS),[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,6.38,Made,2.0,,,,,,,,,,,,,,,,,,
76,PT04M37.00S,2021-11-16T00:53:14.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627763,6.521024967148489,48.28431372549019,1610612754,10,13,2021-11-16T00:53:21Z,750000,9.0,9.0,1,left,M. Brogdon driving Layup (2 PTS),[1627763],1610612754.0,IND,driving,,,Brogdon,M. Brogdon,,,,,1.23,Made,2.0,,,,,,,,,,,,,,,,,,
77,PT04M22.00S,2021-11-16T00:53:30.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203944,93.51182654402102,47.549019607843135,1610612752,12,13,2021-11-16T00:53:34Z,760000,-12.0,8.0,1,right,J. Randle driving Layup (4 PTS) (E. Fournier 1 AST),"[203944, 203095]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,1.5,Made,4.0,,,,,,,,,,,,,E. Fournier,203095.0,1.0,,,
79,PT04M10.00S,2021-11-16T00:53:41.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627763,16.245072273324574,47.549019607843135,1610612754,12,13,2021-11-16T01:12:45Z,780000,12.0,100.0,1,left,MISS M. Brogdon 10' driving floating Shot,[1627763],1610612754.0,IND,driving floating,,,Brogdon,M. Brogdon,,,,,10.1,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M08.00S,2021-11-16T00:53:43.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,12,13,2021-11-16T00:53:46Z,790000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,79.0,2.0,2.0,0.0,,,,,,,,,,,,,,
81,PT04M06.00S,2021-11-16T00:53:46.5Z,1,REGULAR,turnover,bad pass,[],1629628,,,1610612752,12,13,2021-11-16T00:53:51Z,800000,,,0,,R. Barrett bad pass TURNOVER (1 TO),"[1629628, 1628470]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,1.0,,,,,,,,,,Craig,1628470.0,
82,PT04M06.00S,2021-11-16T00:53:46.5Z,1,REGULAR,steal,,[],1628470,,,1610612754,12,13,2021-11-16T00:53:48Z,810000,,,0,,T. Craig STEAL (1 STL),[1628470],1610612754.0,IND,,,,Craig,T. Craig,,,,,,,,,,,,,,,,,,,,,,,,,
83,PT04M01.00S,2021-11-16T00:53:50.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627763,28.33442838370565,75.0,1610612754,12,13,2021-11-16T00:54:15Z,820000,-125.0,214.0,1,left,MISS M. Brogdon 24' pullup 3PT,[1627763],1610612754.0,IND,pullup,,,Brogdon,M. Brogdon,,,,,24.77,Missed,,,,,,,,,,,,,,,,,,,
84,PT03M59.00S,2021-11-16T00:53:52.5Z,1,REGULAR,rebound,defensive,[],201959,,,1610612752,12,13,2021-11-16T00:53:55Z,830000,,,0,,T. Gibson REBOUND (Off:0 Def:1),[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,83.0,1.0,1.0,0.0,,,,,,,,,,,,,,
