actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
24,PT10M12.00S,2021-11-24T00:35:53.8Z,1,REGULAR,rebound,offensive,[],203457,,,1610612752,7,0,2021-11-24T00:35:57Z,240000,,,0,,N. Noel REBOUND (Off:1 Def:0),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT10M09.00S,2021-11-24T00:35:56.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",203095,96.5341655716163,95.83333333333334,1610612752,10,0,2021-11-24T00:36:00Z,250000,229.0,-20.0,1,right,E. Fournier 3PT  (6 PTS) (N. Noel 1 AST),"[203095, 203457]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,23.01,Made,,,,,6.0,,,N. Noel,203457.0,1.0,,,,,,,,
27,PT10M09.00S,2021-11-24T00:36:01.9Z,1,REGULAR,timeout,full,['team'],0,,,1610612747,10,0,2021-11-24T00:36:01Z,270000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PT09M48.00S,2021-11-24T00:39:46.1Z,1,REGULAR,turnover,out-of-bounds,[],1629659,,,1610612747,10,0,2021-11-24T00:39:51Z,280000,,,0,,T. Horton-Tucker bad pass out-of-bounds TURNOVER (1 TO),[1629659],1610612747.0,LAL,bad pass,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,201639.0,1.0,,,,,,,,,,,
29,PT09M34.00S,2021-11-24T00:40:09.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,76.95466491458606,14.460784313725492,1610612752,10,0,2021-11-24T00:40:29Z,290000,-178.0,164.0,1,right,MISS E. Fournier 24' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,24.19,Missed,,,,,,,,,,,,,,,,,,
30,PT09M32.00S,2021-11-24T00:40:11.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,10,0,2021-11-24T00:40:18Z,300000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
31,PT09M26.00S,2021-11-24T00:40:18.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,8.09789750328515,55.63725490196079,1610612747,10,0,2021-11-24T00:40:52Z,310000,-28.0,24.0,1,left,MISS R. Westbrook driving Layup - blocked,"[201566, 203457]",1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,3.68,Missed,,,,,,,,,,,,,Noel,203457.0,,,,
32,PT09M26.00S,2021-11-24T00:40:18.0Z,1,REGULAR,block,,[],203457,,,1610612747,10,0,2021-11-24T00:40:22Z,320000,,,0,,N. Noel BLOCK (1 BLK),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M24.00S,2021-11-24T00:40:20.0Z,1,REGULAR,rebound,offensive,[],201599,,,1610612747,10,0,2021-11-24T00:40:32Z,330000,,,0,,D. Jordan REBOUND (Off:2 Def:0),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,31.0,2.0,0.0,2.0,,,,,,,,,,,,,,
34,PT09M20.00S,2021-11-24T00:40:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201599,6.389618922470433,50.0,1610612747,10,2,2021-11-24T00:41:25Z,340000,0.0,8.0,1,left,D. Jordan putback Layup (2 PTS),[201599],1610612747.0,LAL,putback,,,Jordan,D. Jordan,,,,,0.76,Made,,,,,2.0,,,,,,,,,,,,,
35,PT09M02.00S,2021-11-24T00:40:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,71.96123521681997,23.284313725490197,1610612752,13,2,2021-11-24T00:40:45Z,350000,-134.0,211.0,1,right,R. Barrett 24' 3PT  (3 PTS) (J. Randle 1 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,24.98,Made,,,,,3.0,,,J. Randle,203944.0,1.0,,,,,,,,
37,PT08M43.00S,2021-11-24T00:41:02.0Z,1,REGULAR,3pt,Jump Shot,[],201566,30.962549277266753,21.323529411764707,1610612747,13,5,2021-11-24T00:41:05Z,370000,143.0,239.0,1,left,R. Westbrook 27' 3PT  (3 PTS) (A. Bradley 1 AST),"[201566, 202340]",1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,27.83,Made,,,,,3.0,,,A. Bradley,202340.0,1.0,,,,,,,,
39,PT08M30.00S,2021-11-24T00:41:13.8Z,1,REGULAR,2pt,Jump Shot,[],203944,74.45795006570303,50.0,1610612752,15,5,2021-11-24T00:42:27Z,390000,0.0,188.0,1,right,J. Randle 18' pullup Jump Shot (4 PTS),[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,18.76,Made,,,,,4.0,,,,,,,,,,,,,
40,PT08M12.00S,2021-11-24T00:41:31.6Z,1,REGULAR,2pt,Jump Shot,[],203076,28.203022339027594,40.68627450980392,1610612747,15,5,2021-11-24T00:41:36Z,400000,47.0,213.0,1,left,MISS A. Davis 21' Jump Shot,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,21.76,Missed,,,,,,,,,,,,,,,,,,
41,PT08M11.00S,2021-11-24T00:41:32.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,15,5,2021-11-24T00:41:36Z,410000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,40.0,2.0,2.0,0.0,,,,,,,,,,,,,,
42,PT08M05.00S,2021-11-24T00:41:41.0Z,1,REGULAR,foul,personal,['2freethrow'],1629659,,,1610612752,15,5,2021-11-24T00:41:47Z,420000,,,0,,T. Horton-Tucker shooting personal FOUL (1 PF) (Fournier 2 FT),"[1629659, 203095]",1610612747.0,LAL,shooting,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,201639.0,,,,,,,,,1.0,0.0,Fournier,203095.0
44,PT08M05.00S,2021-11-24T00:42:10.5Z,1,REGULAR,freethrow,1 of 2,[],203095,,,1610612752,16,5,2021-11-24T00:42:10Z,440000,,,0,,E. Fournier Free Throw 1 of 2 (7 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,,,,,7.0,,,,,,,,,,,,,
45,PT08M05.00S,2021-11-24T00:42:25.7Z,1,REGULAR,freethrow,2 of 2,[],203095,,,1610612752,17,5,2021-11-24T00:42:25Z,450000,,,0,,E. Fournier Free Throw 2 of 2 (8 PTS),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,Made,,,,,8.0,,,,,,,,,,,,,
46,PT07M47.00S,2021-11-24T00:42:44.9Z,1,REGULAR,2pt,Jump Shot,[],202340,10.5946123521682,81.12745098039215,1610612747,17,7,2021-11-24T00:43:26Z,460000,-156.0,47.0,1,left,A. Bradley 16' pullup Jump Shot (2 PTS) (A. Davis 1 AST),"[202340, 203076]",1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,16.26,Made,,,,,2.0,,,A. Davis,203076.0,1.0,,,,,,,,
48,PT07M31.00S,2021-11-24T00:43:00.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,74.19513797634691,81.61764705882352,1610612752,20,7,2021-11-24T00:43:04Z,480000,158.0,190.0,1,right,R. Barrett 24' 3PT  (6 PTS) (J. Randle 2 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,24.73,Made,,,,,6.0,,,J. Randle,203944.0,2.0,,,,,,,,
50,PT07M22.00S,2021-11-24T00:43:15.1Z,1,REGULAR,foul,personal,['2freethrow'],203944,,,1610612747,20,7,2021-11-24T00:43:21Z,500000,,,0,,J. Randle shooting personal FOUL (1 PF) (Davis 2 FT),"[203944, 203076]",1610612752.0,NYK,shooting,,,Randle,J. Randle,,,,,,,,,,,,1198.0,,,,,,,,,1.0,0.0,Davis,203076.0
52,PT07M22.00S,2021-11-24T00:43:45.5Z,1,REGULAR,freethrow,1 of 2,[],203076,,,1610612747,20,7,2021-11-24T00:44:15Z,520000,,,0,,MISS A. Davis Free Throw 1 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,
53,PT07M22.00S,2021-11-24T00:43:45.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612747,20,7,2021-11-24T00:44:15Z,530000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,
54,PT07M22.00S,2021-11-24T00:43:45.5Z,1,REGULAR,freethrow,2 of 2,[],203076,,,1610612747,20,7,2021-11-24T00:44:15Z,540000,,,0,,MISS A. Davis Free Throw 2 of 2,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,Missed,,,,,,,,,,,,,,,,,,
55,PT07M20.00S,2021-11-24T00:43:47.5Z,1,REGULAR,rebound,offensive,[],202340,,,1610612747,20,7,2021-11-24T00:44:15Z,550000,,,0,,A. Bradley REBOUND (Off:1 Def:1),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,,,
56,PT07M11.00S,2021-11-24T00:44:18.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201566,17.0335085413929,94.85294117647058,1610612747,20,7,2021-11-24T00:44:26Z,560000,-224.0,108.0,1,left,MISS R. Westbrook 24' 3PT,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,24.88,Missed,,,,,,,,,,,,,,,,,,
57,PT07M09.00S,2021-11-24T00:44:20.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,20,7,2021-11-24T00:44:26Z,570000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT07M00.00S,2021-11-24T00:44:29.7Z,1,REGULAR,2pt,Jump Shot,[],203944,85.49605781865965,16.911764705882355,1610612752,20,7,2021-11-24T00:44:34Z,580000,-165.0,84.0,1,right,MISS J. Randle 18' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,18.54,Missed,,,,,,,,,,,,,,,,,,
59,PT06M58.00S,2021-11-24T00:44:31.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,20,7,2021-11-24T00:44:34Z,590000,,,0,,D. Jordan REBOUND (Off:2 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,58.0,3.0,1.0,2.0,,,,,,,,,,,,,,
60,PT06M53.00S,2021-11-24T00:44:37.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",201566,9.017739816031538,49.50980392156863,1610612747,20,7,2021-11-24T00:45:33Z,600000,2.0,32.0,1,left,MISS R. Westbrook running Layup,[201566],1610612747.0,LAL,running,,,Westbrook,R. Westbrook,,,,,3.24,Missed,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2021-11-24T00:44:39.7Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,20,7,2021-11-24T00:44:44Z,610000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,60.0,3.0,3.0,0.0,,,,,,,,,,,,,,
62,PT06M44.00S,2021-11-24T00:44:48.5Z,1,REGULAR,foul,personal,['2freethrow'],201599,,,1610612752,20,7,2021-11-24T00:45:01Z,620000,,,0,,D. Jordan shooting personal FOUL (1 PF) (Randle 2 FT),"[201599, 203944]",1610612747.0,LAL,shooting,,,Jordan,D. Jordan,,,,,,,,,,,,1198.0,,,,,,,,,1.0,0.0,Randle,203944.0
65,PT06M44.00S,2021-11-24T00:45:04.1Z,1,REGULAR,substitution,out,[],201566,,,1610612752,20,7,2021-11-24T00:45:30Z,635000,,,0,,SUB out: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,
66,PT06M44.00S,2021-11-24T00:45:04.1Z,1,REGULAR,substitution,in,[],1628370,,,1610612752,20,7,2021-11-24T00:45:30Z,637500,,,0,,SUB in: M. Monk,[1628370],1610612747.0,LAL,,,,Monk,M. Monk,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M44.00S,2021-11-24T00:45:19.8Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,21,7,2021-11-24T00:45:57Z,640000,,,0,,J. Randle Free Throw 1 of 2 (5 PTS),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
67,PT06M44.00S,2021-11-24T00:45:19.8Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,21,7,2021-11-24T00:45:57Z,650000,,,0,,MISS J. Randle Free Throw 2 of 2,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,Missed,,,,,,,,,,,,,,,,,,
68,PT06M42.00S,2021-11-24T00:45:21.8Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,21,7,2021-11-24T00:45:57Z,660000,,,0,,A. Bradley REBOUND (Off:1 Def:2),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,67.0,3.0,2.0,1.0,,,,,,,,,,,,,,
69,PT06M31.00S,2021-11-24T00:46:07.7Z,1,REGULAR,2pt,Jump Shot,[],203076,20.45006570302234,73.2843137254902,1610612747,21,9,2021-11-24T00:46:11Z,670000,-116.0,140.0,1,left,A. Davis 18' Jump Shot (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,18.18,Made,,,,,2.0,,,,,,,,,,,,,
70,PT06M13.00S,2021-11-24T00:46:24.2Z,1,REGULAR,turnover,lost ball,[],202689,,,1610612752,21,9,2021-11-24T00:46:27Z,680000,,,0,,K. Walker lost ball TURNOVER (1 TO),"[202689, 202340]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,1.0,,,,Bradley,202340.0,,,,,,
71,PT06M13.00S,2021-11-24T00:46:24.2Z,1,REGULAR,steal,,[],202340,,,1610612747,21,9,2021-11-24T00:46:25Z,690000,,,0,,A. Bradley STEAL (1 STL),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M04.00S,2021-11-24T00:46:33.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203076,8.492115637319317,49.754901960784316,1610612747,21,9,2021-11-24T00:48:28Z,700000,1.0,27.0,1,left,MISS A. Davis floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,
73,PT06M02.00S,2021-11-24T00:46:35.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,21,9,2021-11-24T00:46:46Z,710000,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,72.0,4.0,4.0,0.0,,,,,,,,,,,,,,
74,PT05M58.00S,2021-11-24T00:46:39.9Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,21,9,2021-11-24T00:46:43Z,720000,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 1629659]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,1.0,,,,Horton-Tucker,1629659.0,,,,,,
75,PT05M58.00S,2021-11-24T00:46:39.9Z,1,REGULAR,steal,,[],1629659,,,1610612747,21,9,2021-11-24T00:46:41Z,730000,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612747.0,LAL,,,,Horton-Tucker,T. Horton-Tucker,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M47.00S,2021-11-24T00:46:50.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629659,8.492115637319317,48.28431372549019,1610612747,21,9,2021-11-24T00:49:08Z,740000,9.0,27.0,1,left,MISS T. Horton-Tucker step back Shot,[1629659],1610612747.0,LAL,step back,,,Horton-Tucker,T. Horton-Tucker,,,,,2.86,Missed,,,,,,,,,,,,,,,,,,
77,PT05M45.00S,2021-11-24T00:46:52.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,21,9,2021-11-24T00:46:56Z,750000,,,0,,J. Randle REBOUND (Off:0 Def:5),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,76.0,5.0,5.0,0.0,,,,,,,,,,,,,,
78,PT05M33.00S,2021-11-24T00:47:04.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,93.11760840998686,2.450980392156863,1610612752,21,9,2021-11-24T00:47:16Z,760000,-238.0,12.0,1,right,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.8,Missed,,,,,,,,,,,,,,,,,,
79,PT05M31.00S,2021-11-24T00:47:06.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,21,9,2021-11-24T00:49:44Z,770000,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,78.0,1.0,1.0,0.0,,,,,,,,,,,,,,
80,PT05M22.00S,2021-11-24T00:47:16.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,10.726018396846255,46.32352941176471,1610612747,21,9,2021-11-24T00:50:21Z,780000,18.0,48.0,1,left,MISS A. Davis step back Shot,[203076],1610612747.0,LAL,step back,,,Davis,A. Davis,,,,,5.17,Missed,,,,,,,,,,,,,,,,,,
81,PT05M20.00S,2021-11-24T00:47:18.6Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,21,9,2021-11-24T00:50:21Z,790000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,80.0,1.0,1.0,0.0,,,,,,,,,,,,,,
82,PT05M14.00S,2021-11-24T00:47:24.2Z,1,REGULAR,3pt,Jump Shot,[],203944,77.08607095926413,12.745098039215685,1610612752,21,9,2021-11-24T00:47:30Z,800000,-186.0,163.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.75,Missed,,,,,,,,,,,,,,,,,,
83,PT05M12.00S,2021-11-24T00:47:26.2Z,1,REGULAR,rebound,defensive,[],202340,,,1610612747,21,9,2021-11-24T00:47:30Z,810000,,,0,,A. Bradley REBOUND (Off:1 Def:3),[202340],1610612747.0,LAL,,,,Bradley,A. Bradley,,,,,,,82.0,4.0,3.0,1.0,,,,,,,,,,,,,,
84,PT05M04.00S,2021-11-24T00:47:33.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628370,6.521024967148489,52.20588235294118,1610612747,21,11,2021-11-24T00:47:37Z,820000,-11.0,9.0,1,left,M. Monk driving Layup (2 PTS),[1628370],1610612747.0,LAL,driving,,,Monk,M. Monk,,,,,1.41,Made,,,,,2.0,,,,,,,,,,,,,
85,PT04M45.00S,2021-11-24T00:47:52.1Z,1,REGULAR,3pt,Jump Shot,[],203095,69.72733245729303,29.411764705882355,1610612752,21,11,2021-11-24T00:51:17Z,830000,-103.0,232.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.39,Missed,,,,,,,,,,,,,,,,,,
86,PT04M43.00S,2021-11-24T00:47:54.1Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,21,11,2021-11-24T00:47:58Z,840000,,,0,,D. Jordan REBOUND (Off:2 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,85.0,4.0,2.0,2.0,,,,,,,,,,,,,,
87,PT04M21.00S,2021-11-24T00:48:17.3Z,1,REGULAR,3pt,Jump Shot,[],202340,33.85348226018397,45.09803921568628,1610612747,21,11,2021-11-24T00:51:48Z,850000,25.0,266.0,1,left,MISS A. Bradley 26' pullup 3PT,[202340],1610612747.0,LAL,pullup,,,Bradley,A. Bradley,,,,,26.68,Missed,,,,,,,,,,,,,,,,,,
