actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,value
43,PT08M08.00S,2022-01-07T00:41:26.3Z,1,REGULAR,3pt,Jump Shot,[],203935,94.82588699080158,5.392156862745098,1610612738,4,12,2022-01-07T00:41:33Z,430000,-223.0,-4.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.3,Missed,,,,,,,,,,,,,,,,,,,
44,PT08M06.00S,2022-01-07T00:41:28.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,4,12,2022-01-07T00:41:33Z,440000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,
45,PT08M00.00S,2022-01-07T00:41:36.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,4,12,2022-01-07T00:41:36Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT07M57.00S,2022-01-07T00:41:51.0Z,1,REGULAR,3pt,Jump Shot,[],202692,31.750985545335087,63.23529411764706,1610612752,4,12,2022-01-07T00:42:27Z,460000,-66.0,246.0,1,left,MISS A. Burks 25' pullup 3PT,[202692],1610612752.0,NYK,pullup,,,Burks,A. Burks,,,,,25.48,Missed,,,,,,,,,,,,,,,,,,,
47,PT07M55.00S,2022-01-07T00:41:53.0Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,4,12,2022-01-07T00:41:59Z,470000,,,0,,R. Williams III REBOUND (Off:0 Def:2),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,,,,
48,PT07M49.00S,2022-01-07T00:42:04.8Z,1,REGULAR,foul,personal,[],203095,,,1610612738,4,12,2022-01-07T00:42:09Z,480000,,,0,,E. Fournier personal FOUL (1 PF),"[203095, 1628369]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,1628172.0,,1.0,0.0,Tatum,1628369.0,,,
50,PT07M41.00S,2022-01-07T00:42:24.9Z,1,REGULAR,3pt,Jump Shot,[],201143,69.85873850197109,73.52941176470588,1610612738,4,12,2022-01-07T00:42:32Z,500000,118.0,231.0,1,right,MISS A. Horford 25' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
51,PT07M39.00S,2022-01-07T00:42:26.9Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,4,12,2022-01-07T00:42:32Z,510000,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,,,50.0,2.0,2.0,0.0,,,,,,,,,
52,PT07M28.00S,2022-01-07T00:42:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,8.360709592641262,55.392156862745104,1610612752,4,12,2022-01-07T00:42:46Z,520000,-27.0,26.0,1,left,MISS R. Barrett running finger roll Layup - blocked,"[1629628, 1629057]",1610612752.0,NYK,running finger roll,,,Barrett,R. Barrett,,,,,3.76,Missed,,,,,Williams III,1629057.0,,,,,,,,,,,,,
53,PT07M28.00S,2022-01-07T00:42:37.0Z,1,REGULAR,block,,[],1629057,,,1610612752,4,12,2022-01-07T00:42:40Z,530000,,,0,,R. Williams III BLOCK (2 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M26.00S,2022-01-07T00:42:39.0Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,12,2022-01-07T00:42:46Z,540000,,,0,,J. Brown REBOUND (Off:0 Def:4),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,52.0,4.0,4.0,0.0,,,,,,,,,
55,PT07M20.00S,2022-01-07T00:42:45.5Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1627759,87.59855453350855,39.950980392156865,1610612738,4,12,2022-01-07T00:42:55Z,550000,-50.0,64.0,1,right,MISS J. Brown 8' turnaround Shot,[1627759],1610612738.0,BOS,turnaround,,,Brown,J. Brown,,,,,8.14,Missed,,,,,,,,,,,,,,,,,,,
56,PT07M17.00S,2022-01-07T00:42:48.5Z,1,REGULAR,rebound,defensive,[],203095,,,1610612752,4,12,2022-01-07T00:42:50Z,560000,,,0,,E. Fournier REBOUND (Off:0 Def:2),[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,55.0,2.0,2.0,0.0,,,,,,,,,
57,PT07M10.00S,2022-01-07T00:42:55.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,16.90210249671485,38.72549019607843,1610612752,6,12,2022-01-07T00:42:59Z,570000,56.0,106.0,1,left,E. Fournier 12' driving floating Jump Shot (6 PTS),[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,12.04,Made,6.0,,,,,,,,,,,,,,,,,,
58,PT06M59.00S,2022-01-07T00:43:07.4Z,1,REGULAR,foul,personal,['2freethrow'],202692,,,1610612738,6,12,2022-01-07T00:43:24Z,580000,,,0,,A. Burks shooting personal FOUL (1 PF) (Brown 2 FT),"[202692, 1627759]",1610612752.0,NYK,shooting,,,Burks,A. Burks,,,,,,,,,,,,,,,,,2002.0,,1.0,0.0,Brown,1627759.0,,,
60,PT06M59.00S,2022-01-07T00:43:34.0Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,6,13,2022-01-07T00:43:34Z,600000,,,0,,J. Brown Free Throw 1 of 2 (9 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,9.0,,,,,,,,,,,,,,,,,,
61,PT06M59.00S,2022-01-07T00:43:48.7Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,6,14,2022-01-07T00:43:48Z,610000,,,0,,J. Brown Free Throw 2 of 2 (10 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,10.0,,,,,,,,,,,,,,,,,,
62,PT06M41.00S,2022-01-07T00:44:10.7Z,1,REGULAR,3pt,Jump Shot,[],1629628,7.5722733245729295,96.81372549019608,1610612752,6,14,2022-01-07T00:44:28Z,620000,-234.0,19.0,1,left,MISS R. Barrett 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.48,Missed,,,,,,,,,,,,,,,,,,,
63,PT06M39.00S,2022-01-07T00:44:12.7Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,6,14,2022-01-07T00:44:28Z,630000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,62.0,,,,,,,,,,,,
64,PT06M39.00S,2022-01-07T00:44:28.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,6,14,2022-01-07T00:44:28Z,640000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT06M28.00S,2022-01-07T00:44:54.8Z,1,REGULAR,foul,offensive,[],1629011,,,1610612752,6,14,2022-01-07T00:45:08Z,650000,,,0,,M. Robinson offensive FOUL (1 PF),"[1629011, 203935]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,1628172.0,,1.0,0.0,Smart,203935.0,,,
67,PT06M28.00S,2022-01-07T00:44:54.8Z,1,REGULAR,turnover,offensive foul,[],1629011,,,1610612752,6,14,2022-01-07T00:44:54Z,670000,,,0,,M. Robinson offensive foul TURNOVER (2 TO),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,1628172.0,2.0,,,,,,,
68,PT06M16.00S,2022-01-07T00:45:22.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203935,81.8166885676741,93.13725490196079,1610612738,6,17,2022-01-07T00:45:27Z,680000,216.0,118.0,1,right,M. Smart 24' 3PT  (3 PTS) (J. Tatum 3 AST),"[203935, 1628369]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,24.61,Made,3.0,J. Tatum,1628369.0,3.0,,,,,,,,,,,,,,,
70,PT05M54.00S,2022-01-07T00:45:44.3Z,1,REGULAR,turnover,bad pass,[],203095,,,1610612752,6,17,2022-01-07T00:45:48Z,700000,,,0,,E. Fournier bad pass TURNOVER (1 TO),"[203095, 1628369]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,,,,,,,,1.0,,,,,Tatum,1628369.0,
71,PT05M54.00S,2022-01-07T00:45:44.3Z,1,REGULAR,steal,,[],1628369,,,1610612738,6,17,2022-01-07T00:45:46Z,710000,,,0,,J. Tatum STEAL (1 STL),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT05M42.00S,2022-01-07T00:45:58.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612738,6,17,2022-01-07T00:45:58Z,720000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT05M42.00S,2022-01-07T00:45:58.8Z,1,REGULAR,substitution,out,[],1628369,,,1610612738,6,17,2022-01-07T00:46:09Z,730000,,,0,,SUB out: J. Tatum,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M42.00S,2022-01-07T00:45:58.8Z,1,REGULAR,substitution,out,[],201143,,,1610612738,6,17,2022-01-07T00:46:09Z,740000,,,0,,SUB out: A. Horford,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT05M42.00S,2022-01-07T00:45:58.8Z,1,REGULAR,substitution,in,[],1626196,,,1610612738,6,17,2022-01-07T00:46:09Z,750000,,,0,,SUB in: J. Richardson,[1626196],1610612738.0,BOS,,,,Richardson,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M42.00S,2022-01-07T00:45:58.8Z,1,REGULAR,substitution,in,[],1629684,,,1610612738,6,17,2022-01-07T00:46:09Z,760000,,,0,,SUB in: G. Williams,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2022-01-07T00:46:28.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627759,94.43166885676742,52.20588235294118,1610612738,6,19,2022-01-07T00:46:32Z,770000,11.0,0.0,1,right,J. Brown cutting Layup (12 PTS) (M. Smart 3 AST),"[1627759, 203935]",1610612738.0,BOS,cutting,,,Brown,J. Brown,,,,,1.1,Made,12.0,M. Smart,203935.0,3.0,,,,,,,,,,,,,,,
79,PT05M24.00S,2022-01-07T00:46:43.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,7.440867279894875,51.225490196078425,1610612752,8,19,2022-01-07T00:46:46Z,790000,-6.0,17.0,1,left,M. Robinson DUNK (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,1.84,Made,2.0,R. Barrett,1629628.0,1.0,,,,,,,,,,,,,,,
81,PT05M04.00S,2022-01-07T00:47:03.2Z,1,REGULAR,2pt,Jump Shot,[],203935,89.83245729303549,70.58823529411765,1610612738,8,19,2022-01-07T00:47:09Z,810000,103.0,43.0,1,right,MISS M. Smart 11' fadeaway Shot,[203935],1610612738.0,BOS,fadeaway,,,Smart,M. Smart,,,,,11.16,Missed,,,,,,,,,,,,,,,,,,,
82,PT05M02.00S,2022-01-07T00:47:05.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,8,19,2022-01-07T00:47:09Z,820000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,81.0,1.0,1.0,0.0,,,,,,,,,
83,PT04M50.00S,2022-01-07T00:47:17.4Z,1,REGULAR,3pt,Jump Shot,[],203095,28.728646517739815,22.058823529411764,1610612752,11,19,2022-01-07T00:48:02Z,830000,140.0,218.0,1,left,E. Fournier 25' 3PT pullup (9 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.85,Made,9.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,,,
85,PT04M31.00S,2022-01-07T00:47:48.9Z,1,REGULAR,foul,personal,[],203944,,,1610612738,11,19,2022-01-07T00:48:05Z,850000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1629057]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,,,1628172.0,,1.0,0.0,Williams III,1629057.0,,,
87,PT04M31.00S,2022-01-07T00:47:49.0Z,1,REGULAR,substitution,out,[],1629011,,,1610612738,11,19,2022-01-07T00:48:11Z,870000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M31.00S,2022-01-07T00:47:49.0Z,1,REGULAR,substitution,in,[],201959,,,1610612738,11,19,2022-01-07T00:48:11Z,880000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M28.00S,2022-01-07T00:48:28.0Z,1,REGULAR,foul,offensive,[],203935,,,1610612738,11,19,2022-01-07T00:48:49Z,890000,,,0,,M. Smart offensive FOUL (2 PF),"[203935, 203095]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1628172.0,,2.0,0.0,Fournier,203095.0,,,
91,PT04M28.00S,2022-01-07T00:48:28.0Z,1,REGULAR,turnover,offensive foul,[],203935,,,1610612738,11,19,2022-01-07T00:48:28Z,910000,,,0,,M. Smart offensive foul TURNOVER (1 TO),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,1628172.0,1.0,,,,,,,
92,PT04M28.00S,2022-01-07T00:48:28.1Z,1,REGULAR,substitution,out,[],203935,,,1610612752,11,19,2022-01-07T00:48:45Z,920000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M28.00S,2022-01-07T00:48:28.1Z,1,REGULAR,substitution,in,[],203471,,,1610612752,11,19,2022-01-07T00:48:45Z,930000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M09.00S,2022-01-07T00:49:16.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629628,8.360709592641262,54.90196078431373,1610612752,11,19,2022-01-07T00:49:22Z,940000,-25.0,26.0,1,left,MISS R. Barrett driving Layup - blocked,"[1629628, 1629684]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,3.58,Missed,,,,,Williams,1629684.0,,,,,,,,,,,,,
