actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
16,PT10M49.00S,2021-10-20T23:47:34.1Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,5,0,2021-10-20T23:47:37Z,160000,,,0,,M. Robinson REBOUND (Off:1 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,,,,,,,
17,PT10M32.00S,2021-10-20T23:47:53.9Z,1,REGULAR,foul,personal,[],1629684,,,1610612752,5,0,2021-10-20T23:48:03Z,170000,,,0,,G. Williams personal FOUL (1 PF),"[1629684, 202689]",1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,,,,,1162.0,1.0,0.0,Walker,202689.0,,,,,,
19,PT10M26.00S,2021-10-20T23:48:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,7.5722733245729295,44.85294117647059,1610612752,5,0,2021-10-20T23:48:26Z,190000,26.0,19.0,1,left,MISS E. Fournier Layup - blocked,"[203095, 1629057]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,3.18,Missed,,,,,,,,,,,,,,Williams III,1629057.0,,,,
20,PT10M26.00S,2021-10-20T23:48:21.8Z,1,REGULAR,block,,[],1629057,,,1610612752,5,0,2021-10-20T23:48:24Z,200000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M24.00S,2021-10-20T23:48:23.8Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,5,0,2021-10-20T23:48:26Z,210000,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M20.00S,2021-10-20T23:48:27.6Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1627759,73.66951379763469,35.294117647058826,1610612738,5,0,2021-10-20T23:49:13Z,220000,-74.0,195.0,1,right,MISS J. Brown 20' pullup Shot,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,20.84,Missed,,,,,,,,,,,,,,,,,,,
23,PT10M18.00S,2021-10-20T23:48:29.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,5,0,2021-10-20T23:48:33Z,230000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M08.00S,2021-10-20T23:48:40.0Z,1,REGULAR,3pt,Jump Shot,[],203944,31.61957950065703,27.450980392156865,1610612752,8,0,2021-10-20T23:48:43Z,240000,113.0,245.0,1,left,J. Randle 26' 3PT  (6 PTS) (R. Barrett 1 AST),"[203944, 1629628]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.94,Made,6.0,,,,,,,,,,,,,,,R. Barrett,1629628.0,1.0,
26,PT09M51.00S,2021-10-20T23:48:59.0Z,1,REGULAR,foul,personal,[],203944,,,1610612738,8,0,2021-10-20T23:49:05Z,260000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1628369]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,,,,1162.0,1.0,0.0,Tatum,1628369.0,,,,,,
28,PT09M45.00S,2021-10-20T23:49:27.3Z,1,REGULAR,foul,technical,['1freethrow'],1629011,,,1610612738,8,0,2021-10-20T23:49:37Z,280000,,,0,,M. Robinson defensive-3-second technical FOUL (1 Tech),[1629011],1610612752.0,NYK,defensive-3-second,,,Robinson,M. Robinson,,,,,,,,,,,,,,,2530.0,0.0,1.0,,,,,,,,
29,PT09M45.00S,2021-10-20T23:49:42.1Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,8,0,2021-10-20T23:49:42Z,290000,,,0,,MISS J. Tatum technical Free Throw 1 of 1,[1628369],1610612738.0,BOS,technical,,,Tatum,J. Tatum,,,,,,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2021-10-20T23:49:42.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612738,8,0,2021-10-20T23:49:42Z,300000,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,
31,PT09M35.00S,2021-10-20T23:50:07.3Z,1,REGULAR,3pt,Jump Shot,[],203935,76.82325886990802,10.784313725490197,1610612738,8,3,2021-10-20T23:50:12Z,310000,-196.0,165.0,1,right,M. Smart 25' 3PT  (3 PTS) (G. Williams 1 AST),"[203935, 1629684]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,25.65,Made,3.0,,,,,,,,,,,,,,,G. Williams,1629684.0,1.0,
33,PT09M18.00S,2021-10-20T23:50:23.7Z,1,REGULAR,3pt,Jump Shot,[],203944,2.447437582128778,96.56862745098039,1610612752,8,3,2021-10-20T23:50:27Z,330000,-233.0,-29.0,1,left,MISS J. Randle 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,23.47,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M16.00S,2021-10-20T23:50:25.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,8,3,2021-10-20T23:50:27Z,340000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,,,
35,PT09M14.00S,2021-10-20T23:50:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1627759,95.0886990801577,47.05882352941176,1610612738,8,5,2021-10-20T23:50:39Z,350000,-15.0,-6.0,1,right,J. Brown driving Layup (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,1.6,Made,2.0,,,,,,,,,,,,,,,J. Tatum,1628369.0,1.0,
37,PT09M14.00S,2021-10-20T23:50:36.4Z,1,REGULAR,violation,defensive goaltending,[],1629011,,,1610612738,8,5,2021-10-20T23:50:39Z,370000,,,0,,M. Robinson defensive goaltending VIOLATION,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,2530.0,,,,,,,,,,
38,PT08M49.00S,2021-10-20T23:51:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,15.588042049934298,54.166666666666664,1610612752,8,5,2021-10-20T23:51:07Z,380000,-21.0,94.0,1,left,MISS J. Randle 9' turnaround Shot,[203944],1610612752.0,NYK,turnaround,,,Randle,J. Randle,,,,,9.63,Missed,,,,,,,,,,,,,,,,,,,
39,PT08M47.00S,2021-10-20T23:51:03.2Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,8,5,2021-10-20T23:51:03Z,390000,,,0,,M. Robinson REBOUND (Off:2 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,38.0,3.0,1.0,2.0,,,,,,,,,,,
40,PT08M46.00S,2021-10-20T23:51:04.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202689,31.750985545335087,42.40196078431372,1610612752,11,5,2021-10-20T23:51:09Z,400000,38.0,246.0,1,left,K. Walker 24' 3PT  (3 PTS) (M. Robinson 1 AST),"[202689, 1629011]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,24.89,Made,3.0,,,,,,,,,,,,,,,M. Robinson,1629011.0,1.0,
42,PT08M29.00S,2021-10-20T23:51:20.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,78.66294349540078,91.66666666666666,1610612738,11,8,2021-10-20T23:51:24Z,420000,208.0,148.0,1,right,J. Brown 25' 3PT  (5 PTS) (M. Smart 1 AST),"[1627759, 203935]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,25.56,Made,5.0,,,,,,,,,,,,,,,M. Smart,203935.0,1.0,
44,PT08M10.00S,2021-10-20T23:51:40.2Z,1,REGULAR,2pt,Jump Shot,[],203095,29.831225361366627,55.859375,1610612752,11,8,2021-10-20T23:55:03Z,440000,-29.0,228.0,1,left,MISS E. Fournier 22' Jump Shot,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,22.98,Missed,,,,,,,,,,,,,,,,,,,
45,PT08M08.00S,2021-10-20T23:51:42.2Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,11,8,2021-10-20T23:51:47Z,450000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,
46,PT08M07.00S,2021-10-20T23:51:44.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627759,92.06636005256242,49.50980392156863,1610612738,11,10,2021-10-20T23:51:51Z,460000,-2.0,22.0,1,right,J. Brown driving Layup (7 PTS),[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,2.22,Made,7.0,,,,,,,,,,,,,,,,,,
47,PT08M07.00S,2021-10-20T23:51:49.3Z,1,REGULAR,foul,personal,['1freethrow'],202689,,,1610612738,11,10,2021-10-20T23:51:53Z,470000,,,0,,K. Walker shooting personal FOUL (1 PF) (Brown 1 FT),"[202689, 1627759]",1610612752.0,NYK,shooting,,,Walker,K. Walker,,,,,,,,,,,,,,,2530.0,1.0,0.0,Brown,1627759.0,,,,,,
49,PT08M07.00S,2021-10-20T23:52:19.8Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1627759,,,1610612738,11,11,2021-10-20T23:52:19Z,490000,,,0,,J. Brown Free Throw 1 of 1 (8 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Made,8.0,,,,,,,,,,,,,,,,,,
50,PT07M51.00S,2021-10-20T23:52:39.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,7.178055190538765,50.49019607843137,1610612752,13,11,2021-10-20T23:52:43Z,500000,-2.0,15.0,1,left,E. Fournier driving reverse Layup (2 PTS) (M. Robinson 2 AST),"[203095, 1629011]",1610612752.0,NYK,driving reverse,,,Fournier,E. Fournier,,,,,1.52,Made,2.0,,,,,,,,,,,,,,,M. Robinson,1629011.0,2.0,
52,PT07M39.00S,2021-10-20T23:52:51.0Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.17279894875165,23.284313725490197,1610612738,13,14,2021-10-20T23:52:55Z,520000,-134.0,218.0,1,right,J. Brown 25' 3PT pullup (11 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.61,Made,11.0,,,,,,,,,,,,,,,,,,
53,PT07M17.00S,2021-10-20T23:53:12.9Z,1,REGULAR,3pt,Jump Shot,[],202689,31.488173455978973,62.5,1610612752,13,14,2021-10-20T23:53:19Z,530000,-62.0,243.0,1,left,MISS K. Walker 25' 3PT,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,25.14,Missed,,,,,,,,,,,,,,,,,,,
54,PT07M15.00S,2021-10-20T23:53:14.9Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,13,14,2021-10-20T23:53:19Z,540000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,53.0,1.0,1.0,0.0,,,,,,,,,,,
55,PT07M09.00S,2021-10-20T23:53:21.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,79.31997371879106,92.8921568627451,1610612738,13,17,2021-10-20T23:53:49Z,550000,214.0,142.0,1,right,J. Brown 25' 3PT pullup (14 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,25.72,Made,14.0,,,,,,,,,,,,,,,,,,
56,PT06M53.00S,2021-10-20T23:53:36.5Z,1,REGULAR,3pt,Jump Shot,[],203095,29.122864651773984,69.36274509803921,1610612752,16,17,2021-10-20T23:54:23Z,560000,-97.0,221.0,1,left,E. Fournier 24' 3PT pullup (5 PTS) (R. Barrett 2 AST),"[203095, 1629628]",1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,24.15,Made,5.0,,,,,,,,,,,,,,,R. Barrett,1629628.0,2.0,
58,PT06M38.00S,2021-10-20T23:53:51.6Z,1,REGULAR,3pt,Jump Shot,[],203935,94.43166885676742,4.166666666666666,1610612738,16,20,2021-10-20T23:53:55Z,580000,-229.0,0.0,1,right,M. Smart 3PT  (6 PTS) (J. Brown 1 AST),"[203935, 1627759]",1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.92,Made,6.0,,,,,,,,,,,,,,,J. Brown,1627759.0,1.0,
60,PT06M17.00S,2021-10-20T23:54:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,5.732588699080158,50.245098039215684,1610612752,18,20,2021-10-20T23:54:18Z,600000,-1.0,1.0,1,left,E. Fournier driving reverse Layup (7 PTS),[203095],1610612752.0,NYK,driving reverse,,,Fournier,E. Fournier,,,,,0.18,Made,7.0,,,,,,,,,,,,,,,,,,
61,PT05M59.00S,2021-10-20T23:54:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,94.03745072273325,46.81372549019608,1610612738,18,22,2021-10-20T23:54:36Z,610000,-16.0,4.0,1,right,R. Williams III alley-oop Layup (2 PTS) (J. Tatum 2 AST),"[1629057, 1628369]",1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,1.63,Made,2.0,,,,,,,,,,,,,,,J. Tatum,1628369.0,2.0,
63,PT05M52.00S,2021-10-20T23:54:41.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,18,22,2021-10-20T23:56:05Z,630000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT05M52.00S,2021-10-20T23:54:41.9Z,1,REGULAR,substitution,out,[],1627759,,,1610612752,18,22,2021-10-20T23:58:00Z,640000,,,0,,SUB out: J. Brown,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT05M52.00S,2021-10-20T23:54:41.9Z,1,REGULAR,substitution,out,[],1629057,,,1610612752,18,22,2021-10-20T23:58:00Z,650000,,,0,,SUB out: R. Williams III,[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
66,PT05M52.00S,2021-10-20T23:54:41.9Z,1,REGULAR,substitution,in,[],203471,,,1610612752,18,22,2021-10-20T23:58:00Z,660000,,,0,,SUB in: D. Schroder,[203471],1610612738.0,BOS,,,,Schroder,D. Schroder,,,,,,,,,,,,,,,,,,,,,,,,,
67,PT05M52.00S,2021-10-20T23:54:41.9Z,1,REGULAR,substitution,in,[],1629641,,,1610612752,18,22,2021-10-20T23:58:00Z,670000,,,0,,SUB in: R. Langford,[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
68,PT05M45.00S,2021-10-20T23:58:22.2Z,1,REGULAR,foul,personal,['2freethrow'],1629641,,,1610612752,18,22,2021-10-20T23:58:33Z,680000,,,0,,R. Langford shooting personal FOUL (1 PF) (Barrett 2 FT),"[1629641, 1629628]",1610612738.0,BOS,shooting,,,Langford,R. Langford,,,,,,,,,,,,,,,203177.0,1.0,0.0,Barrett,1629628.0,,,,,,
70,PT05M45.00S,2021-10-20T23:58:44.7Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,18,22,2021-10-20T23:58:58Z,700000,,,0,,MISS R. Barrett Free Throw 1 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
71,PT05M45.00S,2021-10-20T23:58:44.7Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612752,18,22,2021-10-20T23:58:58Z,710000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,
72,PT05M45.00S,2021-10-20T23:58:44.7Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,18,22,2021-10-20T23:58:58Z,720000,,,0,,MISS R. Barrett Free Throw 2 of 2,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
73,PT05M43.00S,2021-10-20T23:58:46.7Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,18,22,2021-10-20T23:58:58Z,730000,,,0,,G. Williams REBOUND (Off:0 Def:2),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,,
74,PT05M27.00S,2021-10-20T23:59:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629684,88.51839684625493,43.872549019607845,1610612738,18,24,2021-10-20T23:59:23Z,740000,-31.0,55.0,1,right,G. Williams 6' floating Jump Shot (2 PTS) (D. Schroder 1 AST),"[1629684, 203471]",1610612738.0,BOS,floating,,,Williams,G. Williams,,,,,6.33,Made,2.0,,,,,,,,,,,,,,,D. Schroder,203471.0,1.0,
76,PT05M05.00S,2021-10-20T23:59:34.7Z,1,REGULAR,2pt,Jump Shot,[],203944,23.99802890932983,59.55882352941176,1610612752,18,24,2021-10-20T23:59:39Z,760000,-48.0,173.0,1,left,MISS J. Randle 17' step back Shot,[203944],1610612752.0,NYK,step back,,,Randle,J. Randle,,,,,17.96,Missed,,,,,,,,,,,,,,,,,,,
77,PT05M03.00S,2021-10-20T23:59:36.7Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,18,24,2021-10-20T23:59:39Z,770000,,,0,,M. Robinson REBOUND (Off:3 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,76.0,4.0,1.0,3.0,,,,,,,,,,,
78,PT05M02.00S,2021-10-20T23:59:37.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629011,5.995400788436268,50.73529411764706,1610612752,20,24,2021-10-21T00:00:11Z,780000,-4.0,4.0,1,left,M. Robinson putback DUNK (4 PTS),[1629011],1610612752.0,NYK,putback,,,Robinson,M. Robinson,,,,,0.54,Made,4.0,,,,,,,,,,,,,,,,,,
79,PT04M35.00S,2021-10-21T00:00:04.9Z,1,REGULAR,3pt,Jump Shot,[],203935,93.24901445466492,95.83333333333334,1610612738,20,24,2021-10-21T00:00:10Z,790000,229.0,11.0,1,right,MISS M. Smart 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,22.95,Missed,,,,,,,,,,,,,,,,,,,
80,PT04M33.00S,2021-10-21T00:00:06.9Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,20,24,2021-10-21T00:00:10Z,800000,,,0,,M. Robinson REBOUND (Off:3 Def:2),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,79.0,5.0,2.0,3.0,,,,,,,,,,,
81,PT04M21.00S,2021-10-21T00:00:19.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,28.991458607095925,70.83333333333334,1610612752,20,24,2021-10-21T00:01:05Z,810000,-104.0,220.0,1,left,MISS R. Barrett 24' pullup 3PT,[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,24.34,Missed,,,,,,,,,,,,,,,,,,,
82,PT04M19.00S,2021-10-21T00:00:21.2Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,20,24,2021-10-21T00:00:24Z,820000,,,0,,M. Smart REBOUND (Off:0 Def:2),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,81.0,2.0,2.0,0.0,,,,,,,,,,,
83,PT04M13.00S,2021-10-21T00:00:30.2Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,20,24,2021-10-21T00:00:35Z,830000,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,,,,1.0,,,,,,,1162.0,,,,,,,,,,
84,PT04M13.00S,2021-10-21T00:00:30.3Z,1,REGULAR,substitution,out,[],202689,,,1610612752,20,24,2021-10-21T00:00:46Z,840000,,,0,,SUB out: K. Walker,[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT04M13.00S,2021-10-21T00:00:30.3Z,1,REGULAR,substitution,out,[],203935,,,1610612752,20,24,2021-10-21T00:00:46Z,850000,,,0,,SUB out: M. Smart,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M13.00S,2021-10-21T00:00:30.3Z,1,REGULAR,substitution,in,[],201565,,,1610612752,20,24,2021-10-21T00:00:46Z,860000,,,0,,SUB in: D. Rose,[201565],1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M13.00S,2021-10-21T00:00:30.3Z,1,REGULAR,substitution,in,[],1630174,,,1610612752,20,24,2021-10-21T00:00:46Z,870000,,,0,,SUB in: A. Nesmith,[1630174],1610612738.0,BOS,,,,Nesmith,A. Nesmith,,,,,,,,,,,,,,,,,,,,,,,,,
88,PT03M58.00S,2021-10-21T00:01:09.4Z,1,REGULAR,turnover,bad pass,[],201565,,,1610612752,20,24,2021-10-21T00:01:12Z,880000,,,0,,D. Rose bad pass TURNOVER (1 TO),"[201565, 1629641]",1610612752.0,NYK,,,,Rose,D. Rose,,,,,,,,1.0,Langford,1629641.0,,,,,,,,,,,,,,,
89,PT03M58.00S,2021-10-21T00:01:09.4Z,1,REGULAR,steal,,[],1629641,,,1610612738,20,24,2021-10-21T00:01:11Z,890000,,,0,,R. Langford STEAL (1 STL),[1629641],1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,,,,,,,,,,,,,,,
90,PT03M51.00S,2021-10-21T00:01:15.9Z,1,REGULAR,turnover,out-of-bounds,[],1629641,,,1610612738,20,24,2021-10-21T00:01:22Z,900000,,,0,,R. Langford bad pass out-of-bounds TURNOVER (1 TO),[1629641],1610612738.0,BOS,bad pass,,,Langford,R. Langford,,,,,,,,1.0,,,,,,,2530.0,,,,,,,,,,
