actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
23,PT10M47.00S,2022-02-27T18:14:24.2Z,1,REGULAR,freethrow,1 of 3,[],201935,,,1610612755,4,3,2022-02-27T18:14:24Z,220000,,,0,,J. Harden Free Throw 1 of 3 (1 PTS),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Made,1.0,,,,,,,,,,,,,,
24,PT10M47.00S,2022-02-27T18:14:39.4Z,1,REGULAR,freethrow,2 of 3,[],201935,,,1610612755,4,4,2022-02-27T18:14:39Z,230000,,,0,,J. Harden Free Throw 2 of 3 (2 PTS),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Made,2.0,,,,,,,,,,,,,,
25,PT10M47.00S,2022-02-27T18:14:53.0Z,1,REGULAR,freethrow,3 of 3,[],201935,,,1610612755,4,5,2022-02-27T18:14:53Z,240000,,,0,,J. Harden Free Throw 3 of 3 (3 PTS),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Made,3.0,,,,,,,,,,,,,,
26,PT10M33.00S,2022-02-27T18:15:08.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,94.30026281208936,50.73529411764706,1610612752,6,5,2022-02-27T18:15:12Z,250000,4.0,1.0,1,right,M. Robinson DUNK (2 PTS) (R. Barrett 2 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,Made,2.0,0.39,,,,,,R. Barrett,1629628.0,2.0,,,,,
28,PT10M25.00S,2022-02-27T18:15:16.1Z,1,REGULAR,3pt,Jump Shot,[],201935,20.581471747700395,89.4607843137255,1610612755,6,5,2022-02-27T18:15:21Z,270000,-197.0,141.0,1,left,MISS J. Harden 24' 3PT,[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,Missed,,24.25,,,,,,,,,,,,,
29,PT10M24.00S,2022-02-27T18:15:17.1Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,6,5,2022-02-27T18:15:21Z,280000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,
30,PT10M14.00S,2022-02-27T18:15:28.1Z,1,REGULAR,2pt,Jump Shot,[],1629628,74.72076215505913,63.725490196078425,1610612752,6,5,2022-02-27T18:15:34Z,290000,69.0,185.0,1,right,MISS R. Barrett 19' pullup Shot,[1629628],1610612752.0,NYK,pullup,,,,,,,,,Barrett,R. Barrett,,,Missed,,19.74,,,,,,,,,,,,,
31,PT10M12.00S,2022-02-27T18:15:30.1Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,6,5,2022-02-27T18:15:34Z,300000,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,
32,PT10M02.00S,2022-02-27T18:15:39.4Z,1,REGULAR,2pt,Jump Shot,[],203954,15.850854139290407,71.07843137254902,1610612755,6,5,2022-02-27T18:15:43Z,310000,-105.0,96.0,1,left,MISS J. Embiid 14' pullup Shot,[203954],1610612755.0,PHI,pullup,,,,,,,,,Embiid,J. Embiid,,,Missed,,14.29,,,,,,,,,,,,,
33,PT10M00.00S,2022-02-27T18:15:41.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,6,5,2022-02-27T18:15:43Z,320000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,
34,PT09M57.00S,2022-02-27T18:15:45.4Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,6,5,2022-02-27T18:15:50Z,330000,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 201935]",1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,,,,,1.0,,,,Harden,201935.0,,,
35,PT09M57.00S,2022-02-27T18:15:45.4Z,1,REGULAR,steal,,[],201935,,,1610612755,6,5,2022-02-27T18:15:47Z,340000,,,0,,J. Harden STEAL (1 STL),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
36,PT09M54.00S,2022-02-27T18:15:48.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",201935,7.30946123521682,49.26470588235294,1610612755,6,7,2022-02-27T18:15:56Z,350000,4.0,16.0,1,left,J. Harden running Layup (5 PTS) (T. Harris 1 AST),"[201935, 202699]",1610612755.0,PHI,running,,,,,,,,,Harden,J. Harden,,,Made,5.0,1.66,,,,,,T. Harris,202699.0,1.0,,,,,
38,PT09M42.00S,2022-02-27T18:16:01.5Z,1,REGULAR,2pt,Jump Shot,[],203944,83.13074901445466,21.323529411764707,1610612752,6,7,2022-02-27T18:17:35Z,370000,-143.0,106.0,1,right,MISS J. Randle 17' pullup Shot,[203944],1610612752.0,NYK,pullup,,,,,,,,,Randle,J. Randle,,,Missed,,17.84,,,,,,,,,,,,,
39,PT09M40.00S,2022-02-27T18:16:03.5Z,1,REGULAR,rebound,offensive,[],1629011,,,1610612752,6,7,2022-02-27T18:16:09Z,380000,,,0,,M. Robinson REBOUND (Off:1 Def:0),[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,38.0,1.0,0.0,1.0,,,,,,,,,
40,PT09M40.00S,2022-02-27T18:16:07.0Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1629011,94.40999984741211,50.0,1610612752,8,7,2022-02-27T18:18:22Z,390000,0.0,0.0,1,right,M. Robinson tip DUNK (4 PTS),[1629011],1610612752.0,NYK,tip,,,,,,,,,Robinson,M. Robinson,,,Made,4.0,0.0,,,,,,,,,,,,,
41,PT09M40.00S,2022-02-27T18:16:18.7Z,1,REGULAR,foul,personal,['1freethrow'],203954,,,1610612752,8,7,2022-02-27T18:16:24Z,400000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Robinson 1 FT),"[203954, 1629011]",1610612755.0,PHI,shooting,,,,,,202058.0,1.0,0.0,Embiid,J. Embiid,Robinson,1629011.0,,,,,,,,,,,,,,,,
43,PT09M40.00S,2022-02-27T18:16:32.1Z,1,REGULAR,freethrow,1 of 1,['2ndchance'],1629011,,,1610612752,8,7,2022-02-27T18:16:32Z,420000,,,0,,MISS M. Robinson Free Throw 1 of 1,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,Missed,,,,,,,,,,,,,,,
44,PT09M38.00S,2022-02-27T18:16:34.1Z,1,REGULAR,rebound,defensive,[],201935,,,1610612755,8,7,2022-02-27T18:16:34Z,430000,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,43.0,1.0,1.0,0.0,,,,,,,,,
45,PT09M27.00S,2022-02-27T18:16:44.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203954,6.915243101182654,47.794117647058826,1610612755,8,9,2022-02-27T18:16:49Z,440000,11.0,13.0,1,left,J. Embiid cutting DUNK (4 PTS) (J. Harden 1 AST),"[203954, 201935]",1610612755.0,PHI,cutting,,,,,,,,,Embiid,J. Embiid,,,Made,4.0,1.67,,,,,,J. Harden,201935.0,1.0,,,,,
47,PT09M15.00S,2022-02-27T18:16:56.1Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,8,9,2022-02-27T18:17:01Z,460000,,,0,,J. Randle lost ball TURNOVER (2 TO),"[203944, 201935]",1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,,,,,2.0,,,,Harden,201935.0,,,
48,PT09M15.00S,2022-02-27T18:16:56.1Z,1,REGULAR,steal,,[],201935,,,1610612755,8,9,2022-02-27T18:16:57Z,470000,,,0,,J. Harden STEAL (2 STL),[201935],1610612755.0,PHI,,,,,,,,,,Harden,J. Harden,,,,,,,,,,,,,,,,,,
49,PT09M11.00S,2022-02-27T18:17:00.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203954,5.338370565045992,50.49019607843137,1610612755,8,11,2022-02-27T18:19:49Z,480000,-2.0,-2.0,1,left,J. Embiid running DUNK (6 PTS) (J. Harden 2 AST),"[203954, 201935]",1610612755.0,PHI,running,,,,,,,,,Embiid,J. Embiid,,,Made,6.0,0.34,,,,,,J. Harden,201935.0,2.0,,,,,
51,PT08M52.00S,2022-02-27T18:17:18.6Z,1,REGULAR,3pt,Jump Shot,[],203095,66.17936925098554,49.50980392156863,1610612752,11,11,2022-02-27T18:17:22Z,500000,-2.0,265.0,1,right,E. Fournier 26' 3PT  (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Made,3.0,26.54,,,,,,J. Randle,203944.0,1.0,,,,,
53,PT08M38.00S,2022-02-27T18:17:33.3Z,1,REGULAR,3pt,Jump Shot,[],1629680,30.962549277266753,29.901960784313726,1610612755,11,11,2022-02-27T18:17:38Z,520000,100.0,239.0,1,left,MISS M. Thybulle 25' 3PT,[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,Missed,,25.88,,,,,,,,,,,,,
54,PT08M36.00S,2022-02-27T18:17:35.3Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,11,11,2022-02-27T18:17:38Z,530000,,,0,,A. Burks REBOUND (Off:0 Def:2),[202692],1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,,,,53.0,2.0,2.0,0.0,,,,,,,,,
55,PT08M25.00S,2022-02-27T18:17:45.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,93.51182654402102,48.03921568627451,1610612752,13,11,2022-02-27T18:18:07Z,540000,-10.0,8.0,1,right,E. Fournier driving finger roll Layup (5 PTS),[203095],1610612752.0,NYK,driving finger roll,,,,,,,,,Fournier,E. Fournier,,,Made,5.0,1.3,,,,,,,,,,,,,
56,PT08M20.00S,2022-02-27T18:17:52.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629680,5.075558475689881,49.754901960784316,1610612755,13,13,2022-02-27T18:21:15Z,550000,1.0,-5.0,1,left,M. Thybulle running DUNK (2 PTS) (J. Harden 3 AST),"[1629680, 201935]",1610612755.0,PHI,running,,,,,,,,,Thybulle,M. Thybulle,,,Made,2.0,0.49,,,,,,J. Harden,201935.0,3.0,,,,,
58,PT08M03.00S,2022-02-27T18:18:10.4Z,1,REGULAR,foul,personal,[],201935,,,1610612752,13,13,2022-02-27T18:18:17Z,570000,,,0,,J. Harden personal FOUL (1 PF),"[201935, 203944]",1610612755.0,PHI,,,,,,,201245.0,1.0,0.0,Harden,J. Harden,Randle,203944.0,,,,,,,,,,,,,,,,
60,PT07M58.00S,2022-02-27T18:18:30.5Z,1,REGULAR,3pt,Jump Shot,[],1629628,68.67608409986859,65.93137254901961,1610612752,13,13,2022-02-27T18:18:35Z,590000,80.0,242.0,1,right,MISS R. Barrett 25' 3PT,[1629628],1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,Missed,,25.47,,,,,,,,,,,,,
61,PT07M56.00S,2022-02-27T18:18:32.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,13,13,2022-02-27T18:18:35Z,600000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,,,,60.0,1.0,1.0,0.0,,,,,,,,,
62,PT07M52.00S,2022-02-27T18:18:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,7.178055190538765,45.83333333333333,1610612755,13,15,2022-02-27T18:18:46Z,610000,21.0,15.0,1,left,T. Maxey driving floating bank Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating bank,,,,,,,,,Maxey,T. Maxey,,,Made,2.0,2.56,,,,,,,,,,,,,
63,PT07M52.00S,2022-02-27T18:18:44.8Z,1,REGULAR,foul,personal,['1freethrow'],202692,,,1610612755,13,15,2022-02-27T18:18:50Z,620000,,,0,,A. Burks shooting personal FOUL (1 PF) (Maxey 1 FT),"[202692, 1630178]",1610612752.0,NYK,shooting,,,,,,201245.0,1.0,0.0,Burks,A. Burks,Maxey,1630178.0,,,,,,,,,,,,,,,,
65,PT07M52.00S,2022-02-27T18:19:06.6Z,1,REGULAR,freethrow,1 of 1,[],1630178,,,1610612755,13,15,2022-02-27T18:19:08Z,640000,,,0,,MISS T. Maxey Free Throw 1 of 1,[1630178],1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,Missed,,,,,,,,,,,,,,,
66,PT07M50.00S,2022-02-27T18:19:08.6Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,13,15,2022-02-27T18:19:08Z,650000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,,,,65.0,2.0,2.0,0.0,,,,,,,,,
67,PT07M39.00S,2022-02-27T18:19:18.8Z,1,REGULAR,3pt,Jump Shot,[],203095,94.03745072273325,3.431372549019608,1610612752,13,15,2022-02-27T18:19:24Z,660000,-233.0,4.0,1,right,MISS E. Fournier 3PT,[203095],1610612752.0,NYK,,,,,,,,,,Fournier,E. Fournier,,,Missed,,23.28,,,,,,,,,,,,,
68,PT07M37.00S,2022-02-27T18:19:20.8Z,1,REGULAR,rebound,defensive,[],1629680,,,1610612755,13,15,2022-02-27T18:19:24Z,670000,,,0,,M. Thybulle REBOUND (Off:0 Def:1),[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,,,,67.0,1.0,1.0,0.0,,,,,,,,,
69,PT07M30.00S,2022-02-27T18:19:31.2Z,1,REGULAR,foul,personal,['2freethrow'],1629011,,,1610612755,13,15,2022-02-27T18:19:37Z,680000,,,0,,M. Robinson shooting personal FOUL (2 PF) (Embiid 2 FT),"[1629011, 203954]",1610612752.0,NYK,shooting,,,,,,202058.0,2.0,0.0,Robinson,M. Robinson,Embiid,203954.0,,,,,,,,,,,,,,,,
72,PT07M30.00S,2022-02-27T18:19:43.2Z,1,REGULAR,substitution,out,[],1629011,,,1610612755,13,15,2022-02-27T18:20:01Z,695000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,,,,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,
73,PT07M30.00S,2022-02-27T18:19:43.2Z,1,REGULAR,substitution,in,[],1630579,,,1610612755,13,15,2022-02-27T18:20:01Z,697500,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,
71,PT07M30.00S,2022-02-27T18:19:55.2Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,13,16,2022-02-27T18:20:22Z,700000,,,0,,J. Embiid Free Throw 1 of 2 (7 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,7.0,,,,,,,,,,,,,,
74,PT07M30.00S,2022-02-27T18:19:55.2Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,13,16,2022-02-27T18:20:22Z,710000,,,0,,MISS J. Embiid Free Throw 2 of 2,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Missed,,,,,,,,,,,,,,,
75,PT07M29.00S,2022-02-27T18:19:56.2Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,13,16,2022-02-27T18:20:22Z,720000,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,
76,PT07M23.00S,2022-02-27T18:20:28.9Z,1,REGULAR,foul,personal,['2freethrow'],202699,,,1610612752,13,16,2022-02-27T18:20:39Z,730000,,,0,,T. Harris shooting personal FOUL (1 PF) (Randle 2 FT),"[202699, 203944]",1610612755.0,PHI,shooting,,,,,,201245.0,1.0,0.0,Harris,T. Harris,Randle,203944.0,,,,,,,,,,,,,,,,
78,PT07M23.00S,2022-02-27T18:21:13.0Z,1,REGULAR,freethrow,1 of 2,[],203944,,,1610612752,13,16,2022-02-27T18:21:13Z,750000,,,0,,MISS J. Randle Free Throw 1 of 2,[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Missed,,,,,,,,,,,,,,,
79,PT07M23.00S,2022-02-27T18:21:13.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612752,13,16,2022-02-27T18:21:13Z,760000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,
80,PT07M23.00S,2022-02-27T18:21:36.6Z,1,REGULAR,freethrow,2 of 2,[],203944,,,1610612752,14,16,2022-02-27T18:21:36Z,770000,,,0,,J. Randle Free Throw 2 of 2 (3 PTS),[203944],1610612752.0,NYK,,,,,,,,,,Randle,J. Randle,,,Made,3.0,,,,,,,,,,,,,,
81,PT07M18.00S,2022-02-27T18:21:45.0Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1630579,,,1610612755,14,16,2022-02-27T18:21:54Z,780000,,,0,,J. Sims personal FOUL (1 PF) (Embiid 2 FT),"[1630579, 203954]",1610612752.0,NYK,,,,,,,201245.0,1.0,0.0,Sims,J. Sims,Embiid,203954.0,,,,,,,,,,,,,,,,
83,PT07M18.00S,2022-02-27T18:22:08.8Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,14,16,2022-02-27T18:22:08Z,800000,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Missed,,,,,,,,,,,,,,,
84,PT07M18.00S,2022-02-27T18:22:08.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,14,16,2022-02-27T18:22:08Z,810000,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,83.0,,,,,,,,,,,,
85,PT07M18.00S,2022-02-27T18:22:21.7Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,14,17,2022-02-27T18:22:21Z,820000,,,0,,J. Embiid Free Throw 2 of 2 (8 PTS),[203954],1610612755.0,PHI,,,,,,,,,,Embiid,J. Embiid,,,Made,8.0,,,,,,,,,,,,,,
86,PT06M59.00S,2022-02-27T18:22:42.5Z,1,REGULAR,turnover,lost ball,[],1629628,,,1610612752,14,17,2022-02-27T18:22:47Z,830000,,,0,,R. Barrett lost ball TURNOVER (2 TO),"[1629628, 1629680]",1610612752.0,NYK,,,,,,,,,,Barrett,R. Barrett,,,,,,,,,,2.0,,,,Thybulle,1629680.0,,,
87,PT06M59.00S,2022-02-27T18:22:42.5Z,1,REGULAR,steal,,[],1629680,,,1610612755,14,17,2022-02-27T18:22:44Z,840000,,,0,,M. Thybulle STEAL (1 STL),[1629680],1610612755.0,PHI,,,,,,,,,,Thybulle,M. Thybulle,,,,,,,,,,,,,,,,,,
88,PT06M55.00S,2022-02-27T18:22:47.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,4.418528252299605,95.58823529411765,1610612755,14,20,2022-02-27T18:22:51Z,850000,-228.0,-11.0,1,left,T. Maxey 3PT  (5 PTS) (T. Harris 2 AST),"[1630178, 202699]",1610612755.0,PHI,,,,,,,,,,Maxey,T. Maxey,,,Made,5.0,22.82,,,,,,T. Harris,202699.0,2.0,,,,,
90,PT06M48.00S,2022-02-27T18:22:57.3Z,1,REGULAR,timeout,full,['team'],0,,,1610612752,14,20,2022-02-27T18:22:57Z,870000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PT06M43.00S,2022-02-27T18:26:41.7Z,1,REGULAR,3pt,Jump Shot,[],202692,66.83639947437582,51.470588235294116,1610612752,17,20,2022-02-27T18:26:46Z,880000,7.0,259.0,1,right,A. Burks 25' 3PT  (3 PTS) (J. Sims 1 AST),"[202692, 1630579]",1610612752.0,NYK,,,,,,,,,,Burks,A. Burks,,,Made,3.0,25.93,,,,,,J. Sims,1630579.0,1.0,,,,,
92,PT06M24.00S,2022-02-27T18:27:00.0Z,1,REGULAR,3pt,Jump Shot,[],202699,27.283180026281208,76.9607843137255,1610612755,17,20,2022-02-27T18:27:04Z,890000,-135.0,204.0,1,left,MISS T. Harris 24' 3PT,[202699],1610612755.0,PHI,,,,,,,,,,Harris,T. Harris,,,Missed,,24.45,,,,,,,,,,,,,
93,PT06M22.00S,2022-02-27T18:27:02.0Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612752,17,20,2022-02-27T18:27:04Z,900000,,,0,,J. Sims REBOUND (Off:0 Def:2),[1630579],1610612752.0,NYK,,,,,,,,,,Sims,J. Sims,,,,,,92.0,2.0,2.0,0.0,,,,,,,,,
95,PT06M15.00S,2022-02-27T18:27:10.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,94.56307490144546,44.6078431372549,1610612752,17,20,2022-02-27T18:27:15Z,910000,-27.0,-1.0,1,right,MISS R. Barrett driving Layup,[1629628],1610612752.0,NYK,driving,,,,,,,,,Barrett,R. Barrett,,,Missed,,2.7,,,,,,,,,,,,,
