actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
17,PT10M51.00S,2022-03-16T23:42:26.7Z,1,REGULAR,rebound,defensive,[],1629011,,,1610612752,2,0,2022-03-16T23:42:32Z,170000,,,0,,M. Robinson REBOUND (Off:0 Def:1),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M34.00S,2022-03-16T23:42:43.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,72.88107752956637,76.9607843137255,1610612752,2,0,2022-03-16T23:42:50Z,180000,135.0,202.0,1,right,MISS R. Barrett 24' 3PT,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,24.32,Missed,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2022-03-16T23:42:46.5Z,1,REGULAR,rebound,offensive,[],1629628,,,1610612752,2,0,2022-03-16T23:42:46Z,190000,,,0,,R. Barrett REBOUND (Off:1 Def:0),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,
20,PT10M30.00S,2022-03-16T23:42:48.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203944,75.77201051248358,84.31372549019608,1610612752,2,0,2022-03-16T23:42:53Z,200000,172.0,175.0,1,right,MISS J. Randle 24' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,24.52,Missed,,,,,,,,,,,,,,,,,,
21,PT10M28.00S,2022-03-16T23:42:50.2Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,2,0,2022-03-16T23:42:53Z,210000,,,0,,D. Eubanks REBOUND (Off:0 Def:1),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
22,PT10M08.00S,2022-03-16T23:43:10.1Z,1,REGULAR,turnover,lost ball,[],1630314,,,1610612757,2,0,2022-03-16T23:43:13Z,220000,,,0,,B. Williams lost ball TURNOVER (1 TO),"[1630314, 202692]",1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,1.0,Burks,202692.0,,,,,
23,PT10M08.00S,2022-03-16T23:43:10.1Z,1,REGULAR,steal,,[],202692,,,1610612752,2,0,2022-03-16T23:43:11Z,230000,,,0,,A. Burks STEAL (1 STL),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
24,PT10M05.00S,2022-03-16T23:43:14.8Z,1,REGULAR,foul,personal,['2freethrow'],1626159,,,1610612752,2,0,2022-03-16T23:43:27Z,240000,,,0,,J. Winslow shooting personal FOUL (1 PF) (Burks 2 FT),"[1626159, 202692]",1610612757.0,POR,shooting,,,Winslow,J. Winslow,,,,,,,,,,,,202035.0,1.0,0.0,Burks,202692.0,,,,,,,,
26,PT10M05.00S,2022-03-16T23:43:43.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],202692,,,1610612752,3,0,2022-03-16T23:43:43Z,260000,,,0,,A. Burks Free Throw 1 of 2 (3 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
27,PT10M05.00S,2022-03-16T23:43:56.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],202692,,,1610612752,4,0,2022-03-16T23:43:56Z,270000,,,0,,A. Burks Free Throw 2 of 2 (4 PTS),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M44.00S,2022-03-16T23:44:22.2Z,1,REGULAR,foul,personal,[],202692,,,1610612757,4,0,2022-03-16T23:44:50Z,280000,,,0,,A. Burks personal FOUL (1 PF),"[202692, 1630314]",1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,202035.0,1.0,0.0,Williams,1630314.0,,,,,,,,
30,PT09M39.00S,2022-03-16T23:44:45.3Z,1,REGULAR,foul,offensive,[],1629234,,,1610612757,4,0,2022-03-16T23:45:25Z,300000,,,0,,D. Eubanks offensive FOUL (1 PF),"[1629234, 202692]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,202035.0,1.0,0.0,Burks,202692.0,,,,,,,,
32,PT09M39.00S,2022-03-16T23:44:45.3Z,1,REGULAR,turnover,offensive foul,[],1629234,,,1610612757,4,0,2022-03-16T23:45:25Z,320000,,,0,,D. Eubanks offensive foul TURNOVER (1 TO),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,202035.0,,,,,1.0,,,,,,,
33,PT09M39.00S,2022-03-16T23:45:26.8Z,1,REGULAR,stoppage,equipment issue,[],0,,,1610612752,4,0,2022-03-16T23:45:33Z,330000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT09M27.00S,2022-03-16T23:45:30.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,67.88764783180025,67.64705882352942,1610612752,4,0,2022-03-16T23:45:35Z,340000,88.0,249.0,1,right,MISS E. Fournier 26' 3PT,[203095],1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,26.45,Missed,,,,,,,,,,,,,,,,,,
35,PT09M25.00S,2022-03-16T23:45:32.9Z,1,REGULAR,rebound,defensive,[],1629234,,,1610612757,4,0,2022-03-16T23:45:32Z,350000,,,0,,D. Eubanks REBOUND (Off:0 Def:2),[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,,,,
36,PT09M17.00S,2022-03-16T23:45:43.7Z,1,REGULAR,foul,personal,[],203944,,,1610612757,4,0,2022-03-16T23:45:59Z,360000,,,0,,J. Randle personal FOUL (1 PF),"[203944, 1629234]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,,,,,202049.0,1.0,0.0,Eubanks,1629234.0,,,,,,,,
38,PT09M12.00S,2022-03-16T23:46:07.3Z,1,REGULAR,3pt,Jump Shot,[],1628404,28.07161629434954,75.98039215686273,1610612757,4,3,2022-03-16T23:46:11Z,380000,-130.0,211.0,1,left,J. Hart 24' 3PT  (3 PTS) (T. Watford 1 AST),"[1628404, 1630570]",1610612757.0,POR,,,,Hart,J. Hart,,,,,24.81,Made,3.0,,,,,,,,,,,,,T. Watford,1630570.0,1.0,,
40,PT09M01.00S,2022-03-16T23:46:21.3Z,1,REGULAR,foul,personal,[],1628404,,,1610612752,4,3,2022-03-16T23:46:31Z,400000,,,0,,J. Hart personal FOUL (1 PF),"[1628404, 1629628]",1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,,,,,202049.0,1.0,0.0,Barrett,1629628.0,,,,,,,,
42,PT08M48.00S,2022-03-16T23:46:47.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,79.71419185282524,34.55882352941176,1610612752,4,3,2022-03-16T23:46:55Z,420000,-77.0,138.0,1,right,MISS J. Randle 15' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,15.83,Missed,,,,,,,,,,,,,,,,,,
43,PT08M46.00S,2022-03-16T23:46:49.7Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,4,3,2022-03-16T23:46:55Z,430000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,,,,,
44,PT08M39.00S,2022-03-16T23:46:56.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626159,5.863994743758213,46.81372549019608,1610612757,4,3,2022-03-16T23:47:01Z,440000,16.0,3.0,1,left,MISS J. Winslow driving Layup - blocked,"[1626159, 1629011]",1610612757.0,POR,driving,,,Winslow,J. Winslow,,,,,1.61,Missed,,,,,,,,,,,,,,,,,Robinson,1629011.0
45,PT08M39.00S,2022-03-16T23:46:56.8Z,1,REGULAR,block,,[],1629011,,,1610612757,4,3,2022-03-16T23:46:59Z,450000,,,0,,M. Robinson BLOCK (1 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M37.00S,2022-03-16T23:46:58.8Z,1,REGULAR,rebound,defensive,[],202692,,,1610612752,4,3,2022-03-16T23:47:01Z,460000,,,0,,A. Burks REBOUND (Off:0 Def:1),[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,44.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT08M32.00S,2022-03-16T23:47:04.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,94.30026281208936,48.529411764705884,1610612752,6,3,2022-03-16T23:47:09Z,470000,-7.0,1.0,1,right,R. Barrett driving Layup (2 PTS) (E. Fournier 1 AST),"[1629628, 203095]",1610612752.0,NYK,driving,,,Barrett,R. Barrett,,,,,0.75,Made,2.0,,,,,,,,,,,,,E. Fournier,203095.0,1.0,,
49,PT08M18.00S,2022-03-16T23:47:17.6Z,1,REGULAR,2pt,Jump Shot,[],1629234,22.683968462549277,45.34313725490196,1610612757,6,5,2022-03-16T23:47:23Z,490000,23.0,161.0,1,left,D. Eubanks 16' Jump Shot (2 PTS) (J. Hart 1 AST),"[1629234, 1628404]",1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,16.24,Made,2.0,,,,,,,,,,,,,J. Hart,1628404.0,1.0,,
51,PT08M09.00S,2022-03-16T23:47:27.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,75.1149802890933,83.82352941176471,1610612752,9,5,2022-03-16T23:47:31Z,510000,169.0,181.0,1,right,R. Barrett 24' 3PT  (5 PTS) (E. Fournier 2 AST),"[1629628, 203095]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,24.8,Made,5.0,,,,,,,,,,,,,E. Fournier,203095.0,2.0,,
53,PT07M48.00S,2022-03-16T23:47:48.0Z,1,REGULAR,3pt,Jump Shot,[],1630314,4.07358738501971,96.59160539215686,1610612757,9,8,2022-03-16T23:48:00Z,530000,-233.0,-14.0,1,left,B. Williams 3PT  (3 PTS) (D. Eubanks 1 AST),"[1630314, 1629234]",1610612757.0,POR,,,,Williams,B. Williams,,,,,23.34,Made,3.0,,,,,,,,,,,,,D. Eubanks,1629234.0,1.0,,
55,PT07M35.00S,2022-03-16T23:48:00.9Z,1,REGULAR,3pt,Jump Shot,[],203095,72.35545335085413,21.07843137254902,1610612752,9,8,2022-03-16T23:49:24Z,550000,-145.0,207.0,1,right,MISS E. Fournier 25' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,25.28,Missed,,,,,,,,,,,,,,,,,,
56,PT07M33.00S,2022-03-16T23:48:02.9Z,1,REGULAR,rebound,defensive,[],1626159,,,1610612757,9,8,2022-03-16T23:48:06Z,560000,,,0,,J. Winslow REBOUND (Off:0 Def:1),[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,,,
57,PT07M16.00S,2022-03-16T23:48:20.6Z,1,REGULAR,3pt,Jump Shot,[],1626159,29.517082785808146,26.225490196078432,1610612757,9,11,2022-03-16T23:50:03Z,570000,119.0,225.0,1,left,J. Winslow 25' 3PT pullup (3 PTS) (T. Watford 2 AST),"[1626159, 1630570]",1610612757.0,POR,pullup,,,Winslow,J. Winslow,,,,,25.45,Made,3.0,,,,,,,,,,,,,T. Watford,1630570.0,2.0,,
59,PT06M57.00S,2022-03-16T23:48:39.1Z,1,REGULAR,3pt,Jump Shot,[],203095,92.72339027595268,4.6568627450980395,1610612752,12,11,2022-03-16T23:48:43Z,590000,-227.0,16.0,1,right,E. Fournier 3PT  (3 PTS) (J. Randle 1 AST),"[203095, 203944]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,22.73,Made,3.0,,,,,,,,,,,,,J. Randle,203944.0,1.0,,
61,PT06M44.00S,2022-03-16T23:48:52.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,5.601182654402102,48.03921568627451,1610612757,12,11,2022-03-16T23:48:57Z,610000,10.0,0.0,1,left,MISS J. Hart driving reverse Layup,[1628404],1610612757.0,POR,driving reverse,,,Hart,J. Hart,,,,,0.98,Missed,,,,,,,,,,,,,,,,,,
62,PT06M42.00S,2022-03-16T23:48:54.3Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,12,11,2022-03-16T23:48:57Z,620000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT06M36.00S,2022-03-16T23:49:00.2Z,1,REGULAR,3pt,Jump Shot,[],1629628,94.69448094612353,95.09803921568627,1610612752,15,11,2022-03-16T23:49:05Z,630000,225.0,-3.0,1,right,R. Barrett 3PT  (8 PTS) (J. Randle 2 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,22.55,Made,8.0,,,,,,,,,,,,,J. Randle,203944.0,2.0,,
65,PT06M21.00S,2022-03-16T23:49:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628404,6.258212877792378,50.98039215686274,1610612757,15,13,2022-03-16T23:49:19Z,650000,-5.0,6.0,1,left,J. Hart driving Layup (5 PTS),[1628404],1610612757.0,POR,driving,,,Hart,J. Hart,,,,,0.8,Made,5.0,,,,,,,,,,,,,,,,,
68,PT06M04.00S,2022-03-16T23:50:22.8Z,1,REGULAR,turnover,3-second-violation,[],1629011,,,1610612752,15,13,2022-03-16T23:50:51Z,680000,,,0,,M. Robinson 3-second-violation TURNOVER (1 TO),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,202035.0,,,,,1.0,,,,,,,
69,PT06M04.00S,2022-03-16T23:50:40.7Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,15,13,2022-03-16T23:51:10Z,690000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M04.00S,2022-03-16T23:50:40.8Z,1,REGULAR,substitution,out,[],1629234,,,1610612757,15,13,2022-03-16T23:52:27Z,700000,,,0,,SUB out: D. Eubanks,[1629234],1610612757.0,POR,,,,Eubanks,D. Eubanks,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M04.00S,2022-03-16T23:50:40.8Z,1,REGULAR,substitution,out,[],1626159,,,1610612757,15,13,2022-03-16T23:52:27Z,710000,,,0,,SUB out: J. Winslow,[1626159],1610612757.0,POR,,,,Winslow,J. Winslow,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M04.00S,2022-03-16T23:50:40.8Z,1,REGULAR,substitution,in,[],1630535,,,1610612757,15,13,2022-03-16T23:52:27Z,720000,,,0,,SUB in: G. Brown III,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M04.00S,2022-03-16T23:50:40.8Z,1,REGULAR,substitution,in,[],1629604,,,1610612757,15,13,2022-03-16T23:52:27Z,730000,,,0,,SUB in: C. Elleby,[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M55.00S,2022-03-16T23:52:50.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630570,14.14257555847569,31.372549019607842,1610612757,15,13,2022-03-16T23:53:28Z,740000,93.0,80.0,1,left,MISS T. Watford 12' floating Shot - blocked,"[1630570, 1629011]",1610612757.0,POR,floating,,,Watford,T. Watford,,,,,12.3,Missed,,,,,,,,,,,,,,,,,Robinson,1629011.0
75,PT05M55.00S,2022-03-16T23:52:50.6Z,1,REGULAR,block,,[],1629011,,,1610612757,15,13,2022-03-16T23:52:52Z,750000,,,0,,M. Robinson BLOCK (2 BLK),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
76,PT05M53.00S,2022-03-16T23:52:52.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,15,13,2022-03-16T23:53:28Z,760000,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,,,,74.0,,,,,,,,,,,,,,,,
77,PT05M53.00S,2022-03-16T23:52:56.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612757,15,13,2022-03-16T23:52:56Z,770000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M45.00S,2022-03-16T23:53:19.5Z,1,REGULAR,foul,personal,['2freethrow'],203095,,,1610612757,15,13,2022-03-16T23:53:28Z,780000,,,0,,E. Fournier shooting personal FOUL (1 PF) (Hart 2 FT),"[203095, 1628404]",1610612752.0,NYK,shooting,,,Fournier,E. Fournier,,,,,,,,,,,,202049.0,1.0,0.0,Hart,1628404.0,,,,,,,,
80,PT05M45.00S,2022-03-16T23:53:40.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1628404,,,1610612757,15,14,2022-03-16T23:53:40Z,800000,,,0,,J. Hart Free Throw 1 of 2 (6 PTS),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
81,PT05M45.00S,2022-03-16T23:53:57.2Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1628404,,,1610612757,15,15,2022-03-16T23:53:57Z,810000,,,0,,J. Hart Free Throw 2 of 2 (7 PTS),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
82,PT05M37.00S,2022-03-16T23:54:08.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,88.51839684625493,3.9215686274509802,1610612752,18,15,2022-03-16T23:54:13Z,820000,-230.0,55.0,1,right,R. Barrett 3PT  (11 PTS) (J. Randle 3 AST),"[1629628, 203944]",1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,23.7,Made,11.0,,,,,,,,,,,,,J. Randle,203944.0,3.0,,
84,PT05M17.00S,2022-03-16T23:54:28.7Z,1,REGULAR,3pt,Jump Shot,[],1630314,24.917871222076215,82.59803921568627,1610612757,18,15,2022-03-16T23:54:34Z,840000,-163.0,182.0,1,left,MISS B. Williams 24' 3PT,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,24.41,Missed,,,,,,,,,,,,,,,,,,
85,PT05M15.00S,2022-03-16T23:54:30.7Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,18,15,2022-03-16T23:54:34Z,850000,,,0,,R. Barrett REBOUND (Off:1 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,84.0,2.0,1.0,1.0,,,,,,,,,,,,,
86,PT05M08.00S,2022-03-16T23:54:37.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,94.82588699080158,49.754901960784316,1610612752,20,15,2022-03-16T23:54:41Z,860000,-1.0,-4.0,1,right,M. Robinson DUNK (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,0.41,Made,2.0,,,,,,,,,,,,,R. Barrett,1629628.0,1.0,,
88,PT04M57.00S,2022-03-16T23:54:48.7Z,1,REGULAR,3pt,Jump Shot,[],1628404,31.488173455978973,39.950980392156865,1610612757,20,18,2022-03-16T23:54:52Z,880000,50.0,243.0,1,left,J. Hart 24' 3PT  (10 PTS) (T. Watford 3 AST),"[1628404, 1630570]",1610612757.0,POR,,,,Hart,J. Hart,,,,,24.86,Made,10.0,,,,,,,,,,,,,T. Watford,1630570.0,3.0,,
90,PT04M44.00S,2022-03-16T23:55:03.6Z,1,REGULAR,foul,personal,[],1630535,,,1610612752,20,18,2022-03-16T23:55:16Z,900000,,,0,,G. Brown III personal FOUL (1 PF),"[1630535, 203944]",1610612757.0,POR,,,,Brown III,G. Brown III,,,,,,,,,,,,202035.0,1.0,0.0,Randle,203944.0,,,,,,,,
92,PT04M44.00S,2022-03-16T23:55:03.7Z,1,REGULAR,substitution,out,[],1629011,,,1610612752,20,18,2022-03-16T23:55:15Z,920000,,,0,,SUB out: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
93,PT04M44.00S,2022-03-16T23:55:03.7Z,1,REGULAR,substitution,out,[],1630314,,,1610612752,20,18,2022-03-16T23:55:15Z,930000,,,0,,SUB out: B. Williams,[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,,,,,,,,,,,,,,
94,PT04M44.00S,2022-03-16T23:55:03.7Z,1,REGULAR,substitution,in,[],1630579,,,1610612752,20,18,2022-03-16T23:55:15Z,940000,,,0,,SUB in: J. Sims,[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,
95,PT04M44.00S,2022-03-16T23:55:03.7Z,1,REGULAR,substitution,in,[],1627739,,,1610612752,20,18,2022-03-16T23:55:15Z,950000,,,0,,SUB in: K. Dunn,[1627739],1610612757.0,POR,,,,Dunn,K. Dunn,,,,,,,,,,,,,,,,,,,,,,,,
96,PT04M29.00S,2022-03-16T23:55:39.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,67.49342969776609,34.55882352941176,1610612752,20,18,2022-03-16T23:55:48Z,960000,-77.0,253.0,1,right,MISS R. Barrett 26' step back 3PT,[1629628],1610612752.0,NYK,step back,,,Barrett,R. Barrett,,,,,26.46,Missed,,,,,,,,,,,,,,,,,,
97,PT04M27.00S,2022-03-16T23:55:41.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,20,18,2022-03-16T23:55:48Z,970000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,,,,96.0,2.0,2.0,0.0,,,,,,,,,,,,,
98,PT04M09.00S,2022-03-16T23:55:59.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630535,6.258212877792378,45.588235294117645,1610612757,20,18,2022-03-16T23:56:04Z,980000,22.0,6.0,1,left,MISS G. Brown III Layup,[1630535],1610612757.0,POR,,,,Brown III,G. Brown III,,,,,2.3,Missed,,,,,,,,,,,,,,,,,,
