actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT11M05.00S,2021-12-22T00:44:07.4Z,1,REGULAR,turnover,out-of-bounds,[],1630595,,,1610612765,2,1,2021-12-22T00:44:15Z,160000,,,0,,C. Cunningham bad pass out-of-bounds TURNOVER (1 TO),[1630595],1610612765.0,DET,bad pass,,,Cunningham,C. Cunningham,,,,,,,,,,,2005.0,,,,,,1.0,,,,,,,
17,PT10M44.00S,2021-12-22T00:44:58.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202689,74.32654402102497,50.98039215686274,1610612752,2,1,2021-12-22T00:45:09Z,170000,5.0,189.0,1,right,MISS K. Walker 18' step back Shot,[202689],1610612752.0,NYK,step back,,,Walker,K. Walker,,,,,18.89,Missed,,,,,,,,,,,,,,,,,,
18,PT10M41.00S,2021-12-22T00:45:01.6Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,2,1,2021-12-22T00:45:09Z,180000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M35.00S,2021-12-22T00:45:08.8Z,1,REGULAR,2pt,Jump Shot,[],1630180,14.14257555847569,19.362745098039216,1610612765,2,1,2021-12-22T00:45:45Z,190000,153.0,80.0,1,left,MISS S. Bey 17' pullup Shot,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,17.3,Missed,,,,,,,,,,,,,,,,,,
20,PT10M30.00S,2021-12-22T00:45:13.8Z,1,REGULAR,rebound,defensive,[],202689,,,1610612752,2,1,2021-12-22T00:45:19Z,200000,,,0,,K. Walker REBOUND (Off:0 Def:1),[202689],1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M22.00S,2021-12-22T00:45:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,89.43823915900131,61.029411764705884,1610612752,4,1,2021-12-22T00:45:25Z,210000,55.0,47.0,1,right,E. Fournier 7' driving floating Jump Shot (2 PTS),[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,7.23,Made,,,,,,,,,,2.0,,,,,,,,
22,PT10M04.00S,2021-12-22T00:45:41.3Z,1,REGULAR,foul,offensive,[],1630180,,,1610612765,4,1,2021-12-22T00:47:29Z,220000,,,0,,S. Bey offensive FOUL (1 PF),"[1630180, 203095]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,2005.0,1.0,0.0,Fournier,203095.0,,,,,,,,,
24,PT10M04.00S,2021-12-22T00:45:41.3Z,1,REGULAR,turnover,offensive foul,[],1630180,,,1610612765,4,1,2021-12-22T00:45:41Z,240000,,,0,,S. Bey offensive foul TURNOVER (1 TO),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,2005.0,,,,,,1.0,,,,,,,
25,PT09M53.00S,2021-12-22T00:46:02.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203095,71.69842312746385,20.34313725490196,1610612752,4,1,2021-12-22T00:46:29Z,250000,-148.0,214.0,1,right,MISS E. Fournier 26' pullup 3PT,[203095],1610612752.0,NYK,pullup,,,Fournier,E. Fournier,,,,,26.0,Missed,,,,,,,,,,,,,,,,,,
26,PT09M49.00S,2021-12-22T00:46:06.7Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,4,1,2021-12-22T00:46:07Z,260000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M41.00S,2021-12-22T00:46:14.1Z,1,REGULAR,2pt,Jump Shot,[],202709,22.552562417871222,55.63725490196079,1610612765,4,3,2021-12-22T00:46:20Z,270000,-28.0,159.0,1,left,C. Joseph 16' pullup Jump Shot (2 PTS) (S. Bey 1 AST),"[202709, 1630180]",1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,16.2,Made,,,,,,,,,,2.0,,S. Bey,1630180.0,1.0,,,,
29,PT09M26.00S,2021-12-22T00:46:29.3Z,1,REGULAR,3pt,Jump Shot,[],202692,89.96386333771353,94.6078431372549,1610612752,4,3,2021-12-22T00:46:35Z,290000,223.0,42.0,1,right,MISS A. Burks 3PT,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,22.69,Missed,,,,,,,,,,,,,,,,,,
30,PT09M22.00S,2021-12-22T00:46:33.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,4,3,2021-12-22T00:46:35Z,300000,,,0,,S. Bey REBOUND (Off:0 Def:2),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M17.00S,2021-12-22T00:46:40.7Z,1,REGULAR,foul,personal,[],203095,,,1610612765,4,3,2021-12-22T00:46:52Z,310000,,,0,,E. Fournier personal FOUL (1 PF),"[203095, 1628977]",1610612752.0,NYK,,,,Fournier,E. Fournier,,,,,,,,,,,2005.0,1.0,0.0,Diallo,1628977.0,,,,,,,,,
33,PT09M08.00S,2021-12-22T00:47:13.9Z,1,REGULAR,turnover,out-of-bounds,[],1628977,,,1610612765,4,3,2021-12-22T00:47:28Z,330000,,,0,,H. Diallo step out-of-bounds TURNOVER (1 TO),[1628977],1610612765.0,DET,step,,,Diallo,H. Diallo,,,,,,,,,,,203177.0,,,,,,1.0,,,,,,,
34,PT08M57.00S,2021-12-22T00:47:29.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,69.46452036793693,73.52941176470588,1610612752,4,3,2021-12-22T00:47:35Z,340000,118.0,235.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,26.23,Missed,,,,,,,,,,,,,,,,,,
35,PT08M52.00S,2021-12-22T00:47:34.4Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,4,3,2021-12-22T00:47:35Z,350000,,,0,,S. Bey REBOUND (Off:0 Def:3),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,34.0,3.0,3.0,0.0,,,,,,,,,,,,,,
36,PT08M39.00S,2021-12-22T00:47:47.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,13.748357424441524,50.98039215686274,1610612765,4,5,2021-12-22T00:47:51Z,360000,-5.0,77.0,1,left,H. Diallo 7' driving floating Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1628977, 1630595]",1610612765.0,DET,driving floating,,,Diallo,H. Diallo,,,,,7.69,Made,,,,,,,,,,2.0,,C. Cunningham,1630595.0,1.0,,,,
38,PT08M21.00S,2021-12-22T00:48:04.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203095,84.1819973718791,52.69607843137255,1610612752,4,5,2021-12-22T00:48:12Z,380000,13.0,96.0,1,right,MISS E. Fournier 9' driving finger roll Layup,[203095],1610612752.0,NYK,driving finger roll,,,Fournier,E. Fournier,,,,,9.71,Missed,,,,,,,,,,,,,,,,,,
39,PT08M18.00S,2021-12-22T00:48:07.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,4,5,2021-12-22T00:48:12Z,390000,,,0,,I. Stewart REBOUND (Off:1 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,38.0,2.0,1.0,1.0,,,,,,,,,,,,,,
40,PT08M11.00S,2021-12-22T00:48:14.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,19.92444152431012,65.68627450980392,1610612765,4,7,2021-12-22T00:48:19Z,400000,-78.0,135.0,1,left,C. Cunningham 15' pullup Jump Shot (2 PTS) (C. Joseph 1 AST),"[1630595, 202709]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,15.59,Made,,,,,,,,,,2.0,,C. Joseph,202709.0,1.0,,,,
42,PT07M48.00S,2021-12-22T00:48:38.1Z,1,REGULAR,2pt,Jump Shot,[],203944,77.7431011826544,67.8921568627451,1610612752,4,7,2021-12-22T00:48:47Z,420000,89.0,157.0,1,right,MISS J. Randle 18' pullup Shot,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,18.05,Missed,,,,,,,,,,,,,,,,,,
43,PT07M46.00S,2021-12-22T00:48:40.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,4,7,2021-12-22T00:48:47Z,430000,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,
44,PT07M46.00S,2021-12-22T00:48:45.9Z,1,REGULAR,foul,personal,[],202709,,,1610612752,4,7,2021-12-22T00:48:55Z,440000,,,0,,C. Joseph loose ball personal FOUL (1 PF),"[202709, 203457]",1610612765.0,DET,loose ball,,,Joseph,C. Joseph,,,,,,,,,,,203177.0,1.0,0.0,Noel,203457.0,,,,,,,,,
46,PT07M41.00S,2021-12-22T00:49:08.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203944,94.56307490144546,54.90196078431373,1610612752,6,7,2021-12-22T00:49:25Z,460000,25.0,-1.0,1,right,J. Randle driving Layup (4 PTS) (N. Noel 1 AST),"[203944, 203457]",1610612752.0,NYK,driving,,,Randle,J. Randle,,,,,2.45,Made,,,,,,,,,,4.0,,N. Noel,203457.0,1.0,,,,
48,PT07M26.00S,2021-12-22T00:49:23.2Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,6,7,2021-12-22T00:49:27Z,480000,,,0,,C. Cunningham bad pass TURNOVER (2 TO),"[1630595, 203457]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,2.0,,,,Noel,203457.0,,
49,PT07M26.00S,2021-12-22T00:49:23.2Z,1,REGULAR,steal,,[],203457,,,1610612752,6,7,2021-12-22T00:49:25Z,490000,,,0,,N. Noel STEAL (1 STL),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2021-12-22T00:49:29.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",202692,92.19776609724047,47.794117647058826,1610612752,6,7,2021-12-22T00:49:35Z,500000,-11.0,21.0,1,right,MISS A. Burks cutting Layup,[202692],1610612752.0,NYK,cutting,,,Burks,A. Burks,,,,,2.35,Missed,,,,,,,,,,,,,,,,,,
51,PT07M17.00S,2021-12-22T00:49:32.8Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,6,7,2021-12-22T00:49:35Z,510000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,
52,PT07M14.00S,2021-12-22T00:49:35.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628977,6.1268068331143235,52.20588235294118,1610612765,6,9,2021-12-22T00:49:49Z,520000,-11.0,5.0,1,left,H. Diallo driving reverse Layup (4 PTS) (I. Stewart 1 AST),"[1628977, 1630191]",1610612765.0,DET,driving reverse,,,Diallo,H. Diallo,,,,,1.21,Made,,,,,,,,,,4.0,,I. Stewart,1630191.0,1.0,,,,
54,PT06M55.00S,2021-12-22T00:49:54.1Z,1,REGULAR,3pt,Jump Shot,[],202689,69.59592641261499,67.40196078431373,1610612752,9,9,2021-12-22T00:49:58Z,540000,87.0,233.0,1,right,K. Walker 24' 3PT  (3 PTS) (A. Burks 1 AST),"[202689, 202692]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,24.9,Made,,,,,,,,,,3.0,,A. Burks,202692.0,1.0,,,,
56,PT06M43.00S,2021-12-22T00:50:08.0Z,1,REGULAR,2pt,Jump Shot,[],1630595,6.1268068331143235,32.84313725490196,1610612765,9,9,2021-12-22T00:51:13Z,560000,86.0,5.0,1,left,MISS C. Cunningham 8' driving floating Shot,[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,8.6,Missed,,,,,,,,,,,,,,,,,,
57,PT06M41.00S,2021-12-22T00:50:10.0Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,9,9,2021-12-22T00:51:13Z,570000,,,0,,I. Stewart REBOUND (Off:2 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,,,
58,PT06M41.00S,2021-12-22T00:50:17.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630191,5.590000152587891,50.0,1610612765,9,9,2021-12-22T00:51:22Z,580000,0.0,0.0,1,left,MISS I. Stewart tip Layup,[1630191],1610612765.0,DET,tip,,,Stewart,I. Stewart,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,
59,PT06M39.00S,2021-12-22T00:50:19.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,9,2021-12-22T00:51:22Z,590000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,58.0,1.0,1.0,0.0,,,,,,,,,,,,,,
60,PT06M33.00S,2021-12-22T00:50:19.9Z,1,REGULAR,turnover,out-of-bounds,[],203944,,,1610612752,9,9,2021-12-22T00:50:36Z,600000,,,0,,J. Randle bad pass out-of-bounds TURNOVER (1 TO),[203944],1610612752.0,NYK,bad pass,,,Randle,J. Randle,,,,,,,,,,,203177.0,,,,,,1.0,,,,,,,
61,PT06M33.00S,2021-12-22T00:50:30.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,9,2021-12-22T00:50:30Z,610000,,,0,,NYK Timeout,[],1610612752.0,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M33.00S,2021-12-22T00:50:30.9Z,1,REGULAR,substitution,out,[],202692,,,1610612765,9,9,2021-12-22T00:53:04Z,620000,,,0,,SUB out: A. Burks,[202692],1610612752.0,NYK,,,,Burks,A. Burks,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M33.00S,2021-12-22T00:50:30.9Z,1,REGULAR,substitution,in,[],201959,,,1610612765,9,9,2021-12-22T00:53:04Z,630000,,,0,,SUB in: T. Gibson,[201959],1610612752.0,NYK,,,,Gibson,T. Gibson,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M20.00S,2021-12-22T00:53:29.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630191,7.440867279894875,51.71568627450981,1610612765,9,11,2021-12-22T00:54:28Z,640000,-9.0,17.0,1,left,I. Stewart Layup (3 PTS),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,1.94,Made,,,,,,,,,,3.0,,,,,,,,
65,PT06M02.00S,2021-12-22T00:53:47.2Z,1,REGULAR,2pt,Jump Shot,[],202689,69.33311432325887,49.754901960784316,1610612752,9,11,2021-12-22T00:53:58Z,650000,-1.0,236.0,1,right,MISS K. Walker 23' pullup Shot,[202689],1610612752.0,NYK,pullup,,,Walker,K. Walker,,,,,23.58,Missed,,,,,,,,,,,,,,,,,,
66,PT05M59.00S,2021-12-22T00:53:50.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,9,11,2021-12-22T00:53:51Z,660000,,,0,,I. Stewart REBOUND (Off:2 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,65.0,4.0,2.0,2.0,,,,,,,,,,,,,,
67,PT05M49.00S,2021-12-22T00:54:00.3Z,1,REGULAR,3pt,Jump Shot,[],202709,24.655059132720105,14.705882352941178,1610612765,9,14,2021-12-22T00:54:06Z,670000,176.0,179.0,1,left,C. Joseph 25' 3PT  (5 PTS) (C. Cunningham 2 AST),"[202709, 1630595]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,25.16,Made,,,,,,,,,,5.0,,C. Cunningham,1630595.0,2.0,,,,
69,PT05M31.00S,2021-12-22T00:54:17.7Z,1,REGULAR,3pt,Jump Shot,[],203095,76.5604467805519,12.009803921568627,1610612752,9,14,2021-12-22T00:54:23Z,690000,-190.0,168.0,1,right,MISS E. Fournier 25' fadeaway 3PT,[203095],1610612752.0,NYK,fadeaway,,,Fournier,E. Fournier,,,,,25.35,Missed,,,,,,,,,,,,,,,,,,
70,PT05M29.00S,2021-12-22T00:54:19.7Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,9,14,2021-12-22T00:54:23Z,700000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,69.0,2.0,2.0,0.0,,,,,,,,,,,,,,
71,PT05M13.00S,2021-12-22T00:54:36.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,33.065045992115635,53.431372549019606,1610612765,9,14,2021-12-22T00:54:40Z,710000,-17.0,258.0,1,left,MISS S. Bey 25' pullup 3PT,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,25.89,Missed,,,,,,,,,,,,,,,,,,
72,PT05M10.00S,2021-12-22T00:54:39.5Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,14,2021-12-22T00:54:40Z,720000,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT05M06.00S,2021-12-22T00:54:45.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,9,14,2021-12-22T00:54:45Z,730000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT05M03.00S,2021-12-22T00:55:01.4Z,1,REGULAR,3pt,Jump Shot,[],203944,72.7496714848883,80.3921568627451,1610612752,9,14,2021-12-22T00:55:07Z,740000,152.0,204.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612752.0,NYK,pullup,,,Randle,J. Randle,,,,,25.42,Missed,,,,,,,,,,,,,,,,,,
75,PT04M59.00S,2021-12-22T00:55:05.4Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,9,14,2021-12-22T00:55:07Z,750000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,74.0,1.0,1.0,0.0,,,,,,,,,,,,,,
76,PT04M49.00S,2021-12-22T00:55:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,22.28975032851511,88.97058823529412,1610612765,9,14,2021-12-22T00:55:25Z,760000,-195.0,157.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,25.03,Missed,,,,,,,,,,,,,,,,,,
77,PT04M47.00S,2021-12-22T00:55:16.8Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,14,2021-12-22T00:55:25Z,770000,,,0,,J. Randle REBOUND (Off:0 Def:3),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,76.0,3.0,3.0,0.0,,,,,,,,,,,,,,
78,PT04M33.00S,2021-12-22T00:55:32.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202689,92.72339027595268,43.627450980392155,1610612752,9,14,2021-12-22T01:07:50Z,780000,-32.0,16.0,1,right,MISS K. Walker driving Layup,[202689],1610612752.0,NYK,driving,,,Walker,K. Walker,,,,,3.56,Missed,,,,,,,,,,,,,,,,,,
79,PT04M32.00S,2021-12-22T00:55:33.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,9,14,2021-12-22T01:07:50Z,790000,,,0,,C. Cunningham REBOUND (Off:0 Def:3),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT04M28.00S,2021-12-22T00:55:38.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630191,6.258212877792378,43.13725490196079,1610612765,9,14,2021-12-22T01:07:59Z,800000,34.0,6.0,1,left,MISS I. Stewart running Layup - blocked,"[1630191, 203457]",1610612765.0,DET,running,,,Stewart,I. Stewart,,,,,3.49,Missed,,,,,,,,,,,,,,,,,Noel,203457.0
81,PT04M28.00S,2021-12-22T00:55:38.4Z,1,REGULAR,block,,[],203457,,,1610612765,9,14,2021-12-22T00:55:43Z,810000,,,0,,N. Noel BLOCK (1 BLK),[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
82,PT04M27.00S,2021-12-22T00:55:39.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,9,14,2021-12-22T01:07:59Z,820000,,,0,,J. Randle REBOUND (Off:0 Def:4),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,80.0,4.0,4.0,0.0,,,,,,,,,,,,,,
83,PT04M24.00S,2021-12-22T00:55:48.5Z,1,REGULAR,foul,personal,[],202709,,,1610612752,9,14,2021-12-22T01:08:09Z,830000,,,0,,C. Joseph take personal FOUL (2 PF),"[202709, 203944]",1610612765.0,DET,take,,,Joseph,C. Joseph,,,,,,,,,,,203177.0,2.0,0.0,Randle,203944.0,,,,,,,,,
85,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,out,[],203457,,,1610612752,9,14,2021-12-22T00:56:00Z,850000,,,0,,SUB out: N. Noel,[203457],1610612752.0,NYK,,,,Noel,N. Noel,,,,,,,,,,,,,,,,,,,,,,,,
86,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,out,[],1628977,,,1610612752,9,14,2021-12-22T00:56:00Z,860000,,,0,,SUB out: H. Diallo,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,
87,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,in,[],1629011,,,1610612752,9,14,2021-12-22T00:56:00Z,870000,,,0,,SUB in: M. Robinson,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,,,,,,,,,,,,,,,,,,,,
88,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,in,[],1628402,,,1610612752,9,14,2021-12-22T00:56:00Z,880000,,,0,,SUB in: F. Jackson,[1628402],1610612765.0,DET,,,,Jackson,F. Jackson,,,,,,,,,,,,,,,,,,,,,,,,
89,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,out,[],202709,,,1610612752,9,14,2021-12-22T00:56:16Z,890000,,,0,,SUB out: C. Joseph,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,
90,PT04M24.00S,2021-12-22T00:55:48.6Z,1,REGULAR,substitution,in,[],1630240,,,1610612752,9,14,2021-12-22T00:56:16Z,900000,,,0,,SUB in: S. Lee,[1630240],1610612765.0,DET,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,,,,
