actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
17,PT10M47.00S,2022-10-21T02:04:10.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,7.539421813403408,53.92156862745098,1610612747,3,3,2022-10-21T02:24:16Z,170000,-20.0,18.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,2.69,Missed,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2022-10-21T02:04:10.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,3,3,2022-10-21T02:04:15Z,180000,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M39.00S,2022-10-21T02:04:18.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202694,72.45400788436268,18.872549019607845,1610612746,3,3,2022-10-21T02:04:26Z,190000,-156.0,206.0,1,right,MISS M. Morris Sr. 25' running 3PT,[202694],1610612746.0,LAC,running,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,25.85,Missed,,,,,,,,,,,,,,,,,,
20,PT10M37.00S,2022-10-21T02:04:20.5Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,3,3,2022-10-21T02:04:26Z,200000,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M30.00S,2022-10-21T02:04:27.6Z,1,REGULAR,3pt,Jump Shot,[],2544,34.477660972404735,61.27450980392157,1610612747,6,3,2022-10-21T02:24:28Z,210000,-56.0,272.0,1,left,L. James 27' 3PT pullup (3 PTS) (L. Walker IV 1 AST),"[2544, 1629022]",1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Center,27.74,Made,,,,,3.0,L. Walker IV,1629022.0,1.0,,,,,,,,,,
23,PT10M12.00S,2022-10-21T02:04:45.8Z,1,REGULAR,2pt,Jump Shot,[],202331,80.33837056504599,77.20588235294117,1610612746,6,3,2022-10-21T02:04:49Z,230000,136.0,132.0,1,right,MISS P. George 18' Jump Shot,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Right Center,18.97,Missed,,,,,,,,,,,,,,,,,,
24,PT10M09.00S,2022-10-21T02:04:48.8Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,6,3,2022-10-21T02:04:49Z,240000,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT10M06.00S,2022-10-21T02:04:51.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],2544,30.798291721419176,64.70588235294117,1610612747,6,3,2022-10-21T02:08:43Z,250000,-74.0,237.0,1,left,MISS L. James 24' running pullup 3PT,[2544],1610612747.0,LAL,running pullup,,,James,L. James,,,,,Above the Break 3,24+ Center,24.81,Missed,,,,,,,,,,,,,,,,,,
26,PT10M02.00S,2022-10-21T02:04:55.8Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,6,3,2022-10-21T02:08:43Z,260000,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M55.00S,2022-10-21T02:05:02.6Z,1,REGULAR,3pt,Jump Shot,[],202331,68.51798620236531,58.099724264705884,1610612746,6,3,2022-10-21T02:24:34Z,270000,40.0,243.0,1,right,MISS P. George 24' pullup 3PT - blocked,"[202331, 201976]",1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Center,24.67,Missed,,,,,,,,,,,,Beverley,201976.0,,,,,
28,PT09M55.00S,2022-10-21T02:05:02.6Z,1,REGULAR,block,,[],201976,,,1610612746,6,3,2022-10-21T02:05:05Z,280000,,,0,,P. Beverley BLOCK (1 BLK),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
29,PT09M52.00S,2022-10-21T02:05:05.6Z,1,REGULAR,rebound,offensive,[],202331,,,1610612746,6,3,2022-10-21T02:05:22Z,290000,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,27.0,2.0,1.0,1.0,,,,,,,,,,,,,,
30,PT09M52.00S,2022-10-21T02:05:10.3Z,1,REGULAR,turnover,out-of-bounds,[],202331,,,1610612746,6,3,2022-10-21T02:05:34Z,300000,,,0,,P. George bad pass out-of-bounds TURNOVER (1 TO),[202331],1610612746.0,LAC,bad pass,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,1201.0,,,,
31,PT09M37.00S,2022-10-21T02:05:39.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201976,33.42641261498029,40.931372549019606,1610612747,6,3,2022-10-21T02:10:01Z,310000,45.0,262.0,1,left,MISS P. Beverley 26' pullup 3PT,[201976],1610612747.0,LAL,pullup,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,26.56,Missed,,,,,,,,,,,,,,,,,,
32,PT09M34.00S,2022-10-21T02:05:42.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,3,2022-10-21T02:05:44Z,320000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
33,PT09M26.00S,2022-10-21T02:05:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,88.2227332457293,51.470588235294116,1610612746,6,3,2022-10-21T02:10:52Z,330000,7.0,58.0,1,right,MISS N. Powell driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,5.87,Missed,,,,,,,,,,,,,,,,,,
34,PT09M26.00S,2022-10-21T02:05:51.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,6,3,2022-10-21T02:10:52Z,340000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,33.0,,,,,,,,,,,,,,,,,
35,PT09M26.00S,2022-10-21T02:05:57.6Z,1,REGULAR,foul,personal,[],201566,,,1610612746,6,3,2022-10-21T02:06:03Z,350000,,,0,,R. Westbrook loose ball personal FOUL (1 PF),"[201566, 1627826]",1610612747.0,LAL,loose ball,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2715.0,1.0,0.0,Zubac,1627826.0
37,PT09M20.00S,2022-10-21T02:06:13.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202704,85.46320630749014,45.58823529411765,1610612746,6,5,2022-10-21T02:11:29Z,370000,-22.0,84.0,1,right,R. Jackson 8' driving floating Jump Shot (2 PTS),[202704],1610612746.0,LAC,driving floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),8-16 Center,8.7,Made,,,,,2.0,,,,,,,,,,,,,
38,PT09M14.00S,2022-10-21T02:06:19.1Z,1,REGULAR,3pt,Jump Shot,[],1629022,31.32391590013141,26.715686274509807,1610612747,6,5,2022-10-21T02:11:52Z,380000,116.0,242.0,1,left,MISS L. Walker IV 26' pullup 3PT,[1629022],1610612747.0,LAL,pullup,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,26.84,Missed,,,,,,,,,,,,,,,,,,
39,PT09M11.00S,2022-10-21T02:06:22.1Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,6,5,2022-10-21T02:06:23Z,390000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,38.0,2.0,2.0,0.0,,,,,,,,,,,,,,
40,PT08M59.00S,2022-10-21T02:06:34.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,91.63929040735874,51.22549019607843,1610612746,6,7,2022-10-21T02:06:39Z,400000,6.0,26.0,1,right,N. Powell cutting Layup (2 PTS) (M. Morris Sr. 1 AST),"[1626181, 202694]",1610612746.0,LAC,cutting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,
42,PT08M52.00S,2022-10-21T02:06:41.5Z,1,REGULAR,2pt,Jump Shot,[],2544,24.227989487516425,72.54901960784314,1610612747,8,7,2022-10-21T02:06:45Z,420000,-113.0,175.0,1,left,L. James 20' pullup Jump Shot (5 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Left Center,20.83,Made,,,,,5.0,,,,,,,,,,,,,
43,PT08M31.00S,2022-10-21T02:07:01.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202694,82.30946123521682,39.4607843137255,1610612746,8,7,2022-10-21T02:07:05Z,430000,-53.0,114.0,1,right,MISS M. Morris Sr. 12' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),8-16 Center,12.54,Missed,,,,,,,,,,,,,,,,,,
44,PT08M28.00S,2022-10-21T02:07:04.4Z,1,REGULAR,rebound,offensive,[],1627826,,,1610612746,8,7,2022-10-21T02:07:04Z,440000,,,0,,I. Zubac REBOUND (Off:1 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,43.0,3.0,2.0,1.0,,,,,,,,,,,,,,
45,PT08M28.00S,2022-10-21T02:07:04.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627826,94.40999984741211,50.0,1610612746,8,9,2022-10-21T02:07:12Z,450000,0.0,0.0,1,right,I. Zubac tip Layup (2 PTS),[1627826],1610612746.0,LAC,tip,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
46,PT08M19.00S,2022-10-21T02:07:14.5Z,1,REGULAR,2pt,Jump Shot,[],203076,27.513140604467807,66.42156862745098,1610612747,8,9,2022-10-21T02:13:04Z,460000,-82.0,206.0,1,left,MISS A. Davis 22' pullup Shot,[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,Mid-Range,16-24 Left Center,22.19,Missed,,,,,,,,,,,,,,,,,,
47,PT08M16.00S,2022-10-21T02:07:17.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,8,9,2022-10-21T02:07:19Z,470000,,,0,,P. George REBOUND (Off:1 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,46.0,3.0,2.0,1.0,,,,,,,,,,,,,,
48,PT08M06.00S,2022-10-21T02:07:26.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,89.93101182654402,51.96078431372549,1610612746,8,11,2022-10-21T02:07:31Z,480000,10.0,42.0,1,right,I. Zubac Hook (4 PTS) (R. Jackson 1 AST),"[1627826, 202704]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,4.32,Made,,,,,4.0,R. Jackson,202704.0,1.0,,,,,,,,,,
50,PT08M05.00S,2022-10-21T02:07:32.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,8,11,2022-10-21T02:07:32Z,500000,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT07M51.00S,2022-10-21T02:11:05.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629022,9.510512483574246,52.69607843137255,1610612747,8,11,2022-10-21T02:11:10Z,510000,-13.0,37.0,1,left,MISS L. Walker IV driving Layup,[1629022],1610612747.0,LAL,driving,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,3.93,Missed,,,,,,,,,,,,,,,,,,
52,PT07M49.00S,2022-10-21T02:11:07.9Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,8,11,2022-10-21T02:11:10Z,520000,,,0,,N. Powell REBOUND (Off:0 Def:2),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,51.0,2.0,2.0,0.0,,,,,,,,,,,,,,
53,PT07M42.00S,2022-10-21T02:11:22.3Z,1,REGULAR,foul,personal,['2freethrow'],201976,,,1610612746,8,11,2022-10-21T02:11:28Z,530000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Powell 2 FT),"[201976, 1626181]",1610612747.0,LAL,shooting,,,Beverley,P. Beverley,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,201246.0,1.0,0.0,Powell,1626181.0
55,PT07M42.00S,2022-10-21T02:11:38.6Z,1,REGULAR,freethrow,1 of 2,[],1626181,,,1610612746,8,11,2022-10-21T02:11:38Z,550000,,,0,,MISS N. Powell Free Throw 1 of 2,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
56,PT07M42.00S,2022-10-21T02:11:38.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612746,8,11,2022-10-21T02:11:38Z,560000,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,
57,PT07M42.00S,2022-10-21T02:11:54.7Z,1,REGULAR,freethrow,2 of 2,[],1626181,,,1610612746,8,12,2022-10-21T02:11:54Z,570000,,,0,,N. Powell Free Throw 2 of 2 (3 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
58,PT07M32.00S,2022-10-21T02:12:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,13.715505913272011,50.0,1610612747,8,12,2022-10-21T02:12:14Z,580000,0.0,76.0,1,left,MISS A. Davis 7' floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.64,Missed,,,,,,,,,,,,,,,,,,
59,PT07M32.00S,2022-10-21T02:12:12.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612747,8,12,2022-10-21T02:12:12Z,590000,,,0,,TEAM offensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,58.0,,,,,,,,,,,,,,,,,
61,PT07M30.00S,2022-10-21T02:12:20.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629022,12.66425755584757,84.31372549019608,1610612747,10,12,2022-10-21T02:12:25Z,610000,-172.0,67.0,1,left,L. Walker IV 18' Jump Shot (5 PTS) (R. Westbrook 1 AST),"[1629022, 201566]",1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,Mid-Range,16-24 Left,18.4,Made,,,,,5.0,R. Westbrook,201566.0,1.0,,,,,,,,,,
63,PT07M14.00S,2022-10-21T02:12:41.8Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612746,10,12,2022-10-21T02:12:47Z,630000,,,0,,R. Jackson bad pass out-of-bounds TURNOVER (1 TO),[202704],1610612746.0,LAC,bad pass,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,1.0,,,,,1201.0,,,,
64,PT07M04.00S,2022-10-21T02:13:02.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",201566,8.327858081471746,45.34313725490197,1610612747,10,12,2022-10-21T02:13:07Z,640000,23.0,26.0,1,left,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,3.48,Missed,,,,,,,,,,,,,,,,,,
65,PT07M01.00S,2022-10-21T02:13:05.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,10,12,2022-10-21T02:13:05Z,650000,,,0,,I. Zubac REBOUND (Off:1 Def:3),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,64.0,4.0,3.0,1.0,,,,,,,,,,,,,,
66,PT06M58.00S,2022-10-21T02:13:09.1Z,1,REGULAR,turnover,bad pass,[],1626181,,,1610612746,10,12,2022-10-21T02:13:18Z,660000,,,0,,N. Powell bad pass TURNOVER (1 TO),"[1626181, 203076]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,Davis,203076.0,,,,,,,
67,PT06M58.00S,2022-10-21T02:13:09.1Z,1,REGULAR,steal,,[],203076,,,1610612747,10,12,2022-10-21T02:13:12Z,670000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
68,PT06M55.00S,2022-10-21T02:13:15.2Z,1,REGULAR,foul,personal,[],1626181,,,1610612747,10,12,2022-10-21T02:13:21Z,680000,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 2544]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2715.0,1.0,0.0,James,2544.0
70,PT06M55.00S,2022-10-21T02:13:26.0Z,1,REGULAR,substitution,out,[],201976,,,1610612747,10,12,2022-10-21T02:13:37Z,700000,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M55.00S,2022-10-21T02:13:26.0Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,10,12,2022-10-21T02:13:37Z,710000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M49.00S,2022-10-21T02:13:55.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",203076,7.539421813403408,49.01960784313726,1610612747,12,12,2022-10-21T02:13:59Z,720000,5.0,18.0,1,left,A. Davis alley-oop DUNK (2 PTS) (R. Westbrook 2 AST),"[203076, 201566]",1610612747.0,LAL,alley-oop,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,1.9,Made,,,,,2.0,R. Westbrook,201566.0,2.0,,,,,,,,,,
74,PT06M24.00S,2022-10-21T02:14:24.8Z,1,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612746,12,12,2022-10-21T02:18:58Z,740000,,,0,,L. Walker IV shooting personal FOUL (1 PF) (George 2 FT),"[1629022, 202331]",1610612747.0,LAL,shooting,,,Walker IV,L. Walker IV,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,201246.0,1.0,0.0,George,202331.0
76,PT06M24.00S,2022-10-21T02:14:50.7Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612746,12,13,2022-10-21T02:14:50Z,760000,,,0,,P. George Free Throw 1 of 2 (1 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
77,PT06M24.00S,2022-10-21T02:15:07.8Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612746,12,14,2022-10-21T02:15:07Z,770000,,,0,,P. George Free Throw 2 of 2 (2 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
78,PT06M07.00S,2022-10-21T02:15:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,8.196452036793687,42.64705882352941,1610612747,12,14,2022-10-21T02:15:31Z,780000,37.0,25.0,1,left,MISS L. James driving floating Shot,[2544],1610612747.0,LAL,driving floating,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,4.42,Missed,,,,,,,,,,,,,,,,,,
79,PT06M04.00S,2022-10-21T02:15:29.6Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,12,14,2022-10-21T02:15:31Z,790000,,,0,,N. Powell REBOUND (Off:0 Def:3),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,78.0,3.0,3.0,0.0,,,,,,,,,,,,,,
80,PT05M54.00S,2022-10-21T02:15:41.6Z,1,REGULAR,foul,personal,['3freethrow'],1630559,,,1610612746,12,14,2022-10-21T02:16:16Z,800000,,,0,,A. Reaves shooting personal FOUL (1 PF) (Powell 3 FT),"[1630559, 1626181]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1201.0,1.0,0.0,Powell,1626181.0
82,PT05M54.00S,2022-10-21T02:16:14.1Z,1,REGULAR,freethrow,1 of 3,[],1626181,,,1610612746,12,15,2022-10-21T02:16:55Z,820000,,,0,,N. Powell Free Throw 1 of 3 (4 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
83,PT05M54.00S,2022-10-21T02:16:14.7Z,1,REGULAR,substitution,out,[],2544,,,1610612746,12,15,2022-10-21T02:16:23Z,830000,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PT05M54.00S,2022-10-21T02:16:14.7Z,1,REGULAR,substitution,in,[],1629308,,,1610612746,12,15,2022-10-21T02:16:23Z,840000,,,0,,SUB in: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT05M54.00S,2022-10-21T02:16:14.1Z,1,REGULAR,freethrow,2 of 3,[],1626181,,,1610612746,12,16,2022-10-21T02:16:55Z,850000,,,0,,N. Powell Free Throw 2 of 3 (5 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
