actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
54,PT08M28.00S,2022-10-23T19:47:24.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629022,67.9862023653088,30.392156862745097,1610612747,10,2,2022-10-23T19:47:33Z,540000,-98.0,248.0,1,right,MISS L. Walker IV 26' running pullup 3PT,[1629022],1610612747.0,LAL,running pullup,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,26.7,Missed,,,,,,,,,,,,,,,,,,
55,PT08M23.00S,2022-10-23T19:47:29.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612757,10,2,2022-10-23T19:47:33Z,550000,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,,
56,PT08M15.00S,2022-10-23T19:47:36.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203994,13.84691195795007,52.450980392156865,1610612757,10,2,2022-10-23T19:47:42Z,560000,-12.0,78.0,1,left,MISS J. Nurkic 7' Layup - blocked,"[203994, 203076]",1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,7.87,Missed,,,,,,,,,Davis,203076.0,,,,,,,,
57,PT08M15.00S,2022-10-23T19:47:36.8Z,1,REGULAR,block,,[],203076,,,1610612757,10,2,2022-10-23T19:47:39Z,570000,,,0,,A. Davis BLOCK (2 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT08M12.00S,2022-10-23T19:47:39.8Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,10,2,2022-10-23T19:47:42Z,580000,,,0,,R. Westbrook REBOUND (Off:0 Def:2),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
59,PT08M10.00S,2022-10-23T19:47:41.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629022,70.61432325886992,76.22549019607843,1610612747,10,2,2022-10-23T19:54:05Z,590000,131.0,224.0,1,right,MISS L. Walker IV 25' running 3PT,[1629022],1610612747.0,LAL,running,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Right Center,25.93,Missed,,,,,,,,,,,,,,,,,,
60,PT08M04.00S,2022-10-23T19:47:47.7Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,10,2,2022-10-23T19:47:49Z,600000,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,59.0,1.0,1.0,0.0,,,,,,,,,,,,,,
61,PT07M59.00S,2022-10-23T19:47:56.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612757,10,2,2022-10-23T19:47:56Z,610000,,,0,,POR Timeout,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT07M51.00S,2022-10-23T19:51:01.2Z,1,REGULAR,3pt,Jump Shot,[],203924,11.218791064388967,5.637254901960787,1610612757,10,5,2022-10-23T19:51:10Z,620000,222.0,53.0,1,left,J. Grant 3PT  (3 PTS) (D. Lillard 1 AST),"[203924, 203081]",1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,22.8,Made,,,,,3.0,D. Lillard,203081.0,1.0,,,,,,,,,,
64,PT07M31.00S,2022-10-23T19:51:22.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,91.24507227332458,44.36274509803921,1610612747,10,5,2022-10-23T19:51:26Z,640000,-28.0,30.0,1,right,MISS R. Westbrook driving Layup,[201566],1610612747.0,LAL,driving,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,4.1,Missed,,,,,,,,,,,,,,,,,,
65,PT07M29.00S,2022-10-23T19:51:24.4Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,10,5,2022-10-23T19:51:26Z,650000,,,0,,J. Nurkic REBOUND (Off:0 Def:2),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,64.0,2.0,2.0,0.0,,,,,,,,,,,,,,
66,PT07M24.00S,2022-10-23T19:51:30.2Z,1,REGULAR,foul,personal,['2freethrow'],1629022,,,1610612757,10,5,2022-10-23T19:51:41Z,660000,,,0,,L. Walker IV shooting personal FOUL (1 PF) (Grant 2 FT),"[1629022, 203924]",1610612747.0,LAL,shooting,,,Walker IV,L. Walker IV,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,2530.0,1.0,0.0,Grant,203924.0,,,
68,PT07M24.00S,2022-10-23T19:51:55.7Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,10,6,2022-10-23T19:51:55Z,680000,,,0,,J. Grant Free Throw 1 of 2 (4 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
69,PT07M24.00S,2022-10-23T19:52:14.9Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,10,7,2022-10-23T19:52:15Z,690000,,,0,,J. Grant Free Throw 2 of 2 (5 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
70,PT07M06.00S,2022-10-23T19:52:36.4Z,1,REGULAR,turnover,traveling,[],1629022,,,1610612747,10,7,2022-10-23T19:52:41Z,700000,,,0,,L. Walker IV traveling TURNOVER (1 TO),[1629022],1610612747.0,LAL,,,,Walker IV,L. Walker IV,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1204.0,,,,,1.0,,
71,PT06M57.00S,2022-10-23T19:52:58.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203081,9.510512483574246,57.84313725490196,1610612757,10,9,2022-10-23T19:53:04Z,710000,-39.0,37.0,1,left,D. Lillard driving floating bank Jump Shot (4 PTS),[203081],1610612757.0,POR,driving floating bank,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,5.38,Made,,,,,4.0,,,,,,,,,,,,,
72,PT06M43.00S,2022-10-23T19:53:11.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,88.61695137976346,39.950980392156865,1610612747,10,9,2022-10-23T19:53:18Z,720000,-50.0,55.0,1,right,MISS A. Davis 7' floating Shot - blocked,"[203076, 203994]",1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,7.41,Missed,,,,,,,,,Nurkic,203994.0,,,,,,,,
73,PT06M43.00S,2022-10-23T19:53:11.4Z,1,REGULAR,block,,[],203994,,,1610612747,10,9,2022-10-23T19:53:14Z,730000,,,0,,J. Nurkic BLOCK (1 BLK),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
74,PT06M40.00S,2022-10-23T19:53:14.4Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612757,10,9,2022-10-23T19:53:18Z,740000,,,0,,J. Hart REBOUND (Off:1 Def:3),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),0-8 Center,,,72.0,4.0,3.0,1.0,,,,,,,,,,,,,,
75,PT06M39.00S,2022-10-23T19:53:18.6Z,1,REGULAR,foul,offensive,[],1628404,,,1610612757,10,9,2022-10-23T19:53:25Z,750000,,,0,,J. Hart charge offensive FOUL (1 PF),"[1628404, 201976]",1610612757.0,POR,charge,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1204.0,1.0,0.0,Beverley,201976.0,,,
77,PT06M39.00S,2022-10-23T19:53:18.6Z,1,REGULAR,turnover,offensive foul,[],1628404,,,1610612757,10,9,2022-10-23T19:53:18Z,770000,,,0,,J. Hart offensive foul TURNOVER (1 TO),[1628404],1610612757.0,POR,,,,Hart,J. Hart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1204.0,,,,,1.0,,
78,PT06M39.00S,2022-10-23T19:53:29.2Z,1,REGULAR,substitution,out,[],201976,,,1610612747,10,9,2022-10-23T19:53:34Z,780000,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M39.00S,2022-10-23T19:53:29.2Z,1,REGULAR,substitution,in,[],1630559,,,1610612747,10,9,2022-10-23T19:53:34Z,790000,,,0,,SUB in: A. Reaves,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M22.00S,2022-10-23T19:54:36.9Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,10,9,2022-10-23T20:01:37Z,800000,,,0,,Jump Ball L. James vs. J. Hart: Tip to R. Westbrook,"[201566, 2544, 1628404]",1610612747.0,LAL,unclearpass,R. Westbrook,201566.0,Westbrook,R. Westbrook,James,2544.0,Hart,1628404.0,,,,,,,,,,,,,,,,,,,,,,
83,PT06M18.00S,2022-10-23T19:54:41.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],201566,83.36070959264126,22.303921568627445,1610612747,12,9,2022-10-23T19:57:47Z,830000,-138.0,104.0,1,right,R. Westbrook 17' bank Jump Shot (5 PTS),[201566],1610612747.0,LAL,bank,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left Center,17.31,Made,,,,,5.0,,,,,,,,,,,,,
84,PT06M12.00S,2022-10-23T19:54:50.2Z,1,REGULAR,foul,offensive,[],203081,,,1610612757,12,9,2022-10-23T19:55:29Z,840000,,,0,,D. Lillard offensive FOUL (1 PF),"[203081, 201566]",1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2530.0,1.0,0.0,Westbrook,201566.0,,,
86,PT06M12.00S,2022-10-23T19:54:50.2Z,1,REGULAR,turnover,offensive foul,[],203081,,,1610612757,12,9,2022-10-23T19:55:29Z,860000,,,0,,D. Lillard offensive foul TURNOVER (2 TO),[203081],1610612757.0,POR,,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,2530.0,,,,,2.0,,
