actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
16,PT10M20.00S,2023-01-25T03:09:12.6Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,6,2023-01-25T03:09:15Z,150000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,In The Paint (Non-RA),8-16 Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M11.00S,2023-01-25T03:09:21.8Z,1,REGULAR,3pt,Jump Shot,[],202331,69.82588699080158,36.274509803921575,1610612746,0,9,2023-01-25T03:09:32Z,160000,False,-69.0,231.0,1,right,P. George 24' 3PT step back (3 PTS),[202331],1610612746.0,LAC,step back,,,George,P. George,,,,,Above the Break 3,24+ Center,24.11,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M11.00S,2023-01-25T03:09:30.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,0,9,2023-01-25T03:09:30Z,170000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M01.00S,2023-01-25T03:13:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203471,7.013797634691201,43.13725490196079,1610612747,0,9,2023-01-25T03:13:05Z,180000,False,34.0,13.0,1,left,MISS D. Schroder driving Layup,[203471],1610612747.0,LAL,driving,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,,,,
20,PT09M58.00S,2023-01-25T03:13:04.4Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,9,2023-01-25T03:13:05Z,190000,False,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,
21,PT09M40.00S,2023-01-25T03:13:21.2Z,1,REGULAR,2pt,Jump Shot,[],202331,92.95335085413929,24.509803921568633,1610612746,0,9,2023-01-25T03:13:25Z,200000,False,-127.0,14.0,1,right,MISS P. George 12' turnaround fadeaway Shot,[202331],1610612746.0,LAC,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Left,12.82,Missed,,,,,,,,,,,,,,,,,,
22,PT09M38.00S,2023-01-25T03:13:23.2Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,9,2023-01-25T03:13:25Z,210000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M33.00S,2023-01-25T03:13:30.6Z,1,REGULAR,turnover,out-of-bounds,[],1628418,,,1610612747,0,9,2023-01-25T03:13:41Z,220000,False,,,0,,T. Bryant lost ball out-of-bounds TURNOVER (1 TO),[1628418],1610612747.0,LAL,lost ball,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,,
25,PT09M07.00S,2023-01-25T03:14:19.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,93.61038107752957,84.31372549019608,1610612746,0,9,2023-01-25T03:14:26Z,240000,False,172.0,8.0,1,right,MISS P. George 17' fadeaway Shot,[202331],1610612746.0,LAC,fadeaway,,,George,P. George,,,,,Mid-Range,16-24 Right,17.18,Missed,,,,,,,,,,,,,,,,,,
26,PT09M02.00S,2023-01-25T03:14:23.8Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,0,9,2023-01-25T03:14:23Z,250000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Right,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT09M00.00S,2023-01-25T03:14:30.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",2544,7.145203679369246,53.18627450980392,1610612747,2,9,2023-01-25T03:14:37Z,260000,False,-16.0,15.0,1,left,L. James running Layup (2 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,2.17,Made,2.0,,,,,,,,,,,,,,,,,
28,PT09M00.00S,2023-01-25T03:14:34.0Z,1,REGULAR,foul,personal,['1freethrow'],202331,,,1610612747,2,9,2023-01-25T03:14:41Z,270000,False,,,0,,P. George shooting personal FOUL (1 PF) (James 1 FT),"[202331, 2544]",1610612746.0,LAC,shooting,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,James,2544.0,,,,
30,PT09M00.00S,2023-01-25T03:14:59.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],2544,,,1610612747,3,9,2023-01-25T03:14:59Z,290000,False,,,0,,L. James Free Throw 1 of 1 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
31,PT08M50.00S,2023-01-25T03:15:13.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,90.98226018396846,48.774509803921575,1610612746,3,11,2023-01-25T03:15:17Z,300000,False,-6.0,32.0,1,right,P. George driving Layup (5 PTS),[202331],1610612746.0,LAC,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,3.29,Made,5.0,,,,,,,,,,,,,,,,,
32,PT08M38.00S,2023-01-25T03:15:24.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628972,17.000657030223394,58.82352941176471,1610612747,5,11,2023-01-25T03:15:30Z,310000,False,-44.0,107.0,1,left,T. Brown Jr. 11' fadeaway Jump Shot (2 PTS),[1628972],1610612747.0,LAL,fadeaway,,,Brown Jr.,T. Brown Jr.,,,,,In The Paint (Non-RA),8-16 Center,11.6,Made,2.0,,,,,,,,,,,,,,,,,
33,PT08M19.00S,2023-01-25T03:15:45.9Z,1,REGULAR,foul,personal,['2freethrow'],1628972,,,1610612746,5,11,2023-01-25T03:15:52Z,320000,False,,,0,,T. Brown Jr. shooting personal FOUL (1 PF) (George 2 FT),"[1628972, 202331]",1610612747.0,LAL,shooting,,,Brown Jr.,T. Brown Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,201246.0,1.0,0.0,George,202331.0,,,,
35,PT08M19.00S,2023-01-25T03:16:14.4Z,1,REGULAR,freethrow,1 of 2,[],202331,,,1610612746,5,12,2023-01-25T03:16:14Z,340000,False,,,0,,P. George Free Throw 1 of 2 (6 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
36,PT08M19.00S,2023-01-25T03:16:32.5Z,1,REGULAR,freethrow,2 of 2,[],202331,,,1610612746,5,13,2023-01-25T03:16:32Z,350000,False,,,0,,P. George Free Throw 2 of 2 (7 PTS),[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
37,PT08M06.00S,2023-01-25T03:16:46.0Z,1,REGULAR,turnover,bad pass,[],1628418,,,1610612747,5,13,2023-01-25T03:17:17Z,360000,False,,,0,,T. Bryant bad pass TURNOVER (2 TO),"[1628418, 1629611]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,2.0,,,,,,Mann,1629611.0,,
38,PT08M06.00S,2023-01-25T03:16:46.0Z,1,REGULAR,steal,,[],1629611,,,1610612746,5,13,2023-01-25T03:16:48Z,370000,False,,,0,,T. Mann STEAL (1 STL),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
39,PT08M03.00S,2023-01-25T03:16:49.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",202331,92.0335085413929,55.14705882352941,1610612746,5,15,2023-01-25T03:17:33Z,380000,False,26.0,22.0,1,right,P. George running DUNK (9 PTS) (T. Mann 1 AST),"[202331, 1629611]",1610612746.0,LAC,running,,,George,P. George,,,,,Restricted Area,0-8 Center,3.41,Made,9.0,,,,,T. Mann,1629611.0,1.0,,,,,,,,,,
41,PT07M51.00S,2023-01-25T03:17:01.3Z,1,REGULAR,3pt,Jump Shot,[],201976,11.300919842312751,95.81035539215686,1610612747,8,15,2023-01-25T03:17:07Z,400000,False,-229.0,54.0,1,left,P. Beverley 3PT  (3 PTS) (L. James 1 AST),"[201976, 2544]",1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Left Corner 3,24+ Left,23.53,Made,3.0,,,,,L. James,2544.0,1.0,,,,,,,,,,
43,PT07M32.00S,2023-01-25T03:17:19.5Z,1,REGULAR,2pt,Jump Shot,[],202695,80.46977660972405,73.77450980392157,1610612746,8,17,2023-01-25T03:17:24Z,420000,False,119.0,131.0,1,right,K. Leonard 17' pullup Jump Shot (6 PTS),[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Mid-Range,16-24 Right Center,17.7,Made,6.0,,,,,,,,,,,,,,,,,
44,PT07M16.00S,2023-01-25T03:17:36.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628418,8.459264126149804,53.18627450980392,1610612747,10,17,2023-01-25T03:17:40Z,430000,False,-16.0,27.0,1,left,T. Bryant cutting DUNK (2 PTS) (T. Brown Jr. 1 AST),"[1628418, 1628972]",1610612747.0,LAL,cutting,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,3.13,Made,2.0,,,,,T. Brown Jr.,1628972.0,1.0,,,,,,,,,,
46,PT06M57.00S,2023-01-25T03:17:57.1Z,1,REGULAR,3pt,Jump Shot,[],202695,70.61432325886992,77.20588235294117,1610612746,10,17,2023-01-25T03:18:22Z,450000,False,136.0,224.0,1,right,MISS K. Leonard 26' pullup 3PT,[202695],1610612746.0,LAC,pullup,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,26.18,Missed,,,,,,,,,,,,,,,,,,
48,PT06M56.00S,2023-01-25T03:17:58.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612747,10,17,2023-01-25T03:18:22Z,470000,False,,,0,,TEAM defensive REBOUND,[],1610612747.0,LAL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,46.0,,,,,,,,,,,,,,,,
50,PT06M56.00S,2023-01-25T03:18:03.4Z,1,REGULAR,substitution,out,[],201976,,,1610612747,10,17,2023-01-25T03:18:09Z,490000,False,,,0,,SUB out: P. Beverley,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M56.00S,2023-01-25T03:18:03.4Z,1,REGULAR,substitution,in,[],201566,,,1610612747,10,17,2023-01-25T03:18:09Z,500000,False,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M46.00S,2023-01-25T03:18:26.5Z,1,REGULAR,3pt,Jump Shot,[],2544,30.535479632063073,30.14705882352942,1610612747,13,17,2023-01-25T03:19:30Z,510000,False,99.0,235.0,1,left,L. James 25' 3PT pullup (6 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Above the Break 3,24+ Right Center,25.47,Made,6.0,,,,,,,,,,,,,,,,,
53,PT06M30.00S,2023-01-25T03:18:40.9Z,1,REGULAR,3pt,Jump Shot,[],202331,72.05978975032852,82.59803921568627,1610612746,13,20,2023-01-25T03:18:45Z,520000,False,163.0,210.0,1,right,P. George 26' 3PT pullup (12 PTS),[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.59,Made,12.0,,,,,,,,,,,,,,,,,
54,PT06M18.00S,2023-01-25T03:18:54.0Z,1,REGULAR,3pt,Jump Shot,[],2544,35.39750328515112,38.970588235294116,1610612747,13,20,2023-01-25T03:20:01Z,530000,False,55.0,280.0,1,left,MISS L. James 28' step back 3PT,[2544],1610612747.0,LAL,step back,,,James,L. James,,,,,Above the Break 3,24+ Center,28.56,Missed,,,,,,,,,,,,,,,,,,
55,PT06M14.00S,2023-01-25T03:18:58.0Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,13,20,2023-01-25T03:18:59Z,540000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,,,,54.0,1.0,1.0,0.0,,,,,,,,,,,,,
56,PT06M04.00S,2023-01-25T03:19:06.9Z,1,REGULAR,3pt,Jump Shot,[],202694,70.08869908015768,24.264705882352942,1610612746,13,20,2023-01-25T03:19:12Z,550000,False,-129.0,229.0,1,right,MISS M. Morris Sr. 26' 3PT,[202694],1610612746.0,LAC,,,,Morris Sr.,M. Morris Sr.,,,,,Above the Break 3,24+ Left Center,26.24,Missed,,,,,,,,,,,,,,,,,,
57,PT06M01.00S,2023-01-25T03:19:09.9Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,13,20,2023-01-25T03:19:12Z,560000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Above the Break 3,24+ Left Center,,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,
58,PT05M53.00S,2023-01-25T03:19:18.5Z,1,REGULAR,2pt,Jump Shot,[],201566,20.02299605781866,75.98039215686275,1610612747,13,20,2023-01-25T03:19:22Z,570000,False,-130.0,136.0,1,left,MISS R. Westbrook 18' pullup Shot,[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Left Center,18.79,Missed,,,,,,,,,,,,,,,,,,
59,PT05M50.00S,2023-01-25T03:19:21.5Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,13,20,2023-01-25T03:19:22Z,580000,False,,,0,,P. George REBOUND (Off:0 Def:2),[202331],1610612746.0,LAC,,,,George,P. George,,,,,Mid-Range,16-24 Left Center,,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,
60,PT05M45.00S,2023-01-25T03:19:25.9Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612746,13,20,2023-01-25T03:19:29Z,590000,False,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 203471]",1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,,,,,,Schroder,203471.0,,
61,PT05M45.00S,2023-01-25T03:19:25.9Z,1,REGULAR,steal,,[],203471,,,1610612747,13,20,2023-01-25T03:23:44Z,600000,False,,,0,,D. Schroder STEAL (1 STL),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
62,PT05M41.00S,2023-01-25T03:19:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203471,7.670827858081481,49.50980392156863,1610612747,15,20,2023-01-25T03:19:35Z,610000,False,2.0,20.0,1,left,D. Schroder running Layup (2 PTS),[203471],1610612747.0,LAL,running,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,1.98,Made,2.0,,,,,,,,,,,,,,,,,
63,PT05M18.00S,2023-01-25T03:19:52.7Z,1,REGULAR,3pt,Jump Shot,[],202695,72.58541392904074,80.63725490196079,1610612746,15,20,2023-01-25T03:19:58Z,620000,False,153.0,205.0,1,right,MISS K. Leonard 25' 3PT,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.61,Missed,,,,,,,,,,,,,,,,,,
64,PT05M14.00S,2023-01-25T03:19:56.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,15,20,2023-01-25T03:19:58Z,630000,False,,,0,,L. James REBOUND (Off:0 Def:2),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,,
65,PT05M08.00S,2023-01-25T03:20:03.2Z,1,REGULAR,3pt,Jump Shot,[],1628972,30.14126149802891,30.882352941176478,1610612747,15,20,2023-01-25T03:22:26Z,640000,False,96.0,231.0,1,left,MISS T. Brown Jr. 24' pullup 3PT,[1628972],1610612747.0,LAL,pullup,,,Brown Jr.,T. Brown Jr.,,,,,Above the Break 3,24+ Right Center,24.98,Missed,,,,,,,,,,,,,,,,,,
66,PT05M06.00S,2023-01-25T03:20:05.2Z,1,REGULAR,rebound,defensive,[],1629611,,,1610612746,15,20,2023-01-25T03:20:10Z,650000,False,,,0,,T. Mann REBOUND (Off:0 Def:1),[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,,,,65.0,1.0,1.0,0.0,,,,,,,,,,,,,
67,PT04M55.00S,2023-01-25T03:20:16.7Z,1,REGULAR,3pt,Jump Shot,[],202331,68.1750985545335,59.290747549019606,1610612746,15,20,2023-01-25T03:20:22Z,660000,False,46.0,247.0,1,right,MISS P. George 25' 3PT,[202331],1610612746.0,LAC,,,,George,P. George,,,,,Above the Break 3,24+ Center,25.1,Missed,,,,,,,,,,,,,,,,,,
68,PT04M52.00S,2023-01-25T03:20:19.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,15,20,2023-01-25T03:20:22Z,670000,False,,,0,,L. James REBOUND (Off:0 Def:3),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Center,,,,67.0,3.0,3.0,0.0,,,,,,,,,,,,,
69,PT04M43.00S,2023-01-25T03:20:28.7Z,1,REGULAR,2pt,Jump Shot,[],203471,21.994086727989497,71.32352941176471,1610612747,17,20,2023-01-25T03:20:35Z,680000,False,-107.0,154.0,1,left,D. Schroder 18' pullup Jump Shot (4 PTS),[203471],1610612747.0,LAL,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Left Center,18.75,Made,4.0,,,,,,,,,,,,,,,,,
70,PT04M42.00S,2023-01-25T03:20:36.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612746,17,20,2023-01-25T03:20:36Z,690000,False,,,0,,LAC Timeout,[],1610612746.0,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,out,[],1628972,,,1610612746,17,20,2023-01-25T03:23:47Z,700000,False,,,0,,SUB out: T. Brown Jr.,[1628972],1610612747.0,LAL,,,,Brown Jr.,T. Brown Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,out,[],1628418,,,1610612746,17,20,2023-01-25T03:23:47Z,710000,False,,,0,,SUB out: T. Bryant,[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,out,[],202331,,,1610612746,17,20,2023-01-25T03:23:47Z,720000,False,,,0,,SUB out: P. George,[202331],1610612746.0,LAC,,,,George,P. George,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,out,[],1629611,,,1610612746,17,20,2023-01-25T03:23:47Z,730000,False,,,0,,SUB out: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,in,[],1631108,,,1610612746,17,20,2023-01-25T03:23:47Z,740000,False,,,0,,SUB in: M. Christie,[1631108],1610612747.0,LAL,,,,Christie,M. Christie,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,in,[],1629117,,,1610612746,17,20,2023-01-25T03:23:47Z,750000,False,,,0,,SUB in: W. Gabriel,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,in,[],201587,,,1610612746,17,20,2023-01-25T03:23:47Z,760000,False,,,0,,SUB in: N. Batum,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT04M42.00S,2023-01-25T03:23:33.0Z,1,REGULAR,substitution,in,[],1626181,,,1610612746,17,20,2023-01-25T03:23:47Z,770000,False,,,0,,SUB in: N. Powell,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT04M19.00S,2023-01-25T03:24:17.1Z,1,REGULAR,2pt,Jump Shot,[],202694,79.15571616294349,67.64705882352942,1610612746,17,20,2023-01-25T03:24:20Z,780000,False,88.0,143.0,1,right,MISS M. Morris Sr. 16' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,16-24 Right Center,16.84,Missed,,,,,,,,,,,,,,,,,,
80,PT04M16.00S,2023-01-25T03:24:20.1Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,17,20,2023-01-25T03:24:20Z,790000,False,,,0,,L. James REBOUND (Off:0 Def:4),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Right Center,,,,79.0,4.0,4.0,0.0,,,,,,,,,,,,,
82,PT04M11.00S,2023-01-25T03:24:25.9Z,1,REGULAR,foul,personal,['2freethrow'],201587,,,1610612747,17,20,2023-01-25T03:24:35Z,810000,False,,,0,,N. Batum shooting personal FOUL (1 PF) (Gabriel 2 FT),"[201587, 1629117]",1610612746.0,LAC,shooting,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,2882.0,1.0,0.0,Gabriel,1629117.0,,,,
84,PT04M11.00S,2023-01-25T03:24:57.5Z,1,REGULAR,freethrow,1 of 2,[],1629117,,,1610612747,17,20,2023-01-25T03:24:57Z,830000,False,,,0,,MISS W. Gabriel Free Throw 1 of 2,[1629117],1610612747.0,LAL,,,,Gabriel,W. Gabriel,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
