actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
16,PT10M44.00S,2023-01-07T03:42:11.9Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,7,2,2023-01-07T03:42:11Z,160000,False,,,0,,T. Bryant REBOUND (Off:0 Def:1),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Restricted Area,0-8 Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M43.00S,2023-01-07T03:42:12.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629308,93.47897503285151,50.245098039215684,1610612747,9,2,2023-01-07T03:42:20Z,170000,False,1.0,9.0,1,right,J. Toscano-Anderson running reverse Layup (2 PTS) (L. James 1 AST),"[1629308, 2544]",1610612747.0,LAL,running reverse,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,L. James,2544.0,1.0,,,,,,,,,,,,,,
19,PT10M34.00S,2023-01-07T03:42:23.2Z,1,REGULAR,turnover,out-of-bounds,[],1629027,,,1610612737,9,2,2023-01-07T03:42:29Z,190000,False,,,0,,T. Young bad pass out-of-bounds TURNOVER (1 TO),[1629027],1610612737.0,ATL,bad pass,,,Young,T. Young,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1628159.0,1.0,,,,,,
20,PT10M20.00S,2023-01-07T03:43:04.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",203471,92.69053876478318,40.931372549019606,1610612747,9,2,2023-01-07T03:43:10Z,200000,False,-45.0,16.0,1,right,MISS D. Schroder driving floating Shot,[203471],1610612747.0,LAL,driving floating,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,4.81,Missed,,,,,,,,,,,,,,,,,,
21,PT10M17.00S,2023-01-07T03:43:07.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,9,2,2023-01-07T03:43:10Z,210000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT10M09.00S,2023-01-07T03:43:16.9Z,1,REGULAR,turnover,out-of-bounds,[],1629631,,,1610612737,9,2,2023-01-07T03:43:25Z,220000,False,,,0,,D. Hunter bad pass out-of-bounds TURNOVER (1 TO),[1629631],1610612737.0,ATL,bad pass,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1628159.0,1.0,,,,,,
23,PT10M05.00S,2023-01-07T03:43:28.5Z,1,REGULAR,foul,personal,[],1629631,,,1610612747,9,2,2023-01-07T03:43:36Z,230000,False,,,0,,D. Hunter personal FOUL (1 PF),"[1629631, 2544]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,1628159.0,,1.0,0.0,James,2544.0,,
25,PT09M55.00S,2023-01-07T03:43:52.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],2544,82.57227332457293,78.92156862745098,1610612747,9,2,2023-01-07T03:43:56Z,250000,False,145.0,111.0,1,right,MISS L. James 18' fadeaway Shot,[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,Mid-Range,16-24 Right Center,18.25,Missed,,,,,,,,,,,,,,,,,,
26,PT09M52.00S,2023-01-07T03:43:55.6Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,9,2,2023-01-07T03:43:56Z,260000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,16-24 Right Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M45.00S,2023-01-07T03:44:02.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,18.84034165571616,40.931372549019606,1610612737,9,4,2023-01-07T03:44:06Z,270000,False,45.0,125.0,1,left,D. Murray 13' pullup Jump Shot (4 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,13.26,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M27.00S,2023-01-07T03:44:20.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,9,4,2023-01-07T03:44:25Z,280000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1630168]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,1.0,,,,,Okongwu,1630168.0
29,PT09M27.00S,2023-01-07T03:44:20.9Z,1,REGULAR,steal,,[],1630168,,,1610612737,9,4,2023-01-07T03:44:23Z,290000,False,,,0,,O. Okongwu STEAL (1 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
30,PT09M17.00S,2023-01-07T03:44:31.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,21.20565045992116,28.92156862745098,1610612737,9,6,2023-01-07T03:44:35Z,300000,False,105.0,147.0,1,left,D. Murray 18' pullup Jump Shot (6 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,18.07,Made,6.0,,,,,,,,,,,,,,,,,
31,PT09M03.00S,2023-01-07T03:44:44.7Z,1,REGULAR,3pt,Jump Shot,[],203471,72.45400788436268,17.892156862745097,1610612747,12,6,2023-01-07T03:44:49Z,310000,False,-161.0,206.0,1,right,D. Schroder 26' 3PT  (5 PTS) (L. James 2 AST),"[203471, 2544]",1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,26.15,Made,5.0,L. James,2544.0,2.0,,,,,,,,,,,,,,
33,PT08M53.00S,2023-01-07T03:44:54.7Z,1,REGULAR,2pt,Jump Shot,[],1627749,19.628777923784497,70.58823529411765,1610612737,12,6,2023-01-07T03:44:58Z,330000,False,-103.0,132.0,1,left,MISS D. Murray 16' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,16.74,Missed,,,,,,,,,,,,,,,,,,
34,PT08M51.00S,2023-01-07T03:44:56.7Z,1,REGULAR,rebound,defensive,[],1629308,,,1610612747,12,6,2023-01-07T03:44:58Z,340000,False,,,0,,J. Toscano-Anderson REBOUND (Off:0 Def:1),[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,Mid-Range,16-24 Left Center,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT08M38.00S,2023-01-07T03:45:09.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],2544,91.72141918528253,60.17156862745098,1610612747,12,6,2023-01-07T03:45:15Z,350000,False,51.0,25.0,1,right,MISS L. James driving bank Shot,[2544],1610612747.0,LAL,driving bank,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,5.68,Missed,,,,,,,,,,,,,,,,,,
36,PT08M35.00S,2023-01-07T03:45:12.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,12,6,2023-01-07T03:45:15Z,360000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,35.0,2.0,2.0,0.0,,,,,,,,
37,PT08M29.00S,2023-01-07T03:45:20.7Z,1,REGULAR,foul,personal,['2freethrow'],203471,,,1610612737,12,6,2023-01-07T03:45:44Z,370000,False,,,0,,D. Schroder shooting personal FOUL (1 PF) (Collins 2 FT),"[203471, 1628381]",1610612747.0,LAL,shooting,,,Schroder,D. Schroder,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628159.0,,1.0,0.0,Collins,1628381.0,,
39,PT08M29.00S,2023-01-07T03:45:49.9Z,1,REGULAR,freethrow,1 of 2,[],1628381,,,1610612737,12,7,2023-01-07T03:45:49Z,390000,False,,,0,,J. Collins Free Throw 1 of 2 (1 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2023-01-07T03:46:07.3Z,1,REGULAR,freethrow,2 of 2,[],1628381,,,1610612737,12,8,2023-01-07T03:46:07Z,400000,False,,,0,,J. Collins Free Throw 2 of 2 (2 PTS),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
41,PT08M08.00S,2023-01-07T03:46:28.0Z,1,REGULAR,3pt,Jump Shot,[],201976,69.56307490144546,17.64705882352942,1610612747,12,8,2023-01-07T03:46:32Z,410000,False,-162.0,234.0,1,right,MISS P. Beverley 28' 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,28.42,Missed,,,,,,,,,,,,,,,,,,
42,PT08M06.00S,2023-01-07T03:46:30.0Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,12,8,2023-01-07T03:46:32Z,420000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,41.0,1.0,1.0,0.0,,,,,,,,
43,PT08M00.00S,2023-01-07T03:46:36.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630168,8.984888304862025,51.71568627450981,1610612737,12,10,2023-01-07T03:46:41Z,430000,False,-9.0,32.0,1,left,O. Okongwu cutting DUNK (2 PTS) (J. Collins 1 AST),"[1630168, 1628381]",1610612737.0,ATL,cutting,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,3.31,Made,2.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
46,PT07M46.00S,2023-01-07T03:46:49.5Z,1,REGULAR,2pt,Jump Shot,[],1628418,74.4250985545335,54.16666666666667,1610612747,14,10,2023-01-07T03:46:55Z,460000,False,21.0,188.0,1,right,T. Bryant 18' Jump Shot (5 PTS) (P. Beverley 1 AST),"[1628418, 201976]",1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Center,18.9,Made,5.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,
48,PT07M35.00S,2023-01-07T03:47:01.3Z,1,REGULAR,2pt,Jump Shot,[],1629027,20.811432325886997,34.55882352941177,1610612737,14,10,2023-01-07T03:47:06Z,480000,False,77.0,143.0,1,left,MISS T. Young 16' pullup Shot,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Mid-Range,16-24 Right Center,16.26,Missed,,,,,,,,,,,,,,,,,,
49,PT07M31.00S,2023-01-07T03:47:05.3Z,1,REGULAR,rebound,defensive,[],1628418,,,1610612747,14,10,2023-01-07T03:48:00Z,490000,False,,,0,,T. Bryant REBOUND (Off:0 Def:2),[1628418],1610612747.0,LAL,,,,Bryant,T. Bryant,,,,,Mid-Range,16-24 Right Center,,,,,,,,,48.0,2.0,2.0,0.0,,,,,,,,
50,PT07M28.00S,2023-01-07T03:47:10.6Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612747,14,10,2023-01-07T03:47:19Z,500000,False,,,0,,J. Collins shooting personal FOUL (1 PF) (James 2 FT),"[1628381, 2544]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,201246.0,,1.0,0.0,James,2544.0,,
52,PT07M28.00S,2023-01-07T03:47:40.7Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,15,10,2023-01-07T03:48:02Z,520000,False,,,0,,L. James Free Throw 1 of 2 (1 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
53,PT07M28.00S,2023-01-07T03:47:40.7Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,15,10,2023-01-07T03:48:02Z,530000,False,,,0,,MISS L. James Free Throw 2 of 2,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
54,PT07M25.00S,2023-01-07T03:47:43.7Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,15,10,2023-01-07T03:48:02Z,540000,False,,,0,,D. Hunter REBOUND (Off:0 Def:2),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,53.0,2.0,2.0,0.0,,,,,,,,
55,PT07M16.00S,2023-01-07T03:48:09.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,32.37516425755584,45.34313725490197,1610612737,15,13,2023-01-07T03:48:15Z,550000,False,23.0,252.0,1,left,D. Murray 25' 3PT pullup (9 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.29,Made,9.0,,,,,,,,,,,,,,,,,
56,PT06M57.00S,2023-01-07T03:48:28.9Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,15,13,2023-01-07T03:49:04Z,560000,False,,,0,,L. James bad pass TURNOVER (2 TO),"[2544, 1630168]",1610612747.0,LAL,,,,James,L. James,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,2.0,,,,,Okongwu,1630168.0
57,PT06M57.00S,2023-01-07T03:48:28.9Z,1,REGULAR,steal,,[],1630168,,,1610612737,15,13,2023-01-07T03:48:31Z,570000,False,,,0,,O. Okongwu STEAL (2 STL),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
58,PT06M55.00S,2023-01-07T03:49:08.0Z,1,REGULAR,turnover,out-of-bounds,[],1627749,,,1610612737,15,13,2023-01-07T03:49:22Z,580000,False,,,0,,D. Murray lost ball out-of-bounds TURNOVER (1 TO),[1627749],1610612737.0,ATL,lost ball,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,1.0,,,,,,
59,PT06M55.00S,2023-01-07T03:49:16.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,15,13,2023-01-07T03:49:16Z,590000,False,,,0,,LAL Timeout,[],1610612747.0,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M55.00S,2023-01-07T03:51:11.3Z,1,REGULAR,substitution,out,[],1629308,,,1610612747,15,13,2023-01-07T03:51:32Z,600000,False,,,0,,SUB out: J. Toscano-Anderson,[1629308],1610612747.0,LAL,,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M55.00S,2023-01-07T03:51:11.3Z,1,REGULAR,substitution,out,[],1629027,,,1610612747,15,13,2023-01-07T03:51:32Z,610000,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M55.00S,2023-01-07T03:51:11.3Z,1,REGULAR,substitution,in,[],201566,,,1610612747,15,13,2023-01-07T03:51:32Z,620000,False,,,0,,SUB in: R. Westbrook,[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M55.00S,2023-01-07T03:51:11.3Z,1,REGULAR,substitution,in,[],203992,,,1610612747,15,13,2023-01-07T03:51:32Z,630000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M40.00S,2023-01-07T03:51:54.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203471,83.09789750328515,4.901960784313729,1610612747,18,13,2023-01-07T03:52:00Z,640000,False,-225.0,106.0,1,right,D. Schroder 24' 3PT  (8 PTS) (R. Westbrook 1 AST),"[203471, 201566]",1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Left Center,24.93,Made,8.0,R. Westbrook,201566.0,1.0,,,,,,,,,,,,,,
66,PT06M16.00S,2023-01-07T03:52:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,8.853482260183966,47.05882352941176,1610612737,18,13,2023-01-07T03:52:21Z,660000,False,15.0,31.0,1,left,MISS J. Collins driving Layup,[1628381],1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,,
67,PT06M14.00S,2023-01-07T03:52:19.7Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,18,13,2023-01-07T03:52:21Z,670000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,,,,66.0,1.0,1.0,0.0,,,,,,,,
68,PT06M10.00S,2023-01-07T03:52:23.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",2544,90.71944809461235,49.754901960784316,1610612747,20,13,2023-01-07T03:52:32Z,680000,False,-1.0,35.0,1,right,L. James running Layup (3 PTS),[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,3.47,Made,3.0,,,,,,,,,,,,,,,,,
69,PT05M57.00S,2023-01-07T03:52:37.5Z,1,REGULAR,2pt,Jump Shot,[],1629631,21.994086727989497,49.754901960784316,1610612737,20,15,2023-01-07T03:52:42Z,690000,False,1.0,154.0,1,left,D. Hunter 15' pullup Jump Shot (2 PTS) (D. Murray 1 AST),"[1629631, 1627749]",1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Center,15.42,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
71,PT05M42.00S,2023-01-07T03:52:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201566,85.85742444152432,53.431372549019606,1610612747,22,15,2023-01-07T03:52:57Z,710000,False,17.0,80.0,1,right,R. Westbrook 8' fadeaway Jump Shot (2 PTS),[201566],1610612747.0,LAL,fadeaway,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,8.22,Made,2.0,,,,,,,,,,,,,,,,,
72,PT05M28.00S,2023-01-07T03:53:05.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,10.430354796320628,50.49019607843137,1610612737,22,15,2023-01-07T03:53:10Z,720000,False,-2.0,46.0,1,left,MISS D. Murray driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.56,Missed,,,,,,,,,,,,,,,,,,
73,PT05M25.00S,2023-01-07T03:53:08.4Z,1,REGULAR,rebound,offensive,[],1630168,,,1610612737,22,15,2023-01-07T03:53:08Z,730000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,72.0,2.0,1.0,1.0,,,,,,,,
74,PT05M25.00S,2023-01-07T03:53:08.4Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630168,5.590000152587891,50.0,1610612737,22,17,2023-01-07T03:53:12Z,740000,False,0.0,0.0,1,left,O. Okongwu tip Layup (4 PTS),[1630168],1610612737.0,ATL,tip,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,0.0,Made,4.0,,,,,,,,,,,,,,,,,
75,PT05M03.00S,2023-01-07T03:53:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203471,83.62352168199737,53.67647058823529,1610612747,22,17,2023-01-07T03:53:33Z,750000,False,18.0,101.0,1,right,MISS D. Schroder 10' driving floating Shot,[203471],1610612747.0,LAL,driving floating,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),8-16 Center,10.31,Missed,,,,,,,,,,,,,,,,,,
76,PT05M01.00S,2023-01-07T03:53:32.3Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,22,17,2023-01-07T03:53:33Z,760000,False,,,0,,O. Okongwu REBOUND (Off:1 Def:2),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,75.0,3.0,2.0,1.0,,,,,,,,
77,PT04M50.00S,2023-01-07T03:53:44.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,27.644546649145866,17.40196078431373,1610612737,22,17,2023-01-07T03:53:47Z,770000,False,163.0,207.0,1,left,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.38,Missed,,,,,,,,,,,,,,,,,,
78,PT04M48.00S,2023-01-07T03:53:46.2Z,1,REGULAR,rebound,defensive,[],201976,,,1610612747,22,17,2023-01-07T03:53:47Z,780000,False,,,0,,P. Beverley REBOUND (Off:0 Def:2),[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Right Center,,,,,,,,,77.0,2.0,2.0,0.0,,,,,,,,
79,PT04M32.00S,2023-01-07T03:54:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628418,88.74835742444152,50.245098039215684,1610612747,24,17,2023-01-07T03:54:07Z,790000,False,1.0,53.0,1,right,T. Bryant driving floating Jump Shot (7 PTS) (P. Beverley 2 AST),"[1628418, 201976]",1610612747.0,LAL,driving floating,,,Bryant,T. Bryant,,,,,In The Paint (Non-RA),0-8 Center,5.33,Made,7.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,
81,PT04M14.00S,2023-01-07T03:54:19.3Z,1,REGULAR,2pt,Jump Shot,[],1629631,20.154402102496718,69.36274509803921,1610612737,24,17,2023-01-07T03:54:22Z,810000,False,-97.0,137.0,1,left,MISS D. Hunter 16' pullup Shot,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left Center,16.77,Missed,,,,,,,,,,,,,,,,,,
