actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
18,PT10M27.00S,2024-11-18T00:12:15.6Z,1,REGULAR,3pt,Jump Shot,[],1629023,72.7496714848883,81.12745098039215,1610612742,2,11,2024-11-18T00:12:19Z,180000,False,156.0,204.0,1,right,P. Washington 25' 3PT  (8 PTS) (D. Lively II 1 AST),"[1629023, 1641726]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.63,Made,8.0,,,,,D. Lively II,1641726.0,1.0,,,,,,,,,,
20,PT10M14.00S,2024-11-18T00:12:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,7.178055190538765,52.20588235294118,1610612760,2,11,2024-11-18T00:13:49Z,200000,False,-11.0,15.0,1,left,MISS A. Wiggins cutting Layup - blocked,"[1630598, 202691]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.86,Missed,,,,,,,,,Thompson,202691.0,,,,,,,,
21,PT10M14.00S,2024-11-18T00:12:29.8Z,1,REGULAR,block,,[],202691,,,1610612760,2,11,2024-11-18T00:12:33Z,210000,False,,,0,,K. Thompson BLOCK (1 BLK),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2024-11-18T00:12:31.8Z,1,REGULAR,rebound,offensive,[],1630598,,,1610612760,2,11,2024-11-18T00:13:49Z,220000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT10M06.00S,2024-11-18T00:12:38.7Z,1,REGULAR,turnover,out-of-bounds,[],1629652,,,1610612760,2,11,2024-11-18T00:12:52Z,230000,False,,,0,,L. Dort lost ball out-of-bounds TURNOVER (1 TO),[1629652],1610612760.0,OKC,lost ball,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,200834.0,1.0,,,,,,
24,PT09M54.00S,2024-11-18T00:12:53.8Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629023,90.48948751642575,46.32352941176471,1610612742,2,11,2024-11-18T00:14:24Z,240000,False,-18.0,37.0,1,right,MISS P. Washington driving Hook,[1629023],1610612742.0,DAL,driving,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,4.12,Missed,,,,,,,,,,,,,,,,,,
25,PT09M52.00S,2024-11-18T00:12:55.8Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,2,11,2024-11-18T00:12:58Z,250000,False,,,0,,P. Washington REBOUND (Off:1 Def:2),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,,,,24.0,3.0,2.0,1.0,,,,,,,,,,,,,
26,PT09M47.00S,2024-11-18T00:13:01.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1629656,92.72339027595268,43.38235294117647,1610612742,2,11,2024-11-18T00:15:34Z,260000,False,-33.0,16.0,1,right,MISS Q. Grimes driving finger roll Layup,[1629656],1610612742.0,DAL,driving finger roll,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
27,PT09M46.00S,2024-11-18T00:13:02.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,2,11,2024-11-18T00:15:34Z,270000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,26.0,,,,,,,,,,,,,,,,
28,PT09M46.00S,2024-11-18T00:13:05.0Z,1,REGULAR,foul,personal,[],1641726,,,1610612760,2,11,2024-11-18T00:19:14Z,280000,False,,,0,,D. Lively II loose ball personal FOUL (1 PF),"[1641726, 1629652]",1610612742.0,DAL,loose ball,,,Lively II,D. Lively II,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,,1.0,0.0,Dort,1629652.0,,
30,PT09M31.00S,2024-11-18T00:13:32.2Z,1,REGULAR,turnover,bad pass,[],1630598,,,1610612760,2,11,2024-11-18T00:14:03Z,300000,False,,,0,,A. Wiggins bad pass TURNOVER (1 TO),"[1630598, 202691]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,1.0,,,,,Thompson,202691.0
31,PT09M31.00S,2024-11-18T00:13:32.2Z,1,REGULAR,steal,,[],202691,,,1610612742,2,11,2024-11-18T00:13:33Z,310000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
32,PT09M29.00S,2024-11-18T00:13:34.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,74.98357424441524,14.460784313725492,1610612742,2,11,2024-11-18T00:13:44Z,320000,False,-178.0,183.0,1,right,MISS K. Thompson 25' running pullup 3PT,[202691],1610612742.0,DAL,running pullup,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.49,Missed,,,,,,,,,,,,,,,,,,
33,PT09M26.00S,2024-11-18T00:13:37.3Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,2,11,2024-11-18T00:13:37Z,330000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,,,,32.0,1.0,1.0,0.0,,,,,,,,,,,,,
34,PT09M21.00S,2024-11-18T00:13:44.8Z,1,REGULAR,foul,personal,['2freethrow'],202681,,,1610612760,2,11,2024-11-18T00:14:13Z,340000,False,,,0,,K. Irving shooting personal FOUL (1 PF) (Wiggins 2 FT),"[202681, 1630598]",1610612742.0,DAL,shooting,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,200834.0,,1.0,0.0,Wiggins,1630598.0,,
36,PT09M21.00S,2024-11-18T00:14:13.8Z,1,REGULAR,freethrow,1 of 2,[],1630598,,,1610612760,3,11,2024-11-18T00:14:31Z,360000,False,,,0,,A. Wiggins Free Throw 1 of 2 (1 PTS),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
37,PT09M21.00S,2024-11-18T00:14:13.8Z,1,REGULAR,freethrow,2 of 2,[],1630598,,,1610612760,3,11,2024-11-18T00:14:31Z,370000,False,,,0,,MISS A. Wiggins Free Throw 2 of 2,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M20.00S,2024-11-18T00:14:14.8Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612742,3,11,2024-11-18T00:17:36Z,380000,False,,,0,,P. Washington REBOUND (Off:1 Def:3),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,37.0,4.0,3.0,1.0,,,,,,,,,,,,,
39,PT09M09.00S,2024-11-18T00:14:40.2Z,1,REGULAR,3pt,Jump Shot,[],1629656,82.60512483574244,96.32352941176471,1610612742,3,11,2024-11-18T00:14:47Z,390000,False,232.0,111.0,1,right,MISS Q. Grimes 25' 3PT,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,,,,,,,,,,,,,,,,,
40,PT09M03.00S,2024-11-18T00:14:46.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,3,11,2024-11-18T00:14:47Z,400000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Right Center,,,,39.0,1.0,1.0,0.0,,,,,,,,,,,,,
41,PT08M55.00S,2024-11-18T00:14:53.4Z,1,REGULAR,2pt,Jump Shot,[],1628983,15.719448094612352,79.16666666666666,1610612760,5,11,2024-11-18T00:14:57Z,410000,False,-146.0,95.0,1,left,S. Gilgeous-Alexander 17' step back Jump Shot (2 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left,17.42,Made,2.0,,,,,,,,,,,,,,,,,
42,PT08M42.00S,2024-11-18T00:15:06.1Z,1,REGULAR,3pt,Jump Shot,[],1629023,78.26872536136662,93.13725490196079,1610612742,5,14,2024-11-18T00:15:10Z,420000,False,216.0,152.0,1,right,P. Washington 26' 3PT  (11 PTS) (K. Irving 2 AST),"[1629023, 202681]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,26.38,Made,11.0,,,,,K. Irving,202681.0,2.0,,,,,,,,,,
44,PT08M34.00S,2024-11-18T00:15:16.9Z,1,REGULAR,foul,personal,[],1641726,,,1610612760,5,14,2024-11-18T00:15:23Z,440000,False,,,0,,D. Lively II personal FOUL (2 PF),"[1641726, 1628983]",1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,1627526.0,,2.0,0.0,Gilgeous-Alexander,1628983.0,,
46,PT08M34.00S,2024-11-18T00:15:38.0Z,1,REGULAR,substitution,out,[],1641726,,,1610612760,5,14,2024-11-18T00:15:47Z,460000,False,,,0,,SUB out: D. Lively II,[1641726],1610612742.0,DAL,,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M34.00S,2024-11-18T00:15:38.0Z,1,REGULAR,substitution,in,[],1629655,,,1610612760,5,14,2024-11-18T00:15:47Z,470000,False,,,0,,SUB in: D. Gafford,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M27.00S,2024-11-18T00:15:52.8Z,1,REGULAR,3pt,Jump Shot,[],1629652,11.251642575558476,4.411764705882353,1610612760,8,14,2024-11-18T00:15:58Z,480000,False,228.0,53.0,1,left,L. Dort 3PT  (3 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Right Corner 3,24+ Right,23.4,Made,3.0,,,,,,,,,,,,,,,,,
50,PT08M15.00S,2024-11-18T00:16:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,91.5407358738502,48.28431372549019,1610612742,8,14,2024-11-18T01:02:58Z,500000,False,-9.0,27.0,1,right,MISS D. Gafford cutting Layup - blocked,"[1629655, 1630198]",1610612742.0,DAL,cutting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,2.83,Missed,,,,,,,,,Joe,1630198.0,,,,,,,,
51,PT08M15.00S,2024-11-18T00:16:07.2Z,1,REGULAR,block,,[],1630198,,,1610612742,8,14,2024-11-18T00:16:09Z,510000,False,,,0,,I. Joe BLOCK (1 BLK),[1630198],1610612760.0,OKC,,,,Joe,I. Joe,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
52,PT08M13.00S,2024-11-18T00:16:09.2Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,8,14,2024-11-18T00:20:48Z,520000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,50.0,2.0,1.0,1.0,,,,,,,,,,,,,
53,PT08M04.00S,2024-11-18T00:16:15.1Z,1,REGULAR,3pt,Jump Shot,[],1630198,4.418528252299605,96.07843137254902,1610612760,11,14,2024-11-18T00:21:17Z,530000,False,-230.0,-11.0,1,left,I. Joe 3PT  (3 PTS) (J. Williams 1 AST),"[1630198, 1631114]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Left Corner 3,24+ Left,23.07,Made,3.0,,,,,J. Williams,1631114.0,1.0,,,,,,,,,,
55,PT07M53.00S,2024-11-18T00:16:27.9Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612742,11,14,2024-11-18T00:17:00Z,550000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Gafford 2 FT),"[1631114, 1629655]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627526.0,,1.0,0.0,Gafford,1629655.0,,
57,PT07M53.00S,2024-11-18T00:17:01.0Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612742,11,14,2024-11-18T00:17:30Z,570000,False,,,0,,MISS D. Gafford Free Throw 1 of 2,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
58,PT07M53.00S,2024-11-18T00:17:01.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612742,11,14,2024-11-18T00:17:30Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,
59,PT07M53.00S,2024-11-18T00:17:01.0Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612742,11,14,2024-11-18T00:17:30Z,590000,False,,,0,,MISS D. Gafford Free Throw 2 of 2,[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
60,PT07M52.00S,2024-11-18T00:17:02.0Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,11,14,2024-11-18T00:24:09Z,600000,False,,,0,,P. Washington REBOUND (Off:2 Def:3),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,,,59.0,5.0,3.0,2.0,,,,,,,,,,,,,
61,PT07M51.00S,2024-11-18T00:17:26.6Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629023,94.40999984741211,50.0,1610612742,11,14,2024-11-18T00:22:09Z,610000,False,0.0,0.0,1,right,MISS P. Washington tip Layup,[1629023],1610612742.0,DAL,tip,,,Washington,P. Washington,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
62,PT07M50.00S,2024-11-18T00:17:27.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612742,11,14,2024-11-18T00:22:09Z,620000,False,,,0,,TEAM offensive REBOUND,[],1610612742.0,DAL,,,,,,,,,,Restricted Area,0-8 Center,,,,61.0,,,,,,,,,,,,,,,,
64,PT07M49.00S,2024-11-18T00:17:46.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202691,96.66557161629436,84.06862745098039,1610612742,11,14,2024-11-18T00:17:56Z,640000,False,170.0,-21.0,1,right,MISS K. Thompson 17' fadeaway Shot,[202691],1610612742.0,DAL,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Right,17.16,Missed,,,,,,,,,,,,,,,,,,
65,PT07M47.00S,2024-11-18T00:17:48.9Z,1,REGULAR,rebound,defensive,[],1629652,,,1610612760,11,14,2024-11-18T01:04:19Z,650000,False,,,0,,L. Dort REBOUND (Off:0 Def:1),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right,,,,64.0,1.0,1.0,0.0,,,,,,,,,,,,,
66,PT07M40.00S,2024-11-18T00:17:56.6Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612760,11,14,2024-11-18T00:18:09Z,660000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Dort 2 FT),"[1629655, 1629652]",1610612742.0,DAL,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627526.0,,1.0,0.0,Dort,1629652.0,,
68,PT07M40.00S,2024-11-18T00:18:28.8Z,1,REGULAR,freethrow,1 of 2,[],1629652,,,1610612760,11,14,2024-11-18T00:18:28Z,680000,False,,,0,,MISS L. Dort Free Throw 1 of 2,[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
69,PT07M40.00S,2024-11-18T00:18:28.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,11,14,2024-11-18T00:18:28Z,690000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,
70,PT07M40.00S,2024-11-18T00:18:29.6Z,1,REGULAR,substitution,out,[],1629656,,,1610612760,11,14,2024-11-18T00:18:33Z,700000,False,,,0,,SUB out: Q. Grimes,[1629656],1610612742.0,DAL,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT07M40.00S,2024-11-18T00:18:29.6Z,1,REGULAR,substitution,in,[],1630702,,,1610612760,11,14,2024-11-18T00:18:33Z,710000,False,,,0,,SUB in: J. Hardy,[1630702],1610612742.0,DAL,,,,Hardy,J. Hardy,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT07M40.00S,2024-11-18T00:18:51.9Z,1,REGULAR,freethrow,2 of 2,[],1629652,,,1610612760,12,14,2024-11-18T00:18:51Z,720000,False,,,0,,L. Dort Free Throw 2 of 2 (4 PTS),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
73,PT07M32.00S,2024-11-18T00:19:04.2Z,1,REGULAR,violation,kicked ball,[],1628983,,,1610612742,12,14,2024-11-18T00:19:10Z,730000,False,,,0,,S. Gilgeous-Alexander kicked ball VIOLATION,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,,,,,,,200834.0,,,,,,,
74,PT07M21.00S,2024-11-18T00:19:21.4Z,1,REGULAR,3pt,Jump Shot,[],202691,95.6143232588699,96.81372549019608,1610612742,12,14,2024-11-18T00:24:01Z,740000,False,234.0,-11.0,1,right,MISS K. Thompson pullup 3PT,[202691],1610612742.0,DAL,pullup,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
75,PT07M17.00S,2024-11-18T00:19:25.4Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,12,14,2024-11-18T00:19:25Z,750000,False,,,0,,J. Williams REBOUND (Off:0 Def:2),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Right Corner 3,24+ Right,,,,74.0,2.0,2.0,0.0,,,,,,,,,,,,,
76,PT07M10.00S,2024-11-18T00:19:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,4.681340341655716,47.794117647058826,1610612760,14,14,2024-11-18T00:24:30Z,760000,False,11.0,-8.0,1,left,S. Gilgeous-Alexander driving reverse Layup (4 PTS),[1628983],1610612760.0,OKC,driving reverse,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.39,Made,4.0,,,,,,,,,,,,,,,,,
77,PT07M10.00S,2024-11-18T00:19:35.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612742,14,14,2024-11-18T00:19:35Z,770000,False,,,0,,DAL Timeout,[],1610612742.0,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M55.00S,2024-11-18T00:22:47.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630702,93.9060446780552,53.18627450980392,1610612742,14,16,2024-11-18T00:22:51Z,780000,False,16.0,5.0,1,right,J. Hardy driving finger roll Layup (2 PTS),[1630702],1610612742.0,DAL,driving finger roll,,,Hardy,J. Hardy,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,,,,,,,,,,,,,,,,,
79,PT06M36.00S,2024-11-18T00:23:06.3Z,1,REGULAR,turnover,bad pass,[],1631114,,,1610612760,14,16,2024-11-18T00:23:09Z,790000,False,,,0,,J. Williams bad pass TURNOVER (1 TO),"[1631114, 202691]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,,,,,Thompson,202691.0
80,PT06M36.00S,2024-11-18T00:23:06.3Z,1,REGULAR,steal,,[],202691,,,1610612742,14,16,2024-11-18T00:25:41Z,800000,False,,,0,,K. Thompson STEAL (2 STL),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
81,PT06M31.00S,2024-11-18T00:23:13.9Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612742,14,16,2024-11-18T00:23:23Z,810000,False,,,0,,J. Williams shooting personal FOUL (2 PF) (Washington 2 FT),"[1631114, 1629023]",1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1627526.0,,2.0,0.0,Washington,1629023.0,,
83,PT06M31.00S,2024-11-18T00:23:39.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1629023,,,1610612742,14,17,2024-11-18T00:25:53Z,830000,False,,,0,,P. Washington Free Throw 1 of 2 (12 PTS),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
84,PT06M31.00S,2024-11-18T00:23:40.5Z,1,REGULAR,substitution,out,[],1631114,,,1610612742,14,17,2024-11-18T00:23:50Z,840000,False,,,0,,SUB out: J. Williams,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PT06M31.00S,2024-11-18T00:23:40.5Z,1,REGULAR,substitution,in,[],1641717,,,1610612742,14,17,2024-11-18T00:23:50Z,850000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PT06M31.00S,2024-11-18T00:23:39.8Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', 'fastbreak']",1629023,,,1610612742,14,18,2024-11-18T00:25:53Z,860000,False,,,0,,P. Washington Free Throw 2 of 2 (13 PTS),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
