actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
415,PT06M04.00S,2025-03-20T01:35:26.1Z,3,REGULAR,freethrow,1 of 2,['fromturnover'],1631119,,,1610612760,84,64,2025-03-20T01:35:26Z,4120000,False,,,0,,J. Williams Free Throw 1 of 2 (12 PTS),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,12.0,,,,,,,,,,,,,,,,,
416,PT06M04.00S,2025-03-20T01:35:33.9Z,3,REGULAR,substitution,out,[],1631096,,,1610612760,84,64,2025-03-20T01:35:38Z,4130000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
417,PT06M04.00S,2025-03-20T01:35:33.9Z,3,REGULAR,substitution,in,[],1642382,,,1610612760,84,64,2025-03-20T01:35:38Z,4140000,False,,,0,,SUB in: B. Carlson,[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,,,,,,,,,,,,,,,,,,,,,,
418,PT06M04.00S,2025-03-20T01:35:51.8Z,3,REGULAR,freethrow,2 of 2,['fromturnover'],1631119,,,1610612760,85,64,2025-03-20T01:35:51Z,4150000,False,,,0,,J. Williams Free Throw 2 of 2 (13 PTS),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,Made,13.0,,,,,,,,,,,,,,,,,
419,PT05M51.00S,2025-03-20T01:36:06.4Z,3,REGULAR,turnover,lost ball,[],1629656,,,1610612755,85,64,2025-03-20T01:36:09Z,4160000,False,,,0,,Q. Grimes lost ball TURNOVER (3 TO),"[1629656, 1631119]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,3.0,,,,,Williams,1631119.0,,
420,PT05M51.00S,2025-03-20T01:36:06.4Z,3,REGULAR,steal,,[],1631119,,,1610612760,85,64,2025-03-20T01:36:07Z,4170000,False,,,0,,J. Williams STEAL (2 STL),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
421,PT05M45.00S,2025-03-20T01:36:12.1Z,3,REGULAR,turnover,lost ball,[],1631119,,,1610612760,85,64,2025-03-20T03:40:13Z,4180000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631119, 1627824]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,Yabusele,1627824.0,,
422,PT05M45.00S,2025-03-20T01:36:12.1Z,3,REGULAR,steal,,[],1627824,,,1610612755,85,64,2025-03-20T01:37:43Z,4190000,False,,,0,,G. Yabusele STEAL (1 STL),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
423,PT05M40.00S,2025-03-20T01:36:16.3Z,3,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642348,4.944152431011826,52.20588235294118,1610612755,85,66,2025-03-20T01:37:24Z,4200000,False,-11.0,-6.0,1,left,J. Edwards running alley-oop Layup (14 PTS) (J. Hood-Schifino 3 AST),"[1642348, 1641720]",1610612755.0,PHI,running alley-oop,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,1.25,Made,14.0,J. Hood-Schifino,1641720.0,3.0,,,,,,,,,,,,,,
426,PT05M22.00S,2025-03-20T01:36:54.1Z,3,REGULAR,3pt,Jump Shot,[],1630198,79.84559789750328,8.333333333333332,1610612760,88,66,2025-03-20T01:36:59Z,4230000,False,-208.0,137.0,1,right,I. Joe 24' 3PT  (18 PTS) (K. Williams 1 AST),"[1630198, 1629026]",1610612760.0,OKC,,,,Joe,I. Joe,,,,,Above the Break 3,24+ Left Center,24.93,Made,18.0,K. Williams,1629026.0,1.0,,,,,,,,,,,,,,
428,PT05M03.00S,2025-03-20T01:37:13.1Z,3,REGULAR,foul,personal,['2freethrow'],1642382,,,1610612755,88,66,2025-03-20T01:37:22Z,4250000,False,,,0,,B. Carlson shooting personal FOUL (2 PF) (Grimes 2 FT),"[1642382, 1629656]",1610612760.0,OKC,shooting,,,Carlson,B. Carlson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628951.0,,2.0,0.0,Grimes,1629656.0,,,,
430,PT05M03.00S,2025-03-20T01:37:39.9Z,3,REGULAR,freethrow,1 of 2,[],1629656,,,1610612755,88,66,2025-03-20T01:37:39Z,4270000,False,,,0,,MISS Q. Grimes Free Throw 1 of 2,[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
431,PT05M03.00S,2025-03-20T01:37:39.9Z,3,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,88,66,2025-03-20T01:37:39Z,4280000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,430.0,,,,,,,,,,,,,
432,PT05M03.00S,2025-03-20T01:37:40.5Z,3,REGULAR,substitution,out,[],1642348,,,1610612755,88,66,2025-03-20T01:37:55Z,4290000,False,,,0,,SUB out: J. Edwards,[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,
