actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
22,PT10M34.00S,2025-02-04T01:12:27.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628983,6.258212877792378,49.754901960784316,1610612760,7,4,2025-02-04T01:12:31Z,220000,False,1.0,6.0,1,left,S. Gilgeous-Alexander driving DUNK (2 PTS),[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,0.64,Made,2.0,,,,,,,,,,,,,,,,,
23,PT10M20.00S,2025-02-04T01:12:41.4Z,1,REGULAR,turnover,bad pass,[],1641753,,,1610612749,7,4,2025-02-04T01:12:45Z,230000,False,,,0,,C. Livingston bad pass TURNOVER (1 TO),"[1641753, 1629652]",1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1.0,Dort,1629652.0,,,,,
24,PT10M20.00S,2025-02-04T01:12:41.4Z,1,REGULAR,steal,,[],1629652,,,1610612760,7,4,2025-02-04T01:12:43Z,240000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
25,PT10M08.00S,2025-02-04T01:12:55.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628983,7.5722733245729295,51.71568627450981,1610612760,9,4,2025-02-04T01:14:24Z,250000,False,-9.0,19.0,1,left,S. Gilgeous-Alexander finger roll Layup (4 PTS),[1628983],1610612760.0,OKC,finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.06,Made,4.0,,,,,,,,,,,,,,,,,
26,PT10M08.00S,2025-02-04T01:12:57.1Z,1,REGULAR,foul,personal,['1freethrow'],1641748,,,1610612760,9,4,2025-02-04T01:13:09Z,260000,False,,,0,,A. Jackson Jr. shooting personal FOUL (1 PF) (Gilgeous-Alexander 1 FT),"[1641748, 1628983]",1610612749.0,MIL,shooting,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1628172.0,1.0,0.0,Gilgeous-Alexander,1628983.0
28,PT10M08.00S,2025-02-04T01:13:22.4Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1628983,,,1610612760,9,4,2025-02-04T01:13:28Z,280000,False,,,0,,MISS S. Gilgeous-Alexander Free Throw 1 of 1,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT10M06.00S,2025-02-04T01:13:24.4Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,9,4,2025-02-04T01:13:28Z,290000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,,,,,,28.0,,,,2.0,1.0,1.0,,,,,,,,,,
30,PT10M03.00S,2025-02-04T01:13:28.8Z,1,REGULAR,turnover,out-of-bounds,[],1628392,,,1610612760,9,4,2025-02-04T01:13:39Z,300000,False,,,0,,I. Hartenstein lost ball out-of-bounds TURNOVER (1 TO),[1628392],1610612760.0,OKC,lost ball,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,1.0,,,2714.0,,,,
31,PT09M52.00S,2025-02-04T01:13:45.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,73.27529566360053,82.59803921568627,1610612749,9,4,2025-02-04T01:13:50Z,310000,False,163.0,199.0,1,right,MISS A. Green 25' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,25.7,Missed,,,,,,,,,,,,,,,,,,
32,PT09M49.00S,2025-02-04T01:13:48.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,9,4,2025-02-04T01:13:50Z,320000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,31.0,,,,3.0,2.0,1.0,,,,,,,,,,
33,PT09M42.00S,2025-02-04T01:13:56.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628392,5.995400788436268,48.77450980392157,1610612760,9,4,2025-02-04T01:14:01Z,330000,False,6.0,4.0,1,left,MISS I. Hartenstein cutting DUNK - blocked,"[1628392, 1631157]",1610612760.0,OKC,cutting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.72,Missed,,,,,,,,,Rollins,1631157.0,,,,,,,,
34,PT09M42.00S,2025-02-04T01:13:56.4Z,1,REGULAR,block,,[],1631157,,,1610612760,9,4,2025-02-04T01:13:59Z,340000,False,,,0,,R. Rollins BLOCK (1 BLK),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
35,PT09M42.00S,2025-02-04T01:13:56.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,9,4,2025-02-04T01:14:01Z,350000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Restricted Area,0-8 Center,,,,33.0,,,,,,,,,,,,,,,,
37,PT09M39.00S,2025-02-04T01:14:11.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628983,5.469776609724048,52.450980392156865,1610612760,11,4,2025-02-04T01:15:30Z,370000,False,-12.0,-1.0,1,left,S. Gilgeous-Alexander cutting finger roll Layup (6 PTS) (K. Williams 1 AST),"[1628983, 1629026]",1610612760.0,OKC,cutting finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.23,Made,6.0,,K. Williams,1629026.0,1.0,,,,,,,,,,,,,
39,PT09M27.00S,2025-02-04T01:14:23.5Z,1,REGULAR,3pt,Jump Shot,[],1641753,79.45137976346912,8.333333333333332,1610612749,11,4,2025-02-04T01:14:27Z,390000,False,-208.0,141.0,1,right,MISS C. Livingston 25' 3PT,[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Above the Break 3,24+ Left Center,25.14,Missed,,,,,,,,,,,,,,,,,,
40,PT09M23.00S,2025-02-04T01:14:27.5Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,11,4,2025-02-04T01:14:27Z,400000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,39.0,,,,1.0,1.0,0.0,,,,,,,,,,
41,PT09M12.00S,2025-02-04T01:14:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,5.601182654402102,54.41176470588235,1610612760,11,4,2025-02-04T01:15:55Z,410000,False,-22.0,0.0,1,left,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,2.21,Missed,,,,,,,,,,,,,,,,,,
42,PT09M11.00S,2025-02-04T01:14:39.1Z,1,REGULAR,rebound,defensive,[],1641753,,,1610612749,11,4,2025-02-04T01:14:40Z,420000,False,,,0,,C. Livingston REBOUND (Off:0 Def:1),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Restricted Area,0-8 Center,,,,41.0,,,,1.0,1.0,0.0,,,,,,,,,,
43,PT09M05.00S,2025-02-04T01:14:45.4Z,1,REGULAR,turnover,bad pass,[],1641748,,,1610612749,11,4,2025-02-04T01:14:52Z,430000,False,,,0,,A. Jackson Jr. bad pass TURNOVER (1 TO),"[1641748, 1629026]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,1.0,Williams,1629026.0,,,,,
44,PT09M05.00S,2025-02-04T01:14:45.4Z,1,REGULAR,steal,,[],1629026,,,1610612760,11,4,2025-02-04T01:14:47Z,440000,False,,,0,,K. Williams STEAL (1 STL),[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
45,PT09M01.00S,2025-02-04T01:14:50.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629652,5.863994743758213,47.30392156862745,1610612760,13,4,2025-02-04T01:16:31Z,450000,False,13.0,3.0,1,left,L. Dort running Layup (5 PTS) (K. Williams 2 AST),"[1629652, 1629026]",1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,1.37,Made,5.0,,K. Williams,1629026.0,2.0,,,,,,,,,,,,,
47,PT09M01.00S,2025-02-04T01:14:53.9Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,13,4,2025-02-04T01:14:53Z,470000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M41.00S,2025-02-04T01:17:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631157,87.59855453350855,34.80392156862745,1610612749,13,6,2025-02-04T01:18:20Z,480000,False,-76.0,64.0,1,right,R. Rollins 9' driving floating Jump Shot (4 PTS),[1631157],1610612749.0,MIL,driving floating,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Left,9.94,Made,4.0,,,,,,,,,,,,,,,,,
49,PT08M20.00S,2025-02-04T01:18:18.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630598,19.136005256241788,48.77450980392157,1610612760,15,6,2025-02-04T01:18:22Z,490000,False,6.0,127.0,1,left,A. Wiggins 12' turnaround fadeaway Jump Shot (4 PTS),[1630598],1610612760.0,OKC,turnaround fadeaway,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,12.75,Made,4.0,,,,,,,,,,,,,,,,,
50,PT08M06.00S,2025-02-04T01:18:33.4Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,15,6,2025-02-04T01:18:37Z,500000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1628392]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,1.0,Hartenstein,1628392.0,,,,,
51,PT08M06.00S,2025-02-04T01:18:33.4Z,1,REGULAR,steal,,[],1628392,,,1610612760,15,6,2025-02-04T01:18:35Z,510000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
52,PT08M03.00S,2025-02-04T01:18:36.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628392,6.389618922470433,50.73529411764706,1610612760,17,6,2025-02-04T01:18:45Z,520000,False,-4.0,8.0,1,left,I. Hartenstein running DUNK (2 PTS),[1628392],1610612760.0,OKC,running,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,0.85,Made,2.0,,,,,,,,,,,,,,,,,
53,PT07M47.00S,2025-02-04T01:18:51.8Z,1,REGULAR,3pt,Jump Shot,[],1641748,93.51182654402102,96.07843137254902,1610612749,17,9,2025-02-04T01:18:56Z,530000,False,230.0,8.0,1,right,A. Jackson Jr. 3PT  (3 PTS) (T. Prince 2 AST),"[1641748, 1627752]",1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.06,Made,3.0,,T. Prince,1627752.0,2.0,,,,,,,,,,,,,
55,PT07M36.00S,2025-02-04T01:19:05.5Z,1,REGULAR,foul,personal,['2freethrow'],1627752,,,1610612760,17,9,2025-02-04T01:19:11Z,550000,False,,,0,,T. Prince shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1627752, 1628983]",1610612749.0,MIL,shooting,,,Prince,T. Prince,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,202901.0,1.0,0.0,Gilgeous-Alexander,1628983.0
57,PT07M36.00S,2025-02-04T01:19:28.3Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,18,9,2025-02-04T01:19:28Z,570000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (7 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
58,PT07M36.00S,2025-02-04T01:19:42.2Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,19,9,2025-02-04T01:19:42Z,580000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (8 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,8.0,,,,,,,,,,,,,,,,,
59,PT07M29.00S,2025-02-04T01:19:56.4Z,1,REGULAR,foul,personal,[],1628983,,,1610612749,19,9,2025-02-04T01:20:02Z,590000,False,,,0,,S. Gilgeous-Alexander personal FOUL (1 PF),"[1628983, 1631157]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Rollins,1631157.0
61,PT07M23.00S,2025-02-04T01:20:14.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641753,92.32917214191852,51.71568627450981,1610612749,19,9,2025-02-04T01:20:22Z,610000,False,9.0,20.0,1,right,MISS C. Livingston Layup - blocked,"[1641753, 1628392]",1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Restricted Area,0-8 Center,2.14,Missed,,,,,,,,,Hartenstein,1628392.0,,,,,,,,
62,PT07M23.00S,2025-02-04T01:20:14.1Z,1,REGULAR,block,,[],1628392,,,1610612749,19,9,2025-02-04T01:20:58Z,620000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
63,PT07M21.00S,2025-02-04T01:20:16.1Z,1,REGULAR,rebound,offensive,[],1641748,,,1610612749,19,9,2025-02-04T01:20:46Z,630000,False,,,0,,A. Jackson Jr. REBOUND (Off:1 Def:0),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,61.0,,,,1.0,0.0,1.0,,,,,,,,,,
64,PT07M21.00S,2025-02-04T01:20:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641748,93.24901445466492,49.754901960784316,1610612749,19,11,2025-02-04T01:29:52Z,640000,False,-1.0,11.0,1,right,A. Jackson Jr. tip Layup (5 PTS),[1641748],1610612749.0,MIL,tip,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,1.11,Made,5.0,,,,,,,,,,,,,,,,,
65,PT07M08.00S,2025-02-04T01:20:28.8Z,1,REGULAR,3pt,Jump Shot,[],1628983,23.47240473061761,87.25490196078431,1610612760,22,11,2025-02-04T01:20:33Z,650000,False,-186.0,168.0,1,left,S. Gilgeous-Alexander 25' 3PT step back (11 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,25.09,Made,11.0,,,,,,,,,,,,,,,,,
66,PT06M51.00S,2025-02-04T01:20:47.5Z,1,REGULAR,foul,personal,[],1629026,,,1610612749,22,11,2025-02-04T01:21:13Z,660000,False,,,0,,K. Williams personal FOUL (1 PF),"[1629026, 1631260]",1610612760.0,OKC,,,,Williams,K. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,1628172.0,1.0,0.0,Green,1631260.0
68,PT06M51.00S,2025-02-04T01:20:54.4Z,1,REGULAR,substitution,out,[],1629026,,,1610612749,22,11,2025-02-04T01:20:57Z,680000,False,,,0,,SUB out: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PT06M51.00S,2025-02-04T01:20:54.4Z,1,REGULAR,substitution,in,[],1631172,,,1610612749,22,11,2025-02-04T01:20:57Z,690000,False,,,0,,SUB in: O. Dieng,[1631172],1610612760.0,OKC,,,,Dieng,O. Dieng,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M39.00S,2025-02-04T01:21:17.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627752,91.67214191852825,63.970588235294116,1610612749,22,11,2025-02-04T01:21:48Z,700000,False,70.0,26.0,1,right,MISS T. Prince 7' driving floating Shot,[1627752],1610612749.0,MIL,driving floating,,,Prince,T. Prince,,,,,In The Paint (Non-RA),0-8 Center,7.45,Missed,,,,,,,,,,,,,,,,,,
71,PT06M36.00S,2025-02-04T01:21:20.3Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,22,11,2025-02-04T01:21:22Z,710000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:3),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,70.0,,,,4.0,3.0,1.0,,,,,,,,,,
72,PT06M28.00S,2025-02-04T01:21:29.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.091327201051248,35.294117647058826,1610612760,22,11,2025-02-04T01:22:09Z,720000,False,74.0,71.0,1,left,MISS S. Gilgeous-Alexander 10' driving floating Shot,[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Right,10.19,Missed,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2025-02-04T01:21:30.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,22,11,2025-02-04T01:21:35Z,730000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,72.0,,,,,,,,,,,,,,,,
75,PT06M27.00S,2025-02-04T01:21:33.9Z,1,REGULAR,substitution,out,[],1641748,,,1610612749,22,11,2025-02-04T01:21:49Z,750000,False,,,0,,SUB out: A. Jackson Jr.,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M27.00S,2025-02-04T01:21:33.9Z,1,REGULAR,substitution,in,[],1629018,,,1610612749,22,11,2025-02-04T01:21:49Z,760000,False,,,0,,SUB in: G. Trent Jr.,[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M14.00S,2025-02-04T01:22:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,93.51182654402102,52.69607843137255,1610612749,22,11,2025-02-04T01:45:45Z,770000,False,13.0,8.0,1,right,MISS R. Rollins driving finger roll Layup,[1631157],1610612749.0,MIL,driving finger roll,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,1.6,Missed,,,,,,,,,,,,,,,,,,
78,PT06M14.00S,2025-02-04T01:22:05.7Z,1,REGULAR,rebound,offensive,[],1641753,,,1610612749,22,11,2025-02-04T01:22:11Z,780000,False,,,0,,C. Livingston REBOUND (Off:1 Def:1),[1641753],1610612749.0,MIL,,,,Livingston,C. Livingston,,,,,Restricted Area,0-8 Center,,,,77.0,,,,2.0,1.0,1.0,,,,,,,,,,
79,PT06M14.00S,2025-02-04T01:22:09.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641753,94.40999984741211,50.0,1610612749,22,13,2025-02-04T01:22:09Z,790000,False,0.0,0.0,1,right,C. Livingston tip Layup (4 PTS),[1641753],1610612749.0,MIL,tip,,,Livingston,C. Livingston,,,,,Mid-Range,8-16 Left,0.0,Made,4.0,,,,,,,,,,,,,,,,,
80,PT06M14.00S,2025-02-04T01:22:10.2Z,1,REGULAR,foul,personal,['1freethrow'],1629652,,,1610612749,22,13,2025-02-04T01:22:18Z,800000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Livingston 1 FT),"[1629652, 1641753]",1610612760.0,OKC,shooting,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Livingston,1641753.0
