actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
15,PT10M54.00S,2025-03-22T00:12:09.6Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,0,0,2025-03-22T00:16:46Z,150000,False,,,0,,I. Hartenstein REBOUND (Off:1 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,14.0,2.0,1.0,1.0,,,,,,,,,,
16,PT10M54.00S,2025-03-22T00:12:17.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628392,94.40999984741211,50.0,1610612760,0,0,2025-03-22T00:12:17Z,160000,False,0.0,0.0,1,right,MISS I. Hartenstein tip Layup,[1628392],1610612760.0,OKC,tip,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,0.0,Missed,,,,,,,,,,,,,,,,
17,PT10M54.00S,2025-03-22T00:12:18.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,0,0,2025-03-22T00:12:18Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,16.0,,,,,,,,,,,,,
19,PT10M48.00S,2025-03-22T00:12:34.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628983,81.2910643889619,35.049019607843135,1610612760,2,0,2025-03-22T00:12:38Z,190000,False,-75.0,123.0,1,right,S. Gilgeous-Alexander 14' turnaround Jump Shot (2 PTS),[1628983],1610612760.0,OKC,turnaround,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Left,,,14.43,Made,,,,,,,2.0,,,,,,,,,
20,PT10M34.00S,2025-03-22T00:12:47.5Z,1,REGULAR,turnover,lost ball,[],1642354,,,1610612766,2,0,2025-03-22T00:12:51Z,200000,False,,,0,,K. Simpson lost ball TURNOVER (1 TO),"[1642354, 1641717]",1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,Above the Break 3,24+ Right Center,,1.0,,,,,,,,,,Wallace,1641717.0,,,,,,,
21,PT10M34.00S,2025-03-22T00:12:47.5Z,1,REGULAR,steal,,[],1641717,,,1610612760,2,0,2025-03-22T00:12:49Z,210000,False,,,0,,C. Wallace STEAL (1 STL),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2025-03-22T00:12:50.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641717,92.85479632063075,52.450980392156865,1610612760,4,0,2025-03-22T00:13:00Z,220000,False,12.0,15.0,1,right,C. Wallace running DUNK (2 PTS),[1641717],1610612760.0,OKC,running,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,1.92,Made,,,,,,,2.0,,,,,,,,,
23,PT10M15.00S,2025-03-22T00:13:06.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629610,14.4053876478318,36.51960784313725,1610612766,4,0,2025-03-22T00:16:53Z,230000,False,67.0,83.0,1,left,MISS D. Jeffries 10' driving Hook,[1629610],1610612766.0,CHA,driving,,,Jeffries,D. Jeffries,,,,,In The Paint (Non-RA),8-16 Right,,,10.68,Missed,,,,,,,,,,,,,,,,
24,PT10M14.00S,2025-03-22T00:13:09.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,4,0,2025-03-22T00:13:09Z,240000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,23.0,,,,,,,,,,,,,
26,PT10M01.00S,2025-03-22T00:13:29.5Z,1,REGULAR,foul,personal,['2freethrow'],1628970,,,1610612760,4,0,2025-03-22T00:13:35Z,260000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1628970, 1631096]",1610612766.0,CHA,shooting,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,1662.0,,,,,,,,,,,,,1.0,0.0,Holmgren,1631096.0,,,
28,PT10M01.00S,2025-03-22T00:13:58.5Z,1,REGULAR,freethrow,1 of 2,[],1631096,,,1610612760,4,0,2025-03-22T00:14:20Z,280000,False,,,0,,MISS C. Holmgren Free Throw 1 of 2,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
29,PT10M01.00S,2025-03-22T00:13:58.5Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612760,4,0,2025-03-22T00:14:20Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,
30,PT10M01.00S,2025-03-22T00:13:58.5Z,1,REGULAR,freethrow,2 of 2,[],1631096,,,1610612760,4,0,2025-03-22T00:14:20Z,300000,False,,,0,,MISS C. Holmgren Free Throw 2 of 2,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
31,PT09M58.00S,2025-03-22T00:14:01.5Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,4,0,2025-03-22T00:14:20Z,310000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,,,,,,
32,PT09M52.00S,2025-03-22T00:14:25.1Z,1,REGULAR,foul,personal,['2freethrow'],1628392,,,1610612766,4,0,2025-03-22T00:14:36Z,320000,False,,,0,,I. Hartenstein shooting personal FOUL (1 PF) (Bridges 2 FT),"[1628392, 1628970]",1610612760.0,OKC,shooting,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,1662.0,,,,,,,,,,,,,1.0,0.0,Bridges,1628970.0,,,
34,PT09M52.00S,2025-03-22T00:14:54.7Z,1,REGULAR,freethrow,1 of 2,[],1628970,,,1610612766,4,1,2025-03-22T00:14:54Z,340000,False,,,0,,M. Bridges Free Throw 1 of 2 (1 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,,,,,,,1.0,,,,,,,,,
35,PT09M52.00S,2025-03-22T00:15:06.3Z,1,REGULAR,freethrow,2 of 2,[],1628970,,,1610612766,4,2,2025-03-22T00:15:06Z,350000,False,,,0,,M. Bridges Free Throw 2 of 2 (2 PTS),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,Made,,,,,,,2.0,,,,,,,,,
36,PT09M44.00S,2025-03-22T00:15:16.1Z,1,REGULAR,3pt,Jump Shot,[],1630598,82.47371879106439,95.34313725490196,1610612760,7,2,2025-03-22T00:15:20Z,360000,False,227.0,112.0,1,right,A. Wiggins 25' 3PT  (3 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Right Center,,,25.29,Made,,,,,,,3.0,,,,,,,S. Gilgeous-Alexander,1628983.0,1.0
38,PT09M29.00S,2025-03-22T00:15:30.2Z,1,REGULAR,3pt,Jump Shot,[],1630182,6.521024967148489,3.1862745098039214,1610612766,7,2,2025-03-22T00:15:43Z,380000,False,234.0,9.0,1,left,MISS J. Green 3PT,[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,,,23.43,Missed,,,,,,,,,,,,,,,,
39,PT09M25.00S,2025-03-22T00:15:34.2Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,7,2,2025-03-22T00:20:44Z,390000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,
40,PT09M20.00S,2025-03-22T00:15:41.7Z,1,REGULAR,foul,personal,[],1628970,,,1610612760,7,2,2025-03-22T00:16:06Z,400000,False,,,0,,M. Bridges personal FOUL (2 PF),"[1628970, 1628983]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,1662.0,,,,,,,,,,,,,2.0,0.0,Gilgeous-Alexander,1628983.0,,,
42,PT09M20.00S,2025-03-22T00:15:57.2Z,1,REGULAR,substitution,out,[],1628970,,,1610612760,7,2,2025-03-22T00:16:01Z,420000,False,,,0,,SUB out: M. Bridges,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PT09M20.00S,2025-03-22T00:15:57.2Z,1,REGULAR,substitution,in,[],1631111,,,1610612760,7,2,2025-03-22T00:16:01Z,430000,False,,,0,,SUB in: W. Moore Jr.,[1631111],1610612766.0,CHA,,,,Moore Jr.,W. Moore Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT09M11.00S,2025-03-22T00:16:23.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628392,88.51839684625493,52.20588235294118,1610612760,7,2,2025-03-22T00:20:03Z,440000,False,11.0,55.0,1,right,MISS I. Hartenstein turnaround Hook,[1628392],1610612760.0,OKC,turnaround,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,5.65,Missed,,,,,,,,,,,,,,,,
45,PT09M06.00S,2025-03-22T00:16:28.0Z,1,REGULAR,rebound,defensive,[],203994,,,1610612766,7,2,2025-03-22T00:16:29Z,450000,False,,,0,,J. Nurkić REBOUND (Off:0 Def:2),[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,44.0,2.0,2.0,0.0,,,,,,,,,,
46,PT08M53.00S,2025-03-22T00:16:40.2Z,1,REGULAR,turnover,bad pass,[],1630182,,,1610612766,7,2,2025-03-22T00:16:50Z,460000,False,,,0,,J. Green bad pass TURNOVER (2 TO),"[1630182, 1630598]",1610612766.0,CHA,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,Wiggins,1630598.0,,,,,,,
47,PT08M53.00S,2025-03-22T00:16:40.2Z,1,REGULAR,steal,,[],1630598,,,1610612760,7,2,2025-03-22T00:16:41Z,470000,False,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
48,PT08M44.00S,2025-03-22T00:16:49.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628983,82.60512483574244,24.509803921568626,1610612760,7,2,2025-03-22T00:16:57Z,480000,False,-127.0,111.0,1,right,MISS S. Gilgeous-Alexander 16' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,16.9,Missed,,,,,,,,,,,,,,,,
49,PT08M39.00S,2025-03-22T00:16:54.8Z,1,REGULAR,rebound,defensive,[],1630182,,,1610612766,7,2,2025-03-22T00:16:57Z,490000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,,,,,48.0,1.0,1.0,0.0,,,,,,,,,,
50,PT08M32.00S,2025-03-22T00:17:01.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,5.469776609724048,46.32352941176471,1610612766,7,4,2025-03-22T00:21:23Z,500000,False,18.0,-1.0,1,left,J. Green driving reverse Layup (2 PTS),[1630182],1610612766.0,CHA,driving reverse,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,1.84,Made,,,,,,,2.0,,,,,,,,,
51,PT08M24.00S,2025-03-22T00:17:09.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641717,92.46057818659659,57.107843137254896,1610612760,7,4,2025-03-22T00:21:34Z,510000,False,36.0,18.0,1,right,MISS C. Wallace driving Layup,[1641717],1610612760.0,OKC,driving,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,4.0,Missed,,,,,,,,,,,,,,,,
52,PT08M19.00S,2025-03-22T00:17:14.7Z,1,REGULAR,rebound,offensive,[],1641717,,,1610612760,7,4,2025-03-22T00:17:16Z,520000,False,,,0,,C. Wallace REBOUND (Off:1 Def:0),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,,,,,51.0,1.0,0.0,1.0,,,,,,,,,,
53,PT08M19.00S,2025-03-22T00:17:19.3Z,1,REGULAR,turnover,lost ball,[],1641717,,,1610612760,7,4,2025-03-22T00:17:27Z,530000,False,,,0,,C. Wallace lost ball TURNOVER (1 TO),"[1641717, 1630182]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,In The Paint (Non-RA),0-8 Center,,1.0,,,,,,,,,,Green,1630182.0,,,,,,,
54,PT08M19.00S,2025-03-22T00:17:19.3Z,1,REGULAR,steal,,[],1630182,,,1610612766,7,4,2025-03-22T00:17:20Z,540000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
55,PT08M19.00S,2025-03-22T00:17:32.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612766,7,4,2025-03-22T00:17:32Z,550000,False,,,0,,CHA Timeout,[],1610612766.0,CHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT08M07.00S,2025-03-22T00:20:25.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203994,10.988830486202366,48.03921568627451,1610612766,7,4,2025-03-22T00:20:34Z,560000,False,10.0,51.0,1,left,MISS J. Nurkić Layup,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,In The Paint (Non-RA),0-8 Center,,,5.17,Missed,,,,,,,,,,,,,,,,
57,PT08M05.00S,2025-03-22T00:20:27.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612760,7,4,2025-03-22T00:20:34Z,570000,False,,,0,,TEAM defensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,56.0,,,,,,,,,,,,,
59,PT07M45.00S,2025-03-22T00:20:54.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,82.21090670170827,35.294117647058826,1610612760,9,4,2025-03-22T00:20:59Z,590000,False,-74.0,115.0,1,right,I. Hartenstein 13' floating Jump Shot (2 PTS) (C. Wallace 1 AST),"[1628392, 1641717]",1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Left,,,13.62,Made,,,,,,,2.0,,,,,,,C. Wallace,1641717.0,1.0
61,PT07M28.00S,2025-03-22T00:21:11.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,8.623521681997373,48.28431372549019,1610612766,9,4,2025-03-22T00:23:17Z,610000,False,9.0,29.0,1,left,MISS J. Nurkić driving Hook,[203994],1610612766.0,CHA,driving,,,Nurkić,J. Nurkić,,,,,Restricted Area,0-8 Center,,,2.99,Missed,,,,,,,,,,,,,,,,
62,PT07M26.00S,2025-03-22T00:21:13.4Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,9,4,2025-03-22T00:21:15Z,620000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:1),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,61.0,1.0,1.0,0.0,,,,,,,,,,
63,PT07M11.00S,2025-03-22T00:21:28.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,92.85479632063075,60.5392156862745,1610612760,9,4,2025-03-22T00:21:31Z,630000,False,53.0,15.0,1,right,MISS A. Wiggins driving Layup,[1630598],1610612760.0,OKC,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,5.47,Missed,,,,,,,,,,,,,,,,
64,PT07M09.00S,2025-03-22T00:21:29.7Z,1,REGULAR,rebound,offensive,[],1628392,,,1610612760,9,4,2025-03-22T00:21:29Z,640000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,63.0,3.0,1.0,2.0,,,,,,,,,,
65,PT07M06.00S,2025-03-22T00:21:33.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641717,73.14388961892247,83.08823529411765,1610612760,9,4,2025-03-22T00:21:37Z,650000,False,165.0,200.0,1,right,MISS C. Wallace 25' 3PT,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Right Center,,,25.95,Missed,,,,,,,,,,,,,,,,
66,PT07M02.00S,2025-03-22T00:21:37.1Z,1,REGULAR,rebound,defensive,[],1631111,,,1610612766,9,4,2025-03-22T00:21:37Z,660000,False,,,0,,W. Moore Jr. REBOUND (Off:0 Def:1),[1631111],1610612766.0,CHA,,,,Moore Jr.,W. Moore Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,65.0,1.0,1.0,0.0,,,,,,,,,,
67,PT06M50.00S,2025-03-22T00:21:48.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642354,7.30946123521682,40.19607843137255,1610612766,9,4,2025-03-22T00:24:16Z,670000,False,49.0,16.0,1,left,MISS K. Simpson driving floating Shot,[1642354],1610612766.0,CHA,driving floating,,,Simpson,K. Simpson,,,,,In The Paint (Non-RA),0-8 Center,,,5.16,Missed,,,,,,,,,,,,,,,,
68,PT06M48.00S,2025-03-22T00:21:50.8Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,9,4,2025-03-22T00:21:57Z,680000,False,,,0,,I. Hartenstein REBOUND (Off:2 Def:2),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,67.0,4.0,2.0,2.0,,,,,,,,,,
69,PT06M42.00S,2025-03-22T00:21:57.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628983,92.19776609724047,45.09803921568628,1610612760,11,4,2025-03-22T00:22:21Z,690000,False,-25.0,21.0,1,right,S. Gilgeous-Alexander running finger roll Layup (4 PTS),[1628983],1610612760.0,OKC,running finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,3.21,Made,,,,,,,4.0,,,,,,,,,
70,PT06M20.00S,2025-03-22T00:22:19.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630182,4.944152431011826,46.07843137254902,1610612766,11,6,2025-03-22T00:24:36Z,700000,False,20.0,-6.0,1,left,J. Green driving Layup (4 PTS),[1630182],1610612766.0,CHA,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,2.05,Made,,,,,,,4.0,,,,,,,,,
71,PT06M09.00S,2025-03-22T00:22:29.4Z,1,REGULAR,3pt,Jump Shot,[],1628983,80.89684625492772,7.598039215686274,1610612760,14,6,2025-03-22T00:22:34Z,710000,False,-212.0,127.0,1,right,S. Gilgeous-Alexander 24' 3PT step back (7 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,24.72,Made,,,,,,,7.0,,,,,,,,,
72,PT05M56.00S,2025-03-22T00:22:42.7Z,1,REGULAR,3pt,Jump Shot,[],1629610,16.245072273324574,4.166666666666666,1610612766,14,6,2025-03-22T00:22:46Z,720000,False,229.0,100.0,1,left,MISS D. Jeffries 25' 3PT,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,Above the Break 3,24+ Right Center,,,25.01,Missed,,,,,,,,,,,,,,,,
73,PT05M54.00S,2025-03-22T00:22:44.7Z,1,REGULAR,rebound,defensive,[],1631096,,,1610612760,14,6,2025-03-22T00:22:46Z,730000,False,,,0,,C. Holmgren REBOUND (Off:0 Def:2),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Right Center,,,,,,,72.0,2.0,2.0,0.0,,,,,,,,,,
74,PT05M45.00S,2025-03-22T00:22:54.1Z,1,REGULAR,2pt,Jump Shot,[],1628983,94.30026281208936,77.45098039215686,1610612760,14,6,2025-03-22T00:22:57Z,740000,False,137.0,1.0,1,right,MISS S. Gilgeous-Alexander 13' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,,,13.73,Missed,,,,,,,,,,,,,,,,
75,PT05M44.00S,2025-03-22T00:22:55.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612760,14,6,2025-03-22T00:28:02Z,750000,False,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,74.0,,,,,,,,,,,,,
77,PT05M44.00S,2025-03-22T00:23:01.0Z,1,REGULAR,substitution,out,[],1629610,,,1610612760,14,6,2025-03-22T00:23:09Z,770000,False,,,0,,SUB out: D. Jeffries,[1629610],1610612766.0,CHA,,,,Jeffries,D. Jeffries,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M44.00S,2025-03-22T00:23:01.0Z,1,REGULAR,substitution,out,[],203994,,,1610612760,14,6,2025-03-22T00:23:09Z,780000,False,,,0,,SUB out: J. Nurkić,[203994],1610612766.0,CHA,,,,Nurkić,J. Nurkić,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M44.00S,2025-03-22T00:23:01.0Z,1,REGULAR,substitution,out,[],1642354,,,1610612760,14,6,2025-03-22T00:23:09Z,790000,False,,,0,,SUB out: K. Simpson,[1642354],1610612766.0,CHA,,,,Simpson,K. Simpson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M44.00S,2025-03-22T00:23:01.0Z,1,REGULAR,substitution,in,[],1631217,,,1610612760,14,6,2025-03-22T00:23:09Z,800000,False,,,0,,SUB in: M. Diabaté,[1631217],1610612766.0,CHA,,,,Diabaté,M. Diabaté,,,,,,,,,,,,,,,,,,,,,,,,,,
