actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
16,PT10M50.00S,2025-01-23T01:12:00.5Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,3,2,2025-01-23T01:12:01Z,160000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
18,PT10M37.00S,2025-01-23T01:12:13.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,13.61695137976347,3.9215686274509802,1610612762,3,5,2025-01-23T01:12:17Z,170000,False,230.0,75.0,1,left,J. Collins 24' 3PT  (5 PTS) (C. Sexton 1 AST),"[1628381, 1629012]",1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,24.25,Made,,,,,,,,,,5.0,C. Sexton,1629012.0,1.0,,,,,
20,PT10M24.00S,2025-01-23T01:12:26.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,91.93495400788436,37.99019607843137,1610612760,5,5,2025-01-23T01:14:30Z,190000,False,-60.0,23.0,1,right,S. Gilgeous-Alexander 6' fadeaway bank Jump Shot (2 PTS),[1628983],1610612760.0,OKC,fadeaway bank,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,6.44,Made,,,,,,,,,,2.0,,,,,,,,
21,PT10M15.00S,2025-01-23T01:12:36.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,4.681340341655716,3.6764705882352944,1610612762,5,5,2025-01-23T01:12:40Z,200000,False,232.0,-8.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,23.18,Missed,,,,,,,,,,,,,,,,,,
22,PT10M13.00S,2025-01-23T01:12:38.0Z,1,REGULAR,rebound,defensive,[],1630598,,,1610612760,5,5,2025-01-23T01:12:40Z,210000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Right Corner 3,24+ Right,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M03.00S,2025-01-23T01:12:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,91.5407358738502,40.19607843137255,1610612760,5,5,2025-01-23T01:12:52Z,220000,False,-49.0,27.0,1,right,MISS S. Gilgeous-Alexander driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,5.59,Missed,,,,,,,,,,,,,,,,,,
24,PT10M01.00S,2025-01-23T01:12:50.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,5,5,2025-01-23T01:19:14Z,230000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
25,PT09M50.00S,2025-01-23T01:13:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641718,9.806176084099869,50.98039215686274,1610612762,5,7,2025-01-23T01:16:09Z,240000,False,-5.0,40.0,1,left,K. George driving floating Jump Shot (2 PTS),[1641718],1610612762.0,UTA,driving floating,,,George,K. George,,,,,Restricted Area,0-8 Center,4.0,Made,,,,,,,,,,2.0,,,,,,,,
26,PT09M36.00S,2025-01-23T01:13:14.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,92.9862023653088,48.529411764705884,1610612760,7,7,2025-01-23T01:13:18Z,250000,False,-7.0,13.0,1,right,A. Wiggins cutting Layup (2 PTS) (J. Williams 1 AST),"[1630598, 1631119]",1610612760.0,OKC,cutting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,1.53,Made,,,,,,,,,,2.0,J. Williams,1631119.0,1.0,,,,,
28,PT09M22.00S,2025-01-23T01:13:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,8.623521681997373,53.18627450980392,1610612762,7,9,2025-01-23T01:17:02Z,270000,False,-16.0,29.0,1,left,L. Markkanen driving floating Jump Shot (2 PTS) (K. George 1 AST),"[1628374, 1641718]",1610612762.0,UTA,driving floating,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,3.27,Made,,,,,,,,,,2.0,K. George,1641718.0,1.0,,,,,
30,PT09M17.00S,2025-01-23T01:13:36.1Z,1,REGULAR,foul,personal,[],1629012,,,1610612760,7,9,2025-01-23T01:13:43Z,290000,False,,,0,,C. Sexton personal FOUL (1 PF),"[1629012, 1631114]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Williams,1631114.0
32,PT09M09.00S,2025-01-23T01:14:03.1Z,1,REGULAR,3pt,Jump Shot,[],1630598,76.03482260183968,13.480392156862745,1610612760,10,9,2025-01-23T01:14:07Z,310000,False,-183.0,173.0,1,right,A. Wiggins 25' 3PT  (5 PTS) (S. Gilgeous-Alexander 1 AST),"[1630598, 1628983]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,25.14,Made,,,,,,,,,,5.0,S. Gilgeous-Alexander,1628983.0,1.0,,,,,
34,PT08M53.00S,2025-01-23T01:14:19.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,25.18068331143233,14.950980392156863,1610612762,10,9,2025-01-23T01:14:24Z,330000,False,175.0,184.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
35,PT08M50.00S,2025-01-23T01:14:22.0Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612762,10,9,2025-01-23T01:14:24Z,340000,False,,,0,,J. Collins REBOUND (Off:1 Def:1),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,,,,,34.0,2.0,1.0,1.0,,,,,,,,,,,,
36,PT08M48.00S,2025-01-23T01:14:24.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629012,30.042706964520367,30.637254901960787,1610612762,10,12,2025-01-23T01:14:28Z,350000,False,97.0,230.0,1,left,C. Sexton 24' 3PT  (3 PTS) (K. George 2 AST),"[1629012, 1641718]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Right Center,24.94,Made,,,,,,,,,,3.0,K. George,1641718.0,2.0,,,,,
38,PT08M47.00S,2025-01-23T01:14:29.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612760,10,12,2025-01-23T01:14:29Z,370000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M31.00S,2025-01-23T01:17:34.2Z,1,REGULAR,3pt,Jump Shot,[],1628983,93.77463863337714,96.07843137254902,1610612760,10,12,2025-01-23T01:17:38Z,380000,False,230.0,6.0,1,right,MISS S. Gilgeous-Alexander 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Right Corner 3,24+ Right,23.05,Missed,,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2025-01-23T01:17:36.2Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612762,10,12,2025-01-23T01:17:38Z,390000,False,,,0,,J. Collins REBOUND (Off:1 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,,39.0,3.0,2.0,1.0,,,,,,,,,,,,
41,PT08M23.00S,2025-01-23T01:17:42.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,1.921813403416557,96.07843137254902,1610612762,10,12,2025-01-23T01:17:46Z,400000,False,-230.0,-34.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
42,PT08M20.00S,2025-01-23T01:17:45.2Z,1,REGULAR,rebound,offensive,[],1629012,,,1610612762,10,12,2025-01-23T01:17:45Z,410000,False,,,0,,C. Sexton REBOUND (Off:1 Def:0),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Left Corner 3,24+ Left,,,,,41.0,1.0,0.0,1.0,,,,,,,,,,,,
43,PT08M09.00S,2025-01-23T01:17:57.3Z,1,REGULAR,foul,personal,['2freethrow'],1630598,,,1610612762,10,12,2025-01-23T01:18:07Z,420000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Kessler 2 FT),"[1630598, 1631117]",1610612760.0,OKC,shooting,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1630886.0,1.0,0.0,Kessler,1631117.0
45,PT08M09.00S,2025-01-23T01:18:23.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631117,,,1610612762,10,12,2025-01-23T01:18:43Z,440000,False,,,0,,MISS W. Kessler Free Throw 1 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
46,PT08M09.00S,2025-01-23T01:18:23.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612762,10,12,2025-01-23T01:18:43Z,450000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,
47,PT08M09.00S,2025-01-23T01:18:23.8Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631117,,,1610612762,10,12,2025-01-23T01:18:43Z,460000,False,,,0,,MISS W. Kessler Free Throw 2 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
48,PT08M07.00S,2025-01-23T01:18:25.8Z,1,REGULAR,rebound,defensive,[],1631119,,,1610612760,10,12,2025-01-23T01:18:43Z,470000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,,,,,,
49,PT07M59.00S,2025-01-23T01:18:49.9Z,1,REGULAR,3pt,Jump Shot,[],1631114,70.38436268068331,25.98039215686275,1610612760,10,12,2025-01-23T01:18:57Z,480000,False,-120.0,226.0,1,right,MISS J. Williams 25' 3PT,[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
50,PT07M55.00S,2025-01-23T01:18:53.9Z,1,REGULAR,rebound,defensive,[],1631117,,,1610612762,10,12,2025-01-23T01:18:57Z,490000,False,,,0,,W. Kessler REBOUND (Off:0 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Left Center,,,,,49.0,1.0,1.0,0.0,,,,,,,,,,,,
51,PT07M50.00S,2025-01-23T01:18:58.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641718,5.863994743758213,43.38235294117647,1610612762,10,12,2025-01-23T01:22:24Z,500000,False,33.0,3.0,1,left,MISS K. George running Layup,[1641718],1610612762.0,UTA,running,,,George,K. George,,,,,Restricted Area,0-8 Center,3.32,Missed,,,,,,,,,,,,,,,,,,
52,PT07M50.00S,2025-01-23T01:18:58.8Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,10,12,2025-01-23T01:19:09Z,510000,False,,,0,,W. Kessler REBOUND (Off:1 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,51.0,2.0,1.0,1.0,,,,,,,,,,,,
53,PT07M46.00S,2025-01-23T01:19:02.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint']",1631117,5.590000152587891,50.0,1610612762,10,14,2025-01-23T01:22:34Z,520000,False,0.0,0.0,1,left,W. Kessler tip Layup (2 PTS),[1631117],1610612762.0,UTA,tip,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,2.0,,,,,,,,
54,PT07M36.00S,2025-01-23T01:19:12.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,92.59198423127464,80.63725490196079,1610612760,10,14,2025-01-23T01:19:18Z,530000,False,153.0,17.0,1,right,MISS S. Gilgeous-Alexander 15' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Right,15.42,Missed,,,,,,,,,,,,,,,,,,
55,PT07M36.00S,2025-01-23T01:19:12.3Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612762,10,14,2025-01-23T01:19:18Z,540000,False,,,0,,C. Sexton REBOUND (Off:1 Def:1),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,,,54.0,2.0,1.0,1.0,,,,,,,,,,,,
56,PT07M27.00S,2025-01-23T01:19:21.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629012,8.886333771353483,36.76470588235294,1610612762,10,14,2025-01-23T01:24:22Z,550000,False,66.0,31.0,1,left,MISS C. Sexton 7' running Layup,[1629012],1610612762.0,UTA,running,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,7.31,Missed,,,,,,,,,,,,,,,,,,
57,PT07M26.00S,2025-01-23T01:19:22.1Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,10,14,2025-01-23T01:20:13Z,560000,False,,,0,,W. Kessler REBOUND (Off:2 Def:1),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,56.0,3.0,1.0,2.0,,,,,,,,,,,,
58,PT07M26.00S,2025-01-23T01:19:25.4Z,1,REGULAR,foul,personal,[],1629652,,,1610612762,10,14,2025-01-23T01:19:31Z,570000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1631117]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,202041.0,1.0,0.0,Kessler,1631117.0
60,PT07M18.00S,2025-01-23T01:19:51.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628374,27.151773981603156,81.37254901960785,1610612762,10,14,2025-01-23T01:19:58Z,590000,False,-157.0,203.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.63,Missed,,,,,,,,,,,,,,,,,,
61,PT07M14.00S,2025-01-23T01:19:55.6Z,1,REGULAR,rebound,offensive,[],1628381,,,1610612762,10,14,2025-01-23T01:19:58Z,600000,False,,,0,,J. Collins REBOUND (Off:2 Def:2),[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,,,,,60.0,4.0,2.0,2.0,,,,,,,,,,,,
62,PT07M13.00S,2025-01-23T01:19:56.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1628381,6.652431011826544,47.30392156862745,1610612762,10,16,2025-01-23T01:20:03Z,610000,False,13.0,10.0,1,left,J. Collins putback DUNK (7 PTS),[1628381],1610612762.0,UTA,putback,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.68,Made,,,,,,,,,,7.0,,,,,,,,
63,PT06M48.00S,2025-01-23T01:20:21.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631119,92.9862023653088,51.71568627450981,1610612760,10,16,2025-01-23T01:20:25Z,620000,False,9.0,13.0,1,right,MISS J. Williams cutting DUNK - blocked,"[1631119, 1631117]",1610612760.0,OKC,cutting,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,1.59,Missed,Kessler,1631117.0,,,,,,,,,,,,,,,,
64,PT06M48.00S,2025-01-23T01:20:21.2Z,1,REGULAR,block,,[],1631117,,,1610612760,10,16,2025-01-23T01:20:24Z,630000,False,,,0,,W. Kessler BLOCK (1 BLK),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
65,PT06M45.00S,2025-01-23T01:20:24.2Z,1,REGULAR,rebound,defensive,[],1641718,,,1610612762,10,16,2025-01-23T01:20:25Z,640000,False,,,0,,K. George REBOUND (Off:0 Def:2),[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,63.0,2.0,2.0,0.0,,,,,,,,,,,,
66,PT06M41.00S,2025-01-23T01:20:28.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628381,5.863994743758213,51.71568627450981,1610612762,10,18,2025-01-23T01:27:06Z,650000,False,-9.0,3.0,1,left,J. Collins running reverse Layup (9 PTS) (C. Sexton 2 AST),"[1628381, 1629012]",1610612762.0,UTA,running reverse,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.9,Made,,,,,,,,,,9.0,C. Sexton,1629012.0,2.0,,,,,
68,PT06M27.00S,2025-01-23T01:20:41.8Z,1,REGULAR,3pt,Jump Shot,[],1628983,68.15045992115637,61.274509803921575,1610612760,10,18,2025-01-23T01:20:47Z,670000,False,56.0,247.0,1,right,MISS S. Gilgeous-Alexander 25' 3PT,[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Center,25.33,Missed,,,,,,,,,,,,,,,,,,
69,PT06M24.00S,2025-01-23T01:20:44.8Z,1,REGULAR,rebound,offensive,[],1629652,,,1610612760,10,18,2025-01-23T01:28:52Z,680000,False,,,0,,L. Dort REBOUND (Off:1 Def:0),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,68.0,1.0,0.0,1.0,,,,,,,,,,,,
70,PT06M23.00S,2025-01-23T01:20:49.0Z,1,REGULAR,foul,personal,['2freethrow'],1629012,,,1610612760,10,18,2025-01-23T01:21:01Z,690000,False,,,0,,C. Sexton shooting personal FOUL (2 PF) (Gilgeous-Alexander 2 FT),"[1629012, 1628983]",1610612762.0,UTA,shooting,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,202041.0,2.0,0.0,Gilgeous-Alexander,1628983.0
72,PT06M23.00S,2025-01-23T01:21:15.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1628983,,,1610612760,11,18,2025-01-23T01:21:15Z,710000,False,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (3 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,,,3.0,,,,,,,,
73,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,out,[],1630598,,,1610612760,11,18,2025-01-23T01:21:27Z,720000,False,,,0,,SUB out: A. Wiggins,[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,out,[],1631119,,,1610612760,11,18,2025-01-23T01:21:27Z,730000,False,,,0,,SUB out: J. Williams,[1631119],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,out,[],1628381,,,1610612760,11,18,2025-01-23T01:21:27Z,740000,False,,,0,,SUB out: J. Collins,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,out,[],1629012,,,1610612760,11,18,2025-01-23T01:21:27Z,750000,False,,,0,,SUB out: C. Sexton,[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,in,[],1641717,,,1610612760,11,18,2025-01-23T01:21:27Z,760000,False,,,0,,SUB in: C. Wallace,[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,in,[],1629026,,,1610612760,11,18,2025-01-23T01:21:27Z,770000,False,,,0,,SUB in: K. Williams,[1629026],1610612760.0,OKC,,,,Williams,K. Williams,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,in,[],1642268,,,1610612760,11,18,2025-01-23T01:21:27Z,780000,False,,,0,,SUB in: I. Collier,[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT06M23.00S,2025-01-23T01:21:16.1Z,1,REGULAR,substitution,in,[],1642271,,,1610612760,11,18,2025-01-23T01:21:27Z,790000,False,,,0,,SUB in: K. Filipowski,[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PT06M23.00S,2025-01-23T01:21:36.6Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1628983,,,1610612760,12,18,2025-01-23T01:21:36Z,800000,False,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (4 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,Made,,,,,,,,,,4.0,,,,,,,,
82,PT06M09.00S,2025-01-23T01:21:52.6Z,1,REGULAR,3pt,Jump Shot,[],1641718,15.325229960578188,4.166666666666666,1610612762,12,18,2025-01-23T01:21:57Z,810000,False,229.0,92.0,1,left,MISS K. George 24' 3PT,[1641718],1610612762.0,UTA,,,,George,K. George,,,,,Above the Break 3,24+ Right,24.68,Missed,,,,,,,,,,,,,,,,,,
