actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
17,PT11M01.00S,2025-03-04T01:12:12.2Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612745,2,1,2025-03-04T01:12:31Z,170000,False,,,0,,C. Whitmore REBOUND (Off:1 Def:0),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,16.0,,,,,,1.0,0.0,1.0,,
18,PT10M59.00S,2025-03-04T01:12:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641715,7.178055190538765,44.11764705882353,1610612745,2,1,2025-03-04T01:12:47Z,180000,False,29.0,15.0,1,left,MISS C. Whitmore putback Layup - blocked,"[1641715, 1631096]",1610612745.0,HOU,putback,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,,,,,,Missed,,,3.3,,,,,,,Holmgren,1631096.0
19,PT10M59.00S,2025-03-04T01:12:14.1Z,1,REGULAR,block,,[],1631096,,,1610612745,2,1,2025-03-04T01:12:16Z,190000,False,,,0,,C. Holmgren BLOCK (1 BLK),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M58.00S,2025-03-04T01:12:15.1Z,1,REGULAR,rebound,offensive,[],1641715,,,1610612745,2,1,2025-03-04T01:12:47Z,200000,False,,,0,,C. Whitmore REBOUND (Off:2 Def:0),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,,,,,,,18.0,,,,,,2.0,0.0,2.0,,
21,PT10M57.00S,2025-03-04T01:12:17.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1641715,6.176084099868589,45.15931372549019,1610612745,2,3,2025-03-04T01:12:58Z,210000,False,24.0,6.0,1,left,C. Whitmore putback Layup (2 PTS),[1641715],1610612745.0,HOU,putback,,,Whitmore,C. Whitmore,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,2.0,2.48,,,,,,,,
22,PT10M38.00S,2025-03-04T01:12:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,88.5676741130092,51.612285539215684,1610612760,4,3,2025-03-04T01:13:15Z,220000,False,8.0,55.0,1,right,S. Gilgeous-Alexander cutting Layup (2 PTS) (I. Hartenstein 1 AST),"[1628983, 1628392]",1610612760.0,OKC,cutting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,2.0,5.56,I. Hartenstein,1628392.0,1.0,,,,,
24,PT10M28.00S,2025-03-04T01:12:43.8Z,1,REGULAR,foul,personal,['2freethrow'],1628983,,,1610612745,4,3,2025-03-04T01:13:28Z,240000,False,,,0,,S. Gilgeous-Alexander shooting personal FOUL (1 PF) (Sheppard 2 FT),"[1628983, 1642263]",1610612760.0,OKC,shooting,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Right Center,,,,203593.0,1.0,0.0,Sheppard,1642263.0,,,,,,,,,,,,
26,PT10M28.00S,2025-03-04T01:13:04.0Z,1,REGULAR,freethrow,1 of 2,[],1642263,,,1610612745,4,4,2025-03-04T01:13:04Z,260000,False,,,0,,R. Sheppard Free Throw 1 of 2 (1 PTS),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
27,PT10M28.00S,2025-03-04T01:13:15.5Z,1,REGULAR,freethrow,2 of 2,[],1642263,,,1610612745,4,5,2025-03-04T01:13:15Z,270000,False,,,0,,R. Sheppard Free Throw 2 of 2 (2 PTS),[1642263],1610612745.0,HOU,,,,Sheppard,R. Sheppard,,,,,,,,,,,,,,,Made,,2.0,,,,,,,,,
28,PT10M18.00S,2025-03-04T01:13:30.0Z,1,REGULAR,turnover,bad pass,[],1628392,,,1610612760,4,5,2025-03-04T01:13:59Z,280000,False,,,0,,I. Hartenstein bad pass TURNOVER (1 TO),"[1628392, 1641715]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),0-8 Center,1.0,Whitmore,1641715.0,,,,,,,,,,,,,,,,,
29,PT10M18.00S,2025-03-04T01:13:30.0Z,1,REGULAR,steal,,[],1641715,,,1610612745,4,5,2025-03-04T01:13:31Z,290000,False,,,0,,C. Whitmore STEAL (1 STL),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
30,PT10M14.00S,2025-03-04T01:13:34.6Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641715,12.089356110381075,56.51424632352941,1610612745,4,7,2025-03-04T01:14:10Z,300000,False,-33.0,61.0,1,left,C. Whitmore 6' running DUNK (4 PTS),[1641715],1610612745.0,HOU,running,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,4.0,6.93,,,,,,,,
31,PT10M04.00S,2025-03-04T01:13:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,83.919185282523,58.08823529411765,1610612760,6,7,2025-03-04T01:14:21Z,310000,False,40.0,99.0,1,right,S. Gilgeous-Alexander 10' fadeaway Jump Shot (4 PTS),[1628983],1610612760.0,OKC,fadeaway,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,,4.0,10.66,,,,,,,,
32,PT09M48.00S,2025-03-04T01:14:00.7Z,1,REGULAR,turnover,bad pass,[],1630224,,,1610612745,6,7,2025-03-04T01:14:44Z,320000,False,,,0,,J. Green bad pass TURNOVER (1 TO),"[1630224, 1628392]",1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,1.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,
33,PT09M48.00S,2025-03-04T01:14:00.7Z,1,REGULAR,steal,,[],1628392,,,1610612760,6,7,2025-03-04T01:14:02Z,330000,False,,,0,,I. Hartenstein STEAL (1 STL),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
34,PT09M37.00S,2025-03-04T01:14:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1631096,93.42969776609723,42.97257965686274,1610612760,8,7,2025-03-04T01:15:01Z,340000,False,-35.0,9.0,1,right,C. Holmgren Layup (2 PTS) (S. Gilgeous-Alexander 2 AST),"[1631096, 1628983]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,2.0,3.63,S. Gilgeous-Alexander,1628983.0,2.0,,,,,
36,PT09M19.00S,2025-03-04T01:14:31.4Z,1,REGULAR,foul,personal,[],1629652,,,1610612745,8,7,2025-03-04T01:15:12Z,360000,False,,,0,,L. Dort personal FOUL (1 PF),"[1629652, 1630224]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Mid-Range,16-24 Right,,,,202901.0,1.0,0.0,Green,1630224.0,,,,,,,,,,,,
38,PT09M07.00S,2025-03-04T01:14:59.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629111,9.329829172141928,38.45741421568627,1610612745,8,9,2025-03-04T01:15:42Z,380000,False,58.0,35.0,1,left,J. Landale 6' turnaround bank Hook (2 PTS),[1629111],1610612745.0,HOU,turnaround bank,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,2.0,6.76,,,,,,,,
39,PT08M57.00S,2025-03-04T01:15:12.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,86.59658344283837,38.70251225490197,1610612760,8,9,2025-03-04T01:16:08Z,390000,False,-56.0,73.0,1,right,MISS J. Williams 9' turnaround Shot - blocked,"[1631114, 1641715]",1610612760.0,OKC,turnaround,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,Missed,,,9.27,,,,,,,Whitmore,1641715.0
40,PT08M57.00S,2025-03-04T01:15:12.0Z,1,REGULAR,block,,[],1641715,,,1610612760,8,9,2025-03-04T01:15:14Z,400000,False,,,0,,C. Whitmore BLOCK (1 BLK),[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
41,PT08M54.00S,2025-03-04T01:15:15.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,8,9,2025-03-04T01:16:14Z,410000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,39.0,,,,,,1.0,1.0,0.0,,
42,PT08M45.00S,2025-03-04T01:15:23.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641715,13.403416557161634,52.630974264705884,1610612745,8,9,2025-03-04T01:16:36Z,420000,False,-13.0,73.0,1,left,MISS C. Whitmore 7' driving finger roll Layup - blocked,"[1641715, 1628983]",1610612745.0,HOU,driving finger roll,,,Whitmore,C. Whitmore,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,,7.47,,,,,,,Gilgeous-Alexander,1628983.0
43,PT08M45.00S,2025-03-04T01:15:23.4Z,1,REGULAR,block,,[],1628983,,,1610612745,8,9,2025-03-04T01:15:25Z,430000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M43.00S,2025-03-04T01:15:25.4Z,1,REGULAR,rebound,defensive,[],1628983,,,1610612760,8,9,2025-03-04T01:16:36Z,440000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:0 Def:1),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,42.0,,,,,,1.0,1.0,0.0,,
45,PT08M37.00S,2025-03-04T01:15:31.1Z,1,REGULAR,foul,personal,['2freethrow'],1631095,,,1610612760,8,9,2025-03-04T01:16:49Z,450000,False,,,0,,J. Smith Jr. shooting personal FOUL (1 PF) (Holmgren 2 FT),"[1631095, 1631096]",1610612745.0,HOU,shooting,,,Smith Jr.,J. Smith Jr.,,,,,Restricted Area,0-8 Center,,,,202901.0,1.0,0.0,Holmgren,1631096.0,,,,,,,,,,,,
47,PT08M37.00S,2025-03-04T01:16:04.1Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1631096,,,1610612760,9,9,2025-03-04T01:17:02Z,470000,False,,,0,,C. Holmgren Free Throw 1 of 2 (3 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,Made,,3.0,,,,,,,,,
48,PT08M37.00S,2025-03-04T01:16:04.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1631096,,,1610612760,10,9,2025-03-04T01:17:02Z,480000,False,,,0,,C. Holmgren Free Throw 2 of 2 (4 PTS),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,Made,,4.0,,,,,,,,,
49,PT08M28.00S,2025-03-04T01:16:35.3Z,1,REGULAR,foul,offensive,[],1629111,,,1610612745,10,9,2025-03-04T01:17:26Z,490000,False,,,0,,J. Landale offensive FOUL (1 PF),"[1629111, 1629652]",1610612745.0,HOU,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,,,,2530.0,1.0,0.0,Dort,1629652.0,,,,,,,,,,,,
51,PT08M28.00S,2025-03-04T01:16:35.3Z,1,REGULAR,turnover,offensive foul,[],1629111,,,1610612745,10,9,2025-03-04T01:17:26Z,510000,False,,,0,,J. Landale offensive foul TURNOVER (1 TO),[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,Above the Break 3,24+ Center,1.0,,,2530.0,,,,,,,,,,,,,,,,
52,PT08M12.00S,2025-03-04T01:17:06.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1628392,94.21813403416557,43.19852941176471,1610612760,12,9,2025-03-04T01:17:37Z,520000,False,-34.0,2.0,1,right,I. Hartenstein alley-oop DUNK (4 PTS) (L. Dort 1 AST),"[1628392, 1629652]",1610612760.0,OKC,alley-oop,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,4.0,3.4,L. Dort,1629652.0,1.0,,,,,
54,PT07M54.00S,2025-03-04T01:17:22.1Z,1,REGULAR,2pt,Jump Shot,[],1631095,17.296320630749015,28.186274509803923,1610612745,12,11,2025-03-04T01:17:25Z,540000,False,109.0,110.0,1,left,J. Smith Jr. 15' turnaround Jump Shot (2 PTS),[1631095],1610612745.0,HOU,turnaround,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,Made,,2.0,15.5,,,,,,,,
55,PT07M39.00S,2025-03-04T01:17:39.0Z,1,REGULAR,turnover,lost ball,[],1631114,,,1610612760,12,11,2025-03-04T01:21:00Z,550000,False,,,0,,J. Williams lost ball TURNOVER (1 TO),"[1631114, 1630224]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Mid-Range,8-16 Left,1.0,Green,1630224.0,,,,,,,,,,,,,,,,,
56,PT07M39.00S,2025-03-04T01:17:39.0Z,1,REGULAR,steal,,[],1630224,,,1610612745,12,11,2025-03-04T01:17:40Z,560000,False,,,0,,J. Green STEAL (1 STL),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
57,PT07M28.00S,2025-03-04T01:17:50.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641715,4.681340341655716,95.09803921568627,1610612745,12,11,2025-03-04T01:18:45Z,570000,False,-225.0,-8.0,1,left,MISS C. Whitmore 3PT,[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Left Corner 3,24+ Left,,,,,,,,,Missed,,,22.57,,,,,,,,
58,PT07M26.00S,2025-03-04T01:17:52.0Z,1,REGULAR,rebound,defensive,[],1631114,,,1610612760,12,11,2025-03-04T01:18:45Z,580000,False,,,0,,J. Williams REBOUND (Off:0 Def:1),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Left Corner 3,24+ Left,,,,,,,,,,57.0,,,,,,1.0,1.0,0.0,,
59,PT07M16.00S,2025-03-04T01:18:00.3Z,1,REGULAR,2pt,Jump Shot,[],1628983,94.43166885676742,21.568627450980394,1610612760,14,11,2025-03-04T01:18:04Z,590000,False,-142.0,0.0,1,right,S. Gilgeous-Alexander 14' step back Jump Shot (6 PTS),[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,,,Made,,6.0,14.22,,,,,,,,
60,PT07M03.00S,2025-03-04T01:18:13.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,15.2431011826544,46.54564950980392,1610612745,14,13,2025-03-04T01:19:14Z,600000,False,17.0,91.0,1,left,J. Green 9' driving Layup (3 PTS),[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Made,,3.0,9.24,,,,,,,,
61,PT06M52.00S,2025-03-04T01:18:26.0Z,1,REGULAR,2pt,Jump Shot,[],1628983,86.07095926412615,30.124080882352942,1610612760,14,13,2025-03-04T01:20:06Z,610000,False,-99.0,78.0,1,right,MISS S. Gilgeous-Alexander 12' step back Shot,[1628983],1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,,,,,,,,,Missed,,,12.66,,,,,,,,
62,PT06M50.00S,2025-03-04T01:18:28.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,14,13,2025-03-04T01:20:06Z,620000,False,,,0,,J. Green REBOUND (Off:0 Def:2),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,61.0,,,,,,2.0,2.0,0.0,,
63,PT06M42.00S,2025-03-04T01:18:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630224,17.47700394218134,63.5531556372549,1610612745,14,13,2025-03-04T01:21:28Z,630000,False,-68.0,112.0,1,left,MISS J. Green 13' pullup Shot - blocked,"[1630224, 1631114]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,Missed,,,13.08,,,,,,,Williams,1631114.0
64,PT06M42.00S,2025-03-04T01:18:36.3Z,1,REGULAR,block,,[],1631114,,,1610612745,14,13,2025-03-04T01:18:40Z,640000,False,,,0,,J. Williams BLOCK (1 BLK),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
65,PT06M39.00S,2025-03-04T01:18:39.3Z,1,REGULAR,rebound,offensive,[],1629111,,,1610612745,14,13,2025-03-04T01:21:28Z,650000,False,,,0,,J. Landale REBOUND (Off:1 Def:0),[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,63.0,,,,,,1.0,0.0,1.0,,
66,PT06M37.00S,2025-03-04T01:18:41.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1641715,31.52102496714849,23.751531862745097,1610612745,14,13,2025-03-04T01:21:53Z,660000,False,131.0,244.0,1,left,MISS C. Whitmore 27' 3PT,[1641715],1610612745.0,HOU,,,,Whitmore,C. Whitmore,,,,,Above the Break 3,24+ Right Center,,,,,,,,,Missed,,,27.69,,,,,,,,
67,PT06M34.00S,2025-03-04T01:18:44.7Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,14,13,2025-03-04T01:21:53Z,670000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,66.0,,,,,,1.0,1.0,0.0,,
68,PT06M27.00S,2025-03-04T01:18:51.7Z,1,REGULAR,foul,offensive,[],1631096,,,1610612760,14,13,2025-03-04T01:22:00Z,680000,False,,,0,,C. Holmgren charge offensive FOUL (1 PF),"[1631096, 1629111]",1610612760.0,OKC,charge,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,2530.0,1.0,0.0,Landale,1629111.0,,,,,,,,,,,,
70,PT06M27.00S,2025-03-04T01:18:51.7Z,1,REGULAR,turnover,offensive foul,[],1631096,,,1610612760,14,13,2025-03-04T01:22:00Z,700000,False,,,0,,C. Holmgren offensive foul TURNOVER (2 TO),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,2.0,,,2530.0,,,,,,,,,,,,,,,,
71,PT06M27.00S,2025-03-04T01:19:01.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,14,13,2025-03-04T01:19:01Z,710000,False,,,0,,OKC Timeout,[],1610612760.0,OKC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PT06M27.00S,2025-03-04T01:21:37.3Z,1,REGULAR,substitution,out,[],1631096,,,1610612745,14,13,2025-03-04T01:21:47Z,720000,False,,,0,,SUB out: C. Holmgren,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PT06M27.00S,2025-03-04T01:21:37.3Z,1,REGULAR,substitution,in,[],1627936,,,1610612745,14,13,2025-03-04T01:21:47Z,730000,False,,,0,,SUB in: A. Caruso,[1627936],1610612760.0,OKC,,,,Caruso,A. Caruso,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M14.00S,2025-03-04T01:22:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642263,11.695137976346913,40.908394607843135,1610612745,14,15,2025-03-04T01:22:41Z,740000,False,45.0,57.0,1,left,R. Sheppard 7' driving finger roll Layup (4 PTS),[1642263],1610612745.0,HOU,driving finger roll,,,Sheppard,R. Sheppard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Made,,4.0,7.32,,,,,,,,
75,PT06M00.00S,2025-03-04T01:22:25.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628392,82.78580814717478,51.8765318627451,1610612760,14,15,2025-03-04T01:22:58Z,750000,False,9.0,109.0,1,right,MISS I. Hartenstein 10' floating Shot,[1628392],1610612760.0,OKC,floating,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,Missed,,,10.97,,,,,,,,
76,PT05M58.00S,2025-03-04T01:22:27.6Z,1,REGULAR,rebound,defensive,[],1629111,,,1610612745,14,15,2025-03-04T01:22:58Z,760000,False,,,0,,J. Landale REBOUND (Off:1 Def:1),[1629111],1610612745.0,HOU,,,,Landale,J. Landale,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,75.0,,,,,,2.0,1.0,1.0,,
77,PT05M48.00S,2025-03-04T01:22:36.3Z,1,REGULAR,2pt,Jump Shot,[],1629111,8.40998685939553,21.790747549019613,1610612745,14,17,2025-03-04T01:23:15Z,770000,False,141.0,27.0,1,left,J. Landale 14' Jump Shot (4 PTS) (J. Green 1 AST),"[1629111, 1630224]",1610612745.0,HOU,,,,Landale,J. Landale,,,,,Mid-Range,8-16 Right,,,,,,,,,Made,,4.0,14.35,J. Green,1630224.0,1.0,,,,,
79,PT05M33.00S,2025-03-04T01:22:52.5Z,1,REGULAR,foul,personal,['2freethrow'],1629111,,,1610612760,14,17,2025-03-04T01:23:27Z,790000,False,,,0,,J. Landale shooting personal FOUL (2 PF) (Williams 2 FT),"[1629111, 1631114]",1610612745.0,HOU,shooting,,,Landale,J. Landale,,,,,In The Paint (Non-RA),0-8 Center,,,,2530.0,2.0,0.0,Williams,1631114.0,,,,,,,,,,,,
