actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
17,PT10M29.00S,2023-02-11T00:11:53.1Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,3,2023-02-11T00:11:53Z,170000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M14.00S,2023-02-11T00:12:09.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630165,86.67871222076215,44.6078431372549,1610612765,2,3,2023-02-11T00:12:14Z,180000,False,-27.0,73.0,1,right,MISS K. Hayes 7' driving floating Shot,[1630165],1610612765.0,DET,driving floating,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,7.76,Missed,,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2023-02-11T00:12:12.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,2,3,2023-02-11T00:12:12Z,190000,False,,,0,,Z. Collins REBOUND (Off:0 Def:1),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT09M54.00S,2023-02-11T00:12:28.2Z,1,REGULAR,3pt,Jump Shot,[],1628966,14.536793692509855,4.166666666666666,1610612759,2,3,2023-02-11T00:12:33Z,200000,False,229.0,84.0,1,left,MISS K. Bates-Diop 24' 3PT,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Right Corner 3,24+ Right,24.41,Missed,,,,,,,,,,,,,,,,,,
21,PT09M51.00S,2023-02-11T00:12:31.2Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,3,2023-02-11T00:12:33Z,210000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT09M49.00S,2023-02-11T00:12:35.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1631093,90.75229960578186,50.49019607843137,1610612765,2,3,2023-02-11T00:13:22Z,220000,False,2.0,34.0,1,right,MISS J. Ivey running Layup,[1631093],1610612765.0,DET,running,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.45,Missed,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2023-02-11T00:12:35.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,3,2023-02-11T00:12:40Z,240000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Restricted Area,0-8 Center,,,22.0,,,,,,,,,,,,,,,,,
26,PT09M45.00S,2023-02-11T00:13:00.7Z,1,REGULAR,foul,personal,['2freethrow'],1631104,,,1610612765,2,3,2023-02-11T00:13:13Z,260000,False,,,0,,B. Wesley shooting personal FOUL (1 PF) (Ivey 2 FT),"[1631104, 1631093]",1610612759.0,SAS,shooting,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1628954.0,1.0,0.0,Ivey,1631093.0,,,,
28,PT09M45.00S,2023-02-11T00:13:27.6Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1631093,,,1610612765,2,3,2023-02-11T00:13:27Z,280000,False,,,0,,MISS J. Ivey Free Throw 1 of 2,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
29,PT09M45.00S,2023-02-11T00:13:27.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,2,3,2023-02-11T00:13:27Z,290000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,
30,PT09M45.00S,2023-02-11T00:13:42.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1631093,,,1610612765,3,3,2023-02-11T00:13:42Z,300000,False,,,0,,J. Ivey Free Throw 2 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
31,PT09M34.00S,2023-02-11T00:13:54.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631104,10.068988173455978,54.166666666666664,1610612759,3,3,2023-02-11T00:14:02Z,310000,False,-21.0,42.0,1,left,MISS B. Wesley driving Layup,[1631104],1610612759.0,SAS,driving,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,4.7,Missed,,,,,,,,,,,,,,,,,,
33,PT09M34.00S,2023-02-11T00:13:54.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,3,3,2023-02-11T00:14:02Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,31.0,,,,,,,,,,,,,,,,,
35,PT09M20.00S,2023-02-11T00:14:17.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,79.84559789750328,37.99019607843137,1610612765,3,3,2023-02-11T00:16:42Z,350000,False,-60.0,137.0,1,right,MISS B. Bogdanovic 14' pullup Shot,[202711],1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,14.96,Missed,,,,,,,,,,,,,,,,,,
36,PT09M20.00S,2023-02-11T00:14:17.7Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,3,3,2023-02-11T00:14:25Z,360000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),8-16 Center,,,35.0,1.0,1.0,0.0,,,,,,,,,,,,,,
37,PT09M10.00S,2023-02-11T00:14:27.3Z,1,REGULAR,3pt,Jump Shot,[],1631104,4.5499342969776615,96.07843137254902,1610612759,3,6,2023-02-11T00:14:32Z,370000,False,-230.0,-10.0,1,left,B. Wesley 3PT  (3 PTS) (K. Bates-Diop 1 AST),"[1631104, 1628966]",1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Left Corner 3,24+ Left,23.06,Made,,,,,,3.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,
39,PT08M52.00S,2023-02-11T00:14:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631105,92.19776609724047,45.588235294117645,1610612765,3,6,2023-02-11T00:17:44Z,390000,False,-22.0,21.0,1,right,MISS J. Duren reverse Layup,[1631105],1610612765.0,DET,reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,3.03,Missed,,,,,,,,,,,,,,,,,,
40,PT08M50.00S,2023-02-11T00:14:47.4Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,3,6,2023-02-11T00:14:49Z,400000,False,,,0,,Z. Collins REBOUND (Off:0 Def:2),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,,,39.0,2.0,2.0,0.0,,,,,,,,,,,,,,
41,PT08M46.00S,2023-02-11T00:14:51.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629676,28.203022339027594,20.098039215686274,1610612759,3,6,2023-02-11T00:18:06Z,410000,False,150.0,213.0,1,left,MISS I. Roby 25' running pullup 3PT,[1629676],1610612759.0,SAS,running pullup,,,Roby,I. Roby,,,,,Above the Break 3,24+ Right Center,25.99,Missed,,,,,,,,,,,,,,,,,,
42,PT08M44.00S,2023-02-11T00:14:53.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,3,6,2023-02-11T00:15:53Z,420000,False,,,0,,J. Duren REBOUND (Off:0 Def:2),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Right Center,,,41.0,2.0,2.0,0.0,,,,,,,,,,,,,,
43,PT08M39.00S,2023-02-11T00:15:00.9Z,1,REGULAR,foul,personal,['2freethrow'],1629676,,,1610612765,3,6,2023-02-11T00:15:24Z,430000,False,,,0,,I. Roby shooting personal FOUL (1 PF) (Bogdanovic 2 FT),"[1629676, 202711]",1610612759.0,SAS,shooting,,,Roby,I. Roby,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1151.0,1.0,0.0,Bogdanovic,202711.0,,,,
45,PT08M39.00S,2023-02-11T00:15:32.0Z,1,REGULAR,freethrow,1 of 2,[],202711,,,1610612765,4,6,2023-02-11T00:15:32Z,450000,False,,,0,,B. Bogdanovic Free Throw 1 of 2 (1 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,1.0,,,,,,,,,,,,
46,PT08M39.00S,2023-02-11T00:15:43.7Z,1,REGULAR,freethrow,2 of 2,[],202711,,,1610612765,5,6,2023-02-11T00:15:43Z,460000,False,,,0,,B. Bogdanovic Free Throw 2 of 2 (2 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,,2.0,,,,,,,,,,,,
47,PT08M28.00S,2023-02-11T00:15:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631103,14.011169513797633,42.40196078431372,1610612759,5,8,2023-02-11T00:16:01Z,470000,False,38.0,79.0,1,left,M. Branham 8' driving floating Jump Shot (5 PTS),[1631103],1610612759.0,SAS,driving floating,,,Branham,M. Branham,,,,,In The Paint (Non-RA),8-16 Center,8.78,Made,,,,,,5.0,,,,,,,,,,,,
48,PT08M19.00S,2023-02-11T00:16:05.0Z,1,REGULAR,3pt,Jump Shot,[],1630191,95.22010512483574,3.6764705882352944,1610612765,5,8,2023-02-11T00:16:10Z,480000,False,-232.0,-8.0,1,right,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,23.17,Missed,,,,,,,,,,,,,,,,,,
49,PT08M15.00S,2023-02-11T00:16:09.0Z,1,REGULAR,rebound,defensive,[],1631104,,,1610612759,5,8,2023-02-11T00:16:10Z,490000,False,,,0,,B. Wesley REBOUND (Off:0 Def:1),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,Left Corner 3,24+ Left,,,48.0,1.0,1.0,0.0,,,,,,,,,,,,,,
50,PT08M02.00S,2023-02-11T00:16:24.2Z,1,REGULAR,turnover,traveling,[],1631104,,,1610612759,5,8,2023-02-11T00:16:32Z,500000,False,,,0,,B. Wesley traveling TURNOVER (2 TO),[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2.0,,,,,1830.0,,,,,,,,
51,PT07M44.00S,2023-02-11T00:16:55.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630191,87.20433639947439,95.09803921568627,1610612765,5,8,2023-02-11T00:16:59Z,510000,False,225.0,68.0,1,right,MISS I. Stewart 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Right Corner 3,24+ Right,23.55,Missed,,,,,,,,,,,,,,,,,,
52,PT07M40.00S,2023-02-11T00:16:59.2Z,1,REGULAR,rebound,defensive,[],1628380,,,1610612759,5,8,2023-02-11T00:16:59Z,520000,False,,,0,,Z. Collins REBOUND (Off:0 Def:3),[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Right Corner 3,24+ Right,,,51.0,3.0,3.0,0.0,,,,,,,,,,,,,,
53,PT07M32.00S,2023-02-11T00:17:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631103,9.674770039421814,43.13725490196079,1610612759,5,10,2023-02-11T00:17:13Z,530000,False,34.0,38.0,1,left,M. Branham driving Layup (7 PTS),[1631103],1610612759.0,SAS,driving,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,5.15,Made,,,,,,7.0,,,,,,,,,,,,
54,PT07M13.00S,2023-02-11T00:17:30.1Z,1,REGULAR,foul,personal,[],1631103,,,1610612765,5,10,2023-02-11T00:17:36Z,540000,False,,,0,,M. Branham personal FOUL (1 PF),"[1631103, 1630191]",1610612759.0,SAS,,,,Branham,M. Branham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1830.0,1.0,0.0,Stewart,1630191.0,,,,
56,PT07M04.00S,2023-02-11T00:17:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202711,90.09526938239159,57.107843137254896,1610612765,5,10,2023-02-11T00:24:27Z,560000,False,36.0,41.0,1,right,MISS B. Bogdanovic driving Layup,[202711],1610612765.0,DET,driving,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),0-8 Center,5.39,Missed,,,,,,,,,,,,,,,,,,
57,PT07M01.00S,2023-02-11T00:18:00.0Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,5,10,2023-02-11T00:18:02Z,570000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:2),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,In The Paint (Non-RA),0-8 Center,,,56.0,2.0,2.0,0.0,,,,,,,,,,,,,,
58,PT06M58.00S,2023-02-11T00:18:03.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628966,6.652431011826544,58.333333333333336,1610612759,5,12,2023-02-11T00:25:24Z,580000,False,-42.0,10.0,1,left,K. Bates-Diop running Layup (2 PTS),[1628966],1610612759.0,SAS,running,,,Bates-Diop,K. Bates-Diop,,,,,Restricted Area,0-8 Center,4.29,Made,,,,,,2.0,,,,,,,,,,,,
59,PT06M51.00S,2023-02-11T00:18:14.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,5,12,2023-02-11T00:18:14Z,590000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT06M51.00S,2023-02-11T00:19:16.2Z,1,REGULAR,substitution,out,[],1628966,,,1610612765,5,12,2023-02-11T00:21:06Z,600000,False,,,0,,SUB out: K. Bates-Diop,[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT06M51.00S,2023-02-11T00:19:16.2Z,1,REGULAR,substitution,out,[],1631104,,,1610612765,5,12,2023-02-11T00:21:06Z,610000,False,,,0,,SUB out: B. Wesley,[1631104],1610612759.0,SAS,,,,Wesley,B. Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PT06M51.00S,2023-02-11T00:19:16.2Z,1,REGULAR,substitution,in,[],203926,,,1610612765,5,12,2023-02-11T00:21:06Z,620000,False,,,0,,SUB in: D. McDermott,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT06M51.00S,2023-02-11T00:19:16.2Z,1,REGULAR,substitution,in,[],1626169,,,1610612765,5,12,2023-02-11T00:21:06Z,630000,False,,,0,,SUB in: S. Johnson,[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PT06M42.00S,2023-02-11T00:21:28.6Z,1,REGULAR,3pt,Jump Shot,[],1631093,66.70499342969777,43.13725490196079,1610612765,5,12,2023-02-11T00:21:34Z,640000,False,-34.0,260.0,1,right,MISS J. Ivey 26' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,26.27,Missed,,,,,,,,,,,,,,,,,,
65,PT06M41.00S,2023-02-11T00:21:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,5,12,2023-02-11T00:21:34Z,650000,False,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,Above the Break 3,24+ Center,,,64.0,,,,,,,,,,,,,,,,,
66,PT06M41.00S,2023-02-11T00:21:35.2Z,1,REGULAR,foul,personal,[],1629676,,,1610612765,5,12,2023-02-11T00:21:47Z,660000,False,,,0,,I. Roby loose ball personal FOUL (2 PF),"[1629676, 1630191]",1610612759.0,SAS,loose ball,,,Roby,I. Roby,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,1830.0,2.0,0.0,Stewart,1630191.0,,,,
68,PT06M34.00S,2023-02-11T00:22:01.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630165,84.97043363994744,46.07843137254902,1610612765,5,12,2023-02-11T00:22:05Z,680000,False,-20.0,89.0,1,right,MISS K. Hayes 9' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Center,9.09,Missed,,,,,,,,,,,,,,,,,,
69,PT06M32.00S,2023-02-11T00:22:03.6Z,1,REGULAR,rebound,defensive,[],1626169,,,1610612759,5,12,2023-02-11T00:22:05Z,690000,False,,,0,,S. Johnson REBOUND (Off:0 Def:1),[1626169],1610612759.0,SAS,,,,Johnson,S. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,68.0,1.0,1.0,0.0,,,,,,,,,,,,,,
70,PT06M21.00S,2023-02-11T00:22:14.8Z,1,REGULAR,2pt,Jump Shot,[],1628380,12.828515111695138,25.735294117647058,1610612759,5,12,2023-02-11T00:22:19Z,700000,False,121.0,68.0,1,left,MISS Z. Collins 13' Jump Shot,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Mid-Range,8-16 Right,13.91,Missed,,,,,,,,,,,,,,,,,,
71,PT06M17.00S,2023-02-11T00:22:18.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,5,12,2023-02-11T00:22:19Z,710000,False,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Right,,,70.0,1.0,1.0,0.0,,,,,,,,,,,,,,
72,PT06M09.00S,2023-02-11T00:22:27.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631105,93.64323258869908,60.5392156862745,1610612765,7,12,2023-02-11T00:26:53Z,720000,False,53.0,7.0,1,right,J. Duren turnaround Hook (4 PTS) (I. Stewart 1 AST),"[1631105, 1630191]",1610612765.0,DET,turnaround,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,5.32,Made,,,,,,4.0,I. Stewart,1630191.0,1.0,,,,,,,,,
74,PT05M56.00S,2023-02-11T00:22:39.3Z,1,REGULAR,3pt,Jump Shot,[],203926,21.76412614980289,89.4607843137255,1610612759,7,15,2023-02-11T00:22:45Z,740000,False,-197.0,152.0,1,left,D. McDermott 24' 3PT  (3 PTS) (M. Branham 1 AST),"[203926, 1631103]",1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,24.91,Made,,,,,,3.0,M. Branham,1631103.0,1.0,,,,,,,,,
76,PT05M42.00S,2023-02-11T00:22:54.5Z,1,REGULAR,3pt,Jump Shot,[],1630165,85.23324572930355,94.85294117647058,1610612765,7,15,2023-02-11T00:27:22Z,760000,False,224.0,86.0,1,right,MISS K. Hayes 24' pullup 3PT,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,24.03,Missed,,,,,,,,,,,,,,,,,,
77,PT05M38.00S,2023-02-11T00:22:57.7Z,1,REGULAR,rebound,defensive,[],1631103,,,1610612759,7,15,2023-02-11T00:22:57Z,770000,False,,,0,,M. Branham REBOUND (Off:0 Def:1),[1631103],1610612759.0,SAS,,,,Branham,M. Branham,,,,,Right Corner 3,24+ Right,,,76.0,1.0,1.0,0.0,,,,,,,,,,,,,,
78,PT05M32.00S,2023-02-11T00:23:03.3Z,1,REGULAR,3pt,Jump Shot,[],203926,19.398817345597898,92.15686274509804,1610612759,7,15,2023-02-11T00:23:09Z,780000,False,-211.0,130.0,1,left,MISS D. McDermott 24' 3PT,[203926],1610612759.0,SAS,,,,McDermott,D. McDermott,,,,,Above the Break 3,24+ Left Center,24.76,Missed,,,,,,,,,,,,,,,,,,
79,PT05M29.00S,2023-02-11T00:23:06.3Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,7,15,2023-02-11T00:23:09Z,790000,False,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,78.0,2.0,2.0,0.0,,,,,,,,,,,,,,
80,PT05M25.00S,2023-02-11T00:23:10.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202711,92.06636005256242,53.67647058823529,1610612765,9,15,2023-02-11T00:23:16Z,800000,False,18.0,22.0,1,right,B. Bogdanovic running DUNK (4 PTS) (J. Ivey 1 AST),"[202711, 1631093]",1610612765.0,DET,running,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,2.88,Made,,,,,,4.0,J. Ivey,1631093.0,1.0,,,,,,,,,
82,PT05M07.00S,2023-02-11T00:23:31.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,6.783837056504599,53.18627450980392,1610612759,9,15,2023-02-11T00:28:38Z,820000,False,-16.0,11.0,1,left,MISS I. Roby reverse Layup - blocked,"[1629676, 1631105]",1610612759.0,SAS,reverse,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,1.95,Missed,,,,,,,,,,,,,,,Duren,1631105.0,,
83,PT05M07.00S,2023-02-11T00:23:31.8Z,1,REGULAR,block,,[],1631105,,,1610612759,9,15,2023-02-11T00:23:34Z,830000,False,,,0,,J. Duren BLOCK (1 BLK),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
84,PT05M06.00S,2023-02-11T00:23:32.8Z,1,REGULAR,rebound,offensive,[],1629676,,,1610612759,9,15,2023-02-11T00:28:25Z,840000,False,,,0,,I. Roby REBOUND (Off:1 Def:2),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,,,82.0,3.0,2.0,1.0,,,,,,,,,,,,,,
