actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
29,PT09M27.00S,2023-02-04T00:14:02.4Z,1,REGULAR,3pt,Jump Shot,[],202692,72.61826544021025,15.441176470588236,1610612765,8,2,2023-02-04T00:17:41Z,290000,False,-173.0,205.0,1,right,MISS A. Burks 26' pullup 3PT,[202692],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Left Center,26.8,Missed,Burks,A. Burks,,,,,,,,,,,,,,,,,,,
30,PT09M24.00S,2023-02-04T00:14:05.4Z,1,REGULAR,rebound,defensive,[],1630163,,,1610612766,8,2,2023-02-04T00:14:08Z,300000,False,,,0,,L. Ball REBOUND (Off:0 Def:2),[1630163],1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,,,Ball,L. Ball,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
31,PT09M19.00S,2023-02-04T00:14:10.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202330,21.76412614980289,92.15686274509804,1610612766,8,5,2023-02-04T00:17:55Z,310000,False,-211.0,152.0,1,left,G. Hayward 25' 3PT  (3 PTS) (M. Plumlee 1 AST),"[202330, 203486]",1610612766.0,CHA,,,,,,,Above the Break 3,24+ Left Center,25.99,Made,Hayward,G. Hayward,,,,,,,,3.0,M. Plumlee,203486.0,1.0,,,,,,,,
33,PT09M00.00S,2023-02-04T00:14:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,88.25558475689881,51.470588235294116,1610612765,10,5,2023-02-04T00:14:57Z,330000,False,7.0,58.0,1,right,B. Bogdanovic driving floating Jump Shot (7 PTS) (J. Duren 1 AST),"[202711, 1631105]",1610612765.0,DET,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.84,Made,Bogdanovic,B. Bogdanovic,,,,,,,,7.0,J. Duren,1631105.0,1.0,,,,,,,,
35,PT08M51.00S,2023-02-04T00:14:39.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,3.3672798948751645,57.59803921568627,1610612766,10,5,2023-02-04T00:14:46Z,350000,False,-38.0,-21.0,1,left,MISS L. Ball Layup - blocked,"[1630163, 1631093]",1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,4.33,Missed,Ball,L. Ball,,,,,,,,,,,,Ivey,1631093.0,,,,,,
36,PT08M51.00S,2023-02-04T00:14:39.8Z,1,REGULAR,block,,[],1631093,,,1610612766,10,5,2023-02-04T00:14:42Z,360000,False,,,0,,J. Ivey BLOCK (1 BLK),[1631093],1610612765.0,DET,,,,,,,In The Paint (Non-RA),0-8 Center,,,Ivey,J. Ivey,,,,,,,,,,,,,,,,,,,
37,PT08M51.00S,2023-02-04T00:14:39.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612766,10,5,2023-02-04T00:14:46Z,370000,False,,,0,,TEAM offensive REBOUND,[],1610612766.0,CHA,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,35.0,,,,,,,,,,,,,,,,,,
39,PT08M43.00S,2023-02-04T00:14:59.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630163,4.812746386333772,95.83333333333334,1610612766,10,5,2023-02-04T00:15:04Z,390000,False,-229.0,-7.0,1,left,MISS L. Ball 3PT,[1630163],1610612766.0,CHA,,,,,,,Left Corner 3,24+ Left,22.93,Missed,Ball,L. Ball,,,,,,,,,,,,,,,,,,,
40,PT08M41.00S,2023-02-04T00:15:01.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,10,5,2023-02-04T00:15:04Z,400000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,,,,Left Corner 3,24+ Left,,,Duren,J. Duren,39.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
41,PT08M34.00S,2023-02-04T00:15:08.8Z,1,REGULAR,3pt,Jump Shot,[],1631093,74.45795006570303,12.009803921568627,1610612765,13,5,2023-02-04T00:16:55Z,410000,False,-190.0,188.0,1,right,J. Ivey 26' 3PT pullup (6 PTS),[1631093],1610612765.0,DET,pullup,,,,,,Above the Break 3,24+ Left Center,26.7,Made,Ivey,J. Ivey,,,,,,,,6.0,,,,,,,,,,,
