actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
266,PT06M17.00S,2022-11-13T00:52:37.6Z,2,REGULAR,substitution,in,[],1630191,,,1610612765,37,39,2022-11-13T00:52:55Z,2560000,False,,,0,,SUB in: I. Stewart,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,
267,PT06M17.00S,2022-11-13T00:52:37.6Z,2,REGULAR,substitution,in,[],202711,,,1610612765,37,39,2022-11-13T00:52:55Z,2570000,False,,,0,,SUB in: B. Bogdanovic,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
268,PT06M03.00S,2022-11-13T00:53:08.1Z,2,REGULAR,3pt,Jump Shot,['2ndchance'],1630180,30.535479632063073,81.86274509803921,1610612765,37,39,2022-11-13T01:01:28Z,2580000,False,-159.0,235.0,1,left,MISS S. Bey 28' pullup 3PT,[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,28.35,Missed,,,,,,,,,,,,,,,,,,
269,PT05M59.00S,2022-11-13T00:53:12.1Z,2,REGULAR,rebound,defensive,[],1628369,,,1610612738,37,39,2022-11-13T00:53:14Z,2590000,False,,,0,,J. Tatum REBOUND (Off:0 Def:3),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,268.0,3.0,3.0,0.0,,,,,,,,,,,,,
270,PT05M55.00S,2022-11-13T00:53:16.0Z,2,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",203935,88.09132720105124,54.16666666666667,1610612738,37,39,2022-11-13T00:53:23Z,2600000,False,21.0,59.0,1,right,MISS M. Smart 6' driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,,
271,PT05M52.00S,2022-11-13T00:53:19.0Z,2,REGULAR,rebound,offensive,[],203935,,,1610612738,37,39,2022-11-13T00:53:23Z,2610000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,270.0,1.0,0.0,1.0,,,,,,,,,,,,,
272,PT05M50.00S,2022-11-13T00:53:20.7Z,2,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",201933,91.24507227332458,53.18627450980392,1610612738,37,41,2022-11-13T00:53:25Z,2620000,False,16.0,30.0,1,right,B. Griffin Layup (5 PTS) (M. Smart 4 AST),"[201933, 203935]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Restricted Area,0-8 Center,3.38,Made,5.0,,,,,M. Smart,203935.0,4.0,,,,,,,,,,
274,PT05M35.00S,2022-11-13T00:53:36.3Z,2,REGULAR,turnover,lost ball,[],202711,,,1610612765,37,41,2022-11-13T00:53:41Z,2640000,False,,,0,,B. Bogdanovic lost ball TURNOVER (3 TO),"[202711, 203935]",1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,3.0,Smart,203935.0,,
275,PT05M35.00S,2022-11-13T00:53:36.3Z,2,REGULAR,steal,,[],203935,,,1610612738,37,41,2022-11-13T00:53:39Z,2650000,False,,,0,,M. Smart STEAL (2 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
276,PT05M28.00S,2022-11-13T00:53:43.9Z,2,REGULAR,3pt,Jump Shot,['fromturnover'],203935,83.75492772667542,95.58823529411765,1610612738,37,41,2022-11-13T00:53:48Z,2660000,False,228.0,100.0,1,right,MISS M. Smart 24' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,24.9,Missed,,,,,,,,,,,,,,,,,,
