actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
19,PT10M31.00S,2022-11-08T00:32:38.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,89.56964520367937,49.26470588235294,1610612765,2,3,2022-11-08T00:32:44Z,190000,-4.0,46.0,1,right,MISS J. Ivey driving Layup - blocked,"[1631093, 1628983]",1610612765.0,DET,driving,,,Ivey,J. Ivey,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,Gilgeous-Alexander,1628983.0,,,,,,,,,,,
20,PT10M31.00S,2022-11-08T00:32:38.2Z,1,REGULAR,block,,[],1628983,,,1610612765,2,3,2022-11-08T00:32:41Z,200000,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M31.00S,2022-11-08T00:32:38.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612765,2,3,2022-11-08T00:32:44Z,210000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,19.0,,,,,,,,,,,,,,,,,
23,PT10M30.00S,2022-11-08T00:32:55.2Z,1,REGULAR,foul,personal,[],1631114,,,1610612765,2,3,2022-11-08T00:33:10Z,230000,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 202711]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,Restricted Area,0-8 Center,,,,,,,,,,203592.0,1.0,0.0,Bogdanovic,202711.0,,,,,,
25,PT10M20.00S,2022-11-08T00:33:22.7Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,2,3,2022-11-08T00:33:26Z,250000,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1629652]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,1.0,Dort,1629652.0,,,
26,PT10M20.00S,2022-11-08T00:33:22.7Z,1,REGULAR,steal,,[],1629652,,,1610612760,2,3,2022-11-08T00:33:24Z,260000,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
27,PT10M14.00S,2022-11-08T00:33:28.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630526,30.56833114323259,32.84313725490196,1610612760,2,6,2022-11-08T00:33:36Z,270000,86.0,235.0,1,left,J. Robinson-Earl 25' 3PT  (3 PTS) (L. Dort 1 AST),"[1630526, 1629652]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Above the Break 3,24+ Right Center,25.0,Made,,,,,3.0,,,,,,,,,,,L. Dort,1629652.0,1.0
29,PT09M57.00S,2022-11-08T00:33:44.5Z,1,REGULAR,3pt,Jump Shot,[],1631093,66.17936925098554,44.11764705882353,1610612765,2,6,2022-11-08T00:33:51Z,290000,-29.0,265.0,1,right,MISS J. Ivey 26' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,26.7,Missed,,,,,,,,,,,,,,,,,,
30,PT09M55.00S,2022-11-08T00:33:46.5Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,6,2022-11-08T00:33:51Z,300000,,,0,,J. Giddey REBOUND (Off:0 Def:3),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,29.0,3.0,3.0,0.0,,,,,,,,,,,,,,
31,PT09M41.00S,2022-11-08T00:34:01.3Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612760,2,6,2022-11-08T00:34:04Z,310000,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630191]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,1.0,Stewart,1630191.0,,,
32,PT09M41.00S,2022-11-08T00:34:01.3Z,1,REGULAR,steal,,[],1630191,,,1610612765,2,6,2022-11-08T00:34:02Z,320000,,,0,,I. Stewart STEAL (1 STL),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
33,PT09M32.00S,2022-11-08T00:34:09.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,79.58278580814718,6.61764705882353,1610612765,5,6,2022-11-08T00:34:14Z,330000,-217.0,139.0,1,right,S. Bey 25' 3PT  (3 PTS) (J. Ivey 1 AST),"[1630180, 1631093]",1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,25.78,Made,,,,,3.0,,,,,,,,,,,J. Ivey,1631093.0,1.0
35,PT09M19.00S,2022-11-08T00:34:22.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.354139290407357,48.03921568627451,1610612760,5,6,2022-11-08T00:34:29Z,350000,10.0,73.0,1,left,MISS S. Gilgeous-Alexander 7' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.37,Missed,,,,,,,,,,,,,,,,,,
37,PT09M15.00S,2022-11-08T00:34:26.9Z,1,REGULAR,rebound,offensive,[],1630526,,,1610612760,5,6,2022-11-08T00:34:29Z,370000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:0),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,35.0,1.0,0.0,1.0,,,,,,,,,,,,,,
38,PT09M15.00S,2022-11-08T00:34:27.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630526,6.389618922470433,50.73529411764706,1610612760,5,6,2022-11-08T00:34:33Z,380000,-4.0,8.0,1,left,MISS J. Robinson-Earl reverse Layup,[1630526],1610612760.0,OKC,reverse,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,0.85,Missed,,,,,,,,,,,,,,,,,,
39,PT09M13.00S,2022-11-08T00:34:29.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,5,6,2022-11-08T00:34:29Z,390000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,
40,PT09M11.00S,2022-11-08T00:34:31.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.38042049934296,52.20588235294118,1610612765,7,6,2022-11-08T00:35:41Z,400000,11.0,10.0,1,right,I. Stewart cutting Layup (4 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,4.0,,,,,,,,,,,C. Cunningham,1630595.0,1.0
42,PT08M57.00S,2022-11-08T00:34:45.1Z,1,REGULAR,turnover,lost ball,[],1630581,,,1610612760,7,6,2022-11-08T00:48:42Z,420000,,,0,,J. Giddey lost ball TURNOVER (2 TO),"[1630581, 1630191]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,2.0,Stewart,1630191.0,,,
43,PT08M57.00S,2022-11-08T00:34:45.1Z,1,REGULAR,steal,,[],1630191,,,1610612765,7,6,2022-11-08T00:48:42Z,430000,,,0,,I. Stewart STEAL (2 STL),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
44,PT08M57.00S,2022-11-08T00:34:51.0Z,1,REGULAR,foul,personal,['1freethrow'],1629652,,,1610612765,7,6,2022-11-08T00:35:29Z,440000,,,0,,L. Dort transition take personal FOUL (1 PF) (Ivey 1 FT),"[1629652, 1631093]",1610612760.0,OKC,transition take,,,Dort,L. Dort,,,,,Above the Break 3,24+ Center,,,,,,,,,,201246.0,1.0,0.0,Ivey,1631093.0,,,,,,
46,PT08M57.00S,2022-11-08T00:35:33.6Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],202711,,,1610612765,8,6,2022-11-08T00:35:33Z,460000,,,0,,B. Bogdanovic transition take Free Throw 1 of 1 (1 PTS),[202711],1610612765.0,DET,transition take,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
47,PT08M50.00S,2022-11-08T00:35:59.8Z,1,REGULAR,turnover,traveling,[],1630595,,,1610612765,8,6,2022-11-08T00:36:04Z,470000,,,0,,C. Cunningham traveling TURNOVER (2 TO),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,203592.0,,,,,2.0,,,,,
48,PT08M39.00S,2022-11-08T00:36:22.0Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612760,8,6,2022-11-08T00:36:35Z,480000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Giddey 2 FT),"[1630191, 1630581]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,Restricted Area,0-8 Center,,,,,,,,,,1627961.0,1.0,0.0,Giddey,1630581.0,,,,,,
50,PT08M39.00S,2022-11-08T00:36:47.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630581,,,1610612760,8,6,2022-11-08T00:36:47Z,500000,,,0,,MISS J. Giddey Free Throw 1 of 2,[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
51,PT08M39.00S,2022-11-08T00:36:47.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,8,6,2022-11-08T00:36:47Z,510000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,
52,PT08M39.00S,2022-11-08T00:36:59.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630581,,,1610612760,8,7,2022-11-08T00:36:59Z,520000,,,0,,J. Giddey Free Throw 2 of 2 (1 PTS),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
53,PT08M19.00S,2022-11-08T00:37:21.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,81.8659658344284,57.866115196078425,1610612765,10,7,2022-11-08T00:37:56Z,530000,39.0,118.0,1,right,C. Cunningham 12' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,12.44,Made,,,,,2.0,,,,,,,,,,,,,
54,PT08M07.00S,2022-11-08T00:37:34.3Z,1,REGULAR,turnover,bad pass,[],1628983,,,1610612760,10,7,2022-11-08T00:37:39Z,540000,,,0,,S. Gilgeous-Alexander bad pass TURNOVER (1 TO),"[1628983, 1631093]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,1.0,Ivey,1631093.0,,,
55,PT08M07.00S,2022-11-08T00:37:34.3Z,1,REGULAR,steal,,[],1631093,,,1610612765,10,7,2022-11-08T00:37:36Z,550000,,,0,,J. Ivey STEAL (1 STL),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
56,PT08M03.00S,2022-11-08T00:37:37.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630180,93.11760840998686,50.245098039215684,1610612765,12,7,2022-11-08T00:37:44Z,560000,1.0,12.0,1,right,S. Bey running Layup (5 PTS) (J. Ivey 2 AST),"[1630180, 1631093]",1610612765.0,DET,running,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,5.0,,,,,,,,,,,J. Ivey,1631093.0,2.0
58,PT07M55.00S,2022-11-08T00:37:45.4Z,1,REGULAR,3pt,Jump Shot,[],1629652,19.793035479632064,92.40196078431373,1610612760,12,7,2022-11-08T00:39:13Z,580000,-212.0,134.0,1,left,MISS L. Dort 25' pullup 3PT,[1629652],1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
59,PT07M52.00S,2022-11-08T00:37:47.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,12,7,2022-11-08T00:37:47Z,590000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,58.0,2.0,2.0,0.0,,,,,,,,,,,,,,
60,PT07M46.00S,2022-11-08T00:37:54.5Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,12,7,2022-11-08T00:37:59Z,600000,,,0,,C. Cunningham bad pass TURNOVER (3 TO),"[1630595, 1628983]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,3.0,Gilgeous-Alexander,1628983.0,,,
61,PT07M46.00S,2022-11-08T00:37:54.5Z,1,REGULAR,steal,,[],1628983,,,1610612760,12,7,2022-11-08T00:37:57Z,610000,,,0,,S. Gilgeous-Alexander STEAL (1 STL),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
62,PT07M44.00S,2022-11-08T00:37:58.6Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612760,12,7,2022-11-08T00:38:16Z,620000,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Robinson-Earl 2 FT),"[1630595, 1630526]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,,201246.0,1.0,0.0,Robinson-Earl,1630526.0,,,,,,
64,PT07M44.00S,2022-11-08T00:38:27.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630526,,,1610612760,12,7,2022-11-08T00:38:27Z,640000,,,0,,MISS J. Robinson-Earl Free Throw 1 of 2,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
65,PT07M44.00S,2022-11-08T00:38:27.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612760,12,7,2022-11-08T00:38:27Z,650000,,,0,,TEAM offensive REBOUND,[],1610612760.0,OKC,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,
66,PT07M44.00S,2022-11-08T00:38:44.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630526,,,1610612760,12,8,2022-11-08T00:38:44Z,660000,,,0,,J. Robinson-Earl Free Throw 2 of 2 (4 PTS),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
67,PT07M32.00S,2022-11-08T00:38:57.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,83.70565045992116,59.80009191176471,1610612765,14,8,2022-11-08T00:39:03Z,670000,49.0,101.0,1,right,B. Bogdanovic 11' pullup Jump Shot (3 PTS) (C. Cunningham 2 AST),"[202711, 1630595]",1610612765.0,DET,pullup,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,11.2,Made,,,,,3.0,,,,,,,,,,,C. Cunningham,1630595.0,2.0
69,PT07M22.00S,2022-11-08T00:39:07.0Z,1,REGULAR,2pt,Jump Shot,[],1628983,10.33180026281209,72.30392156862744,1610612760,14,10,2022-11-08T00:39:12Z,690000,-112.0,45.0,1,left,S. Gilgeous-Alexander 12' pullup Jump Shot (2 PTS),[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Mid-Range,8-16 Left,12.01,Made,,,,,2.0,,,,,,,,,,,,,
70,PT07M11.00S,2022-11-08T00:39:22.2Z,1,REGULAR,foul,personal,[],1629652,,,1610612765,14,10,2022-11-08T00:39:33Z,700000,,,0,,L. Dort personal FOUL (2 PF),"[1629652, 1630595]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,203592.0,2.0,0.0,Cunningham,1630595.0,,,,,,
72,PT07M11.00S,2022-11-08T00:39:32.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,14,10,2022-11-08T00:39:32Z,720000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PT06M52.00S,2022-11-08T00:42:56.7Z,1,REGULAR,3pt,Jump Shot,[],202711,95.22010512483574,5.147058823529411,1610612765,14,10,2022-11-08T00:43:03Z,740000,-224.0,-8.0,1,right,MISS B. Bogdanovic 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Left Corner 3,24+ Left,22.44,Missed,,,,,,,,,,,,,,,,,,
75,PT06M50.00S,2022-11-08T00:42:59.6Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,14,10,2022-11-08T00:42:59Z,750000,,,0,,I. Stewart REBOUND (Off:2 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Left Corner 3,24+ Left,,,74.0,3.0,1.0,2.0,,,,,,,,,,,,,,
76,PT06M50.00S,2022-11-08T00:43:06.1Z,1,REGULAR,foul,personal,[],1630526,,,1610612765,14,10,2022-11-08T00:43:17Z,760000,,,0,,J. Robinson-Earl personal FOUL (1 PF),"[1630526, 1630191]",1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,201246.0,1.0,0.0,Stewart,1630191.0,,,,,,
78,PT06M43.00S,2022-11-08T00:43:27.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630180,91.93495400788436,48.03921568627451,1610612765,14,10,2022-11-08T00:43:34Z,780000,-10.0,23.0,1,right,MISS S. Bey driving Layup,[1630180],1610612765.0,DET,driving,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,2.53,Missed,,,,,,,,,,,,,,,,,,
79,PT06M41.00S,2022-11-08T00:43:29.9Z,1,REGULAR,rebound,offensive,[],1631093,,,1610612765,14,10,2022-11-08T00:43:29Z,790000,,,0,,J. Ivey REBOUND (Off:1 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,78.0,2.0,1.0,1.0,,,,,,,,,,,,,,
80,PT06M40.00S,2022-11-08T00:43:31.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1631093,90.80157687253615,55.575980392156865,1610612765,16,10,2022-11-08T00:43:55Z,800000,28.0,34.0,1,right,J. Ivey bank Jump Shot (2 PTS),[1631093],1610612765.0,DET,bank,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,4.4,Made,,,,,2.0,,,,,,,,,,,,,
81,PT06M29.00S,2022-11-08T00:43:42.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,12.959921156373195,47.05882352941176,1610612760,16,12,2022-11-08T00:45:33Z,810000,15.0,69.0,1,left,S. Gilgeous-Alexander 7' floating Jump Shot (4 PTS),[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.08,Made,,,,,4.0,,,,,,,,,,,,,
82,PT06M17.00S,2022-11-08T00:43:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,87.46714848883047,4.166666666666666,1610612765,16,12,2022-11-08T00:44:01Z,820000,-229.0,65.0,1,right,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Left Corner 3,24+ Left,23.83,Missed,,,,,,,,,,,,,,,,,,
83,PT06M17.00S,2022-11-08T00:43:54.0Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,16,12,2022-11-08T00:44:01Z,830000,,,0,,J. Robinson-Earl REBOUND (Off:1 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,Left Corner 3,24+ Left,,,82.0,2.0,1.0,1.0,,,,,,,,,,,,,,
