actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
15,PT10M35.00S,2023-01-14T00:12:12.5Z,1,REGULAR,3pt,Jump Shot,[],1630230,70.12155059132719,26.96078431372549,1610612740,2,2,2023-01-14T00:12:21Z,150000,False,-115.0,228.0,1,right,MISS N. Marshall 25' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Left Center,25.58,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2023-01-14T00:12:12.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612740,2,2,2023-01-14T00:12:21Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,Above the Break 3,24+ Left Center,,,,15.0,,,,,,,,,,,,,,,,
17,PT10M35.00S,2023-01-14T00:12:18.7Z,1,REGULAR,foul,personal,[],203457,,,1610612740,2,2,2023-01-14T00:12:30Z,170000,False,,,0,,N. Noel loose ball personal FOUL (1 PF),"[203457, 202685]",1610612765.0,DET,loose ball,,,Noel,N. Noel,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,204058.0,,1.0,0.0,Valanciunas,202685.0,,,,,,,
19,PT10M23.00S,2023-01-14T00:12:44.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203468,66.44218134034165,40.931372549019606,1610612740,2,2,2023-01-14T00:12:50Z,190000,False,-45.0,263.0,1,right,MISS C. McCollum 26' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.68,Missed,,,,,,,,,,,,,,,,,,
20,PT10M19.00S,2023-01-14T00:12:48.9Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,2,2,2023-01-14T00:12:50Z,200000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
21,PT10M10.00S,2023-01-14T00:12:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203457,5.863994743758213,51.9607843137255,1610612765,2,2,2023-01-14T00:14:38Z,210000,False,-10.0,3.0,1,left,MISS N. Noel cutting Layup,[203457],1610612765.0,DET,cutting,,,Noel,N. Noel,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,,,,,,,,,,,,,,
23,PT10M07.00S,2023-01-14T00:13:01.2Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,2,2,2023-01-14T00:13:03Z,230000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,
24,PT10M02.00S,2023-01-14T00:13:06.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,93.38042049934296,49.01960784313725,1610612740,2,4,2023-01-14T00:13:30Z,240000,False,-5.0,10.0,1,right,J. Valanciunas cutting Layup (2 PTS) (D. Daniels 1 AST),"[202685, 1630700]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.09,Made,2.0,,,,,,,,,,,D. Daniels,1630700.0,1.0,,,,
26,PT09M42.00S,2023-01-14T00:13:25.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,15.325229960578188,53.67647058823529,1610612765,4,4,2023-01-14T00:13:35Z,260000,False,-18.0,92.0,1,left,B. Bogdanovic 9' step back Jump Shot (4 PTS) (K. Hayes 1 AST),"[202711, 1630165]",1610612765.0,DET,step back,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,9.34,Made,4.0,,,,,,,,,,,K. Hayes,1630165.0,1.0,,,,
28,PT09M29.00S,2023-01-14T00:13:38.6Z,1,REGULAR,3pt,Jump Shot,[],203468,69.59592641261499,70.09803921568627,1610612740,4,7,2023-01-14T00:15:32Z,280000,False,100.0,233.0,1,right,C. McCollum 25' 3PT step back (5 PTS) (J. Valanciunas 1 AST),"[203468, 202685]",1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.4,Made,5.0,,,,,,,,,,,J. Valanciunas,202685.0,1.0,,,,
30,PT09M16.00S,2023-01-14T00:13:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631093,8.229303547963205,44.85294117647059,1610612765,4,7,2023-01-14T00:13:56Z,300000,False,26.0,25.0,1,left,MISS J. Ivey cutting Layup,[1631093],1610612765.0,DET,cutting,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,3.58,Missed,,,,,,,,,,,,,,,,,,
31,PT09M14.00S,2023-01-14T00:13:53.9Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612740,4,7,2023-01-14T00:13:56Z,310000,False,,,0,,D. Daniels REBOUND (Off:0 Def:2),[1630700],1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,,,,30.0,2.0,2.0,0.0,,,,,,,,,,,,,
32,PT09M08.00S,2023-01-14T00:13:59.4Z,1,REGULAR,3pt,Jump Shot,[],202685,67.49342969776609,33.57843137254902,1610612740,4,7,2023-01-14T00:14:05Z,320000,False,-82.0,253.0,1,right,MISS J. Valanciunas 26' 3PT,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
33,PT09M05.00S,2023-01-14T00:14:03.2Z,1,REGULAR,rebound,offensive,[],1630230,,,1610612740,4,7,2023-01-14T00:14:03Z,330000,False,,,0,,N. Marshall REBOUND (Off:1 Def:0),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,,
34,PT09M02.00S,2023-01-14T00:14:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630530,92.06636005256242,45.83333333333333,1610612740,4,9,2023-01-14T00:14:11Z,340000,False,-21.0,22.0,1,right,T. Murphy III driving Layup (2 PTS),[1630530],1610612740.0,NOP,driving,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,3.03,Made,2.0,,,,,,,,,,,,,,,,,
35,PT08M42.00S,2023-01-14T00:14:25.6Z,1,REGULAR,2pt,Jump Shot,[],1630180,10.200394218134035,31.862745098039213,1610612765,6,9,2023-01-14T00:16:47Z,350000,False,91.0,43.0,1,left,S. Bey 10' fadeaway Jump Shot (2 PTS),[1630180],1610612765.0,DET,fadeaway,,,Bey,S. Bey,,,,,Mid-Range,8-16 Right,10.05,Made,2.0,,,,,,,,,,,,,,,,,
36,PT08M27.00S,2023-01-14T00:14:39.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,92.85479632063075,47.30392156862745,1610612740,6,11,2023-01-14T00:14:44Z,360000,False,-13.0,15.0,1,right,J. Valanciunas DUNK (4 PTS) (N. Marshall 1 AST),"[202685, 1630230]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.0,Made,4.0,,,,,,,,,,,N. Marshall,1630230.0,1.0,,,,
38,PT08M13.00S,2023-01-14T00:14:54.1Z,1,REGULAR,turnover,bad pass,[],1630165,,,1610612765,6,11,2023-01-14T00:14:58Z,380000,False,,,0,,K. Hayes bad pass TURNOVER (1 TO),"[1630165, 1630230]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,1.0,,,,,,,,Marshall,1630230.0,,
39,PT08M13.00S,2023-01-14T00:14:54.1Z,1,REGULAR,steal,,[],1630230,,,1610612740,6,11,2023-01-14T00:14:55Z,390000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
40,PT08M11.00S,2023-01-14T00:14:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612740,6,11,2023-01-14T00:15:08Z,400000,False,,,0,,S. Bey shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1630180, 1630530]",1610612765.0,DET,shooting,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,,1627526.0,,1.0,0.0,Murphy III,1630530.0,,,,,,,
42,PT08M11.00S,2023-01-14T00:15:26.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630530,,,1610612740,6,12,2023-01-14T00:15:26Z,420000,False,,,0,,T. Murphy III Free Throw 1 of 2 (3 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
43,PT08M11.00S,2023-01-14T00:15:42.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630530,,,1610612740,6,13,2023-01-14T00:15:42Z,430000,False,,,0,,T. Murphy III Free Throw 2 of 2 (4 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
44,PT07M57.00S,2023-01-14T00:16:01.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202711,16.245072273324574,51.71568627450981,1610612765,8,13,2023-01-14T00:16:07Z,440000,False,-9.0,100.0,1,left,B. Bogdanovic 10' driving floating Jump Shot (6 PTS) (S. Bey 1 AST),"[202711, 1630180]",1610612765.0,DET,driving floating,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,10.06,Made,6.0,,,,,,,,,,,S. Bey,1630180.0,1.0,,,,
46,PT07M57.00S,2023-01-14T00:16:05.9Z,1,REGULAR,foul,personal,['1freethrow'],1630230,,,1610612765,8,13,2023-01-14T00:16:20Z,460000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Bogdanovic 1 FT),"[1630230, 202711]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1627526.0,,1.0,0.0,Bogdanovic,202711.0,,,,,,,
48,PT07M57.00S,2023-01-14T00:16:33.9Z,1,REGULAR,freethrow,1 of 1,[],202711,,,1610612765,9,13,2023-01-14T00:16:34Z,480000,False,,,0,,B. Bogdanovic Free Throw 1 of 1 (7 PTS),[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
49,PT07M43.00S,2023-01-14T00:16:48.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,87.72996057818659,47.05882352941176,1610612740,9,15,2023-01-14T00:17:22Z,490000,False,-15.0,63.0,1,right,J. Valanciunas 6' Hook (6 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.45,Made,6.0,,,,,,,,,,,C. McCollum,203468.0,1.0,,,,
51,PT07M25.00S,2023-01-14T00:17:05.8Z,1,REGULAR,3pt,Jump Shot,[],1631093,25.443495400788436,82.59803921568627,1610612765,9,15,2023-01-14T00:17:13Z,510000,False,-163.0,187.0,1,left,MISS J. Ivey 24' 3PT,[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,24.78,Missed,,,,,,,,,,,,,,,,,,
52,PT07M23.00S,2023-01-14T00:17:07.8Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,9,15,2023-01-14T00:17:13Z,520000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,51.0,1.0,1.0,0.0,,,,,,,,,,,,,
53,PT07M20.00S,2023-01-14T00:17:11.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630530,76.82325886990802,11.519607843137255,1610612740,9,18,2023-01-14T00:18:19Z,530000,False,-192.0,165.0,1,right,T. Murphy III 25' 3PT running (7 PTS) (C. McCollum 2 AST),"[1630530, 203468]",1610612740.0,NOP,running,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,25.37,Made,7.0,,,,,,,,,,,C. McCollum,203468.0,2.0,,,,
55,PT07M04.00S,2023-01-14T00:17:28.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,8.492115637319317,54.41176470588235,1610612765,11,18,2023-01-14T00:18:48Z,550000,False,-22.0,27.0,1,left,S. Bey driving floating Jump Shot (4 PTS),[1630180],1610612765.0,DET,driving floating,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,3.51,Made,4.0,,,,,,,,,,,,,,,,,
56,PT07M04.00S,2023-01-14T00:17:32.9Z,1,REGULAR,foul,personal,['1freethrow'],1630230,,,1610612765,11,18,2023-01-14T00:17:41Z,560000,False,,,0,,N. Marshall shooting personal FOUL (2 PF) (Bey 1 FT),"[1630230, 1630180]",1610612740.0,NOP,shooting,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,,204058.0,,2.0,0.0,Bey,1630180.0,,,,,,,
58,PT07M04.00S,2023-01-14T00:17:50.5Z,1,REGULAR,substitution,out,[],1630230,,,1610612765,11,18,2023-01-14T00:18:24Z,580000,False,,,0,,SUB out: N. Marshall,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PT07M04.00S,2023-01-14T00:17:50.5Z,1,REGULAR,substitution,in,[],1630631,,,1610612765,11,18,2023-01-14T00:18:24Z,590000,False,,,0,,SUB in: J. Alvarado,[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M04.00S,2023-01-14T00:18:08.1Z,1,REGULAR,freethrow,1 of 1,[],1630180,,,1610612765,12,18,2023-01-14T00:18:08Z,600000,False,,,0,,S. Bey Free Throw 1 of 1 (5 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,5.0,,,,,,,,,,,,,,,,,
61,PT06M53.00S,2023-01-14T00:18:21.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,93.77463863337714,52.450980392156865,1610612740,12,18,2023-01-14T00:18:27Z,610000,False,12.0,6.0,1,right,MISS C. McCollum driving reverse Layup,[203468],1610612740.0,NOP,driving reverse,,,McCollum,C. McCollum,,,,,Restricted Area,0-8 Center,1.37,Missed,,,,,,,,,,,,,,,,,,
62,PT06M49.00S,2023-01-14T00:18:25.4Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,12,18,2023-01-14T00:18:27Z,620000,False,,,0,,J. Ivey REBOUND (Off:0 Def:2),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Restricted Area,0-8 Center,,,,61.0,2.0,2.0,0.0,,,,,,,,,,,,,
63,PT06M46.00S,2023-01-14T00:18:27.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202711,13.87976346911958,4.166666666666666,1610612765,15,18,2023-01-14T00:21:07Z,630000,False,229.0,78.0,1,left,B. Bogdanovic 24' 3PT running (10 PTS) (J. Ivey 1 AST),"[202711, 1631093]",1610612765.0,DET,running,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,24.21,Made,10.0,,,,,,,,,,,J. Ivey,1631093.0,1.0,,,,
65,PT06M33.00S,2023-01-14T00:18:40.5Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,15,18,2023-01-14T00:18:45Z,650000,False,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 203457]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,,,,,,,,Noel,203457.0,,
66,PT06M33.00S,2023-01-14T00:18:40.5Z,1,REGULAR,steal,,[],203457,,,1610612765,15,18,2023-01-14T00:28:54Z,660000,False,,,0,,N. Noel STEAL (1 STL),[203457],1610612765.0,DET,,,,Noel,N. Noel,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
67,PT06M30.00S,2023-01-14T00:18:44.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630165,6.1268068331143235,51.71568627450981,1610612765,17,18,2023-01-14T00:22:56Z,670000,False,-9.0,5.0,1,left,K. Hayes running DUNK (2 PTS) (J. Ivey 2 AST),"[1630165, 1631093]",1610612765.0,DET,running,,,Hayes,K. Hayes,,,,,Restricted Area,0-8 Center,1.0,Made,2.0,,,,,,,,,,,J. Ivey,1631093.0,2.0,,,,
69,PT06M29.00S,2023-01-14T00:18:52.2Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,17,18,2023-01-14T00:18:52Z,690000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PT06M13.00S,2023-01-14T00:21:53.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202685,91.5407358738502,46.32352941176471,1610612740,17,20,2023-01-14T00:21:57Z,700000,False,-18.0,27.0,1,right,J. Valanciunas Hook (8 PTS) (D. Daniels 2 AST),"[202685, 1630700]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.27,Made,8.0,,,,,,,,,,,D. Daniels,1630700.0,2.0,,,,
72,PT05M58.00S,2023-01-14T00:22:08.3Z,1,REGULAR,3pt,Jump Shot,[],1630165,35.955978975032856,36.029411764705884,1610612765,20,20,2023-01-14T00:22:22Z,720000,False,70.0,285.0,1,left,K. Hayes 29' 3PT  (5 PTS) (B. Bogdanovic 1 AST),"[1630165, 202711]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Above the Break 3,24+ Center,29.39,Made,5.0,,,,,,,,,,,B. Bogdanovic,202711.0,1.0,,,,
74,PT05M47.00S,2023-01-14T00:22:18.8Z,1,REGULAR,3pt,Jump Shot,[],1630530,70.64717477003943,76.47058823529412,1610612740,20,20,2023-01-14T00:22:24Z,740000,False,132.0,223.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
75,PT05M47.00S,2023-01-14T00:22:18.8Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,20,20,2023-01-14T00:22:24Z,750000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,74.0,2.0,1.0,1.0,,,,,,,,,,,,,
76,PT05M38.00S,2023-01-14T00:22:28.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630530,68.80749014454665,28.186274509803923,1610612740,20,20,2023-01-14T00:22:32Z,760000,False,-109.0,241.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
77,PT05M35.00S,2023-01-14T00:22:31.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,20,20,2023-01-14T00:22:32Z,770000,False,,,0,,S. Bey REBOUND (Off:1 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,76.0,2.0,1.0,1.0,,,,,,,,,,,,,
78,PT05M28.00S,2023-01-14T00:22:42.3Z,1,REGULAR,foul,personal,['2freethrow'],1630700,,,1610612765,20,20,2023-01-14T00:22:49Z,780000,False,,,0,,D. Daniels shooting personal FOUL (1 PF) (Bey 2 FT),"[1630700, 1630180]",1610612740.0,NOP,shooting,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,2882.0,,1.0,0.0,Bey,1630180.0,,,,,,,
80,PT05M28.00S,2023-01-14T00:23:04.7Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,21,20,2023-01-14T00:23:04Z,800000,False,,,0,,S. Bey Free Throw 1 of 2 (6 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
81,PT05M28.00S,2023-01-14T00:23:21.2Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,22,20,2023-01-14T00:23:21Z,810000,False,,,0,,S. Bey Free Throw 2 of 2 (7 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
82,PT05M16.00S,2023-01-14T00:23:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630700,93.77463863337714,54.166666666666664,1610612740,22,22,2023-01-14T00:23:37Z,820000,False,21.0,6.0,1,right,D. Daniels Layup (2 PTS) (J. Valanciunas 2 AST),"[1630700, 202685]",1610612740.0,NOP,,,,Daniels,D. Daniels,,,,,Restricted Area,0-8 Center,2.16,Made,2.0,,,,,,,,,,,J. Valanciunas,202685.0,2.0,,,,
84,PT05M01.00S,2023-01-14T00:23:48.9Z,1,REGULAR,2pt,Jump Shot,[],1630180,18.478975032851512,76.22549019607843,1610612765,22,22,2023-01-14T00:23:54Z,840000,False,-131.0,121.0,1,left,MISS S. Bey 17' Jump Shot,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,Mid-Range,16-24 Left Center,17.85,Missed,,,,,,,,,,,,,,,,,,
85,PT04M59.00S,2023-01-14T00:23:50.9Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,22,22,2023-01-14T00:23:54Z,850000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:2),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Mid-Range,16-24 Left Center,,,,84.0,3.0,2.0,1.0,,,,,,,,,,,,,
86,PT04M48.00S,2023-01-14T00:24:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,85.54533508541394,43.78063725490196,1610612740,22,22,2023-01-14T00:24:53Z,860000,False,-31.0,83.0,1,right,MISS C. McCollum 8' pullup Shot - blocked,"[203468, 1630180]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,8.9,Missed,,,,,,,,,,,,,,,,,Bey,1630180.0
